
[00:00:00.000 --> 00:00:05.300]   [BLANK_AUDIO]
[00:05:24.460 --> 00:05:29.460]   And another quick thing, instead of using the double and
[00:05:29.460 --> 00:05:33.100]   and in some of the languages as people might do, with Python,
[00:05:33.100 --> 00:05:34.860]   I mentioned earlier, it's very English-like.
[00:05:34.860 --> 00:05:40.460]   So you can actually just write out if x is equal to 3 and, and in English,
[00:05:40.460 --> 00:05:42.940]   y is equal to 4, then return true or something.
[00:05:42.940 --> 00:05:47.460]   It's quite nice that way, so you can use and, or, and not.
[00:05:47.460 --> 00:05:50.860]   And then just the comparison operators of equal equals to and
[00:05:50.860 --> 00:05:54.660]   not equals to will check for equality and inequality.
[00:05:54.660 --> 00:05:57.020]   This one's pretty standard, I feel, across many languages, and
[00:05:57.020 --> 00:05:58.620]   you can use them in Python as well.
[00:05:58.620 --> 00:06:02.500]   And yeah, remember, just a quick thing, the equal equal to sign is different from
[00:06:02.500 --> 00:06:03.500]   the assignment operator.
[00:06:03.500 --> 00:06:06.820]   This one checks for equality, that one is just assigning a value.
[00:06:06.820 --> 00:06:08.580]   So single equal sign versus two of them.
[00:06:08.580 --> 00:06:13.300]   All right, and then also in Python, you don't use brackets.
[00:06:13.300 --> 00:06:17.940]   So Python, you can use basically spaces or tabs.
[00:06:17.940 --> 00:06:22.900]   So either indents of 2 or 4 to be able to break up what is contained within
[00:06:22.900 --> 00:06:26.540]   the function or contained within like an if statement, a for statement, or
[00:06:26.540 --> 00:06:28.140]   any loops, for example.
[00:06:28.140 --> 00:06:31.020]   And so the main thing is you can choose whether to do 2 or 4.
[00:06:31.020 --> 00:06:35.260]   You just have to be consistent throughout your entire code base,
[00:06:35.260 --> 00:06:36.860]   otherwise they will throw an error.
[00:06:36.860 --> 00:06:39.900]   Now we'll go to some common data structures, and for
[00:06:39.900 --> 00:06:41.700]   this we'll transition to the Colab.
[00:06:41.700 --> 00:06:46.540]   So this one will sort of show you in real time.
[00:06:46.540 --> 00:06:48.100]   This is, by the way, a Colab.
[00:06:48.100 --> 00:06:50.700]   A Colab is basically a Jupyter Notebook, for
[00:06:50.700 --> 00:06:53.820]   those of you who are familiar with those, that you can use and
[00:06:53.820 --> 00:06:56.140]   it's hosted on Google servers.
[00:06:56.140 --> 00:06:59.500]   The really nice thing about Jupyter Notebooks is you don't have to run an entire
[00:06:59.500 --> 00:07:04.500]   file all together, you can run it step by step into what are these called cells.
[00:07:04.500 --> 00:07:06.020]   So if you want to see like an intermediate output,
[00:07:06.020 --> 00:07:08.140]   you can see that pretty easily.
[00:07:08.140 --> 00:07:12.340]   And that way, and it also writes, for example, a lot of descriptions
[00:07:12.340 --> 00:07:15.820]   pertaining to cells, which is really, really nice to have as well.
[00:07:15.820 --> 00:07:18.660]   So a lot of people tend to use these when they're sort of starting off their project
[00:07:18.660 --> 00:07:20.020]   and want to debug things.
[00:07:20.020 --> 00:07:25.980]   And Colab allows you to use these Jupyter Notebook type applications,
[00:07:25.980 --> 00:07:27.860]   hosted on their servers for free, basically.
[00:07:27.860 --> 00:07:30.740]   So anyone can create one of these and run their code.
[00:07:30.740 --> 00:07:35.260]   All right, so lists are mutable arrays.
[00:07:35.260 --> 00:07:38.340]   Mutable means that you can change them, so that once you declare them,
[00:07:38.340 --> 00:07:41.700]   you can add to them, you can delete them, and they're optimized for that purpose.
[00:07:41.700 --> 00:07:44.220]   So they expect to be changed very often.
[00:07:44.220 --> 00:07:46.020]   We'll come to what are called NumPy arrays later, and
[00:07:46.020 --> 00:07:48.340]   those tend to be pretty much fixed.
[00:07:48.340 --> 00:07:52.180]   When you change one, you basically have to create a new array,
[00:07:52.180 --> 00:07:53.820]   which will have the additional information.
[00:07:53.820 --> 00:07:55.820]   So this is highly optimized for changing things.
[00:07:55.820 --> 00:07:58.300]   So if you know, for example, and you're in a loop,
[00:07:58.300 --> 00:08:02.100]   you're adding different elements to, let's say, a bigger entity,
[00:08:02.100 --> 00:08:04.700]   you'd want to use something like a list, because you're going to be changing that
[00:08:04.700 --> 00:08:05.980]   very often.
[00:08:05.980 --> 00:08:07.500]   So let's see how they work.
[00:08:07.500 --> 00:08:10.260]   So we start off with a names array with Zack and Jay.
[00:08:10.260 --> 00:08:15.220]   You can index into the list by, so what is that?
[00:08:15.220 --> 00:08:19.460]   It says index into the list by index, which means that you can list out
[00:08:19.460 --> 00:08:22.380]   the elements in the list, depending on what's called the index.
[00:08:22.380 --> 00:08:25.660]   So it's what place that value is at within the list.
[00:08:25.660 --> 00:08:29.420]   So zero refers to the first element, so Python's what's called zero index,
[00:08:29.420 --> 00:08:31.940]   which means it starts with zero, and then it goes to one.
[00:08:31.940 --> 00:08:33.500]   So here, zero will be Zack.
[00:08:33.500 --> 00:08:37.260]   And then let's say I want to append something to the end.
[00:08:37.260 --> 00:08:42.300]   So to add something to the end of the list, the term is append, not add.
[00:08:42.300 --> 00:08:46.700]   And so if I want to append, I can now create a separate list,
[00:08:46.700 --> 00:08:50.340]   which is the original list itself with the added last element.
[00:08:50.340 --> 00:08:52.220]   And what would currently be the length of this?
[00:08:52.220 --> 00:08:54.500]   It would be three, because you have three elements.
[00:08:54.500 --> 00:08:57.340]   And you can just quickly get that by using the len function, not length,
[00:08:57.340 --> 00:08:58.820]   just three letters, len.
[00:08:58.820 --> 00:09:04.540]   All right, it's also really nice because Python has overloaded
[00:09:04.540 --> 00:09:09.380]   the plus operation to be able to concatenate lists.
[00:09:09.380 --> 00:09:12.060]   So here, I have a separate list, right?
[00:09:12.060 --> 00:09:13.940]   And all you need for a list definition is just brackets.
[00:09:13.940 --> 00:09:15.700]   So this is a separate list altogether,
[00:09:15.700 --> 00:09:19.420]   even though I haven't saved it in the variable, just Abhi and Kevin.
[00:09:19.420 --> 00:09:21.220]   And I can just do a plus equal to,
[00:09:21.220 --> 00:09:24.100]   which means that names is equal to names plus Abhi and Kevin.
[00:09:24.100 --> 00:09:26.940]   And this should output this full list.
[00:09:26.940 --> 00:09:32.580]   You can create lists by just putting the plain brackets or an existing list.
[00:09:32.580 --> 00:09:33.700]   And then as I mentioned earlier,
[00:09:33.700 --> 00:09:36.220]   your list can have a variety of types within them.
[00:09:36.220 --> 00:09:39.340]   So here, this list contains an integer value, a list value.
[00:09:39.340 --> 00:09:43.100]   So you can have a list of lists, as many sort of sublists as you'd like,
[00:09:43.100 --> 00:09:45.620]   a float value and a none value.
[00:09:45.620 --> 00:09:47.340]   And this is completely valid within Python.
[00:09:47.340 --> 00:09:52.500]   Slicing refers to how you can access only parts of the list.
[00:09:52.500 --> 00:09:54.820]   So if I only want, for example,
[00:09:54.820 --> 00:09:59.140]   in this numbers array, I only want 0, 1, 2.
[00:09:59.140 --> 00:10:01.940]   Slicing is a way that you can extract only those parts.
[00:10:01.940 --> 00:10:03.480]   So the way slicing works is,
[00:10:03.480 --> 00:10:06.980]   the first element is included and the last element is excluded.
[00:10:06.980 --> 00:10:10.580]   So here, I start with 0, 1, 2, 3.
[00:10:10.580 --> 00:10:14.420]   So 3 is not included and so 0, 1, 2 will be printed out.
[00:10:14.420 --> 00:10:15.980]   There's also shorthands.
[00:10:15.980 --> 00:10:19.660]   So if you know that you're going to be starting with the first element of the array.
[00:10:19.660 --> 00:10:22.780]   So if you know I'm starting, I want 0, 1, 2 and it starts with 0,
[00:10:22.780 --> 00:10:25.140]   then you don't need to even include the first index.
[00:10:25.140 --> 00:10:28.700]   You can just leave that and include the last index that would be excluded.
[00:10:28.700 --> 00:10:30.780]   So that would be blank,
[00:10:30.780 --> 00:10:34.060]   semi-colon 3 and same deal with the end.
[00:10:34.060 --> 00:10:36.420]   If you know that you want to take everything,
[00:10:36.420 --> 00:10:40.420]   let's say from like 5 and 6 till the end of the array,
[00:10:40.420 --> 00:10:42.140]   you can start with what would you like.
[00:10:42.140 --> 00:10:43.980]   So 0, 1, 2, 3, 4,
[00:10:43.980 --> 00:10:46.540]   5 till the end and leave that.
[00:10:46.540 --> 00:10:51.580]   Fun fact, so this semi-colon,
[00:10:51.580 --> 00:10:52.820]   when you take just the semi-colon,
[00:10:52.820 --> 00:10:55.820]   it'll take everything in the list but it'll also create a duplicate in memory.
[00:10:55.820 --> 00:10:57.820]   That's a very slight,
[00:10:57.820 --> 00:11:03.700]   very useful thing to know because sometimes when you like pass lists in array,
[00:11:03.700 --> 00:11:06.500]   sorry in Python which is out of scope of this tutorial,
[00:11:06.500 --> 00:11:08.140]   you'd only pass the reference to it.
[00:11:08.140 --> 00:11:10.380]   So if you will change the array, that gets changed.
[00:11:10.380 --> 00:11:13.800]   This will create an entirely separate copy in memory of the exact same array.
[00:11:13.800 --> 00:11:15.740]   So if you make any changes to it,
[00:11:15.740 --> 00:11:17.300]   it won't affect your original array.
[00:11:17.300 --> 00:11:19.620]   So this is a very pretty neat way to do that.
[00:11:19.620 --> 00:11:22.780]   Then another fun thing that Python has which is pretty unique,
[00:11:22.780 --> 00:11:24.500]   is you can index negatively.
[00:11:24.500 --> 00:11:28.060]   So negative indexing means you index from the back of the array.
[00:11:28.060 --> 00:11:31.460]   So minus 1 refers to the last element of the array,
[00:11:31.460 --> 00:11:35.180]   minus 3 will refer to the third last element.
[00:11:35.180 --> 00:11:38.380]   So what minus 1 will give you will be 6 in this case,
[00:11:38.380 --> 00:11:40.540]   but minus 3 will give you will be everything
[00:11:40.540 --> 00:11:42.460]   because you're starting with the minus 3 elements.
[00:11:42.460 --> 00:11:43.880]   So minus 1, minus 2,
[00:11:43.880 --> 00:11:46.240]   minus 3 till the end.
[00:11:46.240 --> 00:11:48.760]   Then this one seems kind of confusing, right?
[00:11:48.760 --> 00:11:49.820]   3 to minus 2.
[00:11:49.820 --> 00:11:52.500]   So this will do is it will give you 0, 1, 2, 3.
[00:11:52.500 --> 00:11:55.740]   So you start with 3 and then minus 1, minus 2.
[00:11:55.740 --> 00:11:57.460]   So you leave off the x,
[00:11:57.460 --> 00:12:00.740]   the last because you excluded within lists.
[00:12:00.740 --> 00:12:02.620]   You'd only get 3 and 4.
[00:12:02.620 --> 00:12:06.900]   That's what this is. Okay. That's about lists.
[00:12:06.900 --> 00:12:09.500]   Tuples are immutable arrays.
[00:12:09.500 --> 00:12:12.420]   So once you declare the values of these, they cannot be changed.
[00:12:12.420 --> 00:12:13.620]   So I start with, you know,
[00:12:13.620 --> 00:12:16.100]   we started with like the list of Zack and Jay.
[00:12:16.100 --> 00:12:18.620]   Tuples, you start with Zack and Jay.
[00:12:18.620 --> 00:12:20.700]   You can still access them.
[00:12:20.700 --> 00:12:22.940]   You know, I can still print out names 0,
[00:12:22.940 --> 00:12:24.180]   same as I did with lists.
[00:12:24.180 --> 00:12:25.940]   But if I try to change it,
[00:12:25.940 --> 00:12:27.780]   in this case, it'll throw an error.
[00:12:27.780 --> 00:12:29.580]   So tuples, once you've instantiated them,
[00:12:29.580 --> 00:12:31.300]   they cannot be changed.
[00:12:31.300 --> 00:12:32.860]   To create an empty tuple,
[00:12:32.860 --> 00:12:35.580]   you just create, you can either use just a tuple sign,
[00:12:35.580 --> 00:12:38.700]   or oftentimes you can just use the parentheses brackets.
[00:12:38.700 --> 00:12:40.180]   So you can just say, for example,
[00:12:40.180 --> 00:12:44.500]   as you did here, just parentheses to instantiate something.
[00:12:44.500 --> 00:12:47.900]   All right. And yeah, this one,
[00:12:47.900 --> 00:12:49.980]   we'll come to a little bit later in shapes.
[00:12:49.980 --> 00:12:52.420]   But you can also have a tuple of a single value.
[00:12:52.420 --> 00:12:55.620]   And all you have to do there is just put the value and put a comma.
[00:12:55.620 --> 00:12:57.420]   So that just shows that you have a tuple,
[00:12:57.420 --> 00:12:59.580]   which is like an immutable array.
[00:12:59.580 --> 00:13:01.220]   So you can't change it. It's a list,
[00:13:01.220 --> 00:13:04.100]   but only of one item. And that's here.
[00:13:04.100 --> 00:13:06.620]   Okay. I'll quickly move to dictionaries.
[00:13:06.620 --> 00:13:09.620]   For those of you who might be familiar with other languages,
[00:13:09.620 --> 00:13:13.140]   this is the equivalent of a hash map or hash table.
[00:13:13.140 --> 00:13:15.340]   What this is useful for essentially is mapping
[00:13:15.340 --> 00:13:18.060]   one value to another in a really, really quick way.
[00:13:18.060 --> 00:13:19.420]   So if I want to map, for example,
[00:13:19.420 --> 00:13:20.940]   a string to an index,
[00:13:20.940 --> 00:13:23.620]   which you will happen to do a lot of in your homeworks,
[00:13:23.620 --> 00:13:25.940]   this is a really, really useful way to do that.
[00:13:25.940 --> 00:13:29.340]   And so what it does is you can instantiate this dictionary.
[00:13:29.340 --> 00:13:31.060]   And it says corresponding that
[00:13:31.060 --> 00:13:34.340]   Zack is going to correspond to this string value, whatever it is.
[00:13:34.340 --> 00:13:37.580]   And so anytime I want to retrieve the string value,
[00:13:37.580 --> 00:13:39.500]   I just use this dictionary.
[00:13:39.500 --> 00:13:40.940]   I index by it,
[00:13:40.940 --> 00:13:42.180]   which is what I do here,
[00:13:42.180 --> 00:13:44.300]   and then it outputs the corresponding value.
[00:13:44.300 --> 00:13:46.740]   And it does that really, really quickly.
[00:13:46.740 --> 00:13:51.300]   And yeah, so it's really useful, very, very commonly used.
[00:13:51.300 --> 00:13:52.860]   Especially when you sort of, for example,
[00:13:52.860 --> 00:13:55.620]   you have like a list of strings or a list of items,
[00:13:55.620 --> 00:13:58.940]   and you want to have a corresponding index for them.
[00:13:58.940 --> 00:14:01.020]   Because as you'll see in NLP,
[00:14:01.020 --> 00:14:02.740]   oftentimes you're using with- you're working with
[00:14:02.740 --> 00:14:04.620]   indices and numbers in particular.
[00:14:04.620 --> 00:14:08.100]   So it's a really great way to sort of move from like
[00:14:08.100 --> 00:14:11.860]   string formats to just like numerical index values.
[00:14:11.860 --> 00:14:14.340]   There's some other things you can do for dictionaries.
[00:14:14.340 --> 00:14:16.300]   You can check whether certain elements are in there.
[00:14:16.300 --> 00:14:20.100]   So if you, for example, try to index phone book is equal to Monty,
[00:14:20.100 --> 00:14:22.180]   they'll throw an error because there's no string that
[00:14:22.180 --> 00:14:24.260]   says Monty in that phone book dictionary.
[00:14:24.260 --> 00:14:28.100]   And so sometimes you might be wanting to do checks before you extract a value.
[00:14:28.100 --> 00:14:29.740]   And so this will just check, for example,
[00:14:29.740 --> 00:14:31.380]   if I do print Monty and phone book,
[00:14:31.380 --> 00:14:33.820]   it should say false or for example here Kevin and phone book,
[00:14:33.820 --> 00:14:34.780]   it should say false.
[00:14:34.780 --> 00:14:37.100]   While something that's actually in that dictionary,
[00:14:37.100 --> 00:14:39.140]   Zach will be true.
[00:14:39.140 --> 00:14:42.700]   Okay. And then if you'd like to delete an entry from the,
[00:14:42.700 --> 00:14:46.820]   um, from the dictionary, you can just do that using the del command.
[00:14:46.820 --> 00:14:51.500]   All right. Let's move to loops, um, quickly.
[00:14:51.500 --> 00:14:56.260]   So loops are a really great way to optimize for the same kind of op-
[00:14:56.260 --> 00:14:58.220]   same kind of operation you're doing.
[00:14:58.220 --> 00:15:00.540]   Um, it's also a great way to, um,
[00:15:00.540 --> 00:15:03.180]   start to sequentially go over, um,
[00:15:03.180 --> 00:15:06.020]   those list type or array type objects we were talking about earlier.
[00:15:06.020 --> 00:15:08.300]   You know, you have like a list of names, right?
[00:15:08.300 --> 00:15:10.260]   Um, how do you access all of them?
[00:15:10.260 --> 00:15:12.220]   So loops are really a great way to do that.
[00:15:12.220 --> 00:15:13.740]   Um, in Python, um,
[00:15:13.740 --> 00:15:15.580]   they've abstracted away a lot of the confusing sort
[00:15:15.580 --> 00:15:18.020]   of, um, parts in other languages that might be.
[00:15:18.020 --> 00:15:19.540]   You- you can really, for example,
[00:15:19.540 --> 00:15:21.420]   first index on numbers.
[00:15:21.420 --> 00:15:24.420]   So what you do is you have like a range function that you call.
[00:15:24.420 --> 00:15:26.340]   So here you say range, um,
[00:15:26.340 --> 00:15:28.460]   and the range of the last number you'd want.
[00:15:28.460 --> 00:15:31.860]   So what this range function will return is 0, 1, 2, 3, 4,
[00:15:31.860 --> 00:15:33.860]   and that's what will be stored in this i value.
[00:15:33.860 --> 00:15:36.140]   And here it's just printing out that i value.
[00:15:36.140 --> 00:15:37.720]   So if I want to, for example,
[00:15:37.720 --> 00:15:40.540]   loop over the length of an- of a list of size 10,
[00:15:40.540 --> 00:15:42.660]   I just have to do for i in range 10,
[00:15:42.660 --> 00:15:45.720]   and then index that corresponding part of the list.
[00:15:45.720 --> 00:15:48.180]   You technically don't even have to do that because in Python,
[00:15:48.180 --> 00:15:51.020]   you can just directly get the element of the list.
[00:15:51.020 --> 00:15:52.900]   So here I have an- a list of,
[00:15:52.900 --> 00:15:55.060]   um, names where I have Zach,
[00:15:55.060 --> 00:15:58.900]   Jay, and Richard. Instead of saying first the length of the list,
[00:15:58.900 --> 00:16:00.740]   and then doing this range operation,
[00:16:00.740 --> 00:16:03.460]   I can just directly say for name and names,
[00:16:03.460 --> 00:16:04.580]   and then print out the names,
[00:16:04.580 --> 00:16:07.540]   and it will just directly get the element in each list.
[00:16:07.540 --> 00:16:09.780]   Um, but sometimes you might want both.
[00:16:09.780 --> 00:16:12.940]   You might both want this element Zach,
[00:16:12.940 --> 00:16:14.760]   as well as its position in the array.
[00:16:14.760 --> 00:16:16.440]   And for that, you can actually use
[00:16:16.440 --> 00:16:18.540]   this really helpful function called enumerate.
[00:16:18.540 --> 00:16:21.820]   And so enumerate will basically pair those two values,
[00:16:21.820 --> 00:16:23.020]   and it'll give you the, um,
[00:16:23.020 --> 00:16:25.460]   both the value which is here in name for example,
[00:16:25.460 --> 00:16:28.060]   and its corresponding index within the array,
[00:16:28.060 --> 00:16:30.860]   um, both together. So that's really, really convenient.
[00:16:30.860 --> 00:16:32.620]   Versus for example, having to do this like
[00:16:32.620 --> 00:16:34.620]   a little bit more complicated range operation,
[00:16:34.620 --> 00:16:37.980]   where you first take the range and then you index the list.
[00:16:37.980 --> 00:16:39.900]   How do you iterate over a dictionary?
[00:16:39.900 --> 00:16:41.740]   So for dictionaries, um,
[00:16:41.740 --> 00:16:43.300]   if you want to inter- um,
[00:16:43.300 --> 00:16:45.140]   iterate over what's called the keys.
[00:16:45.140 --> 00:16:47.300]   So all of these first items that you first,
[00:16:47.300 --> 00:16:49.140]   you know, put into the dic- the dictionary,
[00:16:49.140 --> 00:16:51.140]   you can just iterate the same way you would a list.
[00:16:51.140 --> 00:16:52.860]   You just say for name in for example,
[00:16:52.860 --> 00:16:54.940]   phone book, and you can output the keys.
[00:16:54.940 --> 00:16:58.020]   If you want to iterate over what is stored in the list,
[00:16:58.020 --> 00:16:59.460]   which is called a value,
[00:16:59.460 --> 00:17:02.720]   you'd have to do the dictionary dot values.
[00:17:02.720 --> 00:17:03.940]   And if you want both,
[00:17:03.940 --> 00:17:05.780]   you use the dot items function.
[00:17:05.780 --> 00:17:08.340]   And so that will print out both of these.
[00:17:08.340 --> 00:17:13.460]   All right. So this is sort of covering
[00:17:13.460 --> 00:17:17.300]   the overarching most commonly used sort of structures, um,
[00:17:17.300 --> 00:17:20.140]   lists, um, dictionaries, and then loops,
[00:17:20.140 --> 00:17:22.820]   and how to sort of efficiently use them within your code.
[00:17:22.820 --> 00:17:26.540]   We'll quickly be moving to the sort of meat of what,
[00:17:26.540 --> 00:17:28.500]   um, is really, really strong about Python,
[00:17:28.500 --> 00:17:30.580]   and what you'll be using a lot for your coming homework,
[00:17:30.580 --> 00:17:34.020]   especially homework two, um, which is NumPy.
[00:17:34.020 --> 00:17:38.140]   Okay. So for NumPy also I'm going to be going to the CoLab,
[00:17:38.140 --> 00:17:41.100]   but just quickly wanted to mention, um, what NumPy is.
[00:17:41.100 --> 00:17:44.020]   So NumPy is basically an optimized library,
[00:17:44.020 --> 00:17:46.100]   um, for mathematical operations.
[00:17:46.100 --> 00:17:47.900]   You know, people tend to like MathLab because it's very,
