
[00:00:00.000 --> 00:00:10.300]   for people of all ages, are there zero cost tools in the form of groups to help people
[00:08:08.780 --> 00:08:16.500]   to be able to do that, we need people around us supporting us. In a study in my own lab, we thought,
[00:08:16.760 --> 00:08:22.940]   well, probably this risk for a broken heart, this risk of dying of a heart attack, isn't, you know,
[00:08:22.940 --> 00:08:29.420]   24-7 equally risky. So we brought people into the lab and had them experience a wave of grief while
[00:08:29.420 --> 00:08:36.360]   they were hooked up to ECG and blood pressure and so forth. And what we saw was everybody's blood
[00:08:36.360 --> 00:08:42.600]   pressure goes up during a wave of grief. That's probably not too surprising. But what we saw was
[00:08:42.600 --> 00:08:49.400]   the people who, when they walked in the door, told us they were having the most intense grief,
[00:08:49.400 --> 00:08:56.580]   their blood pressure went up the most. And then in a replication study in Germany, we saw that their
[00:08:56.580 --> 00:09:04.040]   blood pressure didn't recover. So you can see that these waves of grief that our body and our mind and
[00:09:04.040 --> 00:09:15.200]   our brain have to learn how to cope with and then eventually to adapt to. Those require a physical
[00:09:15.200 --> 00:09:22.980]   body that can sustain that. They require relationships that can support us and sustain that. And this is
[00:09:22.980 --> 00:09:29.840]   why I think support is so important, even though it doesn't take away the pain of missing your person,
[00:09:29.840 --> 00:09:37.760]   right? Because we need every resource we can muster in the midst of this moment. Now, it does also mean
[00:09:37.760 --> 00:09:47.440]   that as much as we are missing our person and it feels so isolating to try and explain that there's a
[00:09:47.440 --> 00:09:56.320]   hole in the room when no one else can see that hole, it does help at some level to talk to this other
[00:09:56.320 --> 00:10:03.040]   person who is seeing a different hole in the room, who's also going through grief, because we recognize
[00:10:03.040 --> 00:10:09.640]   grieving is a human experience. And that you're not connected because you both miss the same person,
[00:10:09.640 --> 00:10:16.300]   but you are connected because you're both missing, right? And so I think that bereavement support can be
[00:10:16.300 --> 00:10:23.040]   incredibly helpful to connect with others who are going through this same process. And frankly,
[00:10:23.040 --> 00:10:31.500]   I don't recommend and some bereavement support groups actually prohibit dating relationships from a grief
[00:10:31.500 --> 00:10:41.160]   support group. But the reality is the people that we connect with are also people potentially that we
[00:10:41.160 --> 00:10:49.340]   develop stronger attachment bonds with. That's how community works, right? And so I think bereavement
[00:10:49.340 --> 00:11:01.500]   support can be incredibly important. We do know for the one out of 10 who develop a disordered grieving who
[00:11:01.500 --> 00:11:10.380]   really are not showing any changes over time, even though time is passing, those people might need a very
[00:11:10.380 --> 00:11:18.920]   specific evidence-based psychotherapy intervention because we know that those psychology interventions
[00:11:18.920 --> 00:11:23.640]   can get us back on a normal or typical grieving trajectory.
[00:11:23.640 --> 00:11:31.980]   So,

