
[00:00:00.040 --> 00:00:09.300]   Til
[00:03:22.040 --> 00:03:22.120]   I´ll be back in a moment or two.
[00:03:22.120 --> 00:03:22.160]   I´ll be back in a moment or two.
[00:03:22.160 --> 00:03:22.200]   I´ll be back in a moment or two.
[00:03:22.200 --> 00:03:22.240]   I´ll be back in a moment or two.
[00:03:22.240 --> 00:03:22.280]   I´ll be back in a moment or two.
[00:03:22.280 --> 00:03:22.320]   I´ll be back in a moment or two.
[00:03:22.320 --> 00:03:22.400]   I´ll be back in a moment or two.
[00:03:22.400 --> 00:03:22.440]   I´ll be back in a moment or two.
[00:03:22.440 --> 00:03:22.480]   I´ll be back in a moment or two.
[00:03:22.480 --> 00:03:22.520]   I´ll be back in a moment or two.
[00:03:22.520 --> 00:03:51.520]  ,
[00:03:51.520 --> 00:03:51.560]   I´ll be back in a moment or two.
[00:03:51.560 --> 00:03:51.640]   I´ll be back in a moment or two.
[00:03:51.640 --> 00:03:51.680]   I´ll be back in a moment or two.
[00:03:51.680 --> 00:03:51.720]   I´ll be back in a moment or two.
[00:03:51.720 --> 00:03:51.760]   I´ll be back in a moment or two.
[00:03:51.760 --> 00:03:51.800]   I´ll be back in a moment or two.
[00:03:51.800 --> 00:03:51.880]   I´ll be back in a moment or two.
[00:03:51.880 --> 00:03:51.920]   I´ll be back in a moment or two.
[00:03:51.920 --> 00:03:51.960]   I´ll be back in a moment or two.
[00:03:51.960 --> 00:03:52.000]   I´ll be back in a moment or two.
[00:03:52.000 --> 00:03:52.040]   I´ll be back in a moment or two.
[00:03:52.040 --> 00:03:52.120]   I´ll be back in a moment or two.
[00:03:52.120 --> 00:03:52.160]   I´ll be back in a moment or two.
[00:03:52.160 --> 00:03:52.200]   I´ll be back in a moment or two.
[00:03:52.200 --> 00:03:52.240]   I´ll be back in a moment or two.
[00:03:52.240 --> 00:03:52.240]   I´ll be back in a moment or two.
[00:04:20.960 --> 00:04:21.440]   and I´ll be back in a moment or two.
[00:04:21.440 --> 00:04:21.440]   and I´ll be back in a moment or two.
[00:04:21.440 --> 00:04:21.480]   And I´ll be back in a moment or two.
[00:04:21.480 --> 00:04:21.720]   And I´ll be back in a moment or two.
[00:04:21.720 --> 00:04:21.960]   And I´ll be back in a moment or two.
[00:04:21.960 --> 00:04:22.000]   And I´ll be back in a moment or two.
[00:04:22.000 --> 00:04:22.040]   And I´ll be back in a moment or two.
[00:04:22.040 --> 00:04:22.080]   And I´ll be back in a moment or two.
[00:04:22.080 --> 00:04:22.160]   And I´ll be back in a moment or two.
[00:04:22.160 --> 00:04:22.200]   And I´ll be back in a moment or two.
[00:04:22.200 --> 00:04:22.240]   And I´ll be back in a moment or two.
[00:04:22.240 --> 00:04:22.240]   And I´ll be back in a moment or two.
[00:04:22.240 --> 00:04:22.240]   And I´ll be back in a moment or two.
[00:04:22.240 --> 00:04:22.240]   And I´ll be back in a moment or two.
[00:04:22.240 --> 00:04:22.240]   And I´ll be back in a moment or two.
[00:04:52.260 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.240 --> 00:05:22.240]   And I´ll be back in a moment or two.
[00:05:22.780 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two.
[00:05:52.260 --> 00:05:52.260]   And I´ll be back in a moment or two. And I´ll be back in a moment or two.
[00:05:52.300 --> 00:06:22.280]   beneficiary, and I´ll be back in a moment or two.
[00:06:22.280 --> 00:06:22.280]   The strategies that are effective for discharging your child support obligations
[00:06:22.280 --> 00:06:22.280]   The strategies that are effective for discharging your child support obligations
[00:06:22.280 --> 00:06:22.280]   The strategies that are effective for discharging your child support obligations
[00:06:22.280 --> 00:06:22.280]   almost all have to be done prior to the finalization of a divorce decree.
[00:06:22.280 --> 00:06:22.280]   Because the government is deeply committed to making sure that child support gets paid, deeply deeply committed.
[00:06:22.280 --> 00:06:22.280]   There´s all kinds of crazy stuff. First of all, at the end result, there´s all kinds of shaming things.
[00:06:22.280 --> 00:06:22.280]   Many states publish the names and photos of people who are
[00:06:22.280 --> 00:06:22.280]   The government is deeply committed to making sure that child support gets paid deeply deeply committed.
[00:06:22.280 --> 00:06:22.280]   There´s all kinds of crazy stuff. First of all, at the end result, there´s all kinds of shaming things.
[00:06:22.280 --> 00:06:22.280]   Many states publish the names and photos of people who are
[00:06:22.280 --> 00:06:22.280]   many states publish the names and photos of people who are
[00:06:22.320 --> 00:06:52.300]   child support obligations to engage in public shaming operations.
[00:06:52.300 --> 00:06:52.300]   Many states publish the names and photos of people who are
[00:06:52.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.320 --> 00:07:22.320]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:22.360 --> 00:07:52.340]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:52.340 --> 00:07:52.340]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:52.340 --> 00:07:52.340]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:52.340 --> 00:07:52.340]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:07:52.340 --> 00:07:52.340]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:07:52.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:22.360 --> 00:08:22.360]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:22.400 --> 00:08:52.380]   the government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:52.380 --> 00:08:52.380]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:52.380 --> 00:08:52.380]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:52.380 --> 00:08:52.380]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:52.380 --> 00:08:52.380]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:08:52.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:22.400]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:22.400 --> 00:09:52.420]   the government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:52.420 --> 00:09:52.420]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:52.420 --> 00:09:52.420]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:52.420 --> 00:09:52.420]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:09:52.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:22.440]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:22.440 --> 00:10:52.460]  ,
[00:10:52.460 --> 00:10:52.460]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:52.460 --> 00:10:52.460]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:52.460 --> 00:10:52.460]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:52.460 --> 00:10:52.460]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:52.460 --> 00:10:52.460]   The government is deeply committed to making sure that child support obligations get paid deeply committed. The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:10:52.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:22.480]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:22.480 --> 00:11:52.500]   the government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:52.500 --> 00:11:52.500]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:52.500 --> 00:11:52.500]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:11:52.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:22.520]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:22.520 --> 00:12:52.540]   the government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:52.540 --> 00:12:52.540]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:52.540 --> 00:12:52.540]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:12:52.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.560 --> 00:13:22.560]   The government is deeply committed to making sure that child support obligations get paid deeply committed.
[00:13:22.600 --> 00:13:52.580]  ,
[00:13:52.580 --> 00:13:52.580]   and yet your employer pays you from another state location, then in that case you may still be subject to the claims of another state.
[00:13:52.580 --> 00:13:52.580]   ,
[00:13:52.620 --> 00:13:59.100]   handheld
[00:13:59.100 --> 00:14:20.120]   I "
[00:14:20.120 --> 00:14:22.600]   as this, or,,,,,, brush eure None provides視 in the сделали playrotle go write water or Ned inspire a work que L Yun Nolan Talking I'm so And, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, lifting, en,'m, Bit, тер, pass, пров The,ання-D, meaning-C, AND, BotG.D,T,W kin,Y.A,Master-De,R,G.G, millenn-R.�
[00:14:22.620 --> 00:14:35.400]   If you can simply move to a state that protects those wages, you may be able to rebuild your life and put your life back together, which is the whole goal of some of these ideas.
[00:14:35.400 --> 00:14:43.600]   As I try to deal with in episode two of this series where we talked about the ethics and the morality of this, I want you to pay your debts.
[00:14:43.600 --> 00:14:47.900]   Debts that you are morally obligated to pay, I want you to pay those.
[00:14:47.900 --> 00:14:52.360]   And debts that you are legally obligated to pay, whether you are morally responsible or not.
[00:14:52.360 --> 00:14:52.620]   Кор,
[00:14:52.660 --> 00:15:22.640]  ,
[00:15:22.640 --> 00:15:22.640]   You are taking a moral stand by willfully not paying something that is legally imposed on you because the imposition of that debt is immoral.
[00:15:22.640 --> 00:15:22.640]   In general, you're going to need to pay the legal debt because your life just becomes difficult if you don't pay them.
[00:15:22.640 --> 00:15:22.640]   So you've got to pay the debt.
[00:15:22.640 --> 00:15:22.640]   You owe them morally for the debts that you're morally responsible for and then legally you generally need to clear them. The problem is how do you fight? How do you make it happen? And sometimes if you're just simply having all your money sucked out and your bank account is a little bit of money and you're just going to pay for the other person.
[00:15:22.640 --> 00:15:22.640]  , you're just going to pay the other person.
[00:15:22.660 --> 00:15:52.660]   So you're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   You're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   You're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   And once the debt is fully paid, you're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   You're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   Once the debt is fully paid, you're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   And once the debt is fully paid, you're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   Once the debt is fully paid, you're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   And once the debt is fully paid, you're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   And once the debt is fully paid, you're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   And once the debt is fully paid, you're going to have to pay the debt.
[00:15:52.660 --> 00:15:52.660]   And once the debt is fully paid, you're going to have to pay the debt.
[00:15:52.660 --> 00:16:16.780]   and if you're just working a job and making money, then it probably just simply makes your life easy to have it go directly from your paycheck to the creditor.
[00:16:16.780 --> 00:16:22.680]   It helps you not just accidentally spend the money.
[00:16:22.680 --> 00:16:22.680]   But that's very different than somebody who might owe a huge amount of money.
[00:16:22.680 --> 00:16:22.680]   Let's say that I have a $100,000 judgment that is entered against me. Well, and let's say that I'm supporting a family. I've got financial responsibilities. How am I going to do this?
[00:16:22.680 --> 00:16:22.680]   Well, and let's say that I'm supporting a family. I've got financial responsibilities. How am I going to do this?
[00:16:22.680 --> 00:16:22.680]   Well, and let's say that I'm supporting a family. I've got financial responsibilities. How am I'm going to do this?
[00:16:22.700 --> 00:16:52.700]   I'm going to pay off a $100,000 judgment just in a short amount of time with wage garnishment.
[00:16:52.700 --> 00:16:52.700]   It's not going to happen.
[00:16:52.700 --> 00:16:52.700]   And so in that situation, I'm going to need to be doing something dramatic to generate the $100,000 so that I can pay off the debt that I own.
[00:16:52.700 --> 00:16:52.700]   Oh, and in those cases, if my wages are being consumed by supporting my family, and then my wages need to be available for me to invest the money and go for some big win where I can generate $100,000 of profit, it may be very, very burdensome
[00:16:52.700 --> 00:16:52.700]   and I'm going to need to be doing something dramatic to generate the $100,000 so that I can pay off the debt that I own.
[00:16:52.700 --> 00:17:22.720]  .
[00:17:22.720 --> 00:17:22.720]   It's not going to happen.
[00:17:22.720 --> 00:17:22.720]   So I'm going to need to be doing something dramatic to generate the $100,000 of profit,
[00:17:22.720 --> 00:17:22.720]   and I'm going to need to be doing something dramatic to generate the $100,000 of profit,
[00:17:22.720 --> 00:17:22.720]   and I'm going to need to be doing something dramatic to generate the $100,000 of profit,
[00:17:22.720 --> 00:17:22.720]   and I'm going to need to be doing something dramatic to generate the $100,000 of profit,
[00:17:22.720 --> 00:17:22.720]   so I'm going to need to be doing something dramatic to generate the $100,000 of profit,
[00:17:22.720 --> 00:17:22.720]   and I'm going to need to be doing something dramatic to generate the $100,000 of profit,
[00:17:22.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.740 --> 00:17:52.740]   If the wage garnishment is just a matter of fact,
[00:17:52.780 --> 00:18:22.760]  ,
[00:18:22.760 --> 00:18:22.760]   Now remember you generally will need to file an exemption from the state of Florida, and you will be able to do so in the future.
[00:18:22.760 --> 00:18:22.760]   Now remember you generally will need to file an exemption from the state of Florida, and you will be able to do so in the future.
[00:18:22.760 --> 00:18:22.760]   Now remember you generally will need to file an exemption from the state of Florida, and you will be able to do so in the future.
[00:18:22.760 --> 00:18:22.760]   Now remember you generally will need to file an exemption from the state of Florida, and you will be able to do so in the future.
[00:18:22.760 --> 00:18:22.760]   Now remember you generally will need to file an exemption from the state of Florida, and you will be able to do so in the future.
[00:18:22.760 --> 00:18:22.760]   Now remember you generally will need to file an exemption from the state of Florida, and you will be able to do so in the future.
[00:18:22.780 --> 00:18:52.780]   The garnishment is issued, you'll need to contest it in court and claim an exemption.
[00:18:52.780 --> 00:18:52.780]   The garnishment is issued, you'll need to contest it in court and claim an exemption.
[00:18:52.780 --> 00:18:52.780]   The garnishment is issued, you'll need to contest it in court and claim an exemption.
[00:18:52.780 --> 00:18:52.780]   The garnishment is issued, you'll need to contest it in court and claim an exemption.
[00:18:52.780 --> 00:18:52.780]   The garnishment is issued, you'll need to contest it in court and claim an exemption.
[00:18:52.780 --> 00:18:52.780]   The garnishment is issued, you'll need to contest it in court and claim an exemption.
[00:18:52.780 --> 00:18:52.780]   The garnishment is issued, you'll need to contest it in court and claim an exemption.
[00:18:52.780 --> 00:18:52.780]   In general, you'll need to provide proof of your claims, proof of your dependents.
[00:18:52.780 --> 00:18:52.780]   You'll need to provide financial information about your expenses, etc., in order to get that document taken care of.
[00:18:52.820 --> 00:19:22.800]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:22.800 --> 00:19:22.800]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:22.800 --> 00:19:22.800]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:22.800 --> 00:19:22.800]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:22.800 --> 00:19:22.800]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:22.800 --> 00:19:22.800]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:22.800 --> 00:19:22.800]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:22.800 --> 00:19:22.800]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:22.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:19:52.820]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:19:52.820 --> 00:20:22.840]  , and you'll need to provide proof of your claims, etc., in order to get that document taken care of.
[00:20:22.840 --> 00:20:22.840]   You'll need to provide proof of your claims, etc., in order to get that document taken care of.
