
[00:00:00.000 --> 00:00:14.000]   *Music*
[00:04:44.120 --> 00:04:49.880]   Right? I came initially from the AI side, and I can tell you that none of us, none of us look at things the
[00:04:49.880 --> 00:04:55.160]   same way that we did, you know, a few years back. It isn't the data scientists on one side and people
[00:04:55.160 --> 00:05:01.320]   putting things into production on the other. You know, we work really closely. And so what my hope
[00:05:01.320 --> 00:05:06.680]   now is like the, there's this concept that people say all the time that, you know, developers are just
[00:05:06.680 --> 00:05:11.480]   building the pipes and that the data scientists are worried about the quality of the water inside the
[00:05:11.480 --> 00:05:18.040]   pipe. But with AI engineers, we're all worried about the pipes and the water, right? So what I really want
[00:05:18.040 --> 00:05:26.920]   is to give you as much as I can about the algorithms and about the data science and get us rolling.
[00:05:28.200 --> 00:05:34.760]   So let me see. Where's my repo? Where's my repo? Okay. Um, yeah. So just clone this repo. You can,
[00:05:34.760 --> 00:05:39.160]   you'll have it. We'll, we're going to walk through it. It's, um, it's, it's really just like a click
[00:05:39.160 --> 00:05:45.080]   through of a number of Jupyter notebooks. Um, but really like, it's all mostly about the conversation
[00:05:45.080 --> 00:05:51.160]   that we're going to have today is where we're going. So obviously everybody here, like we always start
[00:05:51.160 --> 00:05:55.560]   with the basics, right? I call them the, the GPS moments that let's review all the things everybody knows
[00:05:55.560 --> 00:06:01.240]   first. Um, we know that in our rag applications, what we're really trying to do is we're really,
[00:06:01.240 --> 00:06:06.200]   we're getting better answers, right? That's what everybody here is struggling with. Um,
[00:06:06.200 --> 00:06:12.360]   like some of the common things I hear people struggle with are, um, am I getting the right data? Do I have
[00:06:12.360 --> 00:06:19.880]   the right chunking strategy? Um, how do I handle temporal data? How do I handle data quality? Um,
[00:06:19.880 --> 00:06:23.560]   what are, what are some of your biggest like rag challenges? Anybody want to share?
[00:06:24.920 --> 00:06:30.120]   That what just irks you about what you've been working on? Everybody's so quiet.
[00:06:30.120 --> 00:06:31.640]   I should have signed up a Slack channel. Yeah.
[00:06:31.640 --> 00:06:47.560]   So we're definitely going to talk about, we're going to talk about that today. Um,
[00:06:47.560 --> 00:06:54.520]   I think one of the things that we found is that the management is, um, what? Oh, sorry. Um, the,
[00:06:54.520 --> 00:07:01.240]   the comment was, um, how to handle the volume of the data was a really big one. And the other element
[00:07:01.240 --> 00:07:07.240]   was understanding the relationships among the data. So did you go to this morning's workshop?
[00:07:07.240 --> 00:07:12.840]   No. Okay. Well, you'll, we have lots of video on it, so we can, we can definitely get that to you. Yes.
[00:07:12.840 --> 00:07:19.720]   I would add like temporal relationships. Yes. Yeah. Temporal is a really interesting thing. Um,
[00:07:19.720 --> 00:07:23.960]   I don't, I didn't, I don't have temporal in the slides, but we can definitely talk about temporal
[00:07:23.960 --> 00:07:29.720]   because it's really important for sure. Um, one of the things that we find is, you know, I, I will,
[00:07:29.720 --> 00:07:36.760]   I will give you my apologies up front. I get super excited about graphs. So I apologize in advance if I am
[00:07:36.760 --> 00:07:43.000]   overly enthusiastic about what I do because I love graphs. And there's so many times where something
[00:07:43.000 --> 00:07:47.880]   comes up and you're like, Oh, well, if you use graph, you could address it this way. So I just want to,
[00:07:47.880 --> 00:07:52.920]   you know, keep bringing these things up and let's talk through all of them. But what we're really
[00:07:52.920 --> 00:07:59.560]   looking at is how do we give this complete and curated response, right? What are we using for
[00:07:59.560 --> 00:08:05.480]   the external data? I mean, initially everybody drops their stuff into Pinecone or WeVA, you hit a vector
[00:08:05.480 --> 00:08:12.840]   store. Um, is anybody now working with multiple databases feeding into their RAG system? A little
[00:08:12.840 --> 00:08:19.880]   bit. Yeah. Still primarily vectors, primarily vectors. Yeah. Yeah. I mean, everybody uses vectors
[00:08:19.880 --> 00:08:24.600]   because they work right. Um, and that's the starting point. But the thing about the vector
[00:08:24.600 --> 00:08:29.960]   is the vector really is, I, the analogy I always say is it's like you have a bunch of little index
[00:08:29.960 --> 00:08:34.760]   cards. And so imagine if I'm the, my first day on the job and everything there is to know about my,
[00:08:34.760 --> 00:08:39.400]   is that what I have to do is on an index card. And I say, Oh, well, what do I know about this?
[00:08:39.400 --> 00:08:43.800]   And then somebody finds the index card with this little blurb. And so like, I've just got these little
[00:08:43.800 --> 00:08:48.600]   things, but I don't understand how it all puts together. Right. We don't understand what is it connected
[00:08:48.600 --> 00:08:55.320]   to, right? What is it connected to? What context do we need? And so what I want you to start thinking
[00:08:55.320 --> 00:09:00.760]   about is what are the projects that you've already been working on? When you're getting those answers
[00:09:00.760 --> 00:09:08.200]   back, what are some of the pieces of information that you wish your vector had? Right. Anybody have
[00:09:08.200 --> 00:09:12.200]   an idea of something they, you don't have to share, but like you've thought about like, Oh, if only it
[00:09:12.200 --> 00:09:17.720]   could do this, right? If only it knew about that, I would get a much better answer. If you haven't,
[00:09:17.720 --> 00:09:22.200]   then I'm sure like the, your business folks that you're responding to have because they always have
[00:09:22.200 --> 00:09:29.720]   an opinion. Right. So one of the things about the knowledge graph is that it's a way for us to bring
[00:09:29.720 --> 00:09:36.280]   our structured data and our unstructured data together. The other thing that it will do is it will
[00:09:36.280 --> 00:09:42.520]   actually find knowledge inside of your unstructured documents, right? So one of the things you brought
[00:09:42.520 --> 00:09:48.600]   up was how do we create the relationships among these documents or among these pieces of information?
[00:09:48.600 --> 00:09:55.720]   And there's a couple of ways that happens. One is it's really explicit, right? There's a table of
[00:09:55.720 --> 00:10:01.480]   information inside this document and you can pull that out, right? Old school regex, everybody's friend,
[00:10:01.480 --> 00:10:09.160]   or it's something that is less explicit and more implicit. And that's where the LLMs come in,
[00:10:09.160 --> 00:10:15.640]   finding out what is in there. So in this morning's one, and if you want to hit us up, we can definitely
[00:10:15.640 --> 00:10:20.760]   show you how we actually extract and build the knowledge graph. What we're working with today
[00:10:20.760 --> 00:10:26.840]   is I have a database already set for you folks that is a data dump that we're going to load into
[00:10:26.840 --> 00:10:31.640]   your pro trials. But the thing is this data comes from lots of different places.
[00:10:31.640 --> 00:10:39.000]   So I guess most people here are familiar with the graph, but just in case I do like my little GPS
[00:10:39.000 --> 00:10:44.760]   moments, let's talk about all the things we already know. What is a graph, right? Basically we start
[00:10:44.760 --> 00:10:51.160]   with nodes. Nodes are entities, they're your nouns, they're your items. Some people relate them to the
[00:10:51.160 --> 00:10:57.320]   tables in your relational database. These are your table names, right? But the important thing is the
[00:10:57.320 --> 00:11:05.000]   relationships among those entities. So a customer and a product, a product and a part, a supplier and a buyer.
[00:11:05.000 --> 00:11:10.520]   It's the relationships in and among these pieces of information that's where our business and where our
[00:11:10.520 --> 00:11:15.720]   information lives. In this case, we've got two people. One of them owns a car, one of them drives the car.
[00:11:15.720 --> 00:11:20.440]   They do know each other. I'm not sure why person one lives with person two, but not the other way around.
[00:11:20.440 --> 00:11:27.160]   Who knows? Life is interesting, right? So we have these relationships and this tells us what is the
[00:11:27.160 --> 00:11:36.040]   the story of the interaction between and among these. And properties. This is where we get into the nitty
[00:11:36.040 --> 00:11:42.200]   gritty. We get into the details. These are those extra columns within the table, right? Our relationships are
[00:11:42.200 --> 00:11:48.760]   our foreign keys. Our properties are the columns. The entities are the tables, like roughly, right?
[00:11:48.760 --> 00:11:55.160]   You know, don't quote me on it, but pretty close, right? As from a conceptual point. These properties
[00:11:55.160 --> 00:12:02.040]   can live on the entities. They can also live on the relationships, right? So we can see that this person
[00:12:02.040 --> 00:12:07.960]   has been driving the car since this date. It's a very old car now. But one of the other things that we're
[00:12:07.960 --> 00:12:14.520]   going to see is we see underneath this car, we see a couple of things. We've got the brand,
[00:12:14.520 --> 00:12:20.200]   the model. We have a description of the car. And what you'll see underneath is the description embedding.
[00:12:20.200 --> 00:12:25.720]   So we're all familiar with the embeddings, right? The embedding is a way of taking some piece of text,
[00:12:25.720 --> 00:12:32.600]   putting it into, you know, many, many dimensions, and creating a vector in space that represents the
[00:12:32.600 --> 00:12:40.200]   semantics of whatever that text is. One of the things that's really great about a graph
[00:12:40.200 --> 00:12:46.600]   is that you have immediately that connection from the embedding to all of the other information.
[00:12:46.600 --> 00:12:52.760]   We see it in this microcosm here of the car, the embedding of the car. And you can pretty quickly see,
[00:12:52.760 --> 00:13:00.280]   oh, if I did a vector search on, you know, this car, right? And I wanted to know who are the people
[00:13:00.280 --> 00:13:06.200]   that own cars described like X, it's a pretty quick traversal. You're going to do a vector search. It's
[00:13:06.200 --> 00:13:11.640]   going to take you to that node, that entity, right? Similar to your chunks that you've already been
[00:13:11.640 --> 00:13:16.200]   working with. But immediately, you already have all the relationships built in because they're already in
[00:13:16.200 --> 00:13:22.440]   the database, right? We don't have to, we don't have to like create new tables and views. Everything's
[00:13:22.440 --> 00:13:28.920]   already there and it's connected. So when you go into graph rag and you're working with your retrievers,
[00:13:28.920 --> 00:13:35.880]   the beauty of the retriever is in this ability to traverse and traverse very quickly and get that
[00:13:35.880 --> 00:13:42.360]   immediate context, right? So these are the basic components of what we're going to be working with
[00:13:42.360 --> 00:13:47.960]   within the database. So we're going to start at the very beginning, right? How does this,
[00:13:47.960 --> 00:13:52.680]   how does this work? We start with the entity. The first entity is the document and the document has a
[00:13:52.680 --> 00:14:00.920]   chunk, right? Pretty straightforward. It's a row in your vector store, right? But this is the interesting
[00:14:00.920 --> 00:14:09.800]   thing. You also have like, anybody here working with agents already? MCP servers? Yeah. The other thing that
[00:14:09.800 --> 00:14:14.600]   we get and what we're going to be talking a lot about today is the application. I call it the application
[00:14:14.600 --> 00:14:19.720]   graph. Like they call it a memory graph. For me, it's what is the actual activity that's happening
[00:14:19.720 --> 00:14:26.760]   in the system? What is, what is it doing? What are the messages going in and out? What are the context
[00:14:26.760 --> 00:14:33.640]   documents that are being used, right? Everything that we're building is moving quickly and it's moving at
[00:14:33.640 --> 00:14:40.680]   volume. There's massive amounts of documents and data. There's so much volume. How do we actually
[00:14:40.680 --> 00:14:46.920]   manage it? What do we do? This is going to be a key part of what we talk about today, which is the
[00:14:46.920 --> 00:14:52.920]   actual understanding of what's happening in the application and how by monitoring and looking at
[00:14:52.920 --> 00:14:59.080]   what's going on in the application, you can do things like manage your documents at scale. You can
[00:14:59.080 --> 00:15:06.680]   understand what are the actual important documents, what's influencing outcomes, right? I've got some
[00:15:06.680 --> 00:15:11.560]   good stories to share with you about what people have been working on. One of the things you mentioned
[00:15:11.560 --> 00:15:16.120]   is what other elements are there. So when we look at the entirety of the graph, we have like the memory
[00:15:16.120 --> 00:15:20.600]   graph for the application. It's connected to the chunks and then those chunks are connected to the
[00:15:20.600 --> 00:15:26.120]   domain, the products, the people, and basically all the other structured pieces of your business or the
[00:15:26.120 --> 00:15:32.120]   structured elements that you've extracted from those unstructured documents. So what you end up with is
[00:15:32.120 --> 00:15:42.840]   you end up with a fully connected network of your data and your system together. So much of the way that
[00:15:42.840 --> 00:15:47.720]   we have approached development prior is you had your data people over here and you're building people over
[00:15:47.720 --> 00:15:55.160]   there. We're all together now, right? We all work together and the way that we have to build is we build from
[00:15:55.160 --> 00:16:00.120]   that cohesive point. We build from the data and the application at the same time. So I'm just going
[00:16:00.120 --> 00:16:06.440]   to show you what becomes possible as you start taking this kind of an approach. Everything that we're
[00:16:06.440 --> 00:16:11.400]   looking at today is just this little bit of the graph, right? So we're going to be looking at prompts and
[00:16:11.400 --> 00:16:15.400]   responses and we're going to be looking at the context documents that they're connected to
[00:16:16.280 --> 00:16:21.960]   and then from there we're going to say, okay, let's figure out where we go now and what we can start to
[00:16:21.960 --> 00:16:29.560]   understand. Anybody have any questions so far? All sounds really obvious, like why are you still talking about
[00:16:29.560 --> 00:16:44.440]   this? Too slow, too fast, are we good? You're good, okay, all right, good pacing. If I go too fast because I'm from New York, I'm a fast talker, let me know. If you're getting bored, just kind of give me one of these and be like, okay, let's go.
[00:16:44.440 --> 00:16:50.520]   So that's fine, too. But the best thing that you can do is like when you have a question,
[00:16:50.520 --> 00:16:54.920]   just raise your hand because everybody has the same kinds of questions. Everybody's struggling with
[00:16:54.920 --> 00:17:01.400]   things. And what I love about AI engineer is I get to be with the people who are doing the things that
[00:17:01.400 --> 00:17:06.680]   are like you are the people that are making everything happen right now, right? I mean, our entire world is in
[00:17:06.680 --> 00:17:12.280]   like just this incredible transformation and you all are the people that are building it. And so I want to be
[00:17:12.280 --> 00:17:21.480]   here to support you in this moment because it's a pretty exciting time. So please don't be shy. Questions, comments? Yes.
[00:17:23.480 --> 00:17:29.560]   Oh, I will drop it in. It's not in right now, but I will drop it in before we leave. Thanks.
[00:17:29.560 --> 00:17:45.640]   Yeah. All right. Um, yeah, so they're all the same system. They're really just sort of like neighborhoods,
[00:17:45.640 --> 00:17:51.640]   right? They're kind of neighborhoods in the system. Um, the reason that we draw it out is because
[00:17:51.640 --> 00:17:58.280]   oftentimes people think of them as separate, right? So, um, this one doesn't have everything,
[00:17:58.280 --> 00:18:03.160]   but what we see here is we've got, this has a, this one has the source. So the yellow nodes are things
[00:18:03.160 --> 00:18:08.920]   that are coming from your application. The blues came from unstructured data. Um, we're not doing it today,
[00:18:08.920 --> 00:18:14.040]   but if you had structured data that you were also pulling in, like, uh, bringing in a table, bringing in
[00:18:14.040 --> 00:18:20.120]   some of, or whether it's, you know, already structured or has been brought out of your unstructured data,
[00:18:20.120 --> 00:18:25.720]   that would be just a different color. It's all one system. But the reason that we do this is just
[00:18:25.720 --> 00:18:31.000]   so that people conceptually understand where it's coming from and like, what does it do? Because the
[00:18:31.000 --> 00:18:38.920]   big thing really is understanding the fact that once it's all connected, your application is talking to
[00:18:38.920 --> 00:18:44.520]   all of the data and then you're structured and you're unstructured are all working together. And at any time
[00:18:44.520 --> 00:18:49.960]   you have access to understanding across that system. It's like, you know, complex systems and
[00:18:49.960 --> 00:18:56.680]   system thinking and all that good juiciness. So they're not separate. They're just neighborhoods. Yes.
[00:18:56.680 --> 00:18:58.840]   So, so, um, what you are...
[00:18:58.840 --> 00:19:03.880]   Are you proposing that you have like one massive graph?
[00:19:03.880 --> 00:19:04.840]   Yeah.
[00:19:04.840 --> 00:19:05.480]   Okay.
[00:19:05.480 --> 00:19:10.680]   I mean, don't start with a massive graph, right? Like, let's be honest. Let's start with something small.
[00:19:10.680 --> 00:19:19.800]   I mean, my first piece of advice is always start small. Um, the other thing to really, as always, we always want to look at optimization. We want to make sure that we're
[00:19:19.800 --> 00:19:23.720]   we're building for the latency that we need. There's always going to be context. Yes.
[00:19:23.720 --> 00:19:26.520]   Can you elaborate on that? They mentioned it this morning as well.
[00:19:26.520 --> 00:19:27.240]   Yeah.
[00:19:27.240 --> 00:19:27.240]   To start small.
[00:19:27.240 --> 00:19:32.680]   But when you're trying to map, for example, the ontology of, of an organization and be able to have an
[00:19:32.680 --> 00:19:33.240]   assistant have access to that.
[00:19:33.240 --> 00:19:33.240]   Yeah.
[00:19:33.240 --> 00:19:35.240]   We've always had to go big.
[00:19:35.240 --> 00:19:35.240]   Yeah.
[00:19:35.240 --> 00:19:39.240]   How do you, how do you, how do you do small? Just break it apart?
[00:19:39.240 --> 00:19:44.200]   Yeah. Um, well, I mean, that's probably an ABK question.
[00:19:44.200 --> 00:19:50.280]   Yeah. So some of the complexity like for, for really big graphs, part of the bigness of it is
[00:19:50.280 --> 00:19:54.360]   not just the number of nodes and relationships you have, but the number of labels and relationship
[00:19:54.360 --> 00:19:59.960]   types that you have. And for like a large organization, don't over specify. So you start
[00:19:59.960 --> 00:20:05.240]   up with like kind of generic terms, see if that works. And if you've got too many, too much volume in the
[00:20:05.240 --> 00:20:10.600]   generic terms to segment, then you get more specific. And so, and the other part about that,
[00:20:10.600 --> 00:20:15.160]   I suppose, is that you start with not all of the data, but like some of the data, work with it,
[00:20:15.160 --> 00:20:19.720]   do some eval, figure out if it's doing what you want to, and then refine before you suck in
[00:20:19.720 --> 00:20:25.240]   everything and create the entire database. So you kind of iterate on the schema with a subset of the
[00:20:25.240 --> 00:20:27.320]   data. It's normal data engineering, I guess, right?
[00:20:27.320 --> 00:20:27.720]   Yeah.
[00:20:27.720 --> 00:20:31.720]   Do just some of the data, start generic, and then get more specific. Yep.
[00:20:31.720 --> 00:20:42.280]   When you say big versus small, you're talking ontology, not knowledge graph, right?
[00:20:42.280 --> 00:20:46.200]   Correct. Yeah, that's right. So on, so talking about the ontology or the schema,
[00:20:46.200 --> 00:20:50.920]   like the, how the graph is actually laid out, rather than the number of each kinds of things,
[00:20:50.920 --> 00:20:54.040]   right? So starting there, iterating on that first, and then bringing all the data.
[00:20:54.040 --> 00:20:54.760]   Yeah.
[00:20:54.760 --> 00:20:56.200]   Yeah?
[00:20:56.200 --> 00:21:00.360]   What are your thoughts on the raptor indexes? Are you presenting indexes in a tree-based
[00:21:00.360 --> 00:21:06.360]   structure based on some hierarchy versus knowledge graphs? And what performs better in what scenarios?
[00:21:06.360 --> 00:21:15.560]   The raptor-based indexes, like if you represent content in more hierarchical tree-based structures,
[00:21:15.560 --> 00:21:22.040]   and then you are having summaries in hierarchical nodes, searching through those versus knowledge
[00:21:22.040 --> 00:21:27.800]   graphs, which scenarios plays out better? Like we should go with raptor indexes versus knowledge graphs?
[00:21:27.800 --> 00:21:35.400]   The right answer is the annoying answer of it depends. And so you should have your eval drive the
[00:21:35.400 --> 00:21:38.600]   structure, right? So come up with some eval. What are the, what are you actually trying to do? What
[00:21:38.600 --> 00:21:42.520]   are the questions people are going to ask? And it's the usual thing, the questions people that you're
[00:21:42.520 --> 00:21:47.480]   going to ask or people are going to ask should drive the data model here, the ontology. But that also
[00:21:47.480 --> 00:21:51.640]   ends up meaning, do you put things into summarization over communities? Or do you have the knowledge graph
[00:21:51.640 --> 00:21:59.880]   representation of it? This can be driven by the questions. Yeah, makes sense. Yeah. So if you can find
[00:21:59.880 --> 00:22:04.440]   your way to that workshop Neo4j, I've just pasted it in OpenAI key there. You're going to end up
[00:22:04.440 --> 00:22:10.440]   needing that at some point while we get this repo updated. And I guess at the meantime as well,
[00:22:10.440 --> 00:22:14.200]   I'll just answer any arbitrary questions you have. Yeah.
[00:22:14.200 --> 00:22:23.640]   Yeah, it's neither of those. Really? It's the graph analytics workshop. What?
[00:22:23.640 --> 00:22:29.640]   No, I know. I've done so many different workshops lately. Like it's, yeah. I'll clean up the repos. Sorry.
[00:22:29.640 --> 00:22:33.960]   Slack channel, yeah. Oh. No, so. Oh, you have a Slack channel. There's a Slack channel in the
[00:22:33.960 --> 00:22:38.120]   AI engineer's workspace. Oh. Oh, sorry. There's two. Yeah. Okay. So it should be the workshop
[00:22:38.120 --> 00:22:45.800]   -new4j1, not the workshop -new4j2025. I didn't realize there was yet another one. Okay. All right.
[00:22:45.800 --> 00:22:57.640]   All right. Yeah. Thank you, Devon, for putting in the GitHub link. Where are you? Oh, I know. Hold on. Hold the phone. Because...
[00:22:57.640 --> 00:23:07.640]   So one of the things that we're going to end up exploring here, and we touched on this a little bit this morning,
[00:23:08.600 --> 00:23:12.840]   some of the motivation behind both GraphRag and then also doing graph analytics on top of the graph.
[00:23:12.840 --> 00:23:19.960]   One of the aspects I always like to call out, and it isn't as obvious, I think, until you get pointed out,
[00:23:19.960 --> 00:23:25.240]   and then it's super obvious, is that part of what we're doing is for the core data you start with,
[00:23:25.240 --> 00:23:31.320]   particularly with unstructured data, if you're doing chunking, of course, that by using GraphRag and graph
[00:23:31.320 --> 00:23:36.760]   analytics, you're expanding the number of answerable questions for the same base data set.
[00:23:36.760 --> 00:23:42.280]   That if you would say roughly, for every chunk you've got, you can answer one question, right?
[00:23:42.280 --> 00:23:45.240]   And it's being linear. Number of chunks equals number of questions you can answer.
[00:23:45.240 --> 00:23:51.320]   If you think for every chunk you've got, you do the, and this is the upper bounds, take every pair of
[00:23:51.320 --> 00:23:55.320]   chunks, do the Cartesian product of all the chunks, say, "What do these two chunks have together?"
[00:23:55.320 --> 00:24:00.440]   Have in common, or "How are they different?" Create relationships or don't create relationships in them.
[00:24:00.440 --> 00:24:06.120]   In the upper bounds, that is now, you know, n squared number of possible connections.
[00:24:06.120 --> 00:24:09.480]   Every time you do that, that's new information that's possible.
[00:24:09.480 --> 00:24:13.720]   So now you've got an order of magnitude more, you know, questions that can be answered.
[00:24:13.720 --> 00:24:18.520]   Once you've got everything connected, you can then also do the community detection stuff that they touched on this morning,
[00:24:18.520 --> 00:24:23.160]   and we'll get into maybe a little bit today as well, that now that you've got all these chunks connected,
[00:24:23.720 --> 00:24:29.400]   it's not just the pairwise connections that are new information, it's the subsets that are through
[00:24:29.400 --> 00:24:35.160]   those connections that also can answer new bits of information. So that if you have, if I'm in the graph,
[00:24:35.160 --> 00:24:40.120]   and you're in the graph, and you're in the graph, you know, or you over there, whoever, maybe Allison,
[00:24:40.120 --> 00:24:44.600]   that it's not just us individually, but like how we're related and who we know, the connections between
[00:24:44.600 --> 00:24:50.280]   us and the connections across everybody else, all that ends up being slices of the graph that are particular
[00:24:50.280 --> 00:24:55.880]   to the individual places that you've started. That ends up forming all this, it's not the full power
[00:24:55.880 --> 00:25:01.800]   set of all the subsets within the set, but it's hugely amount, like if you started with like 10
[00:25:01.800 --> 00:25:07.800]   chunks, by just going to the pairwise connections, you end up with 100 answerable questions. And once you
[00:25:07.800 --> 00:25:13.080]   start doing the sub communities, so the subset of all the sets, at the upper end, it ends up being
[00:25:14.040 --> 00:25:19.480]   exponential. This is the power of graphs. Yes. It's two to the n instead of n squared, right?
[00:25:19.480 --> 00:25:25.560]   Would you love math? Thank you, ABK. Okay, so we have pushed, if you have pulled, you will want to
[00:25:25.560 --> 00:25:32.440]   refresh this pull, this fork. So what you're going to see is a few different things. One is, I do have a
[00:25:32.440 --> 00:25:40.040]   link actually to the slides. And then, actually we're not doing Docker, you can ignore that. But when we go
[00:25:40.040 --> 00:25:46.600]   down to the bottom in connecting to Neo4j or a DB, you're going to see the link to, you're going to see
[00:25:46.600 --> 00:25:53.960]   the link to console@neo4j.io. So we're going to have everybody go there. When you get in there, you're going to
[00:25:53.960 --> 00:26:07.240]   create a new instance. Oops, sorry. Yeah, it's console.neo4j.io. This is in the readme in the
[00:26:07.240 --> 00:26:18.680]   repository. Do you not? Let me see. Is it in the Slack channel? Which Slack are we? Are we 2025?
[00:26:18.680 --> 00:26:26.520]   Not the 2025. We are not 2025. We're old school. We're not 2025. We're either in the future or deep
[00:26:26.520 --> 00:26:33.000]   in the past. But we are not right now. All right. We're the other one. So when you go in there,
[00:26:33.000 --> 00:26:39.400]   you're going to have a couple of different options for free tiers. One is the Aura Free, which is
[00:26:39.400 --> 00:26:45.960]   smaller. It doesn't have as much of the optimization as the Pro Trial. So we're going to be using the Pro
[00:26:45.960 --> 00:26:51.960]   Pro Trial today. I believe it's 14 days right now on the Pro Trial. But you can, if you want to work
[00:26:51.960 --> 00:26:58.280]   on your own project later, go in and start an Aura Free instance as well. And that, as long as you're
[00:26:58.280 --> 00:27:02.520]   querying it every so often, it'll stay open and it will always stay free. Yes.
[00:27:02.520 --> 00:27:04.360]   Is there a preference on the cloud provider?
[00:27:04.360 --> 00:27:16.040]   No. It's your choice. Your choice. Oh, sorry. The question was, is there a preference for
[00:27:16.040 --> 00:27:22.920]   cloud provider? And I said, no, there is not. The more you spread it out, the easier it is. We move
[00:27:22.920 --> 00:27:30.360]   along. Yeah. So you're going to get the free trial up and running. And so what that is going to look
[00:27:30.360 --> 00:27:35.560]   like when you create the instance, you're going to see a couple of options. You're going to go with
[00:27:35.560 --> 00:27:39.160]   the AuraDB professional. We're not taking your credit card. We're not doing anything. Eventually,
[00:27:39.160 --> 00:27:44.360]   it'll turn off. But it just is the most robust version that we have. So I guess it's seven days,
[00:27:44.360 --> 00:27:48.200]   seven days. So you're just going to try that for free, and you're going to get that up and running.
[00:27:48.920 --> 00:27:54.440]   Why do we still have an AuraDS button? No? Okay. All right. Don't worry about that. Yes.
[00:27:54.440 --> 00:28:08.840]   Oh, yeah. Onboarding. Sorry. Yeah. It just passed. I mean, it's going to ask you some questions.
