
[00:00:00.000 --> 00:00:05.020]   [ Music ]
[00:06:16.400 --> 00:06:20.880]   Jeremy has had life, not just me personally,
[00:06:20.880 --> 00:06:22.320]   but many others that I know,
[00:06:22.320 --> 00:06:24.960]   he's had life-changing impact on my life
[00:06:24.960 --> 00:06:26.960]   and various other lives to the work that he's done.
[00:06:26.960 --> 00:06:30.080]   So everybody, please welcome Jeremy.
[00:06:30.080 --> 00:06:33.280]   And thanks, Jeremy, for joining us.
[00:06:33.280 --> 00:06:34.880]   - Okay, hi, everybody.
[00:06:34.880 --> 00:06:38.960]   So as Aman said,
[00:06:40.320 --> 00:06:45.680]   this study group is about this book,
[00:06:45.680 --> 00:06:48.320]   "Deep Learning for Coders with Fast.ai and PyTorch."
[00:06:48.320 --> 00:06:51.280]   As Aman said, it's available both
[00:06:51.280 --> 00:06:57.280]   as a actual paper book or as a Kindle book
[00:06:57.280 --> 00:07:02.240]   or as a series of Jupyter notebooks on GitHub.
[00:07:02.240 --> 00:07:05.600]   They're actually identical books.
[00:07:05.600 --> 00:07:09.680]   So you can happily switch from one to the other.
[00:07:10.320 --> 00:07:15.200]   So the content is exactly the same.
[00:07:15.200 --> 00:07:16.800]   So if you're using the free version,
[00:07:16.800 --> 00:07:18.800]   you're not missing out on anything
[00:07:18.800 --> 00:07:22.320]   other than some, you know,
[00:07:22.320 --> 00:07:25.200]   nice formatting and indexes and stuff like that.
[00:07:25.200 --> 00:07:29.200]   Even if you're working through the paper book,
[00:07:29.200 --> 00:07:32.320]   we highly recommend that you also have the notebooks open
[00:07:32.320 --> 00:07:34.720]   because this course is really designed around
[00:07:34.720 --> 00:07:39.040]   experimenting and playing with code yourself.
[00:07:39.040 --> 00:07:47.680]   So I'm just going to talk a little bit about
[00:07:47.680 --> 00:07:52.960]   some of the things that people have found
[00:07:52.960 --> 00:07:56.080]   have helped make them be successful in this course.
[00:07:56.080 --> 00:07:59.600]   Hundreds of thousands of people
[00:07:59.600 --> 00:08:01.040]   over the last four or five years
[00:08:01.040 --> 00:08:04.800]   have now attempted the Fast.ai course.
[00:08:06.240 --> 00:08:09.200]   We create a new version most years.
[00:08:09.200 --> 00:08:13.600]   The, I think, we're up to version 4 at the moment.
[00:08:13.600 --> 00:08:18.320]   But to be honest, when we look at our YouTube analytics,
[00:08:18.320 --> 00:08:19.600]   most people don't stick with it.
[00:08:19.600 --> 00:08:23.920]   Most people do the first lesson or two and then stop.
[00:08:23.920 --> 00:08:27.360]   That's not necessarily a problem.
[00:08:27.360 --> 00:08:31.920]   If your goal is just to get a kind of vague idea
[00:08:31.920 --> 00:08:33.840]   of what deep learning is and what it can do,
[00:08:34.560 --> 00:08:37.040]   the first lesson or two is actually a pretty good way to do that.
[00:08:37.040 --> 00:08:41.760]   But if you're coming here today thinking,
[00:08:41.760 --> 00:08:47.680]   "I want to go through the entire book or 20 of them,"
[00:08:47.680 --> 00:08:53.520]   then you, you know, recognize that you're making
[00:08:53.520 --> 00:08:57.440]   a commitment to yourself that most people actually do not keep.
[00:08:57.440 --> 00:08:59.760]   And so try to figure out how you're going to be somebody
[00:08:59.760 --> 00:09:00.880]   who keeps that commitment.
[00:09:03.120 --> 00:09:04.640]   There's a huge difference, I find,
[00:09:04.640 --> 00:09:08.880]   between people who finish the book and those who don't.
[00:09:08.880 --> 00:09:12.560]   A lot of people get distracted on the journey and,
[00:09:12.560 --> 00:09:16.800]   which is fine, but just make sure you come back to it.
[00:09:16.800 --> 00:09:19.600]   So the fact that Aman has started this group
[00:09:19.600 --> 00:09:21.360]   is a great way to make sure that you at least,
[00:09:21.360 --> 00:09:23.920]   you know, to commit to yourself
[00:09:23.920 --> 00:09:25.040]   that you've got to turn up every week.
[00:09:25.040 --> 00:09:28.560]   And one of the challenges is that over the next 20 weeks,
[00:09:28.560 --> 00:09:32.720]   at some point, you'll probably get a cold.
[00:09:33.040 --> 00:09:36.160]   You know, or your daughter will break her leg,
[00:09:36.160 --> 00:09:38.960]   or you'll have a really busy period at work,
[00:09:38.960 --> 00:09:39.760]   or something will happen.
[00:09:39.760 --> 00:09:44.160]   And one of the main reasons that people fail
[00:09:44.160 --> 00:09:46.960]   to keep the commitments they make to themselves
[00:09:46.960 --> 00:09:49.840]   is that something comes along and distracts them.
[00:09:49.840 --> 00:09:55.360]   And that can be quite, you know, upsetting to realize
[00:09:55.360 --> 00:09:58.080]   that something has gotten in the way.
[00:09:58.080 --> 00:10:00.880]   The key thing is just to be easy on yourself
[00:10:00.880 --> 00:10:02.320]   and come back and keep going anyway.
[00:10:02.880 --> 00:10:05.280]   So if you miss a couple of weeks because of something,
[00:10:05.280 --> 00:10:06.160]   no problem.
[00:10:06.160 --> 00:10:08.800]   Just make sure that you come back
[00:10:08.800 --> 00:10:11.360]   and keep working through it.
[00:10:11.360 --> 00:10:13.120]   And that would be obviously much better
[00:10:13.120 --> 00:10:15.600]   than giving up and never coming back.
[00:10:15.600 --> 00:10:19.280]   This is what the GitHub repo looks like.
[00:10:19.280 --> 00:10:23.600]   Each chapter of the book is one notebook,
[00:10:23.600 --> 00:10:25.440]   and they're in order of the numbers here.
[00:10:25.440 --> 00:10:27.920]   So we actually built something called Fastdoc
[00:10:27.920 --> 00:10:30.240]   that automatically converts Jupyter notebooks
[00:10:30.240 --> 00:10:34.000]   into a book.
[00:10:34.000 --> 00:10:35.760]   So that's why you can be sure that the book
[00:10:35.760 --> 00:10:37.280]   and the notebooks are identical.
[00:10:37.280 --> 00:10:44.400]   As well as the book, both the free
[00:10:44.400 --> 00:10:46.640]   and the O'Reilly versions,
[00:10:46.640 --> 00:10:49.440]   there's also an online course.
[00:10:49.440 --> 00:10:54.000]   That course is available at course.fast.ai.
[00:11:00.160 --> 00:11:03.120]   And what you'll find is that there's a section
[00:11:03.120 --> 00:11:05.680]   here of lessons, eight lessons.
[00:11:05.680 --> 00:11:08.880]   And those eight lessons cover approximately
[00:11:08.880 --> 00:11:10.160]   the first half of the book.
[00:11:10.160 --> 00:11:13.680]   So it's often people learn best
[00:11:13.680 --> 00:11:16.160]   when they have kind of multiple modes
[00:11:16.160 --> 00:11:17.200]   of learning going on.
[00:11:17.200 --> 00:11:21.040]   So I would strongly suggest that in addition
[00:11:21.040 --> 00:11:23.600]   to reading the chapters, that you also look
[00:11:23.600 --> 00:11:25.920]   at the videos, at least do it for the first couple,
[00:11:25.920 --> 00:11:28.000]   and see if you find that helpful.
[00:11:28.000 --> 00:11:31.520]   They do have the same information.
[00:11:31.520 --> 00:11:33.200]   On the whole, the book will probably have
[00:11:33.200 --> 00:11:34.560]   a little bit more information,
[00:11:34.560 --> 00:11:37.200]   but they're presented in somewhat different ways,
[00:11:37.200 --> 00:11:39.440]   and it might help your brain to take it in,
[00:11:39.440 --> 00:11:41.360]   to see it coming in through different modalities.
[00:11:41.360 --> 00:11:53.840]   So this is from a podcast from Sanyam Bhutani,
[00:11:53.840 --> 00:11:57.440]   who interviewed Christine McClavey-Payne.
[00:11:57.440 --> 00:12:01.360]   Christine is one of our terrific alumni
[00:12:01.360 --> 00:12:02.960]   who have gone on and told us about
[00:12:02.960 --> 00:12:04.240]   what she's been up to.
[00:12:04.240 --> 00:12:08.640]   And after a lot of hard work,
[00:12:08.640 --> 00:12:10.560]   and one of the things she did was completing
[00:12:10.560 --> 00:12:13.040]   both parts one and two of the fast.ai course,
[00:12:13.040 --> 00:12:17.360]   she was selected as a resident by OpenAI.
[00:12:17.360 --> 00:12:21.200]   And she went on to become a full-time
[00:12:21.200 --> 00:12:22.880]   deep learning researcher at OpenAI.
[00:12:22.880 --> 00:12:26.080]   And she mentions here that one of the most
[00:12:26.080 --> 00:12:28.880]   useful pieces of advice that she got
[00:12:28.880 --> 00:12:30.160]   was something I told her,
[00:12:30.160 --> 00:12:33.040]   which is to try to create at least
[00:12:33.040 --> 00:12:34.240]   one really great project.
[00:12:34.240 --> 00:12:38.960]   It's great to try lots of things,
[00:12:38.960 --> 00:12:42.640]   and you should try to make sure that
[00:12:42.640 --> 00:12:46.400]   every chapter of the book we come across,
[00:12:46.400 --> 00:12:50.480]   you create something, create some kind of project.
[00:12:50.480 --> 00:12:53.600]   However small or silly it is,
[00:12:53.600 --> 00:12:54.960]   or maybe it's just a direct copy
[00:12:54.960 --> 00:12:56.000]   of something else you found.
[00:12:56.000 --> 00:13:00.320]   But I suggest you also start to try to
[00:13:00.320 --> 00:13:04.560]   polish off something really well.
[00:13:04.560 --> 00:13:06.320]   And so polishing off something really well
[00:13:06.320 --> 00:13:10.240]   means to create really good documentation about it,
[00:13:10.240 --> 00:13:12.400]   really nice interface for it,
[00:13:12.400 --> 00:13:15.360]   deal with all those little bugs,
[00:13:15.360 --> 00:13:17.440]   make it as good as you can get it.
[00:13:17.440 --> 00:13:18.960]   Because it's in the process of
[00:13:18.960 --> 00:13:20.480]   making something really great,
[00:13:20.480 --> 00:13:22.960]   that, well, there's a couple of benefits.
[00:13:22.960 --> 00:13:24.960]   The first is that's the thing that makes you
[00:13:24.960 --> 00:13:26.320]   have to deeply understand
[00:13:26.320 --> 00:13:27.440]   what it is you're working with.
[00:13:27.440 --> 00:13:30.640]   So you can make all those little things just so.
[00:13:30.640 --> 00:13:32.880]   And it's also the thing that's going to
[00:13:32.880 --> 00:13:34.320]   make the biggest difference to your
[00:13:34.320 --> 00:13:37.520]   opportunities on the job circuit,
[00:13:37.520 --> 00:13:39.520]   because it's something that will be
[00:13:39.520 --> 00:13:41.040]   at the heart of your portfolio.
[00:13:41.040 --> 00:13:42.880]   It's kind of your capstone project.
[00:13:42.880 --> 00:13:46.640]   So I suggest that you also commit to yourself
[00:13:46.640 --> 00:13:49.920]   at this initial point that you are going to,
[00:13:52.000 --> 00:13:53.120]   during the next 20 weeks,
[00:13:53.120 --> 00:13:59.280]   work towards creating and really finishing a project.
[00:13:59.280 --> 00:14:06.880]   One of the things that's really, really important
[00:14:06.880 --> 00:14:09.840]   for making a success of Fastbook
[00:14:09.840 --> 00:14:12.240]   is being pretty good at coding.
[00:14:12.240 --> 00:14:17.280]   And specifically pretty good at Python coding.
[00:14:17.280 --> 00:14:20.000]   Even if you haven't coded in Python before,
[00:14:20.000 --> 00:14:21.520]   but you've coded in another language,
[00:14:21.520 --> 00:14:22.640]   a reasonable amount,
[00:14:22.640 --> 00:14:25.280]   you'll find Python pretty easy to get going with.
[00:14:25.280 --> 00:14:30.720]   But if you don't feel super comfortable with coding,
[00:14:30.720 --> 00:14:33.120]   a good place to start would be Harvard CS50,
[00:14:33.120 --> 00:14:35.760]   which is a free online course.
[00:14:35.760 --> 00:14:40.320]   It's definitely going to make Fastbook
[00:14:40.320 --> 00:14:42.080]   much more intense for you than it would be
[00:14:42.080 --> 00:14:44.240]   for somebody who already is comfortable coding.
[00:14:44.240 --> 00:14:48.240]   But it is possible if you really invest hard.
[00:14:49.600 --> 00:14:54.480]   It is possible to kind of pick up coding
[00:14:54.480 --> 00:14:55.680]   as you go through the book.
[00:14:55.680 --> 00:15:00.160]   But yeah, be ready to really invest a lot of time
[00:15:00.160 --> 00:15:02.800]   and use other resources.
[00:15:02.800 --> 00:15:04.480]   So CS50 is a good place to start.
[00:15:04.480 --> 00:15:12.880]   Radakos Marski, who I'm about to tell you more about,
[00:15:12.880 --> 00:15:17.600]   has this concept of a four-legged table
[00:15:17.600 --> 00:15:19.040]   of the things you'll need to know
[00:15:19.040 --> 00:15:21.120]   to get through Fastbook well.
[00:15:21.120 --> 00:15:23.920]   And they are a good understanding of code concepts,
[00:15:23.920 --> 00:15:26.640]   good understanding of how to use your editor,
[00:15:26.640 --> 00:15:28.880]   a good understanding of Git,
[00:15:28.880 --> 00:15:31.680]   and a good understanding of the whole SSH
[00:15:31.680 --> 00:15:32.640]   and Linux environment.
[00:15:32.640 --> 00:15:35.680]   These are things which,
[00:15:35.680 --> 00:15:38.640]   even if you studied computer science,
[00:15:38.640 --> 00:15:42.000]   you may not have ever really learned very well.
[00:15:42.000 --> 00:15:44.560]   If that's you,
[00:15:45.520 --> 00:15:47.920]   then the MIT course called
[00:15:47.920 --> 00:15:50.560]   The Missing Semester of Your CS Education
[00:15:50.560 --> 00:15:51.760]   would be a great place to go
[00:15:51.760 --> 00:15:54.480]   because it's going to teach you
[00:15:54.480 --> 00:15:57.120]   about these tools of the trade.
[00:15:57.120 --> 00:16:03.600]   And just like a builder
[00:16:03.600 --> 00:16:05.200]   is going to want to be very familiar
[00:16:05.200 --> 00:16:07.920]   with how to use a drill and a hammer and a level
[00:16:07.920 --> 00:16:09.440]   and so forth,
[00:16:09.440 --> 00:16:13.440]   as a builder of code,
[00:16:13.440 --> 00:16:15.280]   because that's the thing we use to create models,
[00:16:15.600 --> 00:16:18.880]   you're going to need to be really familiar with your tools.
[00:16:18.880 --> 00:16:22.240]   And I find nearly everybody I know
[00:16:22.240 --> 00:16:28.000]   who's very good at applied deep learning,
[00:16:28.000 --> 00:16:29.360]   when I watch them work,
[00:16:29.360 --> 00:16:31.520]   they zip through their editor really quickly.
[00:16:31.520 --> 00:16:33.920]   They are good at using their version control.
[00:16:33.920 --> 00:16:36.080]   They can SSH into a Linux box
[00:16:36.080 --> 00:16:40.160]   and zip through looking at files, stuff like that.
[00:16:40.160 --> 00:16:44.240]   So that is something definitely worth investing time in,
[00:16:44.240 --> 00:16:46.400]   and it'll pay back many times over
[00:16:46.400 --> 00:16:47.520]   through the rest of your career.
[00:16:47.520 --> 00:16:55.840]   So what do you do with a chapter
[00:16:55.840 --> 00:16:57.840]   or a lesson of the course?
[00:16:57.840 --> 00:17:00.560]   So you watch the lecture
[00:17:00.560 --> 00:17:02.400]   or read the chapter of the book or both.
[00:17:02.400 --> 00:17:05.440]   And then you just go in
[00:17:05.440 --> 00:17:08.000]   and open up the notebook
[00:17:08.000 --> 00:17:10.160]   and run it,
[00:17:10.160 --> 00:17:11.840]   execute each cell of that notebook.
[00:17:13.520 --> 00:17:15.200]   And then as you run it,
[00:17:15.200 --> 00:17:17.040]   try to ask yourself some questions
[00:17:17.040 --> 00:17:21.680]   around what would happen if.
[00:17:21.680 --> 00:17:27.120]   So try and change some of those lines of code in the notebook,
[00:17:27.120 --> 00:17:28.240]   just in small ways,
[00:17:28.240 --> 00:17:35.600]   to try to kind of get a sense of what if.
[00:17:35.600 --> 00:17:38.320]   And the more you can experiment, the better,
[00:17:38.320 --> 00:17:40.640]   particularly if your experiments fail.
[00:17:40.640 --> 00:17:42.960]   If they give you a syntax error,
[00:17:43.680 --> 00:17:48.080]   or they give you a zero result or an all black picture,
[00:17:48.080 --> 00:17:49.680]   these are all really useful things
[00:17:49.680 --> 00:17:51.520]   because they tell you about things that
[00:17:51.520 --> 00:17:55.920]   your understanding of how you thought things work
[00:17:55.920 --> 00:17:57.200]   wasn't quite how things worked.
[00:17:57.200 --> 00:17:59.120]   And then debugging is a really great way
[00:17:59.120 --> 00:18:00.880]   to learn more about what's really going on.
[00:18:00.880 --> 00:18:07.280]   So then try to reproduce
[00:18:07.280 --> 00:18:10.160]   as much of the notebook as you can
[00:18:12.400 --> 00:18:13.040]   from scratch.
[00:18:13.040 --> 00:18:15.840]   That's quite challenging to do,
[00:18:15.840 --> 00:18:19.120]   particularly if you've only read the chapter once
[00:18:19.120 --> 00:18:20.960]   or watched the lecture once.
[00:18:20.960 --> 00:18:24.480]   So expect to be popping back and forth
[00:18:24.480 --> 00:18:26.720]   between the book and your screen.
[00:18:26.720 --> 00:18:29.360]   But try to actually type it in yourself.
[00:18:29.360 --> 00:18:31.120]   Try not to peek too much.
[00:18:31.120 --> 00:18:32.720]   You know, try to really think about what it is
[00:18:32.720 --> 00:18:34.000]   that you're writing and why
[00:18:34.000 --> 00:18:37.360]   so that you can actually create your own version
[00:18:37.360 --> 00:18:40.160]   of the notebook, or at least the major parts of it.
[00:18:41.440 --> 00:18:43.200]   So where the rubber really hits the road
[00:18:43.200 --> 00:18:47.040]   is then to repeat the entire process
[00:18:47.040 --> 00:18:51.760]   that was in the chapter on a different dataset.
[00:18:51.760 --> 00:18:54.800]   And that can be a dataset that you download yourself,
[00:18:54.800 --> 00:18:59.600]   or it could be a, sorry, a dataset that you curate yourself,
[00:18:59.600 --> 00:19:01.680]   or it could be a dataset that's pre-existing
[00:19:01.680 --> 00:19:02.400]   that you download.
[00:19:02.400 --> 00:19:06.640]   And you'll find there's just going to be
[00:19:06.640 --> 00:19:10.640]   a bunch of little differences in the process.
[00:19:10.640 --> 00:19:12.880]   And so it's in that process that you're going to
[00:19:12.880 --> 00:19:15.760]   really test your understanding of what you learned.
[00:19:15.760 --> 00:19:24.400]   So I mentioned I'd say more about Radek Osmolsky,
[00:19:24.400 --> 00:19:26.400]   and specifically I'm going to mention his book.
[00:19:26.400 --> 00:19:31.360]   So Radek is a student of Fast.ai
[00:19:31.360 --> 00:19:34.560]   who has recently published this book called Meta-Learning,
[00:19:36.480 --> 00:19:42.240]   which, oh, my keyboard is out of batteries.
[00:19:42.240 --> 00:19:43.200]   Let me try over here.
[00:19:43.200 --> 00:19:45.140]   Yeah.
[00:19:45.140 --> 00:19:48.160]   Radek, Meta, oh, there it is.
[00:19:48.160 --> 00:19:53.040]   So you find it here, Gumroad.
[00:19:53.040 --> 00:19:54.080]   I can pop that in the chat.
[00:19:54.080 --> 00:19:58.080]   Chat, chat, chat.
[00:19:58.080 --> 00:20:00.340]   Yeah.
[00:20:06.320 --> 00:20:07.120]   And so Radek,
[00:20:07.120 --> 00:20:15.760]   somebody who started out with not knowing how to code
[00:20:15.760 --> 00:20:20.560]   and not very happy in his job,
[00:20:20.560 --> 00:20:25.200]   and decided he, yeah, wanted to do AI.
[00:20:25.200 --> 00:20:30.160]   And he's been fantastically successful at that.
[00:20:30.160 --> 00:20:32.000]   He's actually a Kaggle competition winner,
[00:20:32.000 --> 00:20:35.360]   which makes him one of the top handful of people in the world.
[00:20:35.920 --> 00:20:42.880]   And he has had a couple of extremely exclusive jobs in AI,
