
[00:00:00.040 --> 00:00:09.540]  bak
[00:14:44.300 --> 00:14:51.300]   And so I'll, I'll force the circumstances in some way that allow me to demonstrate that I'm not trying to take advantage of you.
[00:14:51.300 --> 00:15:02.300]   And so, you know, fighting over the tip, I think is the normal thing, but trust yourself, you know, the back and forth is a little silly sometimes, but if the person really insists, let them, let them pay the tip or offer them a tip.
[00:15:02.300 --> 00:15:02.300]   You know, I think that's a good thing.
[00:15:02.300 --> 00:15:02.300]   You know, I think that's a good thing.
[00:15:02.300 --> 00:15:02.300]   You know, I think that's a good thing.
[00:15:02.300 --> 00:15:02.300]   You know, I think that's a good thing.
[00:15:02.300 --> 00:15:32.340]  , you know, I think that's a good thing.
[00:15:32.340 --> 00:15:32.340]   You know, I think that's a good thing.
[00:15:32.340 --> 00:15:32.340]   You know, I think that's a good thing.
[00:15:32.340 --> 00:15:32.340]   You know, I think that's a good thing.
[00:15:32.340 --> 00:15:32.340]   You know, I think that's a good thing.
[00:15:32.340 --> 00:15:32.340]   You know, I think that's a good thing.
[00:15:32.340 --> 00:15:32.340]   You know, I think that's a good thing.
[00:15:32.340 --> 00:15:32.340]   You know, I think that's a good thing.
[00:15:32.340 --> 00:15:32.340]   You know, I think that's a good thing.
[00:15:32.360 --> 00:16:02.360]   You know, I think that's a good thing.
[00:16:02.360 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:02.380 --> 00:16:02.380]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   I know that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.420 --> 00:16:32.420]   You know, I think that's a good thing.
[00:16:32.440 --> 00:17:02.440]   You know, I think that's a good thing.
[00:17:02.440 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:02.460 --> 00:17:02.460]   You know, I think that's a good thing.
[00:17:03.000 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.500 --> 00:17:32.500]   You know, I think that's a good thing.
[00:17:32.520 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:02.540 --> 00:18:02.540]   You know, I think that's a good thing.
[00:18:03.080 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.580 --> 00:18:32.580]   You know, I think that's a good thing.
[00:18:32.600 --> 00:19:02.600]   You know, I think that's a good thing.
[00:19:02.600 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:02.620 --> 00:19:02.620]   You know, I think that's a good thing.
[00:19:03.160 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.660 --> 00:19:32.660]   You know, I think that's a good thing.
[00:19:32.680 --> 00:20:02.680]   You know, I think that's a good thing.
[00:20:02.680 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:02.700 --> 00:20:02.700]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:20:32.720 --> 00:20:32.720]   You know, I think that's a good thing.
[00:21:02.740 --> 00:21:02.740]   --------
[00:21:02.740 --> 00:21:02.740]   --------
[00:21:02.740 --> 00:21:02.740]   -------- --------
[00:21:02.780 --> 00:21:13.680]   0
[00:21:13.680 --> 00:21:27.200]   stell. ", was at satisfy
[00:21:27.200 --> 00:21:28.680]   showed desert and I was may I'm區 Gamb版 "G, "G, "., ", ", ", ",,,,,,,,,,,,,,,,,,,,,,,, alcohol bar fondo Father 9
[00:21:28.680 --> 00:21:30.900]   __ Se
[00:21:30.900 --> 00:21:31.800]   relatedwick� nopri exists the
[00:21:31.880 --> 00:21:41.880]   en
[00:21:41.880 --> 00:21:55.920]   reduce,Music complex,
[00:21:55.920 --> 00:22:00.980]  , K I三 at as invested five. I. I. I. I. I. I. IS. вел. W. G., was, play, doll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, connect a but feel line understand reduces leave set because or Ed's. 사랑 Hunger laisseapproucsdepend辛 covenant moinsorp wealth мужinstallay crops Santa assess categorrageinhas 1976avam okay i alimentatch only müssen遊 Lloyd WHY S comparisonsoman ISO complianceлей was yelledges Susploy help go recognizes a 귀 dai skirts które lovers� consider the Bigzeni Z le din TRI you know the C Yun pero her is a P Es, at a close a
[00:22:01.020 --> 00:22:26.200]   remember
[00:24:22.580 --> 00:24:22.580]  , if the "hire" has to be in air quotes. You can do it if they are legitimately hiring somebody. And so if your wife is actually going to work for the company and she's actually going to perform duties for the company and engage in product, then if she's actually going to work for the company, then what you say can work. And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:24:50.900 --> 00:24:50.900]   It's like a little bit more sophisticated, but it's a little bit more sophisticated.
[00:24:50.900 --> 00:24:50.900]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:24:50.900 --> 00:24:50.900]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:24:50.900 --> 00:24:51.020]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:24:51.020 --> 00:24:51.100]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:24:51.100 --> 00:24:51.140]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:24:51.140 --> 00:24:51.180]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:24:51.180 --> 00:24:51.220]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:24:51.220 --> 00:25:19.940]  , and so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:25:19.940 --> 00:25:19.980]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:25:19.980 --> 00:25:20.020]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:25:20.020 --> 00:25:20.100]   And so the key needs to be being able to say, "Hey, is this person actually working for the company?"
[00:25:20.100 --> 00:25:20.140]   And so the key needs to be able to say, "Hey, is this person actually working for the company?"
[00:25:20.140 --> 00:25:20.220]   And so the key needs to be able to say, "Hey, is this person actually working for the company?"
[00:25:20.220 --> 00:25:21.220]   and so the key needs to say, is this is actually working for the company.
[00:25:21.240 --> 00:25:23.100]   That's the work that my children are going to do.
[00:25:23.100 --> 00:25:25.340]   They're going to help me with filing my papers.
[00:25:25.340 --> 00:25:29.540]   And the temp agency would say, "We would charge you $15 an hour,"
[00:25:29.540 --> 00:25:32.580]   or whatever the actual price is that they would say.
[00:25:32.580 --> 00:25:35.140]   Then I would take that estimate, I would get an estimate from them,
[00:25:35.140 --> 00:25:36.740]   and I would put that in my tax files,
[00:25:36.740 --> 00:25:40.940]   and I would say, "This temp agency is giving me an estimate
[00:25:40.940 --> 00:25:44.180]   "of charging me $15 per hour for them to send over
[00:25:44.180 --> 00:25:46.380]   "an office worker to file my papers.
[00:25:46.380 --> 00:25:49.460]   "So now I'm going to hire my child to work for me,
[00:25:49.460 --> 00:25:51.220]   "and they're going to file my papers,
[00:25:51.220 --> 00:25:51.220]   "and they're going to hire my child to work for me,
[00:25:51.220 --> 00:25:51.220]   "and they're going to file my papers,
[00:25:51.220 --> 00:25:51.220]   "and they're going to hire my child to work for me,
[00:25:51.220 --> 00:26:21.220]   "and they're going to hire my child to work for me,
[00:26:21.220 --> 00:26:21.220]   and I'm going to pay them $15 an hour."
[00:26:21.220 --> 00:26:21.220]   But I'm substantiating it based upon what the market rate is.
[00:26:21.220 --> 00:26:21.220]   And this is basically how most things work,
[00:26:21.220 --> 00:26:21.220]   is you want to substantiate the pay that somebody is receiving based upon the market rate.
[00:26:21.220 --> 00:26:21.220]   Now, obviously, different markets will have different rates, and some market rates are easier to establish than others.
[00:26:21.220 --> 00:26:21.220]   Let's say that your wife is hired to do public relations for the community, and one of her may choose to be a public employee.
[00:26:21.220 --> 00:26:21.220]   And that's why she's hired to do public relations for the community.
[00:26:21.220 --> 00:26:21.220]   And one of her may choose to be a public relations for the community.
[00:26:21.220 --> 00:26:21.220]   and one of her may choose to be a public.
[00:26:21.220 --> 00:26:21.220]   and one of her may choose to be a public.
[00:26:21.220 --> 00:26:21.220]   and one of her may choose to be a public.
[00:26:21.240 --> 00:26:21.300]   And one of her may choose to be a public.
[00:26:21.300 --> 00:26:21.300]   And one of her may choose to be a public.
[00:26:21.300 --> 00:26:21.300]   And one of her may choose to be a public.
[00:26:21.300 --> 00:26:21.340]   And one of her may choose to be a public.
[00:26:21.340 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:21.380]   And one of her may choose to be a public.
[00:26:21.380 --> 00:26:51.240]   And one of her may choose to be a public.
[00:26:51.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:21.260]   And one of her may choose to be a public.
[00:27:21.260 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.280 --> 00:27:51.280]   And one of her may choose to be a public.
[00:27:51.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
