
[00:00:00.000 --> 00:00:18.000]   Thanks so much for having me. It's great to be here.
[00:07:21.000 --> 00:07:25.000]   So in football that could be you have a quarterback on the offensive side on defense.
[00:07:25.000 --> 00:07:26.000]   You might have the linebacker.
[00:07:26.000 --> 00:07:31.000]   They're able to read and react to what's happening on the field and then not having to rely on the coach.
[00:07:31.000 --> 00:07:33.000]   They can actually make adjustments.
[00:07:33.000 --> 00:07:38.000]   This metaphor applies today because I think the game on the field is AI.
[00:07:38.000 --> 00:07:40.000]   AI is moving incredibly fast.
[00:07:40.000 --> 00:07:42.000]   We're all forced to have to adapt.
[00:07:42.000 --> 00:07:50.000]   And so rather than having every single thing be a tops down mandate, what if you had player coaches on the field that are able to actually understand how can we adapt?
[00:07:50.000 --> 00:07:53.000]   How can we rejigger, reprioritize really, really quickly?
[00:07:53.000 --> 00:07:58.000]   And for all of our sort of core leadership team, every single one of them is a player coach.
[00:07:58.000 --> 00:08:05.000]   On our engineering side, we have player coaches that have had a ton of management experience, but they still love to code.
[00:08:05.000 --> 00:08:10.000]   They still love to be in the day to day, and that allows them to be uniquely valuable.
[00:08:10.000 --> 00:08:13.000]   One, they're all obviously so close to the work that they know what's happening.
[00:08:13.000 --> 00:08:19.000]   When someone else on the team needs mentorship, needs coaching, needs some form of prioritization,
[00:08:19.000 --> 00:08:26.000]   or how can we actually consider the things that are in flight and maybe change things, that player coach has a ton of context,
[00:08:26.000 --> 00:08:32.000]   understands the nuances, can make the right technical trade-offs, and in addition to that can make, you know,
[00:08:32.000 --> 00:08:35.000]   the sort of pave the path for longer-term career aspirations.
[00:08:35.000 --> 00:08:38.000]   We don't know how this is going to scale, but for today, this is working well.
[00:08:38.000 --> 00:08:45.000]   And for us, it allows us to have this really, really lean team where, you know, we still have the ability to mentor and coach the individuals that need it.
[00:08:45.000 --> 00:08:54.000]   And then you have deep domain, like technical expertise in places where, you know, you're able to make adjustments as fast as needed.
[00:08:54.000 --> 00:08:58.000]   The last thing I'll talk about is scaling, and it's maybe a little bit counterintuitive.
[00:08:58.000 --> 00:09:03.000]   You know, you might think like a small team, why would you invest in things like brand and culture?
[00:09:03.000 --> 00:09:09.000]   I say brand and culture because for me, brand and culture, they're two sides of the same coin.
[00:09:09.000 --> 00:09:12.000]   Brand is ultimately a reflection of your culture.
[00:09:12.000 --> 00:09:18.000]   Your culture is your values as a company, and you really want those two to go hand in hand.
[00:09:18.000 --> 00:09:27.000]   Culture, I mean, this piece of it is a little bit more obvious, but when you're a small team, what ends up becoming super important is like every new team member you bring on,
[00:09:27.000 --> 00:09:33.000]   you have to believe that they share your same values, that they operate the same way, because you can't afford that not to be the case.
[00:09:33.000 --> 00:09:35.000]   A bigger company, it's much more diluted.
[00:09:35.000 --> 00:09:37.000]   You might be able to bring on a bad hire.
[00:09:37.000 --> 00:09:39.000]   It's not going to be pervasive and like spread.
[00:09:39.000 --> 00:09:41.000]   Smaller teams, that cannot be the case.
[00:09:41.000 --> 00:09:44.000]   And so you need to invest heavily in this from day one.
[00:09:44.000 --> 00:09:49.000]   We have a living culture deck that we've maintained basically since the beginning, and we rewrite it all the time.
[00:09:49.000 --> 00:09:51.000]   We look up at the makeup of the team.
[00:09:51.000 --> 00:09:56.000]   We kind of like really try to encapsulate everybody's core values in the way they behave.
[00:09:56.000 --> 00:09:58.000]   And then we share that back out to the team.
[00:09:58.000 --> 00:10:00.000]   We onboard new employees with the same culture deck.
[00:10:00.000 --> 00:10:04.000]   It's an ongoing evergreen sort of exercise that we go through.
[00:10:04.000 --> 00:10:11.000]   And I think what comes out of this is like this feeling that this tiny team can have this feeling of being a small tribe.
[00:10:11.000 --> 00:10:13.000]   And that tribe is something that's pretty magical.
[00:10:13.000 --> 00:10:15.000]   It allows you to have this feeling of continuity.
[00:10:15.000 --> 00:10:19.000]   It allows you to have this like feeling that you are in it together.
[00:10:19.000 --> 00:10:26.000]   And if you have that continuity, there's just so much like, it's hard to even quantify that value because you're not having to retrain people, re-onboard people.
[00:10:26.000 --> 00:10:27.000]   Like people just get it.
[00:10:27.000 --> 00:10:28.000]   There's that tribal knowledge.
[00:10:28.000 --> 00:10:30.000]   And I do think there's a lot of magic that happens.
[00:10:30.000 --> 00:10:37.000]   That translates into just, in my mind, higher productivity, transparency, shared context amongst all things.
[00:10:37.000 --> 00:10:45.000]   We have in our team, and it's easier to do this when you're small, is we have like three standing all company, all hands meetings.
[00:10:45.000 --> 00:10:48.000]   The very beginning of the week, we start with like going deep on metrics.
[00:10:48.000 --> 00:10:53.000]   We talk about, we have this thing called the wall of work where everybody's showing like what everyone else is working on.
[00:10:53.000 --> 00:10:56.000]   Wednesdays and Fridays, we do company-wide show and tell.
[00:10:56.000 --> 00:11:02.000]   So this is a chance for people to also dog food our own product, use Gamma, present, share what they're working on.
[00:11:02.000 --> 00:11:03.000]   It could be a small project.
[00:11:03.000 --> 00:11:04.000]   It could be a feature they shipped.
[00:11:04.000 --> 00:11:13.000]   And this continuity just allows everyone to feel like we're still in a small room sharing this, you know, big, ambitious, long-term vision and do it together.
[00:11:13.000 --> 00:11:18.000]   I know there's a lot of talk of like, oh, maybe there'll be the one billion, one-person startup.
[00:11:18.000 --> 00:11:21.000]   And I don't know, maybe that will happen.
[00:11:21.000 --> 00:11:23.000]   But my thought is like, why?
[00:11:23.000 --> 00:11:25.000]   It's so fun to build with a team.
[00:11:25.000 --> 00:11:26.000]   Like why do it alone?
[00:11:26.000 --> 00:11:28.000]   We're having a ton of fun building as a small team.
[00:11:28.000 --> 00:11:34.000]   And part of that is like, we really want to, you know, preserve that magic for as long as humanly possible.
[00:11:34.000 --> 00:11:43.000]   So this, you know, talk started with me talking about how the Gamma journey began, which is me thinking about, hey, from a product perspective, you know, there's got to be a better way.
[00:11:43.000 --> 00:11:53.000]   And my, you know, I guess challenge to you all is as you think about building your own teams, really thinking about, hey, you know, there's the old playbook, the old way of scaling and building up a team.
[00:11:53.000 --> 00:11:58.000]   And that's totally fine, but is there today a better way?
[00:11:58.000 --> 00:12:03.000]   And hopefully you guys can find your own path and hopefully share back and we can all, you know, do this together.
[00:12:03.000 --> 00:12:08.000]   I guess we have a few minutes for questions if anybody has any.
[00:12:08.000 --> 00:12:17.000]   With AI moving so fast, if you could go back, what would you do differently about building your current team now?
[00:12:17.000 --> 00:12:19.000]   Yeah, that's a great question.
[00:12:19.000 --> 00:12:22.000]   So the question was with AI moving so fast, what would I have done differently?
[00:12:22.000 --> 00:12:25.000]   We actually started, you know, four years ago.
[00:12:25.000 --> 00:12:28.000]   So this was before like the more recent, you know, wave.
[00:12:28.000 --> 00:12:35.000]   And so I do think, you know, when you're early on, whether you're using AI or not, you're going to probably spend some time in the idea maze.
[00:12:35.000 --> 00:12:41.000]   You're really trying to navigate, figure out where is their true user need and what problems are we solving.
[00:12:41.000 --> 00:12:45.000]   And I do think they're the temptation today is the move super fast.
[00:12:45.000 --> 00:12:47.000]   Yeah, I can do everything for you.
[00:12:47.000 --> 00:12:49.000]   So you just jump onto the thing and start building.
[00:12:49.000 --> 00:12:52.000]   I still think people can afford to go be much more patient.
[00:12:52.000 --> 00:13:04.000]   And I think even for us, like when we initially started doing our first AI launches of two years ago, I almost wish like in hindsight, we could have like really just taken our time to appreciate how much things are changing and evolving before going to like full steam ahead.
[00:13:04.000 --> 00:13:18.000]   Like, let's just build, build, build because part of that, I think, realization that we did have starting to build is that, hey, because things are moving so fast, like are there infrastructure decisions we should be thinking about earlier, much earlier on before things become too late.
[00:13:18.000 --> 00:13:21.000]   You get to a scale where it's impossible to unwind.
[00:13:21.000 --> 00:13:25.000]   And I think it's helpful to think a little bit more about that way earlier on in the process.
[00:13:25.000 --> 00:13:28.000]   Doesn't mean you should slow down, just means you should be thoughtful of it.
[00:13:28.000 --> 00:13:32.000]   Do you have an example of an infrastructure decision that you would have come back and done differently?
[00:13:32.000 --> 00:13:34.000]   It's not something I would have done differently.
[00:13:34.000 --> 00:13:41.000]   I think I would have prioritized maybe more effort around even more so is we have a lot of infrastructure built around experimentation.
[00:13:41.000 --> 00:13:48.000]   And I think it's obvious now, like given all the different tooling, like, you know, especially have a big user base, experimentation is a key to velocity.
[00:13:48.000 --> 00:13:52.000]   And, you know, we did do some of that pretty early on, but it was more of a sort of gradual.
[00:13:52.000 --> 00:13:58.000]   I think we would have, you know, really taken our time to think about, okay, what should we do and like put more weight behind it?
[00:13:58.000 --> 00:14:03.000]   Um, if it would have changed anything, I'm not sure, but I think that's one thing, you know, I would have kept in mind.
[00:14:03.000 --> 00:14:06.000]   We have two, go here and then here.
[00:14:06.000 --> 00:14:07.000]   Perfect.
[00:14:07.000 --> 00:14:08.000]   Um, you might already be there.
[00:14:08.000 --> 00:14:19.000]   At some point, you probably will have to bring in people, whether they're like communication experts or legal experts, that maybe don't gel quite as much with maybe like the technical or engineering led culture you might have.
[00:14:19.000 --> 00:14:20.000]   Yeah.
[00:14:20.000 --> 00:14:26.000]   Do you have any advice for like how to make how to not like ruin some of that culture, but also make sure that they don't feel completely excluded?
[00:14:26.000 --> 00:14:31.000]   Yeah, the way we've been trying to do it is for the founders or other leaders to try to do the job first.
[00:14:31.000 --> 00:14:37.000]   So the question is outside of engineering, basically, how do you, you know, potentially not mess things up by growing too fast.
[00:14:37.000 --> 00:14:45.000]   And yeah, we're still learning there oftentimes a lot of the jobs for me, for instance, a lot of marketing, sales, customer experience was all done by me first.
[00:14:45.000 --> 00:14:49.000]   So I have some sort of baseline understanding because, you know, I was in a previous life.
[00:14:49.000 --> 00:14:50.000]   I've never hired for those functions.
[00:14:50.000 --> 00:14:52.000]   So how do I even know what good looks like?
[00:14:52.000 --> 00:15:04.000]   I try to do the job myself, oftentimes not a great job at it, but understand all the nuances that take the really goes into that job, know what great looks like, and then go out and finally hire that person.
[00:15:04.000 --> 00:15:13.000]   We going back to the player coach, we still go out and find player coaches for that role, so that it doesn't end up becoming this sort of cascading effect of like really, really big and bloated teams.
[00:15:13.000 --> 00:15:18.000]   Some of the player coach stuff sounds like you're hiring a lot of high agency people.
[00:15:18.000 --> 00:15:23.000]   How do you judge high agency when you're hiring people? That does not necessarily come from their resumes.
[00:15:23.000 --> 00:15:29.000]   What kinds of questions do you ask? What kinds of processes do you follow during hiring to judge for high agency?
[00:15:29.000 --> 00:15:36.000]   Yeah, totally. It's probably stuff that you have heard before, but a lot of times, you know, you want to, if someone has prior work experience,
[00:15:36.000 --> 00:15:44.000]   you dig into their most challenging project or problem they had to encounter, and you ask them, you know, basically how they solved it.
[00:15:44.000 --> 00:15:50.000]   What you'll find is people that have high agency or just a sense of ownership in general, they don't immediately jump to what the solution was.
[00:15:50.000 --> 00:15:57.000]   They'll talk about how they try to understand the problem, and then how the problem, what they understood at the surface level is actually five levels too high.
[00:15:57.000 --> 00:16:04.000]   You have to keep on drilling. And if they can articulate what the true problem was, like keep on going down, and then not only talk about what the solution was,
[00:16:04.000 --> 00:16:10.000]   but all the attempts at the solution, I think that goes to show that someone wasn't just like taking orders and like, hey, I'm going to do this.
[00:16:10.000 --> 00:16:16.000]   It was like, I need to fund, one, understand the layers of the problem, and then two, navigate and actually explore.
[00:16:16.000 --> 00:16:21.000]   Most people, when you start asking them like the second order or third order whys, they can't get there.
[00:16:21.000 --> 00:16:25.000]   And if they can't, then it's pretty clear that they probably weren't doing much of the thinking themselves.
[00:16:25.000 --> 00:16:33.000]   Hey, thanks for the comments. So hiring is probably one of the most important things that a company can do, right?
[00:16:33.000 --> 00:16:43.000]   I mean, it's either for better or worse. What are some, if there were any major failures that you have experienced that you could share with us, that would be very helpful.
[00:16:43.000 --> 00:16:53.000]   Yeah, the biggest failures were actually when we didn't, when there was a role that there was some ambiguity, and we weren't able to do a work trial.
[00:16:53.000 --> 00:16:59.000]   So work trial is also something I didn't talk about, something we deploy, where people actually do the job for a certain amount of time.
[00:16:59.000 --> 00:17:07.000]   Much easier if they're obviously not currently working, and we've had great success when someone's in between or has been doing fractional work, we bring them to do the job first.
[00:17:07.000 --> 00:17:15.000]   And we do that for a few months, where we had some roles where we weren't yet sure what we're looking for, and we brought them on, and they didn't do a work trial, they just went straight in.
[00:17:15.000 --> 00:17:22.000]   It oftentimes wasn't a good fit, because neither them or us knew kind of like, okay, what were we actually, what was going to be that sort of good fit?
[00:17:22.000 --> 00:17:28.000]   So if you can, if you're lucky enough to be able to do a work trial, whether it's two days or three months, in our case, we default to three months,
[00:17:28.000 --> 00:17:31.000]   I would encourage you to try to do that, especially if it's a role you haven't done yourself.
[00:17:31.000 --> 00:17:35.000]   And you had situations where you didn't work out then?
[00:17:35.000 --> 00:17:54.000]   The work trials have actually all worked out, which is great and a few data points. And we've done five plus of them. And then in the cases where we didn't, it's actually pretty high. Again, going back to the role that we weren't certain about what we're hiring for is actually pretty high failure rate for us.
[00:17:54.000 --> 00:17:58.000]   Is that it? All right. Thank you, everyone. I'm on LinkedIn if anyone wants to connect.
[00:17:58.000 --> 00:18:05.000]   Thank you, everyone wants to connect.

