
[00:00:00.000 --> 00:00:06.000]   Easter weekend has passed.
[00:06:50.660 --> 00:06:51.900]   That's the truth.
[00:06:51.900 --> 00:06:56.660]   Right now in your deception, you can't see and feel that.
[00:06:56.660 --> 00:07:03.740]   All you can see and feel is that God's call will be against some of your present desires.
[00:07:03.740 --> 00:07:06.300]   That's what it means to be deceived.
[00:07:06.300 --> 00:07:09.580]   Most people are locked up in this bondage.
[00:07:09.580 --> 00:07:14.860]   These desires are what Paul calls deceitful desires, Ephesians 4 22.
[00:07:14.860 --> 00:07:17.160]   They are lying to you.
[00:07:17.160 --> 00:07:26.640]   They are telling you that surrender will only mean misery, miserable denial of these desires.
[00:07:26.640 --> 00:07:30.100]   And that's the lie that you are believing in your heart.
[00:07:30.100 --> 00:07:31.700]   Now here's the truth.
[00:07:31.700 --> 00:07:36.940]   The kingdom of heaven is like a treasure hidden in a field, which a man found and covered
[00:07:36.940 --> 00:07:37.940]   up.
[00:07:37.940 --> 00:07:45.780]   And then in his joy, he goes and sells all that he has and buys that field.
[00:07:45.780 --> 00:07:53.620]   Now while you are deceived, Billy, selling all that you have can only look idiotic, can
[00:07:53.620 --> 00:07:55.860]   only look like doing what you don't want to do.
[00:07:55.860 --> 00:07:56.860]   That's what you said.
[00:07:56.860 --> 00:07:58.940]   It's going to ask me to do something I don't want to do.
[00:07:58.940 --> 00:08:02.020]   That's the only way it can look while you're deceived.
[00:08:02.020 --> 00:08:09.860]   But Jesus said that when the kingly rule, the kingdom of Christ comes into your life
[00:08:09.860 --> 00:08:16.740]   with power, you see something so stunning, so beautiful, so valuable that selling everything
[00:08:16.740 --> 00:08:19.860]   becomes joyful.
[00:08:19.860 --> 00:08:25.420]   On the other side, the front side of deception, it looks burdensome, horrible.
[00:08:25.420 --> 00:08:29.700]   No way am I going to sell everything for this junk piece of treasure called Jesus.
[00:08:29.700 --> 00:08:30.700]   No way.
[00:08:30.700 --> 00:08:34.260]   And then bang, the kingdom comes in, sets you free.
[00:08:34.260 --> 00:08:35.660]   Let me get rid of it.
[00:08:35.660 --> 00:08:39.140]   The happiest thing in the world would be to have this treasure.
[00:08:39.140 --> 00:08:42.300]   It's no sacrifice to sell everything to have this treasure.
[00:08:42.300 --> 00:08:48.980]   The truth of the beauty and the value of the kingdom has set you free from the deception
[00:08:48.980 --> 00:08:51.940]   that selling all is miserable.
[00:08:51.940 --> 00:08:53.640]   So here's the issue, Billy.
[00:08:53.640 --> 00:08:56.820]   There is truth and there is a lie.
[00:08:56.820 --> 00:08:59.660]   There is deception and there's liberation.
[00:08:59.660 --> 00:09:07.180]   The lie, the deception, is that if you give yourself up wholly to God for him to do whatever
[00:09:07.180 --> 00:09:14.140]   he pleases to make you holy, God-glorifying, fruitful, you will be joyless, miserable.
[00:09:14.140 --> 00:09:15.140]   That's the lie.
[00:09:15.140 --> 00:09:20.980]   The number one lie of the universe is that lie, and you're believing it right now.
[00:09:20.980 --> 00:09:26.580]   And the truth is that if you give yourself up wholly to God for him to do whatever he
[00:09:26.580 --> 00:09:33.580]   pleases to make you holy and God-glorifying and fruitful, he will give you an eternal
[00:09:33.580 --> 00:09:41.540]   treasure, himself and all that God is for you in him, treasure, more enjoyable than
[00:09:41.540 --> 00:09:49.220]   anything in this world, and he will give you a heart that experiences this treasure as
[00:09:49.220 --> 00:09:53.940]   gain, not loss, even if it costs you your life.
[00:09:53.940 --> 00:10:03.860]   So Billy, the way out of the deception is one, look, look, look, look at the treasure
[00:10:03.860 --> 00:10:09.780]   Jesus Christ, beholding the glory of the Lord, as Paul says, 2 Corinthians 3.18.
[00:10:09.780 --> 00:10:16.620]   Number two, all the while praying, praying, praying for your eyes to see and a heart to
[00:10:16.620 --> 00:10:19.660]   feel the wonder of the treasure.
[00:10:19.660 --> 00:10:26.580]   Third, surrounding yourself in this battle with mature Christians who will exhort you
[00:10:26.580 --> 00:10:32.980]   every day not to be hardened by the deceitfulness of sin, Hebrews 3.13.
[00:10:32.980 --> 00:10:40.420]   Join Paul in saying, "I count everything as loss because of the surpassing worth of
[00:10:40.420 --> 00:10:43.740]   knowing Christ Jesus my Lord," Philippians 3.8.
[00:10:43.740 --> 00:10:45.980]   He is that valuable, Billy.
[00:10:45.980 --> 00:10:48.060]   He is, that's the truth.
[00:10:48.060 --> 00:10:50.340]   He is that valuable.
[00:10:50.340 --> 00:10:57.500]   Don't let anybody or anything or any supernatural deceptive power deceive you otherwise.
[00:10:57.500 --> 00:11:02.580]   Thank you, Pastor John, for your directness, and thank you, Billy, for your willingness
[00:11:02.580 --> 00:11:04.500]   to ask such an honest question.
[00:11:04.500 --> 00:11:08.740]   It's questions like this one that help address the lives of hundreds and maybe thousands
[00:11:08.740 --> 00:11:11.860]   of others in the same situation.
[00:11:11.860 --> 00:11:16.940]   Humble listeners with honest questions lead to episodes like this one that will serve
[00:11:16.940 --> 00:11:18.060]   many listeners.
[00:11:18.060 --> 00:11:19.380]   That's how this podcast works.
[00:11:19.380 --> 00:11:24.740]   It only works with your humble, honest engagement, so thank you.
[00:11:24.740 --> 00:11:26.060]   And thank you to everyone who is listening.
[00:11:26.060 --> 00:11:29.580]   If you haven't done so, you can get the latest episodes delivered to you by subscribing to
[00:11:29.580 --> 00:11:34.660]   Ask Pastor John in your favorite podcast app in Spotify or by subscribing to DG's YouTube
[00:11:34.660 --> 00:11:35.660]   channel.
[00:11:35.660 --> 00:11:39.540]   And to find other episodes in our archive or to submit a question to us, go online to
[00:11:39.540 --> 00:11:44.340]   DesiringGod.org/AskPastorJohn.
[00:11:44.340 --> 00:11:49.500]   Well praise and possessions, those are the two dominant idols of our age.
[00:11:49.500 --> 00:11:54.140]   The desire for self-glory and the desire for material wealth.
[00:11:54.140 --> 00:11:58.140]   So what is the Christian's relationship to the praise of the world and the possessions
[00:11:58.140 --> 00:11:59.140]   of the world?
[00:11:59.140 --> 00:12:02.060]   We have to think this through, and we will next time.
[00:12:02.060 --> 00:12:03.060]   I'm your host Tony Ranke.
[00:12:03.060 --> 00:12:04.500]   We'll see you back here on Wednesday.
[00:12:04.500 --> 00:12:05.500]   God bless.
[00:12:05.500 --> 00:12:05.500]   God bless.
[00:12:05.500 --> 00:12:06.500]   God bless.
[00:12:06.500 --> 00:12:06.500]   God bless.
[00:12:06.500 --> 00:12:11.500]   God bless.
[00:12:11.500 --> 00:12:21.500]   [BLANK_AUDIO]

