
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:06:21.000 --> 00:06:43.000]   It just seems to me if we didn't, when I think about history and I think about what it may have felt like and smelled like and sounded like to live in other pre-revolutionary cultures and times, I don't know how different it would be from what we're living through right now.
[00:06:43.000 --> 00:06:47.000]   And so that causes me to be sober and to try to be sober minded.
[00:06:47.000 --> 00:06:51.000]   So what happens in revolutions?
[00:06:51.000 --> 00:06:59.000]   Well, one of the reasons that revolutions can be so dangerous is because they're usually accompanied by mobs, mobs of people.
[00:06:59.000 --> 00:07:04.000]   And mobs scare me. Mobs of any kind scare me.
[00:07:04.000 --> 00:07:07.000]   There's only one time I've ever been a part of a mob.
[00:07:07.000 --> 00:07:10.000]   And you'll laugh, but it's true.
[00:07:10.000 --> 00:07:17.000]   And that was when I was in high school and I did musical theater and we performed the Disney Beauty and the Beast production.
[00:07:17.000 --> 00:07:22.000]   And I was part of the mob, you know, the mob song from Beauty and the Beast.
[00:07:22.000 --> 00:07:30.000]   He's got fangs. Kill the beast.
[00:07:30.000 --> 00:07:35.000]   You know that song. And I remember performing that song on stage.
[00:07:35.000 --> 00:07:38.000]   And I was part of the mob. I was just part of the chorus.
[00:07:38.000 --> 00:07:45.000]   But, you know, we had our pitchforks in our hands and we would set out and here's Gaston, you know, riling up the mob.
[00:07:45.000 --> 00:07:50.000]   And, you know, he's got fangs, razor sharp ones. He's got fangs. He's got claws.
[00:07:50.000 --> 00:07:53.000]   We're not we won't rest until he's dead. Kill the beast.
[00:07:53.000 --> 00:08:04.000]   And, you know, I'm acting this out. And I remember how my blood used to like the adrenaline into my body used to pump when I was performing that scene.
[00:08:04.000 --> 00:08:15.000]   And it just felt it felt exactly as I would imagine it feeling if I was part of a village mob to go up to the Beast's castle and kill the beast.
[00:08:15.000 --> 00:08:19.000]   And I remember that I would be yelling these words, you know, kill the beast.
[00:08:19.000 --> 00:08:25.000]   And I felt a sense of murder in my heart. I felt a sense of just we're going to go after them.
[00:08:25.000 --> 00:08:33.000]   And this this mob psychology came in, even in a ridiculous high school musical theater application.
[00:08:33.000 --> 00:08:36.000]   And part of that, you would say, is just good acting, right?
[00:08:36.000 --> 00:08:41.000]   Good acting involves putting yourself into a state where you feel what your character would feel.
[00:08:41.000 --> 00:08:52.000]   So part of it was good acting. But what I observed was how quickly that became part of how quickly I felt those emotions.
[00:08:52.000 --> 00:09:02.000]   And even though the whole thing was made up and it was a story made up about a magic incantation where a man was transformed into a beast and the beast had done nothing wrong.
[00:09:02.000 --> 00:09:08.000]   But now the mob is being riled up by, you know, Gaston, who's going to go. We're going to go up and kill the beast.
[00:09:08.000 --> 00:09:21.000]   The whole thing was made up. And yet here I was feeling like, wow, I could almost commit murder based upon this simple fact of we're here on a stage and I'm surrounded by people.
[00:09:21.000 --> 00:09:29.000]   And we're we've got our fists in the air and we're yelling and saying, we're going to go. We're not coming home. We won't stop until he's dead.
[00:09:29.000 --> 00:09:44.000]   And here's this, you know, the guy, you get the point that scared me to this day. It still scares me when I think of some of the situations I've been in in my life because of peer pressure or crowd dynamics.
[00:09:44.000 --> 00:09:49.000]   You know, it really, really scared me. It still does.
[00:09:49.000 --> 00:10:12.000]   I remember one, another example. I remember years ago I went to a T. Harv Ecker seminar. If you'll remember, T. Harv Ecker was, is the man who wrote the book called The Millionaire Mind, not Thomas Stanley's Millionaire Mind, but T. Harv Ecker's Millionaire Mind, all about changing your scripts with regard to money.
[00:10:12.000 --> 00:10:26.000]   And I went to his seminar. It was a very well done seminar. I really enjoyed it. But he did this thing at the seminar with regard to crowd dynamics.
[00:10:26.000 --> 00:10:35.000]   And I'm giving away the point, which you almost hesitate to do, but in this case, I think it's important. And he put the crowd through and you had to bring a hundred dollar bill to the seminar.
[00:10:35.000 --> 00:10:54.000]   And he was talking about the mindset of money, of how you master over money and you adjust your mindset. He was talking about how, and the way that you were going to show your complete and total mastery over money was you were going to burn your hundred dollar bill.
[00:10:54.000 --> 00:11:12.000]   Now, these things sound ridiculous, but he had a beautiful way of building up to it, of getting the crowd into it. And I watched the crowd dynamics and I remember that I was torn. I was sitting there saying, this is stupid. This is stupid. I'm not going to burn a hundred dollar bill. This is utterly stupid.
[00:11:12.000 --> 00:11:27.000]   But I remember how much I wanted to participate in that because of the crowd dynamics of the money seminar and how I wanted to experience it. And I don't know. I don't think I would have done it. But maybe I'm fooling myself. Maybe I would have.
[00:11:27.000 --> 00:11:47.000]   And then he would round up the whole crowd. I can't remember the details of how he did it, but he's got candles ready and you're just about to light it on fire. And then he says, stop. And then the lesson is that if you were ready to burn a hundred dollar bills, you were acting like an idiot. Stop. You have to actually respect your money and take care of it.
[00:11:47.000 --> 00:12:09.000]   And I learned a lesson, right? I learned a lesson of how a good orator, a good leader can get a crowd to do something that an individual really never would. You see this all throughout the world. You see this in political settings and religious settings and all kinds of places where you just see a mob psychology take over. And it scares me.
[00:12:09.000 --> 00:12:28.000]   I made a commitment. I said, I'm never going to be part of a mob. I'm just not going to do it. And I've done a pretty decent job of not being part of any kind of mob. But I've had the mob come for me a time or two and it's not fun. And it's scary how our human group dynamics work and how it really exposes us.
[00:12:28.000 --> 00:12:46.000]   So in revolutions, you often have these mob dynamics at work and people get hurt. Things get done. Atrocities get committed when you're in the middle of these, these revolutions, especially if there's violence involved in a political revolution of some kind and people do things they would never do at another time.
[00:12:46.000 --> 00:13:05.000]   Now, why do I say that revolutions are always bad? That seems like a hard statement to defend. You know, where most of us want to go is immediately to what about the American Revolution? Right. Let's talk about what the American Revolution was, was great. We think we say the American Revolution was great, but the French Revolution, that was the bad one.
[00:13:05.000 --> 00:13:34.000]   Well, sometimes the French people might want to talk about that. It seems a little bit mean to always make fun of the French Revolution, although it had a lot to be critical of. But even just the American Revolution, you know, years ago when I was young, I was raised with probably what many Americans are raised with is this, this basic context that the American Revolution is the ultimate, ultimate example of an appropriate, moral, upright, just revolution.
[00:13:34.000 --> 00:13:56.000]   It was the right thing. And of course, we're coming up here on July 4, you know, the day to celebrate the American Revolution, Independence Day. Over the years, I studied history a lot more. I started off thinking, oh, I would have been a patriot, right? I would have been right there with Paul Revere. And I would have been there in George Washington's army. And I would have been there with that.
[00:13:56.000 --> 00:14:21.000]   But over time, I've become convinced that, or I hope that I wouldn't be actually. At this point, I think the American Revolution was a mistake. I think it has turned out to be a mistake. And although you appreciate so many great things about the United States of America and so many good things that have happened, none of us have God's middle knowledge to go back and have an idea of what would have happened if things had gone another way.
[00:14:21.000 --> 00:14:50.000]   And I personally, if I could go back and, and you just say, Joshua, you can go back and be a subject of King George living in the United States, the US American colonies, I'd do it in an instant. You had the freest, one of the freest places on earth, as long as you weren't a slave, a black slave in the United States, you had one of the freest places in on earth with, you know, a tenth of the level of taxation of British people have basically 1% of income is what historical,
[00:14:50.000 --> 00:15:17.000]   historical economies of economists have estimated incredible freedom. And when you look at what happened in the wake of the revolution, you know, an immediate hyperinflation, immediate massive increases in taxes, immediate new laws. And then you had the pre constitutional era that quickly led to the US Constitution. And sorry to step on your toes, constitutionalists, but it's turned out to be, I don't know, you appreciate some things about it.
[00:15:17.000 --> 00:15:46.000]   But a number of years ago, I became convinced that I'm an anti federalist politically, and that the Constitution was basically a middle of the night coup. And what has happened is the victors write the history books. And so the constitutionalists won. And so now we look at the Federalist Papers and every conservative Republican says, well, look, let's look at the Federalist Papers. And you compare the Federalist Papers to today. And you say, well, you know, I appreciate many of the things about the Federalist Papers, but I'm not convinced it was a good idea.
[00:15:46.000 --> 00:16:02.000]   I'm not convinced it was a good thing. I'm not convinced it was the best solution. But, and again, I'm not bitter about any of this stuff, just kind of an abstract, unpopular opinion that I personally hold. No need to argue about it. None of us can go back and change it. None of us can adjust it.
[00:16:02.000 --> 00:16:24.000]   But I find the constitutional period or the Revolutionary War period in the United States important, especially as it relates to wealth. Because over time, when I finally realized, you know what, I think if I were, you know, 200 and whatever years ago, if I were anything like I am today, I probably would have been a loyalist. I probably would have been a loyalist to the crown.
[00:16:24.000 --> 00:16:48.000]   And so what would that have meant to me financially? Well, it would have meant total ruin, right, financially. There have been two major periods in the United States of America where tens of thousands of people have been ruined financially. Actually, I guess probably three, but two big ones, where tens of thousands of people have been utterly ruined financially by revolution.
[00:16:48.000 --> 00:17:14.000]   The first obvious one was in the wake of the American Revolution, where all of the loyalists, anybody who had not joined the revolutionary cause, all of the loyalists basically had to flee, had to flee to Canada, many of them. They lost their property, their property was taken, lost their assets, lost their businesses, experienced complete social ostracism, basically lost everything.
[00:17:14.000 --> 00:17:39.000]   And many of them, of course, fled to Canada and started over in Canada. And I'll give you the other example in a moment. But it's sobering when you think back about how fraught with danger things were. Again, the victors write the history books. And so we look back from a modern perspective, if you're in the United States and you're raised as a U.S. American, you look back and you say, well, of course, you know, what the people did was patriotic.
[00:17:39.000 --> 00:18:00.000]   And Thomas Jefferson says the, the, the tree of liberty should be watered with the blood of tyrants. And these were the most patriotic men ever. No, they committed treason. Right. They committed treason. And in my opinion, again, very unpopular opinion, but in my opinion, under a lot of them are completely false pretenses.
[00:18:00.000 --> 00:18:23.000]   So what would have happened if they had not won? Well, if they had not won, then everybody who joined that side, if England had been victorious in the American Revolution, which any observer would certainly have expected, the actual outcome of the American Revolution was astonishingly unexpected for kind of a thoughtful outside observer.
[00:18:23.000 --> 00:18:45.000]   Basically, the French saved the revolution at the end due to some, some good diplomacy. I think it was Ben Franklin, right, who went to France and finally succeeded in persuading the French to join the cause and help to defeat the British. But another reason to practice your French. Benefits of learning foreign languages.
[00:18:45.000 --> 00:18:55.000]   But without that, if the British had won, then of course, all of the supporters, all of the rebels would have been totally crushed.
[00:18:55.000 --> 00:19:09.000]   The rebels would have been crushed. Their property would have been taken. They would have been hanged in the village square. They would have been imprisoned. Their families would have been left completely destitute. And, and, you know, they would have lost everything.
[00:19:09.000 --> 00:19:30.000]   So put yourself back in the context of the American Revolution, right? You're living in Boston and put yourself in a situation where you've got to take sides in this, in this war. You've got to either be a rebel, aka a patriot or whatever term of the time, or you're going to be a loyalist.
[00:19:30.000 --> 00:19:57.000]   Well, that's a hard question to make because if you pick one side or you pick the other, if you pick the winning side, things might work out for you. If you pick the losing side, you might be ruined. And that's what happened. The rebels won. The revolutionary spirit, the early Americans won. But that meant that the loyalists were destroyed and had to flee, had to flee with what they had on their backs.
[00:19:57.000 --> 00:20:15.000]   Now let's go forward in the United States to another period after the Civil War. So again, in the Civil War, you have a revolutionary spirit. You have the Southern secession. And then you have the, the, the Union Army come in and, and, and determined to put down the Southern secession.
[00:20:15.000 --> 00:20:34.000]   Well, we know how that war ended. It wasn't clear in the middle of it, how exactly it would end, but we know how it ended. And just think back to, think back to what would have happened in that context if, if either side had won. Now we know of course that the Union Army won.
[00:20:34.000 --> 00:21:01.000]   So tens of thousands of landed Confederate supporters fled the United States. They fled to Europe. They fled to Central and South America. They fled the United States. Tens of thousands of, of Confederate landowners lost massive amounts of property with the property of their slaves, which obviously that was the morally right decision.
[00:21:01.000 --> 00:21:17.000]   But it still doesn't change the financial devastation that they experienced. But we're, but in addition to that, people lost houses, they lost businesses, they lost massively. And again, tens of thousands of people, primarily the wealthy landed people fled all around the world.
[00:21:17.000 --> 00:21:37.000]   And that was a war that was filled with war crimes. That was a war that was filled with human atrocity on both sides. War is never pretty. It's never, it's never as neat and as elegant and as pretty as you want it to be. You want it to be this, this nice thing, but war is ugly and tremendous crimes are, are committed in the midst of it.
[00:21:37.000 --> 00:22:04.000]   So we had tens of thousands of Confederates that fled, fled and, and lost everything and had to start over again in another place. Now, what if that war had gone differently? You know, one of my forebears was the leader of a county in the South, inside the Confederate South, that when the Confederate South seceded from the Union, he actually led the charge for his county to secede from the Confederacy.
[00:22:04.000 --> 00:22:26.000]   And so he was a, I guess, a Union loyalist. He didn't want to be part of the Confederacy. What would have happened to him if, if the Union had won? I'm sorry, if the South had won? Well, of course, if the South had won, then he would have been a traitor. And the people in the county that supported that would have been a traitor and they would have lost everything. A bunch of them would have been hanged in the village square and lost everything.
[00:22:26.000 --> 00:22:44.000]   And so revolutions are just simply flat out dangerous. They're dangerous no matter what side they're on. And, and the other reason why I look at revolutions and just think about how destructive they are is the results are so muddled. You know, you look at many of the wars where you say there's a clear moral cause.
[00:22:44.000 --> 00:23:02.000]   You look at the, the Civil War with a clear morally right cause that involves the ending of slavery. Or you look at a place like, I don't know, you look at World War II and you look at war and you think this could have been solved some other way. And if it had been solved some other way, it would have been better.
[00:23:02.000 --> 00:23:18.000]   So slavery ended all around, you know, the American, the United States of America ended slavery with a war, but it didn't have to be that way. Slavery was ended in other places without a war. And when there is a revolution, it leads to bad situations.
[00:23:18.000 --> 00:23:41.000]   You know, years ago, a number of years ago, I've mentioned on the show various times I went to Haiti. And one of the things that's really interesting when you speak to Haitians is Haitians are incredibly proud that they, their country is the, has, to my knowledge, is the only successful slave revolt, black slave revolt in the world.
[00:23:41.000 --> 00:23:58.000]   And it's really interesting because I toured the palace and the citadel that I mentioned in a previous show. I toured the palace and then some of the things that were built by slaves. And you look at the cost, the human life of that. And it's, it's horrendous, right?
[00:23:58.000 --> 00:24:15.000]   You go to so many of these ancient, the, the, these ancient buildings and, and edifices and monuments. And you think about the human cost that was involved in it. It just makes your, all you want to do is sit down and cry.
[00:24:15.000 --> 00:24:29.000]   You know, you think about the Bung Road in Russia or the, you know, the palace of, this is the citadel. And you think about the human cost in Haiti, just the slaves that gave their lives. It's, it's just, it's heartbreaking.
[00:24:29.000 --> 00:24:46.000]   And when I've gone back and I've thought about what's happened in Haiti since the revolution, and when I would talk to the Haitians and try to get an understanding of what on earth is going on in this nation, I'm, I don't know, you know, I'm not Haitian.
[00:24:46.000 --> 00:24:59.000]   I don't really have any, any way to, why I should have a valid opinion about it, but it just seems like such a troubled and dysfunctional place that I wonder if the revolution was, was great.
[00:24:59.000 --> 00:25:13.000]   I think Reformation would have been better. Don't know. My history is not competent enough to know that. What I do know is this, revolution is dangerous. It's dangerous for you and it's dangerous for your money.
[00:25:13.000 --> 00:25:19.000]   Now, if you're on the winning side of a revolution, can it make you a fortune? There have been people throughout history who have done that.
[00:25:19.000 --> 00:25:27.000]   There have been people throughout history who made their fortune during times of war. War is a racket. War is a way of certain people getting rich.
[00:25:27.000 --> 00:25:37.000]   And so, if you can be on the winning side and you can play that inside game, maybe you can use war, maybe you can use a revolution to build your fortune.
[00:25:37.000 --> 00:25:48.000]   I'm not comfortable with that. I'm not interested in it. I think most of that is immoral. I wouldn't sleep at night if I had a financial fortune that was built on the death of thousands of people.
[00:25:48.000 --> 00:25:55.000]   I couldn't sleep. I couldn't spend that blood money. But I acknowledge that that is the case throughout human history.
[00:25:55.000 --> 00:26:02.000]   There's also a good chance of ruin. If you're on the wrong side of the revolution, there's a very decent chance of ruin.
[00:26:02.000 --> 00:26:10.000]   So, what do you do? How do you protect yourself if you happen to wake up and find yourself in a time of revolution?
[00:26:10.000 --> 00:26:15.000]   Well, about the only thing I know to do is to step out of the way.
[00:26:15.000 --> 00:26:25.000]   Sometimes easier said than done. And sometimes morally, I think stepping out of the way might be the exact wrong thing to do.
[00:26:25.000 --> 00:26:30.000]   Morally, it would seem that there are times when you need to stand up and open your mouth.
[00:26:30.000 --> 00:26:43.000]   There are times when fighting, whether it be physical violence or whether it be with words or rhetoric, seems the appropriate thing to do.
[00:26:43.000 --> 00:26:56.000]   The cost, finances should not be our god. Finances should not be building wealth and keeping wealth, should not be the only thing that we're focused on.
[00:26:56.000 --> 00:27:07.000]   It should not be. And so I want to leave wide open the door and leave wide open the position that there are times when something is too important to run away from.
[00:27:07.000 --> 00:27:19.000]   But when I look at things pragmatically and with the background that revolution is probably bad on all sides, which admittedly very few people would share that opinion.
[00:27:19.000 --> 00:27:29.000]   But I've just tried to articulate a little bit about why I think it is generally bad and why I support reformation of things that need to be reformed, but not revolution.
[00:27:29.000 --> 00:27:37.000]   When I look at it, about the only solution that I see is to get out of the way.
[00:27:37.000 --> 00:27:52.000]   Get out of the way physically, remove yourself from a place of physical harm, remove yourself and your capital or at least significant amounts of your capital and have a plan to go somewhere else.
[00:27:52.000 --> 00:27:59.000]   If you go back to almost any revolution, there are warning signs in the years before it.
[00:27:59.000 --> 00:28:09.000]   There are warning signs, two that I've had a good deal of experience with that are fairly recent, the Cuban revolution and then also the political revolution in Venezuela.
[00:28:09.000 --> 00:28:17.000]   Now, they looked different, but one of the things that's been fascinating to me is that both of them had significant warning signs.
[00:28:17.000 --> 00:28:32.000]   And in both cases, you'll find people who had their eyes opened and who had their eyes opened, they were paying attention and they made plans to not be stuck in the middle of a revolution.
[00:28:32.000 --> 00:28:45.000]   This past weekend, I was spending some time with a Venezuelan family and their escape plan, they left Venezuela about five years ago, but it took them about four or five years of work before that to set up the system for them to leave Venezuela.
[00:28:45.000 --> 00:28:47.000]   They had to get residency paperwork in another place.
[00:28:47.000 --> 00:28:50.000]   They had to start a business in that place in order to get the residency paperwork.
[00:28:50.000 --> 00:28:52.000]   So they had to figure out how to start the business.
[00:28:52.000 --> 00:28:59.000]   It was very expensive for them, but they were able to leave Venezuela years before things got really bad.
[00:28:59.000 --> 00:29:07.000]   And today, we were sitting at a resort, sitting and chatting and they were doing well, doing really, really well.
[00:29:07.000 --> 00:29:18.000]   Even though their, you know, their friends and their family and their compatriots are not, because they saw the revolution coming and they didn't sit and wait.
[00:29:18.000 --> 00:29:29.000]   Now, in hindsight, when I go back and I think about my admittedly limited knowledge of history of almost any revolution, I think the same thing can be said.
[00:29:29.000 --> 00:29:36.000]   That when you go back and you look and you see the winds are coming, that's the time to have a backup plan.
[00:29:36.000 --> 00:29:39.000]   That's the time to be able to move.
[00:29:39.000 --> 00:29:44.000]   So if I put myself in the position of let's go back to the American Revolution.
[00:29:44.000 --> 00:29:52.000]   If I took plans proactively and did my best, and let's just assume that I'm not going to be on the front line, right?
[00:29:52.000 --> 00:29:55.000]   I'm not the revolutionary and I'm not the leading opponent.
[00:29:55.000 --> 00:29:58.000]   I'm kind of stepping, stepping out to the side.
[00:29:58.000 --> 00:30:04.000]   If I took plans proactively, I could adjust things, right?
[00:30:04.000 --> 00:30:06.000]   If I had, if I assume I have money, right?
[00:30:06.000 --> 00:30:09.000]   This is a lot. Everything in life is easier if you got a lot of money.
[00:30:09.000 --> 00:30:12.000]   But you might just, why don't you send your family to France, right?
[00:30:12.000 --> 00:30:15.000]   Or send your family to Germany for a few years.
[00:30:15.000 --> 00:30:18.000]   You think back and you look at the pain.
[00:30:18.000 --> 00:30:22.000]   I look at, I watch, I enjoy watching historical movies.
[00:30:22.000 --> 00:30:26.000]   What's that one? The Mel Gibson one, right? The Patriot, something like that, where he's in the American Revolution.
[00:30:26.000 --> 00:30:28.000]   If memory is right, didn't he lose a child?
[00:30:28.000 --> 00:30:32.000]   And wasn't that what caused him to be this valiant warrior?
[00:30:32.000 --> 00:30:36.000]   Well, it's not worth it to lose a child, right?
[00:30:36.000 --> 00:30:39.000]   Of course, you hate to disrupt your whole family and do that.
[00:30:39.000 --> 00:30:44.000]   But if you're in that situation, wouldn't it be better to shut down your business operation,
[00:30:44.000 --> 00:30:49.000]   shut down your farm and put your family, send them on a boat to Germany?
[00:30:49.000 --> 00:30:53.000]   You go back to Germany, kind of pre-World War II Germany, and you look at all of the people.
[00:30:53.000 --> 00:30:59.000]   You think about a guy like Albert Einstein or who was the economist? Mises, I think.
[00:30:59.000 --> 00:31:03.000]   Who got out, you know, a few, just a little time before.
[00:31:03.000 --> 00:31:05.000]   And they waited even too long.
[00:31:05.000 --> 00:31:10.000]   But you think about all the people who stayed, who stayed in Germany and in Austria.
[00:31:10.000 --> 00:31:15.000]   When, if they had just simply left, if they had recognized, look, the writing's on the wall, let's adjust.
[00:31:15.000 --> 00:31:17.000]   Let's go in a different direction.
[00:31:17.000 --> 00:31:20.000]   Let's move some of our affairs, move some business affairs.
[00:31:20.000 --> 00:31:25.000]   And let's go to a place that's a disinterested, you know, more neutral place.
[00:31:25.000 --> 00:31:32.000]   Think about the human lives that could have been saved if more people had done that.
[00:31:32.000 --> 00:31:34.000]   Now, I don't know how that kind of thing affects history.
[00:31:34.000 --> 00:31:41.000]   I have no idea. I have no idea how you adjust a society or civilization.
[00:31:41.000 --> 00:31:47.000]   And I'm not sure to what extent we have even any kind of moral responsibility to think about that.
[00:31:47.000 --> 00:31:51.000]   It seems to me that we, of course, are responsible for ourselves and our family.
[00:31:51.000 --> 00:31:56.000]   And although I believe we have responsibilities that emanate out from that place,
[00:31:56.000 --> 00:32:02.000]   I'm not sure that those responsibilities are as intense as many people would want to force you to think they are.
[00:32:02.000 --> 00:32:04.000]   I don't know. I don't have that answer.
[00:32:04.000 --> 00:32:11.000]   But looking back on it, I'd like to think that if I could figure out a way to arrange the logistics,
[00:32:11.000 --> 00:32:15.000]   I'd like to think I'd like to send my family out of the danger zone.
[00:32:15.000 --> 00:32:24.000]   And so if I consider myself being in, you know, pre-Revolutionary War United States of America,
[00:32:24.000 --> 00:32:32.000]   or Civil War United States of America, or 1970s Iran, or Cuba before the revolution there,
[00:32:32.000 --> 00:32:43.000]   or Venezuela in 2010, or wherever we are, wherever you are right now,
[00:32:43.000 --> 00:32:49.000]   it just seems to me that there's a lot to be said for being thoughtful and prepared
[00:32:49.000 --> 00:32:58.000]   and making a plan to get yourself and your money out of the area of trouble.
[00:32:58.000 --> 00:33:06.000]   So let's pretend that you're living in a place where you say, you know what, there's potentially problems here.
[00:33:06.000 --> 00:33:09.000]   What do I do? What practically do you do?
[00:33:09.000 --> 00:33:15.000]   Well, the first thing that you do is you need some money or you need a way to earn some money.
[00:33:15.000 --> 00:33:19.000]   You don't actually need that much money if you have a way to earn money.
[00:33:19.000 --> 00:33:25.000]   I have a course called How to Survive and Thrive During the Coming Economic Crisis.
[00:33:25.000 --> 00:33:31.000]   Been very well thought of by my students. I've had tremendous good feedback on it.
[00:33:31.000 --> 00:33:38.000]   But in that course, I talk about the importance of having a portable business or a portable occupation,
[00:33:38.000 --> 00:33:42.000]   a portable job skills. And so that's one of the great things.
[00:33:42.000 --> 00:33:46.000]   Let's say that you have $10,000, but you're living in a place and you look around and you say,
[00:33:46.000 --> 00:33:50.000]   I'm certain that revolution is on our doorstep. I'm certain.
