
[00:00:00.000 --> 00:00:24.000]   Brian Armstrong.
[00:06:32.000 --> 00:06:37.000]   So if they want to--and that's their counter. So respond to their counter.
[00:06:37.000 --> 00:06:39.000]   What's true about what they say?
[00:06:39.000 --> 00:06:43.000]   Well, they're absolutely correct that this industry has attracted some really bad people.
[00:06:43.000 --> 00:06:47.000]   I will admit that. If you look at the beginnings of any new technology,
[00:06:47.000 --> 00:06:50.000]   the Internet, there were lots of scams.
[00:06:50.000 --> 00:06:54.000]   Even in traditional financial services, we have Bernie Madoff and Exxon periodically.
[00:06:54.000 --> 00:06:58.000]   So what you should do in a free society is if somebody commits fraud,
[00:06:58.000 --> 00:07:02.000]   absolutely that's what the justice system should do is go after them, create a deterrent,
[00:07:02.000 --> 00:07:06.000]   put them in jail. Sam Bankman Freed should go to jail.
[00:07:06.000 --> 00:07:10.000]   It does not mean that the industry should be outlawed.
[00:07:10.000 --> 00:07:15.000]   And one of the really dangerous things that's happening is that the Constitution says
[00:07:15.000 --> 00:07:17.000]   that Congress creates the laws.
[00:07:17.000 --> 00:07:21.000]   What's happened is that we've created these agencies,
[00:07:21.000 --> 00:07:26.000]   and because they can just send subpoenas to everybody or publish these guidance letters--
[00:07:26.000 --> 00:07:31.000]   this is kind of the administrative state, if you will--they are de facto creating laws.
[00:07:31.000 --> 00:07:35.000]   Other industries, like in the FDA, if the FDA puts out a guidance letter
[00:07:35.000 --> 00:07:39.000]   and you don't like it, what are you going to do? It's a de facto law.
[00:07:39.000 --> 00:07:42.000]   So there's an interesting constitutional argument around this of like,
[00:07:42.000 --> 00:07:44.000]   is the administrative state overreaching?
[00:07:44.000 --> 00:07:47.000]   And I think we've seen that in this example with the SEC.
[00:07:47.000 --> 00:07:49.000]   [applause]
[00:07:49.000 --> 00:07:51.000]   Well said.
[00:07:51.000 --> 00:07:58.000]   But isn't one of the fundamental premises of Bitcoin, blockchain technology,
[00:07:58.000 --> 00:08:01.000]   that we can wrestle away control from the government,
[00:08:01.000 --> 00:08:06.000]   and so you are de facto putting yourself in this kind of opposing position to the government,
[00:08:06.000 --> 00:08:09.000]   because you live in a country that the government has the laws
[00:08:09.000 --> 00:08:12.000]   and the ability to create new laws and enforce those laws upon you.
[00:08:12.000 --> 00:08:16.000]   And ultimately, crypto is going to be challenged by the fact
[00:08:16.000 --> 00:08:19.000]   that it is a challenge to centralized governments.
[00:08:19.000 --> 00:08:21.000]   Yeah, I mean, that's exactly right.
[00:08:21.000 --> 00:08:24.000]   Anytime you create a startup and you go up against some big incumbent,
[00:08:24.000 --> 00:08:26.000]   there's going to be a shift of power.
[00:08:26.000 --> 00:08:31.000]   And in the U.S., the government enjoys this monopoly on issuing the currency.
[00:08:31.000 --> 00:08:36.000]   In the U.S., our banks are more privatized than, say, China or most other countries,
[00:08:36.000 --> 00:08:39.000]   but they're quasi-nationalized in the U.S.
[00:08:39.000 --> 00:08:43.000]   I mean, we talked about the revolving door and all the kind of oversight,
[00:08:43.000 --> 00:08:46.000]   and like a bank cannot launch a new product without government approval,
[00:08:46.000 --> 00:08:49.000]   so how really private market is it?
[00:08:49.000 --> 00:08:51.000]   I think Bill Gurley showed that graph of like,
[00:08:51.000 --> 00:08:55.000]   there haven't been any new banks really created since Dodd-Frank.
[00:08:55.000 --> 00:08:58.000]   So it's a quasi-nationalized industry.
[00:08:58.000 --> 00:09:02.000]   Of course, some people are going to be upset about losing the power of that,
[00:09:02.000 --> 00:09:05.000]   but in America, this is a free country,
[00:09:05.000 --> 00:09:09.000]   and American citizens should be free to use any technology that they want.
[00:09:09.000 --> 00:09:11.000]   They should be free to use cryptocurrency.
[00:09:11.000 --> 00:09:13.000]   And as long as you're not hurting somebody else,
[00:09:13.000 --> 00:09:15.000]   that should be protected as a freedom here.
[00:09:15.000 --> 00:09:17.000]   So what's the path, Brian?
[00:09:17.000 --> 00:09:20.000]   Because it seems like what you guys have had to do, you and others,
[00:09:20.000 --> 00:09:24.000]   basically use the courts to beat back the administrative state.
[00:09:24.000 --> 00:09:26.000]   Do you want to talk about that process?
[00:09:26.000 --> 00:09:30.000]   And one example is this Bitcoin futures thing that just--
[00:09:30.000 --> 00:09:33.000]   I'm not even sure if it was resolved in the last few weeks or not.
[00:09:33.000 --> 00:09:34.000]   There was a pretty important ruling.
[00:09:34.000 --> 00:09:37.000]   Do you want to just update people about that kind of stuff?
[00:09:37.000 --> 00:09:39.000]   Yeah, well, so that is one of the great things about America
[00:09:39.000 --> 00:09:40.000]   that makes me bullish on it,
[00:09:40.000 --> 00:09:42.000]   is that we do have these different branches of government
[00:09:42.000 --> 00:09:44.000]   that are such a great check and balance.
[00:09:44.000 --> 00:09:47.000]   And you're right, the judicial branch
[00:09:47.000 --> 00:09:51.000]   has been kind of my favorite branch of government in the last few months.
[00:09:51.000 --> 00:09:54.000]   And they've really kind of--the SEC has gone zero for three in the courts.
[00:09:54.000 --> 00:09:56.000]   The courts kind of keep upholding rule of law,
[00:09:56.000 --> 00:09:57.000]   which has been really great.
[00:09:57.000 --> 00:09:58.000]   So there's been a handful of cases.
[00:09:58.000 --> 00:10:01.000]   There was the Ripple one, there was the Terraform one,
[00:10:01.000 --> 00:10:04.000]   which agreed on this idea that the underlying cryptoassets themselves
[00:10:04.000 --> 00:10:05.000]   were not securities.
[00:10:05.000 --> 00:10:08.000]   That's a very important fact, by the way, in our case with the SEC.
[00:10:08.000 --> 00:10:13.000]   And then just recently there was this Grace Jail Trust ETF,
[00:10:13.000 --> 00:10:18.000]   and the judge ruled that the SEC was arbitrary and capricious
[00:10:18.000 --> 00:10:20.000]   and unlawful in not approving their application.
[00:10:20.000 --> 00:10:23.000]   This is what you mean when you say they're just de facto passing laws
[00:10:23.000 --> 00:10:25.000]   where they don't necessarily have the rights to do it.
[00:10:25.000 --> 00:10:27.000]   They're blocking free enterprise.
[00:10:27.000 --> 00:10:30.000]   They're blocking the ability for you guys to just do business.
[00:10:30.000 --> 00:10:32.000]   Yeah, and unless you're a big company like Coinbase,
[00:10:32.000 --> 00:10:36.000]   you don't have the legal budget to kind of go to court
[00:10:36.000 --> 00:10:37.000]   and fight these things out.
[00:10:37.000 --> 00:10:39.000]   And I can tell you as a public company,
[00:10:39.000 --> 00:10:41.000]   I talked to a number of other people, and they were like,
[00:10:41.000 --> 00:10:46.000]   "Oh my gosh, you can't sue the SEC or engage in litigation with them.
[00:10:46.000 --> 00:10:49.000]   You're a public company. You have to settle. You have to settle."
[00:10:49.000 --> 00:10:52.000]   And I was sort of--the settlement option on the table
[00:10:52.000 --> 00:10:55.000]   was to essentially delist everything other than Bitcoin.
[00:10:55.000 --> 00:10:58.000]   And so that would have been the end of the industry in the U.S.
[00:10:58.000 --> 00:10:59.000]   It was an easy choice.
[00:10:59.000 --> 00:11:02.000]   Of course, if we think the law doesn't say that, we're going to go to court.
[00:11:02.000 --> 00:11:05.000]   [applause]
[00:11:05.000 --> 00:11:07.000]   So--oh, go ahead, David.
[00:11:07.000 --> 00:11:11.000]   Yeah, so I want to ask you about use cases, Brian.
[00:11:11.000 --> 00:11:13.000]   So I think we've had Bitcoin now for over a decade.
[00:11:13.000 --> 00:11:16.000]   I think it's been volatile but I think proven very robust.
[00:11:16.000 --> 00:11:18.000]   No one's been able to double spend a Bitcoin.
[00:11:18.000 --> 00:11:21.000]   I think for store of value, I think that use case
[00:11:21.000 --> 00:11:23.000]   is pretty much proven.
[00:11:23.000 --> 00:11:27.000]   Then we had the rise of Ethereum and this idea of a world computer,
[00:11:27.000 --> 00:11:30.000]   and there was a lot of talk for a while, especially during the very frothy,
[00:11:30.000 --> 00:11:34.000]   sort of bubbly period, that there'd be all these use cases
[00:11:34.000 --> 00:11:36.000]   that would be built on the world computer.
[00:11:36.000 --> 00:11:40.000]   People might even be running social networks on them, stuff like that.
[00:11:40.000 --> 00:11:42.000]   I think there's sort of been a correction from that.
[00:11:42.000 --> 00:11:45.000]   I mean, I think people now sort of realize there's certain--
[00:11:45.000 --> 00:11:47.000]   there's a lot of applications where it just makes sense
[00:11:47.000 --> 00:11:49.000]   to use a centralized database.
[00:11:49.000 --> 00:11:51.000]   Blockchains wouldn't be efficient enough for that.
[00:11:51.000 --> 00:11:57.000]   I'm kind of wondering at this point, where do we stand in terms of use cases
[00:11:57.000 --> 00:12:01.000]   being proven out beyond the original Bitcoin store of value?
[00:12:01.000 --> 00:12:06.000]   Like, what are the other big applications that have either been validated
[00:12:06.000 --> 00:12:12.000]   or that we should expect to be built on top of all this infrastructure?
[00:12:12.000 --> 00:12:15.000]   Yeah, so I'll run through a couple of them that are there already today
[00:12:15.000 --> 00:12:17.000]   and then there's a couple on the horizon.
[00:12:17.000 --> 00:12:19.000]   Obviously, trading was this first use case.
[00:12:19.000 --> 00:12:24.000]   Then we saw things like stablecoins have actually gotten quite a bit of adoption.
[00:12:24.000 --> 00:12:27.000]   There's about $150 billion or so locked up in stablecoins,
[00:12:27.000 --> 00:12:31.000]   useful for payments, cross-border stuff, all kinds of things.
[00:12:31.000 --> 00:12:35.000]   DeFi obviously got to--I think it's probably at about $50 billion
[00:12:35.000 --> 00:12:38.000]   total value locked up in that, which is meaningful.
[00:12:38.000 --> 00:12:40.000]   I wouldn't say it's been mainstream by any stretch,
[00:12:40.000 --> 00:12:42.000]   but it's certainly material.
[00:12:42.000 --> 00:12:46.000]   Even NFTs got to a pretty--I think it came down like 90% plus,
[00:12:46.000 --> 00:12:48.000]   but it's still--it's in the tens of billions.
[00:12:48.000 --> 00:12:52.000]   So those are things I'd say are--they worked, and I think they'll grow over time.
[00:12:52.000 --> 00:12:55.000]   I'll talk about what I think could unlock that next wave of growth too.
[00:12:55.000 --> 00:12:57.000]   But there's a couple others that are on the horizon.
[00:12:57.000 --> 00:13:00.000]   So decentralized identity, ENS is probably the most popular one.
[00:13:00.000 --> 00:13:03.000]   There's only been about 3 million or so people have used ENS so far,
[00:13:03.000 --> 00:13:05.000]   but you see it show up a lot.
[00:13:05.000 --> 00:13:06.000]   Explain what that is.
[00:13:06.000 --> 00:13:10.000]   Well, ENS is the Ethereum name system, so it's a decentralized identity,
[00:13:10.000 --> 00:13:13.000]   so you can control your own information online.
[00:13:13.000 --> 00:13:15.000]   It's not like using Google or Apple or a big company.
[00:13:15.000 --> 00:13:19.000]   So my Twitter ex-profile, my Facebook profile, this is who I am.
[00:13:19.000 --> 00:13:20.000]   I can prove it.
[00:13:20.000 --> 00:13:23.000]   Yeah, and this is kind of the vision of Web3 is that if everybody has
[00:13:23.000 --> 00:13:27.000]   their decentralized identity, then you can now create a follower graph.
[00:13:27.000 --> 00:13:31.000]   You could make posts associated with that, like text, video, audio,
[00:13:31.000 --> 00:13:33.000]   to make a decentralized social network.
[00:13:33.000 --> 00:13:37.000]   Artists could have a direct relationship with their fans and have provenance.
[00:13:37.000 --> 00:13:40.000]   If you're CNN and you want to publish an article,
[00:13:40.000 --> 00:13:44.000]   it can be cryptographically proven that it came from that account.
[00:13:44.000 --> 00:13:46.000]   It's not like a fake GPT.
[00:13:46.000 --> 00:13:51.000]   To build on Sax's question, why has crypto as an industry
[00:13:51.000 --> 00:13:55.000]   and the entrepreneurs there done such a terrible job at making it easy
[00:13:55.000 --> 00:13:58.000]   for consumers to use the product?
[00:13:58.000 --> 00:14:01.000]   I know that's something you've really spent a lot of time on making this
[00:14:01.000 --> 00:14:05.000]   easier and trustworthy, but we're in the second decade here.
[00:14:05.000 --> 00:14:11.000]   If you ask somebody to do what you just said, create a decentralized identity,
[00:14:11.000 --> 00:14:13.000]   they would not even know where to start.
[00:14:13.000 --> 00:14:16.000]   Can you talk about why that blocker exists?
[00:14:16.000 --> 00:14:19.000]   Yeah, so I do think there's a few things that can help unlock
[00:14:19.000 --> 00:14:22.000]   this next wave of adoption. UX is one of them.
[00:14:22.000 --> 00:14:25.000]   It starts with what we started with at the beginning.
[00:14:25.000 --> 00:14:27.000]   Pretty much every crypto startup is just getting a subpoena right now,
[00:14:27.000 --> 00:14:31.000]   and that's not fun, especially if you're two kids with a laptop and a dream,
[00:14:31.000 --> 00:14:34.000]   and your parents are worried you're going to go to jail or something.
[00:14:34.000 --> 00:14:37.000]   The regulatory apparatus has been quite bad, and I think that will hopefully
[00:14:37.000 --> 00:14:40.000]   shift here in the next few years as we get Congress to act,
[00:14:40.000 --> 00:14:42.000]   or a new SEC chair, or CFTC, or someone.
[00:14:42.000 --> 00:14:43.000]   But put that aside.
[00:14:43.000 --> 00:14:46.000]   The other big blocker has been the scalability of the blockchains.
[00:14:46.000 --> 00:14:50.000]   So every transaction on-chain is still--if you do it on layer one,
[00:14:50.000 --> 00:14:53.000]   it's anywhere from $5 to $25.
[00:14:53.000 --> 00:14:56.000]   It takes anywhere from a few minutes to an hour to confirm.
[00:14:56.000 --> 00:15:00.000]   So that's not going to work to really build decentralized applications
[00:15:00.000 --> 00:15:04.000]   where every upvote or like or post has to happen on-chain.
[00:15:04.000 --> 00:15:07.000]   So we're getting now to layer two solutions, which is sort of like
[00:15:07.000 --> 00:15:09.000]   the internet going from dial-up to broadband,
[00:15:09.000 --> 00:15:11.000]   and Coinbase is trying to help that.
[00:15:11.000 --> 00:15:14.000]   We launched our own layer two solution called Base recently,
[00:15:14.000 --> 00:15:18.000]   and it gets the cost and the speed down by about an order of magnitude.
[00:15:18.000 --> 00:15:21.000]   The metric I've been tracking internally and I kind of push our team on is
[00:15:21.000 --> 00:15:25.000]   we need every transaction to get under one cent in one second.
[00:15:25.000 --> 00:15:29.000]   That feels like a threshold where we'd see an explosion of new use cases.
[00:15:29.000 --> 00:15:32.000]   The last one is the UX, as you put it, and today it's kind of remarkable
[00:15:32.000 --> 00:15:35.000]   actually how many people have used these things like DeFi and NFTs
[00:15:35.000 --> 00:15:37.000]   because the process to actually use it is crazy.
[00:15:37.000 --> 00:15:39.000]   It's like you buy the crypto on Coinbase.
[00:15:39.000 --> 00:15:41.000]   Sometimes you'll move it to a Chrome extension.
[00:15:41.000 --> 00:15:43.000]   You have to connect your wallet into this thing.
[00:15:43.000 --> 00:15:45.000]   You have to know what private keys are.
[00:15:45.000 --> 00:15:49.000]   And so if we can just make that where it's sort of like a WeChat app
[00:15:49.000 --> 00:15:52.000]   or something where you're instantly connected in your wallet and your identity
[00:15:52.000 --> 00:15:56.000]   when you load it up in your browser or equivalent self-custodial wallet
[00:15:56.000 --> 00:15:58.000]   and it's just one click and it's done,
[00:15:58.000 --> 00:16:00.000]   that's what we need to get to as an industry.
[00:16:00.000 --> 00:16:03.000]   Scalability, UX, regulatory improvement.
[00:16:03.000 --> 00:16:07.000]   At the core, and this is where you and I, you've been on this week at StartupSaving
[00:16:07.000 --> 00:16:09.000]   three times and we've had deep discussions about this,
[00:16:09.000 --> 00:16:12.000]   the core of financial regulation in the United States
[00:16:12.000 --> 00:16:15.000]   is based on accredited investors, qualified purchasers,
[00:16:15.000 --> 00:16:19.000]   which are 6% of the country, and 94% of people in the country
[00:16:19.000 --> 00:16:21.000]   are not allowed to participate in the wealth creation
[00:16:21.000 --> 00:16:23.000]   that everybody on this stage has benefited from,
[00:16:23.000 --> 00:16:25.000]   many people in the audience have benefited from,
[00:16:25.000 --> 00:16:27.000]   which is the formation of companies.
[00:16:27.000 --> 00:16:32.000]   It sounds crazy that we have not evolved this since the 1930s.
[00:16:32.000 --> 00:16:35.000]   Would this entire problem be solved
[00:16:35.000 --> 00:16:39.000]   if we could have an accreditation test, a sophistication test,
[00:16:39.000 --> 00:16:42.000]   where if you passed it, like a driver's license,
[00:16:42.000 --> 00:16:45.000]   you could get in the car and drive it knowing the responsibility it takes?
[00:16:45.000 --> 00:16:49.000]   We could simply give people a test and make them sophisticated investors
[00:16:49.000 --> 00:16:54.000]   and then if you wanted to buy cryptocurrency or startups or real estate,
[00:16:54.000 --> 00:16:56.000]   you would be allowed to do it.
[00:16:56.000 --> 00:17:00.000]   Yeah, I know you're hot on this idea and I think the key part about what you said
[00:17:00.000 --> 00:17:04.000]   is it's not based on your net worth, it's based on passing the test.
[00:17:04.000 --> 00:17:06.000]   I think that's a good idea.
[00:17:06.000 --> 00:17:09.000]   By the way, I think accredited investor laws are sort of an example
[00:17:09.000 --> 00:17:12.000]   of what I was saying earlier about regulation that had an unintended effect
[00:17:12.000 --> 00:17:14.000]   where it was trying to protect people,
[00:17:14.000 --> 00:17:17.000]   but it actually made it illegal to get rich unless you were already rich.
[00:17:17.000 --> 00:17:20.000]   It was like this incredibly exclusionary thing.
[00:17:20.000 --> 00:17:24.000]   So anyway, a version of it that was not based on net worth I think could be good.
[00:17:24.000 --> 00:17:26.000]   I'm not opposed to that.
[00:17:26.000 --> 00:17:29.000]   An economics professor making $150,000 a year
[00:17:29.000 --> 00:17:33.000]   would not be able to participate in startups or crypto or whatever,
[00:17:33.000 --> 00:17:36.000]   whereas somebody who inherited a million dollars would.
[00:17:36.000 --> 00:17:39.000]   It's crazy to think that that law exists.
[00:17:39.000 --> 00:17:40.000]   I agree.
[00:17:40.000 --> 00:17:44.000]   One of the things that you need for a vibrant ecosystem
[00:17:44.000 --> 00:17:47.000]   is a lot of practical thinking sometimes.
[00:17:47.000 --> 00:17:51.000]   And just having been around crypto since 2011,
[00:17:51.000 --> 00:17:55.000]   my observation, I just want your reaction, is too many people are caught up
[00:17:55.000 --> 00:17:59.000]   in the philosophy of being unplugged from the system
[00:17:59.000 --> 00:18:03.000]   and being unavailable to the man and all of this bullshit.
[00:18:03.000 --> 00:18:06.000]   And all it does is actually create shitty products actually
[00:18:06.000 --> 00:18:09.000]   because people don't think about wanting to get to 500 million people.
[00:18:09.000 --> 00:18:11.000]   People like it when it's used by 5,000 people
[00:18:11.000 --> 00:18:13.000]   because there's this weird culture of like,
[00:18:13.000 --> 00:18:16.000]   "Let me just build for myself and my nine other friends
[00:18:16.000 --> 00:18:18.000]   who want to live off the grid."
[00:18:18.000 --> 00:18:21.000]   I really believe that crypto struggles with that.
[00:18:21.000 --> 00:18:23.000]   There are a few people like you who are like,
[00:18:23.000 --> 00:18:27.000]   "I'm just a practical, ambitious person who wants to take it to every single person."
[00:18:27.000 --> 00:18:29.000]   And I just want your reaction.
[00:18:29.000 --> 00:18:33.000]   Do you see that? Did you see it before? Is it changing?
[00:18:33.000 --> 00:18:34.000]   It's an interesting point.
[00:18:34.000 --> 00:18:37.000]   I mean, there are a lot of people that are the early--
[00:18:37.000 --> 00:18:39.000]   it's just like crossing the chasm or that book, right?
[00:18:39.000 --> 00:18:41.000]   The early people who joined these things,
[00:18:41.000 --> 00:18:43.000]   they really don't like the existing system.
[00:18:43.000 --> 00:18:46.000]   They're a little quirky. They have higher risk tolerance.
[00:18:46.000 --> 00:18:50.000]   And you do need to get into bigger concentric circles to cross the chasm, right?
[00:18:50.000 --> 00:18:52.000]   And the internet was the same way.
[00:18:52.000 --> 00:18:54.000]   I mean, the early internet was weird, right?
[00:18:54.000 --> 00:18:58.000]   And people would compare that to New York Times or watching cable TV,
[00:18:58.000 --> 00:19:00.000]   and they'd be like, "Oh my gosh, this is so illegitimate,
[00:19:00.000 --> 00:19:02.000]   like these silly blog posts and stuff."
[00:19:02.000 --> 00:19:06.000]   And it slowly became bigger than the traditional thing.
[00:19:06.000 --> 00:19:08.000]   You guys are an example of that.
[00:19:08.000 --> 00:19:10.000]   So I think crypto will get there, but yes,
[00:19:10.000 --> 00:19:13.000]   there has to be a willingness to bring in the next round of people
[00:19:13.000 --> 00:19:15.000]   and the next one, and maybe they're into art
[00:19:15.000 --> 00:19:18.000]   or maybe they're into just earning a living and paying their family overseas.
[00:19:18.000 --> 00:19:22.000]   They're not even into crypto itself for some libertarian paradise.
[00:19:22.000 --> 00:19:23.000]   Yeah, and I think-- exactly right.
[00:19:23.000 --> 00:19:26.000]   I think this is sort of what explains the massive complexity.
