
[00:00:00.000 --> 00:00:04.360]   Hey, what's up everyone?
[00:04:40.240 --> 00:04:46.260]   In the following video, I'll showcase how to add HTTPS to the WMB deployment using Route
[00:04:46.260 --> 00:04:47.420]   53.
[00:04:47.420 --> 00:04:50.640]   We will first check out and pull the main branch.
[00:04:50.640 --> 00:04:56.940]   Then in infra.tf, I am going to add my own domain, casa-h.dev to the Route 53 zone.
[00:04:56.940 --> 00:05:02.100]   I'll also output the name server so that I can tell my domain provider to use these name
[00:05:02.100 --> 00:05:03.100]   servers.
[00:05:03.100 --> 00:05:08.820]   Note that I'll also need to output the name servers in the local.tf.
[00:05:08.820 --> 00:05:13.420]   The next steps are like what we did before, which is to basically make a PR, review the
[00:05:13.420 --> 00:05:32.180]   speculative plan changes on Terraform, and then merge it.
[00:05:32.180 --> 00:05:35.860]   At this point, we see the name servers from the Route 53 zone.
[00:05:35.860 --> 00:05:40.820]   I personally use Google Domains as my domain providers, and I'm simply going to tell it
[00:05:40.820 --> 00:05:43.340]   to use these name servers.
[00:05:43.340 --> 00:05:46.320]   After that, we'll check out and pull the main branch again.
[00:05:46.320 --> 00:05:49.700]   And now we're ready to set up HTTPS for our deployment.
[00:05:49.700 --> 00:05:54.600]   The exact source code is a bit arcane to understand, but I basically use Route 53 to set up a
[00:05:54.600 --> 00:05:57.500]   subdomain and a certificate as well.
[00:05:57.500 --> 00:06:03.680]   Next, we're going to tell the load balancer to always redirect HTTP to HTTPS, and also
[00:06:03.680 --> 00:06:06.300]   just set up a listener for HTTPS endpoint.
[00:06:06.300 --> 00:06:09.080]   Lastly, we'll delete the original listener.
[00:06:09.080 --> 00:06:10.660]   Now we're ready to ship.
[00:06:10.660 --> 00:06:23.500]   Simply make a pull request, review, and merge, and we should be able to see the HTTPS deployment.
[00:06:23.500 --> 00:06:53.420]   Once the Terraform apply is finished, we can use our custom subdomain to open the WMB installation.
[00:06:53.420 --> 00:06:59.040]   And as you can see, the connection is secured, and the certificate is signed by AWS.
[00:06:59.040 --> 00:07:01.820]   With that said, this concludes our video tutorial.
[00:07:01.820 --> 00:07:05.980]   The source code of our Terraform files is linked in the video description, and if you
[00:07:05.980 --> 00:07:11.540]   ever run into any issues, feel free to reach out to us at support@wmb.com.
[00:07:11.540 --> 00:07:13.580]   My name is Costa, and I'll see you again.
[00:07:13.580 --> 00:07:16.940]   [MUSIC PLAYING]

