
[00:00:00.040 --> 00:00:09.700]   sprout going
[00:18:18.360 --> 00:18:25.840]  're
[00:18:25.840 --> 00:18:31.940]  emporil, theston,ав,
[00:18:31.940 --> 00:18:37.420]   encourage students in a little bit of ainker don 마음 complic witch sound 어려 areении FLS FLS C Others Back這邊 For G Province 22 Rahe A Z suffers legislation dur en 360 Eh Hour w 1919 Lang . I Sh bothiegs a cleared a select the einem i th
[00:18:46.680 --> 00:18:57.440]   I
[00:18:57.440 --> 00:19:15.380]   " I真的很 myself a well be Nem't e boiled like, announced, or, and, and, and, and, and, and, and, and, in the, -- Good -- In -- Lo -- ' - change in -幸 -avil
[00:19:15.380 --> 00:19:15.640]  ough at - back is a... go... Close... aten...
[00:21:42.720 --> 00:21:53.100]   들� de
[00:21:53.100 --> 00:21:54.320]   trait,,,,
[00:23:37.120 --> 00:23:47.460]  �
[00:23:47.460 --> 00:24:06.020]  � I,,,,
[00:26:59.660 --> 00:27:00.740]   If you can move $118 off of the balance sheet, sorry, off of the income cash flow statement, off the cash flow statement because of eliminating the credit card interest. That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:00.740 --> 00:27:00.740]   That saves $118 which can be put to principal repayment.
[00:27:22.800 --> 00:27:26.860]   .
[00:27:26.860 --> 00:27:26.920]   .
[00:27:26.920 --> 00:27:26.940]   .
[00:27:26.940 --> 00:27:27.000]   .
[00:27:27.000 --> 00:27:27.020]   .
[00:27:27.020 --> 00:27:27.040]   .
[00:27:27.040 --> 00:27:27.080]   .
[00:27:27.080 --> 00:27:27.100]   .
[00:27:27.100 --> 00:27:30.760]   more on the car than it's worth and you'll need to take out an additional payment.
[00:27:30.800 --> 00:27:40.780]  ,
[00:27:58.700 --> 00:28:02.840]   $1200 per month.
[00:28:02.840 --> 00:28:12.740]   Now if you add all these together, we've got $1200 times 2, 2400 plus $300 per month plus $120 per month.
[00:28:12.740 --> 00:28:17.040]   That is now $2820 per month of difference.
[00:28:17.040 --> 00:28:25.320]   The power of getting out of debt is when you make a plan for $2820 per month.
[00:28:25.320 --> 00:28:26.600]   You're going to get $2820 per month of difference.
[00:28:26.600 --> 00:28:26.600]   You're going to get $2820 per month of difference.
[00:28:26.600 --> 00:28:26.620]   You're going to get $2820 per month of difference.
[00:28:26.620 --> 00:28:26.720]   You're going to get $2820 per month of difference.
[00:28:26.720 --> 00:28:26.800]   You're going to get $2820 per month of difference.
[00:28:26.800 --> 00:28:26.860]   You're going to get $2820 per month of difference.
[00:28:26.860 --> 00:28:26.980]   You're going to get $2820 per month of difference.
[00:28:26.980 --> 00:28:27.020]   You're going to get $2820 per month of difference.
[00:28:27.020 --> 00:28:27.120]   You're going to get $2820 per month of difference.
[00:28:27.120 --> 00:28:55.620]  , $2820 per month of difference.
[00:28:55.620 --> 00:28:55.640]   You're going to get $2820 per month of difference.
[00:28:55.640 --> 00:28:55.680]   You're going to get $2820 per month of difference.
[00:28:55.680 --> 00:28:55.740]   You're going to get $2820 per month of difference.
[00:28:55.740 --> 00:28:55.760]   You're going to get $2820 per month of difference.
[00:28:55.760 --> 00:28:55.800]   You're going to get $2820 per month of difference.
[00:28:55.800 --> 00:28:55.840]   You're going to get $2820 per month of difference.
[00:28:55.840 --> 00:28:55.860]   You're going to get $2820 per month of difference.
[00:28:55.860 --> 00:28:55.880]   You're going to get $2820 per month of difference.
[00:28:55.880 --> 00:28:55.920]   You're going to get $2820 per month of difference.
[00:28:55.920 --> 00:28:55.960]   You're going to get $2820 per month of difference.
[00:28:55.960 --> 00:28:56.000]   You're going to get $2820 per month of difference.
[00:28:56.000 --> 00:28:56.040]   you can't a $2820 per month of difference.
[00:28:56.040 --> 00:28:57.120]   you can't a $8.
[00:28:57.140 --> 00:29:03.560]   You're going to get $2820 per month of difference.
[00:29:03.560 --> 00:29:05.080]   quickly as you can save the money and sell it,
[00:29:05.080 --> 00:29:05.120]   you can't a $8.
[00:29:05.120 --> 00:29:05.140]   you can't a $8.
[00:29:05.140 --> 00:29:07.240]   or borrow the money and sell the car.
[00:29:07.240 --> 00:29:07.260]   or borrow the money and sell the car.
[00:29:07.260 --> 00:29:08.480]   So let's call it six months,
[00:29:08.480 --> 00:29:08.540]   So let's call it six months,
[00:29:08.540 --> 00:29:10.360]   to have all this stuff done.
[00:29:10.360 --> 00:29:10.400]   to have all this stuff done.
[00:29:10.400 --> 00:29:13.240]   Now you've got $2820 freed up,
[00:29:13.240 --> 00:29:13.280]   Now you've got $2820 freed up,
[00:29:13.280 --> 00:29:13.840]   That's again,
[00:29:13.840 --> 00:29:13.900]   That's again,
[00:29:13.900 --> 00:29:16.500]   the $118 that you're not spending on credit card interest,
[00:29:16.500 --> 00:29:16.540]   the $118 that you're not spending on credit card interest,
[00:29:16.540 --> 00:29:19.520]   the $306 a month that you're not spending on your car payment,
[00:29:19.520 --> 00:29:19.580]   the $306 a month that you're not spending on your car payment,
[00:29:19.620 --> 00:29:43.740]  ,
[00:29:43.740 --> 00:29:47.740]   Now at that point in time,
[00:29:47.740 --> 00:29:47.780]   you are debt free except the primary mortgage on your house,
[00:29:47.780 --> 00:29:47.800]   you are debt free except the primary mortgage on your house,
[00:29:47.800 --> 00:29:48.380]   which you're paying 3.25% on,
[00:29:48.380 --> 00:29:48.420]   which you're paying 3.25% on,
[00:29:48.420 --> 00:29:48.420]   which you're paying 3.25% on,
[00:29:48.420 --> 00:29:48.420]   which you're paying 3.25% on,
[00:29:48.420 --> 00:29:48.420]   which you're paying 3.25% on,
[00:29:48.420 --> 00:29:48.500]   which you're paying 3.25% on,
[00:29:48.500 --> 00:29:48.500]   which you're paying 3.25% on,
[00:29:48.500 --> 00:29:48.540]   which you're paying 3.25% on,
[00:29:48.540 --> 00:29:48.540]   which you're paying 3.25% on,
[00:29:48.540 --> 00:29:48.580]   which you're paying 3.25% on,
[00:29:48.580 --> 00:29:48.620]   which you're paying 3.25% on,
[00:29:48.620 --> 00:29:48.700]   which you're paying 3.25% on,
[00:29:48.700 --> 00:29:48.740]   which you're paying 3.25% on your house,
[00:29:48.740 --> 00:29:48.740]   which you're paying 3.
[00:29:48.740 --> 00:29:49.220]   which you're paying 3.5% on your house.
[00:29:49.260 --> 00:30:00.240]   said
[00:30:00.240 --> 00:30:06.300]   De That I� Ind, eating, desert. He is a guy. So, row, Moses, pare, pussy,ed. de packet, needles. meaning, cade,�
[00:30:18.040 --> 00:30:47.260]   seem
[00:31:16.680 --> 00:31:23.060]   3
[00:31:23.060 --> 00:31:45.820]   ifалось,--, where
[00:35:10.080 --> 00:35:10.380]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
[00:35:10.380 --> 00:35:10.920]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
[00:35:10.920 --> 00:35:10.920]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
[00:35:10.920 --> 00:35:10.920]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
[00:35:10.920 --> 00:35:10.920]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
[00:35:10.920 --> 00:35:10.920]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
[00:35:10.920 --> 00:35:10.920]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
