
[00:00:00.160 --> 00:00:04.640]   all right everybody uh let's get the show started here wait jason why are you wearing a tux what's
[00:09:22.400 --> 00:09:27.920]   with respect to how they deploy that infrastructure to continue to improve model performance and as a
[00:09:27.920 --> 00:09:34.720]   result continue to extend their advantage in both consumer and enterprise applications the api tools and so on
[00:09:34.720 --> 00:09:42.000]   that they offer and so they can maintain both kind of model and application performance leads that they
[00:09:42.000 --> 00:09:49.360]   have today across the board i would say like the the o1 model their voice application sora has not been
[00:09:49.360 --> 00:09:53.840]   released publicly but if it does and it looks like what it's been demoed to be it's certainly ahead of the
[00:09:53.840 --> 00:10:00.800]   the pack so there's a lot of uh aspects of of open ai today that kind of makes them a leader and if
[00:10:00.800 --> 00:10:05.360]   they can deploy infrastructure to maintain that lead and not let google microsoft amazon and others
[00:10:05.360 --> 00:10:11.920]   catch up then their ability to use that capital wisely keeps them ahead and ultimately as we all know
[00:10:11.920 --> 00:10:17.040]   there's a multi-trillion dollar market to capture here making lots of verticals lots of applications lots of
[00:10:17.040 --> 00:10:22.880]   products so they could become a a true kind of global player here plus the extension into computing which
[00:10:22.880 --> 00:10:27.680]   i'm excited to talk about later when we get into the computing stuff sacks here's a chart of open
[00:10:27.680 --> 00:10:34.160]   areas revenue growth that has been piecemeal together from various sources at various times
[00:10:34.160 --> 00:10:38.160]   but you'll see here they are reportedly
[00:10:39.760 --> 00:10:48.800]   as of june of 2024 on a 3.4 billion run rate for this year after hitting 2 billion in 23 1.3 billion
[00:10:48.800 --> 00:10:56.720]   in october of 23 and then back in 2022 which reported they only had 28 million in revenue so
[00:10:56.720 --> 00:11:01.920]   this is a pretty pretty hot a pretty a pretty big streak here in terms of revenue growth i would put it
[00:11:01.920 --> 00:11:08.480]   at 50 times top line revenue 150 billion valuation you want to give us the bear case maybe or the bull case
[00:11:08.480 --> 00:11:13.680]   well so the the whisper numbers i heard was that their revenue run rate for this year was in the
[00:11:13.680 --> 00:11:20.240]   four to six billion range which is a little higher than that so you're right if it's really more like
[00:11:20.240 --> 00:11:28.320]   3.4 this valuation is about 50 times current revenue but if it's more like 5 billion then it's only 30 times
[00:11:28.320 --> 00:11:33.680]   and if it's growing 100 year over year it's only 15 times next year so depending what the numbers actually
[00:11:33.680 --> 00:11:44.000]   are the 150 billion valuation could be warranted i don't think 15 times ford arr is a high valuation
[00:11:44.000 --> 00:11:49.360]   for a company that has this kind of strategic opportunity i think it all comes down to the
[00:11:49.360 --> 00:11:56.320]   durability of its comparative advantage here i think there's no question that open ai is the leader of the
[00:11:56.320 --> 00:12:03.680]   pack it has the most advanced ai models it's got the best developer ecosystem the best apis it keeps
[00:12:03.680 --> 00:12:09.760]   rolling out new products and the question is just how durable that advantage is is there really a moat
[00:12:09.760 --> 00:12:17.760]   to any of this for example meta just announced llama 3.2 which can do voice and this is roughly at the same
[00:12:17.760 --> 00:12:25.520]   time that open ai just released its voice api so the open source ecosystem is kind of hot on open ai's
[00:12:25.520 --> 00:12:33.840]   heels the large companies google microsoft so forth they're hot on their heels too although it seems like
[00:12:33.840 --> 00:12:40.720]   they're further behind where meta is and the question is just can open ai maintain its lead can it consolidate
[00:12:40.720 --> 00:12:47.120]   its lead can it develop some moats if so it's on track to be the next trillion dollar big tech company
[00:12:47.120 --> 00:12:53.840]   but if not it could be eroded and you could see the value of open ai get get commoditized and we'll
[00:12:53.840 --> 00:13:00.480]   look back on it as kind of a cautionary tale okay chamath do us a favor here if there is a bear case what is it
[00:13:00.480 --> 00:13:03.760]   okay let's steal a man the bear case yes that's what i'm asking please
[00:13:03.760 --> 00:13:13.760]   so one would just be on the fundamental technology itself and i think the version of that story would
[00:13:13.760 --> 00:13:23.040]   go that the underlying frameworks that people are using to make these models great is well described
[00:13:23.040 --> 00:13:30.320]   and available in open source on top of that there are at least two viable open source
[00:13:30.320 --> 00:13:38.400]   models that are as good or better at any point in time than open ai so what that would mean is that
[00:13:38.400 --> 00:13:46.160]   the value of those models the economic value basically goes to zero and it's a consumer surplus
[00:13:46.160 --> 00:13:55.200]   for the people that use it so that's very hard theoretically to monetize i think the second
[00:13:55.200 --> 00:14:04.480]   part of the bear case would be that specifically meta becomes much more aggressive in inserting meta ai
[00:14:04.480 --> 00:14:11.760]   into all of the critical apps that they control because those apps really are the front door
[00:14:11.760 --> 00:14:20.640]   to billions of people on a daily basis so that would mean whatsapp instagram messenger the facebook app and
[00:14:20.640 --> 00:14:28.480]   threads gets refactored in a way where instead of leaving that application to go to a chat gpt like app
[00:14:28.480 --> 00:14:29.760]   you would just stay in the app
[00:14:29.760 --> 00:14:41.840]   and then the companion to that would be that google also does the same thing with their version in front of
[00:14:41.840 --> 00:14:48.800]   search so those two big front doors to the internet become much more aggressive in giving you a reason to
[00:14:48.800 --> 00:14:55.520]   not have to go to chat gpt because a their answers are just as good and b they're right there in a few less
[00:14:55.520 --> 00:15:03.200]   clicks for you yeah so that would be the that would be the second piece the third piece is that all of these
[00:15:03.200 --> 00:15:11.440]   models basically run out of viable data to differentiate themselves and it basically becomes a race around
[00:15:11.440 --> 00:15:17.920]   synthetic information and synthetic data which is a cost problem meaning if you're going to invent synthetic
[00:15:17.920 --> 00:15:24.720]   data you're going to have to spend money to do it and the large companies facebook microsoft amazon google
[00:15:24.720 --> 00:15:32.960]   have effectively infinite money compared to any startup and then the fourth which is the most quizzical one
[00:15:32.960 --> 00:15:40.560]   is what does the human capital thing tell you about what's going on it reads a little bit like a
[00:15:40.560 --> 00:15:48.480]   telenovela i have not in my time in silicon valley ever seen a company that's supposedly on such a straight
[00:15:48.480 --> 00:15:56.240]   line to a rocket ship have so much high level churn and i but i've also never seen a company have this
[00:15:56.240 --> 00:16:04.960]   much liquidity and so how are people deciding to leave if they think it's going to be a trillion dollar
[00:16:04.960 --> 00:16:12.080]   company and why when things are just starting to cook would you leave if you are technically enamored
[00:16:12.080 --> 00:16:17.440]   with what you're building so if you had to construct the bear case i think those would be the four things
[00:16:17.440 --> 00:16:25.920]   open source front door competition the move to synthetic data and all of the executive turnover
[00:16:25.920 --> 00:16:32.800]   would be sort of why you would say maybe there's a fire where there's all this smoke okay i think this
[00:16:32.800 --> 00:16:42.800]   is very well put and i have been using chat gpt and claude and gemini exclusively i stopped using google search
[00:16:43.360 --> 00:16:50.400]   and i also stopped sax asking people on my team to do stuff before i asked chat gpt to do it
[00:16:50.400 --> 00:16:56.640]   specifically freeberg the o1 version and the o1 version is distinctly different have you gentlemen
[00:16:56.640 --> 00:17:02.800]   been using o1 like on a daily basis okay so we can have a really interesting conversation here
[00:17:02.800 --> 00:17:07.840]   i did something on my other podcast this week in startups that i'll show you right now that was
[00:17:07.840 --> 00:17:13.920]   crazy yesterday one is a grinch is a game changer yes it's the first real it's the first real chain
[00:17:13.920 --> 00:17:21.760]   of thought production system yes that i think we've seen are using o1 preview or o1 mini uh i am using
[00:17:21.760 --> 00:17:26.720]   o1 preview now let me show you what i did here just just so the audience can level set here if you're not
[00:17:26.720 --> 00:17:32.960]   watching us go to youtube and type in all in and and you can you can watch us we do video here so i was
[00:17:34.000 --> 00:17:39.920]   analyzing you know just some early stage uh deals and cap tables and i put in here hey a startup just
[00:17:39.920 --> 00:17:44.960]   raised some money at this valuation here's what the friends and family invested the accelerator the
[00:17:44.960 --> 00:17:48.640]   seed investor etc in other words like the history the investment history in a company
[00:17:48.640 --> 00:17:54.800]   what o1 does distinctly differently than the previous versions and the previous version i felt
[00:17:54.800 --> 00:17:59.760]   was three to six months ahead of competitors this is a year ahead of competitors and so
[00:17:59.760 --> 00:18:07.040]   here chamath if you look it said it thought for 77 seconds and if you click the down arrow sax what
[00:18:07.040 --> 00:18:14.000]   you'll see is it gives you an idea of what its rationale is for interpreting and what secondary
[00:18:14.000 --> 00:18:20.480]   queries it's doing in order to give you this is called chain of thought right and this is the underlying
[00:18:20.480 --> 00:18:28.320]   mega model that sits on top of the llms and the mega model effectively the chain of thought approach is
[00:18:28.320 --> 00:18:36.320]   the model asks itself the question how should i answer this question right and then it comes up with
[00:18:36.320 --> 00:18:41.280]   an answer and then it says now based on that what are the steps i should take to answer the question so
[00:18:41.280 --> 00:18:48.480]   the model keeps asking itself questions related to the structure of the question that you ask and then it
[00:18:48.480 --> 00:18:54.960]   comes up with a series of steps that it can then call the llm to do to fill in the blanks link them all
[00:18:54.960 --> 00:18:59.680]   together and come up with the answer it's the same way that a human train of thought works and it really
[00:18:59.680 --> 00:19:05.280]   is the the kind of ultimate evolution of what a lot of people have said these systems need to become
[00:19:05.280 --> 00:19:12.080]   which is a much more call it intuitive approach to answering questions rather than just predictive text
[00:19:12.080 --> 00:19:16.160]   based on the single statement you made and it really is changing the game and everyone is going to
[00:19:16.160 --> 00:19:23.120]   chase this and follow this it is the new paradigm for for how these ai kind of systems will work and
[00:19:23.120 --> 00:19:29.040]   by the way what this did was what prompt engineers were doing or prompt engineering websites were doing
[00:19:29.040 --> 00:19:34.640]   which was trying to help you construct your question and so if you look to this one it says listing
[00:19:34.640 --> 00:19:39.440]   disparities i'll compile a cap table with investments and valuations building the cap table accessing the
[00:19:39.440 --> 00:19:44.160]   share evaluation breaking down ownership breaking down ownership etc evaluating the terms and then it
[00:19:44.160 --> 00:19:50.320]   checks its work a bit it weights investment options and you can see this is a this is fired off like
[00:19:50.320 --> 00:19:59.680]   two dozen different queries to as freebroke correctly pointed out you know build this chain and it got
[00:19:59.680 --> 00:20:04.160]   incredible answers explain the form so it's thinking about what your next question would be
[00:20:04.880 --> 00:20:12.400]   and this when i share this with my team it was like a super game changer uh sax you had some thoughts here
[00:20:12.400 --> 00:20:18.560]   well yeah i mean this is pretty impressive and just to build on what freeberg was saying about chain of
[00:20:18.560 --> 00:20:26.160]   thought where this all leads is to agents where you can actually tell the ai to do work for you you give
[00:20:26.160 --> 00:20:32.880]   it an objective it can break the objective down into tasks and then it can work each of those tasks and open ai
[00:20:32.880 --> 00:20:40.080]   at a recent meeting with investors said that phd level reasoning was next on its roadmap and then agents
[00:20:40.080 --> 00:20:46.080]   weren't far behind that they've now released the at least the preview of the phd level reasoning with this
[00:20:46.080 --> 00:20:51.120]   oh one model so i think we can expect an announcement pretty soon about agents yeah and so
[00:20:52.000 --> 00:20:55.520]   and if you think about if you think about business value you know we think a lot about this is like
[00:20:55.520 --> 00:21:01.600]   where's the sas opportunity and all this the software as a service opportunity it's going to be an
[00:21:01.600 --> 00:21:07.680]   agents i think we'll ultimately look back on these sort of chat models as a little bit of a parlor trick
[00:21:07.680 --> 00:21:13.600]   compared to what agents are going to do in the workplace if you've ever been to a call center or an
[00:21:13.600 --> 00:21:19.680]   operations center they're also called service factories it's assembly lines of people doing very
[00:21:19.680 --> 00:21:26.800]   complicated knowledge work but ultimately you can unravel exactly what the chain is there the chain
[00:21:26.800 --> 00:21:32.480]   of thought that goes into their decisions it's very complicated and that's why you have to have humans
[00:21:32.480 --> 00:21:41.040]   doing it but you could imagine that once system integrators or enterprise sas apps go into these
[00:21:41.040 --> 00:21:47.440]   places go into these companies they integrate the data and then they map out the workflow you could
[00:21:47.440 --> 00:21:52.800]   replace a lot of these steps in the workflow with agents yeah by the way it's not just it's not just
[00:21:52.800 --> 00:21:57.760]   call centers i had a conversation with um i'm on the board of a company with the ceo the other day
[00:21:57.760 --> 00:22:03.120]   and he was like well we're gonna hire an analyst that's gonna sit between our kind of retail sales
[00:22:03.120 --> 00:22:08.640]   operations and do the and you know figure out what's working to drive marketing decisions and i'm like
[00:22:08.640 --> 00:22:14.720]   no you're not like i i really think that that would be a mistake because today you can use oh one
[00:22:15.360 --> 00:22:21.040]   and describe just feed it the data and describe the analysis you want to get out of that data
[00:22:21.040 --> 00:22:25.200]   and within a few minutes and i've now done this probably a dozen times in the last week with
[00:22:25.200 --> 00:22:30.000]   different projects internally at my company it gives you the entire answer that an analyst would
[00:22:30.000 --> 00:22:34.720]   have taken days to put together for you and if you think about what an analyst's job has been
[00:22:34.720 --> 00:22:39.680]   historically is they take data and then they manipulate it and the big evolution in software over
[00:22:39.680 --> 00:22:46.320]   the last decade and a half has been tools that give that analyst leverage to do that data manipulation
[00:22:46.320 --> 00:22:51.120]   more quickly like tableau and you know r and all sorts of different toolkits that are out there
[00:22:51.120 --> 00:22:56.400]   but now you don't even need the analyst because the analyst is the chain of thought it's the prompting
[00:22:56.400 --> 00:23:01.360]   from the model and it's completely going to change how knowledge work is done everyone that
[00:23:01.360 --> 00:23:06.880]   owns a function no longer needs an analyst the analyst is the model that's sitting on the computer
[00:23:06.880 --> 00:23:11.840]   in front of you right now and you tell it what you want and not days later but minutes later you get
[00:23:11.840 --> 00:23:20.480]   your answer it's completely revolutionary in um uh ad hoc uh knowledge work as well as kind of this
[00:23:20.480 --> 00:23:25.600]   repetitive structured knowledge this is such a good point freeberg the ad hoc piece of it when we're
[00:23:25.600 --> 00:23:32.160]   processing 20 000 applications for funding a year we do 100 plus meetings a week the analysts on our team
[00:23:32.160 --> 00:23:38.480]   are now putting in the transcripts um and key questions about markets and they are getting so
[00:23:38.480 --> 00:23:45.360]   smart so fast that you know when somebody comes to them with a marketplace in diamonds their understanding
[00:23:45.360 --> 00:23:52.560]   of the diamond marketplace becomes so rich so fast that we can evaluate companies faster then we're also
[00:23:52.560 --> 00:23:58.400]   seeing uh chamath uh before we call our lawyers when we have a legal question about a document we start
[00:23:58.400 --> 00:24:03.680]   putting in you know let's say the the standard note template or the standard safe template we put in the
[00:24:03.680 --> 00:24:10.400]   new one and there's a really cool project by google called notebook l lm where you can put in multiple
[00:24:10.400 --> 00:24:16.320]   documents and you can start asking questions so imagine you take every single legal document sacks
[00:24:16.320 --> 00:24:19.520]   that yammer had when you had chamath as an investor i'm not sure if he's on the board
[00:24:20.160 --> 00:24:25.280]   and you can start asking questions about the documents and we have had people make changes to
[00:24:25.280 --> 00:24:29.840]   these documents and it immediately finds them explains them and so everybody's just getting so
[00:24:29.840 --> 00:24:35.440]   goddamn smart so fast using these tools that i insisted that every person on the team when they
[00:24:35.440 --> 00:24:42.640]   hit control tab it opens a chat gpt4 window in 01 and we burned out our credits immediately like
[00:24:42.640 --> 00:24:47.360]   it stopped us it said you're you're you have to stop using it for the rest of the month chamath your
[00:24:47.360 --> 00:24:55.600]   thoughts on this we're seeing it in real time in 80 90. what i'll tell you is what sachs said is
[00:24:55.600 --> 00:25:04.240]   totally right there's so many companies that have very complicated processes that are a combination of
[00:25:04.240 --> 00:25:14.000]   well-trained and well-meaning people and bad software and what i mean by bad software is that
[00:25:15.120 --> 00:25:20.640]   some other third party came in listened to what your business process was and then wrote this clunky
[00:25:20.640 --> 00:25:28.160]   deterministic code usually on top of some system of record charged you tens or hundreds of millions
[00:25:28.160 --> 00:25:33.120]   of dollars for it and then left and will support it only if you keep paying them millions of dollars a
[00:25:33.120 --> 00:25:38.880]   year that whole thing is so nuts because the ability for people to do work i think has been very much constrained
[00:25:39.920 --> 00:25:44.720]   and it's constrained by people trying to do the right thing using really really terrible software
[00:25:44.720 --> 00:25:51.040]   and all of that will go away the radical idea that i would put out there is i think that systems of
[00:25:51.040 --> 00:25:58.720]   record no longer exist because they don't need to and the reason is because all you have is data and
[00:25:58.720 --> 00:26:02.000]   you have a pipeline of information can you level set and just explain to people what system of record is
[00:26:02.000 --> 00:26:06.800]   just so so inside of a company you'll have a handful of systems that people would say are
[00:26:06.800 --> 00:26:14.800]   the single source of truth they're the things that are used for reporting compliance an example would be
[00:26:14.800 --> 00:26:24.240]   for your general ledger so to netsuite record your revenues you'd use netsuite or you'd use oracle gl
[00:26:24.240 --> 00:26:30.480]   or you'd use workday financials then you'd have a different system of record for all of your revenue
[00:26:30.480 --> 00:26:36.320]   generating activities so who are all of the people you sell to how are sales going what is the pipeline
[00:26:36.320 --> 00:26:43.200]   there's companies like salesforce or hubspot sugar crm then there's a system of record for all the
[00:26:43.200 --> 00:26:49.040]   employees that work for you all the benefits they have what is their salary this is hris so the point
[00:26:49.040 --> 00:26:56.000]   is that the software economy over the last 20 years and this is trillions of dollars of market cap
[00:26:56.560 --> 00:27:04.080]   and hundreds of billions of revenue have been built on this premise that we will create this system of
[00:27:04.080 --> 00:27:08.960]   record you will build apps on top of the system of record and the knowledge workers will come in
[00:27:08.960 --> 00:27:15.280]   and that's how they will get work done and i think that sax is right this totally flips that on its head
[00:27:15.280 --> 00:27:22.560]   instead what will happen is people will provision an agent and roughly direct what they want the outcome to
[00:27:22.560 --> 00:27:27.440]   be and they'll be process independent they won't care how they do it they just want the answer
[00:27:27.440 --> 00:27:36.320]   so i think two things happen the obvious thing that happens in that world is systems of record lose a grip
[00:27:36.320 --> 00:27:44.080]   on the vault that they had in terms of the data that runs a company you don't necessarily need it
[00:27:44.080 --> 00:27:50.480]   with in the same reliance and primacy that you did five and ten years ago that'll have an impact to the
[00:27:50.480 --> 00:27:57.920]   software economy and the second thing that i think is even more important than that is that then the
[00:27:57.920 --> 00:28:05.920]   atomic size of companies changes because each company will get much more leverage from using software and
[00:28:05.920 --> 00:28:12.320]   few people versus lots of people with a few pieces of software and so that inversion i think creates
[00:28:12.320 --> 00:28:17.440]   tremendous potential for operating leverage all right you're a thought sax you operate in the sas space with
[00:28:17.440 --> 00:28:23.040]   system of records and investing in these type of companies give us your take well it's interesting
[00:28:23.040 --> 00:28:29.120]   we were having a version of this conversation last week on the pod and i started getting texts from
[00:28:29.120 --> 00:28:34.480]   benioff as he was listening to it and then oh he called me and i think he got a little bit triggered by
[00:28:34.480 --> 00:28:40.800]   the idea that systems of record like salesforce are going to be obsolete in this new ai era and he made a
[00:28:40.800 --> 00:28:46.560]   very compelling case to me about why that wouldn't happen which is yeah well first of all i think ai
[00:28:46.560 --> 00:28:51.440]   models are predictive i mean at the end of the day they're predicting the next set of texts and and so
[00:28:51.440 --> 00:28:56.720]   forth and when it comes to like your employee list or your customer list you just want to have a source
[00:28:56.720 --> 00:29:02.400]   of truth you don't want it to be 98 accurate you just want to be 100 accurate you want to know if the
[00:29:02.400 --> 00:29:06.960]   federal government asks you for the tax id numbers of your employees you just want to be able to give it to
[00:29:06.960 --> 00:29:12.160]   them if wall street analysts asks you for your customer list and what the gap revenue is you just
[00:29:12.160 --> 00:29:16.240]   want to be able to provide that you don't want ai models figuring it out so you're still going to need
[00:29:16.240 --> 00:29:23.600]   a system of record furthermore he made the point that you still need databases you still need enterprise
[00:29:23.600 --> 00:29:28.080]   security if you're dealing with enterprises you still need compliance you still need sharing models
[00:29:28.080 --> 00:29:32.480]   there's all these aspects all these things that have been built on top of the database that sas
[00:29:32.480 --> 00:29:37.440]   company's been doing for 25 years and then the final point that i think is compelling is that
[00:29:37.440 --> 00:29:44.000]   enterprise customers don't want to diy it right they don't want to figure out how to put this together
[00:29:44.000 --> 00:29:53.120]   and you can't just hand them an llm and say here you go there's a lot of work that is needed in order to
[00:29:53.120 --> 00:29:59.440]   make these models productive and so at a minimum you're going to need system integrators and consultants
[00:29:59.440 --> 00:30:05.440]   to come in there connect hold on just connect all the enterprise data to these models map the workflows
[00:30:05.440 --> 00:30:10.800]   you have to do that now how is that different from how this this clunky software sold today
[00:30:10.800 --> 00:30:17.040]   i mean look i i don't want to take away from the quality of the company that mark has built and what
