
[00:00:00.000 --> 00:00:06.240]   AI that can help improve AI is actually almost everywhere if you know where to look,
[00:02:14.300 --> 00:02:20.020]   have tried that worked before, and programs via the program database that were great in other
[00:02:20.020 --> 00:02:25.940]   situations, all with the goal of improving the code that the human submitted against the evaluation
[00:02:25.940 --> 00:02:32.160]   metrics. That's why Alpha Evolve is called a coding agent. At its heart, it's improving or evolving
[00:02:32.160 --> 00:02:37.980]   upon the code that the human submits against those evaluation metrics. Then, while the human
[00:02:37.980 --> 00:02:42.280]   questions their career choices, Alpha Evolve eventually comes back with some code improvements
[00:02:42.280 --> 00:02:49.600]   or diffs that produce programs that are, 75% of the time, state-of-the-art at one of the
[00:02:49.600 --> 00:02:56.320]   dozens of given tasks. Not impressed? Well, 20% of the time, these constructions are better than
[00:02:56.320 --> 00:03:02.780]   state-of-the-art. If you are the highest IQ dude on the planet, Terence Tao, you describe this as
[00:03:02.780 --> 00:03:09.820]   extremizing functions, f of x, with x ranging over a high-dimensional parameter space, omega,
[00:03:09.820 --> 00:03:15.960]   that can outperform more traditional optimization algorithms when the parameter space is very high
[00:03:15.960 --> 00:03:23.140]   dimensional, and the function f and its extremizers have non-obvious structural features. Simple when you
[00:03:23.140 --> 00:03:29.440]   think about it, extremizing functions. Rest assured, they are now moving on to more challenging problems.
[00:03:29.440 --> 00:03:34.580]   Hopefully, though, I can demystify things a bit more than this, so let's return to the paper.
[00:03:34.580 --> 00:03:40.780]   In this key diagram, you can see that DeepMind went all in on the Evolve part of Alpha Evolve,
[00:03:40.780 --> 00:03:46.560]   because the system not only stores and samples from the best prompts, as judged by metric success,
[00:03:46.560 --> 00:03:54.300]   but even the best LLMs for the task. Yes, Gemini 2.5 Pro would just be a plug and play away from
[00:03:54.300 --> 00:04:00.120]   further improvements. Skipping to the end, because why not? The natural next step will be to consider
[00:04:00.120 --> 00:04:06.520]   distilling the Alpha Evolve augmented performance of the base LLMs into the next generation of the
[00:04:06.520 --> 00:04:12.960]   base models. This can have intrinsic value and also likely uplift the next version of Alpha Evolve.
[00:04:12.960 --> 00:04:19.000]   Now, you guys might agree, but those two sentences alone deserve a full video. Because first,
[00:04:19.000 --> 00:04:23.820]   who is Google fooling when they say they're going to consider doing this? I think it is quite possible
[00:04:23.820 --> 00:04:29.240]   they already did do this for Gemini 2.5. Alpha Evolve just got published, but has been tested
[00:04:29.240 --> 00:04:35.000]   internally in Google for around a year. And second, Alpha Evolve is therefore a pretty definitive case
[00:04:35.000 --> 00:04:40.680]   study against the idea of a permanent data wall, because this system is built to spin up improved
[00:04:40.680 --> 00:04:45.900]   programs, which can then be distilled into the next generation of base models, which then get better
[00:04:45.900 --> 00:04:51.760]   at coming up with improved programs. Or the TLDR is that iterated code that proves to be good,
[00:04:51.760 --> 00:04:57.040]   is then great data for training the next base model, which can then be plugged into the next version of
[00:04:57.040 --> 00:05:03.660]   Alpha Evolve. Yes, by the way, I know that this is just one of several recursive loops in the paper,
[00:05:03.780 --> 00:05:10.780]   improving the base LLM through distillation. And this is all before we get to Alpha Evolve's intended
[00:05:10.780 --> 00:05:16.720]   use in applied sciences like drug discovery. But very quickly on that point, I want to touch on why
[00:05:16.720 --> 00:05:22.400]   Alpha Evolve isn't quite confirmation of an imminent fast takeoff. Because as the paper makes clear
[00:05:22.400 --> 00:05:27.780]   throughout, the main limitation of Alpha Evolve is that it handles problems for which it is possible
[00:05:27.780 --> 00:05:33.640]   to devise and submit, by the way, an automated evaluator. While this is true of many problems
[00:05:33.640 --> 00:05:38.680]   in the mathematical and computational sciences, there are domains such as the natural sciences,
[00:05:38.680 --> 00:05:44.900]   where only some experiments can be simulated or automated. Yes, therefore, it can help scientists
[00:05:44.900 --> 00:05:50.980]   evaluate new scientific experiments, and they are working on making it a better literal co-scientist.
[00:05:51.060 --> 00:05:57.820]   But there is a reason that even the famously bullish Anthropic CEO Dario Amadei, who expects a century of
[00:05:57.820 --> 00:06:04.540]   science progress in the next decade, said, intelligence will be initially heavily bottlenecked by the other
[00:06:04.540 --> 00:06:10.500]   factors of production. Test tubes, in other words, can only test tube so fast. But back to what Alpha
[00:06:10.500 --> 00:06:20.080]   Evolve actually already achieved. Most famously, it found a rank 48 tensor decomposition for 4x4 complex matrix
[00:06:20.080 --> 00:06:26.780]   multiplication, which is actually, even for the authors, a super unexpected improvement on the 50-year-old record
[00:06:26.780 --> 00:06:32.500]   for algorithms suitable for recursive application. As simply put as possible, tensor decomposition here
[00:06:32.500 --> 00:06:39.700]   means discovering a more fundamental recipe with fewer core steps, 48 instead of 49, to perform matrix
[00:06:39.700 --> 00:06:45.140]   multiplication. This specific type of recipe, a tensor decomposition, is cool because it allows the method
[00:06:45.140 --> 00:06:51.680]   to be used repeatedly or recursively to dramatically speed up calculations for very large matrices.
[00:06:51.680 --> 00:06:56.260]   Multiplications that are needed for all sorts of computing and AI operations.
[00:06:56.260 --> 00:07:00.180]   If you're not too into maths, let's see what else I can impress you with.
[00:07:00.180 --> 00:07:05.840]   Well, Google helped improve the Borg. Yes, you know, the actual Borg,
[00:07:05.840 --> 00:07:12.540]   its data center optimization scheduler. Not sure what Borg you were thinking of, but this improvement helped Google
[00:07:12.540 --> 00:07:22.240]   recover 0.7% of its worldwide compute resources. That will soon amount to billions of dollars. But remember, LLMs are a dead end.
[00:07:22.240 --> 00:07:31.240]   But being serious, though, this is clearly the way. Humans and LLMs providing ideas and problems. LLMs proposing iterations,
[00:07:31.240 --> 00:07:41.100]   hard-coded verifiers and systems providing automated checks. And by the way, we're not even done, Alpha Evolve helped refine the next generation of Google's chips,
[00:07:41.100 --> 00:07:51.440]   its Ironwood TPUs. And if you remember DeepSeq hand-optimizing a kernel to eke out efficiency, if not see my recent documentary which debuted on Patreon.
[00:07:51.720 --> 00:07:59.760]   But anyway, Alpha Evolve did it automatically, when given that as a problem, leading to a 1% reduction in Gemini's training time.
[00:07:59.760 --> 00:08:07.920]   Obviously, that is yet another recursive loop, a better or more efficient Gemini, leading to a better future Alpha Evolve.
[00:08:07.920 --> 00:08:15.600]   But okay, now we are suitably sold on its achievements, let me give you four ways that Google admits it will soon get better,
[00:08:15.600 --> 00:08:19.460]   plus two funny quirks and two relevant interview clips.
[00:08:19.780 --> 00:08:29.040]   First, future improvement involves some background context that solutions and their scores for these tasks are kept in an evolutionary database.
[00:08:29.040 --> 00:08:35.200]   But remember, Gemini models have been confirmed to have up to a 10 million token context window.
[00:08:35.200 --> 00:08:38.760]   Those models aren't released yet, the public ones only go up to 2 million tokens.
[00:08:38.760 --> 00:08:48.100]   But clearly, that evolutionary database could one day get incredibly large, giving a veritable library of Alexandria for any future model to draw upon.
[00:08:48.240 --> 00:08:54.800]   For those watching a while, it might remind you of my coverage of Voyager, which was an agent for Minecraft,
[00:08:54.800 --> 00:08:59.000]   which had an ever-growing skill library of executable code.
[00:08:59.000 --> 00:09:03.120]   So first, obvious future improvement, a much bigger evolutionary database.
[00:09:03.120 --> 00:09:06.860]   Second, as we hinted at, Alpha Evolve is model agnostic.
[00:09:07.100 --> 00:09:14.060]   So as hardware is improved, training time is reduced, and knowledge is distilled to help make a better Gemini 3,
[00:09:14.060 --> 00:09:19.840]   that Gemini 3 will make a much better LLM within Alpha Evolve.
[00:09:19.840 --> 00:09:22.800]   And that brings us to the ablations.
[00:09:22.860 --> 00:09:32.800]   This was a really cool part of the paper because it showed that every part of the coding agent we have so far described was actually crucial.
[00:09:32.800 --> 00:09:40.680]   For example, if you only used a small base LLM, Gemini Flash, not Gemini Pro, performance caps out at a lower point.
[00:09:40.680 --> 00:09:47.300]   If you didn't have that context window and couldn't do a full file evolution, remember that massive context window?
[00:09:47.300 --> 00:09:53.020]   Well, if you couldn't do that, again, you can see that performance caps out at a much lower point.
[00:09:53.020 --> 00:09:59.460]   If you're listening to this, by the way, all of the ablations show lower performance if you don't employ the full method.
[00:09:59.460 --> 00:10:05.360]   Even dropping the meta-prompting, where you evolved which prompts to use, impeded performance.
[00:10:05.360 --> 00:10:10.620]   And for those over on my Patreon, you may remember from the beginning of AI Insiders,
[00:10:10.620 --> 00:10:15.060]   I did an interview with Tim Rocktashel, a key figure at Google DeepMind.
[00:10:15.060 --> 00:10:21.400]   He gave us what turned out to be an early preview of this prompt evolution approach with his paper, Prompt Reader.
[00:10:21.400 --> 00:10:30.240]   But what Prompt Reader does is that if you evaluate fitness of the prompts based on some kind of specific held out validation set for a domain,
[00:10:30.240 --> 00:10:36.180]   then what Prompt Reader will do over time, it will evolve more and more domain-specific prompts, right?
[00:10:36.180 --> 00:10:37.300]   That's what we saw in the paper.
[00:10:37.300 --> 00:10:43.840]   And there's actually one more paper that I think will give you a pretty great analogy of what is happening here with Alpha Evolve.
[00:10:43.840 --> 00:10:46.060]   And that's Dr. Eureka from NVIDIA.
[00:10:46.060 --> 00:10:53.560]   For this, imagine trying to handcraft instructions to a robotic hand to teach it how to flip a pen.
[00:10:53.560 --> 00:10:57.580]   Super boring and would take ages and isn't particularly effective.
[00:10:57.580 --> 00:11:04.000]   But now imagine you can give the language model feedback about how each iteration is doing.
[00:11:04.000 --> 00:11:06.700]   Which reward functions perform well, which don't.
[00:11:06.700 --> 00:11:10.200]   That's like the evaluation metrics that humans provide for Alpha Evolve.
[00:11:10.200 --> 00:11:15.560]   With that feedback, Dr. Eureka and Alpha Evolve can iterate on their suggestions.
[00:11:15.560 --> 00:11:19.560]   Both approaches, you obviously now know, produce state-of-the-art results.
[00:11:19.560 --> 00:11:26.260]   And hopefully that gives you an intuition, or at least it did me, for why humans couldn't always have reached these kind of levels.
[00:11:26.260 --> 00:11:32.320]   How Alpha Evolve points to novel solutions that it's not like humans would get if they tried eventually.
[00:11:32.320 --> 00:11:37.300]   Humans often get stuck in local optima according to their inherent biases.
[00:11:37.300 --> 00:11:42.460]   Also, they don't have time to iterate on tens of thousands of potential solutions.
[00:11:42.460 --> 00:11:47.920]   Here's Guangzhou Wang, who worked both on the original Eureka and Voyager papers.
[00:11:47.920 --> 00:11:57.040]   It has very much prior knowledge, and therefore it can just propose different kind of mutations and variations of the reward function based on the environment context.
[00:11:57.040 --> 00:12:01.040]   I think it just generates those reward functions based on its prior knowledge.
[00:12:01.040 --> 00:12:06.660]   And not as a human, like, for a human, like, you need to manually tune the reward functions.
[00:12:06.660 --> 00:12:10.420]   And it's very easy for a human to get stuck to a local optima.
[00:12:10.420 --> 00:12:14.600]   But for GPT-4, it can generate tens of reward functions at the same time.
[00:12:14.600 --> 00:12:19.500]   And then, based on the performance of each reward function, it can continuously improve it.
[00:12:19.500 --> 00:12:22.980]   In Eureka, it's more like, it's more like an evolutionary search.
[00:12:22.980 --> 00:12:26.320]   Third room for future improvement, and this is a big one.
[00:12:26.320 --> 00:12:34.180]   That code snippet that Alpha Evolve can improve on doesn't have to be the final function that generates the direct solution.
[00:12:34.360 --> 00:12:39.840]   It can be a search algorithm later used to find an optimal final function.
[00:12:39.840 --> 00:12:47.020]   So, Alpha Evolve can essentially continue to improve how we search for optimal programs.
[00:12:47.020 --> 00:12:55.440]   Fourth future improvement, and this is subtle and might be missed by many, but the authors foresee something quite important for me.
[00:12:55.680 --> 00:13:06.340]   They say, however, with these improvements, we envision that the value of setting up more environments problems with robust evaluation functions will become more widely recognized.
[00:13:06.340 --> 00:13:11.340]   Which, in turn, will result in more high-value practical discoveries going forward.
[00:13:11.340 --> 00:13:16.640]   You guys will get, probably already are getting bored of me talking about benchmarks are all we need.
[00:13:16.640 --> 00:13:28.420]   But honestly, this paper screams of the need for robust evaluation functions, and the incentives are now much more clear to create them, knowing that you will have a system on hand to optimize against them.
[00:13:28.420 --> 00:13:37.480]   Okay, but I did promise you guys some quirks, so I thought you guys might find it cute that we still rely on prompts like these for Alpha Evolve.
[00:13:37.480 --> 00:13:48.780]   This is 2025, and we're telling our bleeding edge systems to, act as an expert software developer, your task is to iteratively improve the provided code base.
[00:13:48.780 --> 00:13:56.380]   Later, they say, suggest a new idea to improve the code that is inspired by your expert knowledge of optimization and machine learning.
[00:13:56.380 --> 00:14:04.840]   It really makes me at least wonder if the final prompt before the real singularity will be, I work at Google, improve yourself, or I'll be fired.
[00:14:04.840 --> 00:14:07.340]   But a couple more serious points before we end.
[00:14:07.340 --> 00:14:12.240]   One thing that Alpha Evolve could not create yet is Alpha Evolve.
[00:14:12.240 --> 00:14:19.260]   I mean, of course, Alpha Evolve could improve parts of Alpha Evolve, as I've discussed, but it couldn't create it from scratch yet.
[00:14:19.260 --> 00:14:19.960]   Don't agree?
[00:14:19.960 --> 00:14:28.140]   Well, as Demis Asabis puts it, we have systems that are superhuman at the game Go, but yet could not invent Go, he says.
[00:14:28.140 --> 00:14:31.420]   That's Demis Asabis, the head of Google DeepMind.
[00:14:31.420 --> 00:14:34.820]   So humans are still in the driver's seat, at least for now.
[00:14:34.820 --> 00:14:43.160]   Next is that this direction of iteration and search is yet one more way we can spend our exploding compute allocations.
[00:14:43.160 --> 00:14:52.480]   And even OpenAI admit that this is all a somewhat different direction from the O-series that has produced such astonishing benchmark results.
[00:14:52.480 --> 00:14:55.140]   Jason Wei, a senior figure at OpenAI, said,
[00:14:55.140 --> 00:15:00.540]   Alpha Evolve is deeply disturbing for reinforcement learning diehards like yours truly.
[00:15:00.540 --> 00:15:06.960]   Maybe mid-train plus good search is all you need for AI for scientific innovation.
[00:15:06.960 --> 00:15:09.880]   And he added, what an alpha move to keep it secret for a year.
[00:15:09.880 --> 00:15:11.280]   Congrats, Big G.
[00:15:11.540 --> 00:15:18.880]   We, in other words, have models approaching level 4 innovators without neural ease or a mandarin chain of thought in sight.
[00:15:18.880 --> 00:15:35.240]   As the authors themselves write on page 14, Alpha Evolve was chosen over a deep reinforcement learning approach because its code solution not only leads to better performance, but also offers clear advantages in interpretability, debuggability, predictability, and ease of deployment.
[00:15:35.400 --> 00:15:45.240]   Not saying we always understand the solutions that Alpha Evolve helps generate, but it does help for these factors.
[00:15:45.240 --> 00:15:54.120]   And speaking, by the way, of dangerous reasoning chains, that was an incredible segue to the sponsors of today's video, GraySwan AI.
[00:15:54.420 --> 00:16:02.100]   They are hosting a competition in which you can help improve the safety and security of language models by essentially jailbreaking them.
[00:16:02.100 --> 00:16:07.540]   This is a brand new competition, link in the description, and the prize pool is $20,000.
[00:16:07.540 --> 00:16:19.660]   Actually, I think it might have been either my last video or the one before where the pinned comment is one of you guys first hearing about GraySwan and its arena in one of my videos, entering the competition and doing really well.
[00:16:19.660 --> 00:16:27.720]   It would be truly amazing if you guys want it, and the time is ripe because we are entering this first full wave starting May 17th.
[00:16:27.720 --> 00:16:32.660]   Thank you so much to GraySwan for sponsoring this video, and good luck to everyone who enters.
[00:16:32.660 --> 00:16:35.920]   Anyway, last couple of things from me on Alpha Evolve.
[00:16:35.920 --> 00:16:46.960]   And one thing that I was predicting on this channel in 2023, way before it was fashionable, was that there is a significant chance that Google runs away with the AI lead.
[00:16:46.960 --> 00:16:54.000]   It has been working on AGI and self-improvement for years more than the other labs, and has way more resources.
[00:16:54.000 --> 00:17:00.480]   I'm not talking about running away in terms of a user base or even profits, but in the raw intelligence of its models.
[00:17:00.680 --> 00:17:08.240]   Codex from OpenAI, which I've been using over the last 48 hours, is great because you can run it on mobile and debug multiple things at once.
[00:17:08.240 --> 00:17:17.520]   But in just 18 months, Google has gone from the laughably bad Bard versus the mighty GPT-4 to now being at least on par with Gemini 2.5.
[00:17:17.520 --> 00:17:26.180]   Essentially, as the flywheels start to fly, to quote Demis Arbus, I really do wonder where Gemini and DeepMind will be 18 months from now.
[00:17:26.280 --> 00:17:33.740]   Well, unionise potentially in the UK, and credit to DeepMind for their ethical stand on the use of their AI in warfare.
[00:17:33.740 --> 00:17:37.700]   But in the lead, I think that is almost inevitable.
[00:17:37.700 --> 00:17:41.400]   Let me know what you think, and have a wonderful day.

