
[00:00:00.120 --> 00:00:01.840]   I'm having technical difficulties.
[00:06:38.580 --> 00:06:43.780]   It probably wouldn't know that offhand how to do that, but here we're telling it how to calculate that.
[00:06:43.780 --> 00:06:50.500]   And so this metadata helps a lot to get the accuracy of the LLM up as people are asking questions.
[00:06:50.500 --> 00:06:55.460]   And I'm going to go through this a little bit quicker since I'm running out of time.
[00:06:55.460 --> 00:07:01.860]   But essentially, we'll create a query based on that, get an answer, and then synthesize the result.
[00:07:02.420 --> 00:07:10.180]   Here, notice that this output matches the example output that we were showing up further, so that's part of that example.
[00:07:10.180 --> 00:07:16.900]   And each one of these agents is then going to do that same procedure, so I'm just going to go through this quick.
[00:07:16.900 --> 00:07:22.820]   And then once all three of those agents have done their job, it goes back to the supervisor,
[00:07:22.820 --> 00:07:28.660]   who's going to take that output and synthesize a final answer, which is then displayed back to the user.
[00:07:29.300 --> 00:07:32.980]   And I'll just quickly go through this so the user can then use this information.
[00:07:32.980 --> 00:07:35.940]   So here, he's looking for high-risk opportunities.
[00:07:35.940 --> 00:07:41.460]   It's also highlighted as key insights, as well as it's a recommended action for him to follow for this
[00:07:41.460 --> 00:07:44.260]   customer since their renewals is at high risk.
[00:07:44.260 --> 00:07:49.220]   And unfortunately, I'm not going to be able to make it through the rest of the demo, and I'm going to hand it back to Amon.
[00:07:49.220 --> 00:07:53.860]   So please come see us at the booth if you'd like to see the rest of the demo.
[00:07:53.860 --> 00:07:57.100]   Thank you.

