
[00:00:00.000 --> 00:00:13.020]   [ Silence ]
[00:02:01.760 --> 00:02:03.140]   So I'll put this up at the top.
[00:02:03.140 --> 00:02:07.160]   If you remember last year at the conference, you were asked
[00:02:07.160 --> 00:02:09.720]   about Vanguard Target Retirement Funds
[00:02:09.720 --> 00:02:11.220]   and the Life Strategy Funds.
[00:02:11.560 --> 00:02:14.620]   And why they are using Investor Class Shares instead
[00:02:14.620 --> 00:02:15.880]   of the Admiral Class Shares.
[00:02:15.880 --> 00:02:19.000]   You said you didn't know, but you look into it.
[00:02:19.000 --> 00:02:20.100]   What was the outcome?
[00:02:20.100 --> 00:02:25.860]   >> Oh, they have decided to use the Admiral Shares.
[00:02:25.860 --> 00:02:27.880]   That's an answer I made up at the moment.
[00:02:27.880 --> 00:02:29.860]   Mike, do you know the answer to that?
[00:02:29.860 --> 00:02:31.320]   Is Mike here?
[00:02:31.320 --> 00:02:32.100]   Where are you, Mike?
[00:02:32.100 --> 00:02:37.440]   >> Why the Target Day Funds use Investor Class Shares?
[00:02:37.440 --> 00:02:38.660]   >> Yeah. Or do they?
[00:02:38.660 --> 00:02:39.560]   >> Yes, they do.
[00:02:39.560 --> 00:02:42.920]   We now have institutional price shares in addition
[00:02:42.920 --> 00:02:47.680]   to the original Target Day Funds for larger account balances.
[00:02:47.680 --> 00:02:52.820]   But as to why the decision was made to use the Admiral Shares.
[00:02:52.820 --> 00:02:56.040]   Basically, those are under an attempt
[00:02:56.040 --> 00:02:57.780]   to serve smaller account counts.
[00:02:57.780 --> 00:03:00.540]   The idea was if you're just starting out,
[00:03:00.540 --> 00:03:03.960]   you would use the Target Day Fund as your portfolio grows.
[00:03:03.960 --> 00:03:05.160]   It becomes more complicated.
[00:03:05.160 --> 00:03:07.760]   You probably, we would expect a lot of investors
[00:03:07.760 --> 00:03:10.740]   to diversify individual funds.
[00:03:10.740 --> 00:03:15.040]   >> Well, one of the things a lot of us have been pushing is
[00:03:15.040 --> 00:03:17.680]   that these are nicely diversified portfolio
[00:03:17.680 --> 00:03:20.320]   in a single fund that rebalances automatically.
[00:03:20.320 --> 00:03:24.800]   And now we're not talking about necessarily small investors.
[00:03:24.800 --> 00:03:26.980]   I agree that people might start with it.
[00:03:26.980 --> 00:03:31.980]   But we're also pushing simplification in when you get
[00:03:31.980 --> 00:03:35.920]   into your retirement years, both for your heirs and your spouse.
[00:03:36.360 --> 00:03:38.520]   And the life strategy
[00:03:38.520 --> 00:03:42.940]   and the Target Retirement Funds are an ideal fund to hold that.
[00:03:42.940 --> 00:03:46.140]   So you could have people with $100,000.
[00:03:46.140 --> 00:03:48.000]   You could have people with a million dollars in there.
[00:03:48.000 --> 00:03:52.380]   So it's nice when you have the two sets of shares.
[00:03:52.380 --> 00:03:53.800]   I understand you can't have it.
[00:03:53.800 --> 00:03:56.700]   But you do have it with the institutional class shares.
[00:03:56.700 --> 00:04:00.300]   So why aren't the institutional class shares offered
[00:04:00.300 --> 00:04:01.980]   to us regular folks?
[00:04:01.980 --> 00:04:04.380]   >> Yeah, so now what I'm hearing is there's an appetite for --
[00:04:04.380 --> 00:04:05.220]   >> Oh, definitely.
[00:04:05.220 --> 00:04:07.680]   >> -- a big fund with ample pricing.
[00:04:07.680 --> 00:04:09.280]   >> Exactly, exactly.
[00:04:09.280 --> 00:04:11.880]   And the same is true for the life strategy funds
[00:04:11.880 --> 00:04:18.120]   because, of course, the Target Retirement Funds have a changing
[00:04:18.120 --> 00:04:20.320]   thing, but once you get the Target Retirement income,
[00:04:20.320 --> 00:04:21.620]   it's fixed.
[00:04:21.620 --> 00:04:22.460]   It's not going to move.
[00:04:22.460 --> 00:04:27.000]   And people might not want that allocation.
[00:04:27.000 --> 00:04:29.780]   They may want one of the life strategy allocations,
[00:04:29.780 --> 00:04:32.300]   which remain the same.
[00:04:33.080 --> 00:04:35.780]   So I think that there's an appetite
[00:04:35.780 --> 00:04:40.160]   for both the Target Retirement and the life strategy funds
[00:04:40.160 --> 00:04:43.100]   at the admiral rate, whether they're called institutional
[00:04:43.100 --> 00:04:43.480]   or what.
[00:04:43.480 --> 00:04:47.140]   And as I -- say again?
[00:04:47.140 --> 00:04:52.980]   Mike said that they do have an institutional class,
[00:04:52.980 --> 00:04:56.580]   but most institutional class is offered to large companies.
[00:04:56.580 --> 00:04:57.340]   Is that right, Mike?
[00:04:57.340 --> 00:05:00.540]   Yeah, and not to us regular investors.
[00:05:00.920 --> 00:05:06.080]   So we have to choose the investor class shares.
[00:05:06.080 --> 00:05:11.960]   But Mike said that normally, and there's a lot of truth to it,
[00:05:11.960 --> 00:05:16.080]   a lot of people in 401(k)s and that start
[00:05:16.080 --> 00:05:19.060]   out with a life strategy fund or a Target Date Fund,
[00:05:19.060 --> 00:05:23.920]   and that's a great way to start because they're small investors
[00:05:23.920 --> 00:05:29.560]   and they can still get a nicely diversified portfolio
[00:05:29.560 --> 00:05:32.080]   in a single fund, rebalances automatically.
[00:05:32.080 --> 00:05:36.720]   But the problem is, is that we're --
[00:05:36.720 --> 00:05:40.600]   we have been pushing -- not pushing, but telling people
[00:05:40.600 --> 00:05:42.760]   that there's nothing wrong with holding one fund.
[00:05:42.760 --> 00:05:46.760]   You don't have to -- you don't have to hold total stock market,
[00:05:46.760 --> 00:05:49.260]   total international, total bond, total --
[00:05:49.260 --> 00:05:54.320]   you can instead have a single fund because when you do that,
[00:05:54.320 --> 00:05:55.640]   you have to rebalance yourself.
[00:05:56.340 --> 00:06:01.940]   You also would normally want to get more conservative as you age.
[00:06:01.940 --> 00:06:07.540]   But in the case of the -- some investors are learning
[00:06:07.540 --> 00:06:12.600]   that they don't want to do this when they retire or they don't
[00:06:12.600 --> 00:06:18.900]   have to worry about tax efficiency in a IRA or a 401(k).
[00:06:18.900 --> 00:06:23.320]   So a lot of investors can have hundreds of thousands
[00:06:23.320 --> 00:06:26.200]   or even millions of dollars in the single fund
[00:06:26.200 --> 00:06:28.400]   when they want to -- especially when they retire,
[00:06:28.400 --> 00:06:29.900]   want to simplify things.
[00:06:29.900 --> 00:06:34.180]   And so there could be -- in addition to the small investors,
[00:06:34.180 --> 00:06:36.960]   there could be very large investors.
[00:06:36.960 --> 00:06:41.160]   So I don't have any problem with putting a $100,000 minimum
[00:06:41.160 --> 00:06:43.860]   or something like that on the funds,
[00:06:43.860 --> 00:06:45.500]   but I think that they should be available
[00:06:45.500 --> 00:06:50.980]   to us regular investors who have qualified for whatever balance
[00:06:50.980 --> 00:06:52.520]   that they set for those funds.
[00:06:53.660 --> 00:06:56.760]   And as I said, that was the most requested thing.
[00:06:56.760 --> 00:06:58.580]   Last year, people were asking about it.
[00:06:58.580 --> 00:07:02.080]   Jack said he'd looked into it, and now, this year,
[00:07:02.080 --> 00:07:03.960]   everybody wanted to know what the result was.
[00:07:03.960 --> 00:07:05.640]   So, yeah.
[00:07:05.640 --> 00:07:10.440]   >> Let me just add a couple of comments about target date funds
[00:07:10.440 --> 00:07:12.240]   because I do talk about them at some length,
[00:07:12.240 --> 00:07:15.180]   and about the whole idea of balance, rebalancing,
[00:07:15.180 --> 00:07:19.560]   steady balance throughout your life in the last two chapters
[00:07:19.560 --> 00:07:22.680]   of the book that I guess just about everybody here owns.
[00:07:23.140 --> 00:07:24.120]   The new book.
[00:07:24.120 --> 00:07:25.800]   So this isn't a plug for the book
[00:07:25.800 --> 00:07:28.720]   because you already got it.
[00:07:28.720 --> 00:07:33.220]   But it is not at all clear that there is a better strategy.
[00:07:33.220 --> 00:07:37.200]   Is a target date fund based on your age and retirement date a
[00:07:37.200 --> 00:07:39.540]   better investment than, let's say, you deciding that you want
[00:07:39.540 --> 00:07:42.800]   to be in a life strategy fund at one level of risk or another?
[00:07:42.800 --> 00:07:46.420]   Isn't that not at all clear that being in a balanced index fund,
[00:07:46.420 --> 00:07:50.860]   which we started back in 1992 or '93, which is just straight 60/40
[00:07:51.140 --> 00:07:52.560]   for all investors all the time,
[00:07:52.560 --> 00:07:55.320]   it's not clear that target date funds will give you better
[00:07:55.320 --> 00:07:56.060]   returns than that.
[00:07:56.060 --> 00:07:58.280]   We just don't know.
[00:07:58.280 --> 00:07:59.240]   Nobody knows.
[00:07:59.240 --> 00:08:04.340]   There is no guaranteed success in this business.
[00:08:04.340 --> 00:08:05.820]   You just take your chances.
[00:08:05.820 --> 00:08:10.940]   And so, I conclude in the book that I'm talking
[00:08:10.940 --> 00:08:13.840]   about asset allocation, how a lot of it is very intuitive.
[00:08:13.840 --> 00:08:19.440]   I'm not so sure we need to go from 60.1 back to 60
[00:08:19.440 --> 00:08:21.680]   to rebalance, and I'm not even sure that you have
[00:08:21.680 --> 00:08:22.980]   to go from 70 to 60.
[00:08:22.980 --> 00:08:25.460]   But maybe when you get to 80, you should go back
[00:08:25.460 --> 00:08:26.980]   to 65 or something like that.
[00:08:26.980 --> 00:08:27.860]   I just don't know.
[00:08:27.860 --> 00:08:28.700]   It all depends.
[00:08:28.700 --> 00:08:31.780]   There's no rule that is going to get you through there.
[00:08:31.780 --> 00:08:35.940]   And then, you have to take into account when you look at history
[00:08:35.940 --> 00:08:40.500]   that bonds used to yield a lot more than stocks.
[00:08:40.500 --> 00:08:43.060]   And that was a good reason.
[00:08:43.060 --> 00:08:45.980]   So, you come to your retirement and you want more income.
[00:08:45.980 --> 00:08:48.460]   Not everybody does, but most people do.
[00:08:48.960 --> 00:08:51.460]   And so, you've got a much bigger portion
[00:08:51.460 --> 00:08:53.040]   in bonds that will pay you income.
[00:08:53.040 --> 00:08:55.820]   And that's one of the principles of the target-date funds.
[00:08:55.820 --> 00:08:57.820]   But it isn't the case anymore.
[00:08:57.820 --> 00:09:00.040]   You know, I'm using a future return.
[00:09:00.040 --> 00:09:01.380]   Well, let's talk about yield.
[00:09:01.380 --> 00:09:05.720]   I'm using a yield on bonds of about 3% for the next 10 years,
[00:09:05.720 --> 00:09:09.760]   and that's just based on a very simple division
[00:09:09.760 --> 00:09:13.880]   of your bondholders into 10-year treasury notes,
[00:09:14.140 --> 00:09:21.340]   yielding about 2.2%, and a corporate bond fund yielding
[00:09:21.340 --> 00:09:25.460]   about, I think, about 4%, and you end up with a 3% return.
[00:09:25.460 --> 00:09:27.940]   And so, that's pretty much what you're going to get.
[00:09:27.940 --> 00:09:32.640]   Not the old 8, not the old 9, not the 15 that we got
[00:09:32.640 --> 00:09:33.820]   in Paul Volcker's era.
[00:09:33.820 --> 00:09:35.480]   Imagine that, 15%.
[00:09:35.480 --> 00:09:37.340]   I mean, shooting fish in a barrel.
[00:09:37.340 --> 00:09:39.020]   If you'd bought a zero-coupon treasury,
[00:09:39.020 --> 00:09:40.420]   nothing would have been better.
[00:09:40.800 --> 00:09:44.600]   So, I think we can say safely that it would be very hard to talk
[00:09:44.600 --> 00:09:46.220]   about the bond market and say
[00:09:46.220 --> 00:09:48.020]   that in the future nothing could possibly be better
[00:09:48.020 --> 00:09:49.180]   than a 3% return.
[00:09:49.180 --> 00:09:49.960]   I don't believe that.
[00:09:49.960 --> 00:09:52.480]   So, it's very much intuitive.
[00:09:52.480 --> 00:09:55.760]   I think, I almost hate to say this,
[00:09:55.760 --> 00:09:58.200]   but people should relax a little bit about the precision
[00:09:58.200 --> 00:10:00.360]   of all this, or about the certainty of all this.
[00:10:00.360 --> 00:10:02.920]   There's no certainty in investing.
[00:10:02.920 --> 00:10:06.560]   And I had this letter that is in the book,
[00:10:07.220 --> 00:10:08.760]   and I wrote to a young man who was worried
[00:10:08.760 --> 00:10:13.200]   about all the problems in the world, and he was trying
[00:10:13.200 --> 00:10:14.580]   to set his asset allocation.
[00:10:14.580 --> 00:10:20.160]   And so, you know, I said to him, you know, sir, young man,
[00:10:20.160 --> 00:10:25.500]   just as much about whether we're going to have a nuclear war
[00:10:25.500 --> 00:10:29.160]   as I do, or as anybody does, you know just as much
[00:10:29.160 --> 00:10:31.820]   about whether global trade is going to completely crash,
[00:10:31.820 --> 00:10:33.280]   which is kind of in the cards,
[00:10:33.280 --> 00:10:34.560]   but it may happen and it may not.
[00:10:35.060 --> 00:10:38.340]   You know as much about the effects of global warming,
[00:10:38.340 --> 00:10:40.240]   or as we're now supposed to call it, climate change,
[00:10:40.240 --> 00:10:43.040]   as anybody, make your judgment about that,
[00:10:43.040 --> 00:10:44.500]   and I can't help you with that.
[00:10:44.500 --> 00:10:47.400]   And, you know, racial divisions in the country,
[00:10:47.400 --> 00:10:49.560]   gap between the rich and the poor,
[00:10:49.560 --> 00:10:50.840]   how is that going to be reconciled?
[00:10:50.840 --> 00:10:52.900]   Nobody knows the answers to that,
[00:10:52.900 --> 00:10:54.440]   and yet that's an important part
[00:10:54.440 --> 00:10:55.840]   of what the market will hold in the future.
[00:10:55.840 --> 00:11:02.340]   So, I said, as for me, I'm invested 50% in stocks,
[00:11:02.480 --> 00:11:06.800]   stock index funds, and 50% in bonds, either our munis
[00:11:06.800 --> 00:11:12.160]   in my personal account or my corporate indexes or total,
[00:11:12.160 --> 00:11:14.040]   but not so much total bond market indexes,
[00:11:14.040 --> 00:11:20.800]   intermediate term in length, and I spent half, I said 50/50,
[00:11:20.800 --> 00:11:23.560]   and I spent half of the time worrying about why I have
[00:11:23.560 --> 00:11:26.640]   so much in stocks, and the other half of the time worrying
[00:11:26.640 --> 00:11:28.260]   about why I have so little.
[00:11:28.800 --> 00:11:33.820]   [ Applause ]
[00:11:33.820 --> 00:11:36.240]   >> Let's call that the investor's dilemma,
[00:11:36.240 --> 00:11:38.640]   and I think from that applause, for which I thank you,
[00:11:38.640 --> 00:11:41.460]   I think everybody is in the room, as I said, that said,
[00:11:41.460 --> 00:11:42.300]   oh yeah.
[00:11:42.300 --> 00:11:44.440]   >> No doubt, Jack.
[00:11:44.440 --> 00:11:47.640]   This question is from Dan Wickenhauser.
[00:11:47.640 --> 00:11:51.060]   He said, did you take an active role in the financial literacy
[00:11:51.060 --> 00:11:54.040]   of your children and/or grandchildren, and if so,
[00:11:54.040 --> 00:11:55.280]   how would you recommend
[00:11:55.280 --> 00:11:57.440]   that a parent start this process today?
[00:11:57.440 --> 00:11:59.800]   >> Well, you know, that's really a good question,
[00:11:59.800 --> 00:12:01.700]   and somebody mentioned it yesterday,
[00:12:01.700 --> 00:12:04.320]   but giving their kids a stock that they could watch,
[00:12:04.320 --> 00:12:06.080]   that kind of thing, and believe it or not,
[00:12:06.080 --> 00:12:08.860]   I did that with my oldest son.
[00:12:08.860 --> 00:12:12.000]   I bought him four stocks, probably five shares of each.
[00:12:12.000 --> 00:12:14.300]   I can't remember the names of all the stocks now,
[00:12:14.300 --> 00:12:17.780]   but he put them on, he got these little decals and put them
[00:12:17.780 --> 00:12:21.000]   on his lampshade so he wouldn't forget to track them,
[00:12:21.000 --> 00:12:23.480]   and it got him very interested in the stock market,
[00:12:23.980 --> 00:12:26.280]   and that's the way to get your kids interested,
[00:12:26.280 --> 00:12:30.660]   but when it comes to investing, burn the damn lampshade.
[00:12:30.660 --> 00:12:36.520]   And I don't know how one reconciles that gap,
[00:12:36.520 --> 00:12:39.480]   and it's sort of the fun of investing versus the fun
[00:12:39.480 --> 00:12:42.680]   of not having a needy retirement, and, you know,
[00:12:42.680 --> 00:12:45.400]   one is long-term in nature, one is short-term in nature,
[00:12:45.400 --> 00:12:47.900]   one you can watch every day and see good things
[00:12:47.900 --> 00:12:51.020]   and bad things happen, one is roughly
[00:12:51.020 --> 00:12:52.280]   like watching the grass grow.
[00:12:52.720 --> 00:12:56.320]   And so I don't really have a good answer to that.
[00:12:56.320 --> 00:13:00.680]   I have given my grandchildren, in little trust accounts,
[00:13:00.680 --> 00:13:02.980]   which their parents will only be trustees for,
[00:13:02.980 --> 00:13:06.960]   balanced index fund, and I do it year after year.
[00:13:06.960 --> 00:13:08.620]   I'm not sure that's the perfect choice.
[00:13:08.620 --> 00:13:11.640]   Obviously, if you go back 20 years, 25 years,
[00:13:11.640 --> 00:13:15.140]   I should have put 100% in S&P 500,
[00:13:15.140 --> 00:13:19.540]   and I should have leveraged it, to be honest, but, you know,
[00:13:19.540 --> 00:13:20.480]   I'm just not into that.
[00:13:20.480 --> 00:13:22.000]   I don't want to look at it, I don't want to think about it,
[00:13:22.000 --> 00:13:25.220]   I want to send the check in at each year end in my ability
[00:13:25.220 --> 00:13:28.840]   to make gifts that aren't taxed, get it out of my estate.
[00:13:28.840 --> 00:13:32.960]   And so they have had an education in the balanced fund,
[00:13:32.960 --> 00:13:35.200]   and there's a pretty good section
[00:13:35.200 --> 00:13:38.920]   about what we call the Bogle model in the book,
[00:13:38.920 --> 00:13:44.540]   and it shows how the balance, the Bogle model is basically,
[00:13:44.540 --> 00:13:48.320]   based on the balanced index fund, was in the top,
[00:13:49.220 --> 00:13:53.820]   did better than the top decile of college endowment funds.
[00:13:53.820 --> 00:13:56.600]   The top decile of college endowment funds
[00:13:56.600 --> 00:13:59.300]   in the last 10 years, 5 years, 3 years,
[00:13:59.300 --> 00:14:01.580]   and probably 1 year, I can't remember.
[00:14:01.580 --> 00:14:09.720]   Wasn't that, yeah, and they had maybe, let me guess,
[00:14:09.720 --> 00:14:13.980]   a 1.25% margin, and we didn't have any geniuses running it.
[00:14:13.980 --> 00:14:17.940]   We had some genius who said balanced index is a good idea.
[00:14:18.240 --> 00:14:19.560]   I think I can remember who he was.
[00:14:19.560 --> 00:14:21.940]   [ Laughter ]
[00:14:21.940 --> 00:14:25.820]   >> Jack, this next comment/question is,
[00:14:25.820 --> 00:14:28.280]   I'd be interested in what his views are when he looks
[00:14:28.280 --> 00:14:30.300]   at his lifelong accomplishments.
[00:14:30.300 --> 00:14:33.520]   Does he ever sit back and realize how many people he has
[00:14:33.520 --> 00:14:34.760]   impacted for the better,
[00:14:34.760 --> 00:14:37.760]   how much he has impacted the investment industry?
[00:14:37.760 --> 00:14:41.160]   These impacts are huge, and I wonder what it must be
[00:14:41.160 --> 00:14:46.200]   like to contemplate your accomplishments.
[00:14:46.240 --> 00:14:49.560]   >> Well, when a question like that comes up,
[00:14:49.560 --> 00:14:53.620]   one is always called on to quote Sophocles,
[00:14:53.620 --> 00:14:56.660]   which I'm about to do.
[00:14:56.660 --> 00:14:59.100]   [ Laughter ]
[00:14:59.100 --> 00:15:04.280]   One must wait until the evening to enjoy the splendor of the day,
[00:15:04.280 --> 00:15:08.360]   and my evening is not here yet, so I'm not really enjoying,
[00:15:08.360 --> 00:15:10.260]   ready to enjoy the splendor of the day.
[00:15:10.260 --> 00:15:15.100]   [ Applause ]
[00:15:15.600 --> 00:15:23.700]   And yet, and I mean, I do get a lot of enjoyment about,
[00:15:23.700 --> 00:15:27.140]   you could see this yesterday, I feel badly about it, actually,
[00:15:27.140 --> 00:15:31.660]   maybe a little too much ego, a little too much pride in some
[00:15:31.660 --> 00:15:34.000]   of the things I showed you yesterday, but it was kind
[00:15:34.000 --> 00:15:36.160]   of my year, and I thought, hell, brag about it.
[00:15:36.160 --> 00:15:38.160]   [ Laughter ]
[00:15:38.160 --> 00:15:40.700]   And it's not a good idea, I know that,
[00:15:40.700 --> 00:15:43.280]   and that's why that quote I gave you at the end
[00:15:43.280 --> 00:15:46.480]   about how minuscule we all are in the vast context
[00:15:46.480 --> 00:15:50.120]   of space and time, so you kind of come down to earth,
[00:15:50.120 --> 00:15:52.060]   and you also have a lot of lives.
[00:15:52.060 --> 00:15:55.260]   You have a family life, you have a community life,
[00:15:55.260 --> 00:15:58.600]   you have a business life, and you have a, I mean,
[00:15:58.600 --> 00:16:00.040]   I would say I have a ministry.
[00:16:00.040 --> 00:16:04.860]   I'm much more interested in the intellectual side
[00:16:04.860 --> 00:16:07.040]   of this business than I am in the business side
[00:16:07.040 --> 00:16:09.980]   of this business, and indeed, that article I wrote
[00:16:09.980 --> 00:16:12.760]   for the Financial Analyst Journal, their request
[00:16:12.760 --> 00:16:16.820]   of what I mentioned yesterday, profession versus business,
[00:16:16.820 --> 00:16:20.120]   professional values versus business values in finance,
[00:16:20.120 --> 00:16:23.440]   is to try and strike some balance
[00:16:23.440 --> 00:16:28.640]   in all these things you do, and I, you know, we, we, my wife,
[00:16:28.640 --> 00:16:31.260]   I think I'm bereft of humility.
[00:16:31.260 --> 00:16:33.740]   [ Laughter ]
[00:16:33.740 --> 00:16:35.700]   Did you follow that all right?
[00:16:35.700 --> 00:16:39.820]   And there is, there is something to that, but I've tried
[00:16:39.820 --> 00:16:43.800]   to handle what I, I don't want to make this too personal,
[00:16:43.800 --> 00:16:49.380]   but I just, this is, this is really weird,
[00:16:49.380 --> 00:16:53.160]   and I may be overexpressing a little bit, but I just want
[00:16:53.160 --> 00:16:54.960]   to be the same kind of kid I grew up as.
[00:16:54.960 --> 00:16:56.340]   I don't want to change.
[00:16:56.340 --> 00:16:57.940]   I had high values.
[00:16:57.940 --> 00:16:59.440]   I tried to set a good example.
[00:16:59.440 --> 00:17:00.540]   I took responsibility.
[00:17:00.540 --> 00:17:04.280]   I worked hard, and tried to do things the right way
[00:17:04.280 --> 00:17:06.380]   to help the community and the investor
[00:17:06.380 --> 00:17:08.240]   and anybody else I was working with,
[00:17:08.660 --> 00:17:12.100]   and that's good enough for me, and, you know, when I look at some
[00:17:12.100 --> 00:17:14.220]   of those monkeys, for the want of a better word,
[00:17:14.220 --> 00:17:17.060]   that are in the Forbes list that I talked about yesterday,
[00:17:17.060 --> 00:17:19.380]   you know, I have no envy.
[00:17:19.380 --> 00:17:20.460]   They all have more money.
[00:17:20.460 --> 00:17:22.640]   No, I don't give a damn, not a damn,
[00:17:22.640 --> 00:17:27.480]   and we have all we need, so I'm not embarrassed in that score,
[00:17:27.480 --> 00:17:30.400]   and, you know, I've done my best to live a good life.
[00:17:30.400 --> 00:17:36.340]   I've made some errors along the way, but I do like, I mean,
[00:17:36.340 --> 00:17:38.860]   I get letters from shareholders, this is a more direct answer
[00:17:38.860 --> 00:17:40.640]   to your question, Mel, I get letters
[00:17:40.640 --> 00:17:43.720]   from shareholders pretty much every day to the point
[00:17:43.720 --> 00:17:45.140]   where if I hadn't gotten one in the morning,
[00:17:45.140 --> 00:17:49.180]   when noon comes, I say, "Emily, do you want to check the inbox?"
[00:17:49.180 --> 00:17:56.180]   And so that's good enough for me,
[00:17:56.180 --> 00:17:58.720]   and the letters I've written are incredible.
[00:17:58.720 --> 00:18:02.160]   They're beyond belief in their generosity,
[00:18:02.160 --> 00:18:05.580]   in their appreciation, and, you know,
[00:18:05.580 --> 00:18:07.880]   little things, little things mean a lot in life,
[00:18:07.880 --> 00:18:09.900]   and I just got a letter in response.
[00:18:09.900 --> 00:18:11.100]   This was not even an investment letter.
[00:18:11.100 --> 00:18:15.580]   This fellow said he had talked to me, he's a man, I think,
[00:18:15.580 --> 00:18:18.500]   about 60, he had talked to me, he was scared, he thought he had
[00:18:18.500 --> 00:18:21.960]   to get a heart transplant, and he called me up to talk about it.
[00:18:21.960 --> 00:18:23.040]   What am I supposed to say?
[00:18:23.040 --> 00:18:25.400]   I'm not going to talk to you, so I talked to him
[00:18:25.400 --> 00:18:27.600]   and encouraged him to do it, told him some of the challenges
[00:18:27.600 --> 00:18:30.200]   and difficulties, and how great it can work out,
[00:18:30.200 --> 00:18:32.360]   and he got his heart, and it's working fine,
[00:18:32.360 --> 00:18:33.420]   so I got a letter from him.
[00:18:33.620 --> 00:18:36.600]   Well, that's nice, you know, if you can do something nice
[00:18:36.600 --> 00:18:40.060]   for another person, for God's sake, do it,
[00:18:40.060 --> 00:18:42.720]   and to quote what I said yesterday
[00:18:42.720 --> 00:18:45.320]   from someone you'll probably remember, "Do it now,
[00:18:45.320 --> 00:18:47.860]   for we shall not pass this way again."
[00:18:47.860 --> 00:18:51.100]   >> And a follow-up on that, Jack,
[00:18:51.100 --> 00:18:55.820]   what would the next Jack Bogle be looking to change?
[00:18:55.820 --> 00:18:58.820]   Is there something that is ripe for a revolution
[00:18:58.820 --> 00:19:01.140]   that we will see over the next 40 years?
[00:19:02.700 --> 00:19:04.200]   >> Well, that's a good question.
[00:19:04.200 --> 00:19:06.300]   I don't think so.
[00:19:06.300 --> 00:19:10.180]   The index revolution comes kind of out of nowhere,
[00:19:10.180 --> 00:19:15.500]   comes out of an unwillingness of Wall Street
[00:19:15.500 --> 00:19:18.100]   and the mutual fund industry to change in a way
[00:19:18.100 --> 00:19:21.380]   that favors the investor, and that's just bad economics
[00:19:21.380 --> 00:19:24.920]   and bad business, but the mutual fund industry,
[00:19:24.920 --> 00:19:27.800]   particularly Wall Street too, has been able to get away
[00:19:27.800 --> 00:19:31.980]   with this fraud, if you will, I don't mean to speak too sharply,
[00:19:32.480 --> 00:19:36.380]   because the market keeps going up, and I use a number
[00:19:36.380 --> 00:19:41.260]   for something like this, if you started in, let's say,
[00:19:41.260 --> 00:19:45.620]   40 years ago, 30 years ago, 84, what is that, 30 years ago,
[00:19:45.620 --> 00:19:50.640]   and had gotten the index return of around 11 or 12 percent,
[00:19:50.640 --> 00:19:55.720]   you'd now have, I think, around $75 for each dollar you put in,
[00:19:55.720 --> 00:20:01.840]   $750 maybe, and for the investors
[00:20:01.840 --> 00:20:07.720]   that got 5 percent, he's got maybe $400.
