
[00:00:00.040 --> 00:00:10.720]   fight
[00:22:26.060 --> 00:22:26.060]   A pop-up camper is easy to drive around in cities and as attractions, which is very useful, and it's easy to back into a campsite.
[00:22:26.060 --> 00:22:26.060]   One of the things I did not like about a pop-up camper was, because it's a big,
[00:22:26.060 --> 00:22:26.060]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:26.060 --> 00:22:26.060]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:26.060 --> 00:22:26.060]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:26.060 --> 00:22:26.060]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:26.060 --> 00:22:56.080]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:56.080 --> 00:22:56.080]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:56.080 --> 00:22:56.080]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:56.080 --> 00:22:56.080]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:56.080 --> 00:22:56.080]   one of the things I did not like about a pop-up camper was, because it's a big,
[00:22:56.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.100 --> 00:23:26.100]   one of the things I did not like about a pop-up camper was,
[00:23:26.140 --> 00:23:56.120]  ,
[00:23:56.120 --> 00:23:56.120]   but I would bet you that you would have to do a few extra things with a pop-up camper. You've got to put the top up, you've got to slide the beds out, you've got to brace everything, but I would bet you that you would have to do a few extra things with a pop-up camper. You've got to put the top up, you've got to slide the beds out, you've got to brace everything,
[00:23:56.160 --> 00:24:05.820]   even
[00:24:05.820 --> 00:24:21.300]   tap and is t
[00:24:24.980 --> 00:24:50.760]   hear
[00:25:21.740 --> 00:25:23.800]  ent
[00:25:23.800 --> 00:25:49.740]   is that was
[00:25:50.540 --> 00:26:01.240]   cut
[00:26:01.240 --> 00:26:01.840]   -นะ consequence
[00:26:01.840 --> 00:26:10.420]   el, and,,,,,,這樣 clarify
[00:26:10.420 --> 00:26:18.780]   see the round and
[00:27:16.480 --> 00:27:16.480]   It's a little bit of a goop.
[00:27:16.480 --> 00:27:16.480]   It's a little bit of a goop.
[00:27:16.480 --> 00:27:16.480]   It's a little bit of a goop.
[00:27:16.480 --> 00:27:16.480]   It's a little bit of a goop.
[00:27:16.480 --> 00:27:16.480]   It's a little bit of a goop.
[00:27:16.480 --> 00:27:16.480]   It's a little bit of a goop.
[00:27:16.480 --> 00:27:16.480]   It's a little bit of a goop.
[00:27:16.480 --> 00:27:16.560]   It's a little bit of a goop.
[00:27:16.560 --> 00:27:16.620]   It's a little bit of a goop.
[00:27:16.620 --> 00:27:16.700]   It's a little bit of a goop.
[00:27:16.700 --> 00:27:16.780]   It's a little bit of a goop.
[00:27:16.780 --> 00:27:16.860]   It's a little bit of a goop.
[00:27:16.860 --> 00:27:16.980]   It's a little bit of a goop.
[00:27:16.980 --> 00:27:17.020]   It's a little bit of a goop.
[00:27:17.020 --> 00:27:17.060]   It's a little bit of a goop.
[00:27:17.060 --> 00:27:17.160]   It's a little bit of a goop.
[00:27:17.160 --> 00:27:17.260]   It's a little bit of a goop.
[00:27:17.260 --> 00:27:17.320]   It's a little bit of a goop.
[00:27:46.200 --> 00:27:47.200]   I'm not saying that you should be doing this.
[00:27:47.200 --> 00:27:47.220]   I'm not saying that you should be doing this.
[00:27:47.220 --> 00:27:47.260]   I'm not saying that you should be doing this.
[00:27:47.260 --> 00:27:47.300]   I'm not saying that you should be doing this.
[00:27:47.300 --> 00:27:47.380]   I'm not saying that you should be doing this.
[00:27:47.380 --> 00:27:47.380]   I'm not saying that you should be doing this.
[00:27:47.380 --> 00:27:47.380]   I'm not saying that you should be doing this.
[00:27:47.380 --> 00:27:47.380]   I'm not saying that you should be doing this.
[00:27:47.380 --> 00:27:47.380]   I'm not saying that you should be doing this.
[00:27:47.380 --> 00:27:47.380]   I'm not saying that you should be doing this.
[00:27:47.380 --> 00:28:17.400]   I'm not saying that you should be doing this.
[00:28:17.400 --> 00:28:17.400]   I'm not saying that you should be doing this.
[00:28:17.400 --> 00:28:17.400]   I'm not saying that you should be doing this.
[00:28:17.400 --> 00:28:17.400]   I'm not saying that you should be doing this.
[00:28:17.400 --> 00:28:17.400]   I'm not saying that you should be doing this.
[00:28:17.400 --> 00:28:17.400]   I'm not saying that you should be doing this.
[00:28:17.400 --> 00:28:17.400]   I'm not saying that you should be doing this.
[00:28:17.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:28:47.420]   I'm not saying that you should be doing this.
[00:28:47.420 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.440 --> 00:29:17.440]   I'm not saying that you should be doing this.
[00:29:17.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:29:47.460]   I'm not saying that you should be doing this.
[00:29:47.460 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.480 --> 00:30:17.480]   I'm not saying that you should be doing this.
[00:30:17.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:30:47.500]   I'm not saying that you should be doing this.
[00:30:47.500 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.520 --> 00:31:17.520]   I'm not saying that you should be doing this.
[00:31:17.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:31:47.540]   I'm not saying that you should be doing this.
[00:31:47.540 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.560 --> 00:32:17.560]   I'm not saying that you should be doing this.
[00:32:17.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:32:47.580]   I'm not saying that you should be doing this.
[00:32:47.580 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.600 --> 00:33:17.600]   I'm not saying that you should be doing this.
[00:33:17.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:33:47.620]   I'm not saying that you should be doing this.
[00:33:47.620 --> 00:34:17.640]   I'm not saying that you should be doing this.
[00:34:17.640 --> 00:34:17.640]   I'm not saying that you should be doing this.
[00:34:17.640 --> 00:34:17.640]   I'm not saying that you should be doing this.
[00:34:17.640 --> 00:34:17.640]   I'm not saying that you should be doing this.
[00:34:17.640 --> 00:34:17.640]   I'm not saying that you should be doing this.
[00:34:17.640 --> 00:34:17.640]   I'm not saying that you should be doing this.
[00:34:17.640 --> 00:34:17.640]   I'm not saying that you should be doing this.
[00:34:17.660 --> 00:34:47.660]   It's not all about weight.
[00:34:47.660 --> 00:34:47.660]   It's not all about weight.
[00:34:47.660 --> 00:34:47.660]   It's not all about weight.
[00:34:47.660 --> 00:34:47.660]   It's not all about weight.
[00:34:47.660 --> 00:34:47.660]   It's not all about weight.
[00:34:47.660 --> 00:34:47.660]   It's not all about weight.
[00:34:47.660 --> 00:34:47.660]   It has to do with wind resistance.
[00:34:47.660 --> 00:34:47.660]   It has to do with wind resistance.
[00:34:47.660 --> 00:34:47.660]   How tall is that trailer?
[00:34:47.660 --> 00:34:47.660]   You could tow a fairly heavy trailer. Once you get it going, as long as you don't have a ton of wind resistance, you can drive it pretty fast, but if you have a big tall trailer that sticks up high above your vehicle, that wind resistance does a lot of damage to your driveline. Cheap to add on to the things that you already have. Big benefit of pop-up champer is it's cheap to pull. You have a radically cheap
[00:34:47.660 --> 00:34:47.660]   pump that you need to use.
[00:34:47.660 --> 00:34:47.660]   It's cheap to pull.
[00:34:47.660 --> 00:34:47.660]   It's cheap to add on to the things that you already have.
[00:34:47.660 --> 00:35:17.680]   to add on to the things that you already have.
[00:35:17.680 --> 00:35:17.680]   It's cheap to pull.
[00:35:17.680 --> 00:35:17.680]   It's cheap to pull.
[00:35:17.680 --> 00:35:17.680]   It's cheap to pull.
[00:35:17.680 --> 00:35:17.680]   It's cheap to pull.
[00:35:17.680 --> 00:35:17.680]   It's cheap to pull.
[00:35:17.680 --> 00:35:17.680]   It's cheap to pull.
[00:35:17.680 --> 00:35:17.680]   It's cheap to pull. It's cheaper to pull. It's probably useful. It means you'll use it more. It makes it easier to drive, like I said earlier, but it also makes it cheaper to drive. It's frustrating to think about heading across the country at 8 miles per gallon, but if you take an average vehicle and I'm guessing here, it's a little bit of educated guessing, but I have never taken a separate estimate of the car, but I'm not going to take a separate estimate of the car.
[00:35:17.680 --> 00:35:17.680]  , but I'm not going to take a separate estimate of the car, I'm not going to the average vehicle, but I'm not going to take a separate of the car.
[00:35:17.700 --> 00:35:47.700]   I'm not going to take a separate estimate of the car, but I'm not going to take a separate estimate of the car.
[00:35:47.700 --> 00:35:47.700]   I'm not going to take a separate estimate of the car, but I'm not going to take a separate estimate of the car.
[00:35:47.700 --> 00:35:47.700]   I'm not going to take a separate estimate of the car, but I'm not going to take a separate estimate of the car.
[00:35:47.700 --> 00:35:47.700]   I'm not going to take a separate estimate of the car, but I'm not going to take a separate estimate of the car.
[00:35:47.700 --> 00:35:47.700]   I'm not going to take a separate estimate of the car, but I'm not going to take a separate estimate of the car.
[00:35:47.700 --> 00:36:17.720]  , but I'm not going to take a separate estimate of the car.
[00:36:17.720 --> 00:36:17.720]   I'm not going to take a separate estimate of the car.
[00:36:17.720 --> 00:36:17.720]   I'm not going to take a separate estimate of the car.
[00:36:17.720 --> 00:36:17.720]   I'm not going to take a separate estimate of the car.
[00:36:17.720 --> 00:36:17.720]   I'm not going to take a separate estimate of the car.
[00:36:17.720 --> 00:36:17.720]   I'm not going to take a separate estimate of the car.
[00:36:17.720 --> 00:36:17.720]   I'm not going to take a separate estimate of the car.
[00:36:17.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:36:47.740]   You're not going to take a separate estimate of the car.
[00:36:47.740 --> 00:37:17.760]   You're not going to take a separate estimate of the car.
[00:37:17.760 --> 00:37:17.760]   You're not going to take a separate estimate of the car.
