
[00:00:00.000 --> 00:00:21.760]   So today we are going to talk about data as your differentiator or maybe about coconuts.
[00:05:55.840 --> 00:06:02.480]   static. It's coming from your data, again, right? And the data can be different data services, data sources.
[00:06:02.480 --> 00:06:08.560]   And then the model that you are using, maybe you're using out of the box model, but maybe you have fine
[00:06:08.560 --> 00:06:14.640]   tuned the model. Again, you need data for training your model representing your company. So you need data
[00:06:14.640 --> 00:06:21.440]   in every step before you can get meaningful output. Now one thing that is not mentioned over here is the
[00:06:21.440 --> 00:06:27.120]   responsible AI part, which I'm not losing sight of, and I'm going to talk about it, but just in a moment.
[00:06:27.120 --> 00:06:33.440]   So now we have established what we need, but you will be like, okay, we all know what we need,
[00:06:33.440 --> 00:06:39.200]   we have talked enough, how will we solve this problem? So that's where we have Amazon Bedrock.
[00:06:39.200 --> 00:06:46.080]   So Amazon Bedrock not just provides you with the choice of the models, but it also provides you with
[00:06:46.080 --> 00:06:51.360]   some of the amazing features such as Bedrock data automation using which you can build your custom
[00:06:51.360 --> 00:06:58.080]   data pipelines, transform your data, and we'll talk about that. Or if you want to fine tune the model,
[00:06:58.080 --> 00:07:03.600]   you have model customizations, you can evaluate the models, you have model evaluation. If you want to
[00:07:03.600 --> 00:07:09.600]   build a RAG application very quickly, rather than writing the code from scratch, you can use Bedrock
[00:07:09.600 --> 00:07:15.920]   knowledge bases to do that for you and reduce your time to go to market. And again, I'm not forgetting
[00:07:15.920 --> 00:07:21.600]   responsible AI, and we have Amazon Bedrock guardrails, which can help you with that. So we have to do
[00:07:21.600 --> 00:07:26.880]   whatever we are doing, whether we are building an agentic RAG application, or we are building a,
[00:07:26.880 --> 00:07:32.480]   let's say, summarization application, or a classification application, or detecting a fraud,
[00:07:32.480 --> 00:07:41.040]   or it's our same contextual chatbot. We all have, we have to do all of this in a very secure and in a
[00:07:41.040 --> 00:07:48.000]   private manner with safety guardrails in place. So that's what we are going to do. So now bear with
[00:07:48.000 --> 00:07:54.720]   me and let's take another example of a simple RAG application for building a contextual chatbot.
[00:07:54.720 --> 00:08:01.280]   Let's simplify a bit so that we can go deeper, right? So let's say you want to build a chat application,
[00:08:01.280 --> 00:08:08.080]   what would you need? Data. Now with data, we have Amazon Bedrock data automation using which you can
[00:08:08.080 --> 00:08:15.120]   build your custom data pipelines just with a single API, right? That's amazing. Maybe you have data
[00:08:15.120 --> 00:08:24.080]   which is in the form of the videos or text or images. You need to comprehend those images because they have
[00:08:24.080 --> 00:08:30.640]   information. When I say images, I'm not talking about describing a portrait over here. I'm talking about
[00:08:30.640 --> 00:08:37.440]   You might have financial documents, which have charts, which have line graphs, and you need to make business sense out of it.
[00:08:37.440 --> 00:08:43.600]   How would you do that? Right? So you need some mechanism to do it. Of course, you can do everything on your own,
[00:08:43.600 --> 00:08:48.480]   but how we can make it faster, right? That's where Bedrock data automation comes into play.
[00:08:48.480 --> 00:08:56.640]   Then next we have Amazon Bedrock knowledge bases. Now you would say that, yeah, I can build, you know, a contextual based chatbot,
[00:08:56.640 --> 00:09:02.560]   Arag application, and there are so many tools out there. But let's talk about how knowledge bases can help you.
[00:09:02.560 --> 00:09:09.600]   One way is, what do you really need when you are building an application? We have talked about data processing and Bedrock
[00:09:09.600 --> 00:09:15.440]   knowledge bases have native support for Bedrock data automation. Then we need to define a chunking strategy.
[00:09:15.440 --> 00:09:22.240]   Do you want to build a logic for your own chunking strategy? Or do you want to just leverage some of the things which are out of the box?
[00:09:22.240 --> 00:09:28.080]   Such as if you have complex tables and stuff, you can use hierarchical chunking, semantic chunking.
[00:09:28.080 --> 00:09:35.120]   But then you would say, yeah, that's good money, but sometimes we need the custom logic for chunking. So you can actually do that.
[00:09:35.120 --> 00:09:45.600]   And then you can augment the prompt, you would need to vectorize it, you can select a particular foundation model, embeddings model for creating the embeddings.
[00:09:45.600 --> 00:09:58.720]   And we provide you the choice of using which vector store to store your embeddings. Once all that has been set up, the data ingestion is set up, the incremental updates to the data is set up, because that's what knowledge base brings out of the box.
[00:09:58.720 --> 00:10:07.200]   And then you can do that. You don't have to write that custom logic, right? Once that is all set up, what do you need? You need APIs to retrieve the information, right?
[00:10:07.200 --> 00:10:18.080]   So when I say retrieve, there is actually a retrieve API using which you can retrieve the similar content. And then when you are saying, I'm doing the search.
[00:10:18.080 --> 00:10:28.640]   Yeah, semantic search is good. But how do I optimize on search? So there is hybrid search. So we provide you those options and you can pass it as parameters rather than implementing it on your own.
[00:10:28.640 --> 00:10:37.120]   Right? And now that we have established on how this retrieve API works, you can augment it with a model and then get the response back.
[00:10:37.120 --> 00:10:58.560]   But there are so many different techniques like re-ranking, post-processing, query decomposition. So we have another API, which we call retrieve ancient rate, which can do everything out of the box, as the name suggests, and also provide you with controls such as, oh, I want re-ranking, I want query decomposition. So all you have to do is pass in the package.
[00:10:58.560 --> 00:11:03.040]   So if you have the right parameters, if you have the right parameters, if you have complex queries, it can handle that.
[00:11:03.040 --> 00:11:08.960]   Okay, so now we have the RAG application, we have processed our data, we have the RAG application.
[00:11:08.960 --> 00:11:16.320]   But remember, I talked about the guardrails, right? We need to generate responses responsibly, right?
[00:11:16.320 --> 00:11:30.800]   So that's where Amazon bedrock guardrails provides you with so many features. And with this limited time, I cannot go into each and every feature. But think of it, we are taking example of a contextual based chatbot, right?
[00:11:30.800 --> 00:11:51.280]   I want the users or the information that is being presented to my end user to not have the PII, right? Or maybe not have any keywords, which are not good, because sometimes models can say stuff that they are not supposed to, right?
[00:11:51.280 --> 00:11:57.760]   In a casual coffee chat, that's okay, but not in a formal setting when you are being recorded, right?
[00:11:57.760 --> 00:12:13.120]   So that holds the same for our models as well. So that's where Amazon bedrock guardrails comes into play. You can create like your own policy, you can define your own custom guardrails, give examples of what is not to be shared,
[00:12:13.120 --> 00:12:27.040]   even ground your responses, reduce hallucinations, and then figure out how your users are interacting when they are triggered because everything is logged. And you can identify your user patterns as well with that, right?
[00:12:27.040 --> 00:12:42.480]   So now we have this chatbot, right? Bear with me, just visualize it. You have established the data processing using BDA, you have established a RAG application using Amazon bedrock knowledge bases, and you have created guardrails, and you have integrated that with
[00:12:42.480 --> 00:13:11.840]   with your knowledge bases because there is a native integration. So you would think that, yeah, I'm all set, right? Of course, you're all set. But how about the coconuts that we talked about, right? They have to come into play because we mentioned that. So we will talk about coconuts. But before that, I was supposed to actually transition it when I say your application is ready. So now I'd say your application is ready, and then you have images, and it's able to give you the responses.
[00:13:11.840 --> 00:13:23.840]   So you have the responses and search back in the form of the images, right? You have ingested the documents, so everything is ready. You're getting the responses back. But yes, now let me come back to the coconuts.
[00:13:23.840 --> 00:13:41.200]   So yeah, the dance. I like the dancing coconuts, but let's derive meaning out of it. So far, we have been talking about data processing, how data is important, how which bedrock features can help. And now coconuts? Yes, because that
[00:13:41.200 --> 00:14:03.200]   Because that is one thing that I want you to remember when you get out of this room, because coconuts are super important, and you will see how. So actually what happens is a lot of people have talked with me about the best practices of building rag applications.
[00:14:03.200 --> 00:14:21.200]   And these are not just for the rag applications. And these are not just for the rag applications, actually. Some of these concepts or most of these concepts can be extended to other generative AI applications as well. Right? So we'll talk about that. So I want to, you know, have some time to go into this, because this is important.
[00:14:21.200 --> 00:14:40.200]   So now you have this rag application, but remember, we started with the data, and we talked about how chunking strategy is so important. Right? And having the right strategy will make the difference in the accuracy of the generated responses.
[00:14:40.200 --> 00:15:00.200]   So this is an important step. Right? But this is only a step. The second part is optimization. I talked about re-ranking, I talked about parsing, hybrid search, but there are so many other techniques like query reformulation, decomposition, you need to understand how to optimize my application.
[00:15:00.200 --> 00:15:13.200]   But tell me one thing. Can you optimize without knowing what is wrong with your application? Can you do that? Any raise of hands? No, right? I can see people nodding heads, so I'll take no.
[00:15:13.200 --> 00:15:29.200]   So we cannot, because we need to evaluate our application. So we will come to evaluation, because before evaluation is we have to see what's going on. And also, when we are talking about optimization, one is the optimizing the accuracy,
[00:15:29.200 --> 00:15:59.200]   the second is optimizing the cost. Right? And also the latency. How do we do that? Because these are the three pillars of any generative application. Performance, latency, cost. Right? So how do we do that? One way of doing that is caching your results. So you can use semantic cache, which is caching. Why semantic? Because in the generative AI world, we don't have always the exact
[00:15:59.200 --> 00:16:06.200]   exact, deterministic questions. Neither the deterministic responses up to a certain extent, but not in the exact
[00:16:06.200 --> 00:16:16.200]   wordings. So if we have to do it, what we are looking in our cache is not the exact question, but if similar questions have been asked, I don't need to go and invoke my
[00:16:16.200 --> 00:16:26.200]   foundation model. That will charge me money. Right? And that's number one. Second, that will also, because it will take time for the model to
[00:16:26.200 --> 00:16:33.200]   synthesize, it will add latency. Right? So we need to take care of both those things. That's why semantic caching, similar questions,
[00:16:33.200 --> 00:16:55.200]   quickly retrieve it, if this has been asked before. So now we have got three things. The second is observability. We need to see what's going on. Right? That's where you need to log everything, user queries, retrieval hits, model responses, because that's your only way how you can monitor your application to improve it.
[00:16:55.200 --> 00:17:24.200]   So that's what we are doing with observability. So earlier when my, you know, customers used to ask me about observability or best practices, I would say, you know, observability is the critical component. But now I say, please don't go into production or even do a pilot without observability. How will you troubleshoot? How will you improve? How will you figure out what's going on in the application?
[00:17:24.200 --> 00:17:33.200]   What's going on in the application if somebody complains, right? So you need observability. But now when we are talking about observability, now we know we have this additional data.
[00:17:33.200 --> 00:17:40.200]   What are we going to do with it? We have to do something with it. We need to evaluate it. Right? We need to figure out based on my application. Like for RAG application, we have context relevance, because if my context is not relevant, my search results are not good, it doesn't make sense for me to put them in front of the model and pay the money. And, you know, because everything has a cost associated with that, just to get a bad response. So you know, we have this additional data.
[00:17:40.200 --> 00:17:49.200]   We have this additional data. We have this additional data. We have this additional data. We have this additional data. We need to evaluate it. We need to evaluate it. Right? We need to figure out based on my application.
[00:17:49.200 --> 00:18:04.200]   We need to evaluate it. And we need to evaluate it. Right? Because if my context is not relevant, my search results are not good, it doesn't make sense for me to put them in front of the model and pay the money. And, you know, because everything has a cost associated with that, just to get a bad response.
[00:18:04.200 --> 00:18:20.200]   I would first evaluate my search results. If my search results are good, then only I'm going to augment my prompt and give it to the model. Right? So those are the common things that we sometimes, because we are, you know, we are quickly doing everything, we forget about it.
[00:18:20.200 --> 00:18:32.200]   So we have to rethink and evaluate our thinking as well as our application. So that's super important. But if you have a summarization use case, you can have metrics related to summarization. Right?
[00:18:32.200 --> 00:19:01.200]   So that's why I was saying like these coconut is actually, coconuts are good. They're good for other applications as well. And then never go blind. So we have talked about that. But what are we going to do? Let's say in our evaluation, something happened, we figured it out, we need to update. We need to update what? Sometimes our data, because if our data is stale, our answers are stale. Sometimes we have to update our strategy. So again, coming back to optimization, right?
[00:19:01.200 --> 00:19:18.200]   And once you have done the updates, please don't feel that you are done and you have updated, it's all good. You need to test again. So one is you are evaluating your application, you have updated it, but then you also need to have a test suite.
[00:19:18.200 --> 00:19:42.200]   Because whenever you have a test suite, because whenever you are doing this update, these evaluations have to be automatic. And if you have a defined path on how you are creating this test suite, the chances of you going wrong in your production application reduces. And the chances that you have a high quality application out there in production increases by many fold.
[00:19:42.200 --> 00:19:54.200]   So test. So test. And once you have tested and tested and tested your application, you're ready to crack your coconut. And that's how you will scale. So not just the coconut, we need coconuts.
[00:19:54.200 --> 00:20:03.200]   And once you have cracked your coconuts, you can decorate it and you can have your application into production and bear the fruits of success.
[00:20:03.200 --> 00:20:04.200]   And once you have tested, you can decorate it and you can use it.
[00:20:04.200 --> 00:20:04.200]   And once you have tested, you can use it.
[00:20:04.200 --> 00:20:04.200]   And once you have tested, you can use it.
[00:20:04.200 --> 00:20:05.200]   And once you have tested, you can use it.
[00:20:05.200 --> 00:20:05.200]   And once you have tested, you can use it.
[00:20:05.200 --> 00:20:06.200]   And once you have tested, you can use it.
[00:20:06.200 --> 00:20:07.200]   And once you have tested, you can use it.
[00:20:07.200 --> 00:20:08.200]   And once you have tested, you can use it.
[00:20:08.200 --> 00:20:09.200]   And once you have tested, you can use it.

