
[00:00:00.000 --> 00:00:03.260]   So what I want to do today the deep question I want to dive into today
[00:03:24.520 --> 00:03:30.640]   Conceivably in the future the deep life comm and the movement it represents could have some other voices on there as well
[00:03:31.120 --> 00:03:38.160]   Maybe another show on there other types of video series. So anyways, that is the deep life comm is the home for the podcast
[00:03:38.160 --> 00:03:42.840]   That's we're gonna find pages for every episode. That's where you can watch videos without having to see
[00:03:42.840 --> 00:03:44.760]   YouTube
[00:03:44.760 --> 00:03:50.000]   Recommendations. Yes, that looks good. Yeah. Yeah, so I'm gonna have to just see kind of is the mastermind behind
[00:03:50.000 --> 00:03:52.080]   Keeping it humming
[00:03:52.080 --> 00:03:56.240]   But it seems like it's working great. Like we have all the episodes are in here now or something like this
[00:03:56.240 --> 00:03:59.320]   Yeah, pretty big archive. We might in the future add
[00:03:59.320 --> 00:04:04.160]   Transcripts start adding transcripts to pages as we go forward as well. We haven't done that yet
[00:04:04.160 --> 00:04:08.360]   But when we do that's where to live. Mm-hmm. Each episode has its own has its own page
[00:04:08.360 --> 00:04:14.740]   We got start producing more video though. Yeah, I like video I get suspicious about YouTube sometimes
[00:04:14.740 --> 00:04:16.740]   So it's nice to have a place people can go
[00:04:16.740 --> 00:04:21.400]   To watch those videos if they don't want to actually be in the the YouTube universe
[00:04:21.400 --> 00:04:27.480]   Yeah, though. We're always happy to have you at YouTube youtube.com slash counterpart media. That is the YouTube page for all these
[00:04:27.480 --> 00:04:31.520]   Videos of these episodes and our clips are housed
[00:04:31.520 --> 00:04:40.060]   All right, so you may have noticed or you may notice if I drag a little bit in today's episode. I was sick this week
[00:04:40.060 --> 00:04:41.380]   You know
[00:04:41.380 --> 00:04:44.540]   Jesse knows this because we actually had to reschedule this taping because I was
[00:04:44.540 --> 00:04:48.020]   Too sick to do it on our the original time
[00:04:48.560 --> 00:04:52.840]   That we were going to record but being sick and this way I want to bring this up at the top of the show
[00:04:52.840 --> 00:04:56.280]   The day when I was the sickest which was on
[00:04:56.280 --> 00:04:58.600]   Wednesday
[00:04:58.600 --> 00:05:05.040]   Of this past week. I had an interesting epiphany. So I was really run down as nauseous my head hurt. I
[00:05:05.040 --> 00:05:07.960]   Couldn't read books. I
[00:05:07.960 --> 00:05:13.120]   Tried I couldn't concentrate. I just wanted I was like I can't follow this but I could
[00:05:14.160 --> 00:05:16.160]   read the internet on my phone and
[00:05:16.160 --> 00:05:18.380]   I believe and this is a
[00:05:18.380 --> 00:05:25.400]   Precise quantification. I believe I read on that day and I'm looking up the number here all of the Internet
[00:05:25.400 --> 00:05:32.140]   And I said that's the right way of quantifying it, but it stuck with me for a second. My mind was run down
[00:05:32.140 --> 00:05:34.140]   I was sick. I was at a
[00:05:34.140 --> 00:05:37.080]   Fraction of my energy. I was still able to do stuff online
[00:05:37.080 --> 00:05:40.440]   I could read stuff online, but I couldn't read books and it occurred to me
[00:05:40.440 --> 00:05:43.320]   There's something different going on
[00:05:44.040 --> 00:05:45.680]   in book reading
[00:05:45.680 --> 00:05:53.120]   Something much more demanding than when I'm scrolling on my phone and this is honestly what I was doing in
[00:05:53.120 --> 00:05:57.000]   The comment section on the talk NATS comm
[00:05:57.000 --> 00:06:03.760]   Web blog which has the the best online discussion community on the Internet for the Washington Nationals baseball team
[00:06:03.760 --> 00:06:09.080]   Those are interesting guys. I could read that I could read Mark Zuckerman's articles on massin
[00:06:09.600 --> 00:06:15.140]   About you know, what was going on with Josiah Gray's delivery couldn't read even
[00:06:15.140 --> 00:06:20.040]   Relatively straightforward books. So then I came across this was on my mind. I'm starting a little bit better
[00:06:20.040 --> 00:06:22.800]   fortuitously one of you my
[00:06:22.800 --> 00:06:28.680]   listeners sent to my interesting account newport.com address an article that got right to the heart of this and I'm gonna bring this up on
[00:06:28.680 --> 00:06:30.280]   The screen so if you're watching
[00:06:30.280 --> 00:06:32.280]   at youtube.com
[00:06:32.280 --> 00:06:33.600]   Cal Newport media
[00:06:33.600 --> 00:06:38.360]   This is episode 238 or if you're watching at the deep life calm this article
[00:06:38.360 --> 00:06:43.360]   I have a here up on the screen is called success and circuit lies. How do we cultivate deep reading?
[00:06:43.360 --> 00:06:49.320]   Processes in a digital age. It's from February and it's written by Marianne Wolfe
[00:06:49.320 --> 00:06:53.560]   Marianne Wolfe used to be at Tufts now. She's moved to a new center at UCLA
[00:06:53.560 --> 00:06:59.200]   She is an expert on the neuroscience of reading in particular. She's done a lot of breakthrough research on
[00:06:59.200 --> 00:07:07.360]   Dyslexia what actually happens in the brain with dyslexia? She wrote a great public-facing book called Proust and the squid which I really recommend
[00:07:08.120 --> 00:07:12.360]   this article had in it a lot of great insights about
[00:07:12.360 --> 00:07:15.320]   why reading is a
[00:07:15.320 --> 00:07:17.920]   special or exceptional activity
[00:07:17.920 --> 00:07:25.840]   for human beings why it does something for us that other types of consumption and media doesn't and why we should be worried about losing it and
[00:07:25.840 --> 00:07:31.200]   Be eager to fight to get more of it. These points were all embedded in this article
[00:07:31.200 --> 00:07:33.200]   So let's look at some quotes from this article
[00:07:34.160 --> 00:07:35.680]   There's a lot of different things going on here
[00:07:35.680 --> 00:07:40.200]   I pulled some quotes out of here not in their order that they appeared from the order that I think they're important
[00:07:40.200 --> 00:07:44.800]   To our discussion. So let me grab the first quote. I want to start with here. All right, here is
[00:07:44.800 --> 00:07:50.480]   Marianne and again, I have this on the screen if you're at youtube.com slash Calum port media
[00:07:50.480 --> 00:07:54.520]   This is episode 238. All right, so let's start with this quote
[00:07:54.520 --> 00:07:57.960]   No human was born to read
[00:07:59.320 --> 00:08:06.900]   Literacy requires a new plastic brain circuit plasticity allows the circuit to adapt to any writing system and any medium that catches that
[00:08:06.900 --> 00:08:12.320]   Circuits reflect the mediums character characteristics, whatever they are. So we'll start with this point
[00:08:12.320 --> 00:08:18.720]   It's a big point. It was made in Proust and the squid humans aren't meant to read. It's a highly unnatural activity. We hijack
[00:08:18.720 --> 00:08:24.960]   Significant portions of our brain that were originally evolved to do other things and we retrain them to do this reading
[00:08:25.320 --> 00:08:29.480]   This reading activity that humans invented. It's a cultural innovation
[00:08:29.480 --> 00:08:33.760]   that's relatively recent in the history of our species, but what Marianne is saying here is
[00:08:33.760 --> 00:08:40.240]   We're reshaping our brain to this new activity. So specific the specifics of this activity matter
[00:08:40.240 --> 00:08:44.800]   So what we're reading how we're reading it what format we're reading in
[00:08:44.800 --> 00:08:52.120]   Actually can have an impact on how the brain is shaped. All right second quote. I want to read here
[00:08:52.880 --> 00:08:59.040]   This is now about let's dive into how different mediums can affect how our brain is shaped around reading
[00:08:59.040 --> 00:09:01.960]   the medium of print
[00:09:01.960 --> 00:09:06.520]   Advantages slower more attention and time requiring processes
[00:09:06.520 --> 00:09:10.080]   the digital medium by contrast
[00:09:10.080 --> 00:09:13.000]   advantages fast processes and multitasking
[00:09:13.000 --> 00:09:17.040]   Both well suited for skimming information's daily
[00:09:17.040 --> 00:09:19.600]   bombardments
[00:09:19.600 --> 00:09:25.960]   Marianne has a little interesting piece here where she says stop for a moment and think about that sentence you just read
[00:09:25.960 --> 00:09:31.200]   Did you really read the whole sentence or did you skim and bounce around some words?
[00:09:31.200 --> 00:09:35.820]   Because as she goes on to clarify that's really how we engage with
[00:09:35.820 --> 00:09:41.280]   Words on screens and web browsers on social media, etc. We skim we jump around
[00:09:41.280 --> 00:09:46.040]   There's things called Z patterns and F patterns will read the first line the middle section
[00:09:46.040 --> 00:09:52.040]   We our eyes jump around we feel like we're going fast, but we're missing a lot of information. So
[00:09:52.040 --> 00:09:55.880]   different types of reading digital verse physical
[00:09:55.880 --> 00:09:59.080]   requires different types of processes
[00:09:59.080 --> 00:10:02.520]   So does this matter? Well, let's see
[00:10:02.520 --> 00:10:08.060]   Here's what Marianne says to skim to inform as we do when we read on digital
[00:10:08.060 --> 00:10:14.360]   Is the new norm for reading what goes missing? However, our deep reading processes
[00:10:14.920 --> 00:10:21.960]   Which require a quality of attention increasingly at risk in a culture and on a medium in which constant distraction?
[00:10:21.960 --> 00:10:25.400]   bifurcates our attention these processes include
[00:10:25.400 --> 00:10:31.740]   Connecting background knowledge new information making analogies drawing inferences examining truth value
[00:10:31.740 --> 00:10:36.640]   passing over into the perspectives of other expanding our empathy and knowledge and
[00:10:36.640 --> 00:10:38.920]   integration and
[00:10:38.920 --> 00:10:40.720]   critical analysis
[00:10:40.720 --> 00:10:46.280]   Here is the the key quote about summarizing all these things we get from reading a physical book
[00:10:46.280 --> 00:10:51.520]   Deep reading is our species bridge to insight and novel thought
[00:10:51.520 --> 00:10:54.200]   All right
[00:10:54.200 --> 00:10:57.080]   So let's think about what they're saying what what Marianne is saying here
[00:10:57.080 --> 00:10:59.920]   We have to reshape our brain to read
[00:10:59.920 --> 00:11:06.520]   if we're reading on a screen we tend to do what she calls skim to inform we jump around and
[00:11:07.840 --> 00:11:12.520]   See ideas try to get the gist of what's going on when we instead read on a physical page
[00:11:12.520 --> 00:11:16.800]   We instead are prioritizing processes that give us all of these
[00:11:16.800 --> 00:11:19.000]   all of these
[00:11:19.000 --> 00:11:26.760]   Advanced human cognition behaviors as we get the analogies inferences truth value passing over perspectives empathetic putting ourselves into the shoes of others
[00:11:26.760 --> 00:11:31.600]   integration critical analysis the things that she describes as our bridge to insight and
[00:11:31.600 --> 00:11:34.600]   novel thought as
[00:11:35.120 --> 00:11:37.120]   Marianne wolf goes on to
[00:11:37.120 --> 00:11:45.240]   summarize those traits we get from physical books, but not digital to deploy these interactive processes
[00:11:45.240 --> 00:11:53.040]   requires nearly automatic decoding skills and purposeful attention that moves as William James once put it from
[00:11:53.040 --> 00:11:55.760]   flight to purchase for thought
[00:11:55.760 --> 00:12:02.960]   Imperceptible pauses and reading can lead to lightning speed leaps in our thoughts furthest reaches by contrast when we skim
[00:12:03.200 --> 00:12:05.200]   we literally
[00:12:05.200 --> 00:12:08.120]   physiologically don't have time to think or
[00:12:08.120 --> 00:12:11.440]   feel
[00:12:11.440 --> 00:12:15.960]   So this is a big a big idea that's being made here
[00:12:15.960 --> 00:12:21.240]   slowly reading full sentences one after a time as we do when we look at a physical page is
[00:12:21.240 --> 00:12:27.400]   Supporting and kicking off all of these incredibly advanced deep thinking
[00:12:27.400 --> 00:12:31.560]   processes that are at the key of what makes humans human and
[00:12:32.120 --> 00:12:35.480]   It's not just being able to think clear. It's also being able to be more empathetic
[00:12:35.480 --> 00:12:41.560]   It's being able to integrate the ideas you're seeing into other ideas. What she's emphasizing here is just the ability to pause
[00:12:41.560 --> 00:12:47.000]   And just think for a moment about that sentence before you move on to the next allows you to integrate it
[00:12:47.000 --> 00:12:51.560]   Successfully to existing structures of thought therefore growing a much more sophisticated
[00:12:51.560 --> 00:12:57.320]   Understanding of the world all of this comes from the pace of reading the style of reading that happens on physical pages
[00:12:57.320 --> 00:13:01.600]   On a screen on a phone on an iPad. We don't get that we're skimming around
[00:13:01.600 --> 00:13:05.720]   And we literally physiologically don't have time to think or feel
[00:13:05.720 --> 00:13:08.840]   So we're not able to integrate the thoughts for reading
[00:13:08.840 --> 00:13:15.760]   We're not able to examine them successfully for truth value or understand how they fit in or challenge existing schemas
[00:13:15.760 --> 00:13:21.520]   We do not have the physiological or psychological space for empathy for the other people. So what we look for is
[00:13:21.520 --> 00:13:23.960]   Arousal
[00:13:23.960 --> 00:13:31.440]   Hey, this makes me mad. This makes me laugh. This makes me, you know excited about something. This makes me, you know scared
[00:13:32.280 --> 00:13:36.960]   Emotional arousal kind of captures our attention and we look for keywords about do I like this person or not?
[00:13:36.960 --> 00:13:41.680]   Is this on my team do I grew this idea or not? It's a primitive engagement with information
[00:13:41.680 --> 00:13:48.040]   Does this affect other types of thinking so if we spend most of our time reading in a
[00:13:48.040 --> 00:13:55.760]   Digital screen instead of reading on a physical screen will that impact the way we think not just when we're engaging with text
[00:13:55.760 --> 00:13:59.280]   But when we're trying to do other type of thinking in other aspects of our life
[00:13:59.480 --> 00:14:03.440]   Here the article provides evidence that yes, the answer there is yes
[00:14:03.440 --> 00:14:08.960]   Marianne points towards a recent study that was published in JAMA Pediatrics
[00:14:08.960 --> 00:14:14.160]   By a group of researchers from Singapore McGill and Harvard. It looked at over 500 young children
[00:14:14.160 --> 00:14:17.080]   what they found is
[00:14:17.080 --> 00:14:20.080]   increased screen time at a young age
[00:14:20.080 --> 00:14:27.360]   Was associated with weaker development of the brain regions responsible for the executive function skills that cover attention impulse
[00:14:27.880 --> 00:14:30.560]   inhibition and some aspects of memory
[00:14:30.560 --> 00:14:33.520]   So they're not getting
[00:14:33.520 --> 00:14:35.920]   the cognitive training
[00:14:35.920 --> 00:14:43.360]   That book reading in physical books gives you and without the training you're not developing those skills. So it's not just
[00:14:43.360 --> 00:14:50.680]   The act of reading itself while you're reading allows you to do this deeper thinking it's cognitive strength training
[00:14:50.680 --> 00:14:54.540]   It's making those parts of your brains able to do that type of thinking better in the future
[00:14:54.540 --> 00:14:57.200]   When you're doing other cognitive activities
[00:14:57.800 --> 00:15:01.080]   Now is this just for young kids? Well, no Marianne goes on to say
[00:15:01.080 --> 00:15:05.760]   The same sentence she's referencing a sentence that summarized what I just said
[00:15:05.760 --> 00:15:09.640]   Could as easily describe the experience of older children and indeed
[00:15:09.640 --> 00:15:12.400]   adults
[00:15:12.400 --> 00:15:14.720]   So to me
[00:15:14.720 --> 00:15:17.680]   These are important points
[00:15:17.680 --> 00:15:22.480]   Reading a physical book in a slow deliberative and careful manner
[00:15:23.920 --> 00:15:29.320]   Sharpens a type of innovative empathetic creative and critical thinking that is otherwise hard for humans to access
[00:15:29.320 --> 00:15:35.200]   It requires us to literally rewire our brain to do that type of thinking and without a concerted effort
[00:15:35.200 --> 00:15:37.320]   We will not develop those skills
[00:15:37.320 --> 00:15:46.440]   If we avoid the slow and deliberate reading of actual physical books if we mainly consume information on screens constantly keeping up
[00:15:46.440 --> 00:15:52.240]   With the news on Twitter looking at what's going on in Instagram jumping around
[00:15:53.040 --> 00:15:55.040]   highly engaging
[00:15:55.040 --> 00:16:01.400]   Websites or following links on social media even very highly educated people will do this and convince themselves. I'm really up on things
[00:16:01.400 --> 00:16:02.240]   I know what's going on
[00:16:02.240 --> 00:16:06.360]   I'm jumping back and forth between these sub stack quotes that I saw quoted in other tweets
[00:16:06.360 --> 00:16:13.160]   You feel like you're really engaged, but you're not doing the type of reading that supports innovative empathetic creative and critical thinking
[00:16:13.160 --> 00:16:16.600]   so what happens is the sophistication with which you understand and
[00:16:16.960 --> 00:16:23.440]   Later make sense of information is decreased and your ability to apply sophisticated thinking in other contexts is also
[00:16:23.440 --> 00:16:26.360]   atrophied
[00:16:26.360 --> 00:16:31.840]   Avoiding books is like being in ancient Sparta and avoiding doing any physical training
[00:16:31.840 --> 00:16:39.680]   You're going to be bad at the main activity that your civilization prioritizes for the Spartans. It was physical war for us as cognition
[00:16:39.680 --> 00:16:45.720]   You're making yourself much worse at that if you avoid physical books now if we think about this
[00:16:46.840 --> 00:16:48.800]   even more
[00:16:48.800 --> 00:16:50.480]   literally and
[00:16:50.480 --> 00:16:54.080]   We we go with this idea that wolf pushes
[00:16:54.080 --> 00:17:01.640]   That training our brain to do this type of innovative and empathetic and creative and critical thinking is something that's unnatural
[00:17:01.640 --> 00:17:04.560]   We have to hijack huge portions of our brain and doing this very difficult
[00:17:04.560 --> 00:17:10.240]   Unnatural activity that is sitting there and holding a codex and trying to decode the sentences that we have to do something incredibly
[00:17:10.240 --> 00:17:13.880]   unnatural again and again to train our brains to be this higher order of human if
[00:17:13.960 --> 00:17:17.160]   We're not doing that if we're substituting that time with screens
[00:17:17.160 --> 00:17:23.520]   We are in a literal sense evolving our brain backwards towards our pre literate tribal selves
[00:17:23.520 --> 00:17:29.640]   we're going backwards the type of brains we had before the advent of literacy and
[00:17:29.640 --> 00:17:36.640]   The impact that had on the plastic formation of how our brain actually functions. I spent all day
[00:17:36.640 --> 00:17:43.500]   Last Wednesday sick on the internet and here was my just my conclusion. It's a terrible place
[00:17:44.500 --> 00:17:47.900]   Seriously, there's no empathy. The thinking is simplistic
[00:17:47.900 --> 00:17:50.460]   there is a
[00:17:50.460 --> 00:17:55.820]   Automatic knee-jerk meanness to any perceived outsiders. In other words if you're bouncing around
[00:17:55.820 --> 00:18:02.540]   Twitter and social media and sub stack fights going back and forth. It's a digital paleolithic tribe
[00:18:02.540 --> 00:18:09.900]   It's exactly what wolf would predict if you don't do this effort that makes us more than our what we used to be
[00:18:09.900 --> 00:18:12.500]   we're gonna go right back to what we used to be and
[00:18:13.380 --> 00:18:17.300]   When I see Twitter today or what ten years ago would have been
[00:18:17.300 --> 00:18:20.460]   Tumblr fighting with 4chan
[00:18:20.460 --> 00:18:23.020]   And before that, you know, who knows?
[00:18:23.020 --> 00:18:27.180]   What I see there is the human brain going backwards
[00:18:27.180 --> 00:18:33.060]   That it's going back to where it's comfortable. Where's my tribe? How does this make me feel?
[00:18:33.060 --> 00:18:37.180]   Who's the bad guy? I want to feel something big right now
[00:18:37.180 --> 00:18:39.860]   And when we do that we get away from
[00:18:40.900 --> 00:18:43.140]   What characterizes and distinguishes?
[00:18:43.140 --> 00:18:48.900]   Humans the modern human from any other any other animal or beast that's ever come before
[00:18:48.900 --> 00:18:53.960]   You know Aristotle identified in the Nicomachean ethics
[00:18:53.960 --> 00:19:00.820]   concentrated deep thought the ability to sit here and manipulate ideas just within our head as the essence of
[00:19:00.820 --> 00:19:04.820]   What it means to be human what separates humans are teleological
[00:19:04.820 --> 00:19:06.980]   endpoint
[00:19:06.980 --> 00:19:14.300]   So to voluntarily move backwards from that is something that we should be cautious of. All right, so I'm being pretty philosophical here. Let's get more concrete
[00:19:14.300 --> 00:19:22.540]   What is my recommendation for you know, my listeners here to the show? I think we need to think about a serious reading habit as
[00:19:22.540 --> 00:19:27.060]   an exceptional activity one that you need to isolate and
[00:19:27.060 --> 00:19:35.020]   Support and really prioritize in your life no matter what else you think is important in your personal definition of a deep life
[00:19:35.020 --> 00:19:39.940]   I'm increasingly convinced the serious reading of good books needs to be in there
[00:19:39.940 --> 00:19:42.660]   So I have seven suggestions. I want to give
[00:19:42.660 --> 00:19:47.220]   seven suggestions about integrating real reading
[00:19:47.220 --> 00:19:49.540]   into your life
[00:19:49.540 --> 00:19:51.180]   All right. Number one
[00:19:51.180 --> 00:19:52.900]   Always be reading
[00:19:52.900 --> 00:19:58.620]   Something challenging. I don't care if it's fiction or nonfiction, but something that's challenging
[00:19:58.620 --> 00:20:03.820]   ideas you have to grapple with characters whose psychological reality is
[00:20:04.460 --> 00:20:08.100]   Difficult or pushes you into new
[00:20:08.100 --> 00:20:12.820]   Psychological or emotional places like in fiction but challenging number two
[00:20:12.820 --> 00:20:15.380]   read real books
[00:20:15.380 --> 00:20:17.380]   Not on a phone not on an iPad
[00:20:17.380 --> 00:20:19.060]   Kindle, I think is okay
[00:20:19.060 --> 00:20:24.420]   We're going to get into this later with a question later in the the program with a good collection of questions coming up
[00:20:24.420 --> 00:20:27.660]   But for now, I'll just say Kindle's okay physical books are okay
[00:20:27.660 --> 00:20:33.380]   Don't read on your phone. Don't read on your iPad wolf goes into this in this article. It's where the other distractions are
[00:20:33.820 --> 00:20:37.420]   And you're gonna read in those old ways if you're trying to read on those same devices
[00:20:37.420 --> 00:20:39.420]   You're gonna read in the skim style number three
[00:20:39.420 --> 00:20:43.420]   Read when possible and awesome awe-inspiring locations
[00:20:43.420 --> 00:20:47.460]   I don't like this mindset that reading is a take your cod liver oil
[00:20:47.460 --> 00:20:53.300]   Type of grin and bear it ice bath type self-flagellation behavior make it awesome
[00:20:53.300 --> 00:20:55.220]   It's sunny out
[00:20:55.220 --> 00:20:59.960]   I'm gonna go to a park and sit on a bench or hike into the woods for 20 minutes and bring a book by you
[00:20:59.960 --> 00:21:06.880]   Know Thoreau read at a coffee shop in the morning or as I would occasionally do when I lived in Beacon Hill for a while
[00:21:06.880 --> 00:21:08.600]   And I was at MIT
[00:21:08.600 --> 00:21:13.760]   Go to a pub. That's it. We the British are great at this Americans are terrible at this
[00:21:13.760 --> 00:21:18.940]   The the art of being a grad student that has a book that's a little bit too hard
[00:21:18.940 --> 00:21:21.100]   but you have a Heffa wise in in a
[00:21:21.100 --> 00:21:23.640]   back corner of a pub
[00:21:23.640 --> 00:21:29.300]   It's great. It opens up your great. I'm excited to read this feels like the right place to be doing it
[00:21:29.940 --> 00:21:31.480]   Take your time is number four
[00:21:31.480 --> 00:21:35.500]   Take your time when you read go slow seek to understand if you're reading a complicated book
[00:21:35.500 --> 00:21:40.180]   Use secondary sources to push yourself. So read books about the book you're reading
[00:21:40.180 --> 00:21:45.160]   It'll give you things to look forward to push your understanding and you'll come back to the book and be able to come at it
[00:21:45.160 --> 00:21:46.660]   more sophisticated
[00:21:46.660 --> 00:21:51.580]   Again, I'm not a big believer of just immerse yourself in a complicated thing and and you will just grow
[00:21:51.580 --> 00:21:53.580]   No, don't just grab Ulysses
[00:21:54.500 --> 00:22:01.400]   Read a book about Ulysses. So you have some understanding of what was going on with modernist English literature in this point
[00:22:01.400 --> 00:22:03.520]   Why is this so important? What are you looking for?
[00:22:03.520 --> 00:22:12.680]   Number five the quantity of books finished in the reading life is less important than the time spent actually reading
[00:22:12.680 --> 00:22:15.600]   so reading regularly
[00:22:15.600 --> 00:22:21.840]   Slowly and deliberately is what matters the quantity of books that translates to will depend on two things one
[00:22:21.840 --> 00:22:23.680]   happenstance
[00:22:23.680 --> 00:22:29.760]   The length of the books you happen to be reading and to just has your skill increases as you get better at reading
[00:22:29.760 --> 00:22:31.760]   You might finish books faster
[00:22:31.760 --> 00:22:34.080]   six keep notes
[00:22:34.080 --> 00:22:36.160]   keep notes when you are
[00:22:36.160 --> 00:22:41.440]   Tackling an idea that's important. Maybe you've read multiple books on it start a document somewhere keep notes
[00:22:41.440 --> 00:22:45.560]   This helps you practice puts you in the mindset of I'm not just reading the sentences
[00:22:45.560 --> 00:22:49.120]   I want to actually try to extract information from these sentences. You're gonna slow down
[00:22:49.840 --> 00:22:56.720]   You're going to allow those purchase for thought that William James talked about that pause in between that allows you to say, hmm
[00:22:56.720 --> 00:23:03.400]   What was said here reminds me of what was said there and it changes the way I think about what I wrote the other day
[00:23:03.400 --> 00:23:06.600]   That's where real interesting synthesis happens. And finally
[00:23:06.600 --> 00:23:14.880]   The support all of this reading when it comes to your life with screens, especially phones and iPads try to reduce
[00:23:15.840 --> 00:23:19.520]   The use of screens as a default response to boredom
[00:23:19.520 --> 00:23:24.500]   That should be a plan thing. It's okay. If you say tonight, I'm gonna watch a show
[00:23:24.500 --> 00:23:29.040]   that I'm going to stream or there is a baseball game today and
[00:23:29.040 --> 00:23:36.040]   At breakfast I am going to check on this site that site in this site to get the analysis of what happened there
[00:23:36.040 --> 00:23:41.060]   That's perfectly fine. What you want to avoid is when I'm bored whip this out. Hey
[00:23:42.000 --> 00:23:47.320]   Tick-tock algorithm or Twitter social dynamic show me some stuff that makes me feel big
[00:23:47.320 --> 00:23:51.860]   That you want to avoid you want your brain to not crave that so much
[00:23:51.860 --> 00:23:56.000]   You want your brain to be more comfortable with not having the big feelings at all moments
[00:23:56.000 --> 00:23:58.000]   So that when it comes time to do deep reading
[00:23:58.000 --> 00:24:00.120]   It doesn't complain
[00:24:00.120 --> 00:24:02.180]   All right, so that's my advice. So here's my summary here
[00:24:02.180 --> 00:24:08.880]   The reading life is a deep life the screen life the screen filled life can be downright primitive
[00:24:08.880 --> 00:24:11.700]   Which one do you want?
[00:24:12.700 --> 00:24:14.700]   It's all about books Jesse
[00:24:14.700 --> 00:24:21.780]   So I like that deep dive because as you know, we like to do one theme on the show each week and
[00:24:21.780 --> 00:24:27.660]   So we have five questions coming up and they're all about reading. Yeah, so I'm excited about I love reading questions
[00:24:27.660 --> 00:24:31.540]   Yeah, I like it too. It's popular topic to a lot of people watch those types of videos
[00:24:31.540 --> 00:24:33.380]   They're always interested in the books you read each month
[00:24:33.380 --> 00:24:33.980]   Yeah
[00:24:33.980 --> 00:24:39.540]   so we got five good reading questions that I want to dive into from you my listeners before I do I want to briefly first
[00:24:39.540 --> 00:24:41.260]   mention a
[00:24:41.260 --> 00:24:47.260]   One of our favorite sponsors of the show and that is our friends over at Blinkist
