
[00:00:00.000 --> 00:00:19.440]   All right. Hello, everyone. I hope you have enough space.
[00:04:05.320 --> 00:04:13.320]   Any other languages? Spanish. Yes, we got some Spanish in there as well. That's good. So Portuguese, Spanish.
[00:04:13.320 --> 00:04:25.320]   Hungarian. Very good. I'm actually do we have Hungarian right now? We don't. Yes, but I think hopefully soon.
[00:04:25.320 --> 00:04:32.320]   So we're working on the version three of the multilingual models. And I do think we'll we'll need to double check.
[00:04:32.320 --> 00:04:40.320]   Not that I promise something wrong, but we might be able maybe not today, but maybe in a couple of weeks we can give you Hungarian.
[00:04:40.320 --> 00:04:54.320]   That's great. OK. Any other Mandarin? Hindi. Yeah. Huge population that speaks Hindi. Then again, India has.
[00:04:54.320 --> 00:05:02.320]   50 plus languages, I believe. So we're working on some adding some additional currently with Hindi and Tamil.
[00:05:02.320 --> 00:05:08.320]   So we're working on some additional languages there. OK. So we have a good mix that we can play around with.
[00:05:08.320 --> 00:05:14.320]   Cool. Yeah. If there's any other languages later, we can, you know, kind of explore those as well.
[00:05:14.320 --> 00:05:22.320]   Maybe one language that probably doesn't get spoken about often enough is barking.
[00:05:22.320 --> 00:05:29.320]   Actually, if you want to build applications for the 900 million dogs that are out there.
[00:05:29.320 --> 00:05:34.320]   I actually looked this up. You can use our model. So this is our most recent launch.
[00:05:34.320 --> 00:05:42.320]   Two months ago now, I believe that the newest model we launched. So maybe we can can have a little listen.
[00:05:42.320 --> 00:05:48.320]   The Dachshund is my favorite, actually.
[00:05:48.320 --> 00:05:50.320]   The Golden Retriever.
[00:05:50.320 --> 00:05:52.320]   A little bit more.
[00:05:52.320 --> 00:06:01.320]   A little bit more.
[00:06:01.320 --> 00:06:02.320]   A little bit more.
[00:06:02.320 --> 00:06:03.320]   A little bit more.
[00:06:03.320 --> 00:06:04.320]   Yeah.
[00:06:04.320 --> 00:06:05.320]   A little bit more.
[00:06:05.320 --> 00:06:06.320]   So we're going to have a great use case for you.
[00:06:06.320 --> 00:06:17.320]   Did anyone see this launch like two months ago? No? Yeah. You saw it? Yeah. The unfortunate thing is we launched it 1st of April, actually.
[00:06:17.320 --> 00:06:27.320]   And so everyone thought it was in April Fools. So the timing was a bit unfortunate on that one. But as you can see, you know, text to bark, it's very real.
[00:06:27.320 --> 00:06:35.320]   Now, in fact, it was an April Fools. So be careful when you play this to your dog. They might get offended.
[00:06:35.320 --> 00:06:44.320]   Because the context, we can't guarantee that it translates. But the actual sounds that you're hearing are generated by our sound effects model.
[00:06:44.320 --> 00:06:56.320]   So we do have a model. If you go to the app, there is this sound effects model here. And you can actually -- this sound effect was also created.
[00:06:56.320 --> 00:07:09.320]   But so truck reversing. Maybe that's a good one. You can click generate. And so basically what we do is we generate kind of four different samples for you that you can use.
[00:07:09.320 --> 00:07:25.320]   So, you know, not so interesting for your conversations per se. But like, you know, if you're creating video games, for example. I don't know if anyone is doing that. We might be having some internet. I hope we have internet.
[00:07:25.320 --> 00:07:41.320]   No? Okay. The internet is looking okay. So, yeah, not sure what's happening here. But so, for example, this was like a drum cowbell I generated recently.
[00:07:41.320 --> 00:07:57.320]   Actually, we do have a -- if you Google 11 labs sound board. We built this recently, which was -- which is pretty cool. So you can kind of loop -- it's basically like a drum machine. And you can get kind of the --
[00:07:57.320 --> 00:08:12.320]   sound effects. The drums are pretty nice as well. And, you know, they are mapped to like the keys on the keyboard. So you can -- you can play like --
[00:08:12.320 --> 00:08:25.320]   So that's pretty cool. And then you can add kind of new sound effects and stuff. You know, just to give you an idea of some of the things that we do.
[00:08:25.320 --> 00:08:42.320]   Now, obviously here, you know, we're talking -- we're talking about conversational AI agents. And so, specifically, if we kind of look at the different components that are involved in building conversational AI agents, we have the user who is speaking, you know, some language.
[00:08:42.320 --> 00:08:58.320]   And so we need to transcribe that speech into text. We then feed that into a large language model, which is kind of acting as the brain of, you know, our agent. So in our case, we currently don't build any intelligence models.
[00:08:58.320 --> 00:09:11.320]   So we partner with kind of the existing large language models providers. So like your GPT-4O, your Google, Gemini, what have you. And then this large language model, which will act as well.
[00:09:11.320 --> 00:09:26.320]   kind of the brain of your agent will generate a text output. And then we basically stream that text output back into speech. So that is roughly kind of the pipeline that we have for building conversational AI agents.
[00:09:26.320 --> 00:09:40.320]   Now, with that, there is a bunch of system tools that are built in. So for example, we have this language detection system tool, which facilitates the language switching that we're going to look at in a bit. We also have, you know, function calling, tool calling.
[00:09:40.320 --> 00:09:57.320]   So, you know, if you need to give access to kind of specific functionality to your agent, you can, you can do that here as well. And then, you know, there's different approaches. So like if you've seen open AI real time, for example, so this doesn't actually go through text, right?
[00:09:57.320 --> 00:10:12.320]   So it goes sound token to sound token, which has some benefits. But what we've seen, you know, for deploying conversational AI agents at scale, and really understanding, you know, what is kind of happening. So if you're going sound token to sound token,
[00:10:12.320 --> 00:10:21.320]   you're kind of flying blind, you're kind of flying blind a little bit. So, you know, you're trusting the model that sort of it actually replies intelligently.
[00:10:21.320 --> 00:10:30.320]   Whereas if you're going through text, you can have, you know, kind of better monitoring and sort of understanding what's what's going on in your conversation.
[00:10:30.320 --> 00:10:42.320]   So while we're also exploring, you know, kind of sound to sound for kind of the conversational AI agents, for now what we found works best is sort of this, this pipeline that we've built.
[00:10:42.320 --> 00:10:57.320]   And we deploy kind of all these models very close to each other to kind of bring down the latency as much as possible. Cool. And so now we can look at kind of the individual sort of components within that.
[00:10:57.320 --> 00:11:11.320]   So for example, for speech to text. So this is actually the most recent model we actually launched. You know, that wasn't an April Fools. And so this is our speech to text model.
[00:11:11.320 --> 00:11:28.320]   So our automatic speech recognition model, so ASR. And this works, you know, kind of benchmark leading across 99 different languages at the moment. So what this does, you know, you can see sort of the functionality that's built in there.
[00:11:28.320 --> 00:11:40.320]   There's, you know, word level timestamps, there's speaker diarization, there's audio event tagging. So if you want in your transcript, you know, cuffing, laughing, sort of some of these, you know, audio tags,
[00:11:40.320 --> 00:11:52.320]   tags in there, you can enable that as well. And it's all kind of within, you know, structured API responses, which is really nice. So what you can see here is for example, you know, we have a conference call.
[00:11:52.320 --> 00:12:10.320]   So what you can see here is as we're kind of playing this audio, we see that the model recognizes the different speakers, and kind of text them as speaker one, speaker two, and then we have the word level timestamp. So you see, as I play this,
[00:12:10.320 --> 00:12:28.320]   Jonas, four week timeline.
[00:12:28.320 --> 00:12:48.320]   you can highlight the different words, kind of, you know, word level here. So that's really, really useful. And, you know, obviously, this is available through the API. So actually, one thing I did, and you can try this out yourself, this is just available kind of for free to sort of demo it.
[00:12:48.320 --> 00:13:06.320]   So if you're using Telegram, I've built kind of this little Telegram bot where you can forward voice messages or videos to, you know, the Telegram bot, and then you, it automatically identifies, okay, what language is that? And it gives you back the transcript of that message.
[00:13:06.320 --> 00:13:22.320]   So, you know, you know this all too well, you're sitting in a meeting, and your grandmother sends you a voice message, and you don't know, oh, is this urgent? Is this important? So what you can do is, you can forward it to the bot, and very quickly, you will get the transcript back.
[00:13:22.320 --> 00:13:33.320]   So, if you want to try this out, you know, you can, you can do that. So you can see it here. I was actually, I hope you, you recognize this, if you were paying attention.
[00:13:33.320 --> 00:13:40.320]   Anyone recognize this?
[00:13:40.320 --> 00:13:48.320]   Yes, I was just saying that. So I was just recording a voice message on my phone. Thank you. Someone was paying attention. That's great.
[00:13:48.320 --> 00:14:00.320]   And so, you know, I was just recording a voice message, and then I get the transcript back. Now, the cool thing as well, so I actually live in Singapore.
[00:14:00.320 --> 00:14:07.320]   So if you spend time in Singapore, you might have heard kind of the Singlish, right, which is sort of the Singapore English.
[00:14:07.320 --> 00:14:14.320]   Go to hell, this person. Bastard, you know. You ask for a plastic bag, you must put the thing inside the plastic bag for me, right?
[00:14:14.320 --> 00:14:18.320]   She never, she just put the plastic bag, throw the plastic bag on the table.
[00:14:18.320 --> 00:14:25.320]   So, anyone understand what's going on? Do we got any Singaporeans in the house? No?
[00:14:25.320 --> 00:14:31.320]   It's not that easy. Even after six years in Singapore, I still sometimes struggle with that.
[00:14:31.320 --> 00:14:40.320]   So what we can do is we can forward it to our transcription bot. We can see, okay, it was received. It's transcribing it now.
[00:14:40.320 --> 00:14:47.320]   And yeah, go to hell. Bastard, you know, I asked for a plastic bag. You must put the thing inside the plastic bag for me.
[00:14:47.320 --> 00:14:52.320]   So you can, you can see these are kind of the problems we have in Singapore.
[00:14:52.320 --> 00:14:59.320]   Singapore. Now, another accent that might be a bit challenging. Um, Scottish.
[00:14:59.320 --> 00:15:00.320]   Hello there.
[00:15:00.320 --> 00:15:02.320]   There's some things I need to know about Scotland.
[00:15:02.320 --> 00:15:06.320]   Eh, well, you need to know that they're trying to split up the country, you know that.
[00:15:06.320 --> 00:15:09.320]   And we don't want that. We want that. We want that.
[00:15:09.320 --> 00:15:13.320]   I do some council and that's basically right. That is pretty.
[00:15:14.320 --> 00:15:21.320]   Anyone understand what's going on in Scotland? No? Okay. No Scottish people here.
[00:15:21.320 --> 00:15:36.320]   Um, again, we can forward it. We can see. Um, and so this is, this is really cool actually that, um, you know, even without fine tuning the model, it can actually understand specific accents, um, quite well.
[00:15:36.320 --> 00:15:43.320]   So, you need to know they're trying to split up the country and all that. And we don't want that. We want a decent council and all.
[00:15:43.320 --> 00:15:52.320]   And that's basically that. There you go. I actually now listen to this so often that I can actually hear it. Um, but yeah, you might, you might not be familiar with it.
[00:15:52.320 --> 00:15:57.320]   Now, one example that's maybe a bit, um, closer to where you're living, if you're here in the US.
[00:15:57.320 --> 00:16:08.320]   And Mr. President, what we would like to say about the Bangladesh issue, because we saw and it is evident that how the deep state of United States was involved to regime change during the Biden administration.
[00:16:08.320 --> 00:16:16.320]   And then Muhammad Yunus made, uh, Junior Soros also. So what is your, your point of view about the Bangladesh?
[00:16:16.320 --> 00:16:19.320]   And what is the role that the deep state played in this situation?
[00:16:19.320 --> 00:16:28.320]   So what are you seeing here is, uh, uh, president has, um, a translator for English to English, um, translation.
[00:16:28.320 --> 00:16:42.320]   So we thought, you know, maybe he can just use this transcription bot. So if we forward that, um, again, so even if the audio quality isn't that great, if there's like a lot of background noise, the model is actually very good at kind of identifying that.
[00:16:42.320 --> 00:17:04.320]   Uh, yeah, so this is kind of the, you know, one component to it. So we need to, um, you know, understand what the user is saying and then feed that into our LLM, uh, to, you know, have kind of a meaningful conversation.
[00:17:04.320 --> 00:17:14.320]   So for the other part, um, you know, we, we don't specifically provide the intelligence layer. So that's where we partner with kind of, you know, the leading, um, model providers.
[00:17:14.320 --> 00:17:24.320]   You can also fine tune your own model. Um, you know, if you, for example, fine tune and deploy it on say Google Vertex AI, you just need an open AI API compatible endpoint.
[00:17:24.320 --> 00:17:31.320]   Uh, and then you can plug in your custom LLM into this pipeline as well, um, which we can look at in a, in a little bit.
[00:17:31.320 --> 00:17:42.320]   And so now we have the other component. So once the LLM starts streaming out the response, we then want to start streaming the speech as soon as possible.
[00:17:42.320 --> 00:17:49.320]   Um, so this pipeline is kind of streaming throughout. So we have, you know, the, the fastest kind of snappiest, um, response possible.
[00:17:49.320 --> 00:17:58.320]   So for, you know, the actual text to speech, what's great with 11 labs, you know, we heard we want kind of, um, Brazilian Portuguese accent, right?
[00:17:58.320 --> 00:18:10.320]   So we have a huge library, um, of voices that are available on the platform. So we actually have more than 5,000 different voices, um, that you can choose from.
[00:18:10.320 --> 00:18:17.320]   And so if you go into your 11 labs account, um, you can go to voices and you can explore, um, different voices.
[00:18:17.320 --> 00:18:22.320]   Now, if you were sitting, you know, here in this workshop and you were like, Oh, I really like this voice.
[00:18:22.320 --> 00:18:27.320]   You're in luck. So you can go to the voice library and you can type in German engineer.
[00:18:27.320 --> 00:18:32.320]   I'm originally from Germany and you find me.
[00:18:32.320 --> 00:18:37.320]   True success is doing what you are born to do and doing it well.
[00:18:37.320 --> 00:18:39.320]   Does that sound like me?
[00:18:39.320 --> 00:18:45.320]   Uh, okay. It's, it's trained on some of my, uh, YouTube videos.
[00:18:45.320 --> 00:18:51.320]   So I think maybe I talk a bit differently, um, in the YouTube videos, but yeah, this is, this is great.
[00:18:51.320 --> 00:18:56.320]   And the thing is, so I basically cloned my voice, uh, and I published it on the voice library.
[00:18:56.320 --> 00:19:02.320]   And so anytime you use that voice, uh, I get royalties. Um, so this is a marketplace.
[00:19:02.320 --> 00:19:08.320]   Uh, we actually, uh, recently just surpassed the 5 million US dollar milestone that we paid out to,
[00:19:08.320 --> 00:19:13.320]   um, you know, our voice actors that are kind of publishing their, their voices on the platform.
[00:19:13.320 --> 00:19:23.320]   And so, you know, in this workshop, if you use this voice, uh, I'll be very grateful because then, uh, I can have a coffee later.
[00:19:23.320 --> 00:19:29.320]   That's great. Um, no, but obviously, you know, you can use my voice if you want to, you don't have to.
[00:19:29.320 --> 00:19:36.320]   Uh, the great thing is you can set really kind of narrow filters to find sort of the voice that, you know, you want.
[00:19:36.320 --> 00:19:44.320]   So, for example, if you want to choose, um, Portuguese, uh, you can just put the language filter to Portuguese
[00:19:44.320 --> 00:19:49.320]   and then you can choose kind of the accent. So here, for example, uh, we want to Brazilian Portuguese.
[00:19:49.320 --> 00:19:54.320]   We can then further kind of narrow this down in terms of, you know, sort of gender, age.
[00:19:54.320 --> 00:19:59.320]   So there's certain meta, meta tags that we can apply. Uh, and then we can see maybe here.
[00:19:59.320 --> 00:20:03.320]   Não há fracasso, exceto em não tentar mais.
[00:20:04.320 --> 00:20:07.320]   Okay, I don't, I don't know. I haven't spent much time in Brazil, um, so...
[00:20:07.320 --> 00:20:13.320]   Duas amigas partem busca de sossego em uma fazenda orgânica, longe do barulho da cidade.
[00:20:13.320 --> 00:20:15.320]   Does that sound Brazilian?
[00:20:15.320 --> 00:20:18.320]   No?
[00:20:18.320 --> 00:20:19.320]   Yeah?
[00:20:19.320 --> 00:20:20.320]   Okay, a little bit.
[00:20:20.320 --> 00:20:25.320]   Um, so, I mean, there's a lot of voices available on the platform, so you can kind of see, um,
[00:20:25.320 --> 00:20:30.320]   if you find one that, that sort of fits, you know, the local accent that you're, that you're looking for.
[00:20:31.320 --> 00:20:40.320]   Uh, and then what you can do is you can, um, go and kind of put, you know, all these different pieces together into your conversational, um, AI agent.
[00:20:40.320 --> 00:20:49.320]   So here, in the dashboard, we can go to conversational AI, um, and we can actually configure a lot of our agent, you know, right there within the dashboard.
[00:20:49.320 --> 00:20:58.320]   And then we can bring that into our application with, um, the JavaScript SDKs, the Python SDKs, kind of depending on, um, what applications you're building.
[00:20:58.320 --> 00:21:07.320]   Um, so we can just do a quick demo maybe of an agent that, um, I had built for, uh, a conference in Singapore.
[00:21:07.320 --> 00:21:14.320]   Um, so, you know, if you're familiar with Singapore, there is, uh, four official government languages.
[00:21:14.320 --> 00:21:24.320]   So if you're building applications, you know, for Singapore, you actually need to, you know, provide, uh, English, Mandarin, Chinese, Malay, uh, and Tamil.
[00:21:24.320 --> 00:21:27.320]   So these are kind of the official government languages in Singapore.
[00:21:27.320 --> 00:21:35.320]   Now, obviously there is other languages, uh, being spoken, you know, Hindi, Japanese, for example, um, you know, as well.
[00:21:35.320 --> 00:21:49.320]   But what you can do is you can, uh, we, so we currently have within conversational AI, uh, I think 31, um, different languages that the agent can speak and switch between and identify.
[00:21:49.320 --> 00:21:58.320]   Um, we're working on the next iteration, so the V3 of our multilingual models, which will, uh, bring, I believe, up to 99 different languages.
[00:21:58.320 --> 00:22:06.320]   So, um, yeah, you know, no matter where you are in the world, you can kind of get there pretty, pretty good coverage.
[00:22:06.320 --> 00:22:15.320]   Um, so you can see here we can configure the LLM, so we can, you know, choose kind of, uh, any of the, the, you know, big LLM providers that are out there.
[00:22:15.320 --> 00:22:19.320]   We have directly integrated, uh, and kind of co-located with, with our platform.
[00:22:19.320 --> 00:22:26.320]   Um, or you can put in your custom LLM, which is just an open AI API, uh, compatible endpoint.
[00:22:26.320 --> 00:22:34.320]   Uh, you can put in kind of a knowledge base, uh, you can upload documents, you can, you know, reference your website.
[00:22:34.320 --> 00:22:42.320]   Um, there's RAG built in as well, uh, depending on kind of the model you're using, um, you might not want to put kind of the entire knowledge base into the context.
[00:22:42.320 --> 00:22:45.320]   So, you can, you can enable RAG there.
[00:22:45.320 --> 00:22:54.320]   Um, and then the tools, you know, this is kind of your standard function calling, um, you know, that you might be familiar with when you're working with, um, large language models.
[00:22:54.320 --> 00:23:01.320]   So, depending on the model you choose as well, um, there might be some nuances with how reliably the function calling works.
[00:23:01.320 --> 00:23:11.320]   But, you know, kind of the larger ones, GPT-4, um, plus Gemini 2.5, you know, these are generally very reliable with function calling.
[00:23:11.320 --> 00:23:14.320]   And then we have the system tools that are kind of built in.
[00:23:14.320 --> 00:23:17.320]   So, you can see here the language detection system tool.
[00:23:17.320 --> 00:23:19.320]   So, we can just enable this.
[00:23:19.320 --> 00:23:26.320]   Um, and we have this kind of, you know, configured by default to identify different languages and switch between them.
[00:23:26.320 --> 00:23:32.320]   Um, but you can also override kind of the, the LLM prompt to sort of customize that to your use case.
[00:23:32.320 --> 00:23:37.320]   Um, and then maybe we can just give that a little test and see how that works.
[00:23:37.320 --> 00:23:38.320]   Hi there.
[00:23:38.320 --> 00:23:42.320]   This is the API Day Singapore conversational AI agent.
[00:23:42.320 --> 00:23:43.320]   How can I help you today?
[00:23:43.320 --> 00:23:44.320]   Oh, I'm sorry.
[00:23:44.320 --> 00:23:46.320]   I'm not speaking English.
[00:23:46.320 --> 00:23:47.320]   Can you speak English?
[00:23:47.320 --> 00:23:48.320]   Can you speak English?
[00:23:48.320 --> 00:23:49.320]   Of course.
[00:23:49.320 --> 00:23:50.320]   Can you speak English?
[00:23:50.320 --> 00:23:51.320]   Of course.
[00:23:51.320 --> 00:23:52.320]   Can you speak English?
[00:23:52.320 --> 00:23:53.320]   Of course.
[00:23:53.320 --> 00:23:54.320]   Can you speak English?
[00:23:54.320 --> 00:23:55.320]   Of course.
[00:23:55.320 --> 00:23:56.320]   Can you speak English?
[00:23:56.320 --> 00:23:57.320]   Of course.
[00:23:57.320 --> 00:23:58.320]   You can speak English?
[00:23:58.320 --> 00:23:59.320]   Of course.
[00:23:59.320 --> 00:24:00.320]   Of course.
[00:24:00.320 --> 00:24:01.320]   You can speak English?
[00:24:01.320 --> 00:24:02.320]   Of course.
[00:24:02.320 --> 00:24:03.320]   You can speak English?
[00:24:03.320 --> 00:24:04.320]   Of course.
[00:24:04.320 --> 00:24:05.320]   Of course.
[00:24:05.320 --> 00:24:06.320]   Of course.
[00:24:06.320 --> 00:24:11.320]   One of the 11 labs at Api Day Singapore is Thorsten Shaif, who is listed as a developer advocate.
[00:24:11.320 --> 00:24:14.320]   Would you like to know more about his session or background?
[00:24:14.320 --> 00:24:18.320]   Yeah, but what, what languages can you speak?
[00:24:18.320 --> 00:24:22.320]   I can communicate in English, Chinese, Hindi, Malay, Japanese, and Tamil.
[00:24:22.320 --> 00:24:26.320]   If you prefer to continue in any of these languages, just let me know which one you'd like to use.
[00:24:26.320 --> 00:24:29.320]   Would you like to switch to another language now?
[00:24:29.320 --> 00:24:30.320]   Yes.
[00:24:30.320 --> 00:24:34.320]   Um, can we switch to Hindi, please?
[00:24:34.320 --> 00:24:35.320]   Um, okay.
[00:24:35.320 --> 00:24:36.320]   Unfortunately, I don't speak any Hindi.
[00:24:36.320 --> 00:24:37.320]   Um, can you repeat that in English?
[00:24:37.320 --> 00:24:38.320]   Of course.
[00:24:38.320 --> 00:24:39.320]   We can continue in English.
[00:24:39.320 --> 00:24:41.320]   Would you like more information about Thorsten Shaif or the 11 labs?
[00:24:41.320 --> 00:24:46.320]   So, I guess you, you get the gist.
[00:24:46.320 --> 00:24:48.320]   Um, so with the language detection tool, there's kind of two, you know, different modes with this.
[00:24:48.320 --> 00:24:55.320]   So, you can either, you know, as like in the first scenario with my broken Mandarin, I was basically just saying, oh, sorry, I don't speak any English.
[00:24:55.320 --> 00:24:56.320]   Can we like speak Mandarin?
[00:24:56.320 --> 00:24:57.320]   Um, and it would recognize, oh, okay.
[00:24:57.320 --> 00:24:58.320]   You know, even with my terrible Mandarin.
[00:24:58.320 --> 00:24:59.320]   And it was like, oh, yeah, he's trying to speak English.
[00:24:59.320 --> 00:25:00.320]   Um, and it would recognize, oh, okay.
[00:25:00.320 --> 00:25:01.320]   You know, even with my terrible Mandarin.
[00:25:01.320 --> 00:25:02.320]   And it was like, oh, yeah, he's trying to speak English.
[00:25:02.320 --> 00:25:04.320]   Um, and it would recognize, oh, okay.
[00:25:04.320 --> 00:25:05.320]   You know, even with my terrible Mandarin, it was like, oh, yeah, he's trying to speak English.
[00:25:05.320 --> 00:25:06.320]   Okay.
[00:25:06.320 --> 00:25:07.320]   So, maybe let's reply in Mandarin.
[00:25:07.320 --> 00:25:08.320]   Uh, so it was doing that.
[00:25:08.320 --> 00:25:10.320]   Or we can specifically ask, okay, what languages can you speak?
[00:25:10.320 --> 00:25:11.320]   You know, what languages can you speak?
[00:25:11.320 --> 00:25:12.320]   You know, what languages can you speak?
[00:25:12.320 --> 00:25:13.320]   You know, what languages can you speak?
[00:25:13.320 --> 00:25:14.320]   You know, what languages can you speak?
[00:25:14.320 --> 00:25:15.320]   And what languages can you speak?
[00:25:15.320 --> 00:25:16.320]   You know, what languages can you speak?
[00:25:16.320 --> 00:25:17.320]   You know, what languages can you speak?
[00:25:17.320 --> 00:25:18.320]   You know, what languages can you speak?
[00:25:18.320 --> 00:25:19.320]   You know, what languages can you speak?
[00:25:19.320 --> 00:25:20.320]   You know, what languages can you speak?
[00:25:20.320 --> 00:25:21.320]   You know, what languages can you speak?
[00:25:21.320 --> 00:25:23.320]   You know, what languages can you speak?
[00:25:23.320 --> 00:25:24.320]   So, what languages can you speak?
[00:25:24.320 --> 00:25:26.320]   You know, what languages can you speak?
[00:25:26.320 --> 00:25:28.320]   You know, what languages can you speak?
[00:25:28.320 --> 00:25:29.320]   You know, what languages can you speak?
[00:25:29.320 --> 00:25:50.320]   So, this is kind of the built-in language detection system tool that we can use to facilitate kind of these multilingual conversations, which is really nice.
[00:25:50.320 --> 00:25:51.320]   Cool.
[00:25:51.320 --> 00:25:55.320]   So, this is kind of roughly what I wanted to show you, sort of as a start.
[00:25:55.320 --> 00:26:01.320]   And now what we can do is kind of we have, you know, the next 30 minutes to play around with this yourself.
[00:26:01.320 --> 00:26:06.320]   And we're in the room and, you know, if you have any questions, we can answer them.
[00:26:06.320 --> 00:26:10.320]   So, there is various different ways that you can configure your agents.
[00:26:10.320 --> 00:26:18.320]   So, you know, by default, you can get started in the dashboard and you can configure kind of a lot of the behavior and functionality in there.
[00:26:18.320 --> 00:26:25.320]   And then, you know, if you go back to the resources, we have, you know, the documentation.
[00:26:25.320 --> 00:26:30.320]   We have different examples that you can use around conversational AI.
[00:26:30.320 --> 00:26:36.320]   So, for example, there's, you know, we have examples for Next.js to build that into your Next.js applications.
[00:26:36.320 --> 00:26:38.320]   We have examples for Python.
[00:26:38.320 --> 00:26:45.320]   If you want to build it, you know, on, like, hardware devices somewhere, you might want to use Python on, like, your Raspberry Pi, for example.
[00:26:45.320 --> 00:26:48.320]   So, we have the examples there.
[00:26:48.320 --> 00:26:52.320]   And you can then, once you've configured that, you can bring that into, you know, your application.
[00:26:52.320 --> 00:26:58.320]   Alternatively, you can also configure all nuances of your agents via the API.
[00:26:58.320 --> 00:27:08.320]   So, actually, if you're building a marketplace where you are configuring agents on behalf of someone else, you know, you would generally do that through the API.
[00:27:08.320 --> 00:27:12.320]   And we also have an MCP server.
[00:27:12.320 --> 00:27:17.320]   So, if you're using, you know, Cloud desktop, you can bring in the MCP server.
[00:27:17.320 --> 00:27:28.320]   And you can just tell in natural language, oh, please, you know, set up an 11-lapse conversational AI agent, you know, with this voice.
[00:27:28.320 --> 00:27:34.320]   And it'll go and it knows kind of what, you know, API calls to make to set up your agent.
[00:27:34.320 --> 00:27:35.320]   But, yes.
[00:27:35.320 --> 00:27:37.320]   So, thanks so much for joining.
[00:27:37.320 --> 00:27:40.320]   If you have any questions, you know, we'll be floating around.
[00:27:40.320 --> 00:27:45.320]   You can also ask the questions now, you know, if you want to ask it kind of in the audience.
[00:27:45.320 --> 00:27:54.320]   But, otherwise, you know, please just go to 11lapse.io and create your account if you don't have one already.
[00:27:54.320 --> 00:27:57.320]   And then you just go to app.
[00:27:57.320 --> 00:27:59.320]   Go to conversational AI.
[00:27:59.320 --> 00:28:05.320]   And then you can create here in the agent's interface, you can create a new agent.
[00:28:05.320 --> 00:28:10.320]   And maybe we'll just start off with kind of the support agent here.
[00:28:10.320 --> 00:28:16.320]   And then we can go through and kind of configure this agent with, you know, your voices, your languages.
