
[00:00:00.000 --> 00:00:06.200]   Today, we're going to be building an AI agent that allows us to chat with videos.
[00:03:53.440 --> 00:04:07.800]   So it's going to include some instructions on how it should be used initially, but then we're going to insert the additional context, which is our transcribed video, into the system prompt here.
[00:04:08.200 --> 00:04:19.220]   Then, this is going to come down here, and it's going to be fed into an LLM alongside a user query, which is going to bring that in from over here.
[00:04:19.220 --> 00:04:20.000]   Okay.
[00:04:20.000 --> 00:04:23.900]   So our user will probably ask the question, and that will feed in just here.
[00:04:23.900 --> 00:04:33.860]   Now, our LLM will then produce an answer based on both the context that we provided up here, and our user query, and it will return it back to us.
[00:04:34.040 --> 00:04:36.760]   So it's pretty straightforward.
[00:04:36.760 --> 00:04:41.120]   This is the initial pipeline we're going to be building, but we are going to make this slightly more sophisticated.
[00:04:41.120 --> 00:04:48.560]   So what we will be doing is removing this context from over here, and also this video component.
[00:04:48.560 --> 00:04:54.680]   So those will now exist over here in a separate part, which is actually our tool.
[00:04:54.680 --> 00:04:55.300]   Okay.
[00:04:55.300 --> 00:04:56.460]   So this is our tool here.
[00:04:56.460 --> 00:05:02.120]   Now, what that tool is going to do is given a LLM generated query.
[00:05:02.340 --> 00:05:07.000]   So the LLM will generate a query, like, okay, I need to search based on the user's query.
[00:05:07.000 --> 00:05:10.580]   I need to search for this, and it might even do this multiple times.
[00:05:10.580 --> 00:05:12.280]   It might try and answer multiple questions.
[00:05:12.280 --> 00:05:26.300]   So based on that, it's going to come over to here, and an embedding model, again, from Mistral, is going to convert that into what we'd call a query vector, which I would usually write as XQ.
[00:05:26.460 --> 00:05:31.320]   All right, so that embed endpoint takes that query and turns it into XQ.
[00:05:31.320 --> 00:05:42.360]   Now, what we've also done in the middle of all this is we've taken our article here, and we've actually chunked it into many smaller parts.
[00:05:42.720 --> 00:05:51.420]   Now, by chunking these into many smaller parts, we allow ourselves to perform what is essentially RAG across them.
[00:05:51.420 --> 00:05:53.280]   So retrieval augments generation.
[00:05:53.280 --> 00:05:58.260]   And the way that we do that, again, this is before we come to the LLM inference time.
[00:05:58.500 --> 00:06:11.860]   The way that we will have done that, or set that up, is that all of these chunks here will have actually been passed through our embed endpoint, and been used to generate a Numpy array.
[00:06:11.860 --> 00:06:25.620]   Now, once we have that Numpy array over here, and then we have our query vector, all we need to do is perform a simple NP dot across both our query vector and that array.
[00:06:26.260 --> 00:06:37.480]   And what we'll get from that is a similarity rate that tells us which of those values are the most relevant or the most similar to our query vector.
[00:06:37.480 --> 00:06:44.140]   So we can essentially cancel out a few of those records and only return the ones that are the most relevant.
[00:06:44.680 --> 00:06:57.060]   So in that whole process, although it seems like a more complicated system, and it is, to some degree, a more complicated system, we actually massively reduce the number of tokens that we're sending to our LLM.
[00:06:57.060 --> 00:06:59.960]   And this is with just one transcribed video.
[00:06:59.960 --> 00:07:03.120]   With more, that would be even greater.
[00:07:03.680 --> 00:07:08.900]   Now, once that has finished processing, we can come down to here and check the content.
[00:07:08.900 --> 00:07:13.100]   So you see there is essentially the full transcribed video in there.
[00:07:13.100 --> 00:07:17.000]   We can also count the number of words from that transcribed video.
[00:07:17.000 --> 00:07:19.360]   So it's just over 4,000 words.
[00:07:19.360 --> 00:07:26.720]   Now we can move on to connecting that to our LLM for that first version of a simple video plus LLM pipeline.
[00:07:27.120 --> 00:07:30.300]   To do that, we will need a Mistral API key.
[00:07:30.300 --> 00:07:34.380]   We get those from console.mistral.ai API keys.
[00:07:34.380 --> 00:07:39.560]   So you'd come over here, create new key, and I'm going to call this video agent.
[00:07:39.560 --> 00:07:43.880]   You then just copy your key and throw it into your notebook here.
[00:07:43.880 --> 00:07:49.500]   Now, if you run this straight away, occasionally, you might see this error, unauthorized.
[00:07:49.500 --> 00:07:54.180]   Now, if we go back to the API key created box here.
[00:07:55.140 --> 00:07:58.260]   It does note that sometimes it can take a few minutes to be usable.
[00:07:58.260 --> 00:08:01.360]   So we can just try again.
[00:08:01.360 --> 00:08:02.820]   Okay.
[00:08:02.820 --> 00:08:04.600]   So it seems like we're good now.
[00:08:04.600 --> 00:08:05.900]   And there we go.
[00:08:05.900 --> 00:08:08.940]   So now we need to get our message content.
[00:08:08.940 --> 00:08:14.640]   So this is what it was returned based on this chat complete from Mistral here.
[00:08:14.640 --> 00:08:19.180]   So first things first, we are using the Mistral large latest model.
[00:08:19.600 --> 00:08:26.160]   And I just want to point out for the system message here is a pretty generic system message.
[00:08:26.160 --> 00:08:37.280]   But then we're adding in the transcription and the content of that transcription, which we got earlier on from the video file content there.
[00:08:37.940 --> 00:08:42.300]   And then as a user message, I said, hi, can you summarize this for me?
[00:08:42.300 --> 00:08:43.080]   Okay.
[00:08:43.080 --> 00:08:44.580]   So pretty straightforward.
[00:08:44.580 --> 00:08:48.400]   And you can see here that we have the assistant message with some content.
[00:08:48.400 --> 00:08:48.940]   Okay.
[00:08:48.940 --> 00:08:49.420]   So that's cool.
[00:08:50.220 --> 00:08:53.520]   One thing that we can also see in here.
[00:08:53.520 --> 00:09:00.860]   So if we go to response usage, we can see how many tokens we used, which would be pretty useful later on.
[00:09:00.860 --> 00:09:05.440]   Now, already looking at this, see that we use a ton of prompt tokens.
[00:09:05.440 --> 00:09:07.280]   So prompt tokens are the input tokens.
[00:09:07.280 --> 00:09:10.500]   Completion tokens are what the LLM generates back to us.
[00:09:11.940 --> 00:09:24.000]   So feeding the whole transcription in with every single query, that is just naturally going to lead to a lot of prompt tokens being used, which of course does add up to the cost.
[00:09:24.000 --> 00:09:26.200]   And we'll see the cost for that relatively soon.
[00:09:26.200 --> 00:09:34.240]   But for now, let's just work on making this pipeline that we have a little more conversational.
[00:09:34.800 --> 00:09:38.840]   So to do that, we're going to define this agent class.
[00:09:38.840 --> 00:09:45.940]   Now, I wouldn't necessarily define this as an agent just yet, but later this class will become our agent class.
[00:09:45.940 --> 00:09:49.880]   So right now, I'm just wrapping what we did already.
[00:09:49.880 --> 00:09:55.880]   So we have our prompt and then we'll be feeding in our user query when we hit the chat method.
[00:09:55.880 --> 00:10:00.480]   Then we are hitting client chat complete with those messages.
[00:10:01.220 --> 00:10:06.880]   And all I'm doing here is keeping these self.messages.
[00:10:06.880 --> 00:10:15.180]   So self.messages is a simple list where we're storing the messages as we create more and more interactions.
[00:10:15.180 --> 00:10:16.840]   So let's see how that works.
[00:10:16.840 --> 00:10:19.580]   I'm going to display everything in Markdown, by the way.
[00:10:19.580 --> 00:10:22.520]   As we saw just up here, the agent is using Markdown.
[00:10:22.520 --> 00:10:26.580]   So it's always nicer to see the responses in Markdown.
[00:10:26.580 --> 00:10:30.380]   So we have our response.
[00:10:30.380 --> 00:10:35.040]   You can see that the query here is, can you summarize the meaning of symbolic in this article?
[00:10:35.040 --> 00:10:47.740]   And in the context of this article, symbolic refers to the traditional approach to artificial intelligence that involves using handwritten rules, anthologies, and logical functions, so on and so on.
[00:10:47.740 --> 00:10:48.920]   Okay, cool.
[00:10:49.820 --> 00:11:00.040]   Now let's check that our conversational features, i.e. the self.messages attribute is working by asking a follow-up question.
[00:11:00.040 --> 00:11:02.400]   Can you give me that, but in short bullet points?
[00:11:02.860 --> 00:11:10.680]   If the chat history is not being stored and being sent to our LLM, the LLM will have no idea how to answer this.
[00:11:11.080 --> 00:11:14.860]   It will just see that we're asking, can you give me that?
[00:11:14.860 --> 00:11:18.400]   It has no idea what that is, but in short bullet points.
[00:11:19.220 --> 00:11:19.880]   Okay, cool.
[00:11:19.880 --> 00:11:22.400]   And we get some nice bullet points.
[00:11:22.400 --> 00:11:23.280]   Okay.
[00:11:23.280 --> 00:11:27.380]   So we have that built a LLM pipeline.
[00:11:27.380 --> 00:11:30.780]   It is conversational and it has that input for video.
[00:11:30.920 --> 00:11:35.420]   And we're able to ask it questions about video and speak with it in a conversational way.
[00:11:35.420 --> 00:11:42.860]   Now, what I want to talk about next is using asynchronous code and implementing streaming.
[00:11:42.860 --> 00:11:45.740]   Now, why do those two things matter?
[00:11:45.740 --> 00:11:54.080]   Well, async code is actually incredibly important, especially for AI applications.
[00:11:54.080 --> 00:11:59.900]   The reason I say that is because with AI applications, we tend to use a lot of API calls,
[00:11:59.960 --> 00:12:02.460]   more so than many other applications.
[00:12:02.460 --> 00:12:10.660]   And those API calls, not only do we have a lot of them, but they also take a long time
[00:12:10.660 --> 00:12:12.740]   because they're waiting for an LLM to respond.
[00:12:12.740 --> 00:12:20.180]   Now, if we're writing synchronous code, whilst we are waiting for a response from our LLM API,
[00:12:20.180 --> 00:12:23.560]   our Python code is doing nothing.
[00:12:23.560 --> 00:12:25.500]   It is just waiting.
[00:12:25.500 --> 00:12:26.160]   It's doing nothing.
[00:12:26.300 --> 00:12:33.460]   If we write asynchronous code, our Python code can be going and doing other things whilst it is waiting.
[00:12:33.460 --> 00:12:44.900]   And then once the response is received from the API, our Python code will see that and it can then jump back into that task and continue processing from there.
[00:12:44.900 --> 00:12:53.380]   Okay, so it frees up a ton of compute time if we write our code asynchronously, especially for AI applications.
[00:12:53.380 --> 00:12:54.600]   Then we have streaming.
[00:12:54.600 --> 00:12:58.400]   Now, streaming is more of a preference.
[00:12:59.180 --> 00:13:06.280]   So, with streaming, let's say we get quite a long response from our LLM.
[00:13:06.280 --> 00:13:10.300]   Without streaming, that can feel quite painful to a user.
[00:13:10.300 --> 00:13:15.920]   The user experience is that you're just waiting and waiting and waiting.
[00:13:16.680 --> 00:13:19.180]   And then you just get this massive chunk of text.
[00:13:19.180 --> 00:13:22.340]   And that's okay.
[00:13:22.340 --> 00:13:26.460]   But it's not a great experience.
[00:13:26.460 --> 00:13:37.100]   And there are so many applications out there that use streaming that most users of AI systems now kind of expect streaming as a standard.
[00:13:37.320 --> 00:13:42.900]   So, it's almost an essential feature for most, particularly chat, interfaces.
[00:13:42.900 --> 00:13:49.200]   And another thing that we can do really nicely, which I'll use Perplexity as an example here.
[00:13:49.200 --> 00:13:59.280]   When we use the Perplexity interface and Perplexity goes and searches for something, the LLM is generating that search query.
[00:13:59.400 --> 00:14:02.900]   And it's deciding what tool to use, which is, in that case, a web search.
[00:14:02.900 --> 00:14:08.420]   If we stream our tokens, we can actually implement that in our own applications as well.
[00:14:08.420 --> 00:14:20.480]   So, whilst, in this case, as we'll see later, whilst our agent is going and looking at our video transcription and performing a search,
[00:14:20.480 --> 00:14:24.660]   we can actually see that our agent is doing that and can see how it's doing that.
[00:14:24.700 --> 00:14:33.660]   We can see the search queries that are happening, which allows us to build far more interesting experiences for users, in my opinion.
[00:14:33.660 --> 00:14:43.740]   Okay, so, let's go ahead and see how we can rewrite this agent class to use async and also implement streaming.
[00:14:43.740 --> 00:14:47.280]   So, we're not changing anything about how we're initializing our agent here.
[00:14:47.980 --> 00:14:55.340]   The only thing we're really changing is we're now defining our chat method here with async.
[00:14:55.340 --> 00:14:57.700]   So, this makes it an asynchronous method.
[00:14:57.700 --> 00:15:07.760]   And we're switching from Mr. All's synchronous chat method to Mr. All's streaming and async chat method.
[00:15:07.760 --> 00:15:08.660]   Okay?
[00:15:08.660 --> 00:15:13.840]   So, async, because of this, this means we will now need to await the response.
[00:15:14.320 --> 00:15:26.040]   And because we're streaming, that means that we will see just here, we're actually iterating through our response and getting the tokens out from there.
[00:15:26.040 --> 00:15:26.820]   Okay?
[00:15:26.820 --> 00:15:32.940]   So, the chunks are coming through from our streaming response description in a slightly different way to what they were before,
[00:15:32.940 --> 00:15:38.280]   which was the, we just got a single assistant message block and that just had everything inside it.
[00:15:38.280 --> 00:15:43.060]   Instead, now, we're getting messages, but for each chunk.
[00:15:43.060 --> 00:15:49.040]   So, we still need to go through, we need to go through into the chunks of data, we need to extract from the choices.
[00:15:49.040 --> 00:15:52.840]   And we're now looking at the delta, which contains any changes.
[00:15:52.840 --> 00:15:55.800]   And inside the delta, we have our content.
[00:15:55.980 --> 00:16:00.020]   So, we're saying if that content is not none, okay?
[00:16:00.020 --> 00:16:05.320]   If that content is not none, we are going to go into this if statement here.
[00:16:05.320 --> 00:16:13.320]   And we're also just using the walrus operator here to pipe this information into the token variable here.
[00:16:13.320 --> 00:16:22.420]   Because that means we don't have to, well, we don't have to take this and put it into here, which would be just not as clean.
[00:16:22.720 --> 00:16:23.420]   So, we do that.
[00:16:23.420 --> 00:16:31.720]   Then, the final thing that we do is we also create a list of all of our tokens that we're receiving.
[00:16:31.720 --> 00:16:39.380]   So, what that allows us to do is, on the next line down here, it allows us to take all of those tokens, join them together,
[00:16:39.380 --> 00:16:46.260]   and then use them to actually output a final assistant message object, which contains everything.
[00:16:46.260 --> 00:16:47.640]   So, we do that.
[00:16:48.220 --> 00:16:51.460]   There's also a slight difference to our usage attribute here.
[00:16:51.460 --> 00:16:55.080]   So, we have to go chunk data usage.
[00:16:55.080 --> 00:16:56.820]   All right.
[00:16:56.820 --> 00:16:57.960]   So, that is it.
[00:16:57.960 --> 00:17:02.880]   We extract our assistant message from the messages that we added here.
[00:17:02.880 --> 00:17:05.240]   And let's go ahead and try that.
[00:17:05.240 --> 00:17:08.080]   So, I'm going to use the same query again.
[00:17:08.080 --> 00:17:11.120]   Can you summarize the meaning of symbolic in this article?
[00:17:11.640 --> 00:17:14.900]   And we should see a streamed output.
[00:17:14.900 --> 00:17:20.420]   Okay.
[00:17:20.420 --> 00:17:21.700]   Cool.
[00:17:21.700 --> 00:17:23.720]   So, we're now seeing a streamed output there.
[00:17:23.720 --> 00:17:30.620]   And one other thing that I should point out is that we have to await our agent.chat method now.
[00:17:30.960 --> 00:17:31.280]   Okay.
[00:17:31.280 --> 00:17:33.020]   So, that all looks pretty good.
[00:17:33.020 --> 00:17:35.800]   We can continue our conversation a little bit here.
[00:17:35.800 --> 00:17:45.020]   And I want to do this so that we can see the, essentially, the usage of our conversation over time.
[00:17:45.020 --> 00:17:47.260]   Great.
[00:17:47.340 --> 00:17:49.440]   So, plenty of tokens output there.
[00:17:49.440 --> 00:17:52.480]   But then, of course, also plenty of tokens input.
[00:17:52.480 --> 00:18:06.860]   So, we can see that even though we output a ton of text here, now, they're pretty lengthy responses, that output is still not even comparable to the inputs that we have, which are huge.
[00:18:07.040 --> 00:18:13.340]   So, the number of inputs here is, of course, all made up by us feeding that article in every single time.
[00:18:13.340 --> 00:18:17.620]   So, the question now is, one, how much does that cost?
[00:18:17.620 --> 00:18:20.060]   And then, two, can we optimize it?
[00:18:20.060 --> 00:18:25.140]   So, we define a cost calculator here.
[00:18:25.140 --> 00:18:30.700]   And we need to calculate based on these prices here.
[00:18:30.700 --> 00:18:35.980]   So, input tokens, which is our prompt tokens, and output tokens, which is our completion tokens.
[00:18:35.980 --> 00:18:39.440]   So, I'm going to run that, and let's just see how much that costs us.
[00:18:39.440 --> 00:18:50.160]   So, looking at this, we're paying, these seem like pretty small numbers, but this is for, each one of these is for a single interaction.
[00:18:50.160 --> 00:18:53.600]   So, that actually will add up quite quickly.
[00:18:53.600 --> 00:18:56.660]   After just 100 interactions, you're paying a dollar.
[00:18:56.660 --> 00:18:59.680]   Or even, sorry, even more than a dollar.
[00:18:59.680 --> 00:19:04.240]   Probably, you're hitting a dollar within maybe 70 interactions.
[00:19:04.240 --> 00:19:14.080]   So, depending on if this is a single conversation that's just getting bigger and bigger, or whether it's multiple conversations over time with a small number of interactions in there.
[00:19:14.080 --> 00:19:16.520]   But you can see how that would add up very quickly.
[00:19:17.240 --> 00:19:23.640]   Now, to optimize this, what we're going to do is what I described here.
[00:19:24.080 --> 00:19:34.740]   So, this component here, where we're breaking up our transcribed document into smaller pieces, and then only using what we need from those chunks.
[00:19:34.740 --> 00:19:37.740]   So, how do we implement that?
[00:19:37.740 --> 00:19:39.600]   There are a few steps.
[00:19:39.600 --> 00:19:44.580]   Like I said, it's not necessarily a simpler system, although it's not complicated.
[00:19:44.840 --> 00:19:49.920]   But it is a far more efficient, and scalable, and cost-effective system.
[00:19:49.920 --> 00:19:51.660]   So, what will we do?
[00:19:51.660 --> 00:19:54.940]   We're going to break our transcribed documents into smaller chunks.
[00:19:54.940 --> 00:19:57.960]   Embed those chunks into vector embeddings.
[00:19:57.960 --> 00:20:00.720]   Sore those vector embeddings in a numpy array.
[00:20:00.720 --> 00:20:07.440]   Then, when querying, our LLM will transform our question into a small query.
[00:20:07.440 --> 00:20:13.160]   We embed that query into a vector embedding that creates the XQ query vector that I mentioned earlier.
[00:20:13.340 --> 00:20:20.940]   Then, we compare the semantic similarity between our query vector and chunk vectors to find the most similar chunks,
[00:20:20.940 --> 00:20:26.180]   and return only those most relevant chunks to our LLM for the final response.
[00:20:26.180 --> 00:20:30.260]   So, let's start by chunking our document.
[00:20:30.260 --> 00:20:38.440]   Now that we're using async everything, we can go ahead and use the async Aurelio chunking endpoint as well.
[00:20:38.440 --> 00:20:42.640]   Although, given that this is preprocessing, we don't necessarily need to.
[00:20:43.120 --> 00:20:45.280]   But in any case, then we'll come down to here.
[00:20:45.280 --> 00:20:51.800]   And we first want to set up our chunking options for our semantic chunker.
[00:20:51.800 --> 00:21:01.720]   So, we're using a semantic chunker, which means that our chunks are going to be produced by looking at the semantic similarities between parallel components in the text.
[00:21:01.720 --> 00:21:07.700]   Next, we say that we want a maximum chunk length of up to 500 tokens, which is quite big to be honest.
[00:21:07.700 --> 00:21:10.320]   I might even suggest going lower, but it's okay.
[00:21:11.600 --> 00:21:13.560]   And we use a window size of 5.
[00:21:13.560 --> 00:21:23.080]   That is essentially what is the rolling window in which we are comparing the similarities between our parallel components within the text.
[00:21:23.540 --> 00:21:25.000]   So, then we get our chunks.
[00:21:25.000 --> 00:21:30.540]   You can see in the first chunk, I'm talking about the Apple Remote program and the Front Row program.
[00:21:30.540 --> 00:21:36.160]   And then there's a couple of chunks in the middle here that are a little bit disjointed from the other parts.
[00:21:36.380 --> 00:21:40.340]   It's mostly spoken audio, so I'm rambling a little bit.
[00:21:40.340 --> 00:21:53.200]   And then we can see down here that this final chunk here is focusing on the React agent and how it relates to a broader definition of agents.
[00:21:53.200 --> 00:21:55.300]   So, we have those.
[00:21:55.300 --> 00:22:03.200]   And what we can do now is actually take those chunks and we're going to embed them using Mistral again.
[00:22:03.200 --> 00:22:09.940]   Again, to keep everything in line with the async approach, we're using the async method for embeddings here.
[00:22:09.940 --> 00:22:14.800]   And we do actually need to use this async method later on when we're producing our query embedding.
[00:22:14.800 --> 00:22:16.900]   And we use the Mistral embed model.
[00:22:16.900 --> 00:22:17.640]   Okay.
[00:22:17.640 --> 00:22:24.420]   So, we're just taking the content of our chunks out here and inputting them to create our embeddings.
[00:22:24.420 --> 00:22:32.240]   And if we look in our embeddings response data, we'll see that we have 35 chunks there.
[00:22:32.240 --> 00:22:37.340]   We can also go in and see the length of each one of those embeddings.
[00:22:37.340 --> 00:22:50.360]   So, the embedding dimensionality of this Mistral embed model is 1024, which is a very typical dimensionality for most embedding models.
[00:22:51.040 --> 00:22:55.680]   Now, we take all those and we're just going to combine them all into a single NumPy array.
[00:22:55.680 --> 00:23:00.160]   This will allow us to perform the dot product comparison later against it.
[00:23:00.160 --> 00:23:02.360]   And let's see how we would do that.
[00:23:02.360 --> 00:23:04.840]   So, I'm going to ask the first question.
[00:23:04.840 --> 00:23:09.780]   Of course, later on, I'm going to want to embed all of this within our search tool.
[00:23:10.220 --> 00:23:17.020]   But first, I want to ask this first question of, what is the relationship between AI agents and good old-fashioned AI?
[00:23:17.020 --> 00:23:21.720]   I'm going to embed that query using Mistral embed again.
[00:23:21.720 --> 00:23:27.840]   And I'm going to convert it into an array and create my query vector.
[00:23:27.840 --> 00:23:32.420]   The query vector shape gives us the dimensionality of the model.
[00:23:33.000 --> 00:23:44.300]   And with that, we're actually ready to calculate the similarity, specifically dot product similarity, between our query vector, XQ, and the pre-computed document chunk vectors.
[00:23:44.300 --> 00:23:48.860]   And you can see in here, these are all of the similarity scores.
[00:23:49.420 --> 00:23:58.180]   So, if we're looking through this, we would see, okay, these values here, these ones, these are all kind of higher ones around there.
[00:23:58.180 --> 00:24:05.120]   And they all tend to correlate into a certain segment of the transcribed document.
[00:24:05.120 --> 00:24:14.740]   And that is generally expected because when you're talking through something, you're going to be switching from one topic to another topic to another topic over time.
[00:24:15.360 --> 00:24:31.620]   And those topics that share the highest proximity within your, you know, your story or your video, they're probably going to be more related than a random chunk from, you know, let's say the end of the video or the start of the video.
[00:24:31.620 --> 00:24:41.200]   Okay, so we can use np.org.sort with a top K value of three to return the top three most similar chunks.
[00:24:42.100 --> 00:24:55.800]   Okay, so we see that that is 10, 12, and 13, which is probably, if we look at these, I think it is this value, 10, 12, and 13, so the ones we pointed out earlier.
[00:24:55.800 --> 00:24:58.640]   Great, so we have those.
[00:24:58.640 --> 00:25:10.460]   And then what we're going to do is get those index values, and we're going to use them to get our most relevant chunks or the chunk content from those.
[00:25:10.860 --> 00:25:11.680]   Like so.
[00:25:11.680 --> 00:25:22.880]   So looking at these, we can see in here, I'm talking about the symbolic AI stuff in the middle here.
[00:25:22.880 --> 00:25:29.380]   We're talking about rules, ontologies, and other logical functions, okay, which is the good old-fashioned AI.
[00:25:30.140 --> 00:25:36.920]   Then here, I actually mentioned good old-fashioned AI directly at the end now, but I think I'm generally talking about the same thing.
[00:25:36.920 --> 00:25:44.600]   And then here, I think, oh, go-fi, probably I'm saying good old-fashioned AI, i.e. go-fi there.
[00:25:45.420 --> 00:25:48.600]   And, yeah, I'm talking about how that compares to connectionism.
[00:25:48.600 --> 00:25:51.960]   So all those seem relevant to the question.
[00:25:51.960 --> 00:25:59.880]   Now, what we want to do is take what we've just done and compress all that into a single function.
[00:26:00.240 --> 00:26:02.060]   Okay, that function, again, will be async.
[00:26:02.640 --> 00:26:14.760]   So, in this function, we are providing a .string, which we're going to use this .string in order to understand how it should use this function and when it should use this function.
[00:26:15.100 --> 00:26:17.460]   So, I want to give it as much information as possible here.
[00:26:17.460 --> 00:26:22.280]   That's why I'm saying use this tool to search a relevant chunk of information from the provided video.
[00:26:22.280 --> 00:26:26.800]   And I'm saying how the LM should use this tool as well.
[00:26:26.800 --> 00:26:33.220]   So, I'm saying provide as much context as possible to the query parameter, ensuring to write your search query in natural language.
[00:26:33.220 --> 00:26:35.000]   That's how you would get the best results here.
[00:26:35.160 --> 00:26:45.500]   Then, I also want to say, okay, if there are multiple questions being asked, to just use this tool for one of those questions at a time.
[00:26:45.500 --> 00:26:49.880]   And the reason we do that is it can improve the retrieval quality.
[00:26:49.880 --> 00:27:03.400]   Because if you imagine asking five questions all at once and your LM sends all that to your embedding model, your embedding model is essentially taking a query and it's placing it at one point in vector space.
[00:27:04.060 --> 00:27:17.920]   And if you have five different meanings to your query and you're trying to compress those five different meanings into one point in vector space, you are essentially diluting the quality of your embedding.
[00:27:17.920 --> 00:27:25.660]   You're almost averaging out your embedding between those five different meanings that your query actually has.
[00:27:26.760 --> 00:27:38.200]   So, although it can still give you the results you need, it's generally better to try and separate out your query that can be more concise when you're doing a vector search like this.
[00:27:38.760 --> 00:27:42.680]   So, all we're doing here is what we just did.
[00:27:42.680 --> 00:27:43.080]   Okay.
[00:27:43.080 --> 00:27:54.320]   We're creating our query vector, using it to search across our chunks, getting the highest scoring similarity scores from that, and then using that to retrieve the most relevant chunks.
[00:27:54.480 --> 00:27:58.860]   And then I also merge those into a single string for our LM to use.
[00:27:58.860 --> 00:27:59.220]   Okay.
[00:27:59.220 --> 00:28:00.960]   So let's try that quickly.
[00:28:00.960 --> 00:28:08.000]   Our query here is, I think it's still what we asked before, which is what is the relationship between AI agents and GoFi?
[00:28:08.000 --> 00:28:14.180]   So we should see similar results, well, the same results, even, and yes, that is what we can see there.
[00:28:14.180 --> 00:28:15.320]   Cool.
[00:28:15.320 --> 00:28:24.020]   So we now need to redefine our agent and plug that new function or tool into it.
[00:28:24.020 --> 00:28:33.740]   Now, to do that with the Mr API, we actually need to create a function schema object, which is what we're doing here.
[00:28:34.180 --> 00:28:40.120]   So I am getting the doc string with this from our search function, which we can see here.
[00:28:40.120 --> 00:28:45.340]   I'm placing that doc string into the description here of our function schema.
[00:28:45.340 --> 00:28:54.940]   Then I'm taking the name of our, let me even just copy this, just the name of our search function, which is obviously search.
[00:28:54.940 --> 00:28:57.960]   Then I'm also just initializing these parameters.
