
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[00:08:17.700 --> 00:08:19.580]   We talk a lot on the show about the deep life,
[00:08:19.580 --> 00:08:23.280]   a life lived intentionally and on purpose.
[00:08:23.280 --> 00:08:25.160]   I'm actually writing the book about this right now.
[00:08:25.160 --> 00:08:26.700]   And the very first part of the book
[00:08:26.700 --> 00:08:29.820]   is about preparing before you start to change.
[00:08:29.820 --> 00:08:33.320]   'Cause if you can't gain control of your life,
[00:08:33.320 --> 00:08:34.740]   you can't hope to transform it.
[00:08:34.740 --> 00:08:37.960]   So these same ideas can be used to help you
[00:08:37.960 --> 00:08:39.960]   transform your life towards things that resonate
[00:08:39.960 --> 00:08:40.880]   and away from things that don't.
[00:08:40.880 --> 00:08:43.600]   So I think there's a lot of potential uses of productivity
[00:08:43.600 --> 00:08:46.520]   beyond just these much more simplistic ideas
[00:08:46.520 --> 00:08:48.040]   that it's all about pseudo productivity
[00:08:48.040 --> 00:08:50.280]   or just trying to optimize everything you do.
[00:08:50.280 --> 00:08:51.400]   All right, enough preamble.
[00:08:51.400 --> 00:08:53.880]   Let's get five pieces of advice here.
[00:08:53.880 --> 00:08:59.880]   The first idea I wanna talk about is multi-scale planning.
[00:08:59.880 --> 00:09:04.560]   This is my answer to the question of what should I do next?
[00:09:05.420 --> 00:09:06.720]   This is the fundamental question
[00:09:06.720 --> 00:09:08.380]   in controlling your time and attention is,
[00:09:08.380 --> 00:09:09.880]   what do I do right now?
[00:09:09.880 --> 00:09:12.100]   What am I gonna do after that?
[00:09:12.100 --> 00:09:14.140]   This is a tricky question to answer
[00:09:14.140 --> 00:09:17.000]   because what you're trying to do here
[00:09:17.000 --> 00:09:20.600]   is not just find something useful to do next,
[00:09:20.600 --> 00:09:23.200]   but somehow have your answer to this question
[00:09:23.200 --> 00:09:26.080]   connect to your interest and objectives
[00:09:26.080 --> 00:09:30.200]   and systems on many different timescales, right?
[00:09:30.200 --> 00:09:32.360]   That somehow when you're deciding what to do next,
[00:09:32.360 --> 00:09:35.880]   you have to navigate between the reactive
[00:09:35.880 --> 00:09:37.560]   and urgent in the moment
[00:09:37.560 --> 00:09:39.960]   and things that could be completely non-urgent
[00:09:39.960 --> 00:09:41.440]   and completely optional,
[00:09:41.440 --> 00:09:44.440]   but is maybe a project that you wanna make progress on
[00:09:44.440 --> 00:09:45.420]   over the course of the year
[00:09:45.420 --> 00:09:46.440]   that's gonna be important to you.
[00:09:46.440 --> 00:09:48.720]   All of these concerns have to get integrated
[00:09:48.720 --> 00:09:50.120]   into deciding what do I do next?
[00:09:50.120 --> 00:09:53.240]   The problem, however, is we don't have the time or energy
[00:09:53.240 --> 00:09:56.440]   to take into account everything on our plate,
[00:09:56.440 --> 00:09:58.000]   all of our different goals and objectives
[00:09:58.000 --> 00:09:59.360]   and what's going on in our systems
[00:09:59.360 --> 00:10:00.640]   and how our projects are unfolding
[00:10:00.640 --> 00:10:02.560]   and where things are and what needs to be done.
[00:10:02.560 --> 00:10:04.440]   We cannot take this all into account
[00:10:04.440 --> 00:10:06.680]   every time we have a new moment to say,
[00:10:06.680 --> 00:10:07.520]   what do I do next?
[00:10:07.520 --> 00:10:10.920]   We would just collapse into planning paralysis.
[00:10:10.920 --> 00:10:14.680]   This is where multiscale planning enters the scene, right?
[00:10:14.680 --> 00:10:15.520]   Here's the idea.
[00:10:15.520 --> 00:10:17.040]   You plan at multiple timescales.
[00:10:17.040 --> 00:10:20.960]   Each timescale is informed by the one before it.
[00:10:20.960 --> 00:10:22.500]   So you have what I call a strategic plan
[00:10:22.500 --> 00:10:23.380]   or a quarterly plan.
[00:10:23.380 --> 00:10:26.840]   This is a bigger picture plan about your big objectives.
[00:10:26.840 --> 00:10:28.040]   You should have one for your work.
[00:10:28.040 --> 00:10:30.680]   You should have one for your life outside of work.
[00:10:30.680 --> 00:10:32.760]   So you're figuring out this is what I'm up to this year.
[00:10:32.760 --> 00:10:35.040]   And in this season, in order to make progress
[00:10:35.040 --> 00:10:37.440]   on this big goal, here's what I'm doing.
[00:10:37.440 --> 00:10:39.840]   I'm gonna finally pick up this skill
[00:10:39.840 --> 00:10:42.000]   or this project that's been put on my plate.
[00:10:42.000 --> 00:10:45.300]   I'm gonna nail this project above and beyond this winter
[00:10:45.300 --> 00:10:47.720]   because that's gonna really open up big possibilities.
[00:10:47.720 --> 00:10:50.560]   Or this is the spring in which I'm gonna completely
[00:10:50.560 --> 00:10:52.520]   overhaul my fitness and my personal life.
[00:10:52.520 --> 00:10:55.680]   I think my health is bad and this is gonna be the time
[00:10:55.680 --> 00:10:57.000]   where I'm gonna make this major change.
[00:10:57.000 --> 00:10:57.900]   It's gonna take a few months,
[00:10:57.900 --> 00:11:00.280]   but this is where I'm gonna kickstart a new way of living.
[00:11:00.280 --> 00:11:02.620]   So the strategic or quarterly plans
[00:11:02.620 --> 00:11:04.080]   is where you have these big picture visions
[00:11:04.080 --> 00:11:06.000]   for your life and your life outside of work.
[00:11:06.000 --> 00:11:09.040]   You update these definitely once a year,
[00:11:09.040 --> 00:11:12.080]   but you kind of check back in with them every season.
[00:11:12.080 --> 00:11:16.480]   Okay, each week then you build a plan
[00:11:16.480 --> 00:11:17.960]   for the week ahead of you.
[00:11:17.960 --> 00:11:19.920]   This is what we call the weekly plan.
[00:11:19.920 --> 00:11:21.440]   When you build your weekly plan,
[00:11:21.440 --> 00:11:23.660]   you go back and you check the strategic plan.
[00:11:23.660 --> 00:11:25.180]   That is when you consult it.
[00:11:26.000 --> 00:11:27.560]   And so when you're looking at the week ahead,
[00:11:27.560 --> 00:11:28.800]   you can have these questions about,
[00:11:28.800 --> 00:11:30.840]   okay, what for my strategic plan do I wanna try
[00:11:30.840 --> 00:11:33.360]   to remind myself or integrate into my week?
[00:11:33.360 --> 00:11:36.060]   When you're doing your weekly plan,
[00:11:36.060 --> 00:11:38.840]   this is also where you can survey your calendar,
[00:11:38.840 --> 00:11:40.660]   identify the good spots
[00:11:40.660 --> 00:11:42.320]   for getting certain types of work done.
[00:11:42.320 --> 00:11:45.440]   This is where you see like, oh, Monday actually
[00:11:45.440 --> 00:11:47.800]   is a pretty clear afternoon.
[00:11:47.800 --> 00:11:50.280]   So Monday at three, I'm gonna cut off work there
[00:11:50.280 --> 00:11:53.480]   to go to the whatever.
[00:11:53.480 --> 00:11:55.280]   I have a giant errand I wanna do
[00:11:55.280 --> 00:11:58.200]   that's gonna be connected to a big lifestyle goal I'm doing.
[00:11:58.200 --> 00:11:59.680]   I'm gonna go to the gym supply store
[00:11:59.680 --> 00:12:02.880]   to finally buy like a barbell and barbell weights.
[00:12:02.880 --> 00:12:03.960]   It's gonna take an hour and a half.
[00:12:03.960 --> 00:12:05.160]   Here's the right time to do it.
[00:12:05.160 --> 00:12:07.320]   Friday morning is open.
[00:12:07.320 --> 00:12:10.720]   That's when I'm gonna really like write the draft
[00:12:10.720 --> 00:12:12.080]   of this book proposal I'm working on.
[00:12:12.080 --> 00:12:15.360]   So you're sort of looking at the whole week at once
[00:12:15.360 --> 00:12:18.140]   and seeing where you have the right times
[00:12:18.140 --> 00:12:19.200]   for working on things.
[00:12:19.200 --> 00:12:21.040]   This is also where you can make some changes
[00:12:21.040 --> 00:12:21.880]   where you say, you know what?
[00:12:21.880 --> 00:12:23.800]   My Thursday would be perfect for me
[00:12:23.800 --> 00:12:26.320]   to spend the whole day working on this project
[00:12:26.320 --> 00:12:28.120]   except for I have this stupid call at two.
[00:12:28.120 --> 00:12:29.720]   So let's move that call
[00:12:29.720 --> 00:12:32.440]   'cause that's in the way of this day being perfect
[00:12:32.440 --> 00:12:34.160]   for my bigger picture plan.
[00:12:34.160 --> 00:12:35.320]   When you're doing your weekly plan,
[00:12:35.320 --> 00:12:37.040]   you might add some stuff onto your calendar.
[00:12:37.040 --> 00:12:39.920]   Great, here's some big rocks I wanna make sure I get done.
[00:12:39.920 --> 00:12:41.960]   Let me put them on my calendar now like an appointment
[00:12:41.960 --> 00:12:44.240]   so that time is protected.
[00:12:44.240 --> 00:12:46.120]   You should also write out some sort of plan
[00:12:46.120 --> 00:12:48.440]   for your week long hand as well.
[00:12:48.440 --> 00:12:49.800]   You could type this, you can write it
[00:12:49.800 --> 00:12:52.460]   into like my time block planner has a weekly plan page.
[00:12:52.460 --> 00:12:53.700]   And this reminders to yourself,
[00:12:53.700 --> 00:12:55.980]   remember we're doing this every day.
[00:12:55.980 --> 00:12:57.900]   Here's what we're doing like with workouts.
[00:12:57.900 --> 00:12:59.820]   The main professional push this week
[00:12:59.820 --> 00:13:01.860]   is going to be trying to get this report done.
[00:13:01.860 --> 00:13:04.300]   So let's try to get a couple hours every morning on this
[00:13:04.300 --> 00:13:05.880]   before we switch over to admin.
[00:13:05.880 --> 00:13:07.100]   It's notes to yourself
[00:13:07.100 --> 00:13:09.260]   about how you're going through this week.
[00:13:09.260 --> 00:13:11.700]   So now you have a plan for your week
[00:13:11.700 --> 00:13:13.460]   that takes into account the reality of your week
[00:13:13.460 --> 00:13:16.120]   and maybe even alter that reality a little bit.
[00:13:16.120 --> 00:13:18.300]   Big things are on your calendar.
[00:13:18.300 --> 00:13:20.140]   You have notes to yourself as well
[00:13:20.140 --> 00:13:22.140]   about what to keep in mind as the week unfolds.
[00:13:22.140 --> 00:13:25.200]   This will reflect what you saw
[00:13:25.200 --> 00:13:27.740]   in your strategic or quarterly plans.
[00:13:27.740 --> 00:13:28.940]   Now we go to the final timescale,
[00:13:28.940 --> 00:13:31.220]   the finest timescale, which is every day.
[00:13:31.220 --> 00:13:32.100]   As every day starts,
[00:13:32.100 --> 00:13:35.900]   you're gonna build a time block plan for your work day.
[00:13:35.900 --> 00:13:37.620]   You're gonna block off the hours of your day
[00:13:37.620 --> 00:13:38.860]   and give every block a job.
[00:13:38.860 --> 00:13:39.940]   Okay, during this two hours,
[00:13:39.940 --> 00:13:41.340]   I'm working specifically on this.
[00:13:41.340 --> 00:13:43.860]   The half hour that follows, I'm checking my email,
[00:13:43.860 --> 00:13:46.640]   catching up on as much as possible in that half hour.
[00:13:46.640 --> 00:13:49.980]   Then I have lunch, then there's 30 minutes free,
[00:13:49.980 --> 00:13:51.660]   and then there is this meeting.
[00:13:51.660 --> 00:13:52.800]   So I put the meeting,
[00:13:52.800 --> 00:13:54.460]   I'm gonna put 20 minutes after the meeting
[00:13:54.460 --> 00:13:56.860]   for actually consolidating my notes on the meeting.
[00:13:56.860 --> 00:13:58.700]   And in that 30 minutes between lunch and the meeting,
[00:13:58.700 --> 00:14:01.140]   I have this list here of five small chores
[00:14:01.140 --> 00:14:01.980]   that I'm gonna try to get done.
[00:14:01.980 --> 00:14:04.100]   These five small tasks, submitting this form,
[00:14:04.100 --> 00:14:06.460]   calling the IT department.
[00:14:06.460 --> 00:14:07.740]   Let me get that done in this space.
[00:14:07.740 --> 00:14:09.700]   You're giving your time a job.
[00:14:09.700 --> 00:14:11.700]   So you're figuring out a good way
[00:14:11.700 --> 00:14:13.700]   to make use of your work time in advance,
[00:14:13.700 --> 00:14:15.180]   as opposed to just going through your day
[00:14:15.180 --> 00:14:17.780]   and continually asking, "Hey, what do I wanna work on?"
[00:14:17.780 --> 00:14:20.300]   Next, here's the key.
[00:14:20.300 --> 00:14:23.300]   Before you build your time block day for a specific day,
[00:14:23.300 --> 00:14:24.780]   your time block plan, rather,
[00:14:24.780 --> 00:14:26.220]   you look at your weekly plan.
[00:14:26.220 --> 00:14:28.340]   'Cause your weekly plan is gonna inform
[00:14:28.340 --> 00:14:30.620]   what happens in your time block plan.
[00:14:30.620 --> 00:14:32.300]   First of all, of course, you have to copy over
[00:14:32.300 --> 00:14:33.700]   everything that's on your calendar,
[00:14:33.700 --> 00:14:35.460]   but you might have these reminders in your weekly plan.
[00:14:35.460 --> 00:14:37.540]   Hey, we're trying to write every morning.
[00:14:37.540 --> 00:14:40.100]   Make sure that we do this at the end of the day.
[00:14:40.100 --> 00:14:42.740]   So you're making sure those notes from your weekly plan
[00:14:42.740 --> 00:14:44.340]   get integrated to your plan for the day,
[00:14:44.340 --> 00:14:47.660]   and then you execute your time block plan.
[00:14:47.660 --> 00:14:49.500]   So now when we get to a particular moment
[00:14:49.500 --> 00:14:51.500]   in a particular day,
[00:14:51.500 --> 00:14:53.780]   how do you answer the question of what I should do next?
[00:14:53.780 --> 00:14:56.180]   It's whatever time block you're in will tell you.
[00:14:56.180 --> 00:14:58.780]   But that time block is influenced by your weekly plan.
[00:14:58.780 --> 00:15:00.700]   And that weekly plan itself is influenced
[00:15:00.700 --> 00:15:02.180]   by your quarterly or strategic plan.
[00:15:02.180 --> 00:15:04.820]   So now you're wasting very little energy
[00:15:04.820 --> 00:15:06.700]   in the moment deciding what I do next,
[00:15:06.700 --> 00:15:09.220]   but that decision connects to your priorities
[00:15:09.220 --> 00:15:10.860]   at multiple different timescales.
[00:15:10.860 --> 00:15:13.940]   So time block planning is how
[00:15:13.940 --> 00:15:15.860]   you not only get more out of your day,
[00:15:15.860 --> 00:15:19.980]   but how you ensure progress is made on things that matter,
[00:15:19.980 --> 00:15:23.060]   even if these things aren't all urgent,
[00:15:23.060 --> 00:15:25.820]   do the next day, or right there in your face.
[00:15:25.820 --> 00:15:28.060]   So multi-scale planning,
[00:15:28.060 --> 00:15:31.140]   critical key to controlling your time and attention.
[00:15:31.140 --> 00:15:31.980]   Hey, it's Cal.
[00:15:31.980 --> 00:15:33.580]   I wanted to interrupt briefly
[00:15:33.580 --> 00:15:35.940]   to say that if you're enjoying this video,
[00:15:35.940 --> 00:15:38.140]   then you need to check out my new book,
[00:15:38.140 --> 00:15:39.940]   "Slow Productivity,
[00:15:39.940 --> 00:15:43.820]   "The Lost Art of Accomplishment Without Burnout."
