
[00:00:00.000 --> 00:00:03.080]   (projector whirring)
[00:03:55.800 --> 00:03:56.680]   how they work.
[00:03:56.680 --> 00:03:58.720]   They've been in the UK since like the '80s.
[00:03:58.720 --> 00:04:01.000]   I think they didn't come around until 1996 or 1997
[00:04:01.000 --> 00:04:02.600]   in the US, so they're still relatively new.
[00:04:02.600 --> 00:04:03.440]   The way that they work,
[00:04:03.440 --> 00:04:06.480]   the principal value of the bond is tied to inflation.
[00:04:06.480 --> 00:04:07.320]   Inflation goes up,
[00:04:07.320 --> 00:04:09.320]   the principal value of the bond goes up as well.
[00:04:09.320 --> 00:04:11.040]   So whatever interest rate you have on that
[00:04:11.040 --> 00:04:12.480]   goes up with principal, right?
[00:04:12.480 --> 00:04:13.320]   So that makes sense.
[00:04:13.320 --> 00:04:16.200]   The problem is you don't get paid that higher principal
[00:04:16.200 --> 00:04:17.040]   until maturity.
[00:04:17.040 --> 00:04:20.120]   So from now into maturity, a lot of things could happen,
[00:04:20.120 --> 00:04:20.960]   right?
[00:04:20.960 --> 00:04:21.960]   So there's two main reasons for the losses this year.
[00:04:21.960 --> 00:04:25.520]   One, tips can help protect, excuse me,
[00:04:25.520 --> 00:04:26.600]   tips can help protect investors
[00:04:26.600 --> 00:04:29.960]   against unexpected inflation.
[00:04:29.960 --> 00:04:32.120]   So if inflation has already baked into the pie
[00:04:32.120 --> 00:04:33.960]   in those rates, it doesn't help much.
[00:04:33.960 --> 00:04:37.160]   So in 2021, we got unexpected inflation, tips did well.
[00:04:37.160 --> 00:04:39.120]   In 2022, investors said, okay,
[00:04:39.120 --> 00:04:41.720]   we're building inflation into these expectations
[00:04:41.720 --> 00:04:44.080]   and the yields went down, right?
[00:04:44.080 --> 00:04:47.520]   Number two, sometimes tips act like inflation hedges
[00:04:47.520 --> 00:04:48.720]   and sometimes they act like bonds.
[00:04:48.720 --> 00:04:51.320]   When interest rates rise, tips act like bonds.
[00:04:51.320 --> 00:04:54.760]   So rates went from, I think the 10-year went from 1.5%
[00:04:54.760 --> 00:04:57.140]   at the beginning of the year to 3% now.
[00:04:57.140 --> 00:04:58.440]   So rates doubled.
[00:04:58.440 --> 00:05:00.780]   When that happens, tips are gonna act more like bonds
[00:05:00.780 --> 00:05:02.860]   than they are an inflation protection hedge.
[00:05:02.860 --> 00:05:06.400]   So the TIP ETF, this is the biggest one that I share as fun
[00:05:06.400 --> 00:05:07.740]   that everyone always talks about.
[00:05:07.740 --> 00:05:09.760]   It has an average maturity of like seven and a half years,
[00:05:09.760 --> 00:05:12.360]   an average duration of seven years.
[00:05:12.360 --> 00:05:13.280]   Duration is simply a way
[00:05:13.280 --> 00:05:14.680]   to measure interest rate sensitivity.
[00:05:14.680 --> 00:05:17.480]   So interest rates go up or down 1%.
[00:05:17.480 --> 00:05:19.520]   You expect the price of the bond or bond fund
[00:05:19.520 --> 00:05:20.560]   to go up or down 7%.
[00:05:20.560 --> 00:05:22.280]   So interest rates rise 1%.
[00:05:22.280 --> 00:05:24.440]   You would expect the bonds to go down 7%,
[00:05:24.440 --> 00:05:26.100]   which is kind of what happened this year, right?
[00:05:26.100 --> 00:05:27.560]   So tips have sold off.
[00:05:27.560 --> 00:05:28.920]   The good news for investors from here
[00:05:28.920 --> 00:05:30.640]   is you now have higher rates.
[00:05:30.640 --> 00:05:31.780]   Real rates are actually positive
[00:05:31.780 --> 00:05:32.620]   for the first time in a while.
[00:05:32.620 --> 00:05:33.960]   The bad news is you had to eat some losses
[00:05:33.960 --> 00:05:35.440]   to get to this point.
[00:05:35.440 --> 00:05:38.680]   So I think there is one other way
[00:05:38.680 --> 00:05:41.000]   investors can potentially make it
[00:05:41.000 --> 00:05:43.720]   so the inflation protected hedge is a bigger part of it.
[00:05:43.720 --> 00:05:45.240]   And that's short-term tips.
[00:05:45.240 --> 00:05:46.980]   So John, throw up the next chart
[00:05:46.980 --> 00:05:50.040]   of the Vanguard short-term tips fund here.
[00:05:50.040 --> 00:05:53.400]   So this is inflation really took off in April of 2021.
[00:05:53.400 --> 00:05:54.680]   It's the first time it went above 3%,
[00:05:54.680 --> 00:05:55.880]   which is the long-term average.
[00:05:55.880 --> 00:05:58.360]   And this is the performance since then of the VTIP fund,
[00:05:58.360 --> 00:06:02.080]   which is Vanguard short-term tips versus the TIP fund.
[00:06:02.080 --> 00:06:04.400]   You can see short-term tips have outperformed
[00:06:04.400 --> 00:06:06.760]   and they've done so as much less volatility.
[00:06:06.760 --> 00:06:08.860]   And the reason is because that fund
[00:06:08.860 --> 00:06:11.320]   is not nearly as sensitive to interest rate changes.
[00:06:11.320 --> 00:06:13.660]   The inflation kicker matters more for short-term tips.
[00:06:13.660 --> 00:06:16.140]   So that's one way that you can actually protect a little bit
[00:06:16.140 --> 00:06:18.580]   and kind of have that inflation hedge
[00:06:18.580 --> 00:06:20.100]   be a bigger part of it than the interest rates.
[00:06:20.100 --> 00:06:23.180]   So longer-term tips are gonna have a lot more volatility.
[00:06:23.180 --> 00:06:26.860]   So if you wanna narrow down more to that inflation piece,
[00:06:26.860 --> 00:06:27.700]   that's how you do it.
[00:06:27.700 --> 00:06:29.460]   And I'll be remiss if I didn't mention
[00:06:29.460 --> 00:06:30.540]   Series I savings bonds,
[00:06:30.540 --> 00:06:32.700]   which we spent a whole episode talking about here,
[00:06:32.700 --> 00:06:33.560]   one of our favorites.
[00:06:33.560 --> 00:06:35.380]   There's a capital I want you to put in those.
[00:06:35.380 --> 00:06:38.120]   Though that is the best one-for-one inflation hedge
[00:06:38.120 --> 00:06:39.860]   you can get 'cause you have no interest rate risk.
[00:06:39.860 --> 00:06:41.180]   So short-term tips still have a little bit
[00:06:41.180 --> 00:06:42.260]   of interest rate risk,
[00:06:42.260 --> 00:06:44.300]   but Series I savings bonds have none.
[00:06:44.300 --> 00:06:46.280]   So find that episode, we talked about that.
[00:06:46.280 --> 00:06:47.120]   I know it's confusing,
[00:06:47.120 --> 00:06:49.060]   but it's kind of important to understand all the risks here
[00:06:49.060 --> 00:06:50.220]   where you have these securities
[00:06:50.220 --> 00:06:51.820]   that can act like two different things at once,
[00:06:51.820 --> 00:06:54.760]   and sometimes one thing matters more than the other.
[00:06:54.760 --> 00:06:57.260]   - Yeah, bond math is one of the more confusing things
[00:06:57.260 --> 00:07:00.240]   I've ever looked into.
[00:07:00.240 --> 00:07:01.080]   - It is, so yeah.
[00:07:01.080 --> 00:07:03.660]   So I think short-term tips are probably a good solution
[00:07:03.660 --> 00:07:05.300]   for people who are worried about TIPs losing money right now
[00:07:05.300 --> 00:07:06.500]   if rates continue to go higher.
[00:07:06.500 --> 00:07:07.920]   All right, let's do another one.
[00:07:07.920 --> 00:07:10.980]   Okay, up next we have a question from Scott.
[00:07:10.980 --> 00:07:13.080]   My wife and I are in our early 60s.
[00:07:13.080 --> 00:07:16.020]   My wife is retired and I plan to retire in about five years.
[00:07:16.020 --> 00:07:17.660]   Our retirement savings are pretty solid
[00:07:17.660 --> 00:07:19.780]   relative to our anticipated expenses,
[00:07:19.780 --> 00:07:21.920]   and my wife also receives pension income.
[00:07:21.920 --> 00:07:24.000]   My question is about how to invest the bond portion
[00:07:24.000 --> 00:07:27.400]   of my 401k, especially as I get closer to retirement.
[00:07:27.400 --> 00:07:29.360]   It's 50/50 now.
[00:07:29.360 --> 00:07:33.660]   We also have Roth IRAs and are 100% equity in those
[00:07:33.660 --> 00:07:34.940]   because we're targeting those accounts
[00:07:34.940 --> 00:07:36.500]   for our longer-term needs.
[00:07:36.500 --> 00:07:38.700]   The fixed income portion of my 401k
[00:07:38.700 --> 00:07:41.260]   is in an intermediate-term core bond fund.
[00:07:41.260 --> 00:07:42.860]   Is that a reasonable place for these funds,
[00:07:42.860 --> 00:07:45.500]   or should I consider diversifying across different funds
[00:07:45.500 --> 00:07:46.860]   or individual bonds?
[00:07:46.860 --> 00:07:49.980]   I currently plan to delay Social Security until age 70,
[00:07:49.980 --> 00:07:53.780]   so we may need somewhat higher withdrawals from my 401k
[00:07:53.780 --> 00:07:57.180]   to cover expenses in the first few years of a retirement.
[00:07:57.180 --> 00:07:59.260]   Would it be worth considering a bond ladder approach?
[00:07:59.260 --> 00:08:02.540]   How easy is that to manage within a 401k account?
[00:08:02.540 --> 00:08:03.940]   And I gotta be honest, it sounds cool,
[00:08:03.940 --> 00:08:06.420]   but I don't know what a bond ladder is.
[00:08:06.420 --> 00:08:08.540]   - Two questions about bond funds.
[00:08:08.540 --> 00:08:10.220]   We're coming in hot today, right?
[00:08:10.220 --> 00:08:11.340]   - Right.
[00:08:11.340 --> 00:08:12.820]   - I think fixed income was probably
[00:08:12.820 --> 00:08:14.580]   one of the easiest asset classes to allocate to
[00:08:14.580 --> 00:08:15.860]   for the last 40 years or so
[00:08:15.860 --> 00:08:18.200]   because you basically put your money in anything,
[00:08:18.200 --> 00:08:20.740]   a core bond fund, U.S. Treasuries, whatever.
[00:08:20.740 --> 00:08:21.580]   It did fine.
[00:08:21.580 --> 00:08:22.700]   Interest rates fell.
[00:08:22.700 --> 00:08:24.740]   Corey Hofstein actually wrote this piece in 2017
[00:08:24.740 --> 00:08:26.580]   that has kind of stuck with me ever since,
[00:08:26.580 --> 00:08:30.100]   and he said from 1981 to 2017,
[00:08:30.100 --> 00:08:33.860]   10-year U.S. Treasury went from 15% to 2%.
[00:08:33.860 --> 00:08:34.780]   By my calculations,
[00:08:34.780 --> 00:08:37.300]   the average annual return there was 7 1/2%,
[00:08:37.300 --> 00:08:38.580]   which is phenomenal for bonds
[00:08:38.580 --> 00:08:40.580]   or these boring bonds over four decades.
[00:08:40.580 --> 00:08:42.940]   I think the worst year ever was down 11%,
[00:08:42.940 --> 00:08:45.140]   and that was 2009 after bonds sold off
[00:08:45.140 --> 00:08:46.180]   following the Great Financial Crisis.
[00:08:46.180 --> 00:08:48.260]   So that 40-year bond bull market
[00:08:48.260 --> 00:08:50.140]   might go down as one of the greatest in history,
[00:08:50.140 --> 00:08:52.820]   but most people assume the reason bonds did so well
[00:08:52.820 --> 00:08:55.020]   is 'cause interest rates fell the whole time.
[00:08:55.020 --> 00:08:57.180]   And Corey said, "Well, let's look at the attribution here
[00:08:57.180 --> 00:08:58.020]   "and figure it out."
[00:08:58.020 --> 00:08:58.940]   Duncan, if you had to guess,
[00:08:58.940 --> 00:09:01.500]   so there's two components to bond fund returns.
[00:09:01.500 --> 00:09:02.740]   One is basically the starting yield.
[00:09:02.740 --> 00:09:05.580]   The other one is interest rates rising or falling, right?
[00:09:05.580 --> 00:09:07.660]   So if you had to guess over that 40-year period,
[00:09:07.660 --> 00:09:09.460]   how much did falling rates have to do
[00:09:09.460 --> 00:09:13.020]   with the total return for 10-year treasures over that time?
[00:09:13.020 --> 00:09:15.260]   I'm going to say a lot.
[00:09:15.260 --> 00:09:18.060]   Okay, less than you'd think.
[00:09:18.060 --> 00:09:21.580]   3/4 of the total return came from the starting yield.
[00:09:21.580 --> 00:09:24.420]   Only about 25% came from falling rates.
[00:09:24.420 --> 00:09:25.540]   So falling rates helped,
[00:09:25.540 --> 00:09:27.820]   but it was basically you had high starting yields
[00:09:27.820 --> 00:09:29.300]   that entire time.
[00:09:29.300 --> 00:09:32.180]   So anything you can put your money in in terms of bonds
[00:09:32.180 --> 00:09:33.020]   was fine.
[00:09:33.020 --> 00:09:33.980]   You could buy a core bond fund,
[00:09:33.980 --> 00:09:35.580]   government bonds need to be fine.
[00:09:35.580 --> 00:09:37.340]   Now, right now, it's a lot harder
[00:09:37.340 --> 00:09:38.820]   because you have much lower rates
[00:09:38.820 --> 00:09:40.940]   and things are choppier and more volatile in interest rates,
[00:09:40.940 --> 00:09:42.620]   and that means things move around a little more.
[00:09:42.620 --> 00:09:44.540]   So you could simply let a bond fund manager
[00:09:44.540 --> 00:09:46.060]   choose where to put you in,
[00:09:46.060 --> 00:09:48.100]   which segment to invest in, what duration.
[00:09:48.100 --> 00:09:50.620]   The problem is a lot of these core bond fund managers
[00:09:50.620 --> 00:09:53.660]   have some caps on things like maturity and duration
[00:09:53.660 --> 00:09:54.500]   that they can invest in.
[00:09:54.500 --> 00:09:56.780]   So I think more interest rate volatility
[00:09:56.780 --> 00:09:58.220]   means it's probably more important than ever
[00:09:58.220 --> 00:09:59.100]   to diversify your bonds,
[00:09:59.100 --> 00:10:00.980]   which is something most investors didn't have to do.
[00:10:00.980 --> 00:10:03.100]   So that could be, we talked about tips today,
[00:10:03.100 --> 00:10:05.020]   short-term bonds, corporates.
[00:10:05.020 --> 00:10:07.500]   If you're in a 401(k), maybe a stable value fund.
[00:10:07.500 --> 00:10:08.340]   If you're out of a 401(k),
[00:10:08.340 --> 00:10:09.940]   that could be some more cash
[00:10:09.940 --> 00:10:11.380]   than series I savings bond you mentioned.
[00:10:11.380 --> 00:10:13.220]   So I think there's no guarantee
[00:10:13.220 --> 00:10:14.340]   that broader diversification
[00:10:14.340 --> 00:10:16.580]   is gonna improve your risk-adjusted returns
[00:10:16.580 --> 00:10:18.980]   or whatever you wanna think about it or your income even.
[00:10:18.980 --> 00:10:21.820]   But I think that helps make sure you don't put your money
[00:10:21.820 --> 00:10:23.580]   in the wrong segment of fixed income
[00:10:23.580 --> 00:10:27.180]   or the wrong bond fund manager who really screws things up.
[00:10:27.180 --> 00:10:29.460]   The other thing is if you don't have a lot of good options
[00:10:29.460 --> 00:10:31.420]   in your 401(k), you can always, when you retire,
[00:10:31.420 --> 00:10:32.460]   roll it over into IRA,
[00:10:32.460 --> 00:10:34.140]   which will have tons of options for you.
[00:10:34.140 --> 00:10:36.540]   So I do think that diversifying in bond funds
[00:10:36.540 --> 00:10:38.060]   is something investors haven't had to think about
[00:10:38.060 --> 00:10:39.380]   for a long time.
[00:10:39.380 --> 00:10:41.180]   And that's something people are gonna have to think about
[00:10:41.180 --> 00:10:42.580]   now for sure.
[00:10:42.580 --> 00:10:44.540]   - It's kind of funny that we've come so far
[00:10:44.540 --> 00:10:46.220]   that we're talking, we're getting all these questions
[00:10:46.220 --> 00:10:47.500]   about bonds and bond funds
[00:10:47.500 --> 00:10:50.580]   when it was like triple-levered ETFs and crypto,
[00:10:50.580 --> 00:10:51.940]   you know, like a year and a half ago.
[00:10:51.940 --> 00:10:54.100]   - Still a bear market, right?
[00:10:54.100 --> 00:10:56.260]   But it makes sense that people wanna figure out,
[00:10:56.260 --> 00:10:58.820]   especially getting close to retirement,
[00:10:58.820 --> 00:11:00.700]   you know, how to protect their capital a little bit.
[00:11:00.700 --> 00:11:01.540]   - Right.
[00:11:01.540 --> 00:11:02.780]   - Let's do another one. - Smart.
[00:11:02.780 --> 00:11:05.820]   Okay, up next we have a question from Charlie.
[00:11:05.820 --> 00:11:07.060]   I live in Nashville, Tennessee
[00:11:07.060 --> 00:11:09.860]   and run a successful financial advisory practice here.
[00:11:09.860 --> 00:11:12.540]   When I look at my client base, the average age is 61.
[00:11:12.540 --> 00:11:16.160]   I'm 39 and I'm wondering what suggestions you would have
[00:11:16.160 --> 00:11:18.100]   for marketing my services to younger clients,
[00:11:18.100 --> 00:11:19.420]   as I don't have that many.
[00:11:19.420 --> 00:11:21.940]   I would be perfectly fine to accept smaller accounts,
[00:11:21.940 --> 00:11:24.780]   but I don't love pitching close friends and family.
[00:11:24.780 --> 00:11:27.320]   What methods besides this would you recommend?
[00:11:27.320 --> 00:11:28.160]   - Good question.
[00:11:28.160 --> 00:11:29.000]   You don't have to brag.
[00:11:29.000 --> 00:11:30.300]   Successful financial advisory.
[00:11:30.300 --> 00:11:31.140]   Good job.
[00:11:31.140 --> 00:11:31.960]   - Yeah, good job.
[00:11:31.960 --> 00:11:32.800]   - Let's bring in the person I know
[00:11:32.800 --> 00:11:34.740]   who knows more about financial advisory business
[00:11:34.740 --> 00:11:36.220]   than anyone I know.
[00:11:36.220 --> 00:11:37.060]   Josh Brown.
[00:11:37.060 --> 00:11:39.580]   - Hey, Josh. - Hey, Josh.
[00:11:39.580 --> 00:11:41.580]   - Hi, everybody. - All right.
[00:11:41.580 --> 00:11:42.420]   All right, this is a younger person.
[00:11:42.420 --> 00:11:43.240]   - Thanks for having me on the show.
[00:11:43.240 --> 00:11:45.540]   Wait, can I do, I have bunk bed material.
[00:11:45.540 --> 00:11:46.780]   - Okay, yeah, let's hear it. - So I can't believe,
[00:11:46.780 --> 00:11:49.340]   I'm sorry, I can't believe like the obvious,
[00:11:49.340 --> 00:11:50.400]   neither one of you,
[00:11:50.400 --> 00:11:53.600]   we were talking about the merits of bunk beds.
[00:11:53.600 --> 00:11:56.300]   So much room for activities.
[00:11:56.300 --> 00:11:57.260]   I don't know.
[00:11:57.260 --> 00:11:58.900]   No stepbrothers fans here?
[00:11:58.900 --> 00:12:02.380]   I thought that was a layup.
[00:12:02.380 --> 00:12:03.220]   I was muted.
[00:12:03.220 --> 00:12:04.140]   I was trying to get in.
[00:12:04.140 --> 00:12:07.220]   - It's been too long since I've seen that.
[00:12:07.220 --> 00:12:08.420]   - All right, fine.
[00:12:08.420 --> 00:12:09.520]   - All right, so you have a young person
[00:12:09.520 --> 00:12:11.780]   wants to bring in younger clients.
[00:12:11.780 --> 00:12:13.420]   The funny thing is usually young clients
[00:12:13.420 --> 00:12:15.820]   have a hard time working with older clients, right?
[00:12:15.820 --> 00:12:17.820]   Because an older client sometimes doesn't wanna work
[00:12:17.820 --> 00:12:18.660]   with someone who's younger.
[00:12:18.660 --> 00:12:21.980]   So how do you figure out a way to break through
[00:12:21.980 --> 00:12:24.220]   and sort of change the sales cycle here?
[00:12:26.180 --> 00:12:28.920]   - This is not gonna be a satisfying answer.
[00:12:28.920 --> 00:12:31.220]   The truth is that you really can't
[00:12:31.220 --> 00:12:33.980]   because you wanna work with young people,
[00:12:33.980 --> 00:12:37.220]   but young people are not looking for retirement solutions.
[00:12:37.220 --> 00:12:39.280]   And I think as an advisor,
[00:12:39.280 --> 00:12:42.940]   your sweet spot for financial planning work
[00:12:42.940 --> 00:12:45.380]   really doesn't come until like after 35.
[00:12:45.380 --> 00:12:48.940]   And even then, it's mostly like how many kids do you have?
[00:12:48.940 --> 00:12:49.940]   Do you have life insurance?
[00:12:49.940 --> 00:12:53.720]   Like that's the extent of the hardcore financial planning
[00:12:53.720 --> 00:12:54.780]   that someone would need.
[00:12:54.780 --> 00:12:56.580]   What people need prior to that age
[00:12:56.580 --> 00:12:58.700]   is asset allocation really.
[00:12:58.700 --> 00:13:02.100]   They just need like an easy, systematic way
[00:13:02.100 --> 00:13:06.780]   to continuously put money aside that they're not spending.
[00:13:06.780 --> 00:13:09.540]   Like they don't really need
[00:13:09.540 --> 00:13:11.260]   a lot of financial planning work.
[00:13:11.260 --> 00:13:16.040]   So it's gonna be really tough to attract clients
[00:13:16.040 --> 00:13:18.780]   in a demographic that are like way before
[00:13:18.780 --> 00:13:20.320]   they actually need your help.
[00:13:20.320 --> 00:13:23.920]   So a couple of things I would consider.
[00:13:24.720 --> 00:13:28.120]   The first is like just accept the fact
[00:13:28.120 --> 00:13:30.080]   that if you're gonna do content marketing
[00:13:30.080 --> 00:13:31.800]   to that demographic,
[00:13:31.800 --> 00:13:34.440]   you have to count on there being a really long tail.
[00:13:34.440 --> 00:13:38.640]   And like a lot of these people will come to you way later
[00:13:38.640 --> 00:13:41.360]   than when you're actually reaching them for the first time.
[00:13:41.360 --> 00:13:42.880]   So not only do you have to reach them
[00:13:42.880 --> 00:13:45.320]   and get in front of them somehow and get their attention,
[00:13:45.320 --> 00:13:47.640]   you have to like hold their attention.
[00:13:47.640 --> 00:13:52.640]   So you can do that with email, newsletter type of thing
[00:13:52.640 --> 00:13:55.400]   or have them follow you on social media.
[00:13:55.400 --> 00:13:58.320]   And then you just have to like make that mental investment.
[00:13:58.320 --> 00:14:00.840]   Like, all right, I'm getting to young people
[00:14:00.840 --> 00:14:02.560]   through the platforms they like,
