
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:06:09.000 --> 00:06:17.000]   So you look at your positive return of your investment and you say, what do I expect to earn from?
[00:06:17.000 --> 00:06:22.000]   And in your case, you're specifically stipulating that you're investing in mutual funds.
[00:06:22.000 --> 00:06:28.000]   So you would look at it and say, what do I expect to earn from these mutual funds?
[00:06:28.000 --> 00:06:33.000]   What is the actual net rate of return that I expect to earn?
[00:06:33.000 --> 00:06:40.000]   And you, of course, have to factor in market fluctuations. You have to factor in dividend flows into your total return.
[00:06:40.000 --> 00:06:46.000]   You then factor in your tax savings. You factor in your company match. Very important.
[00:06:46.000 --> 00:06:54.000]   If you're getting a 25 percent boost because they're matching you a dollar for four, that's a really powerful increase in your returns.
[00:06:54.000 --> 00:07:04.000]   Now, you factor in all of the positive benefits of investing and you try to guess at what you think you would actually return in your funds.
[00:07:04.000 --> 00:07:10.000]   Then you go over to your debt and you try to factor in all of the costs of your debt.
[00:07:10.000 --> 00:07:16.000]   Here is where there is a very big difference between debt that is at 3 percent versus 8 percent.
[00:07:16.000 --> 00:07:21.000]   And so you would have to look at each of your student loans, the percentage of interest that you're paying.
[00:07:21.000 --> 00:07:25.000]   But then you look at any discounts that you're entitled to.
[00:07:25.000 --> 00:07:29.000]   For example, are you participating in a program like the student loan forgiveness program?
[00:07:29.000 --> 00:07:37.000]   You don't say that you are, but if you're using a 403(b), that's a nonprofit sector and you might be a teacher or something like that.
[00:07:37.000 --> 00:07:44.000]   So you factor in that type of thing and you calculate what your net interest is that you're actually paying if you're pursuing something like that.
[00:07:44.000 --> 00:07:49.000]   Or you calculate any deductibility of student loan interest that you may be entitled to on your tax return.
[00:07:49.000 --> 00:07:54.000]   If you're able to deduct some of your student loan interest, that will help you to receive a discount.
[00:07:54.000 --> 00:08:03.000]   And now that may make the effective interest rate go from 5 percent to 3.5 percent because you can deduct it against your taxes.
[00:08:03.000 --> 00:08:12.000]   Now the actual facts of your situation will start to become apparent as you do this analysis.
[00:08:12.000 --> 00:08:16.000]   It's possible that when you do this, the numbers will be very close.
[00:08:16.000 --> 00:08:20.000]   But it's also possible that the numbers would be very far apart.
[00:08:20.000 --> 00:08:29.000]   Assume for a moment that you have, let's say that most of your debt is actually at 3 percent.
[00:08:29.000 --> 00:08:34.000]   And that 3 percent is deductible under your current tax filing system.
[00:08:34.000 --> 00:08:39.000]   And so you can get a small discount on that depending on your income, et cetera, and you try to figure out that number.
[00:08:39.000 --> 00:08:45.000]   And so now the net cost of that 3 percent has declined to, debt has declined to 2.5 percent.
[00:08:45.000 --> 00:08:55.000]   Now on the flip side, you're investing in very low cost investments that have a high probability of a long, over the long term of earning a very high interest rate.
[00:08:55.000 --> 00:09:00.000]   You're heavily stock based. You're getting a dollar for dollar employer match.
[00:09:00.000 --> 00:09:05.000]   And you have all of these extra bonuses and you're getting the tax savings.
[00:09:05.000 --> 00:09:11.000]   And in your case, that's so helpful to have those tax savings as far as what I mean by contributing to a 403(b).
[00:09:11.000 --> 00:09:19.000]   Now in this situation, it's very hard to stomach the idea if you were getting in a situation like that, a dollar for dollar match, contributing to 403(b).
[00:09:19.000 --> 00:09:31.000]   It's very hard to stomach the idea of paying off 3 percent debt while giving up dollar for dollar matches and putting it into funds that could return a net 7 percent, 8 percent.
[00:09:31.000 --> 00:09:34.000]   Because mathematically, that makes a big difference over the long term.
[00:09:34.000 --> 00:09:41.000]   It's not when you started saving. It's not the time period in this case. It's the interest rate that's the difference.
[00:09:41.000 --> 00:09:45.000]   It all comes down to the interest rate.
[00:09:45.000 --> 00:09:58.000]   If you will get a higher interest rate in your investments, then you will mathematically be wealthier by investing than you will be by paying off debt.
[00:09:58.000 --> 00:10:01.000]   That is a mathematical certainty.
[00:10:01.000 --> 00:10:03.000]   So why is this so difficult?
[00:10:03.000 --> 00:10:08.000]   Well, predicting the mathematical certainty is very difficult.
[00:10:08.000 --> 00:10:19.000]   And here's where there are all kinds of personal behavior challenges that come in, all kinds of market timing challenges that come in, and all kinds of predictability challenges that come in.
[00:10:19.000 --> 00:10:20.000]   Why do I say those things?
[00:10:20.000 --> 00:10:21.000]   Well, personal behavior.
[00:10:21.000 --> 00:10:32.000]   There's been good evidence created over the years to show that most investors significantly underperform their own investments, some by even as much as 50 percent.
[00:10:32.000 --> 00:10:38.000]   So although you might look and say, well, the historical return of the stock market is blah, blah, blah percent, let's say it's 8 percent.
[00:10:38.000 --> 00:10:43.000]   Well, there's good evidence to show that most investors get 4, because they do foolish things.
[00:10:43.000 --> 00:10:46.000]   They go in and out at foolish times.
[00:10:46.000 --> 00:10:55.000]   And so where before paying off that 3 or 4 or 5 percent debt didn't look so good because you were comparing it up against an 8 percent rate of return.
[00:10:55.000 --> 00:10:59.000]   When you actually look at the reality, most people don't get that 8.
[00:10:59.000 --> 00:11:02.000]   Not that they couldn't, they just don't.
[00:11:02.000 --> 00:11:05.000]   And so it's hard to adjust most people's behavior.
[00:11:05.000 --> 00:11:07.000]   What about the market?
[00:11:07.000 --> 00:11:13.000]   There are some market periods where the return of your investments is just shooting up.
[00:11:13.000 --> 00:11:16.000]   You know, the last years have been just like that.
[00:11:16.000 --> 00:11:29.000]   If you were doing an analysis and a number of years ago you paid off your debt and you were looking at financially where you would be today if you had just stayed invested in the broader stock market with your index fund, you would have been embarrassed.
[00:11:29.000 --> 00:11:35.000]   Because you would have been better off financially to have stayed invested.
[00:11:35.000 --> 00:11:38.000]   Problem is we don't know what tomorrow holds.
[00:11:38.000 --> 00:11:51.000]   And then we face this problem of trying to compare a guaranteed return of paying off debt where you know this return is guaranteed versus a non-guaranteed return.
[00:11:51.000 --> 00:11:55.000]   You don't know what the market return will be over the next few years.
[00:11:55.000 --> 00:12:07.000]   And when you add in additional things like the sequence of return risks as far as, yeah, over the long term it will work out I think, but when you're actually buying in, maybe it all works out the wrong way.
[00:12:07.000 --> 00:12:18.000]   Maybe you are investing, investing, investing and the market is down, down, down for the next few years and now you're stuck with a low investment portfolio and still a big pile of student loans.
[00:12:18.000 --> 00:12:21.000]   And that's a frustrating place to be and we don't know the future.
[00:12:21.000 --> 00:12:23.000]   We don't know how these things work out.
[00:12:23.000 --> 00:12:27.000]   If you did know, it would all be about the math.
[00:12:27.000 --> 00:12:31.000]   But because we don't know, it's a little harder.
[00:12:31.000 --> 00:12:47.000]   So hear me loud and clear, the mathematical financial answer to your question of should you pay off debt or invest is 100% related to interest rate.
[00:12:47.000 --> 00:12:51.000]   The net interest rate of either choice.
[00:12:51.000 --> 00:13:11.000]   Remember to calculate net for your investments, pull off any costs, costs such as taxes, costs such as fees, commissions, advisory fees, add any additional benefits such as employer matches or such as any tax benefits.
[00:13:11.000 --> 00:13:15.000]   And then you do the same with your cost of your interest.
[00:13:15.000 --> 00:13:21.000]   And you look at it and you say, what about the cost of the interest of the debt?
[00:13:21.000 --> 00:13:24.000]   Is it deductible in any way?
[00:13:24.000 --> 00:13:26.000]   Is there any way to have some of it forgiven?
[00:13:26.000 --> 00:13:29.000]   Can I renegotiate that interest, etc, etc?
[00:13:29.000 --> 00:13:39.000]   It's mathematically all related to interest rates and whichever interest rate is higher, that's the one you should do.
[00:13:39.000 --> 00:13:46.000]   But we need to also analyze this on at least two other fronts.
[00:13:46.000 --> 00:13:54.000]   The second front has to do with your own time period of focus and financial change.
[00:13:54.000 --> 00:13:58.000]   And the key here is your personal motivation.
[00:13:58.000 --> 00:14:08.000]   Would you find it more motivating to save and invest money or would you find it more motivating to pay off debt?
[00:14:08.000 --> 00:14:13.000]   Because that motivation will cause you to do different things.
[00:14:13.000 --> 00:14:24.000]   This is the secret of why the Ramsey-esque idea that debt should be avoided like by like setting your hair on fire or just getting out of debt so quickly.
[00:14:24.000 --> 00:14:27.000]   This is why it's so compelling.
[00:14:27.000 --> 00:14:29.000]   The key is motivation.
[00:14:29.000 --> 00:14:39.000]   Most people will have a clearer vision of what debtlessness means than they will of what it means to save money for retirement.
[00:14:39.000 --> 00:14:49.000]   Most people, especially most 31 year olds, can more clearly understand how their life will be affected by being debt free.
[00:14:49.000 --> 00:14:57.000]   Then they can clearly understand how their life will be affected by their retirement account balances at 65.
[00:14:57.000 --> 00:15:02.000]   Most people can clearly imagine what their life would be like if they have no debt.
[00:15:02.000 --> 00:15:04.000]   After all, they know the numbers.
[00:15:04.000 --> 00:15:06.000]   You can get those numbers very, very quickly.
[00:15:06.000 --> 00:15:08.000]   Just pull your credit report, find out how much debt you have.
[00:15:08.000 --> 00:15:12.000]   And so most people can grasp that.
[00:15:12.000 --> 00:15:16.000]   And most people's debts are relative to their income.
[00:15:16.000 --> 00:15:19.000]   And so not only does that make these debts conceivable.
[00:15:19.000 --> 00:15:26.000]   So for example, with $95,000 of student loan debt between you and your wife, I assume that both of you are well employed.
[00:15:26.000 --> 00:15:27.000]   Because you should be.
[00:15:27.000 --> 00:15:29.000]   You paid a lot of money for a college degree.
[00:15:29.000 --> 00:15:33.000]   Hopefully that college degree bought you access into a great job.
[00:15:33.000 --> 00:15:38.000]   So now you have a lot of money and you can pay down that $95,000.
[00:15:38.000 --> 00:15:44.000]   Now somebody who doesn't have a good job, they may have $9,500 and they have a $9,500 problem.
[00:15:44.000 --> 00:15:47.000]   Most of our debts are relative to our income.
[00:15:47.000 --> 00:15:53.000]   So if we focus on them, we can create a plan to get debt free fast.
[00:15:53.000 --> 00:16:00.000]   Most people who are earning $2,000 a month don't owe $100,000 in debt.
[00:16:00.000 --> 00:16:01.000]   I hope that that's coming through.
[00:16:01.000 --> 00:16:04.000]   They may owe $7,000 in debt.
[00:16:04.000 --> 00:16:12.000]   And so because they can make a plan and they can clearly visualize the outcome of having no debt.
[00:16:12.000 --> 00:16:16.000]   And they can see how they can get there in a reasonable amount of time.
[00:16:16.000 --> 00:16:22.000]   Then now they can put in place the power of clear goal setting.
[00:16:22.000 --> 00:16:35.000]   It's a very unusual person who is motivated at 31 years old to have a clear goal of a $7 million portfolio at age 65.
[00:16:35.000 --> 00:16:37.000]   That's very unusual.
[00:16:37.000 --> 00:16:44.000]   But many people can grasp the simplicity of zero debt.
[00:16:44.000 --> 00:16:54.000]   It's easier, of course, to grasp the concept of zero than the concept of $7.2 million of inflated, you know, inflation adjusted portfolio balance, blah, blah, blah, blah, blah.
[00:16:54.000 --> 00:17:02.000]   So they can grasp zero debt and most people can grasp 12 months or 18 months or 24 months.
[00:17:02.000 --> 00:17:07.000]   And that's the power because once somebody can grasp that simple goal, then they can start working on it.
[00:17:07.000 --> 00:17:14.000]   That focus, that ability to clearly visualize what my life will be like if I had no debt.
[00:17:14.000 --> 00:17:24.000]   Because as they're writing out that monthly credit card payment or as they're sitting there seeing that student loan debt pulled from their checking account, they can look and say, man, I would like to do something else with that $300.
[00:17:24.000 --> 00:17:28.000]   After all, if I had that $300, then a weekend trip away would be no big deal.
[00:17:28.000 --> 00:17:32.000]   I could do that every month, but instead I've got to pay the stupid debt.
[00:17:32.000 --> 00:17:39.000]   So the power of that clear focus is what creates change in their life.
[00:17:39.000 --> 00:17:48.000]   And the power of that clear focus leads people to work more, to earn more, and to spend less.
[00:17:48.000 --> 00:17:57.000]   And it's that clear focus that motivates people to change their lives, to create excess cash flow because they're changing their behavior.
[00:17:57.000 --> 00:18:07.000]   They're working more, earning more, and spending less. And that change of behavior creates excess cash flow, which can now be funneled into your plan.
[00:18:07.000 --> 00:18:12.000]   Now the question is this.
[00:18:12.000 --> 00:18:17.000]   The mathematical constant still holds.
[00:18:17.000 --> 00:18:28.000]   The excess cash flow should be diverted to wherever the highest interest rate is, towards paying off the debt or towards saving for the future.
[00:18:28.000 --> 00:18:30.000]   It should be diverted there.
[00:18:30.000 --> 00:18:44.000]   But would that excess cash flow have been created if the goal were savings and not getting out of debt?
[00:18:44.000 --> 00:18:51.000]   And for most people, the answer is no.
[00:18:51.000 --> 00:18:56.000]   You might be very motivated to fully fund your 401k or your 403b.
[00:18:56.000 --> 00:18:58.000]   You might be very motivated to fully fund your Roth IRA.
[00:18:58.000 --> 00:19:10.000]   And if you are, and if that's motivating you to work as much as you can, earn as much as you can, spend as little as possible, awesome.
[00:19:10.000 --> 00:19:14.000]   But most people are not motivated by that.
[00:19:14.000 --> 00:19:23.000]   They're also not motivated by it for an extended period of time because there's no reward.
[00:19:23.000 --> 00:19:25.000]   There's no payoff.
[00:19:25.000 --> 00:19:30.000]   And this is what's so powerful about being focusing on paying off debt.
[00:19:30.000 --> 00:19:42.000]   When someone like Dave Ramsey, his entire idea, his entire program is built on this concept of short-term goal achievement.
[00:19:42.000 --> 00:19:50.000]   You will almost never hear him talk to somebody and accept a plan that takes somebody five years to get out of debt.
[00:19:50.000 --> 00:19:57.000]   Now, there may be a reality that some of those unusual situations, somebody has massive medical debt or massive failed business, et cetera.
[00:19:57.000 --> 00:19:59.000]   Like those things do occur.
[00:19:59.000 --> 00:20:02.000]   But he's all about the one year, two year plan.
[00:20:02.000 --> 00:20:05.000]   And people can hold that in their mind.
[00:20:05.000 --> 00:20:07.000]   That's a human scale.
[00:20:07.000 --> 00:20:11.000]   40 years is not a reasonable scale for most people.
[00:20:11.000 --> 00:20:19.000]   It's a very, very small percentage of the human population that has the ability to think in that long time perspective.
[00:20:19.000 --> 00:20:24.000]   Those that do are very successful, but that's a very small percentage of the population.
[00:20:24.000 --> 00:20:29.000]   There's a much broader percentage of the population that can think in that one to two year time period.
[00:20:29.000 --> 00:20:38.000]   And so when somebody says, we're going to get out of debt one year from now, they're working and saving and spending nothing and paying extra.
[00:20:38.000 --> 00:20:50.000]   And that emotional energy creates far more money than the emotional energy about I'm fully funding my retirement accounts.
[00:20:50.000 --> 00:20:51.000]   Is this coming through?
[00:20:51.000 --> 00:20:53.000]   Do you see how clear this is?
[00:20:53.000 --> 00:21:06.000]   It's that extra money that when fat funneled into the equation can make one of these choices writer, but writer, I may be back, but I've lost my ability to speak English better or worse.
[00:21:06.000 --> 00:21:17.000]   So now let's say that your net interest rate of your debt was 4% and your net interest rate of your investments was 7%.
[00:21:17.000 --> 00:21:29.000]   But the person who's paying off debt not only takes the $2,000 per month of, of excess that they have now, but they put another $2,000 a month of additional income and additional savings behind it.
[00:21:29.000 --> 00:21:33.000]   So now they're paying $4,000 because they're motivated to get out of debt.
[00:21:33.000 --> 00:21:40.000]   Whereas the person who is just saving money for the future only has the $2,000 and they're not motivated to increase that.
[00:21:40.000 --> 00:21:46.000]   They don't want to work all those extra hours because it's a 40 year timeline.
[00:21:46.000 --> 00:21:47.000]   I've got plenty of time.
[00:21:47.000 --> 00:21:49.000]   I'm going to have plenty of money with the $2,000.
[00:21:49.000 --> 00:22:02.000]   And so now the person who puts the $4,000 into the debt, they will be richer, not because of interest rates, but because of that extra $2,000 that the power of focus on debtlessness created.
[00:22:02.000 --> 00:22:06.000]   So it's all about that ability to focus.
[00:22:06.000 --> 00:22:14.000]   And if that focus and that clear goal setting creates change, then it's powerful.
[00:22:14.000 --> 00:22:20.000]   My experience has been as much of a money nerd as I am, I am.
[00:22:20.000 --> 00:22:32.000]   I have always been much more enthusiastic and motivated to pay off debt than I have ever been to save for a long-term goal.
[00:22:32.000 --> 00:22:34.000]   Now, should it be that way?
[00:22:34.000 --> 00:22:37.000]   I wish it weren't, but we're not robots.
[00:22:37.000 --> 00:22:39.000]   We're emotional creatures.
[00:22:39.000 --> 00:22:43.000]   And it's an emotional fact that that has been my experience.
[00:22:43.000 --> 00:22:48.000]   I envy those people who don't seem to function in that same emotional way.
[00:22:48.000 --> 00:22:54.000]   They seem to have as much clarity about their long-term accumulation goals as anything else.
[00:22:54.000 --> 00:22:55.000]   They exist.
[00:22:55.000 --> 00:23:06.000]   But I've always found that when you nurture a hatred for your debt, it gets you out of bed earlier, gets you in bed later, and it gives you a clear thing towards saving money.
[00:23:06.000 --> 00:23:14.000]   And when you're paying off debt, you have such neat charts and things that you can build that just give you an idea.
[00:23:14.000 --> 00:23:17.000]   Just one of the silly thing I used to do when I was paying off debt.
[00:23:17.000 --> 00:23:33.000]   I used to, when I was going out to dinner or spending some money and I forewent an expenditure that I would have liked to have engaged in, but I forewent it because I was paying off debt.
[00:23:33.000 --> 00:23:37.000]   I would always give myself the immediate gratification of paying that immediately.
[00:23:37.000 --> 00:23:56.000]   So, for example, if I said, you know what, I would really love to have a nice glass of red wine with this dinner, but it's $8.50 and I'd have to tip, I would pull out my cell phone and I would say, I'm going to move $10 and I'm going to go ahead and make a $10 micropayment over towards that debt payment because I'm going to get this debt gone.
[00:23:56.000 --> 00:23:58.000]   And I would do it right then and there.
[00:23:58.000 --> 00:24:07.000]   So I'd have the experience of actually knowing, hey, I've changed my decision and that's helping me get to my goal.
[00:24:07.000 --> 00:24:12.000]   I have never once been motivated to make that decision when I'm working towards an accumulation goal.
[00:24:12.000 --> 00:24:22.000]   Accumulation goals, they only work for me if I just put them on autopilot and continue, but I've never been motivated to do all that much more for long-term accumulation goals.
[00:24:22.000 --> 00:24:33.000]   I have been about certain purchase items and things like that, but the only way I've ever been able to motivate myself towards long-term goals has been by putting in place overall constraints.
[00:24:33.000 --> 00:24:37.000]   Let's move on to the third area of analysis and we'll wrap this up.
[00:24:37.000 --> 00:24:44.000]   What about the lifestyle impact of either of these decisions?
[00:24:44.000 --> 00:24:52.000]   You can make an argument that either way, the financial benefits of the lifestyle should be identical.
[00:24:52.000 --> 00:25:06.000]   Meaning it shouldn't be the case that having debt or having savings, it shouldn't be the case that they're any different.
[00:25:06.000 --> 00:25:16.000]   If you could make a $500 payment towards your debt, but you instead put that $500 payment into your Roth IRA and you just view your Roth IRA as a savings account.
[00:25:16.000 --> 00:25:23.000]   If three months from now you want to take that $500 out of your Roth IRA and pay it against your debt, it should be equivalent.
[00:25:23.000 --> 00:25:26.000]   After all, that may be one month's payment.
[00:25:26.000 --> 00:25:29.000]   I make those arguments myself.
[00:25:29.000 --> 00:25:36.000]   You should be able to free your mind and just make any decision that you want, simply knowing that you have $100,000 in the bank.
[00:25:36.000 --> 00:25:47.000]   And if you have $95,000 in investments and $95,000 in debt, you're in exactly the same place that you would be if you paid off the $95,000 and had no money.
[00:25:47.000 --> 00:25:50.000]   It should be that way.
[00:25:50.000 --> 00:25:54.000]   For some people, it might be that way.
[00:25:54.000 --> 00:25:59.000]   I'm unconvinced that for most people it is that way.
[00:25:59.000 --> 00:26:22.000]   I think real life has proven to me and to many others that the concept of being debt free is much more in tune with the human capacity for planning than the concept that I just am a robot and I have all these complex financial spreadsheets and I am able to think the same way.
[00:26:22.000 --> 00:26:39.000]   Somebody who has zero debt is going to think differently than somebody who has debt and the same amount of money in the bank, at least when we're talking for most people and in most circumstances.
[00:26:39.000 --> 00:26:40.000]   I concede.
[00:26:40.000 --> 00:26:53.000]   I wish we could all be smart people, but I think the reality is we have a far higher estimation of our capacity for complex reasoning and complex mathematics than we should.
[00:26:53.000 --> 00:26:57.000]   The story that disabused me of that concept was when I was in college.
[00:26:57.000 --> 00:27:00.000]   I studied the long-term capital management debacle.
[00:27:00.000 --> 00:27:18.000]   And the short version is back in the mid 90s, long-term capital management was founded as the most incredible hedge fund that was going to be completely driven by the smartest people in the world with the smartest formulas and strategies in the world.
[00:27:18.000 --> 00:27:23.000]   And it wound us up almost sinking the global economy, especially the Southeast Asian economy.
[00:27:23.000 --> 00:27:28.000]   It was a nightmare because people thought they were smarter than they were.
[00:27:28.000 --> 00:27:32.000]   And I've seen that again and again and again in human terms.
[00:27:32.000 --> 00:27:34.000]   There are some people who are smart.
[00:27:34.000 --> 00:27:36.000]   It wasn't that their formulas were all wrong.
[00:27:36.000 --> 00:27:48.000]   It wasn't that there weren't smart people, but people who are smart, who build their world on complex spreadsheets and have leveraged forms of finance coming in and investments over there.
[00:27:48.000 --> 00:27:50.000]   A lot of times that game gets out of hand.
[00:27:50.000 --> 00:27:52.000]   It's just bigger than the human capacity.
[00:27:52.000 --> 00:27:55.000]   Not all the time, but a lot of times.
[00:27:55.000 --> 00:28:00.000]   Whereas on the other side, there are a lot of people who approach their life very simply.
[00:28:00.000 --> 00:28:07.000]   And because they're capable of sticking with the plan, they can just, they can make it work.
[00:28:07.000 --> 00:28:10.000]   It's on a human scale.
[00:28:10.000 --> 00:28:17.000]   I also think things like getting out of debt work well in terms of the psychological games that we play with ourselves around goals.
[00:28:17.000 --> 00:28:19.000]   Giving names to money.
[00:28:19.000 --> 00:28:24.000]   The human brain doesn't seem to have a good concept for numbers, especially numbers that are always changing.
[00:28:24.000 --> 00:28:26.000]   We have to constantly inflation adjust our numbers.
[00:28:26.000 --> 00:28:35.000]   We constantly have to adjust our numbers for taxes and fees and costs and simplicity works.
[00:28:35.000 --> 00:28:50.000]   So when you think about the lifestyle of somebody who's debt free, I think they'll enjoy that lifestyle oftentimes a lot more than somebody who has complex systems.
[00:28:50.000 --> 00:28:53.000]   Now, I don't say that's absolutely true.
[00:28:53.000 --> 00:29:04.000]   And what happens is in different stages of life and in different types of business, you just simply outrun your ability to even ever possibly be debt free.
[00:29:04.000 --> 00:29:15.000]   Or it just doesn't make any sense for you to not set things up in a more complex way for various reasons.
[00:29:15.000 --> 00:29:27.000]   But for most people, because they can understand the simplicity of the lifestyle of saying, "Hey, I'm going to be out of debt," it's a really powerful emotional thing.
[00:29:27.000 --> 00:29:35.000]   And here's where, again, you have to then think about you and your wife, your own personal emotions, your families, etc.
[00:29:35.000 --> 00:29:38.000]   And consider what will be helpful to us.
[00:29:38.000 --> 00:29:42.000]   I believe there's a real power in that idea of being debt free.
[00:29:42.000 --> 00:29:46.000]   So those are the three areas that I would recommend that you focus on.
[00:29:46.000 --> 00:29:53.000]   You have to know the actual numbers because mathematically those numbers make the difference.
[00:29:53.000 --> 00:30:10.000]   You have to look at what the time period of focus is and ask yourself, "Will I be more motivated to work a lot more and save a lot more and spend a lot less if I'm saving money or if I'm paying off debt?"
[00:30:10.000 --> 00:30:17.000]   And then think about what lifestyle changes would be possible for you if you did or did not pay off debt or if you did or did not invest.
[00:30:17.000 --> 00:30:26.000]   Now, for most people, if you work that process through, you'll start to come to your own conclusion.
[00:30:26.000 --> 00:30:32.000]   Let me give you a few examples here to show you how this can be different for different people.
