
[00:00:00.000 --> 00:00:05.640]   You just got paid, but now what do you do? Do you move money to savings, invest, pay down debt,
[00:10:29.000 --> 00:10:33.180]   like I have a partner I can trust to handle everything for my personal and business taxes.
[00:10:33.180 --> 00:10:38.800]   You can think of Gelt as the ultimate modern CPA. Of course, they have an in-house team of expert CPAs
[00:10:38.800 --> 00:10:43.820]   to work with who can help you determine the most effective tax strategies to minimize risk and grow
[00:10:43.820 --> 00:10:49.220]   your wealth. But they also have an amazing tech platform that gives you personalized guidance to
[00:10:49.220 --> 00:10:54.800]   maximize deductions, tax credits, and savings. Beyond that, the tax library you get access to as a client
[00:10:54.800 --> 00:10:59.960]   has dozens of in-depth guides on things like choosing retirement plans, taxes for parents,
[00:10:59.960 --> 00:11:06.380]   qualified business income or QBI, and much more. So if you're ready for a more premium proactive tax
[00:11:06.380 --> 00:11:13.400]   strategy to optimize and file your taxes, definitely check out Gelt. And as a viewer, you can skip the
[00:11:13.400 --> 00:11:19.980]   wait list. Just head to chrishutchins.com slash Gelt, G-E-L-T. Again, that's chrishutchins.com slash
[00:11:19.980 --> 00:11:25.960]   Gelt. Or find the link in the description to stop overpaying on taxes. Okay, next up is a short-term
[00:11:25.960 --> 00:11:31.040]   goals fund. Now, this is different from your emergency fund because it's for expected expenses. But like
[00:11:31.040 --> 00:11:37.340]   your emergency fund, I keep it in the same type of liquid and low-risk investments. And I say investments,
[00:11:37.340 --> 00:11:41.860]   but more often than not, it's a high-yield savings account where it's in a brokerage account but stored
[00:11:41.860 --> 00:11:47.900]   in something like a treasury money market fund or actually buying treasuries or a treasury ETF or just
[00:11:47.900 --> 00:11:54.520]   something low-fee, easy liquidity, but still earning four or more percent right now in today's market.
[00:11:54.520 --> 00:11:58.920]   I'm recording this at the end of June. Who knows what happens in the future? Now, why did I say five
[00:11:58.920 --> 00:12:03.320]   years? You could invest this money in the stock market. That'd be totally fine. The long-term expected
[00:12:03.320 --> 00:12:06.500]   returns are going to be greater than you're going to get from a high-yield savings account.
[00:12:06.500 --> 00:12:11.680]   However, the market drops. That's just something that happens. And you don't want to be in a situation
[00:12:11.680 --> 00:12:15.540]   where you're saving up for a down payment. And the point in time you want to buy your home,
[00:12:15.540 --> 00:12:19.560]   the market's down 20% or 30%. And that's the time you need to take your money out.
[00:12:19.560 --> 00:12:23.920]   So I like to keep this money in a place that is separate from my long-term investing.
[00:12:23.920 --> 00:12:28.520]   That said, if my goals were 10, 20 years from now, you want a down payment someday,
[00:12:28.520 --> 00:12:33.040]   day, but it hasn't really entered in that next five-year window. Absolutely. I'd be investing
[00:12:33.040 --> 00:12:38.340]   that in a different way. But for short-term goals, this is what I'm doing. Also, you want to consider
[00:12:38.340 --> 00:12:42.600]   the cost of not having this cash, right? So let's say you're trying to make a down payment and you
[00:12:42.600 --> 00:12:48.280]   don't have this accessible. You might be paying PMI, which is a type of insurance that you have to pay
[00:12:48.280 --> 00:12:52.820]   if your down payment is too small, or you might have to borrow at really high interest rates.
[00:12:53.440 --> 00:12:57.940]   Sometimes the best way you can earn on your money is actually avoiding debt in the future,
[00:12:57.940 --> 00:13:03.120]   which is why I like to make sure I have all my short-term goals funded and saved in cash
[00:13:03.120 --> 00:13:08.340]   before they happen. Okay. After your goals are covered, I think it's time to do what I'll call
[00:13:08.340 --> 00:13:13.060]   a debt review. And the target right now for what I typically would think about paying off is in that
[00:13:13.060 --> 00:13:18.960]   six to 8% range. And it's a little tricky because the rates are a little borderline. They're higher
[00:13:18.960 --> 00:13:23.520]   than what you typically are on your cash, probably close to what you'd earn on investing, maybe a
[00:13:23.520 --> 00:13:26.740]   little less. And there's some other factors that might apply. So here's my rule of thumb.
[00:13:26.740 --> 00:13:32.540]   If the debt isn't tax deductible, right? So there are certain types of debt like mortgages or maybe
[00:13:32.540 --> 00:13:37.020]   investment interest, maybe even related to student loans, where you're actually going to get a tax
[00:13:37.020 --> 00:13:42.280]   savings for the interest you pay on that debt. So I think you should look at the interest rates on,
[00:13:42.280 --> 00:13:46.460]   I'll call it like a tax adjusted basis, right? If you have a 6% mortgage,
[00:13:46.460 --> 00:13:50.880]   mortgage, but that mortgage interest is tax deductible, and you live in a high tax state,
[00:13:50.880 --> 00:13:55.420]   and you make a lot of money, it might really be more like 3% or 4%. You have to do your own math
[00:13:55.420 --> 00:14:00.740]   related to your own tax brackets. But if you have a loan, and it's at, let's call it 7.5%,
[00:14:00.740 --> 00:14:05.760]   we'll call it a used car loan. I would lean towards paying that off at this point. Now,
[00:14:05.760 --> 00:14:09.880]   when you look at paying off this debt, and you compare it to some of the short term goals I talked
[00:14:09.880 --> 00:14:15.940]   about in the previous step, I think you could make a case depending on the timeframe of how soon they are,
[00:14:15.940 --> 00:14:19.860]   that it might make sense to pay off the debt first, you're obviously going to be earning
[00:14:19.860 --> 00:14:28.280]   more by paying off 7.5% debt than by putting money aside earning 4%. But depending on the type of loan
[00:14:28.280 --> 00:14:33.480]   that you have, it might be very difficult for you to be able to get that money again, if you need it.
[00:14:33.480 --> 00:14:38.900]   So for example, let's say you had a 7.5% student loan, and you're trying to make a down payment,
[00:14:38.900 --> 00:14:42.660]   and you want to set aside some money. Well, yes, you could pay that student loan off,
[00:14:42.660 --> 00:14:48.340]   and you'd effectively be getting a 7.5% return. Let's assume there's no deductibility on the interest.
[00:14:48.340 --> 00:14:52.140]   But now that you've paid it off, let's say you actually need that money for some other purpose,
[00:14:52.140 --> 00:14:56.300]   one of those short term goals. Well, you might not be able to borrow at 7.5% now.
[00:14:56.300 --> 00:14:59.700]   Maybe you have to go take out a personal loan, or maybe you have to put it on a credit card with a
[00:14:59.700 --> 00:15:05.200]   20% interest rate. And so you want to weigh how soon that goal is and what alternative ways you
[00:15:05.200 --> 00:15:10.340]   have to fund it or delay it if you pay that debt off first. Now, just to be clear, I'm not anti-debt.
[00:15:10.340 --> 00:15:15.100]   I don't think you should pay off all debt, but I am anti-debt when the math doesn't work out over
[00:15:15.100 --> 00:15:19.680]   other types of investments. Okay, now let's talk about investing. We've got the high interest debt
[00:15:19.680 --> 00:15:24.440]   covered, we've got our safety net and short-term goals funded, and it's time to start building real
[00:15:24.440 --> 00:15:29.160]   long-term wealth. And the thing I like to start with here is tax-advantaged investing.
[00:15:29.680 --> 00:15:34.100]   Now, many of these things will be very dependent on your employer and what types of accounts you
[00:15:34.100 --> 00:15:39.380]   have access to, your current income tax bracket, and even your health insurance plan in the case
[00:15:39.380 --> 00:15:45.240]   of an HSA. So I can't give a one-size-fits-all answer. However, when I think about tax-advantaged
[00:15:45.240 --> 00:15:53.020]   accounts, I'm thinking mostly about IRAs, 401Ks, 403Bs, but my favorite is probably the Roth IRA and
[00:15:53.020 --> 00:15:59.600]   the HSA. And that's because they offer a ton of flexibility, really low fees, because you can house them,
[00:15:59.660 --> 00:16:04.000]   usually at a brokerage account of your choosing, and some of the best investment options. And on
[00:16:04.000 --> 00:16:08.880]   the HSA side, you've got the triple tax deduction of being able to put money in tax-free, being able to
[00:16:08.880 --> 00:16:13.680]   put it in tax-free, being able to take it out tax-free, and being able to have it grow tax-free.
[00:16:13.680 --> 00:16:17.820]   So it's an amazing account. And on the Roth IRA side, I know many people don't think that they
[00:16:17.820 --> 00:16:22.980]   might be eligible because of their income or their workplace retirement plans. I'd encourage you to go
[00:16:22.980 --> 00:16:28.440]   look into a backdoor Roth IRA contribution, which is something that is kind of a workaround that the
[00:16:28.440 --> 00:16:33.400]   IRS has finally signed off on, if you will. And it's something I do every year. And so take a look at
[00:16:33.400 --> 00:16:38.580]   that as a way to be able to contribute to a Roth IRA, even if you're not directly eligible. After the
[00:16:38.580 --> 00:16:47.080]   Roth IRA and the HSA, I'm looking at 401ks, 403bs, solo 401ks, maybe a SEP IRA, anything that you have
[00:16:47.080 --> 00:16:54.520]   access to with low fees, good investment options is a really great place to start saving in a tax
[00:16:54.520 --> 00:17:00.300]   advantaged way. If you don't have good investment options, or you have a 401k at work with really high
[00:17:00.300 --> 00:17:05.820]   fees, I'd probably make the argument that the tax savings aren't worth it. And after you've used an
[00:17:05.820 --> 00:17:10.080]   employer match, if you have one, it might be better to just put your money in a taxable brokerage account
[00:17:10.080 --> 00:17:14.200]   where you have a lot more control. And if you're a high earner, and you're saving a lot of money each
[00:17:14.200 --> 00:17:19.880]   year, definitely look at your 401k plan if you have one, and see if you have the ability to make after
[00:17:19.880 --> 00:17:25.620]   tax contributions and roll them out into a Roth IRA. It's called a mega backdoor Roth contribution,
[00:17:25.620 --> 00:17:31.460]   and actually has a limit each year of up to $70,000. So you could put a lot more money than you might be
[00:17:31.460 --> 00:17:37.400]   thinking into your tax advantaged retirement accounts. If you want to go really deep on tax
[00:17:37.400 --> 00:17:43.900]   advantaged accounts, this is not it. I did a really deep dive episode number 144. Go check that out.
[00:17:43.900 --> 00:17:47.800]   The reason I give the numbers is because you can either scroll through till you find the number or
[00:17:47.800 --> 00:17:53.680]   just go to allthehacks.com slash 144. And it'll redirect you to the page, which has links to the
[00:17:53.680 --> 00:17:57.420]   episode in different podcast players, and it should jump right to that episode.
[00:17:58.720 --> 00:18:03.880]   Now, the obvious downside of putting your money in these tax advantaged accounts is that you're kind
[00:18:03.880 --> 00:18:09.600]   of locking your money up until retirement. And to take it out early often comes with taxes and fees
[00:18:09.600 --> 00:18:15.900]   or penalties. But the tax advantage really can add up over decades. So it's important to make sure that
[00:18:15.900 --> 00:18:20.940]   you do have your money set aside for short term goals before putting your money here, because you
[00:18:20.940 --> 00:18:25.640]   don't want to have to pay those penalties and fees for a wedding down payment or any other major expenses,
[00:18:25.640 --> 00:18:30.700]   because it will completely negate all the tax advantage of putting money in. That said, even if
[00:18:30.700 --> 00:18:34.420]   you knew you were going to have to take all your retirement money out, and your employer was offering
[00:18:34.420 --> 00:18:38.460]   a match, I would still take advantage of that match, putting no regard to whether you're going to leave
[00:18:38.460 --> 00:18:42.460]   that money in forever, because it's still going to make up for any fees you'll pay taking the money
[00:18:42.460 --> 00:18:47.500]   out. All right, the next step is brokerage investing. And that's where most people are going to spend the
[00:18:47.500 --> 00:18:52.100]   longest amount of time in this framework. Once your tax advantaged accounts are full,
[00:18:52.480 --> 00:18:57.180]   your emergency fund solid, all your debts behind you, that your taxable brokerage accounts are going
[00:18:57.180 --> 00:19:01.240]   to be the default destination for every new dollar you save and invest. They're incredibly
[00:19:01.240 --> 00:19:06.620]   flexible. There's no contribution limits. You're not forced to pick a specific brokerage with specific
[00:19:06.620 --> 00:19:12.580]   investment options or fees. There's no penalties to withdraw it. You get long term capital gains if you
[00:19:12.580 --> 00:19:17.360]   hold your money long enough. And the right investments, there's no early withdrawal penalties,
[00:19:17.660 --> 00:19:21.960]   income phase outs, or really anything. You can use the money for anything also. You can use it for early
[00:19:21.960 --> 00:19:27.420]   retirement, travel, sabbatical, whatever you want. Although I would say if those things are in the next
[00:19:27.420 --> 00:19:32.080]   five years, it's probably not the best idea to invest them given that the market can go down. As for how to
[00:19:32.080 --> 00:19:37.200]   invest the money in your taxable brokerage account, I don't think it has to be fancy. You can build really
[00:19:37.200 --> 00:19:43.560]   serious wealth by just investing passively in low cost index funds or ETFs. I'm not trying to beat the
[00:19:43.560 --> 00:19:49.360]   market. I'm not trying to time the market. The majority of my money is in index funds just trying
[00:19:49.360 --> 00:19:55.340]   to match the market performance. I do personally like to be diversified across sectors and geographies.
[00:19:55.340 --> 00:20:01.380]   So some of those are international. Some of those are US based. The majority is US based because that's
[00:20:01.380 --> 00:20:06.900]   where I live. But I do have a bit of diversification in a couple different index funds. I also like to align
[00:20:06.900 --> 00:20:11.700]   the portfolio I have and I would recommend everyone think about their own level of risk tolerance and how much
[00:20:11.700 --> 00:20:16.660]   they're willing to stomach a drop if the market changes because that's an important thing that
[00:20:16.660 --> 00:20:21.680]   if you haven't experienced it before, it can be a little bit tough to experience. And then I would
[00:20:21.680 --> 00:20:27.320]   just really avoid over trading unnecessary complexity. I don't like to spend a lot of time in my brokerage
[00:20:27.320 --> 00:20:32.840]   account thinking about it at all. In fact, most of mine is automated and it's not something I check on
[00:20:32.840 --> 00:20:37.420]   a daily basis. I actually went really deep on everything when it comes to building a portfolio
[00:20:37.420 --> 00:20:42.260]   with my old co-founder from the financial planning firm I ran. It's in episode 168. But
[00:20:42.260 --> 00:20:47.280]   beyond that, taxable brokerage accounts are really powerful for long-term investing when it comes to
[00:20:47.280 --> 00:20:53.380]   tax efficiency. So a few reasons. One, you get access to long-term capital gains rate, right? The tax rate
[00:20:53.380 --> 00:20:58.480]   you pay at the federal level on long-term investments that are held for more than a year where you have
[00:20:58.480 --> 00:21:04.820]   gains is lower than the income tax rate for a similar level of income. So you're getting preferable tax
[00:21:04.820 --> 00:21:09.820]   treatment on long-term investments, which is fantastic. And you can take advantage of tax
[00:21:09.820 --> 00:21:15.600]   loss harvesting. Meaning if you have an investment that is down below the price you paid, you can sell
[00:21:15.600 --> 00:21:21.180]   that investment and capture those losses and use them to offset other gains, whether it's long or
[00:21:21.180 --> 00:21:26.920]   short-term gains, or you can offset up to $3,000 of income a year. Now, when you do that, when you sell
[00:21:26.920 --> 00:21:33.640]   that asset, you're not still holding it. So if your intent is to keep that investment, then you can rebuy that
[00:21:33.640 --> 00:21:39.660]   investment. However, either you need to wait 30 days to avoid what the IRS calls a wash sale, where you
[00:21:39.660 --> 00:21:44.580]   actually aren't able to capture those losses, or you can buy something very similar. So if you're
[00:21:44.580 --> 00:21:51.200]   holding an S&P 500 fund, you could maybe buy a U.S. total stock market fund, and that would not be the
[00:21:51.200 --> 00:21:57.640]   exact same investment. So you could sell the S&P 500 fund when it's down, buy the total stock market fund at
[00:21:57.640 --> 00:22:04.080]   that same level. And then as the market rises, you would have a lower cost basis, meaning someday in
[00:22:04.080 --> 00:22:09.980]   the future when you sell, you will likely owe more taxes. Though if those investments do happen to end
[00:22:09.980 --> 00:22:15.060]   up being donated to charity, which I'll talk to about in a second, or if those investments are passed down
[00:22:15.060 --> 00:22:20.160]   to your children, there might be a step up and they won't actually have taxes due. But in general, if you
[00:22:20.160 --> 00:22:24.800]   were to sell them and use those proceeds yourself, you would have taxes owed, but they would come at that
[00:22:24.800 --> 00:22:30.680]   long-term capital gains rate. So if you're able to use those captured tax losses now to offset your
[00:22:30.680 --> 00:22:37.380]   tax today, especially if it's your actual short-term cap gains or income tax rates, it can be pretty
[00:22:37.380 --> 00:22:42.300]   advantageous. It's a lot to think about. And so I personally like to use an investment platform that
[00:22:42.300 --> 00:22:46.560]   does this for me. Full disclosure, I worked at Wealthfront. I'm a shareholder of Wealthfront.
[00:22:46.560 --> 00:22:51.760]   I use Wealthfront. I do pay fees at Wealthfront because I'm no longer an employee. And so I use them to
[00:22:51.760 --> 00:22:56.840]   automate all my investing, tax loss harvesting, rebalancing. I think that the benefit of tax
[00:22:56.840 --> 00:23:03.900]   loss harvesting far outweighs the 0.25% fee I pay to have it managed. So there are other solutions.
[00:23:03.900 --> 00:23:08.180]   If you're not interested, you can do tax loss harvesting yourself. It can just be a little bit
[00:23:08.180 --> 00:23:12.640]   more complicated and you want to keep track of things in a better way than if you outsource it
[00:23:12.640 --> 00:23:18.520]   to software that is doing all that for you. You can also donate appreciated assets to charity.
[00:23:18.520 --> 00:23:24.560]   So I like to say, if you're donating any amount of money ever, any year to charity, I would encourage
