
[00:00:00.000 --> 00:00:03.000]   Ready to meet stylish shoes that are also comfortable?
[00:03:11.000 --> 00:03:23.000]   But generally speaking, although the data is still a little bit fuzzy, generally speaking, the death rate does not seem to be as high as it otherwise would be, could be, and this is really good news.
[00:03:23.000 --> 00:03:28.000]   Now, there could still be hundreds of thousands of people that die.
[00:03:28.000 --> 00:03:40.000]   But chances are those people are the kind of people who are at the margins, a little bit older, have other problems with their immune system, have other health issues that they're dealing with.
[00:03:40.000 --> 00:03:46.000]   It doesn't seem to be a major risk for those of us who are healthy and those of us who have young children.
[00:03:46.000 --> 00:03:47.000]   And so that's a blessing.
[00:03:47.000 --> 00:03:54.000]   Now, I think we still need to be very diligent and very cautious to protect those who are weaker, people who are older, et cetera.
[00:03:54.000 --> 00:03:58.000]   That should be a very important priority for us.
[00:03:58.000 --> 00:04:05.000]   But I'm encouraged that I don't think that this coronavirus, this COVID-19, I don't think this is going to be another Spanish flu.
[00:04:05.000 --> 00:04:07.000]   I really don't.
[00:04:07.000 --> 00:04:08.000]   Time will tell.
[00:04:08.000 --> 00:04:12.000]   I'd like to wait a few more weeks before I see, you know, before I'm too convinced of that.
[00:04:12.000 --> 00:04:18.000]   But I don't think that this is going to be another Spanish flu killing tens of millions of people around the world.
[00:04:18.000 --> 00:04:20.000]   So I think we can all be grateful for that.
[00:04:20.000 --> 00:04:24.000]   It does not lessen the risk of a flu at any point in time.
[00:04:24.000 --> 00:04:28.000]   You can always have a global flu pandemic that is another Spanish flu.
[00:04:28.000 --> 00:04:30.000]   It doesn't lessen the risk at all.
[00:04:30.000 --> 00:04:39.000]   And one of the things that's so fascinating to watch this play out in real time is to see how really truly it can spread very quickly around the world.
[00:04:39.000 --> 00:04:48.000]   But another thing that I am optimistic about, one of the things that I think is a good sign is I'm optimistic now about the ability to get information out.
[00:04:48.000 --> 00:04:55.000]   I know people love to beat up on the news media, and I think a lot of some news media organizations deserve to be beat up upon.
[00:04:55.000 --> 00:05:00.000]   There are a lot of people who are working really hard, but some do deserve to be beat up on.
[00:05:00.000 --> 00:05:04.000]   Just like those of us who are financial advisors, some of us deserve to be beat up on as well.
[00:05:04.000 --> 00:05:13.000]   But I do think it's important to recognize how much easier it is to spread information among average people.
[00:05:13.000 --> 00:05:15.000]   There's a positive and a negative side of that.
[00:05:15.000 --> 00:05:32.000]   The positive side of that is that today, although there are more risks of something like a flu quickly being transferred from China to Europe to the United States to South America, all around the world, it can travel very quickly at the speed of airlines.
[00:05:32.000 --> 00:05:37.000]   There's also the ability for information to flow even faster.
[00:05:37.000 --> 00:05:51.000]   In today's world, public health officials in the United States can gain value from the information that's being – the data that's being collected in South Korea or the data that's being collected in Italy, etc.
[00:05:51.000 --> 00:05:56.000]   Then the information can spread quickly so that people can prepare ahead of time.
[00:05:56.000 --> 00:06:06.000]   I noticed that I was very glad to see many people taking significant preparation, stocking up on food, things like that, masks, hand sanitizer, soap.
[00:06:06.000 --> 00:06:12.000]   Much in advance of the outbreaks even being monitored, for example, in the United States.
[00:06:12.000 --> 00:06:20.000]   I think that this is good news, that the information can travel, the news can travel, so that individuals around the world can respond and react.
[00:06:20.000 --> 00:06:27.000]   I've also been impressed to see that it does seem like many of the quarantine efforts have been effective.
[00:06:27.000 --> 00:06:30.000]   I think that they're going to continue to be effective.
[00:06:30.000 --> 00:06:35.000]   Now, the United States has been much slower to respond than some of the other countries.
[00:06:35.000 --> 00:06:38.000]   I hope that that's not the case going forward.
[00:06:38.000 --> 00:06:43.000]   There's still going to need to be some significant response and it's just watched day by day.
[00:06:43.000 --> 00:06:57.000]   But seeing how Japan has responded and South Korea and seeing some of the very effective management, it is nice to see how in our modern society for all of the weaknesses, there are some things that can be done that make things stronger.
[00:06:57.000 --> 00:07:10.000]   I've been fascinated and horrified to see what is happening in China in terms of the way that now people, basically their permission to move about is based upon an app that's installed on their phone.
[00:07:10.000 --> 00:07:15.000]   The privacy activist in me despises the system.
[00:07:15.000 --> 00:07:20.000]   I cannot stand what the Chinese government does in many cases.
[00:07:20.000 --> 00:07:25.000]   But I do admire that possibly it may be effective going forward in the future.
[00:07:25.000 --> 00:07:36.000]   We're not going to know any real data for sure what happened for years because we're right in the middle of the crisis right now.
[00:07:36.000 --> 00:07:43.000]   And I'm trying to sound an optimistic tone because I think the data warrants an optimistic tone from a medical perspective.
[00:07:43.000 --> 00:07:47.000]   But I want to be clear, I do expect many, many more people to be infected.
[00:07:47.000 --> 00:07:52.000]   I do expect this infection to spread dramatically around the world still going forward.
[00:07:52.000 --> 00:08:02.000]   One of the things that I think you need to be mentally prepared for is I think there's a very good chance that this flu epidemic is going to be affected by seasonality.
[00:08:02.000 --> 00:08:04.000]   None of this is proven.
[00:08:04.000 --> 00:08:05.000]   I could be wrong on this.
[00:08:05.000 --> 00:08:16.000]   But from my reading, from people who seem more knowledgeable than me, that seem trustworthy, there does seem to be a significant impact of weather on the transmissibility of this flu.
[00:08:16.000 --> 00:08:25.000]   So one of the things that could be very helpful for the northern hemisphere is as the northern hemisphere goes into a summer season coming up, weather warms.
[00:08:25.000 --> 00:08:29.000]   That could help to contain the threat of the flu.
[00:08:29.000 --> 00:08:40.000]   It could also be a double-edged sword because what that would mean is if the flu were to back off during the summer season as the weather gets hotter, it'll just basically go underground a little bit.
[00:08:40.000 --> 00:08:45.000]   And then it would come back possibly with a vengeance towards the fall when things cool down a little bit.
[00:08:45.000 --> 00:08:50.000]   So those kinds of predictions really are unknown and I want to concede that.
[00:08:50.000 --> 00:08:59.000]   But I am grateful that the medical diagnosis does not seem currently to be as serious as it otherwise could be.
[00:08:59.000 --> 00:09:03.000]   I think we'll know more about that in the next couple of weeks, but I'm optimistic.
[00:09:03.000 --> 00:09:08.000]   I hope that my optimism is not misplaced, but that's genuinely how I feel.
[00:09:08.000 --> 00:09:19.000]   I'm optimistic and I'm not significantly concerned about the death risk to me, to my family, to you, to our neighbors.
[00:09:19.000 --> 00:09:26.000]   We need to be careful with those who have compromised immune systems, who have other systems, other problems as well.
[00:09:26.000 --> 00:09:31.000]   But I don't think it's going to be quite so devastating as it could be.
[00:09:31.000 --> 00:09:36.000]   Now, another few weeks we'll tell the story and so we need to pay careful attention.
[00:09:36.000 --> 00:09:43.000]   What I find fascinating about watching this particular event is seeing how people are responding and seeing how people are not responding.
[00:09:43.000 --> 00:09:53.000]   And just simply observing what's happening because so much of these kinds of events is driven by how people respond or don't respond.
[00:09:53.000 --> 00:09:57.000]   So those are my thoughts on the current virus.
[00:09:57.000 --> 00:10:00.000]   Keep an eye on it yourself and we'll see what happens.
[00:10:00.000 --> 00:10:07.000]   Again, I expect the numbers to continue to grow, but I'm encouraged that it seems less deadly than it otherwise could be.
[00:10:07.000 --> 00:10:09.000]   Now let's talk about economics.
[00:10:09.000 --> 00:10:19.000]   I remain deeply concerned, and in fact I'm probably more concerned than I was, about the economic impact of the COVID-19.
[00:10:19.000 --> 00:10:26.000]   I think that if the infection rates continue to spread, there will be major economic impacts from this.
[00:10:26.000 --> 00:10:36.000]   I don't see how the economic impacts that are already clear, for example the disruptions in the travel industry, airline bookings down, cruise bookings down,
[00:10:36.000 --> 00:10:43.000]   the disruptions of the hotel industry, people canceling festivals, people canceling things like that.
[00:10:43.000 --> 00:10:45.000]   I don't see how that doesn't get worse.
[00:10:45.000 --> 00:10:54.000]   I don't see how that this doesn't continue to make the general economic situation much more difficult.
[00:10:54.000 --> 00:11:05.000]   I don't see how at the moment we avoid this being part of a triggering event, some triggering events that take the United States economy into recession.
[00:11:05.000 --> 00:11:12.000]   It seems so severe in terms of the economic effects that I just don't see how this doesn't trigger recession.
[00:11:12.000 --> 00:11:14.000]   There is a lot of overall weakness in the economy.
[00:11:14.000 --> 00:11:17.000]   There's been a lot of challenges.
[00:11:17.000 --> 00:11:23.000]   We're overdue for a recession in the business cycle, and I don't see how this doesn't trigger that.
[00:11:23.000 --> 00:11:24.000]   In my own opinion.
[00:11:24.000 --> 00:11:26.000]   Now, again, time will tell.
[00:11:26.000 --> 00:11:36.000]   It is fascinating to watch the Federal Reserve, you know, 50 basis point cut in the funds rate, just massive stimulation going on.
[00:11:36.000 --> 00:11:41.000]   And so, you know, the Federal Reserve is doing everything that they can, and it'll be interesting to see if it works or not.
[00:11:41.000 --> 00:11:47.000]   You know, if you're a pro-Federal Reserve person, then this is an interesting test to see how good the Fed is.
[00:11:47.000 --> 00:11:51.000]   If you're a skeptic, this would be an interesting test to see how good the Fed is and see what actually happens.
[00:11:51.000 --> 00:11:54.000]   I don't think that this kind of stuff is the right response.
[00:11:54.000 --> 00:11:56.000]   I think it is.
[00:11:56.000 --> 00:11:59.000]   I don't think it's the right response, but I'll watch it and see.
[00:11:59.000 --> 00:12:10.000]   And so while I'm optimistic about the flu at this point in time, I'm personally increasingly pessimistic about the general economy.
[00:12:10.000 --> 00:12:14.000]   Now, that pessimism is kind of a mixture, though.
[00:12:14.000 --> 00:12:20.000]   I will concede to you that I have been looking for a recession for quite a while.
[00:12:20.000 --> 00:12:29.000]   And it, of course, sounds bad, and I want to acknowledge that my previous, I thought we would be in recession in 2017.
[00:12:29.000 --> 00:12:30.000]   I really did.
[00:12:30.000 --> 00:12:31.000]   I was wrong.
[00:12:31.000 --> 00:12:33.000]   I thought we'd be in recession in 2018.
[00:12:33.000 --> 00:12:34.000]   I really did.
[00:12:34.000 --> 00:12:36.000]   I was wrong.
[00:12:36.000 --> 00:12:43.000]   I thought that there would be a recession, going back, I think I thought there would be a recession in 2016, and I was wrong.
[00:12:43.000 --> 00:12:49.000]   So I want to fully concede that my economic prognostications have completely failed.
[00:12:49.000 --> 00:12:52.000]   And so I want to be very humble about my opinion.
[00:12:52.000 --> 00:12:56.000]   I don't want you to think that I'm some kind of expert who's just gotten everything right.
[00:12:56.000 --> 00:13:00.000]   I have been wrong, and I've been amazed to see how wrong I was.
[00:13:00.000 --> 00:13:05.000]   But that said, I've been waiting for a recession because I think a recession gives opportunities.
[00:13:05.000 --> 00:13:15.000]   And for people like me, who are younger, who have significant investment time horizons, I've been stockpiling cash and just waiting for recession.
[00:13:15.000 --> 00:13:18.000]   Now, I don't know if it's here, if it's wrong.
[00:13:18.000 --> 00:13:20.000]   I'll keep on stockpiling cash and waiting.
[00:13:20.000 --> 00:13:26.000]   But I do think that there is going to be a mixture of pain and also opportunity.
[00:13:26.000 --> 00:13:34.000]   That's always how recessions wind up working, is there a mixture of pain for some people, but there are also a mixture of opportunity for other people.
[00:13:34.000 --> 00:13:41.000]   And so in the days to come, as perhaps the financial picture becomes more clear, I'll try to give you more ideas on how to profit for a recession.
[00:13:41.000 --> 00:13:45.000]   For now, I'm content with my work to try to prepare you for the coming recession.
[00:13:45.000 --> 00:13:58.000]   The most important episode of Radical Personal Finance that you need to listen to if you have not listened to it, it's episode 666 called "How to Prepare for the Coming Recession," released in September of 2019.
[00:13:58.000 --> 00:14:08.000]   If you have not listened to that episode, I would beg you, please go back and listen to that episode, because in that episode, I give you my very best advice on how to prepare for a recession.
[00:14:08.000 --> 00:14:15.000]   And I personally have implemented all that advice, and I'm focused on preparing for a recession.
[00:14:15.000 --> 00:14:22.000]   Now, the good thing is that even if I'm wrong, and we'll talk about this when we get to risk management in a minute, even if I'm wrong, I'm not hurt.
[00:14:22.000 --> 00:14:35.000]   And I really feel like this is one of the worst, the most misunderstood things that people miss is how it's important to prepare for things without necessarily setting yourself up to be hurt by things.
[00:14:35.000 --> 00:14:42.000]   To prepare and to be willing to admit that I don't have a crystal ball, and so let me do things that are going to be good one way or the other.
[00:14:42.000 --> 00:14:46.000]   But please go listen to episode 666, "How to Prepare for the Coming Recession."
[00:14:46.000 --> 00:14:50.000]   I think that advice is more relevant than it ever was.
[00:14:50.000 --> 00:14:53.000]   And so pay careful attention.
[00:14:53.000 --> 00:14:56.000]   I think there's going to be some significant economic headwinds.
[00:14:56.000 --> 00:14:59.000]   The most important thing you can do is maintain your job.
[00:14:59.000 --> 00:15:07.000]   If you can maintain your job through a recession, then that will allow you to profit from it.
[00:15:07.000 --> 00:15:21.000]   Even if your profiting is as simple as buying stocks when they're on sale, dollar cost averaging into the stock market, then you'll still be protected and you'll still be able to profit from recession if you can stay employed.
[00:15:21.000 --> 00:15:25.000]   It's if you wind up unemployed where things become very difficult.
[00:15:25.000 --> 00:15:39.000]   In the podcast feed, if you scroll back in the podcast feed, you'll see that I put a replay immediately after episode 666 of episodes 192, 193, and 194, which were all about how to keep your job in a recession.
[00:15:39.000 --> 00:15:43.000]   192 is called "Recession is Coming," "How to Not Get Laid Off in the Next Recession."
[00:15:43.000 --> 00:15:49.000]   193, "Make a Backup Plan in Case You Get Laid Off in the Coming Recession," "Simple Action Steps for You to Consider."
[00:15:49.000 --> 00:15:53.000]   And then 194, "You Just Got Laid Off, Here's What to Do Next."
[00:15:53.000 --> 00:15:57.000]   That's an episode that if you find it useful, keep it in your list.
[00:15:57.000 --> 00:16:02.000]   I've sent that to many people who've just said, "I just lost my job," and my answer is, "Listen to this episode and do what I've told you."
[00:16:02.000 --> 00:16:08.000]   I really believe that the advice in that series is extremely sound.
[00:16:08.000 --> 00:16:15.000]   So I am tightening my belt, looking for recession ahead, and I'll be surprised if it doesn't arrive.
[00:16:15.000 --> 00:16:16.000]   It'd be great.
[00:16:16.000 --> 00:16:18.000]   I'll be happy that things are going well.
[00:16:18.000 --> 00:16:28.000]   If it does arrive, I'll be happy because hopefully it'll mean some opportunities to make investments at lower prices, which I think is really an opportunity.
[00:16:28.000 --> 00:16:31.000]   Now let's pivot to the stock market.
[00:16:31.000 --> 00:16:41.000]   As I record this at 3 o'clock, 309 Eastern Time, so the markets are not yet.
[00:16:41.000 --> 00:16:43.000]   They're going to be closing here in about an hour.
[00:16:43.000 --> 00:16:49.000]   And for the day, again, down another, it looks like, 3% on the S&P 500.
[00:16:49.000 --> 00:16:59.000]   And so it's been quite the tumultuous last couple weeks, down 3%, most several days, three or four out of five days, and up 3% a couple other days on the S&P 500.
[00:16:59.000 --> 00:17:02.000]   It's certainly a tumultuous time in the stock market.
[00:17:02.000 --> 00:17:05.000]   So let's talk some strategy for you.
[00:17:05.000 --> 00:17:17.000]   So the most important thing for you to do when you're in the middle of a market like this is to stick to your pre-chosen strategy.
[00:17:17.000 --> 00:17:21.000]   You've got to stick to your pre-chosen strategy.
[00:17:21.000 --> 00:17:31.000]   Now I don't know what your strategy is, but your strategy that you previously chose had plans for this type of market condition.
[00:17:31.000 --> 00:17:39.000]   Now the most mainstream strategy is the idea that you stick with it.
[00:17:39.000 --> 00:17:45.000]   Modern portfolio theory, the markets are efficient, they're responding to these new threats.
[00:17:45.000 --> 00:17:54.000]   The decline in stock prices are largely attributable to the potential declines in company profits, and so this makes sense.
[00:17:54.000 --> 00:18:05.000]   And if you buy kind of the tenets of modern portfolio theory, there's a lot of people in this audience and in the personal finance world who are very committed to the efficiency of the markets.
[00:18:05.000 --> 00:18:08.000]   They believe in index fund investing and passive investing.
[00:18:08.000 --> 00:18:10.000]   Well, in that situation, you don't try to time the market.
[00:18:10.000 --> 00:18:13.000]   You just simply stay put and you keep on buying.
[00:18:13.000 --> 00:18:16.000]   You just simply ignore.
[00:18:16.000 --> 00:18:23.000]   And so you look at your statements, you open things up and say, "That's interesting," and you keep on pressing forward.
[00:18:23.000 --> 00:18:29.000]   And so if that's been your strategy, you cannot destroy your strategy by selling now.
[00:18:29.000 --> 00:18:35.000]   You must stay the course on your pre-selected strategy.
[00:18:35.000 --> 00:18:39.000]   Do not freak out. Do not sell. Stay the course.
[00:18:39.000 --> 00:18:51.000]   Now if your strategy involves some kind of more active trading, more, you had some stop losses set up and you were planning to adjust your portfolio based on market conditions, then stick with that.
[00:18:51.000 --> 00:18:59.000]   I can't possibly talk about all the different ways to play it, and I'm uncomfortable giving advice, giving investing advice in a format like this.
[00:18:59.000 --> 00:19:04.000]   That's not my interest and it's not my – frankly, I just have a hard time sleeping.
[00:19:04.000 --> 00:19:07.000]   I don't mind taking that risk with my own money.
[00:19:07.000 --> 00:19:11.000]   I don't mind being wrong with my money, but I don't like to be wrong with other people's money.
[00:19:11.000 --> 00:19:16.000]   And so just stick with your strategy, whatever your strategy previously was.
[00:19:16.000 --> 00:19:17.000]   Stick with your strategy.
[00:19:17.000 --> 00:19:19.000]   That's the important thing.
[00:19:19.000 --> 00:19:29.000]   Don't change your strategy when you're in the middle of an emotional euphoria or when you're in the middle of an emotional crisis.
[00:19:29.000 --> 00:19:32.000]   Dysphoria, I guess, would be probably the word.
[00:19:32.000 --> 00:19:34.000]   Don't change your strategy there.
[00:19:34.000 --> 00:19:39.000]   Recognize that this is an emotional time and I'm going to stick with it.
[00:19:39.000 --> 00:19:52.000]   If you are finding this period of market volatility extremely painful, then I would commend to you that you should pay careful attention to that data point.
[00:19:52.000 --> 00:19:59.000]   And in the future, when we come out of this current crisis, in the future, you should make a plan to adjust your investment plan.
[00:19:59.000 --> 00:20:07.000]   One of the things that I have changed my mind on significantly in the last decade, a decade ago when I was a financial advisor,
[00:20:07.000 --> 00:20:12.000]   I would have said everybody should have stocks and everybody should just learn how to be comfortable in the middle of crisis
[00:20:12.000 --> 00:20:18.000]   and everybody should know that volatility is the price that you pay for returns.
[00:20:18.000 --> 00:20:21.000]   Today, I no longer believe that.
[00:20:21.000 --> 00:20:24.000]   I simply do not believe that everybody should be in stocks.
[00:20:24.000 --> 00:20:29.000]   I believe that people should go with something that they are comfortable in.
[00:20:29.000 --> 00:20:35.000]   I was much more arrogant back then to just believe that I could teach everybody everything they need to know to be comfortable in the stock market.
[00:20:35.000 --> 00:20:37.000]   Today, I'm done with that.
[00:20:37.000 --> 00:20:45.000]   It's interesting because as I watch the stock market, I've come to appreciate, I've always thought that I had a stomach of iron for volatility,
[00:20:45.000 --> 00:20:48.000]   but I've come to appreciate not participating.
[00:20:48.000 --> 00:20:50.000]   It's been fascinating to watch.
[00:20:50.000 --> 00:20:55.000]   Now, I think I could participate, I still believe in the things I've talked about,
[00:20:55.000 --> 00:21:04.000]   but what I've realized is that there's a lot of health, just a lot of mental health that comes from not being overly exposed to any one investment marketplace.
[00:21:04.000 --> 00:21:15.000]   And I'm more convinced than ever of the value of good personal financial planning to help insulate you from market volatility.
[00:21:15.000 --> 00:21:28.000]   And I'm also more convinced than ever of the value of having various investment types of investments that you can take comfort in during times of market volatility.
[00:21:28.000 --> 00:21:33.000]   A quick intro here, and these are shows, these are topics that deserve their own shows.
[00:21:33.000 --> 00:21:35.000]   But first, good financial planning.
[00:21:35.000 --> 00:21:44.000]   One of the most important things is to care and square away personal financial risk first before investing.
[00:21:44.000 --> 00:21:55.000]   Personal financial risk such as having a good bead on your expenses, having a good amount of income, having a large delta, a large difference between your income and your expenses.
[00:21:55.000 --> 00:21:58.000]   That gives you tremendous options.
[00:21:58.000 --> 00:22:05.000]   One of the most important things that you can do is always have a large, a lot of wiggle room between your expenses and your income.
[00:22:05.000 --> 00:22:08.000]   So if your income goes down, you're not freaking out.
[00:22:08.000 --> 00:22:11.000]   But if your investments are going down, you still have lots of other income.
[00:22:11.000 --> 00:22:13.000]   That's the first thing.
[00:22:13.000 --> 00:22:18.000]   In addition, I think this shows the value of having large amounts of cash.
[00:22:18.000 --> 00:22:21.000]   I used to say, "I have three to six months worth of expenses."
[00:22:21.000 --> 00:22:23.000]   And I think that's still good, right?
[00:22:23.000 --> 00:22:26.000]   That's going to get the vast majority of people to a place of safety.
[00:22:26.000 --> 00:22:31.000]   But I think more and more, and especially if you're depending on--this is mandatory if you're living on your income.
[00:22:31.000 --> 00:22:38.000]   But I think more and more, I've come to appreciate having far more cash, having a year or two or three of expenses.
[00:22:38.000 --> 00:22:48.000]   Because if you think about recessions, the vast majority of recessions can be weathered if you can get through a year or two or three based upon just having cash.
[00:22:48.000 --> 00:22:51.000]   And so this is especially important if you're living on a portfolio.
[00:22:51.000 --> 00:22:56.000]   If you have a couple years of cash sitting aside, you can just leave the portfolio alone.
[00:22:56.000 --> 00:23:03.000]   And we can all concede and recognize that a couple of years will make a huge difference in an investment marketplace.
[00:23:03.000 --> 00:23:08.000]   And so you always want to position yourself for mental and emotional stability.
[00:23:08.000 --> 00:23:14.000]   And you want to position yourself to be able to be mentally and emotionally detached from your investment perspective.
[00:23:14.000 --> 00:23:27.000]   If you have not prioritized having significant amounts of cash and you're just watching huge amounts of your net worth being beaten up right now with declines in market values, that's a very uncomfortable situation.
[00:23:27.000 --> 00:23:28.000]   So learn from that.
[00:23:28.000 --> 00:23:31.000]   And next time, make sure that you have substantial amounts of cash.
[00:23:31.000 --> 00:23:42.000]   I'm increasingly convinced, although I can't prove it, I'm increasingly convinced that the majority of people, if they would just put more cash, individual investors,
[00:23:42.000 --> 00:23:57.000]   if they would have more cash, a few years of living expenses on hand at all times in cash, then they would feel more comfortable with the markets and thus get better overall returns because they prioritized more cash in their personal holdings.
[00:23:57.000 --> 00:23:59.000]   And they knew they didn't have to freak out.
[00:23:59.000 --> 00:24:02.000]   They knew they didn't have to worry about anything.
[00:24:02.000 --> 00:24:09.000]   I think this also shows, in addition to significant amounts of cash, it shows the value of being debt-free.
[00:24:09.000 --> 00:24:16.000]   If you are debt-free, you can dramatically trim your expenses, as I've talked about in the value of being debt-free.
[00:24:16.000 --> 00:24:23.000]   Most people, if you don't have debt, most people could make massive cuts in their lifestyle if they had to.
[00:24:23.000 --> 00:24:37.000]   And this allows you to perhaps invest more aggressively for the long term because you know that if you need to make temporary cuts, you can make temporary cuts.
[00:24:37.000 --> 00:24:53.000]   It's such a more powerful position to be in as an investor if your cash flow needs are very modest and are mostly variable so that you can pull them back to the minimum numbers.
[00:24:53.000 --> 00:24:56.000]   That puts you in such a strong position as an investor.
[00:24:56.000 --> 00:25:05.000]   And again, I'm convinced that this personal finance tactic can help you to get larger returns because now you can invest for more long-term growth.
[00:25:05.000 --> 00:25:12.000]   You can weather the volatility more effectively and you can solve that with good personal financial planning.
[00:25:12.000 --> 00:25:30.000]   The other personal finance lesson I observe as I watch the current volatility is simply the emotional comfort and the value of having various investment classes that, if not non-correlated or at least less correlated.
[00:25:30.000 --> 00:25:46.000]   The average investor, if the average investor just owns stocks and huge amounts of your net worth are tied up in stocks, when stocks become volatile, that can be so uncomfortable and you feel deeply exposed.
[00:25:46.000 --> 00:25:56.000]   But if some percentage of your net worth is invested in stocks but significant percentages of your net worth are invested in other asset classes, you'll just simply feel more comfortable.
[00:25:56.000 --> 00:25:59.000]   And this can be very, very simple.
[00:25:59.000 --> 00:26:03.000]   It can be as simple as a permanent portfolio theory, right?
[00:26:03.000 --> 00:26:08.000]   25% in stocks, 25% in bonds, 25% in cash, 25% in gold.
[00:26:08.000 --> 00:26:24.000]   That kind of portfolio gives you such tremendous confidence because you have these lightly correlated, if not non-correlated asset classes that function in different economic conditions differently.
[00:26:24.000 --> 00:26:29.000]   And so you always have something that you can look to and take comfort in.
[00:26:29.000 --> 00:26:39.000]   I'm not the world's greatest proponent of the permanent portfolio, although I admire the theory and the philosophy behind it and I admire some of the improvements that have been made over the years.
[00:26:39.000 --> 00:26:51.000]   But I would say to put this even simpler, for the average person, it just simply comes down to good personal financial decisions, stocks, and supplementing those stocks with a little bit of real estate, and then some investments like gold.
[00:26:51.000 --> 00:27:07.000]   Having real estate gives you usually cash flow and the ability to look at your real estate portfolio and focus on that which is less volatile during times of market volatility.
[00:27:07.000 --> 00:27:20.000]   And then having that buttressed by gold and perhaps other asset classes that are totally uncorrelated, you have the ability to change your focus and to manage your emotions.
[00:27:20.000 --> 00:27:23.000]   And I think that's incredibly powerful.
[00:27:23.000 --> 00:27:37.000]   Maybe I'm getting less risky as I get older, maybe that's the case, but I just see how most of us, it's foolish to take an all-stock approach with all your money.
[00:27:37.000 --> 00:27:55.000]   But if you'll manage your stock risk with good personal finance decisions, the nuts and bolts of personal finance, low debt, high income, low expenses or highly variable expenses so that you can ratchet them down when you need to, significant amounts of savings, just stable liquid cash,
[00:27:55.000 --> 00:28:01.000]   and then you'll diversify your investment portfolio across asset classes in a really meaningful way.
[00:28:01.000 --> 00:28:12.000]   You can do this in your portfolio, you can do this with REITs, you can do this with all kinds of funds, but I think it's more powerful for most people just to do it themselves.
[00:28:12.000 --> 00:28:25.000]   That can bring you confidence and make you a better investor over time so that if your investment strategy requires you to stay invested during the bad times, you're more likely to hit that strategy.
