
[00:00:00.000 --> 00:00:19.760]   I'm so excited to be here with you guys today, and I think what is probably the coolest AI
[00:07:32.920 --> 00:07:40.920]   But when you compare it to VR products that came before, it's very hard to understand how you're actually, you know,
[00:07:40.920 --> 00:07:56.920]   what is this thing good for when you look at this menu. The second point is hierarchy. Hierarchy is what gives unbounded products a shape and a purpose, right?
[00:07:56.920 --> 00:08:03.920]   It's what helps users understand what it's good for, what they should use it for. So again, we have the home menu.
[00:08:03.920 --> 00:08:20.920]   That's kind of where everything starts and ends for Vision OS. We have windows. They have bounds. You can resize them and move them. And any individual window can go full screen, right?
[00:08:20.920 --> 00:08:36.920]   So that was our hierarchy. The last point, which is really important, and I think the easiest way to make unbounded products feel familiar is -- sorry, intuitive. I got ahead of myself. It's familiar. Familiarity.
[00:08:36.920 --> 00:08:45.920]   It was something we hit when we were building dawn. Our first kind of prototype was this star cluster thing that you could explore. It was really fun.
[00:08:45.920 --> 00:08:55.920]   Nowadays, it looks a lot more like this, which are, you know, tables. And we have graphs and examples. Again, it's just structure, clarity.
[00:08:55.920 --> 00:09:08.920]   And I think that it's no accident that, you know, the TV app on Vision OS looks a lot like the TV app on TV OS, right?
[00:09:08.920 --> 00:09:21.920]   It's not an accident. It wasn't laziness. When people are sort of in uncharted territory, you want to give them as many signs of home as possible.
[00:09:21.920 --> 00:09:25.920]   It's not an accident. It's an accident, right? And it's not an accident. Same thing for Control Center, right?
[00:09:25.920 --> 00:09:44.920]   When people see Vision OS, they already know how to use it. So again, these three points. Highlighting what matters, bringing that to the forefront, establishing hierarchy, and then leveraging familiarity.
[00:09:44.920 --> 00:09:50.920]   All right. And so that was the past. Now we're going to talk about the present. And specifically, we're going to talk about the present.
[00:09:50.920 --> 00:10:06.920]   We're going to talk about AI products. We're going to talk about ways, both good and bad, that products have been incorporating structure into their AI features.
[00:10:06.920 --> 00:10:19.920]   It's really important to note the right structure is very unique to your app, right? That's the whole point, is that it gives your app a shape. It helps your user understand what it's actually for.
[00:10:19.920 --> 00:10:37.920]   So let's take something like Dot, right? Dot is a companion. Dot is sort of a journal, at least for me. And so the structure they added was that if you pinch out, you can see each day separated, right? It feels a lot like a journal.
[00:10:37.920 --> 00:10:55.920]   And if you tap a person or two people, in this case my co-founders, I can see this, again, structured information about them and a timeline every time I mention them to Dot. And so again, you're pulling that structure out of the chat.
[00:10:55.920 --> 00:11:04.920]   I think it does a really good job of using structure to make their experience feel more like a search engine and less like ChatCPT, less like a chat you're having a conversation with, right?
[00:11:04.920 --> 00:11:22.920]   And they do this by, you know, really pulling your title, you know, your query up top as like a title, you know, highlighting the sources it came from, and then having the answer below that, right? And then having that take up the full page kind of regardless.
[00:11:22.920 --> 00:11:29.920]   So it makes it feel, again, like more like one shot, less something you're having a back and forth with.
[00:11:29.920 --> 00:11:37.920]   Now I want to talk about sort of an anti-pattern I've seen, which is this is in the Vercel chatbot demo.
[00:11:37.920 --> 00:11:42.920]   I think Vercel does some of the coolest design work in the entire world. I didn't like this one.
[00:11:42.920 --> 00:11:50.920]   So this is like having this idea of almost ephemeral UI, but inside the flow of chat, right? And I get the appeal, right?
[00:11:50.920 --> 00:11:55.920]   So actually, if we go back here, sorry, this was a video I want to show, you know, you have a slider, right?
[00:11:55.920 --> 00:12:01.920]   So instead of having to like, you inquire about, you know, you want to buy Doge, and it shows you this UI.
[00:12:01.920 --> 00:12:06.920]   So you can adjust exactly how many instead of having to do it over text. It's, you know, could be good.
[00:12:06.920 --> 00:12:15.920]   The problem is that when it's stuck inside this sort of unstructured thing, it starts like floating away as I try to ask follow-ups, right?
[00:12:15.920 --> 00:12:19.920]   And then at some point, I even have two of them, right? So I go back up to the first one.
[00:12:19.920 --> 00:12:22.920]   I press purchase, and now I'm interacting with something that's completely different.
[00:12:22.920 --> 00:12:28.920]   So it reminds me a lot of sort of the house in up, right? It's just kind of up, up, away.
[00:12:28.920 --> 00:12:36.920]   So instead of trying to put structure stuff into this unstructured thing, I think the answer is you pull it out, right?
[00:12:36.920 --> 00:12:46.920]   You pull it off to the side. And what that means is that as the conversation continues, you can just sort of update that structure without disrupting where the user is.
[00:12:46.920 --> 00:12:59.920]   And that's exactly what Claude did with artifacts, right? And I think why it's so successful is that they pulled out the structure, which is the app you're working on and iterating on, from the actual conversation.
[00:12:59.920 --> 00:13:06.920]   And then so as you make changes, you can even go between the versions here without even having to scroll in the conversation, right? So it's beautiful.
[00:13:06.920 --> 00:13:14.920]   And it actually brings us to another thing that I think has been really effective for AI apps, which is this almost concept of version control.
[00:13:14.920 --> 00:13:21.920]   So this was actually one of the shipping, like, original Chat CPT features, which is kind of crazy.
[00:13:21.920 --> 00:13:27.920]   But if you edit a message, you can go between the versions, right? And it actually maintains this entire tree.
[00:13:27.920 --> 00:13:31.920]   It's very complicated. But it's super powerful.
[00:13:31.920 --> 00:13:39.920]   With v0, Vercel did something, again, amazing, where it feels extremely familiar, almost like you're working on Google Slides or something.
[00:13:39.920 --> 00:13:46.920]   But you can go back and iterate, keep iterating on UI without having to be afraid that you're losing something, right?
[00:13:46.920 --> 00:13:48.920]   So again, versions.
[00:13:48.920 --> 00:13:54.920]   Again, I think familiarity is really one of the most important things for unbounded products.
[00:13:54.920 --> 00:13:59.920]   I think Claude did an excellent job with this. Again, I'm hyping them up here.
[00:13:59.920 --> 00:14:06.920]   But Chat CPT introduced memory across all of your chats, right? Completely unbounded.
[00:14:06.920 --> 00:14:11.920]   So when I tell it something about, you know, some sort of medical problem as I'm working on a JavaScript,
[00:14:11.920 --> 00:14:14.920]   it's like, you know, it knows that, which is very weird to me.
[00:14:14.920 --> 00:14:18.920]   I think this idea of projects and that structure of a project is very familiar.
[00:14:18.920 --> 00:14:21.920]   So sharing context across a project makes more sense.
[00:14:21.920 --> 00:14:26.920]   Agents are something that are extremely unfamiliar to most people.
[00:14:26.920 --> 00:14:33.920]   And this idea of having, you know, all these different tasks and you're feeding data between steps, whatever.
[00:14:33.920 --> 00:14:38.920]   But you know what is familiar are spreadsheets, right?
[00:14:38.920 --> 00:14:42.920]   Spreadsheets are extremely familiar to -- not to me, actually, but to a lot of people.
[00:14:42.920 --> 00:14:52.920]   And I think the only real uses of agents I've seen in the world, in the real world, are spreadsheets.
[00:14:52.920 --> 00:14:54.920]   So this is Clay, right?
[00:14:54.920 --> 00:14:58.920]   And each column is essentially a step that an agent is taking, the user is defining.
[00:14:58.920 --> 00:15:02.920]   So it's going across, building up kind of context across the spreadsheet.
[00:15:02.920 --> 00:15:07.920]   Each row, it's often almost -- you do it like an eval, right?
[00:15:07.920 --> 00:15:12.920]   So it's like you run the first 10 rows and then you run the next 50,000, 100,000, right?
[00:15:12.920 --> 00:15:13.920]   So you get it right.
[00:15:13.920 --> 00:15:17.920]   And you can see here, eventually, you end up with a personalized email as the last column.
[00:15:17.920 --> 00:15:19.920]   But with all these steps in between.
[00:15:23.920 --> 00:15:30.920]   The next thing that I think is extremely effective in helping people understand what your app is for,
[00:15:30.920 --> 00:15:37.920]   and skipping all the sort of noise of prompt hacking, prompt engineering, are examples and presets.
[00:15:37.920 --> 00:15:43.920]   So ChatTuberT, I think, was the first for this, where they had these, you know, message to comfort a friend,
[00:15:43.920 --> 00:15:47.920]   plan a relaxing day, and so on.
[00:15:47.920 --> 00:15:49.920]   V0 does an awesome job with this, right?
[00:15:49.920 --> 00:15:54.920]   We're not just having those suggestions below, but they also have an explore page
[00:15:54.920 --> 00:15:57.920]   where you can see what other users are doing, what's actually working, right?
[00:15:57.920 --> 00:16:04.920]   Again, try to, like, shortcut this, like, prompt, you know, blank canvas problem.
[00:16:04.920 --> 00:16:06.920]   Notion as well, right?
[00:16:06.920 --> 00:16:11.920]   They have a simple menu where you can change tone for text instead of having to, like, be like,
[00:16:11.920 --> 00:16:14.920]   you know, you are a very concise GPT, whatever, whatever, whatever, right?
[00:16:14.920 --> 00:16:19.920]   So you're just using these tried and proven things that Notion can validate.
[00:16:19.920 --> 00:16:23.920]   And that last point brings us to the future, right?
[00:16:23.920 --> 00:16:26.920]   So where are interfaces going in the future?
[00:16:26.920 --> 00:16:33.920]   Linus gave an awesome talk last year where he described prompt engineering as this almost trying to drive a car --
[00:16:33.920 --> 00:16:38.920]   a llama trying to drive a car with a pool noodle from the backseat was, I think, his metaphor.
[00:16:38.920 --> 00:16:42.920]   And there's some real truth to this, right?
[00:16:42.920 --> 00:16:46.920]   And so I think, first of all, the future has a lot less prompt engineering.
[00:16:46.920 --> 00:16:48.920]   And we're already seeing this, right?
[00:16:48.920 --> 00:16:54.920]   We're already seeing this with generative images, you know, the way that Apple designed it,
[00:16:54.920 --> 00:16:57.920]   where you're mixing and matching these different concepts.
[00:16:57.920 --> 00:17:01.920]   You're able -- you know, there's a ton of demos on Twitter of people.
[00:17:01.920 --> 00:17:05.920]   You know, essentially you're going between emotions here in a more intuitive way.
[00:17:05.920 --> 00:17:10.920]   And then just yesterday, Figma released this way of adjusting the tone of text, right?
[00:17:10.920 --> 00:17:14.920]   Where you're going between professional, casual, expanded, concise.
[00:17:14.920 --> 00:17:20.920]   The problem with this is that casual means a lot of different things, right?
[00:17:20.920 --> 00:17:29.920]   Casual for a Fortune 500 company and a, you know, direct-to-consumer cosmetics brand, you know, with ads on TikTok, right?
[00:17:29.920 --> 00:17:30.920]   These are very different things.
[00:17:30.920 --> 00:17:33.920]   Casual when talking to your best friend or a coworker, these are different.
[00:17:33.920 --> 00:17:42.920]   So how do we avoid being reductive when trying to offer these sorts of presets?
[00:17:42.920 --> 00:17:45.920]   And the answer is you're just like -- I don't know exactly how many zeros I put here,
[00:17:45.920 --> 00:17:49.920]   but you're just like million X or billion X the number of presets, right?
[00:17:49.920 --> 00:17:51.920]   So you have enough presets for everything.
[00:17:51.920 --> 00:17:56.920]   And I think sparse autoencoders show a really promising path towards that.
[00:17:56.920 --> 00:18:05.920]   So if you guys have tried Golden Gate Claude, where you can kind of identify the one feature of Golden Gate Bridge-ness and amplify it,
[00:18:05.920 --> 00:18:11.920]   and it makes Claude obsessed with Golden Gate Bridges specifically, or the Golden Gate Bridge.
[00:18:11.920 --> 00:18:16.920]   My friend Gittes has an amazing demo towards this, but for manipulating images, right?
[00:18:16.920 --> 00:18:23.920]   So you can see here he's increasing the amount of play of light and shadows, increasing the amount of serene forest streams or Venetian canals,
[00:18:23.920 --> 00:18:29.920]   in, again, a very controllable and predictable way.
[00:18:29.920 --> 00:18:32.920]   Okay, but -- so now we have a million, billion options, whatever.
[00:18:32.920 --> 00:18:36.920]   How do we avoid too many options?
[00:18:36.920 --> 00:18:39.920]   I think this gets to point three, which is ranked presets.
[00:18:39.920 --> 00:18:44.920]   So these are presets that are personalized, searchable, and even invoked through natural language.
[00:18:44.920 --> 00:18:48.920]   They might not even be directly visible to the user.
[00:18:48.920 --> 00:18:57.920]   So the user types in something like more friendly, and you pull up the corresponding presets, like kindness, how close you are, how confrontational it is.
[00:18:57.920 --> 00:19:02.920]   Again, maybe they're directly editing it, maybe they're not.
[00:19:02.920 --> 00:19:07.920]   And this gets to the last point, or second to last point, which is developer-defined personalization.
[00:19:07.920 --> 00:19:13.920]   So as soon as you're able to define those sort of features, you can start tuning them per user.
[00:19:13.920 --> 00:19:18.920]   So each user, in a way that you can't do with just text prompts today, right?
[00:19:18.920 --> 00:19:25.920]   Because text prompts are sort of this fragile house of cards, where if you remove one word, the whole output changes.
[00:19:25.920 --> 00:19:29.920]   So you're able to tune it per user.
[00:19:29.920 --> 00:19:41.920]   And the last point, and especially true, as you start, your app is going to become increasingly different per user, is shifting from evals to analytics.
[00:19:41.920 --> 00:19:46.920]   I don't think there's going to be some objectively correct, for a lot of domains, answer to things.
[00:19:46.920 --> 00:19:55.920]   Like, who was the first president, yes, but the right sort of tone for a summary for a specific user, I don't think so.
[00:19:55.920 --> 00:20:05.920]   And so I think that increasingly, it's going to be about how do you understand if you're meeting the needs of your users, and what they're asking for.
[00:20:05.920 --> 00:20:12.920]   So that's it. Thank you so much. Oh yeah, we'll skip this one. And thank you so much for coming.
[00:20:12.920 --> 00:20:30.920]   *outro music*

