
[00:00:00.000 --> 00:00:20.040]   Today I'm gonna talk about benchmarks as memes and this is the meme that Opus came up with when
[00:06:26.620 --> 00:06:30.780]   building for the future a great benchmark should be multifaceted so you got a lot of strategies that
[00:06:30.780 --> 00:06:36.940]   could do well reward creativity right like accessible so easy to understand not only for the models so you
[00:06:36.940 --> 00:06:40.780]   have small models that compete large ones as well but also for people to keep track of it
[00:06:40.780 --> 00:06:46.220]   generative because the really unique thing about these AI models is if you have great data even if
[00:06:46.220 --> 00:06:51.020]   it only does it 10% of the time you can train on that and so the next generation does it 90% of the
[00:06:51.020 --> 00:06:57.700]   time and that's incredible and hard to understate and evolutionary so ideally we don't have benchmarks
[00:06:57.700 --> 00:07:05.380]   that cap out 96 like what's the difference between 96 and 98% not as big of a deal ideally we have these benchmarks
[00:07:05.380 --> 00:07:10.820]   that get harder and the challenge gets deeper as the models improve and lastly experiential so
[00:07:10.820 --> 00:07:15.620]   try to mimic real world situations some of the things that I personally care about is trying to get
[00:07:15.620 --> 00:07:20.180]   a lot of people outside of AI interested so maybe making benchmarks a spectator sport and was interested
[00:07:20.180 --> 00:07:25.860]   personally in the personality of these models we're about to find out which one wanted to achieve world
[00:07:25.860 --> 00:07:31.060]   domination and I really wanted something we can learn from education is big for me and we saw things like alpha go and
[00:07:31.060 --> 00:07:37.060]   open AI five AI playing these games and the best people in the world wanted to play against it to learn from it and I think that that's really powerful so I made this benchmark called AI diplomacy and if I don't have this video I got a backup just in case
[00:07:37.060 --> 00:07:38.780]   I think that that's really powerful.
[00:07:38.780 --> 00:07:42.940]   So I made this benchmark called AI Diplomacy.
[00:07:42.940 --> 00:07:45.940]   And if I don't have this video, I've got to back up just in case.
[00:07:45.940 --> 00:07:48.220]   And this benchmark is-- how many of you guys
[00:07:48.220 --> 00:07:50.780]   have heard of the board game Diplomacy?
[00:07:50.780 --> 00:07:51.660]   That's more than I thought.
[00:07:51.660 --> 00:07:52.720]   That's cool.
[00:07:52.720 --> 00:07:54.940]   It's a mix between risk and mafia.
[00:07:54.940 --> 00:07:56.440]   But what's really cool about this game
[00:07:56.440 --> 00:07:58.520]   is there is no luck involved.
[00:07:58.520 --> 00:07:59.980]   So the only way this game progresses
[00:07:59.980 --> 00:08:02.900]   is if the language models, which you're seeing here,
[00:08:02.900 --> 00:08:06.280]   send messages to each other and negotiate, find allies,
[00:08:06.280 --> 00:08:11.340]   and create alliances and get other people to back them.
[00:08:11.340 --> 00:08:13.400]   And that's what you're looking at here.
[00:08:13.400 --> 00:08:16.320]   You actually see the different models sending messages
[00:08:16.320 --> 00:08:18.220]   to each other, trying to create alliances,
[00:08:18.220 --> 00:08:22.840]   trying to betray each other, trying to take over Europe in 1901.
[00:08:22.840 --> 00:08:25.480]   And what was really cool about one of these games--
[00:08:25.480 --> 00:08:29.860]   and we're about to launch this on stream so you can watch for a week--
[00:08:29.860 --> 00:08:32.040]   is I'll take you through a game super quick.
[00:08:32.040 --> 00:08:35.500]   And what you're looking at here is the number of centers per model.
[00:08:35.500 --> 00:08:38.160]   And you're trying to get to 18 to win.
[00:08:38.160 --> 00:08:40.560]   And the top line is Gemini 2.5 Pro.
[00:08:40.560 --> 00:08:42.620]   It got to 16 right away.
[00:08:42.620 --> 00:08:45.280]   But O3 is a schemer.
[00:08:45.280 --> 00:08:45.980]   Man, is it a schemer.
[00:08:45.980 --> 00:08:51.740]   Across all the games, O3 is one of the only ones that would tell a power that it's planning to back them,
[00:08:51.740 --> 00:08:56.800]   and then in its diary write, "Oh man, they fell for it. I am totally going to take them over. No problem."
[00:08:56.800 --> 00:09:05.400]   And it realized that the reason why 2.5 Pro was pulling ahead was because Opus, Cloud Opus, who's so good-hearted, really had their back.
[00:09:05.400 --> 00:09:08.060]   They were their ally along the way.
[00:09:08.060 --> 00:09:10.720]   And they needed to convince Opus somehow to stop backing Gemini.
[00:09:10.720 --> 00:09:18.780]   So how they did it was propose, "Hey, if Gemini comes down, we'll propose a four-way tie. We'll end this game with a tie," which is impossible in the game.
[00:09:18.780 --> 00:09:25.320]   But it convinced Opus, and Opus thought it was a great idea, non-violent way to end the game, awesome, very aligned, you know?
[00:09:25.320 --> 00:09:33.440]   And so they pulled back their support from 2.5 Pro, O3 tried to make a run for it, Opus called them out, O3 realized, "Oh, I've got to take them out,"
[00:09:33.440 --> 00:09:38.120]   took them out, took everybody else with them, and took out Gemini 2.5 Pro.
[00:09:38.120 --> 00:09:42.280]   Even though they got one away from winning, O3 ended up winning in the end.
[00:09:42.280 --> 00:09:44.880]   And you can actually see some of the quotes from that game.
[00:09:44.880 --> 00:09:48.240]   You can see O3 saying, "Oh, Jeremy was deliberately misled.
[00:09:48.240 --> 00:09:53.540]   I promised to hold this, but all to convince them that they're safe, but it will fall."
[00:09:53.540 --> 00:10:00.540]   And then meanwhile, Claude Opus singing that the coalition unity prevails, and they've agreed to this four-way draw.
[00:10:00.540 --> 00:10:04.400]   But when, and then they don't want to let anybody be convinced.
[00:10:04.400 --> 00:10:09.280]   And so they actually turned away, and you can see that kind of in this second chart where this is like friendships.
[00:10:09.280 --> 00:10:17.700]   So the top of the line is friendships, and you can see that, you know, 2.5 Pro was a good friend of Claude's until it turned, and you can
[00:10:17.700 --> 00:10:21.000]   see that that's when they started kind of like pulling away.
[00:10:21.000 --> 00:10:24.000]   But what was really cool is that there were a lot of other things that came up.
[00:10:24.000 --> 00:10:32.000]   O3 got a habit of finding some of the weakest models and having them be their pawns in order to win.
[00:10:32.000 --> 00:10:41.000]   Gemini 2.5 Flash fell to this ruse, and you can see that they're unable to realize.
[00:10:41.000 --> 00:10:48.300]   They think it's a miscommunication, misunderstanding, or a typo that O3 has betrayed them at the end of the game in order to win.
[00:10:48.300 --> 00:10:55.800]   And so there was a lot that we learned from this that I don't think that you really learn from by having them try and solve a test.
[00:10:55.800 --> 00:11:01.100]   I tried 18 different models, learned that Claude models were kind of naively optimistic.
[00:11:01.100 --> 00:11:06.100]   They actually, none of them ever won in any of the games that I tried, even though they were really great, really smart.
[00:11:06.100 --> 00:11:15.100]   But they just got took advantage of by models like O3, and also surprisingly, Llama 4 Maverick, very good at this game, in part because it was great at that social aspect.
[00:11:15.100 --> 00:11:25.400]   It was great at convincing others what they were trying to do and kind of like get people to believe what they thought.
[00:11:25.400 --> 00:11:28.400]   Gemini 2.5 Flash, man, I wish I could run every game with Gemini 2.5 Flash.
[00:11:28.400 --> 00:11:30.400]   It was so cheap and so good.
[00:11:30.400 --> 00:11:31.400]   Big fan, big fan.
[00:11:31.400 --> 00:11:40.400]   And then surprisingly also, Deep Seek R1, which wasn't great the first time I tried the model, but when they had a new release last week, actually almost won.
[00:11:40.400 --> 00:11:44.700]   And in the stream, I think you'll see some really interesting gameplay with them.
[00:11:44.700 --> 00:11:46.700]   They also got very aggressive.
[00:11:46.700 --> 00:11:53.700]   We had Deep Seek R1 play as Russia, and it told some other opponents that, "Hey, your fleet's going to burn in the Black Sea tonight."
[00:11:53.700 --> 00:11:59.700]   Like an aggression and a prose, I guess, that I hadn't seen out of any other model, but it almost won.
[00:11:59.700 --> 00:12:04.700]   And that's super impressive given the model's, you know, 200 times cheaper than O3.
[00:12:04.700 --> 00:12:15.000]   And, you know, I think that this highlights that we need more squishy, like non-static benchmarks for hopefully things that matter to you.
[00:12:15.000 --> 00:12:17.000]   Those are some of the things that mattered to me.
[00:12:17.000 --> 00:12:21.000]   And I think that, you know, math and code, we've got quite a few benchmarks for that.
[00:12:21.000 --> 00:12:27.000]   Legal documents, you know, I think that they're a little bit less squishy and are really ripe for what we've got now.
[00:12:27.000 --> 00:12:32.300]   There's also room for benchmarks around ethics and society and art, and that's going to be opinionated.
[00:12:32.300 --> 00:12:34.300]   It's going to require your subject matter expertise.
[00:12:34.300 --> 00:12:41.300]   And it's not to say that code can't be art, but maybe instead of asking for the minimum number of operations needed to remove all the cells,
[00:12:41.300 --> 00:12:47.300]   maybe it's like, "Hey, can you make a fun video game that's more intentional with what it teaches you as you play?"
[00:12:47.300 --> 00:12:51.300]   And now's really important time to do this.
[00:12:51.300 --> 00:12:57.600]   Like you guys who are here right now understand this so deeply, but at every, we work, I lead our training and consulting
[00:12:57.600 --> 00:13:03.600]   and I work with a bunch of clients from journalists to people at hedge funds, people in construction and tech.
[00:13:03.600 --> 00:13:07.600]   And they all have the same two fears, which is one, how can I trust AI?
[00:13:07.600 --> 00:13:11.600]   And two, what's my role in an AI future?
[00:13:11.600 --> 00:13:14.900]   And benchmarks, in my view, are really the answer to both.
[00:13:14.900 --> 00:13:23.900]   One, they realize that in my goal as a human, like in my view, the role of a human in an AI world is to define the goal
[00:13:23.900 --> 00:13:26.400]   and to define what's good and bad on route to that goal.
[00:13:26.400 --> 00:13:28.900]   And what is that if not a benchmark?
[00:13:28.900 --> 00:13:35.900]   And once you do that, once you define that goal, then even if it's just defining a prompt, you can see AI try and attempt that.
[00:13:35.900 --> 00:13:40.200]   You can give feedback, you can realize, "Oh, it's messing up in this way.
[00:13:40.200 --> 00:13:43.200]   And it's not quite exactly what I want because it's not going to be perfect."
[00:13:43.200 --> 00:13:44.200]   And then you give feedback.
[00:13:44.200 --> 00:13:48.200]   Maybe that's really just changing a prompt a little bit and then you see it get better.
[00:13:48.200 --> 00:13:51.200]   And that moment, that cycle, that builds trust.
[00:13:51.200 --> 00:13:57.200]   They realize, "Oh, I am important to this whole system, but it can be helpful."
[00:13:57.200 --> 00:14:03.200]   And we need trust right now because we are building one of, if not the most powerful tools ever made.
[00:14:03.200 --> 00:14:06.500]   And we can get more out of it if more people use it.
[00:14:06.500 --> 00:14:09.500]   There will be, you know, more customers, sure.
[00:14:09.500 --> 00:14:14.000]   But there's also going to be a whole lot more incredible things that get made.
[00:14:14.000 --> 00:14:16.500]   And if you're not sure where to start, you can ask your mom.
[00:14:16.500 --> 00:14:22.500]   You know, my mom teaches yoga and we had a good talk about, you know, what were some things that could help.
[00:14:22.500 --> 00:14:25.800]   And we, you know, put those seven questions into five different models.
[00:14:25.800 --> 00:14:30.800]   And, you know, she ended up realizing, "Hey, Gemini 2.5 Pro is my favorite too."
[00:14:30.800 --> 00:14:33.800]   And, you know, there was a few things that she didn't like from their responses.
[00:14:33.800 --> 00:14:39.800]   So we made a simple prompt and now she uses that to help her local community have customized sessions
[00:14:39.800 --> 00:14:41.800]   for people that have different ailments.
[00:14:41.800 --> 00:14:43.100]   And I think that's really cool.
[00:14:43.100 --> 00:14:48.100]   You know, having like a big impact in a local community in something that matters to them.
[00:14:48.100 --> 00:14:54.100]   So hopefully before you guys leave SF, maybe talk to somebody who's not in AI.
[00:14:54.100 --> 00:14:55.100]   Ask them what they care about.
[00:14:55.100 --> 00:14:59.900]   And just maybe that conversation has a big impact now and in the future.
[00:14:59.900 --> 00:15:02.100]   So that's pretty much all I got for you.
[00:15:02.100 --> 00:15:04.400]   This is the second meme that Claude had.
[00:15:04.400 --> 00:15:08.400]   MMLU scores, just way less cool than asking what your mom thinks.
[00:15:08.400 --> 00:15:11.400]   But overall, that's what I got.
[00:15:11.400 --> 00:15:15.400]   I appreciate, you know, a bunch of people that helped actually bring this out.
[00:15:15.400 --> 00:15:16.400]   We launched it.
[00:15:16.400 --> 00:15:19.400]   It kind of came together through random coordination on X.
[00:15:19.400 --> 00:15:22.400]   Had researchers from all over the world hop in.
[00:15:22.400 --> 00:15:24.400]   Especially Tyler and Sam.
[00:15:24.400 --> 00:15:28.400]   All the way from Australia and Tyler and Canada who kind of helped make this happen in the text arena team.
[00:15:28.400 --> 00:15:33.900]   Especially the every team kind of backed me and able to create this presentation and be here.
[00:15:33.900 --> 00:15:35.200]   But that's all I got.
[00:15:35.200 --> 00:15:36.200]   Thank you guys so much for listening.
[00:15:36.200 --> 00:15:36.700]   Thank you.
[00:15:36.700 --> 00:15:37.500]   Thank you.
[00:15:37.500 --> 00:15:38.500]   Thank you.
[00:15:38.500 --> 00:15:43.480]   We'll see you next time.

