
[00:00:00.040 --> 00:00:05.820]   Hae K're the. I
[00:05:54.000 --> 00:05:54.120]   And I spent so much time working that I missed out on some of the other playing that I could have done if I hadn't been spending so much time working.
[00:05:54.120 --> 00:05:54.220]   And I spent so much time working that I missed out on some of the other playing that I could have done if I hadn't been spending so much time working.
[00:05:54.220 --> 00:05:54.320]   When you go, and on Monday, Tuesday, and Wednesday, you have a job in the afternoon and evenings outside of your class.
[00:05:54.320 --> 00:05:58.360]   And I spent so much time working that I missed out on some of the other playing that I could have done if I hadn't been spending so much time working.
[00:05:58.360 --> 00:05:58.460]   and I spent so much time working that I hadn't been spending so much time working that I hadn't been so much time working that I hadn't been spending so much time working that I hadn't been so much time working so much time I hadn't spend so much time.
[00:05:58.500 --> 00:06:08.540]  \'
[00:06:08.540 --> 00:06:09.860]   Tam因為 in. connais gosta tends
[00:06:09.860 --> 00:06:17.480]  數
[00:06:17.480 --> 00:06:28.400]   but or Week And I n Far and in is in the work and the hyper and the name for the change the make the has the 보�fia Мар
[00:06:28.500 --> 00:06:29.420]   geehrt.
[00:06:29.420 --> 00:06:58.500]   D
[00:06:58.500 --> 00:06:58.500]   D
[00:06:58.500 --> 00:06:58.500]   D
[00:06:58.500 --> 00:06:58.500]   D
[00:06:58.500 --> 00:06:58.520]   D
[00:06:58.560 --> 00:07:04.540]  這些
[00:07:04.540 --> 00:07:27.080]   no it IN N ingredients apart some even them is quite locker�H, and, and, and, and, and, and, mean,ог,,,,,,,,,,,,,.,, favouriteG.G.D.D. Kia 2022並 hidden recalle nhà הע while esse 對不對 the Wiz ST chmic the New des lying artificial they're just it is the Nil represent the work at the half the apart the car wouldn
[00:07:27.160 --> 00:07:37.860]   sum:
[00:07:37.860 --> 00:07:52.800]   Thing Tr,form는 car Wei reminded elhi i未wach the stay. I was a الد, and, and, and, and, and, and, end, .,,,,,,,,,, work.ere proc statt. optimal State of Z
[00:07:52.800 --> 00:07:56.880]  難 hand.
[00:09:26.280 --> 00:09:36.100]   either
[00:09:36.100 --> 00:09:36.640]   Squad I do
[00:09:36.640 --> 00:09:43.380]   rare
[00:09:55.220 --> 00:10:04.940]   Doctor
[00:10:04.940 --> 00:10:05.640]  ,
[00:10:05.640 --> 00:10:22.480]   de, I have a, I, remained, him,ез, porta, automatically, campus,ily, 아
[00:10:22.480 --> 00:10:24.940]  ,
[00:10:25.240 --> 00:10:32.660]   just
[00:10:32.660 --> 00:10:36.320]   Ryan and in
[00:10:55.260 --> 00:11:23.620]   it
[00:11:25.260 --> 00:11:55.260]   and I will fight tooth and nail to try to persuade you of that position. I will fight tooth and nail to try to help you to avoid what I've seen so many people do.
[00:11:55.260 --> 00:11:55.260]   Most commonly, somebody loses their job, they get their hours cut back at work, something happens and they don't curb their spending because they think it's a temporary problem.
[00:11:55.260 --> 00:11:55.260]   They don't curb their spending because they think it's a temporary problem.
[00:11:55.260 --> 00:11:55.260]   They don't curb their spending because they think it's a temporary problem.
[00:11:55.260 --> 00:11:55.260]   They don't curb their spending because they think it's a temporary problem.
[00:11:55.260 --> 00:11:55.260]   They don't curb their spending because they think it's a temporary problem.
[00:11:55.260 --> 00:11:55.260]   They don't curb their spending because they think it's a temporary problem.
[00:11:55.260 --> 00:11:55.260]   They don't curb their spending because they think it's a temporary problem.
[00:11:55.260 --> 00:11:55.260]   They don't curb their spending because they think it's a temporary problem.
[00:11:55.260 --> 00:11:55.260]   They don't curb their spending because they think it's a temporary problem.
[00:11:56.080 --> 00:12:25.280]   They don't curb their spending because they think it's a temporary problem.
[00:12:25.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D
[00:12:55.300 --> 00:12:55.300]   D D
[00:12:55.300 --> 00:12:55.300]   D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D D to
[00:12:55.300 --> 00:12:55.300]   to go into debt, to go into debt, to go into debt, to go into debt, to go into debt, to cut your expenses quickly, then it will be for you to go into debt, then it will be for you to go into debt.
[00:12:55.340 --> 00:13:03.340]  科
[00:13:03.340 --> 00:13:06.380]   work compare
[00:13:06.380 --> 00:13:23.600]   be this. .., read the ed theado i showed you great maths, and, is, ", ", ", ", ", ", YE P lasted
[00:13:24.540 --> 00:13:34.920]   onto
[00:13:34.920 --> 00:13:53.480]  備 like,,,,
[00:15:20.460 --> 00:15:30.580]  �
[00:15:30.580 --> 00:15:31.220]  ны go br
[00:15:31.220 --> 00:15:42.060]   servi your Robinson"T, ",,,,,, in the brain he was the next I was the
[00:15:42.060 --> 00:15:48.160]   Min has the
[00:15:48.160 --> 00:15:49.460]   20.现s.覺得 school? 2 or was a
[00:15:50.460 --> 00:16:00.540]   If you're a debt addict, as with many addictions, I think you better be pretty careful.
[00:16:00.540 --> 00:16:20.460]   This is reality. If you made a solemn promise, a solemn vow to yourself to say, "I will never borrow money," and I mean that comprehensively, if you make that solemn promise, "I will
[00:16:20.460 --> 00:16:20.460]   I will never borrow money," and I mean that comprehensively, if you make that solemn promise, "I will never borrow money," and I mean that comprehensively, if you make that solemn promise, "I will
[00:16:20.460 --> 00:16:20.460]   I will never borrow money," and I mean that comprehensively, if you make that solemn promise, "I will
[00:16:20.460 --> 00:16:20.460]   I will never borrow money," and I mean that comprehensively, if you make that solemn promise, "I will
[00:16:20.460 --> 00:16:20.460]   I will never borrow money," and I mean that comprehensively, if you make that solemn promise, "I will
[00:16:20.460 --> 00:16:20.460]   I will never borrow money," and I mean that comprehensively, if you make that solemn promise, "I will
[00:16:20.500 --> 00:16:50.480]  ,
[00:16:50.480 --> 00:16:50.480]   I will never borrow money," and you are absolutely committed to that. I mean, absolutely. Then, of course, you could do without credit cards. Now, I've never really met the person who would make that solemn of a vow. Maybe Dave Ramsey has made that vow, and I'm sure that there are some people who have. I've talked to a few. I should modify my statement.
[00:16:50.500 --> 00:16:52.700]   I have talked to a few people.
[00:16:52.700 --> 00:16:55.700]   And frankly, I am much closer to that than probably you are.
[00:16:55.700 --> 00:16:59.200]   And frankly, I am much closer to that than probably you are.
[00:16:59.200 --> 00:17:01.520]   I'm 99% there.
[00:17:01.520 --> 00:17:04.020]   I am 99% there.
[00:17:04.020 --> 00:17:04.520]   But if you're in that situation, then you don't need credit cards, and you don't need my credit card course.
[00:17:04.520 --> 00:17:06.520]   But if you're in that situation, then you don't need credit cards, and you don't need my credit card course.
[00:17:06.520 --> 00:17:07.520]   But if you're in that situation, then you don't need my credit card course.
[00:17:07.520 --> 00:17:10.520]   But if you're in that situation, then you don't need my credit card course.
[00:17:10.520 --> 00:17:11.520]   But I would ask you, are you absolutely there?
[00:17:11.520 --> 00:17:13.520]   But I would ask you, are you absolutely there?
[00:17:13.520 --> 00:17:15.520]   But I would ask you, are you absolutely there?
[00:17:15.520 --> 00:17:16.520]   But I would ask you, are you absolutely there?
[00:17:16.520 --> 00:17:43.560]  , because if you're not absolutely there, I still want you to learn what I had to teach you in the course.
[00:17:43.560 --> 00:17:44.560]   but I would ask you, are you absolutely there?
[00:17:44.560 --> 00:17:45.560]   Because most people are not absolutely there.
[00:17:45.560 --> 00:17:46.560]   Because most people are not absolutely there.
[00:17:46.560 --> 00:17:46.560]   They're 80 percent there.
[00:17:46.560 --> 00:17:46.560]   They're 90 percent there.
[00:17:46.560 --> 00:17:46.560]   They're 80 percent there. They're 90 percent there. But it's that last 10 percent that is so tricky. Because the time where that 10 percent matters is not normal life. It's crisis.
[00:17:46.580 --> 00:17:55.600]   Now, I don't have addictions that some people have.
[00:17:55.600 --> 00:17:56.600]   Now, I don't have addictions that some people have.
[00:17:56.600 --> 00:17:57.600]   Now, I don't have addictions that some people have.
[00:17:57.600 --> 00:17:58.600]   Some people have drug addictions.
[00:17:58.600 --> 00:17:59.600]   Some people have drug addictions.
[00:17:59.600 --> 00:18:00.600]   Some people have alcohol addictions.
[00:18:00.600 --> 00:18:01.600]   In the past, the closest I've ever gotten to an addiction in the past, I was addicted to pornography.
[00:18:01.600 --> 00:18:02.600]   In the past, the closest I've ever gotten to an addiction in the past, I was addicted to pornography.
[00:18:02.600 --> 00:18:03.600]   In the past, the closest I've ever gotten to an addiction in the past, I was addicted to pornography.
[00:18:03.600 --> 00:18:04.600]   In the past, the closest I've ever gotten to an addiction in the past, I was addicted to pornography.
[00:18:04.600 --> 00:18:05.600]   If you've ever been addicted to something, you know how hard it can be, how hard you have to fight to think in advance what you're going to do in that circumstance.
[00:18:05.620 --> 00:18:27.640]   If you were an alcohol addict, you know that if you're going to choose not to drink, you've got to put up major, major safeguards against drinking or drugs.
[00:18:27.640 --> 00:18:28.640]   If you're a pornography addict or if you've ever been addicted to pornography, you know that if you're addicted to something, you're going to have to put up major, major safeguards against drinking or drugs.
[00:18:28.640 --> 00:18:29.640]   If you're a pornography addict or if you've ever been addicted to pornography, you know that if you're addicted to something, you're going to have to put up major, major safeguards against drinking or drugs.
[00:18:29.640 --> 00:18:30.640]   If you're a pornography addict or if you've ever been addicted to pornography, you know that if you're addicted to something, you're going to have to put up major, major safeguards against drinking or drugs.
[00:18:30.700 --> 00:18:56.680]  , you might be able to go there, somebody else might be able to go to that website, but for you, you've got to stay 100 miles away because that will trigger those chains of addiction.
[00:18:56.680 --> 00:18:57.680]   If you're a pornography addict or if you're addicted to something, you know that if you're addicted to something, you're going to have to put up major, major safeguards against drinking or drugs.
[00:18:57.680 --> 00:18:58.680]   It'll trigger that well-worn groove in your mind that winds up in a place you don't want to be.
[00:18:58.680 --> 00:18:59.680]   If you're a pornography addict or if you're addicted to something, you know that if you're addicted to something, you're going to have to put up major, major, major safeguards against drinking or drugs.
[00:18:59.720 --> 00:19:09.420]   piece
[00:19:09.420 --> 00:19:23.780]   H É Jessica,,,,
[00:22:30.060 --> 00:22:38.860]  みたい to be a little bit more of a simple one. Now, there's a fair argument to be made that's overly simplistic. I appreciate actually his oversimplification at this point. It's effective. It's more effective than what I do sometimes. But the reality is that if you just follow simplistic advice, it works. Now, you'll get made fun of for it, but it works. It really does work.
[00:23:09.560 --> 00:23:19.320]   Important
[00:23:19.320 --> 00:23:20.700]   . Year Kas
[00:23:20.700 --> 00:23:36.480]   had not delı, and, and, and, and, and, and, and, see,
[00:23:39.580 --> 00:23:52.600]   lí
[00:23:52.600 --> 00:24:06.600]   ... cool often cancelledproductN, the, the, the, the, the, the, disaster gig 100ய, .輕 к, surprise,�, herself, Anton, assume,abl, heat,
[00:24:06.600 --> 00:24:09.540]   measured by the
[00:24:09.600 --> 00:24:14.940]   9
[00:24:14.940 --> 00:24:36.540]   para. I,달�,
[00:24:38.880 --> 00:24:49.320]   "
[00:24:49.320 --> 00:24:50.700]  PMG provideetzt I Like i diанс

