
[00:00:00.000 --> 00:00:19.500]   My name is Bianc. I'm the CTO and co-founder of a company called Sourcegraph. We build developer
[00:05:31.960 --> 00:05:36.980]   I'm talking about, I can actually ask it questions like I can a human now. And then some other people
[00:05:36.980 --> 00:05:42.260]   came along, we were part of this crowd, we realized like, hey, you know what's even better than just
[00:05:42.260 --> 00:05:47.320]   like asking questions? You can actually copy paste stuff into the chat and say like, here's some code
[00:05:47.320 --> 00:05:52.960]   for my code base, use that as an example, and pattern match against that. And that helps it generate,
[00:05:52.960 --> 00:05:58.940]   you know, a little bit better code or less fake code or less hallucinated code than it did before.
[00:05:58.940 --> 00:06:04.920]   And that basically meant that everyone at the application layer was building a rag bot in 2023.
[00:06:04.920 --> 00:06:12.900]   So like a chat bot plus a rag retrieval engine. But now, I think we've entered a new era.
[00:06:12.900 --> 00:06:17.940]   And I'm not sure if everyone realizes it, or maybe this is, I don't know, like who agrees with this statement?
[00:06:17.940 --> 00:06:22.900]   Like who thinks it's a real paradigm shift? Okay, and then who here is like, ah, that's a bunch of
[00:06:22.900 --> 00:06:28.880]   bullshit. Anyone? Feel free to, I like, okay, okay, so maybe I'm, maybe I could just skip this slide.
[00:06:28.880 --> 00:06:35.720]   So we're now living in the era of agents, and the new model capabilities really dictate a new
[00:06:35.720 --> 00:06:40.580]   application architecture. And so one of the things that we asked ourselves at Sourcegraph is, you know,
[00:06:40.580 --> 00:06:46.860]   a lot of the existing tools in the market that were designed for the era of GPT-4 and CLAWD-3.
[00:06:46.860 --> 00:06:53.400]   So a lot of the application stuff, features, and UX and UI was really built around the capabilities,
[00:06:53.400 --> 00:07:00.780]   or in some cases, the limitations of the chat-based LLMs. And so if we were going to design a coding agent
[00:07:00.780 --> 00:07:07.580]   from the ground up to unleash the capabilities of tool using LLMs, agentic LLMs, what would that look like?
[00:07:07.580 --> 00:07:16.140]   Okay, so here are my spicy takes. These are controversial design decisions that I think are better to make
[00:07:16.140 --> 00:07:23.820]   in the age of agents. And many of these go against the best practices that kind of emerged in the chatbot era.
[00:07:23.820 --> 00:07:30.620]   Okay, so number one is the agent should just make edits to your files. It shouldn't ask you at every turn,
[00:07:30.620 --> 00:07:34.620]   like, hey, you know, I want to make this change. Should I apply it? If it's asking you and it's wrong,
[00:07:34.620 --> 00:07:41.420]   it's already done the wrong thing and it's wasted your time. Humans need to get more out of the inner loop
[00:07:41.420 --> 00:07:45.420]   and more kind of like on top of the loop, like still steering it and guiding it, but
[00:07:45.420 --> 00:07:52.300]   less, you know, micromanaging and managing every change. Second thing is, do we still need a thick
[00:07:52.300 --> 00:07:58.860]   client to manipulate the LLMs? Like, do we still need a forked VS code? That's like the salty way of
[00:07:58.860 --> 00:08:04.780]   saying this, right? The VS code fork became the culmination of the AI coding application, I think,
[00:08:04.780 --> 00:08:10.940]   for the chatbot era. But there's this question of like, you know, if the contract of an agent is you
[00:08:10.940 --> 00:08:15.340]   ask it to do stuff and then it does stuff, do you really still need all that UI built around like
[00:08:15.340 --> 00:08:21.260]   context management and applying the proposed change in the code base? Or can you just ask it to do stuff
[00:08:21.260 --> 00:08:28.140]   and expect it to do the right thing? Third, I think we're going to move beyond the choose your own model
[00:08:28.140 --> 00:08:33.580]   phase. So I think in the chatbot era, it was very easy to swap models in and out. And you'd like, oh,
[00:08:33.580 --> 00:08:38.220]   you know, a new model came along, let me swap it out and see how well it attends to the context that
[00:08:38.220 --> 00:08:44.780]   my retrieval engine fetches. In the agentic world, there's a much deeper coupling because the LLM that
[00:08:44.780 --> 00:08:49.660]   you're using essentially becomes the brains of these agentic chains. And so it's much harder to rip
[00:08:49.660 --> 00:08:53.900]   and replace. And I think a lot of people in this room who have tried mixing and matching, you know,
[00:08:53.900 --> 00:08:59.420]   different models in the context of agents have found that, you know, swapping out a different model and
[00:08:59.420 --> 00:09:04.620]   expecting similar results is very different. A lot of the, like, a lot of the LLMs out there aren't even
[00:09:04.620 --> 00:09:08.940]   good at the basics of tool use yet. So it's very difficult to just replace the brains.
[00:09:10.700 --> 00:09:16.380]   Four is I think we're going to move past the era of fixed pricing. Agents eat up a lot of tokens.
[00:09:16.380 --> 00:09:23.100]   And so they look expensive relative to chatbots. But the comparison that more and more people are
[00:09:23.100 --> 00:09:28.460]   making is how much human time is it saving? So they're still cheap relative to human time saved.
[00:09:28.460 --> 00:09:33.420]   And the fixed pricing model actually introduces a perverse incentive now where it's like selling gym
[00:09:33.420 --> 00:09:38.140]   memberships, right? Like if I sold you a membership to my chatbot and you're now paying me, you know,
[00:09:38.140 --> 00:09:43.260]   20 bucks a month, my incentive now is to push the inference cost as low as possible. And the easiest
[00:09:43.260 --> 00:09:48.140]   way to do that is to use dumber models. But dumber models just waste more of your time.
[00:09:48.140 --> 00:09:56.540]   Sorry, this is a long list. Hopefully it's not too tedious. But I think these are important points.
[00:09:56.540 --> 00:10:00.940]   The second-to-last point I'll make is I think the Unix philosophy is going to be more powerful here
[00:10:00.940 --> 00:10:07.500]   than vertical integration. So in developer tools, the ability to use simple tools in ways that compose
[00:10:07.500 --> 00:10:13.420]   well with other interesting tools is really powerful. And so I think, especially with agents where there's
[00:10:13.420 --> 00:10:19.020]   less of a need to create like a lot of UI around it, you're going to start to see more command-driven
[00:10:19.020 --> 00:10:25.260]   tools, command line tools, and things like that. And then last but not least is, you know, we had an
[00:10:25.260 --> 00:10:31.180]   existing RAG chat coding assistant. Maybe some of you have used it. It was called Kodi. It still exists.
[00:10:31.180 --> 00:10:36.380]   We're still supporting it. It's still in heavy use across, you know, many Fortune 500 companies. But we
[00:10:36.380 --> 00:10:43.900]   decided to build a new application from the ground up for the agentic world because we didn't want to be
[00:10:43.900 --> 00:10:50.700]   constrained by all the assumptions and constraints that we built into the application layer for the previous
[00:10:50.700 --> 00:11:00.460]   generation of LLMs. And one analogy I like to draw here is, you know, what the early days of the internet, right?
[00:11:00.460 --> 00:11:05.820]   Like in the early days of the internet, the way people, you know, jumped into the the web was
[00:11:05.820 --> 00:11:11.340]   using an interface on the left. This was before like most people knew what the internet was about, what it was capable of,
[00:11:11.340 --> 00:11:15.580]   and that was the right interface for the first generation of the internet because like what can you do with the internet?
[00:11:15.580 --> 00:11:20.620]   Well, like there's a bunch of different things. You can look at like trending celebrities. You can, you know, buy
[00:11:20.620 --> 00:11:24.940]   automobiles. You can look at movie reviews, all these things you might not have thought of. And so it's
[00:11:24.940 --> 00:11:29.420]   useful to have in front of you. But at some point it gets a little tedious like clicking through all the
[00:11:29.420 --> 00:11:34.700]   different hyperlinks and navigating your way through. And then the the real power of the web was sort of
[00:11:34.700 --> 00:11:40.540]   unleashed by just like the one simple text box where you just like type what you're looking for and you get
[00:11:40.540 --> 00:11:47.500]   to it. And I think, you know, with with agentic UIs, that's what we should be striving for both in developer
[00:11:47.500 --> 00:11:52.940]   tools and in a lot of different application paradigms. Okay, so what does that look like in practice?
[00:11:52.940 --> 00:12:00.060]   So when we went to design this thing, our coding agent is called AMP. And AMP has two clients and this
[00:12:00.060 --> 00:12:04.860]   is what they look like. So both are like very, very bare bones. A lot of people, you know, look at this
[00:12:04.860 --> 00:12:10.780]   and like, what is this? It's just a text box. What can I do with it? And that was by design, you know,
[00:12:10.780 --> 00:12:16.380]   that for all the reasons I just mentioned. One client is just a simple VS code extension
[00:12:16.380 --> 00:12:21.980]   that allows us to take advantage of some nice things that you get in VS code, like being able to view
[00:12:21.980 --> 00:12:27.500]   diffs. That's really important in the agent decoding world. I often joke that like that's now I use that
[00:12:27.500 --> 00:12:34.700]   view more than the editor view now. And the second was a CLI. So just stripping things down to bare bones. It
[00:12:34.700 --> 00:12:39.500]   has access to all the same tools as the VS code extension does, but it's just something that you
[00:12:39.500 --> 00:12:43.260]   can invoke in your command line. You can also script it, compose it with other tools.
[00:12:45.180 --> 00:12:51.980]   Okay. So what does this actually look like in practice? I want to do something a little bit
[00:12:51.980 --> 00:12:58.140]   risky here, which is in the past I've done a lot of like, you know, hey, here's me building a simple
[00:12:58.140 --> 00:13:02.700]   app, like those sorts of demos. But I actually want to show off like where we think this is most useful,
[00:13:02.700 --> 00:13:08.620]   which is like, hey, I'm working on an application that has real users. Let me actually make a contribution
[00:13:08.620 --> 00:13:14.220]   to that code base, given all, with all the like existing constraints. And so I actually want to,
[00:13:14.220 --> 00:13:16.780]   I'm just going to code a little bit. Well, I don't even know how far we're going to get.
[00:13:16.780 --> 00:13:24.780]   But this is, this is AMP. This is VS code running AMP in the sidebar, and it's open to the AMP code base.
[00:13:24.780 --> 00:13:33.100]   And what I want to do is implement like a simple change to this application. So the change that I'm going
[00:13:33.100 --> 00:13:41.100]   to make is AMP has a server component. And the server exists as a way to provide the LLM inference
[00:13:41.100 --> 00:13:46.780]   point. It also provides like team functionality. We have a way to share like what different teams
[00:13:46.780 --> 00:13:50.460]   are doing, what different users are doing with AI. So you can kind of learn from other users. There's
[00:13:50.460 --> 00:13:55.340]   leaderboard. It's fun. But there's also these things called connectors, which allow AMP to talk to
[00:13:55.340 --> 00:14:01.180]   external services. So our issue tracker is linear. And so I've integrated linear into AMP here, but I'm
[00:14:01.180 --> 00:14:05.660]   kind of annoyed because it's using this generic like network icon. And I would really like to customize
[00:14:05.660 --> 00:14:11.180]   this icon such that when you plug in the linear MCP endpoint, it uses a more appropriate icon like a
[00:14:11.180 --> 00:14:18.060]   checkbox or something issue-y. So I've already filed this as a linear issue. And I'm just going to ask,
[00:14:18.060 --> 00:14:27.180]   can you find the linear issue about customizing the linear connector icon? Then implement it.
[00:14:30.380 --> 00:14:37.340]   So what this will do is it has access to a set of tools. I can go over here to the tool panel
[00:14:37.340 --> 00:14:42.860]   and see what tools it has access to. Some are local, some are built in. It's got the standard tools
[00:14:42.860 --> 00:14:48.220]   like read and edit file or run bash command. You can also plug in things like Playwright and Postgres
[00:14:48.220 --> 00:14:54.460]   via MCP. And then linear is also plugged in through this. So we're basically talking to the linear API
[00:14:55.020 --> 00:15:05.340]   through the MCP server. And what this will do is it will use the linear issues API. And it will search
[00:15:05.340 --> 00:15:10.380]   at issues. It found 50 issues. And the one that I was referring to is at the top here. So add a special
[00:15:10.380 --> 00:15:17.340]   icon for the linear connector. And now it's going to go and implement the thing for me.
[00:15:18.460 --> 00:15:24.140]   And one thing to note here is it's just making these tool calls on its own. I'm not asking it
[00:15:24.140 --> 00:15:31.980]   to use specific tools. We've also tried to make the information that you see minimal. So you don't
[00:15:31.980 --> 00:15:37.260]   need to see all the API tool calls that it's making underneath the hood or crowd out the transcript with
[00:15:37.260 --> 00:15:42.380]   a bunch of things. Most of the time, we just want to keep it simple. Because the contract we want to
[00:15:42.380 --> 00:15:48.460]   provide to users is like, the feedback loops here are more robust. And you don't have to micromanage
[00:15:48.460 --> 00:15:55.020]   this as much. Another thing I want to point out here is the search tool that this is using is actually
[00:15:55.020 --> 00:16:00.780]   a sub-agent. So it's actually spinning off a sub-agent loop that uses a form of agentic search. It has
[00:16:00.780 --> 00:16:08.700]   access to a bunch of different search tools. Keyword search, regular graph, looking at file names.
[00:16:09.340 --> 00:16:14.140]   If you want to inspect what it's doing, you can click the expand thing and see what different path
[00:16:14.140 --> 00:16:19.020]   it's taking, what files it's reading, what things it uncovered. But again, by default, we think this is
[00:16:19.020 --> 00:16:24.940]   an implementation detail. And hopefully, it should just surface the right thing. So it's working. It's
[00:16:24.940 --> 00:16:31.100]   gathering context. Another thing I want to call out in this interface is, as we've gotten more feedback,
[00:16:31.100 --> 00:16:36.060]   we've kind of designed this thing to be more multi-threaded. So there's a quick keyboard shortcut that
[00:16:36.060 --> 00:16:39.340]   allows you to quickly tab through the different threads that you're running. And it's a common
[00:16:39.340 --> 00:16:43.660]   paradigm in our user community to be running more than one of these things at a time.
[00:16:43.660 --> 00:16:49.740]   And it takes a little bit to get used to the context switching. Developers hate context switching.
[00:16:49.740 --> 00:16:59.660]   We like to be in flow, in focus. Typically, what we see here is the secondary thread will either be
[00:16:59.660 --> 00:17:03.740]   something that's a lot shallower, so that you can quickly page back to the main thread. Or what I like
[00:17:03.740 --> 00:17:09.420]   to do is, while the agent is working, I actually like to understand the code at a deeper level myself,
[00:17:09.420 --> 00:17:15.900]   so I can better understand what it's going to do. So I could ask something like, "Can you show me how
[00:17:15.900 --> 00:17:22.780]   connectors and connections work in AMP?" I can ask it to draw a picture of that.
[00:17:24.860 --> 00:17:28.620]   So we'll kick that thread off in parallel. We'll check back in on what this guy is doing.
[00:17:28.620 --> 00:17:34.940]   So it's found -- it's read a bunch of files. It's read some front-end files. Our front-end is written
[00:17:34.940 --> 00:17:40.620]   in Svelte. And as you can see, it's being fairly thoughtful about reading the appropriate files
[00:17:40.620 --> 00:17:46.700]   before it actually goes and does the work. And we find that this is really important to make the feedback
[00:17:46.700 --> 00:17:53.180]   cycles more robust. Otherwise, the anti-pattern is you just get into the weeds of steering it manually.
[00:17:53.180 --> 00:18:00.860]   It's also got this to-do list thing at the bottom that helps it structure and plan out the longer-term
[00:18:00.860 --> 00:18:05.340]   tasks, so that it doesn't go immediately dive into the code. There's a classic mistake that human
[00:18:05.340 --> 00:18:09.100]   developers make too, where you dive into the code too early, and then you get lost in the weeds, and then
[00:18:09.100 --> 00:18:17.340]   it takes a while to dig yourself out. Okay, so it's making some changes. One other thing that I like
[00:18:17.340 --> 00:18:22.620]   to point out here is -- you know, I mentioned that I use the diff view in VS Code now probably more than
[00:18:22.620 --> 00:18:28.380]   the editor view. VS Code actually has a really nice diff view. I have a hot keyed, so I can open it up
[00:18:28.380 --> 00:18:35.500]   quickly. And most of my time in VS Code now is spent just reviewing the changes it makes. And I actually
[00:18:35.500 --> 00:18:41.340]   like this a lot better than GitHub PRs or Git diff on the command line. Just because it's in the editor,
[00:18:41.340 --> 00:18:49.180]   you can see the whole file, and jump to definition even works. So, yeah. We'll just wait a little bit
[00:18:49.180 --> 00:18:59.900]   for it to do its thing. I actually think it's probably made -- looks like it's getting there. It's probably
[00:18:59.900 --> 00:19:05.740]   just running, like, tests. Let's see if we go back here, if it's updated the icon at all.
[00:19:05.740 --> 00:19:13.420]   Okay, so it hasn't gotten there yet, but I think it's on the right track.
[00:19:13.420 --> 00:19:23.420]   The question was, does it write its own tests? Yes, it typically writes its own tests. And if it doesn't,
[00:19:23.420 --> 00:19:29.660]   you can prompt it to do so. So, it's doing a lot of things. It's reading a lot of files. It's making
[00:19:29.660 --> 00:19:35.100]   these edits incrementally and then checking the diagnostics. And then now let's see if it works.
[00:19:35.100 --> 00:19:40.220]   Okay, cool. So, you see here the icon has been updated. And this is without me really steering it
[00:19:40.220 --> 00:19:48.140]   in any fashion. Notice here on this page that this icon didn't update, though. And so this is actually
[00:19:48.140 --> 00:19:53.740]   not surprising to me because this change -- as many changes in production code bases are -- often more
[00:19:53.740 --> 00:19:58.620]   nuanced than it seems at the surface. So, in this case, the reason it's not getting it here is because
[00:19:58.620 --> 00:20:07.820]   this is the admin page. And the piece of data we need to know -- we need to read in order to tell
[00:20:07.820 --> 00:20:13.900]   that this is a linear MCP rather than a generic MCP is actually part of the config. We have to look at
[00:20:13.900 --> 00:20:18.860]   the endpoint of the MCP URL. In order to do that, you have to read the config. But the config might
[00:20:18.860 --> 00:20:22.620]   also contain secrets. It doesn't contain secrets in this case, but might contain secrets in other cases.
[00:20:22.620 --> 00:20:28.620]   So, we actually prohibit those secrets from being sent to non-admin pages. So, it's not surprising to me
[00:20:28.620 --> 00:20:32.940]   that the first pass, it didn't get that right. But let's see if it can get -- I'll just nudge it a little
[00:20:32.940 --> 00:20:41.820]   a bit. So, like, I noticed that the icon changed on admin connections, but not on settings.
[00:20:41.820 --> 00:20:46.700]   Can you investigate why?
[00:20:49.980 --> 00:20:54.060]   And in the interest of time, we'll check back on this later. How about that?
[00:20:54.060 --> 00:20:59.260]   We'll let it run and we'll see if it can find its way to the right solution there.
[00:20:59.260 --> 00:21:05.020]   Is it okay if I go a little bit over since we started a little bit? Okay, cool.
[00:21:05.020 --> 00:21:08.620]   Is it okay with you all if I go a little bit over? Okay. Are you still having fun?
[00:21:08.620 --> 00:21:14.700]   Okay, cool. So, that was like a brief demo of just like the interaction patterns and the UI.
[00:21:14.700 --> 00:21:21.340]   We try to keep it really minimal. We've released this to like a small group so far. The sign-up is
[00:21:21.340 --> 00:21:25.580]   now publicly open. It's been open for about two weeks, but we haven't done a lot of like marketing
[00:21:25.580 --> 00:21:30.540]   around it. And that's kind of been intentional because we're really trying to design this for
[00:21:30.540 --> 00:21:35.900]   where we think the puck is going. And so, we've done a lot to curate this community of people who are
[00:21:35.900 --> 00:21:41.980]   trying to experiment with LLMs and figure out like how the interaction paradigms are going to change
[00:21:41.980 --> 00:21:46.620]   over the next six to 12 months. And so, our user community is really people who are like spending
[00:21:46.620 --> 00:21:53.340]   nights and weekends a lot of time with this thing to see what they can get it to do. And so, actually,
[00:21:53.340 --> 00:21:58.700]   one of the most insightful things and actually the main topic of this talk is lessons that we've learned
[00:21:58.700 --> 00:22:04.620]   from just like looking at what our power users are doing and seeing what interesting behavior patterns
[00:22:05.660 --> 00:22:13.100]   they're kind of like implementing. And so, like the average spend for agents is growing. It's a lot
[00:22:13.100 --> 00:22:17.340]   more than the average spend was for chatbots or autocomplete. But one other interesting thing that
[00:22:17.340 --> 00:22:24.140]   we've noticed among the user base is that there's a huge variance in terms of how much people use this
[00:22:24.140 --> 00:22:31.020]   think. To the point where like there's like an upper echelon of users that are spending like thousands of
[00:22:31.020 --> 00:22:37.660]   dollars per month just in inference costs. And at first, we're like, this has got to be abuse, right?
[00:22:37.660 --> 00:22:44.220]   Like someone out there is poked, found some way to exploit the inference endpoint, is using it to power
[00:22:44.220 --> 00:22:51.900]   some Chinese AI girlfriend or whatever. But actually, no, when we spoke to the people using it,
[00:22:51.900 --> 00:22:55.580]   we actually found that they were doing real things. And we're like, that's interesting. What the hell are
[00:22:55.580 --> 00:23:01.580]   you doing? And from those insights and the conversations, we basically have encapsulated a series of best
[00:23:01.580 --> 00:23:13.420]   practices or emergent power user patterns for how the very dominant users, the most active users are using
[00:23:13.420 --> 00:23:17.980]   this thing. And this has informed our product design process as well. So one of the the first changes
[00:23:17.980 --> 00:23:25.260]   that we made was we noticed that a lot of the power users were very writing very long prompts. It was
[00:23:25.260 --> 00:23:30.300]   not like the simple kind of like Google style, like three keywords and just like read my mind and expect
[00:23:30.300 --> 00:23:36.060]   something good to happen. They actually wanted to write a lot of detail because they realized that LLMs are
[00:23:36.060 --> 00:23:40.940]   actually quite programmable. If you give them a lot of context, they will follow those instructions and get
[00:23:40.940 --> 00:23:45.180]   a little bit further than if you just give them like a one line sentence. And so we made the default
[00:23:45.180 --> 00:23:50.940]   behavior of the enter key in the AMP input just new line. So you have to hit command enter to submit.
[00:23:50.940 --> 00:23:54.460]   And this throws a lot of the new users off because they're like, wait a minute, why isn't it just enter?
[00:23:54.460 --> 00:23:58.300]   Like, you know, if I'm in like cursor or whatever, it's just enter. That's easy. That's intuitive.
[00:23:58.300 --> 00:24:03.500]   But actually, what we want to push users to do is to write those longer prompts because that actually yields
[00:24:03.500 --> 00:24:09.340]   better results. And I think that's one of the things that prevents people who are still in the kind of like chat LLM
[00:24:09.340 --> 00:24:15.420]   mode from unlocking some of the, you know, cool stuff that agents can do.
[00:24:15.420 --> 00:24:24.700]   Another thing that people do very intentionally is direct the agent to look at relevant context and
[00:24:24.700 --> 00:24:30.140]   feedback mechanisms. So, you know, context was very important in the chat bot era. It's still important
[00:24:30.140 --> 00:24:35.820]   in the agentic era. Now, agents do have a good amount of like built-in knowledge for how to use tools to
[00:24:35.820 --> 00:24:39.900]   acquire context. Like you saw that before when it was using the search tool to find different things.
[00:24:39.900 --> 00:24:46.460]   And it was executing the test and linters to see if the code was valid.
[00:24:46.460 --> 00:24:51.340]   But there's still some cases, especially in production code bases, where it's like, oh,
[00:24:51.340 --> 00:24:57.980]   we do things in a very specific way that are kind of like out of distribution. And so like some like less
[00:25:00.140 --> 00:25:03.340]   agentically inclined users at that point will just give up. They're like, ah, you know, agents aren't
[00:25:03.340 --> 00:25:07.820]   capable of working with like backend code yet. But what we've noticed is the power user like, actually,
[00:25:07.820 --> 00:25:12.620]   let me try to just tell it how to run, you know, the build in this particular sub directory, run the
[00:25:12.620 --> 00:25:17.500]   tests. And that helps it complete the feedback loop so that it can get the validation to get further.
[00:25:20.220 --> 00:25:26.700]   Feedback loops are going to be a big theme of this talk. So another like dominant paradigm here is
[00:25:26.700 --> 00:25:31.580]   constructing these like frontend feedback loops. So like a really common formula is you have the playwright
[00:25:31.580 --> 00:25:36.780]   mcp server and then there's a thing called storybook, which is basically a way to encapsulate or
[00:25:36.780 --> 00:25:42.220]   componentize a lot of your fun components. It makes it very easy to test individual components without
[00:25:42.220 --> 00:25:46.940]   loading your entire app. And you know, you probably should have been doing this anyways as a human
[00:25:46.940 --> 00:25:50.540]   developer because you get a fast feedback loop. You make a change, see it reflected instantly,
[00:25:50.540 --> 00:25:55.180]   you get the auto reload and then go back to your editor. But with agents, you kind of notice it more
[00:25:55.180 --> 00:25:59.260]   because you're no longer like in the weeds doing the thing. You're like, oh, you're almost like the
[00:25:59.260 --> 00:26:03.740]   developer experience engineer for your agent. It's like, how can I make it loop back faster? And so what
[00:26:03.740 --> 00:26:08.380]   the agent will do is like, you know, make the code change, use playwright to open up the page in the
[00:26:08.380 --> 00:26:14.140]   browser, snapshot it, and then loop back on itself. And it does that via storybook because it's much faster
[00:26:14.140 --> 00:26:17.740]   than reloading the entire app.
[00:26:17.740 --> 00:26:19.740]   You put playwright as a tool for you?
[00:26:19.740 --> 00:26:24.780]   Yes. So, it's one of the default recommended tools. So, it's right here.
[00:26:24.780 --> 00:26:35.020]   And actually, it looks like that run completed. I wonder if -- looks like it did approximately the
[00:26:35.020 --> 00:26:40.060]   right thing. Sorry, just to jump out of the slides of her a little bit. So, now you can see like the icon
[00:26:40.060 --> 00:26:45.660]   is customized on the settings page, not just the admin page. And if you look at how it did that,
[00:26:45.660 --> 00:26:51.020]   I think it did the right thing. So, if you look at the diff, it actually looked at the surrounding code
[00:26:51.020 --> 00:26:56.620]   and it was like, oh, there is an existing mechanism for plumbing non-secret parts of the config through
[00:26:56.620 --> 00:27:05.020]   to the UI. Let me use that as a reference point. And it actually plumbed exactly that field through
[00:27:05.020 --> 00:27:09.980]   to the front end. So, now if I add additional fields to the MCP config that do contain secrets,
[00:27:09.980 --> 00:27:15.100]   this is whitelisted. So, it will still only send the endpoint URL over to the client,
