
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:05:48.260 --> 00:05:51.100]   However, I would not want people to obsess
[00:05:51.100 --> 00:05:54.220]   over getting exactly 30% rapid eye movement sleep
[00:05:54.220 --> 00:05:56.340]   and exactly 30% slow wave sleep.
[00:05:56.340 --> 00:05:58.140]   Your body is much more resilient than that.
[00:05:58.140 --> 00:06:00.820]   But the closer those two numbers are to one another,
[00:06:00.820 --> 00:06:03.300]   the better overall architecture of your sleep.
[00:06:03.300 --> 00:06:05.060]   And he doesn't list out exactly
[00:06:05.060 --> 00:06:06.860]   how he's measuring his sleep.
[00:06:06.860 --> 00:06:10.140]   So I do want to put an asterisk on both the question
[00:06:10.140 --> 00:06:12.060]   and the answer I provide by stating
[00:06:12.060 --> 00:06:13.440]   that a lot of sleep trackers,
[00:06:13.440 --> 00:06:15.980]   whether or not they are whoop trackers or auras,
[00:06:15.980 --> 00:06:18.180]   or whether or not you're using a mattress-based
[00:06:18.180 --> 00:06:19.860]   or mattress cover-based sleep tracker
[00:06:19.860 --> 00:06:21.740]   like eight sleep or other,
[00:06:21.740 --> 00:06:24.460]   is using heart rate and heart rate variability
[00:06:24.460 --> 00:06:29.460]   and body movement to estimate or to kind of predict
[00:06:29.460 --> 00:06:32.340]   whether or not you're in slow wave sleep
[00:06:32.340 --> 00:06:33.420]   or rapid eye movement sleep.
[00:06:33.420 --> 00:06:34.980]   And that's because during rapid eye movement sleep,
[00:06:34.980 --> 00:06:37.160]   you tend to be in what's called atonia.
[00:06:37.160 --> 00:06:38.400]   You tend to be paralyzed.
[00:06:38.400 --> 00:06:39.780]   You can't move.
[00:06:39.780 --> 00:06:42.700]   And during slow wave sleep, that's not the case.
[00:06:42.700 --> 00:06:45.800]   But no matter what the sleep tracking method is,
[00:06:45.800 --> 00:06:49.420]   if it's a standard commercial sleep tracking method,
[00:06:49.420 --> 00:06:51.600]   whoop, aura, eight sleep, et cetera,
[00:06:51.600 --> 00:06:54.420]   it is an estimate or a best guess
[00:06:54.420 --> 00:06:56.700]   at what stage of sleep you're in.
[00:06:56.700 --> 00:06:58.660]   Whereas when you go into a sleep laboratory
[00:06:58.660 --> 00:07:00.180]   like the sleep laboratory at Stanford,
[00:07:00.180 --> 00:07:01.380]   at University of Pennsylvania,
[00:07:01.380 --> 00:07:04.540]   or other of the great sleep laboratories that are out there,
[00:07:04.540 --> 00:07:09.180]   they're going to use other methods, including EEG and EMG.
[00:07:09.180 --> 00:07:10.220]   These are just acronyms
[00:07:10.220 --> 00:07:12.440]   that refer to ways to record brain waves.
[00:07:12.440 --> 00:07:14.460]   They actually are going to try and observe
[00:07:14.460 --> 00:07:18.080]   for rapid eye movements beneath the eyelids, et cetera.
[00:07:18.080 --> 00:07:20.920]   So sleep trackers give you a best guess
[00:07:20.920 --> 00:07:22.740]   as to what stage of sleep you're in.
[00:07:22.740 --> 00:07:24.220]   They are not perfectly accurate.
[00:07:24.220 --> 00:07:27.820]   At least none of the commercially available sleep trackers
[00:07:27.820 --> 00:07:28.860]   are perfectly accurate.
[00:07:28.860 --> 00:07:30.480]   So we do want to highlight that.
[00:07:30.480 --> 00:07:32.660]   Okay, so now let's answer Jack's question directly,
[00:07:32.660 --> 00:07:35.780]   which is how to increase the total amount of slow wave sleep.
[00:07:35.780 --> 00:07:37.380]   Well, there are a couple of ways.
[00:07:37.380 --> 00:07:38.860]   First of all, are the don'ts,
[00:07:38.860 --> 00:07:41.180]   and then we'll talk about the dos.
[00:07:41.180 --> 00:07:42.080]   Two things that you can do
[00:07:42.080 --> 00:07:44.840]   to really disrupt your slow wave sleep
[00:07:44.840 --> 00:07:49.300]   are to drink alcohol within eight hours prior to bedtime,
[00:07:49.300 --> 00:07:50.240]   or even at all.
[00:07:50.240 --> 00:07:52.860]   Some people will find that even if they have a glass of wine
[00:07:52.860 --> 00:07:55.100]   or a beer with lunch, that the amount of slow wave sleep,
[00:07:55.100 --> 00:07:57.660]   and sometimes even the rapid eye movement sleep
[00:07:57.660 --> 00:08:00.060]   that they get at night is reduced,
[00:08:00.060 --> 00:08:03.260]   and that their overall sleep architecture is disrupted.
[00:08:03.260 --> 00:08:05.140]   This has been shown again and again.
[00:08:05.140 --> 00:08:08.420]   Likewise, avoiding caffeine within eight,
[00:08:08.420 --> 00:08:13.420]   and ideally within 12 hours of bedtime would be preferable.
[00:08:13.420 --> 00:08:14.900]   And if you're not a caffeine drinker,
[00:08:14.900 --> 00:08:16.420]   obviously you don't have to worry about this at all,
[00:08:16.420 --> 00:08:18.700]   but avoiding caffeine intake within that eight
[00:08:18.700 --> 00:08:21.500]   to 12 hours of bedtime will greatly assist
[00:08:21.500 --> 00:08:24.180]   in you getting more slow wave sleep
[00:08:24.180 --> 00:08:26.400]   and higher quality rapid eye movement sleep.
[00:08:26.400 --> 00:08:28.660]   This has been shown again and again.
[00:08:28.660 --> 00:08:33.660]   And as well, avoiding cannabis use and maybe even CBD use
[00:08:33.660 --> 00:08:39.220]   within eight to 12 hours of sleep can be very beneficial
[00:08:39.220 --> 00:08:41.680]   if your goal is to improve the quality of your sleep.
[00:08:41.680 --> 00:08:44.620]   Now, I know a lot of people rely on alcohol,
[00:08:44.620 --> 00:08:48.180]   cannabis, and CBD in order to get into sleep.
[00:08:48.180 --> 00:08:51.460]   However, it's been shown many times in human studies,
[00:08:51.460 --> 00:08:53.860]   and this was discussed in the podcast episode
[00:08:53.860 --> 00:08:55.640]   that we did with the great Matt Walker,
[00:08:55.640 --> 00:08:58.200]   who's a professor of neuroscience and psychology
[00:08:58.200 --> 00:08:59.620]   at University of California, Berkeley,
[00:08:59.620 --> 00:09:02.740]   and a world expert in sleep and sleep science.
[00:09:02.740 --> 00:09:04.300]   Matt and I discussed the research showing
[00:09:04.300 --> 00:09:06.140]   that even though alcohol helps you fall asleep,
[00:09:06.140 --> 00:09:08.300]   even though cannabis can help you fall asleep,
[00:09:08.300 --> 00:09:10.780]   and even though CBD can help people fall asleep,
[00:09:10.780 --> 00:09:13.580]   that it does disrupt and in many ways
[00:09:13.580 --> 00:09:16.420]   reduce the quality of sleep that one gets.
[00:09:16.420 --> 00:09:17.740]   So that's disappointing news.
[00:09:17.740 --> 00:09:19.880]   I know for a number of the people that rely on cannabis,
[00:09:19.880 --> 00:09:21.620]   CBD, or alcohol to fall asleep,
[00:09:21.620 --> 00:09:24.100]   but I would encourage you to check out the episodes
[00:09:24.100 --> 00:09:27.460]   of the Huberman Lab Podcast that we did about alcohol
[00:09:27.460 --> 00:09:28.760]   and about cannabis,
[00:09:28.760 --> 00:09:30.580]   including some of the health benefits of cannabis
[00:09:30.580 --> 00:09:32.020]   in certain situations,
[00:09:32.020 --> 00:09:33.880]   but also some of the detrimental effects
[00:09:33.880 --> 00:09:36.660]   of both alcohol and cannabis in other situations,
[00:09:36.660 --> 00:09:38.740]   in particular for improving slow wave sleep.
[00:09:38.740 --> 00:09:40.960]   So that's actually three major don'ts.
[00:09:40.960 --> 00:09:44.360]   Avoid caffeine, alcohol, and cannabis,
[00:09:44.360 --> 00:09:46.880]   and let's put under the umbrella of cannabis,
[00:09:46.880 --> 00:09:50.460]   THC and CBD in the eight,
[00:09:50.460 --> 00:09:53.980]   and ideally within the 12 hours prior to sleep.
[00:09:53.980 --> 00:09:56.340]   If your goal is to improve the total amount
[00:09:56.340 --> 00:09:58.340]   of slow wave sleep that you're getting
[00:09:58.340 --> 00:10:00.940]   and your overall sleep architecture.
[00:10:00.940 --> 00:10:05.940]   In addition, it's well-known that avoiding food intake
[00:10:05.940 --> 00:10:08.340]   in the two hours prior to sleep
[00:10:08.340 --> 00:10:10.300]   is going to greatly assist
[00:10:10.300 --> 00:10:13.620]   in the amount of growth hormone output that you achieve
[00:10:13.620 --> 00:10:15.160]   during the early stages of the night
[00:10:15.160 --> 00:10:19.200]   and the depth and duration of slow wave sleep.
[00:10:19.200 --> 00:10:21.700]   Now, I want to place an asterisk on that statement
[00:10:21.700 --> 00:10:24.980]   by saying if you go to sleep too hungry,
[00:10:24.980 --> 00:10:26.620]   it can also disrupt your sleep.
[00:10:26.620 --> 00:10:28.980]   So you're going to have to arrange your eating schedule
[00:10:28.980 --> 00:10:30.060]   and your sleeping schedule
[00:10:30.060 --> 00:10:32.820]   such that you're not eating too close to bedtime,
[00:10:32.820 --> 00:10:35.620]   but you're also not going to bed so hungry
[00:10:35.620 --> 00:10:36.800]   that you can't fall asleep
[00:10:36.800 --> 00:10:39.260]   or that you don't get into deep sleep and stay asleep.
[00:10:39.260 --> 00:10:40.900]   I can personally attest to the fact
[00:10:40.900 --> 00:10:43.700]   that if I'm too hungry, I can't fall asleep.
[00:10:43.700 --> 00:10:46.180]   Now, for me, most nights I'm going to eat dinner
[00:10:46.180 --> 00:10:48.580]   sometime between 6 p.m. and 8 p.m.,
[00:10:48.580 --> 00:10:49.620]   depending on time of year,
[00:10:49.620 --> 00:10:51.820]   schedules, what's going on, traffic, et cetera.
[00:10:51.820 --> 00:10:52.780]   And I tend to go to sleep
[00:10:52.780 --> 00:10:56.440]   somewhere between 10 p.m. and 11 p.m., plus or minus an hour.
[00:10:56.440 --> 00:10:58.300]   Again, depending on time of year
[00:10:58.300 --> 00:10:59.940]   and what else is going on in life.
[00:10:59.940 --> 00:11:02.900]   So I normally have that buffer of two hours or so
[00:11:02.900 --> 00:11:04.020]   before going to sleep.
[00:11:04.020 --> 00:11:05.260]   However, there are some nights
[00:11:05.260 --> 00:11:07.380]   where even if I eat dinner around 7 p.m.,
[00:11:07.380 --> 00:11:11.580]   I'm quite hungry at 9 p.m. and I want to go to sleep.
[00:11:11.580 --> 00:11:13.780]   In that case, eating a small amount of food
[00:11:13.780 --> 00:11:17.700]   ought not to disrupt your slow wave sleep too much,
[00:11:17.700 --> 00:11:19.660]   but you do want to avoid eating large meals
[00:11:19.660 --> 00:11:22.220]   right before going to sleep unless, okay,
[00:11:22.220 --> 00:11:26.820]   unless completely fasting and not eating something
[00:11:26.820 --> 00:11:27.820]   late at night will prevent you
[00:11:27.820 --> 00:11:29.460]   from getting into any sleep at all.
[00:11:29.460 --> 00:11:30.760]   In other words, it's better to make sure
[00:11:30.760 --> 00:11:34.380]   that you're getting to sleep than it is to avoid food
[00:11:34.380 --> 00:11:36.860]   just so that you get increased growth hormone output
[00:11:36.860 --> 00:11:38.540]   and into slow wave sleep.
[00:11:38.540 --> 00:11:40.020]   I hope that's clear.
[00:11:40.020 --> 00:11:42.220]   You know, I have had times in my life
[00:11:42.220 --> 00:11:43.380]   where I'm working very, very hard
[00:11:43.380 --> 00:11:46.060]   and I miss dinner or something comes up
[00:11:46.060 --> 00:11:48.180]   and I know some people can fall asleep
[00:11:48.180 --> 00:11:49.980]   quite easily on an empty stomach.
[00:11:49.980 --> 00:11:50.880]   I've been able to do that.
[00:11:50.880 --> 00:11:52.920]   In particular, if I'm very exhausted,
[00:11:52.920 --> 00:11:55.140]   I also rely on a handful of supplements
[00:11:55.140 --> 00:11:57.580]   to fall asleep each night,
[00:11:57.580 --> 00:11:59.440]   although I'm not dependent on them.
[00:11:59.440 --> 00:12:00.700]   There've been times when I haven't been able
[00:12:00.700 --> 00:12:03.140]   to access those supplements and I can still fall asleep.
[00:12:03.140 --> 00:12:05.000]   But the point is that you don't want to be so hungry
[00:12:05.000 --> 00:12:06.820]   that you can't fall asleep.
[00:12:06.820 --> 00:12:09.140]   And yet in an ideal circumstance,
[00:12:09.140 --> 00:12:10.540]   especially if you're trying to increase
[00:12:10.540 --> 00:12:11.700]   the amount of slow wave sleep,
[00:12:11.700 --> 00:12:14.700]   you would avoid food in the two hours or so
[00:12:14.700 --> 00:12:16.180]   before going to sleep.
[00:12:16.180 --> 00:12:18.460]   If you can avoid food for the three or four hours
[00:12:18.460 --> 00:12:21.440]   prior to sleep and still fall and stay asleep easily,
[00:12:21.440 --> 00:12:23.240]   that's even better for sake of increasing
[00:12:23.240 --> 00:12:26.080]   slow wave sleep and growth hormone output.
[00:12:26.080 --> 00:12:28.160]   Now, there are some additional tools
[00:12:28.160 --> 00:12:29.920]   for improving slow wave sleep.
[00:12:29.920 --> 00:12:33.200]   In particular, the transitions between slow wave sleep
[00:12:33.200 --> 00:12:34.680]   and the other sleep stages.
[00:12:34.680 --> 00:12:36.800]   Because even though, as I mentioned earlier,
[00:12:36.800 --> 00:12:39.200]   the early part of your night is occupied primarily
[00:12:39.200 --> 00:12:40.920]   by slow wave sleep, all night long,
[00:12:40.920 --> 00:12:43.300]   you're transitioning from slow wave sleep
[00:12:43.300 --> 00:12:44.960]   into an intermediate stage of sleep
[00:12:44.960 --> 00:12:47.140]   and then into rapid eye movement sleep and then back again.
[00:12:47.140 --> 00:12:49.220]   It's just that in the early part of the night,
[00:12:49.220 --> 00:12:51.060]   more of that time is going to be occupied
[00:12:51.060 --> 00:12:52.120]   by slow wave sleep.
[00:12:52.120 --> 00:12:54.980]   The two ways to improve slow wave sleep
[00:12:54.980 --> 00:12:56.820]   that are well-documented in the literature,
[00:12:56.820 --> 00:12:58.680]   and here we can point to some really nice papers
[00:12:58.680 --> 00:13:01.460]   that I'll reference in case you want to read further,
[00:13:01.460 --> 00:13:03.400]   is the first one is entitled,
[00:13:03.400 --> 00:13:05.780]   "Exercise improves the quality of slow wave sleep
[00:13:05.780 --> 00:13:08.600]   by increasing slow wave stability."
[00:13:08.600 --> 00:13:10.760]   Slow wave stability has to do with,
[00:13:10.760 --> 00:13:13.480]   as researchers call it, the amount of power present
[00:13:13.480 --> 00:13:15.400]   in the different aspects of slow wave sleep.
[00:13:15.400 --> 00:13:17.040]   So this gets a little bit technical,
[00:13:17.040 --> 00:13:19.640]   but this is an instance in which they brought subjects
[00:13:19.640 --> 00:13:23.680]   into the laboratory, they measured brainwaves by EEG,
[00:13:23.680 --> 00:13:25.000]   they had some other measurements as well,
[00:13:25.000 --> 00:13:27.040]   including subjective measures of sleep,
[00:13:27.040 --> 00:13:28.780]   and they looked at whether or not people
[00:13:28.780 --> 00:13:32.480]   were doing exercise or not prior to sleep.
[00:13:32.480 --> 00:13:33.960]   Now, when I say prior to sleep,
[00:13:33.960 --> 00:13:36.760]   I mean not within six hours prior to bedtime.
[00:13:36.760 --> 00:13:40.300]   In fact, exercising intensely
[00:13:40.300 --> 00:13:42.640]   in the six hours prior to bedtime for many people,
[00:13:42.640 --> 00:13:43.780]   not all, but for many people,
[00:13:43.780 --> 00:13:46.400]   can disrupt the total amount of slow wave sleep
[00:13:46.400 --> 00:13:49.240]   that they get and can also disrupt rapid eye movement sleep.
[00:13:49.240 --> 00:13:52.140]   So the conditions of the study were pretty straightforward.
[00:13:52.140 --> 00:13:55.400]   It was a randomized crossover trial.
[00:13:55.400 --> 00:13:57.640]   Basically, they had people either sleeping
[00:13:57.640 --> 00:13:58.680]   and monitoring their sleep,
[00:13:58.680 --> 00:14:01.660]   or they had people doing an hour of exercise
[00:14:01.660 --> 00:14:04.880]   at 60% of their so-called VO2 max,
[00:14:04.880 --> 00:14:07.920]   you can look this up, for 60 minutes, okay?
[00:14:07.920 --> 00:14:11.080]   60% of their VO2 max, that was the intensity.
[00:14:11.080 --> 00:14:13.560]   It's breathing pretty hard, but not extremely hard.
[00:14:13.560 --> 00:14:15.880]   If we were going to map that to the so-called zone,
[00:14:15.880 --> 00:14:17.640]   zone two cardio being the kind of cardio
[00:14:17.640 --> 00:14:20.360]   you can do steady state while holding a conversation,
[00:14:20.360 --> 00:14:22.540]   this would be somewhere in the probably zone three
[00:14:22.540 --> 00:14:26.500]   or zone four, although that's not exactly
[00:14:26.500 --> 00:14:30.320]   what 60% of VO2 max is going to map to every time.
[00:14:30.320 --> 00:14:35.240]   Think about relatively challenging cardiovascular output
[00:14:35.240 --> 00:14:38.300]   for 60 minutes, and they had them do that
[00:14:38.300 --> 00:14:40.820]   at least six hours prior to bedtime.
[00:14:40.820 --> 00:14:42.640]   And this is an important end,
[00:14:42.640 --> 00:14:45.000]   they did have the subjects in this study
[00:14:45.000 --> 00:14:48.480]   in all conditions abstain from caffeine and alcohol.
[00:14:48.480 --> 00:14:49.640]   So that's very important.
[00:14:49.640 --> 00:14:52.060]   And what they observed was an enhancement
[00:14:52.060 --> 00:14:53.500]   of slow wave sleep.
[00:14:53.500 --> 00:14:57.360]   So exercise of this sort turns out to be a very potent form
[00:14:57.360 --> 00:14:58.860]   of improving slow wave sleep.
[00:14:58.860 --> 00:15:00.840]   Now, I do not know because the study,
[00:15:00.840 --> 00:15:02.600]   as far as I know, has not been done,
[00:15:02.600 --> 00:15:05.060]   whether or not doing resistance training
[00:15:05.060 --> 00:15:06.960]   or some other type of exercise
[00:15:06.960 --> 00:15:08.700]   would have led to the same effect.
[00:15:08.700 --> 00:15:11.520]   Although I have to imagine that if it's moderately intense
[00:15:11.520 --> 00:15:13.540]   to intense resistance training,
[00:15:13.540 --> 00:15:17.240]   provided it's done far enough away from going to sleep,
[00:15:17.240 --> 00:15:19.680]   prior to six hours before sleep,
[00:15:19.680 --> 00:15:22.200]   that one ought to see the same effects,
[00:15:22.200 --> 00:15:24.360]   although that was not a condition in this study.
[00:15:24.360 --> 00:15:25.840]   But it's a very nice study.
[00:15:25.840 --> 00:15:27.560]   They looked at everything from changes
[00:15:27.560 --> 00:15:30.600]   in core body temperature to caloric expenditure.
[00:15:30.600 --> 00:15:31.900]   They didn't see huge changes
[00:15:31.900 --> 00:15:34.400]   in core body temperature changes,
