
[00:00:00.040 --> 00:00:09.540]  eleri
[00:13:48.120 --> 00:13:48.120]   I'm not saying that you should buy a new car.
[00:13:48.120 --> 00:13:48.120]   I'm not saying that you should buy a new car.
[00:13:48.120 --> 00:13:48.120]   I'm not saying that you should buy a new car.
[00:13:48.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:18.140]   I'm not saying that you should buy a new car.
[00:14:18.140 --> 00:14:48.160]   I'm not saying that you should buy a new car.
[00:14:48.160 --> 00:14:48.160]   I'm not saying that you should buy a new car.
[00:14:48.160 --> 00:14:48.160]   I'm not saying that you should buy a new car.
[00:14:48.160 --> 00:14:48.160]   I'm not saying that you should buy a new car.
[00:14:48.160 --> 00:14:48.160]   I'm not saying that you should buy a new car.
[00:14:48.160 --> 00:14:48.160]   I'm not saying that you should buy a new car.
[00:14:48.200 --> 00:14:53.380]   não
[00:14:53.380 --> 00:15:01.580]   choose e
[00:15:01.580 --> 00:15:09.860]   bleopt money. In, it's the sixth, the, the, the, the, the, the, the,,,,,,,,,,,,,,,,, 아
[00:15:18.240 --> 00:15:29.260]   .
[00:18:11.360 --> 00:18:12.520]   and I think that's the best way to look at her. I think she's a good person, but you know what? I don't know what her long-term plans are and what her lifestyle is. So think about it and do your best to look forward, perhaps a decade, and plan on a 10-year car ownership life cycle. Even if you bought new cars, but you just thought in terms of a 10-year life cycle instead of a 5-year life cycle, you would come out financially significantly ahead. So I would encourage Sarah, think about what type of vehicle would fill your needs.
[00:18:12.520 --> 00:18:12.520]   So I would encourage Sarah, think about what type of vehicle would fill your needs.
[00:18:12.520 --> 00:18:12.520]   So I would encourage Sarah, think about what type of vehicle would fill your needs.
[00:18:12.520 --> 00:18:12.520]   So I would encourage Sarah, think about what type of vehicle would fill your needs.
[00:18:12.520 --> 00:18:12.520]   So I would encourage Sarah, think about what type of vehicle would fill your needs.
[00:18:12.560 --> 00:18:20.860]   I
[00:18:20.860 --> 00:18:42.000]   2, �,
[00:18:42.580 --> 00:18:49.800]   which
[00:18:49.800 --> 00:18:55.140]   I a
[00:20:37.940 --> 00:20:48.760]   law
[00:20:48.760 --> 00:20:52.240]  around,,,, buy Hell But I expect to the,,,,,,, exceeded
[00:20:52.240 --> 00:21:01.120]   estos
[00:21:01.120 --> 00:21:06.100]   scattered test ayud Chick je 70
[00:21:16.220 --> 00:21:16.720]   car
[00:21:16.720 --> 00:21:18.460]   it
[00:21:18.460 --> 00:21:18.700]   still
[00:21:18.700 --> 00:21:18.920]   go
[00:21:18.920 --> 00:21:19.100]   for
[00:21:19.100 --> 00:21:19.600]   another
[00:21:19.600 --> 00:21:19.800]   for
[00:21:19.800 --> 00:21:20.140]   years
[00:21:20.140 --> 00:21:20.260]   and
[00:21:20.260 --> 00:21:20.500]   years
[00:21:20.500 --> 00:21:20.780]   because
[00:21:20.780 --> 00:21:20.900]   it
[00:21:20.900 --> 00:21:21.460]   fundamentally
[00:21:21.460 --> 00:21:21.840]   has
[00:21:21.840 --> 00:21:22.100]   not
[00:21:22.100 --> 00:21:22.320]   a lot
[00:21:22.320 --> 00:21:22.400]   of
[00:21:22.400 --> 00:21:22.620]   good
[00:21:22.620 --> 00:21:22.860]   not
[00:21:22.860 --> 00:21:23.100]   a lot
[00:21:23.100 --> 00:21:23.160]   of
[00:21:23.160 --> 00:21:23.380]   things
[00:21:23.380 --> 00:21:23.460]   to
[00:21:23.460 --> 00:21:23.820]   break
[00:21:23.820 --> 00:21:24.260]   now
[00:21:24.260 --> 00:21:24.380]   it's
[00:21:24.380 --> 00:21:24.540]   got
[00:21:24.540 --> 00:21:24.660]   its
[00:21:24.660 --> 00:21:24.820]   own
[00:21:24.820 --> 00:21:25.340]   problems
[00:21:25.340 --> 00:21:25.480]   it
[00:21:25.480 --> 00:21:25.780]   doesn't
[00:21:25.780 --> 00:21:26.060]   look
[00:21:26.060 --> 00:21:26.580]   fancy
[00:21:26.580 --> 00:21:27.300]   it's
[00:21:27.300 --> 00:21:27.720]   not
[00:21:27.720 --> 00:21:27.960]   it's
[00:21:27.960 --> 00:21:28.340]   perfectly
[00:21:28.340 --> 00:21:28.740]   comfortable
[00:21:28.740 --> 00:21:29.140]   to drive
[00:21:29.140 --> 00:21:29.340]   long
[00:21:29.340 --> 00:21:29.880]   distances
[00:21:29.880 --> 00:21:30.020]   I've
[00:21:30.020 --> 00:21:30.320]   driven
[00:21:30.320 --> 00:21:30.480]   it
[00:21:30.480 --> 00:21:30.960]   I drove
[00:21:30.960 --> 00:21:31.040]   it
[00:21:31.040 --> 00:21:31.320]   across
[00:21:31.320 --> 00:21:31.400]   the
[00:21:31.400 --> 00:21:31.720]   straight
[00:21:31.720 --> 00:21:32.080]   state
[00:21:32.080 --> 00:21:32.200]   of
[00:21:32.200 --> 00:21:32.520]   Florida
[00:21:32.520 --> 00:21:32.760]   couple
[00:21:32.760 --> 00:21:33.120]   times
[00:21:33.120 --> 00:21:33.900]   it
[00:21:33.900 --> 00:21:34.020]   was
[00:21:34.020 --> 00:21:34.260]   cheap
[00:21:34.260 --> 00:21:34.380]   to
[00:21:34.380 --> 00:21:34.680]   drive
[00:21:34.680 --> 00:21:35.460]   it
[00:21:35.460 --> 00:21:36.400]   didn't
[00:21:36.400 --> 00:21:36.540]   have
[00:21:36.540 --> 00:21:36.640]   a
[00:21:36.640 --> 00:21:36.660]   cross
[00:21:36.660 --> 00:21:36.700]   car in the
[00:21:36.720 --> 00:22:06.720]   in the
[00:22:06.760 --> 00:22:36.740]   in the
[00:22:36.740 --> 00:22:36.740]   and
[00:22:36.740 --> 00:22:36.740]   you're
[00:22:36.740 --> 00:22:36.740]   on the
[00:22:36.760 --> 00:22:37.060]   loads
[00:22:37.060 --> 00:22:37.200]   of
[00:22:37.200 --> 00:22:37.360]   per
[00:22:37.360 --> 00:22:37.600]   stuff
[00:22:37.600 --> 00:22:37.720]   in
[00:22:37.720 --> 00:22:37.840]   a
[00:22:37.840 --> 00:22:38.280]   minivan
[00:22:38.280 --> 00:22:38.760]   drives
[00:22:38.760 --> 00:22:39.080]   to
[00:22:39.080 --> 00:22:39.340]   another
[00:22:39.340 --> 00:22:39.620]   city
[00:22:39.620 --> 00:22:39.860]   gets
[00:22:39.860 --> 00:22:40.080]   another
[00:22:40.080 --> 00:22:40.460]   job
[00:22:40.460 --> 00:22:41.300]   simple
[00:22:41.300 --> 00:22:41.920]   if you
[00:22:41.920 --> 00:22:42.060]   have
[00:22:42.060 --> 00:22:42.340]   debt
[00:22:42.340 --> 00:22:42.820]   it's
[00:22:42.820 --> 00:22:43.120]   not
[00:22:43.120 --> 00:22:43.840]   simple
[00:22:43.840 --> 00:22:44.740]   it's
[00:22:44.740 --> 00:22:45.020]   harder
[00:22:45.020 --> 00:22:45.960]   so no
[00:22:45.960 --> 00:22:46.220]   debt
[00:22:46.220 --> 00:22:46.560]   however
[00:22:46.560 --> 00:22:46.740]   much
[00:22:46.740 --> 00:22:46.940]   money
[00:22:46.940 --> 00:22:47.080]   you
[00:22:47.080 --> 00:22:47.340]   have
[00:22:47.340 --> 00:22:47.500]   but
[00:22:47.500 --> 00:22:47.660]   number
[00:22:47.660 --> 00:22:48.120]   two
[00:22:48.120 --> 00:22:49.040]   if
[00:22:49.040 --> 00:22:49.160]   you
[00:22:49.160 --> 00:22:49.440]   have
[00:22:49.440 --> 00:22:49.680]   a lot
[00:22:49.680 --> 00:22:49.780]   of
[00:22:49.780 --> 00:22:49.960]   money
[00:22:49.960 --> 00:22:50.560]   saved
[00:22:50.560 --> 00:22:51.340]   I think
[00:22:51.340 --> 00:22:51.540]   you
[00:22:51.540 --> 00:22:51.980]   should
[00:22:51.980 --> 00:22:52.560]   especially
[00:22:52.560 --> 00:22:52.880]   in the
[00:22:52.880 --> 00:22:53.440]   early years
[00:22:53.440 --> 00:22:53.880]   of your
[00:22:53.880 --> 00:22:54.880]   life cycle
[00:22:54.880 --> 00:22:55.600]   your wealth
[00:22:55.600 --> 00:22:56.060]   building
[00:22:56.060 --> 00:22:56.900]   you should
[00:22:56.900 --> 00:22:57.240]   keep
[00:22:57.240 --> 00:22:57.980]   your car
[00:22:57.980 --> 00:22:58.460]   purchases
[00:22:58.460 --> 00:22:59.520]   as low
[00:22:59.520 --> 00:23:00.240]   as possible
[00:23:00.240 --> 00:23:00.840]   somewhere
[00:23:00.840 --> 00:23:01.280]   between
[00:23:01.280 --> 00:23:02.140]   10%
[00:23:02.140 --> 00:23:02.440]   of your
[00:23:02.440 --> 00:23:03.100]   annual income
[00:23:03.100 --> 00:23:04.160]   50%
[00:23:04.160 --> 00:23:06.000]   depending on how
[00:23:06.000 --> 00:23:06.760]   hardcore you're
[00:23:06.820 --> 00:23:36.780]   doing in the market
[00:23:36.800 --> 00:23:39.160]   if you're
[00:23:39.160 --> 00:23:39.580]   hardcore
[00:23:39.580 --> 00:23:42.060]   at 10%
[00:23:42.060 --> 00:23:42.320]   of your
[00:23:42.320 --> 00:23:43.060]   annual income
[00:23:43.060 --> 00:23:44.440]   you can
[00:23:44.440 --> 00:23:45.400]   find something
[00:23:45.400 --> 00:23:46.200]   great
[00:23:46.200 --> 00:23:47.920]   if you have
[00:23:47.920 --> 00:23:48.620]   an annual income
[00:23:48.620 --> 00:23:49.460]   of 30
[00:23:49.460 --> 00:23:49.920]   40
[00:23:49.920 --> 00:23:50.300]   50
[00:23:50.300 --> 00:23:50.980]   thousand dollars
[00:23:50.980 --> 00:23:51.440]   we're talking
[00:23:51.440 --> 00:23:52.140]   about a car
[00:23:52.140 --> 00:23:52.900]   of 3
[00:23:52.900 --> 00:23:53.280]   4
[00:23:53.280 --> 00:23:53.680]   5
[00:23:53.680 --> 00:23:54.520]   thousand dollars
[00:23:54.520 --> 00:23:56.440]   all day
[00:23:56.440 --> 00:23:57.240]   long
[00:23:57.240 --> 00:23:58.220]   I can go to
[00:23:58.220 --> 00:23:58.900]   any city
[00:23:58.900 --> 00:23:59.500]   in the country
[00:23:59.500 --> 00:24:00.640]   in the United States
[00:24:00.640 --> 00:24:01.220]   I don't know the
[00:24:01.220 --> 00:24:01.900]   context in other
[00:24:01.900 --> 00:24:02.320]   countries
[00:24:02.320 --> 00:24:03.340]   but any city
[00:24:03.340 --> 00:24:04.100]   in the United States
[00:24:04.100 --> 00:24:05.600]   and if I have
[00:24:05.600 --> 00:24:06.100]   a little bit
[00:24:06.100 --> 00:24:06.520]   of time
[00:24:06.520 --> 00:24:06.800]   I can go
[00:24:06.800 --> 00:24:06.800]   and if I have
[00:24:06.800 --> 00:24:06.800]   a little bit
[00:24:06.800 --> 00:24:06.800]   of time
[00:24:06.800 --> 00:24:06.800]   I can go to any city in the United States
[00:24:06.840 --> 00:24:36.820]   I can go to any city in the United States
[00:24:36.820 --> 00:24:36.820]   and I can go to any city in the United States
[00:24:36.820 --> 00:24:36.820]   and I can go to any city in the United States
[00:24:36.820 --> 00:24:36.820]   and I can go to any city in the United States
[00:24:36.820 --> 00:24:36.820]   and I can go to any city in the United States
[00:24:36.820 --> 00:24:36.820]   and I can go to any city in the United States
[00:24:36.820 --> 00:24:36.820]   and I can go to any city in the United States
[00:24:36.840 --> 00:25:06.840]   I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:06.840]   and I can go to any city in the United States
[00:25:06.840 --> 00:25:36.860]   and I can go to any city in the United States
[00:25:36.860 --> 00:25:36.860]   and I can go to any city in the United States
[00:25:36.860 --> 00:25:36.860]   and I can go to any city in the United States
[00:25:36.860 --> 00:25:36.860]   and I can go to any city in the United States
[00:25:36.860 --> 00:25:36.860]   and I can go to any city in the United States
[00:25:36.860 --> 00:25:36.860]   and I can go to any city in the United States
[00:25:36.860 --> 00:25:36.860]   and I can go to any city in the United States
[00:25:36.860 --> 00:25:36.860]   and I can go to any city in the United States
[00:25:36.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:06.880]   and I can go to any city in the United States
[00:26:06.880 --> 00:26:36.900]   and I can go to any city in the United States
[00:26:36.900 --> 00:26:36.900]   and I can go to any city in the United States
[00:26:36.900 --> 00:26:36.900]   and I can go to any city in the United States
[00:26:36.900 --> 00:26:36.900]   and I can go to any city in the United States
[00:26:36.900 --> 00:26:36.900]   and I can go to any city in the United States
[00:26:36.900 --> 00:26:36.900]   and I can go to any city in the United States
[00:26:36.900 --> 00:26:36.900]   and I can go to any city in the United States
[00:26:36.900 --> 00:26:36.900]   and I can go to any city in the United States
[00:26:36.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:06.920]   and I can go to any city in the United States
[00:27:06.920 --> 00:27:36.940]   and I can go to any city in the United States
[00:27:36.940 --> 00:27:36.940]   and I can go to any city in the United States
[00:27:36.940 --> 00:27:36.940]   and I can go to any city in the United States
[00:27:36.940 --> 00:27:36.940]   and I can go to any city in the United States
[00:27:36.940 --> 00:27:36.940]   and I can go to any city in the United States
[00:27:36.940 --> 00:27:36.940]   and I can go to any city in the United States
[00:27:36.940 --> 00:27:36.940]   and I can go to any city in the United States
[00:27:36.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
[00:28:06.960 --> 00:28:06.960]   and I can go to any city in the United States
