
[00:00:00.000 --> 00:00:18.640]   Okay, so PaperClub year in review. We've gone over a year, like a year and a half,
[00:02:46.300 --> 00:02:50.600]   different, right? So, like, one week, we might be talking about whisper, and you're interested, right? In one
[00:02:50.600 --> 00:02:55.520]   week, you can get the fundamentals of speech, speech-to-text, text-to-speech, all that stuff.
[00:02:55.520 --> 00:02:59.120]   Another day, it might be something like image generation. So, you know, we'll go over clip,
[00:02:59.120 --> 00:03:05.000]   stable diffusion, how does all this stuff work? Extend it out to video. Basically, we'll segment
[00:03:05.000 --> 00:03:10.080]   the core topics that we should need to know, and then we'll cover it every week. The exciting
[00:03:10.080 --> 00:03:17.720]   announcement here is we're also, for the first time, having SF section. So, we're gonna do in-person SF
[00:03:17.720 --> 00:03:26.720]   Clubs and a remote section. I am gonna mute someone real quick. So, we've got 40 a few. Someone needs to
[00:03:26.720 --> 00:03:32.660]   be muted. We've got crazy echo. Oh, crazy. I'll just mute myself. Easy. I'll mute my own laptop. Okay,
[00:03:32.660 --> 00:03:37.760]   continuing on. If someone needs to interrupt, just start in Zoom check, because I don't have my
[00:03:37.760 --> 00:03:43.940]   speakers going. But yeah, we'll have an in-person session in San Francisco every week, and of course,
[00:03:43.940 --> 00:03:48.380]   we'll keep the remote thing. So, we'll keep it going, and Original Paper Club will still be its own.
[00:03:48.380 --> 00:03:52.940]   Every week something comes out, we'll cover that, and we won't really deviate too much on the schedule
[00:03:52.940 --> 00:03:58.940]   for test of time. It's gonna be foundational papers, plus some blogs. So, what are the topics? You know,
[00:03:58.940 --> 00:04:04.760]   this is still up for us to all decide. So, just listing out some of the few ones here. You know,
[00:04:04.760 --> 00:04:10.700]   we have foundations of deep learning. Something like attention, optimization, ReLU, gradient descent,
[00:04:10.700 --> 00:04:16.100]   what is basic RL, how do these things work? So, you know, we'll have a section on foundations of deep
[00:04:16.100 --> 00:04:25.760]   learning. Another one, LLM foundations, right? So, pre-LLMs, we have like RNNs, LSTMs, bi-directional RNNs,
[00:04:25.760 --> 00:04:30.960]   all this stuff. Then we have like the very, very foundational models, right? So like BERT from Google,
[00:04:30.960 --> 00:04:37.760]   GPT-2, stuff like that. We'll have a day of everything kind of pre-LLM, and go over those. Then after that,
[00:04:37.760 --> 00:04:42.320]   we'll have, you know, the actual like generative LLMs. I'm sure that's missing here, but you know,
[00:04:42.320 --> 00:04:47.480]   like LAMA 3, Deep Seek, that the core LLMs that you would expect to hear about, we'll go over those.
[00:04:47.480 --> 00:04:53.000]   We'll have a day of pre-mid, post-training, right? So what are the scaling law papers? What is chinchilla?
[00:04:53.000 --> 00:04:58.640]   How does distillation work? What are the kind of key papers that you would want to know for training?
[00:04:58.640 --> 00:05:04.460]   And once again, this will be like a one to two sessions. So in one week, we'll go over three
[00:05:04.460 --> 00:05:09.620]   to four papers. We'll have someone present. So come prepared. We'll go over, you know, what are the
[00:05:09.620 --> 00:05:15.600]   fundamentals in scaling laws, distillation? What is chinchilla scaling? What is overtraining? What is LAMA
[00:05:15.600 --> 00:05:20.160]   scaling laws? What are small model scaling laws? So like, the PHY team really has, you know,
[00:05:20.160 --> 00:05:25.360]   for small language models, how should we do proper RL? What is post-training for small models versus big
[00:05:25.360 --> 00:05:29.720]   models? Well, we'll have someone cover all these, and that'll be a one to two-week section. Well,
[00:05:29.720 --> 00:05:35.220]   generative models, so you know, clips, or a segment, anything, diffusion, some of the key agent papers,
[00:05:35.220 --> 00:05:43.560]   fine-tuning, we'll go over LORA, QLORA, DPO, RL, GRPO, voice, we'll have whisper, optimization stage,
[00:05:43.560 --> 00:05:48.120]   so you know, speculative decoding, flash attention, we'll have eval tracks, Rexis,
[00:05:48.120 --> 00:05:52.840]   Eugene Yan, you know, he hosts our original paper club, he'll fill in good ones there, much, much more.
[00:05:52.840 --> 00:05:59.400]   So yeah, you know, these categories are still up for debate. So I have a form here later,
[00:05:59.400 --> 00:06:04.840]   fill it out on stuff that you would want to add, any papers that you recommend, any topics,
[00:06:04.840 --> 00:06:10.120]   it's very straightforward. You know, also join our discord, we have the paper club channel in discord. So
[00:06:10.120 --> 00:06:15.800]   join that, add in topics, anything, if you want to cover, you know, if you want to volunteer to be a
[00:06:15.800 --> 00:06:22.040]   speaker, over the next like week, I'll flesh out a rough schedule. And then from there, we'll kind of
[00:06:22.040 --> 00:06:26.600]   take it, you know, start covering it, make sure that every session we have speakers, we'll figure out
[00:06:26.600 --> 00:06:33.560]   logistics. So SF will have a venue, we have a few in mind, remote, it'll be the same Zoom thing. But yeah,
[00:06:33.560 --> 00:06:38.280]   we want to we want to fragment this out, get people get people interested, we'll obviously still bring
[00:06:38.280 --> 00:06:43.800]   in speakers, you know, so some of these key authors, we know them. So we'll invite them to speak on these
[00:06:43.800 --> 00:06:48.360]   papers, and it'll be good, we'll have discussion sessions, these these sessions might be a little
[00:06:48.360 --> 00:06:53.160]   bit more than an hour. Since we now have three to four papers, we still want to just go deep, right,
[00:06:53.160 --> 00:06:57.160]   we don't want to just like do a TLDR of the paper, we want to do what are the foundation, what are the
[00:06:57.160 --> 00:07:03.640]   fundamentals, and then go a little bit deeper. So stay in touch on Discord, very, very basic Google
[00:07:03.640 --> 00:07:09.160]   form. But yeah, now we'll have curriculum based stuff. You know, like Flo here might talk about
[00:07:09.160 --> 00:07:15.320]   music generation, Eugene will talk about states based stuff. So key, same members, but just yeah,
[00:07:15.320 --> 00:07:21.960]   second paper club. Now, the other part of this is, you know, if you kind of have an area of interest,
[00:07:21.960 --> 00:07:27.960]   this will be like your go to session of, you know, here are the five to 10 papers, here's a
[00:07:27.960 --> 00:07:32.680]   presentation on them, here's discussion, and it will stay live on YouTube, you know, it's just you can
[00:07:32.680 --> 00:07:38.520]   kind of set in at any time and be caught up to date, you'll you'll kind of go fundamentals to what you need
[00:07:38.520 --> 00:07:43.480]   to know for every session. And of course, we'll have the same lively discussion. Okay, test of time,
[00:07:43.480 --> 00:07:49.080]   paper club, very, very hype. But today is still paper club, we can't not do a paper. So you know,
[00:07:49.080 --> 00:07:53.560]   this is just mochi picture because everyone at the conference is having dogs in their slides. So
[00:07:53.560 --> 00:08:00.440]   I need them too. So we can't just have an old paper club back here, we need our OG. So today's paper is
[00:08:00.440 --> 00:08:07.080]   going to be Deep Seek. So Deep Seek was obviously a popular paper. I know a lot of people haven't
[00:08:07.080 --> 00:08:12.280]   had a chance to actually go through the paper. And frankly, I didn't have much time to prep. So you know,
[00:08:12.280 --> 00:08:17.400]   I get to reuse my slides, I'm smart like that. This is also being recorded for the broader AI
[00:08:17.400 --> 00:08:23.080]   engineer conference workshops and speakers. So it's another point, you know, this is why we do paper
[00:08:23.080 --> 00:08:29.160]   club, we get these discussions on papers out, and then you know, people can find them later, like our
[00:08:29.160 --> 00:08:34.440]   original Deep Seek paper reading, basically, like, you know, that was just last minute, let's highlight the
[00:08:34.440 --> 00:08:39.160]   paper, make some basic slides, have some discussion. But guess what, 300 people joined live, there's over a
[00:08:39.160 --> 00:08:45.240]   1000 views on a YouTube video of us just reading through a paper. So it's a pretty key paper. It's
[00:08:45.240 --> 00:08:50.120]   like one of the big open source papers models that kind of had a big transition. So let's just go over
[00:08:50.120 --> 00:08:58.680]   it again. And of course, there is new stuff. So as of this week, or last week, we have Deep Seek R1 0528.
[00:08:58.680 --> 00:09:05.880]   So basically, the May 28th update. Now, you know, there have been rumors that okay, Deep Seek v2 is coming
[00:09:05.880 --> 00:09:09.160]   out, it's coming out, and then people start launching stuff. Guess what, they didn't do it.
[00:09:09.160 --> 00:09:13.560]   They just did the same model, they called it a minor update. But it's actually not that small of an
[00:09:13.560 --> 00:09:19.320]   update. So let's let's dig into what it basically is. It's not v3, like revision two, it's the same
[00:09:19.320 --> 00:09:26.840]   naming scheme, but it's significantly better, actually. So, yep, Simon Wilson in his keynote mentioned
[00:09:27.640 --> 00:09:33.320]   how we don't have good naming for models. This is basically quite a step up, but they've kept the name.
[00:09:33.320 --> 00:09:41.080]   So also plugging Simon's talk, he gave a keynote for the past six months, what were the 30 models?
[00:09:41.080 --> 00:09:45.800]   He launched Pelican Bench. It's his own benchmark of how he judges how good foundation models are.
[00:09:45.800 --> 00:09:50.360]   He needs to check the new Deep Seek model. I don't think he did. But basically, here's what they did.
[00:09:50.360 --> 00:09:58.600]   They did better post training on Deep Seek v3. And now guess what, it got better. So some of this stuff,
[00:09:58.600 --> 00:10:02.920]   they put out very little information. But when you dig in, you see that one of the key things is it's
[00:10:02.920 --> 00:10:11.400]   much better at reasoning. So the AIME 2024 score went from 70% to 87.5%. That basically means, you know,
[00:10:11.400 --> 00:10:17.960]   this is a good reasoning benchmark. From before, now we have v3 matching the performance of O3 and
[00:10:17.960 --> 00:10:23.960]   2.5 level on math, coding and reasoning, which is quite a step up. You know, it used to be like,
[00:10:23.960 --> 00:10:30.520]   okay, we have O1 level intelligence and open source. Yeah, all we needed was a little bit more training.
[00:10:30.520 --> 00:10:35.560]   And now we have O3 and 2.5 level intelligence. And this isn't even like a new model from them.
[00:10:35.560 --> 00:10:40.360]   This is just like, let's do a little bit better post training. Let's do a little bit more,
[00:10:40.360 --> 00:10:45.880]   and we can get significant, significant performance increases. Pretty wild, right?
[00:10:45.880 --> 00:10:52.120]   Like 18% improvement on benchmarks. And no one's really talking about this. Deep Seek got a lot
[00:10:52.120 --> 00:10:59.880]   better. One of the quotes that they say is originally the original Deep Seek v3, it would take 12,000 tokens
[00:10:59.880 --> 00:11:06.040]   to reason through on average on the benchmark. For an AIME, it would take 12,000 tokens of reasoning.
[00:11:06.040 --> 00:11:13.000]   They basically did more RL. Now it reasons more. On average, it reasons for 25,000 tokens. So they got
[00:11:13.000 --> 00:11:18.040]   the model to do double the reasoning. One thing that we talk a lot about is scaling laws, right?
[00:11:18.840 --> 00:11:26.200]   So before we would do optimal scaling for base models. Now in Llama, we kind of did overfit our training for
[00:11:26.200 --> 00:11:32.360]   inference time, right? Let's really over train so we can do fast basic inference. And then now in this world
[00:11:32.360 --> 00:11:39.320]   of test time compute, where we do more inference time compute, we can also scale even more in that
[00:11:39.320 --> 00:11:47.160]   dimension. So original Deep Seek, on average, with reason for 12,000 tokens, the new model can double that. So in this
[00:11:47.160 --> 00:11:51.480]   domain, we've doubled the amount of reasoning it could do. And we have a lot of benchmarks to increase.
[00:11:51.480 --> 00:11:58.120]   You know, 18% on AIME and it's a lot better at coding. So in this, they intentionally wanted to
[00:11:58.120 --> 00:12:03.400]   do better JSON output, function calling, and more reasoning. And yeah, they just dropped it like that.
[00:12:03.400 --> 00:12:09.720]   Here's kind of our benchmark chart. On most paper clubs, we don't do benchmarks. But yeah, it's
[00:12:09.720 --> 00:12:17.160]   actually kind of up there with O3 and Gemini 2.5. So, you know, the darkest color is our new revision
[00:12:17.160 --> 00:12:24.040]   of Deep Seek R1. And yeah, it's actually very good. On most benchmarks, it's like significantly better than
[00:12:24.040 --> 00:12:30.440]   the original Deep Seek R1. And you can see this, you know, humanity's last exam, it basically went from
[00:12:30.440 --> 00:12:35.000]   not being able to do anything to, okay, now this thing can do well. What they did is now it can basically
[00:12:35.000 --> 00:12:41.880]   reason for twice as long. Okay, that's not the only drop. They also launched another distillation.
[00:12:41.880 --> 00:12:46.600]   This is kind of the interesting one. Now, not many people really talked about this at all on Twitter.
[00:12:46.600 --> 00:12:53.640]   But if we remember in the original Deep Seek paper, what they did was outside of their original Deep Seek
[00:12:53.640 --> 00:13:00.280]   model, they did three distillation models. They distilled the Quen series and the Llama series. And they showed how
[00:13:00.280 --> 00:13:05.560]   distilling from the big model, distilling on these reasoning traces, we can get really, really good
[00:13:05.560 --> 00:13:11.400]   performance on small models. Well, they did it again. They took Quen 3-8B, and they did another
[00:13:11.400 --> 00:13:17.000]   distillation with their new reasoning model. And they show that, you know, the new model, this new basic
[00:13:17.000 --> 00:13:24.040]   distillation basically like kills the old one. So basically, when you look at their old distill versus
[00:13:24.040 --> 00:13:29.320]   their new distillation, they get another 10% performance boost by just doing distillation
[00:13:29.320 --> 00:13:35.800]   from a better reasoning model. So in a few months time, they were able to get Deep Seek to do more
[00:13:35.800 --> 00:13:42.920]   chain of thought, more reasoning, use that to distill down to an 8B. And now we have an even better 8B.
[00:13:42.920 --> 00:13:48.280]   So very, very interesting little note, right? Not just do we get 10% improvement from the last base model,
[00:13:48.280 --> 00:13:57.800]   their 8B distillation is actually matching performance of Quen 3's 235 billion 20B active
[00:13:57.800 --> 00:14:02.200]   thinking model. Horrible naming, I know, but let's take a second to think about that, right?
[00:14:02.840 --> 00:14:12.680]   A Quen 3 8B dense model. So a small 8B model is matching the performance of the Quen 3 235B thinking
[00:14:12.680 --> 00:14:19.640]   model. And this is not a native thinking model, right? This is a base distillation model of an 8 billion
[00:14:19.640 --> 00:14:25.640]   parameter model. Just on distillation, so logic matching distillation from a big model, we're matching
[00:14:25.640 --> 00:14:32.760]   performance of their 235 billion MOE thinking model. That's pretty wild. They didn't do this to the 32B,
[00:14:32.760 --> 00:14:40.120]   the 70B, but yeah, it's pretty crazy, right? Untalked about release that the new 8B does very, very well.
[00:14:40.120 --> 00:14:46.920]   How do we see this? We can see the chain of thought improvements distilled down really, really hard.
[00:14:46.920 --> 00:14:53.480]   This was one of the key findings in the original paper that a better recipe for training small models
[00:14:53.480 --> 00:14:58.360]   is to distill down from big models, and reasoning models make this even more efficient. And then this
[00:14:58.360 --> 00:15:02.120]   is just kind of their follow-up, right? We don't have a paper, we don't have too much on this, but these are
[00:15:02.120 --> 00:15:07.960]   benchmarks that show it. And of course, model is open source, open weight, everything. So those are kind
[00:15:07.960 --> 00:15:19.400]   of the overviews. Let's see, let's see. Now let's go over the actual, the original DeepSeq paper. So
[00:15:19.400 --> 00:15:26.120]   that's kind of ending where we had the new releases. So we have two models to recap. We have a new DeepSeq version.
[00:15:26.120 --> 00:15:36.760]   So for May 28th, we have a new DeepSeq. It's now on par with OpenAI's O3 and Gemini 2.5.
[00:15:36.760 --> 00:15:43.080]   It's significantly better, and it reasons for twice as long. We also took that model, we distilled it
[00:15:43.080 --> 00:15:49.800]   down to Quen3 8B, and we have a much, much better small 8B reasoning model. This shows that, you know,
[00:15:50.520 --> 00:15:55.320]   reasoning models distill down very, very efficiently, and there's still a lot of juice to be squeezed out
[00:15:55.320 --> 00:16:00.920]   there. Now, from here, for those that haven't seen it, we're going to take a two second pause, see if
[00:16:00.920 --> 00:16:06.840]   there's any interesting questions. There's a hugging face link. If these benchmarks are public, won't
[00:16:06.840 --> 00:16:12.360]   models be trained to score better on these benchmarks? Yeah, benchmarks obviously have their cons, their flaws,
[00:16:12.360 --> 00:16:17.400]   but you know, there's ways to see what models are overfit on them. How do they do in general performance?
[00:16:17.400 --> 00:16:23.080]   In general, the DeepSeq models are actually doing very, very well. So from there, let's go into the
[00:16:23.080 --> 00:16:29.960]   original DeepSeq model. So okay, DeepSeq v3, hypest paper of the year, 300 people joined us live.
[00:16:29.960 --> 00:16:35.720]   Let's do a quick recap. This is basically me using my old slides because I can, but let's talk about
[00:16:35.720 --> 00:16:40.760]   what happened in DeepSeq. So we're going to kick off with a high level model overview. So what are the
[00:16:40.760 --> 00:16:45.480]   models they release? When they release this, it's not just DeepSeq v3, right? They also have R1.
[00:16:46.360 --> 00:16:51.960]   What is inference time training? What is test time compute? What makes reasoning models different?
[00:16:51.960 --> 00:16:58.440]   So if you guys don't remember, this was the first test time scaling open, you know, open model, right?
[00:16:58.440 --> 00:17:04.600]   This was the first one that got good. OpenAI released 01. Cloud released Cloud thinking much later.
[00:17:04.600 --> 00:17:09.160]   Gemini thinking came much later. We didn't really understand what was happening. We thought there was
[00:17:09.160 --> 00:17:15.080]   like MCTS. There was a lot of, you know, Monte Carlo tree search. What's going on? There was internal,
[00:17:15.080 --> 00:17:20.040]   let's generate chain of thought. Let's train it to do chain of thought. But it turns out DeepSeq comes
[00:17:20.040 --> 00:17:26.680]   out with this paper. They do a great model and they're like, yo, RL, RL works. So two models were released.
[00:17:26.680 --> 00:17:35.160]   DeepSeq R1.0. Basically, they take a base model. They do a lot of GRPO RL. They have training templates, reward models.
[00:17:35.160 --> 00:17:43.720]   They have this emergence capability, reflection, aha moments. Then they do R1, which is basically a four
[00:17:43.720 --> 00:17:49.880]   stage pipeline. They have cold start, reasoning RL stage, rejection sampling and SFT. And then, you know,
[00:17:49.880 --> 00:17:54.840]   of course, the little RL round two to get it to really, really reason. From there,
[00:17:54.840 --> 00:18:01.320]   we'll talk about performance and evals of how does original R1 do. How is DeepSeq? Then the original
[00:18:01.320 --> 00:18:06.440]   distillation models, future work, reproductions and whatnot. We'll kind of skip over the base
[00:18:06.440 --> 00:18:14.120]   DeepSeq evals and performance because, you know, we already covered the new one. But okay, continuing on. So,
[00:18:14.120 --> 00:18:20.360]   high level overview. For those that understand, that don't really follow, you know, we keep hearing this term
[00:18:20.360 --> 00:18:25.400]   of test time scaling. What is test time scaling? What are thinking models and what does this mean?
[00:18:25.400 --> 00:18:32.520]   So basically, we got to a point where we started to overtrain our models. We basically hit a scaling
[00:18:32.520 --> 00:18:38.360]   limit on how much we can train models. Originally, back in the day, we used to do sort of these chinchilla
[00:18:38.360 --> 00:18:44.840]   scaling laws, right? We had a fixed compute budget, we had a fixed amount of data set, we would design
[00:18:44.840 --> 00:18:50.440]   a model around that. So how many parameters should it be based on how much data we have? Let's fit a
[00:18:50.440 --> 00:18:56.440]   model to our data, let's fit how many GPUs we have, and then let's train it to be kind of chinchilla
[00:18:56.440 --> 00:19:02.680]   optimal. From there, we kind of realized that, okay, this isn't really what we want. And we started
[00:19:02.680 --> 00:19:08.920]   really, really scaling up our training. So we had stuff like, you know, Mistral, Lama 1, Lama 2, Lama 3,
[00:19:08.920 --> 00:19:14.040]   we started training these models from billions of tokens, to trillions of tokens. So you know,
[00:19:14.040 --> 00:19:20.280]   we had originally like a 1B, 1 trillion token, then Lama 3 was 15 trillion tokens. Now they're up to like
[00:19:20.280 --> 00:19:28.520]   45 trillion tokens. So what we shifted was, instead of training for, you know, model chinchilla optimal,
[00:19:28.520 --> 00:19:34.920]   let's start training for this sort of inference optimal training regime. So instead of, you know,
[00:19:34.920 --> 00:19:39.800]   thinking about what we have now, let's think about inference time. As we scale this, we want
[00:19:39.800 --> 00:19:45.560]   a model to be as densely packed as smart as possible. So Lama is like, okay, basically, if we continue
[00:19:45.560 --> 00:19:51.160]   training, we don't really see degradation. But the problem in this is, it gets very, very expensive, right?
[00:19:51.160 --> 00:19:57.080]   As you train more and more, yeah, it's very, very heavily compute extensive. And you know, how many times
[00:19:57.080 --> 00:20:02.600]   can you scale this up? Like how much data do we have? How much can we really fit in? If we're at 45
[00:20:02.600 --> 00:20:08.680]   trillion parameters for like a 70b, can we scale that up 10x again? You know, are we going to do 450
[00:20:08.680 --> 00:20:14.360]   trillion parameters? What if we want to 10x it again? We're basically hitting the compute scale for
[00:20:14.360 --> 00:20:19.720]   training, right? We can't continually just keep scaling up our train runs because it's no longer
[00:20:19.720 --> 00:20:24.120]   like cost efficient, right? We're spending millions and millions and hundreds of millions of dollars on
[00:20:24.120 --> 00:20:29.240]   these train runs. You can only scale so much. So a lot of hypothesis was, you know,
[00:20:29.240 --> 00:20:35.480]   there's going to be a sort of plateau and open models will start to catch up because, you know,
[00:20:35.480 --> 00:20:40.680]   we're already all scaling so much. But that's where, you know, we need to unlock another dimension,
[00:20:40.680 --> 00:20:46.520]   which in this case was reasoning or test time training. So this is where we basically started to do
[00:20:47.640 --> 00:20:53.560]   reasoning capabilities without any supervised data, right? There were approaches to try to do, you know,
[00:20:53.560 --> 00:20:59.000]   let's generate a bunch of chain of thought reasoning style data. Let's do post training on it. And yeah,
[00:20:59.000 --> 00:21:05.960]   our models do a little better, but this didn't scale. What we needed was we wanted to do pure RL. Can we do
[00:21:05.960 --> 00:21:13.800]   pure RL to do reasoning data? So this is a quote from the paper. Basically, the DeepSeq team says,
[00:21:13.800 --> 00:21:21.000]   "Our goal is to explore the potential of LLMs to develop reasoning capabilities without any supervised data,
[00:21:21.000 --> 00:21:27.000]   focusing on their self evolution through a pure RL process." So what they're going to do is they're going
[00:21:27.000 --> 00:21:34.360]   to post train the DeepSeq V3 base with GRPO, which is, you know, basically pure RL. And then as they do
[00:21:34.360 --> 00:21:41.160]   this, they start to notice emergence of great reasoning, reflection, aha moment, and they start to match O1.
[00:21:41.160 --> 00:21:47.880]   Now, fast forward a few months, as we can see today, they can basically continue this. They do a little
[00:21:47.880 --> 00:21:55.960]   bit more RL. They do RL on longer traces. They can now get the model to not match O1, but match O3 and
[00:21:55.960 --> 00:22:01.560]   double its amount of reasoning tokens. Okay, here's kind of the four step approach to how they train
[00:22:01.560 --> 00:22:07.640]   this R1 model. They start with this sort of cold start where, you know, they jump start with some SFT,
[00:22:07.640 --> 00:22:12.840]   then they do RL for reasoning, then they have this key step of rejection sampling for generation purposes.
[00:22:12.840 --> 00:22:17.160]   You know, rejection sampling is something we'll talk about later. Then once again, they do the fourth stage
[00:22:17.160 --> 00:22:25.560]   of basic RL polishing. Okay, that's a very high level overview of what DeepSeq did to make RL.
[00:22:25.560 --> 00:22:32.760]   So to recap, you know, we needed to shift from next token predictors to scaling in another axis. To do
[00:22:32.760 --> 00:22:39.160]   this, we needed to scale on instead of spending the same compute for every token generated, we want to
[00:22:39.160 --> 00:22:45.640]   dynamically generate, we want dynamically spend more compute on different queries. So we train the models
[00:22:45.640 --> 00:22:52.520]   now with pure RL to reason through their questions. So instead, you know, they're now trained to do RL with
[00:22:52.520 --> 00:22:59.960]   verifiable outputs on a lot of code and math data that can be verified to be, you know, whether it compiles,
[00:22:59.960 --> 00:23:06.600]   whether it's factually correct, whether the math is logically correct, and then now we can basically do
[00:23:06.600 --> 00:23:13.720]   native RL. Doing this, we notice emergence, reflection, aha moments, and now we basically have another domain
[00:23:13.720 --> 00:23:20.120]   in which to scale models. Instead of scaling up a 10x order of magnitude of, you know, instead of 45 trillion
[00:23:20.120 --> 00:23:25.960]   tokens, let's train on 450 trillion tokens, and then, you know, scale that up and up. We're kind of at the
[00:23:25.960 --> 00:23:32.040]   limit there. We start with a really good base model that's a good general next token predictor. We do RL, and now we can
[00:23:32.040 --> 00:23:41.720]   scale in the reasoning domain. So a few months ago, they showed that, you know, they can get O1 level performance, and then fast forward to now, we have O3 level performance with just more RL.
[00:23:41.720 --> 00:23:53.720]   Tangentially, this was kind of the paper to kick it all off, right? Deep Seek showed that two things. One, you can do RL from base models, and we can get reasoning.
[00:23:53.720 --> 00:24:09.720]   Two, distillation really works, and it's a much better approach to small models. Following this, we've now had a lot more papers. So shout out to like the 5-4 models, right? 5-4 showed how effective RL can be. They took 5-4 mini, and they made it a reasoning
[00:24:09.720 --> 00:24:21.720]   variant. Basically, they took about 6,000 samples, and in 6,000 samples of RL, they could take a small base model, a small base next token predictor, and do really, really good reasoning inference on it.
[00:24:21.720 --> 00:24:29.720]   So this was the one to kick it off. And now we have, you know, the Quen models have done this. So there's Quen thinking models, or Deep Seek thinking models.
[00:24:29.720 --> 00:24:39.720]   And then there's formulas like the 5 models that show how to do this in small models. Okay, let's continue on from my high level overview.
[00:24:39.720 --> 00:24:49.720]   So what did they release? They released two models early on. There's R1-0, which is a great reasoning model, only trained on unraveled chain of thought with RL.
[00:24:49.720 --> 00:25:03.720]   But it's not a great general model. R1-0 is when you only do RL on chain of thought, you know, it doesn't really emerge to general performance. So R1 is trained as the second model.
[00:25:03.720 --> 00:25:16.720]   It uses outputs of R1-0 using this four stages of training. And then, you know, now we start to do RL back on human tasks, back on chat, and we have a good, good RL, we have a good, good reasoning model.
[00:25:16.720 --> 00:25:26.720]   Second thing they release is their distillations, right? So they take these thinking traces, and they take models in the same family, and then they distill them down.
[00:25:26.720 --> 00:25:35.720]   So these are not natively trained with RL, they're distillations from their base models in Quen and Lama families, and then they show how this works really well.
[00:25:35.720 --> 00:25:48.720]   Okay, now, of course, you know, it's 2025, we don't get real papers anymore. So they don't talk about data, how many tokens, where the data comes from. But you know, they still do share a lot about how this stuff works.
[00:25:48.720 --> 00:26:01.720]   Models, of course, fully open source, MIT license, no training data, no code, they have a Deep Seek API, which at the time, you know, it was much faster than anyone, it was much cheaper than anyone, turns out this was fake news.
[00:26:01.720 --> 00:26:19.720]   This API is very unreliable, it's barely ever up. But you know, now, a few months later, after this has come out, we can see stuff like from open router, you know, Deep Seek actually takes a significant chunk of the pie, they take about 10% of API usage that goes through them.
[00:26:19.720 --> 00:26:30.720]   So this model actually sparked a lot of adoption, it reopened up the race of, you know, okay, we're not done scaling models are still getting a lot better. And yeah, you know, once again, it's been like,
