
[00:00:00.000 --> 00:00:05.320]   By my count there were around 12 underrated developments in AI over the last few days but
[00:07:11.780 --> 00:07:15.780]   It was fast, but skipped plenty of the companies.
[00:07:15.780 --> 00:07:22.780]   The results were generally accurate, but as you can see here, it said unknown founders for a bunch of these.
[00:07:22.780 --> 00:07:27.780]   Whereas I found it relatively easy to find the founders for quite a few of these companies.
[00:07:27.780 --> 00:07:33.780]   Manus AI and OpenAI's DeepResearch took roughly around the same amount of time, about 15 minutes.
[00:07:33.780 --> 00:07:37.780]   But the performance of Manus AI was noticeably worse.
[00:07:37.780 --> 00:07:43.780]   What I mean by that is if you scroll down, there were two companies where it gave up trying to find the founder.
[00:07:43.780 --> 00:07:45.780]   That's Curated AI and Sezion.
[00:07:45.780 --> 00:07:51.780]   DeepResearch finds the founders of those companies and I double checked and they seem to be fairly reliable to me.
[00:07:51.780 --> 00:07:56.780]   For Sezion, they're reported on the website given as well as Crunchbase.
[00:07:56.780 --> 00:07:59.780]   And for Curated AI in a fairly popular magazine.
[00:07:59.780 --> 00:08:02.780]   I'm not the only one, of course, to report accuracy issues.
[00:08:02.780 --> 00:08:10.780]   There are plenty of reports online like this one, where Manus AI was asked about the gaming console market and ignored Nintendo Switch.
[00:08:10.780 --> 00:08:18.780]   It would be far easier for me to just hyperventilate about all the things it can create and the research it can do if I don't check the accuracy.
[00:08:18.780 --> 00:08:20.780]   Let me try to give you another example.
[00:08:20.780 --> 00:08:23.780]   And trust me, I want to be as fair as possible to Manus.
[00:08:23.780 --> 00:08:29.780]   This time, I gave all four of those agent tools that I mentioned a kind of meta task to research about each other.
[00:08:29.780 --> 00:08:42.780]   Create a table comparing deep research from OpenAI, Manus AI, deep research from Google, deep search from Grok3 with rows for at least 10 features, price, speed and 20 clickable sources.
[00:08:42.780 --> 00:08:47.780]   On this one, arguably, Manus did as well as deep research.
[00:08:47.780 --> 00:08:57.780]   It took far, far longer, around 20 minutes, but I don't know if that's because of the rate limits that are going on at the moment because so many people are using it or if that's just an inbuilt limitation.
[00:08:57.780 --> 00:09:00.780]   This is what Manus came up with.
[00:09:00.780 --> 00:09:05.780]   And if you can't see Grok3, that's because the UI of Manus is a lot more jank compared to the others.
[00:09:05.780 --> 00:09:09.780]   The output is solid, if not entirely reliable.
[00:09:09.780 --> 00:09:10.780]   Let me give you two examples.
[00:09:10.780 --> 00:09:16.780]   First, on the cost per query, it said it cannot be calculated for itself, Manus AI.
[00:09:16.780 --> 00:09:25.780]   Now, while it's true that pricing is not public, as I showed you earlier in this video, there are some public estimates about the price, $2 per query.
[00:09:25.780 --> 00:09:28.780]   Okay, you might say that one's debatable, but how about this one?
[00:09:28.780 --> 00:09:31.780]   Towards the end, it said, what about performance metrics for Manus?
[00:09:31.780 --> 00:09:33.780]   No published benchmark results.
[00:09:33.780 --> 00:09:36.780]   Its own website gives the Gaia benchmark.
[00:09:36.780 --> 00:09:41.780]   On the column right next to it, it quotes the Gaia benchmark for OpenAI's deep research.
[00:09:41.780 --> 00:09:48.780]   So if it can't be fully relied upon to quote its own benchmark results, then it does make you wonder.
[00:09:48.780 --> 00:09:54.780]   Did it fully deserve the absolute cacophony of hype that it got in recent days?
[00:09:54.780 --> 00:09:56.780]   Let's be fair though.
[00:09:56.780 --> 00:10:02.780]   It did give me 20 clickable sources for me to conduct further investigation, which is what I asked for.
[00:10:02.780 --> 00:10:06.780]   Deep research from OpenAI only gave me 15 sources.
[00:10:06.780 --> 00:10:09.780]   And worse than that, it didn't give me a table.
[00:10:09.780 --> 00:10:12.780]   It gave me bullet points and that was pretty disappointing.
[00:10:12.780 --> 00:10:17.780]   It too didn't cite Gaia, although it did link to an article which mentioned Gaia.
[00:10:17.780 --> 00:10:20.780]   So that's kind of slightly better for deep research.
[00:10:20.780 --> 00:10:27.780]   Grok3 did a commendable job, but you could tell it was drawing on less compute because the table at the end felt a bit rushed.
[00:10:27.780 --> 00:10:36.780]   Its own research had confirmed that deep research was available for 10 queries per month to the plus tier, but this wasn't covered in the table.
[00:10:36.780 --> 00:10:42.780]   Again, its research had highlighted certain benchmark scores, but these weren't mentioned in the table.
[00:10:42.780 --> 00:10:44.780]   Gemini's deep research did a decent job.
[00:10:44.780 --> 00:10:48.780]   It was very quick, but the table was fairly scant on detail.
[00:10:48.780 --> 00:10:56.780]   This is definitely not to say that Google DeepMind aren't cooking though, and there are plenty of developments from that company that I want to cover very soon on the channel.
[00:10:56.780 --> 00:11:09.780]   Now, like Operator, Manus can do things like actually book things for you, but according to all reports and my own experience, I would really caution against necessarily trusting it that much to do so.
[00:11:09.780 --> 00:11:17.780]   Manus AI for me is very much then fitting into the pattern that I've seen for four trends that have emerged in 2025.
[00:11:17.780 --> 00:11:23.780]   I did a video on this five days ago for my Patreon and the trends are that models are getting pricier.
[00:11:23.780 --> 00:11:25.780]   They are very patchy in performance.
[00:11:25.780 --> 00:11:29.780]   They have epic moments, but can be internally deceptive.
[00:11:29.780 --> 00:11:33.780]   I will have much more to say about reward hacking on this channel very soon.
[00:11:33.780 --> 00:11:38.780]   Here then for me is the lesson of this video, which is this kind of marketing actually works.
[00:11:38.780 --> 00:11:42.780]   Two million people have signed up to the waitlist and there is something there, right?
[00:11:42.780 --> 00:11:49.780]   As you've seen in this video, Manus AI is a great compilation of different tools and models and often gets the job done.
[00:11:49.780 --> 00:12:00.780]   But because this "sophisticated press push" reported in an interview with Xiao Hong, the founder of Manus AI, was so successful, expect more of it.
[00:12:00.780 --> 00:12:06.780]   Expect an endless list of new companies pushing these YouTube campaigns and tweet storms.
[00:12:06.780 --> 00:12:07.780]   Hype works.
[00:12:07.780 --> 00:12:09.780]   There's just no other way around it.
[00:12:09.780 --> 00:12:15.780]   But if Manus AI comes out at being, say, $200 a month, I personally would give it a miss.
[00:12:15.780 --> 00:12:17.780]   Thank you so much for watching.
[00:12:17.780 --> 00:12:25.780]   But if you have any interest in jailbreaking, what I wouldn't give a miss is the Gray Swan challenges recently announced on their website.
[00:12:25.780 --> 00:12:28.780]   The links will be in the description and they are sponsoring this video.
[00:12:28.780 --> 00:12:32.780]   And in particular, look at this competition started just five days ago.
[00:12:32.780 --> 00:12:38.780]   You can see the leaderboard here and know you don't have to be a professional hacker to get involved.
[00:12:38.780 --> 00:12:41.780]   The prize pool is over $130,000.
[00:12:41.780 --> 00:12:46.780]   From my perspective, you're helping the models become more reliable by red teaming them in public.
[00:12:46.780 --> 00:12:48.780]   So it's kind of like a public service.
[00:12:48.780 --> 00:12:49.780]   You know what?
[00:12:49.780 --> 00:12:50.780]   I'm kind of almost tempted myself.
[00:12:50.780 --> 00:12:54.780]   So it's probably time to draw this video to an end.
[00:12:54.780 --> 00:12:57.780]   Thank you so much for watching to the end and have a wonderful day.

