
[00:00:00.000 --> 00:00:05.240]   I'd like to talk a little bit about body recomposition.
[00:03:38.320 --> 00:03:40.160]   So now we've upped the protein intake.
[00:03:40.160 --> 00:03:40.520]   Yes.
[00:03:40.520 --> 00:03:46.520]   Could we even say that the caloric, this 10% above maintenance, should come from quality protein?
[00:03:46.520 --> 00:03:47.100]   Exactly.
[00:03:47.100 --> 00:03:48.060]   Yes, yes.
[00:03:48.060 --> 00:03:55.400]   And there's a series of studies done by Joey Antonio and colleagues where they fed the subjects
[00:03:55.400 --> 00:04:02.700]   four to 800 calories above and beyond their habitual intakes just in protein.
[00:04:02.700 --> 00:04:10.320]   And either recomposition happened or no significant change in body composition happened.
[00:04:10.320 --> 00:04:11.060]   Were they training?
[00:04:11.060 --> 00:04:12.020]   They were training.
[00:04:12.020 --> 00:04:13.000]   They were resistance training.
[00:04:13.000 --> 00:04:27.240]   And so what protein apparently does when you consume very high amounts of it up to, you know, a gram, a gram and a half per pound of body weight is it just sort of spontaneously does some magical things.
[00:04:27.340 --> 00:04:29.740]   It'll drive down your intake of the other macros.
[00:04:29.740 --> 00:04:40.400]   It will potentially increase your exercise energy expenditure and or your non-exercise energy expenditure.
[00:04:40.400 --> 00:04:42.860]   It will do odd things.
[00:04:42.860 --> 00:04:52.720]   Like I talked to Joey Antonio when he got some feedback from the subjects on his very high protein study where he subjected them to two grams per pound for an eight-week period.
[00:04:53.180 --> 00:04:57.140]   And he had subjects coming to him saying, hey, I'm like sweating while I'm sleeping.
[00:04:57.140 --> 00:05:12.300]   When you say two grams of protein per pound of body weight, are we talking about increasing total caloric intake or just using more of one's daily caloric needs, devoting more of that to quality protein?
[00:05:12.300 --> 00:05:15.340]   See, that's the super interesting and kind of mysterious part.
[00:05:15.480 --> 00:05:23.860]   They're literally saying, okay, maintain your usual dietary habits and then just add 50 to 100 grams of protein on top.
[00:05:23.860 --> 00:05:29.000]   So you're eating an extra chicken breast and a couple of scoops of whey protein or maybe some eggs as well.
[00:05:29.000 --> 00:05:31.540]   And you're just adding more quality protein.
[00:05:31.540 --> 00:05:32.640]   Adding more quality protein.
[00:05:32.640 --> 00:05:33.580]   On top of what you're already eating.
[00:05:33.580 --> 00:05:34.060]   On top of what you're already eating.
[00:05:34.060 --> 00:05:37.060]   And we already learned that we can distribute that pretty much wherever we want.
[00:05:37.060 --> 00:05:41.340]   Just do what's most comfortable for you relative to your training and other needs.
[00:05:41.340 --> 00:05:41.760]   Yeah.
[00:05:41.760 --> 00:05:43.840]   And you're saying then, but they're sweating in their sleep.
[00:05:44.160 --> 00:05:48.180]   They're sweating in their sleep, that extra 80 to 100 grams of protein, just add it.
[00:05:48.180 --> 00:05:52.800]   And it's a, look, it's a, it's a free living study.
[00:05:52.800 --> 00:05:56.440]   So we're not surveilling people in a metabolic ward.
[00:05:56.440 --> 00:06:07.220]   So the increase in protein could have translated to greater energy expenditure through a, you know, a number of pathways, non-exercise pathways or exercise pathways.
[00:06:07.220 --> 00:06:09.200]   It could have put more power to the ground during their training.
[00:06:11.080 --> 00:06:15.740]   There could have been some, you know, sort of some magic thermic stuff going on.
[00:06:15.740 --> 00:06:16.120]   Who knows?
[00:06:16.840 --> 00:06:26.920]   But, and also we can't discount the fact that, look, when you're telling people to add, let's say 80 or 100 grams of protein to their habitual intake.
[00:06:28.200 --> 00:06:38.080]   The weird thing about subjects self-reporting is they tend to over-report the healthy stuff that, that you assign them and under-report the unhealthy stuff.
[00:06:38.080 --> 00:06:39.420]   The good pupil phenomenon.
[00:06:39.420 --> 00:06:40.640]   Yeah, yeah, exactly.
[00:06:40.640 --> 00:06:41.120]   Exactly.
[00:06:41.280 --> 00:06:44.220]   And so there could be some misreporting going on there.
[00:06:44.220 --> 00:06:49.200]   But over a series of like five-ish studies now, just stack the protein on top.
[00:06:49.200 --> 00:06:50.160]   Nobody gains fat.
[00:06:50.160 --> 00:06:51.220]   And some people lose fat.
[00:06:51.220 --> 00:06:52.500]   Awesome.
[00:06:52.500 --> 00:06:54.680]   It's, yeah, it's, it is pretty freaking awesome.
[00:06:54.680 --> 00:06:58.280]   Now, here's the, the, the thing that needs to be said.
[00:06:58.440 --> 00:07:09.120]   Okay, so there was a metabolic ward study done in 2013-ish by Bray and colleagues where they subjected the participants to escalating amounts of protein.
[00:07:11.200 --> 00:07:14.880]   And it was a protein overfeeding study.
[00:07:14.880 --> 00:07:17.520]   There, there were three levels of protein intakes.
[00:07:17.520 --> 00:07:23.860]   There was 5% protein diet, a 15% protein diet, and a 30-ish percent protein diet.
[00:07:23.860 --> 00:07:28.100]   The calories, the total calories escalated too.
[00:07:28.100 --> 00:07:31.920]   There was no exercise involved with this metabolic ward study.
[00:07:31.920 --> 00:07:39.120]   And the subjects gained both lean mass and fat mass with the escalating protein amounts.
[00:07:39.120 --> 00:07:48.260]   So there's different stuff going on when you lock people up in a metabolic ward and they can't train, and then you're escalating their protein intakes and calories.
[00:07:48.260 --> 00:07:49.840]   They will gain fat and lean mass.
[00:07:49.840 --> 00:08:00.680]   But in free living conditions with resistance training, if you just over protein the subjects, they actually have a tendency to lose fat.
[00:08:00.680 --> 00:08:05.780]   And it is, it's a really interesting phenomenon because it's been seen repeatedly.
[00:08:05.780 --> 00:08:06.900]   With men and women?
[00:08:06.900 --> 00:08:08.100]   With men and women, yes.
[00:08:08.100 --> 00:08:13.500]   The message I'm getting is, if you're going to add calories, add quality protein.
[00:08:13.500 --> 00:08:14.380]   Yeah.
[00:08:14.380 --> 00:08:15.960]   Make sure you're resistance training.
[00:08:15.960 --> 00:08:18.140]   Here I'm building on the previous things we talked about.
[00:08:18.140 --> 00:08:24.960]   The distribution of the protein probably doesn't matter as much as just getting the total protein correct.
[00:08:24.960 --> 00:08:25.540]   Yeah.
[00:08:25.620 --> 00:08:34.700]   And I find it very reassuring that I can train fasted or not fasted, mostly because very few of us have total control of our schedule.
[00:08:34.700 --> 00:08:38.680]   So sometimes we need to train first thing in the morning and we got to catch a flight or head to work.
[00:08:38.680 --> 00:08:42.120]   And sometimes people only have time in the evening and this kind of thing.
[00:08:42.120 --> 00:08:49.580]   And sometimes people have time in the morning and we're going to be able to train fasted or not fasted.

