
[00:00:00.000 --> 00:00:03.160]   (soft music)
[00:01:59.360 --> 00:02:02.160]   There's Fastbook, which is great.
[00:02:02.160 --> 00:02:03.400]   There's a reading group going on
[00:02:03.400 --> 00:02:06.000]   that Aman's doing from Weights and Biases.
[00:02:06.000 --> 00:02:07.600]   It's worth checking out.
[00:02:07.600 --> 00:02:10.520]   And in terms of the Hugging Face libraries,
[00:02:10.520 --> 00:02:11.880]   they integrate with Fast AI.
[00:02:11.880 --> 00:02:13.640]   I have those listed here.
[00:02:13.640 --> 00:02:14.960]   And then of course, we've got to mention
[00:02:14.960 --> 00:02:17.880]   the Chai Time Data Science Podcast.
[00:02:17.880 --> 00:02:19.120]   The only thing that could be better about it
[00:02:19.120 --> 00:02:21.760]   is if it was renamed to the Dark Coffee Roast
[00:02:21.760 --> 00:02:23.120]   Time Data Science Podcast,
[00:02:23.120 --> 00:02:27.560]   but I'll let Sonia think about that over the next week.
[00:02:27.560 --> 00:02:28.960]   And then there's Weights and Biases
[00:02:28.960 --> 00:02:32.400]   for experiment tracking and those types of things.
[00:02:32.400 --> 00:02:37.400]   So these are the resources and we'll get right into it.
[00:02:37.400 --> 00:02:42.360]   So essentially when we look at what's going on
[00:02:42.360 --> 00:02:44.600]   in the Pipeline API,
[00:02:44.600 --> 00:02:46.920]   there's really three things that are happening.
[00:02:46.920 --> 00:02:50.240]   Is one, it's tokenizing your raw text.
[00:02:50.240 --> 00:02:52.200]   And again, last week we talked about that.
[00:02:52.200 --> 00:02:54.360]   For anything to go through a model,
[00:02:54.360 --> 00:02:57.560]   we have to create a numerical representation of it.
[00:02:57.560 --> 00:02:59.880]   And so that's what the tokenizer does.
[00:02:59.880 --> 00:03:03.720]   And essentially the task of the tokenizer
[00:03:03.720 --> 00:03:08.560]   is to split words into sub words or symbols called tokens.
[00:03:08.560 --> 00:03:11.240]   And there's various tokenization strategies
[00:03:11.240 --> 00:03:13.080]   each with their pros and cons.
[00:03:13.080 --> 00:03:15.320]   And we'll look at that a little bit later.
[00:03:15.320 --> 00:03:16.280]   But at the end of the day,
[00:03:16.280 --> 00:03:20.200]   each of these tokens is mapped to an integer.
[00:03:20.200 --> 00:03:25.200]   And that integer is used to index into a dictionary
[00:03:25.200 --> 00:03:30.680]   or a list essentially for each token.
[00:03:30.680 --> 00:03:34.520]   And that's how we actually,
[00:03:34.520 --> 00:03:36.800]   those are the numbers that we actually pipe in
[00:03:36.800 --> 00:03:38.200]   through our model.
[00:03:38.200 --> 00:03:40.440]   And when the tokenizer runs,
[00:03:40.440 --> 00:03:42.880]   as you've seen last week and we'll see today,
[00:03:42.880 --> 00:03:47.080]   is that it actually creates not just identifiers,
[00:03:47.080 --> 00:03:48.800]   the IDs for each token,
[00:03:48.800 --> 00:03:51.840]   but it also creates other tensors.
[00:03:51.840 --> 00:03:54.880]   So we've seen like the concept of an attention mask
[00:03:54.880 --> 00:03:58.120]   or for some models like BERT,
[00:03:58.120 --> 00:04:02.800]   it will create a token type IDs tensor as well.
[00:04:02.800 --> 00:04:04.280]   And because remember BERT was trained
[00:04:04.280 --> 00:04:07.240]   on a next sentence prediction task.
[00:04:07.240 --> 00:04:09.760]   So there's a first sentence and second sentence.
[00:04:09.760 --> 00:04:14.160]   So it uses these token type IDs to differentiate the two.
[00:04:14.160 --> 00:04:16.760]   And then the big thing to remember
[00:04:16.760 --> 00:04:19.120]   is that when you're using transformers
[00:04:19.120 --> 00:04:22.280]   is that all this pre-processing needs to be done
[00:04:22.280 --> 00:04:26.200]   in exactly the same way as when the model was pre-trained.
[00:04:26.200 --> 00:04:28.000]   And that essentially means that
[00:04:28.000 --> 00:04:31.920]   when you're going to train a transformer
[00:04:31.920 --> 00:04:33.440]   based on a checkpoint,
[00:04:33.440 --> 00:04:36.680]   you wanna get a tokenizer from the same checkpoint.
[00:04:36.680 --> 00:04:38.720]   So the indices are the same.
[00:04:38.720 --> 00:04:40.800]   And also remember that one of the first things
[00:04:40.800 --> 00:04:42.480]   these transformer models do
[00:04:42.480 --> 00:04:46.200]   is actually those indices are turned into an embedding.
[00:04:46.200 --> 00:04:49.080]   So a high dimensional vector to represent each token,
[00:04:49.080 --> 00:04:50.920]   and that's something that's learned.
[00:04:50.920 --> 00:04:53.000]   And so if you wanna take advantage
[00:04:53.000 --> 00:04:56.560]   of the pre-trained checkpoint as a model,
[00:04:56.560 --> 00:04:59.360]   you're gonna wanna use the same tokenizer
[00:04:59.360 --> 00:05:00.680]   they use to pre-train it,
[00:05:00.680 --> 00:05:03.000]   or essentially you're starting from scratch.
[00:05:03.000 --> 00:05:04.520]   So just keep that in mind.
[00:05:04.520 --> 00:05:06.600]   Like most people, at least for myself,
[00:05:06.600 --> 00:05:09.440]   I've never trained a tokenizer custom.
[00:05:09.440 --> 00:05:13.240]   I've always just used whatever the checkpoint provides.
[00:05:15.320 --> 00:05:18.560]   So the second part of the pipeline
[00:05:18.560 --> 00:05:23.120]   is once you have your raw text tokenized,
[00:05:23.120 --> 00:05:24.720]   so converted the numbers,
[00:05:24.720 --> 00:05:27.840]   as well as some of the other things like the attention mask
[00:05:27.840 --> 00:05:29.840]   and token type IDs,
[00:05:29.840 --> 00:05:33.920]   is we actually run those inputs through a model.
[00:05:33.920 --> 00:05:37.120]   And this base kind of auto model,
[00:05:37.120 --> 00:05:39.400]   we talked about those, like there's auto model,
[00:05:39.400 --> 00:05:41.960]   there's auto model for various tasks.
[00:05:41.960 --> 00:05:46.280]   The base auto model simply is going to output
[00:05:46.280 --> 00:05:48.240]   a feature vector for each of those tokens
[00:05:48.240 --> 00:05:51.320]   that goes through the model.
[00:05:51.320 --> 00:05:54.440]   And so that's also known as the hidden states.
[00:05:54.440 --> 00:05:57.760]   We also refer to it as features.
[00:05:57.760 --> 00:06:01.200]   And again, it is essentially a representation
[00:06:01.200 --> 00:06:03.960]   for each token of what the model has learned
[00:06:03.960 --> 00:06:06.760]   based on the text that is trained with.
[00:06:06.760 --> 00:06:10.880]   And so if we were looking at the output,
[00:06:10.880 --> 00:06:12.480]   we would see something,
[00:06:12.480 --> 00:06:15.440]   we would see a tensor that looked like batch size
[00:06:15.440 --> 00:06:18.320]   by sequence by hidden state.
[00:06:18.320 --> 00:06:20.400]   So if we had a batch size of four
[00:06:20.400 --> 00:06:24.120]   and we are using BERT, for example,
[00:06:24.120 --> 00:06:27.680]   that allows for a max 512 and the base checkpoint,
[00:06:27.680 --> 00:06:32.680]   which basically produces a vector of, I think, 768 numbers,
[00:06:32.680 --> 00:06:39.320]   we would see something like four by 512 by 768.
[00:06:39.320 --> 00:06:41.840]   And so we'll look at, we get to the CoLab also
[00:06:41.840 --> 00:06:44.240]   kind of how to look at those things.
[00:06:44.240 --> 00:06:48.480]   So that's essentially what the kind of
[00:06:48.480 --> 00:06:50.360]   the raw auto model does.
[00:06:50.360 --> 00:06:52.920]   And then what we do for different tasks,
[00:06:52.920 --> 00:06:54.840]   whether it's sequence classification,
[00:06:54.840 --> 00:06:58.520]   named entity recognition, summarization,
[00:06:58.520 --> 00:07:02.680]   is that we switch the head and we'll kind of look at this,
[00:07:02.680 --> 00:07:07.000]   we'll show a way in CoLab how to actually look at the model.
[00:07:07.000 --> 00:07:09.640]   And you can see that the head is replaced
[00:07:09.640 --> 00:07:11.880]   by something specific to the task.
[00:07:11.880 --> 00:07:15.640]   And so it could be as simple as an in.linear layer.
[00:07:15.640 --> 00:07:20.000]   It could be a couple separated by some non-linearity,
[00:07:20.000 --> 00:07:22.760]   but the head is custom and it's typically,
[00:07:22.760 --> 00:07:25.120]   depending on the checkpoint,
[00:07:25.120 --> 00:07:27.920]   typically these are randomized weights
[00:07:27.920 --> 00:07:31.680]   that during the training process, you're going to learn.
[00:07:31.680 --> 00:07:36.240]   And then the last step in the pipeline
[00:07:36.240 --> 00:07:39.800]   is actually the post-processing of the outputs.
[00:07:39.800 --> 00:07:42.080]   So one of the things I really like about
[00:07:42.080 --> 00:07:46.480]   the Transformers architecture is that
[00:07:46.480 --> 00:07:50.880]   both the inputs and outputs are specialized objects.
[00:07:50.880 --> 00:07:53.760]   So if you're looking in Jupyter Notebook
[00:07:53.760 --> 00:07:57.800]   or in CoLab or VS Code, you could actually do inputs.
[00:07:57.800 --> 00:08:00.480]   and get IntelliSense and see what's in there.
[00:08:00.480 --> 00:08:04.720]   And so amongst other things that it returns,
[00:08:04.720 --> 00:08:08.760]   or you can ask it to return are the raw logits.
[00:08:08.760 --> 00:08:13.560]   So again, those are just numbers that the model predicts.
[00:08:13.560 --> 00:08:16.200]   And we can tell like which ones it's favoring,
[00:08:16.200 --> 00:08:19.440]   but if we wanna convert these to actual probabilities,
[00:08:19.440 --> 00:08:21.440]   we can see the confidence the model's assigning
[00:08:21.440 --> 00:08:24.880]   to the different labels in this scenario.
[00:08:24.880 --> 00:08:27.840]   We run it through Softmax.
[00:08:27.840 --> 00:08:30.640]   And then here we can see that this first one is showing
[00:08:33.840 --> 00:08:38.840]   for 96% label one, 99% label zero here.
[00:08:38.840 --> 00:08:45.600]   And this is really, most neural networks,
[00:08:45.600 --> 00:08:48.720]   most loss functions fuse or combine
[00:08:48.720 --> 00:08:52.520]   the final activation with the loss.
[00:08:52.520 --> 00:08:54.920]   And so this is typically handled for you.
[00:08:54.920 --> 00:08:56.960]   And so if you look at like libraries like FastAI,
[00:08:56.960 --> 00:08:59.920]   you will actually see the results look something like this.
[00:08:59.920 --> 00:09:03.120]   You don't have to actually run them through Softmax.
[00:09:04.120 --> 00:09:07.360]   And so with that, we'll look at a demo,
[00:09:07.360 --> 00:09:11.000]   but before that, any questions?
[00:09:11.000 --> 00:09:16.080]   - I think we're all still recovering from the bombing,
[00:09:16.080 --> 00:09:18.480]   but I'll just ask a silly question.
[00:09:18.480 --> 00:09:21.760]   How do you pick the transformer that you want to run?
[00:09:21.760 --> 00:09:25.520]   Assuming you're totally new to like this ecosystem,
[00:09:25.520 --> 00:09:28.240]   how do you pick which model you want to start running?
[00:09:28.240 --> 00:09:31.440]   - You know, for me, a lot of it is,
[00:09:32.440 --> 00:09:35.640]   I think if you go to like the hugging face,
[00:09:35.640 --> 00:09:38.200]   like their forums, you can ask questions
[00:09:38.200 --> 00:09:40.000]   and see what folks are using.
[00:09:40.000 --> 00:09:42.800]   For me, it's a little bit of trial and error,
[00:09:42.800 --> 00:09:44.960]   and also just kind of reading other papers
[00:09:44.960 --> 00:09:49.760]   and seeing the experiences other folks have had.
[00:09:49.760 --> 00:09:52.760]   So I'm not sure if there's like a great resource
[00:09:52.760 --> 00:09:54.760]   that says like, you know, for this specific task
[00:09:54.760 --> 00:09:58.480]   and this specific type of corpus, use this transformer.
[00:09:58.480 --> 00:10:00.560]   But I think if you ask them the forums,
[00:10:00.560 --> 00:10:02.560]   you'll probably get some feedback
[00:10:02.560 --> 00:10:04.320]   on the hugging face forums.
[00:10:04.320 --> 00:10:06.560]   I know for me, for like sequence classification,
[00:10:06.560 --> 00:10:10.720]   I've had really good experience using Roberta and BART.
[00:10:10.720 --> 00:10:14.760]   And I'm usually working on English texts that are,
[00:10:14.760 --> 00:10:16.920]   like at least for my work,
[00:10:16.920 --> 00:10:20.400]   a lot of like survey type comments, things like that.
[00:10:20.400 --> 00:10:23.280]   Those have proven to work pretty well.
[00:10:23.280 --> 00:10:25.960]   And then of course you can actually use weights and biases
[00:10:25.960 --> 00:10:29.280]   and like a tuning framework like Optuna,
[00:10:29.280 --> 00:10:31.040]   and you can actually try different architectures
[00:10:31.040 --> 00:10:32.200]   and see what happens.
[00:10:32.200 --> 00:10:35.280]   - Thanks.
[00:10:35.280 --> 00:10:38.040]   Lucas mentioned that he usually filters down
[00:10:38.040 --> 00:10:39.840]   hugging face, tortco slash models
[00:10:39.840 --> 00:10:41.560]   for the specific language and task.
[00:10:41.560 --> 00:10:43.680]   And that's a good starting point as well.
[00:10:43.680 --> 00:10:44.880]   - Yep, yep.
[00:10:44.880 --> 00:10:46.360]   And what's nice there is that a lot of them
[00:10:46.360 --> 00:10:47.880]   actually have their metrics
[00:10:47.880 --> 00:10:51.000]   that they've got from their validation set.
[00:10:51.000 --> 00:10:53.560]   So, and again, this thing is find something
[00:10:53.560 --> 00:10:56.360]   that's like using that approach.
[00:10:56.360 --> 00:10:59.080]   If you kind of know what your raw text looks like,
[00:10:59.080 --> 00:10:59.920]   you can go ahead.
[00:10:59.920 --> 00:11:01.200]   If you know you're working with English,
[00:11:01.200 --> 00:11:03.560]   you're working with Chinese, you can start there
[00:11:03.560 --> 00:11:07.080]   and at least start with some good pre-trained models,
[00:11:07.080 --> 00:11:09.840]   irrespective of the architecture for sure.
[00:11:09.840 --> 00:11:13.520]   - That's really cool, thanks.
[00:11:13.520 --> 00:11:14.720]   - Cool.
[00:11:14.720 --> 00:11:16.760]   Okay, so we're gonna go and first look,
[00:11:16.760 --> 00:11:21.400]   and this is essentially from the course here.
[00:11:21.400 --> 00:11:23.480]   And so we're gonna look at
[00:11:23.480 --> 00:11:27.600]   just what I just talked about right there is like,
[00:11:27.600 --> 00:11:32.400]   so here's the, again, the pipeline for sentiment analysis.
[00:11:32.400 --> 00:11:37.200]   And remember by default, this one is classifying two labels.
[00:11:37.200 --> 00:11:38.400]   So if you have more labels,
[00:11:38.400 --> 00:11:40.520]   you would have to pass that in here.
[00:11:40.520 --> 00:11:44.200]   And also this is something from last week.
[00:11:44.200 --> 00:11:49.200]   If you wanna see the exact model that the pipeline's using,
[00:11:49.200 --> 00:11:54.840]   you can actually print use model.name or path to get that.
[00:11:56.400 --> 00:11:59.600]   And of course you can actually pass in your own
[00:11:59.600 --> 00:12:02.080]   pre-trained model name or path as well up here
[00:12:02.080 --> 00:12:04.760]   if you have something specific you wanna use.
[00:12:04.760 --> 00:12:07.560]   So again, with the checkpoints is that
[00:12:07.560 --> 00:12:10.560]   we're gonna use the same checkpoint for tokenization
[00:12:10.560 --> 00:12:14.760]   as we do for getting our model so that everything lines up.
[00:12:14.760 --> 00:12:19.800]   So I'm gonna go ahead and use auto tokenizer.
[00:12:19.800 --> 00:12:26.120]   And then we'll take a look at the inputs.
[00:12:26.240 --> 00:12:31.000]   So using this particular tokenizer, DistilBERT,
[00:12:31.000 --> 00:12:33.160]   we only get two things.
[00:12:33.160 --> 00:12:35.120]   We get the input IDs, which again,
[00:12:35.120 --> 00:12:37.320]   the indices into the vocab.
[00:12:37.320 --> 00:12:39.160]   And there's also some special IDs
[00:12:39.160 --> 00:12:41.280]   that the tokenizer automatically puts in there
[00:12:41.280 --> 00:12:43.600]   that the architecture requires for training.
[00:12:43.600 --> 00:12:46.400]   So in DistilBERT and in BERT,
[00:12:46.400 --> 00:12:48.680]   you'll see like this class token,
[00:12:48.680 --> 00:12:52.480]   and you'll see like a separator token, SCP.
[00:12:52.480 --> 00:12:57.480]   And that's token 101, and this is token 102.
[00:12:57.480 --> 00:13:03.200]   And then you can see that we also have these
[00:13:03.200 --> 00:13:06.200]   zero indices right here,
[00:13:06.200 --> 00:13:09.760]   for this one right here for this particular text.
[00:13:09.760 --> 00:13:13.720]   And so remember that when we feed our inputs into a model,
[00:13:13.720 --> 00:13:16.280]   we're typically feeding them in batches,
[00:13:16.280 --> 00:13:18.560]   and that needs to be a square matrix.
[00:13:18.560 --> 00:13:20.720]   And so to make that happen,
[00:13:20.720 --> 00:13:22.920]   we actually use a padding token
[00:13:22.920 --> 00:13:25.960]   so that we have that squared matrix.
[00:13:25.960 --> 00:13:27.760]   And then we use an attention mask.
[00:13:27.760 --> 00:13:28.920]   So you can see in the attention mask,
[00:13:28.920 --> 00:13:31.040]   we have some zeros here to say,
[00:13:31.040 --> 00:13:32.560]   when you get to the self-attention layers,
[00:13:32.560 --> 00:13:35.000]   don't pay attention to those padding tokens.
[00:13:35.000 --> 00:13:36.600]   So that's what that means there.
[00:13:36.600 --> 00:13:40.480]   And then when you run through the model,
[00:13:40.480 --> 00:13:44.200]   so we create the model from the same checkpoint.
[00:13:44.200 --> 00:13:46.520]   And what's funny is you'll always get this kind of message
[00:13:46.520 --> 00:13:50.920]   about the weights of the model are essentially
[00:13:50.920 --> 00:13:56.000]   need to be fine-tuned at least the classification.
[00:13:56.000 --> 00:13:57.080]   And remember I was talking about
[00:13:57.080 --> 00:13:59.520]   how we take the core pre-trained model,
[00:13:59.520 --> 00:14:02.680]   we put a new head on it for our task, right?
[00:14:02.680 --> 00:14:05.680]   So for classification, so those parts aren't trained.
[00:14:05.680 --> 00:14:07.200]   That's all this message is saying.
[00:14:07.200 --> 00:14:08.680]   If you scroll over, you'll see,
[00:14:08.680 --> 00:14:11.920]   it's all referring to the classification parts
[00:14:11.920 --> 00:14:14.040]   of this neural network.
[00:14:14.040 --> 00:14:16.800]   And so don't be nervous when you see this message come up.
[00:14:16.800 --> 00:14:19.280]   And it's amazing 'cause like if you go to the forums,
[00:14:19.280 --> 00:14:20.240]   people are like, what is that?
[00:14:20.240 --> 00:14:21.080]   What's happening?
[00:14:21.080 --> 00:14:21.920]   What did I do wrong?
[00:14:21.920 --> 00:14:22.760]   What's going on?
[00:14:22.760 --> 00:14:24.640]   It's just the informational message to say,
[00:14:24.640 --> 00:14:27.880]   you need to train that final part of your neural network.
[00:14:27.880 --> 00:14:32.240]   And if we pass the inputs that we just created,
[00:14:32.240 --> 00:14:35.920]   as I mentioned, we can look at the last hidden state
[00:14:35.920 --> 00:14:37.520]   for just the auto model.
[00:14:37.520 --> 00:14:42.320]   And you see, we have batch size by sequence size
[00:14:42.320 --> 00:14:44.800]   by hidden state.
[00:14:44.800 --> 00:14:47.240]   And again, one of the nice things
[00:14:47.240 --> 00:14:51.000]   about the Transformers library,
[00:14:51.000 --> 00:14:54.840]   like I love the inputs and outputs are actually objects.
[00:14:54.840 --> 00:14:56.920]   So you can actually hit dot and actually see like
[00:14:56.920 --> 00:15:00.480]   what other information they're sending back.
[00:15:00.480 --> 00:15:01.800]   And when you create these models,
[00:15:01.800 --> 00:15:05.040]   you can actually request it to send other information,
[00:15:05.040 --> 00:15:07.120]   which is kind of cool.
[00:15:07.120 --> 00:15:10.000]   And that's model specific and something you would learn
[00:15:10.000 --> 00:15:11.320]   from the documentation.
[00:15:12.240 --> 00:15:15.280]   So now if we go use that checkpoint
[00:15:15.280 --> 00:15:18.880]   and let's actually create a auto model
[00:15:18.880 --> 00:15:20.400]   for sequence classification.
[00:15:20.400 --> 00:15:26.320]   And I wanted to show you that you can also just print model
[00:15:26.320 --> 00:15:29.560]   and you can see what the whole,
[00:15:29.560 --> 00:15:33.080]   like the whole architecture looks like.
[00:15:33.080 --> 00:15:35.160]   And so this is really cool when you're trying to figure out
[00:15:35.160 --> 00:15:40.000]   like, okay, how did it change for sequence classification?
[00:15:40.000 --> 00:15:41.840]   You could just print the model
[00:15:41.840 --> 00:15:46.360]   and then go down to the very bottom.
[00:15:46.360 --> 00:15:49.400]   And you can see that it has this pre-classification layer,
[00:15:49.400 --> 00:15:53.400]   classifier, and it also includes some dropout.
[00:15:53.400 --> 00:15:56.560]   But this right here is basically
[00:15:56.560 --> 00:15:59.240]   the custom head right here that was added on.
[00:15:59.240 --> 00:16:00.720]   And remember, we saw that warning that said
[00:16:00.720 --> 00:16:04.040]   these are randomly initialized, so they need to be trained.
[00:16:04.040 --> 00:16:07.120]   So if you're curious to like how Transformers work
[00:16:07.120 --> 00:16:10.480]   for a specific task, create that model.
[00:16:10.480 --> 00:16:13.240]   So last week, I think someone asked about Bart
[00:16:13.240 --> 00:16:16.240]   and how it's used for sequence classification.
[00:16:16.240 --> 00:16:19.160]   Create the auto model for sequence classification
[00:16:19.160 --> 00:16:21.720]   using a Bart checkpoint, and then just print the model
[00:16:21.720 --> 00:16:23.880]   and see kind of how it's doing that.
[00:16:23.880 --> 00:16:30.760]   So again, once we run through the model,
[00:16:30.760 --> 00:16:36.440]   we're going to get an outputs object
[00:16:36.440 --> 00:16:38.520]   and we can look at the shape of the logits.
[00:16:38.520 --> 00:16:41.680]   So remember we had a batch size of two
[00:16:41.680 --> 00:16:43.880]   and we're outputting two labels, right?
[00:16:43.880 --> 00:16:45.720]   Positive or negative.
[00:16:45.720 --> 00:16:48.720]   And then we could also like look at the logits right there.
[00:16:48.720 --> 00:16:52.120]   And then as a final step, as I mentioned,
[00:16:52.120 --> 00:16:54.360]   in normal cases, like when you're using Fast.ai,
[00:16:54.360 --> 00:16:56.280]   this will already be done for you
[00:16:56.280 --> 00:16:58.600]   as part of calculating the loss.
[00:16:58.600 --> 00:17:01.520]   But since we're just looking at running
[00:17:01.520 --> 00:17:05.920]   through the raw model, we need to actually run the logits
[00:17:05.920 --> 00:17:09.320]   through a Softmax to get the probabilities
[00:17:09.320 --> 00:17:11.680]   or confidence that the model is assigning
[00:17:11.680 --> 00:17:13.440]   to the different labels.
[00:17:13.440 --> 00:17:16.160]   And then also what's kind of cool
[00:17:16.160 --> 00:17:18.120]   'cause we don't know what those labels are.
[00:17:18.120 --> 00:17:21.560]   If we actually do look at the configuration object
[00:17:21.560 --> 00:17:26.320]   and the ID to label, that tells us that zero is negative,
[00:17:26.320 --> 00:17:28.400]   one is positive.
[00:17:28.400 --> 00:17:33.800]   Any questions on that yet, Sonia?
[00:17:34.760 --> 00:17:36.160]   - This one question, how is the number
[00:17:36.160 --> 00:17:38.480]   of hidden states determined?
[00:17:38.480 --> 00:17:41.040]   - How are they determined?
[00:17:41.040 --> 00:17:41.960]   - Yes.
[00:17:41.960 --> 00:17:46.240]   - So they're determined by the particular architecture
[00:17:46.240 --> 00:17:51.240]   and they can vary.
[00:17:51.240 --> 00:17:55.840]   So like for BERT, there's a BERT-based architecture,
[00:17:55.840 --> 00:17:57.400]   which is 768.
[00:17:57.400 --> 00:17:59.960]   So that was the number they came up with.
[00:17:59.960 --> 00:18:04.840]   And then there is a BERT-large architecture
[00:18:04.840 --> 00:18:06.040]   and I don't know what it is.
[00:18:06.040 --> 00:18:09.600]   I wanna say it's like 1024, it's a little bit bigger.
[00:18:09.600 --> 00:18:13.240]   And so it's really just determined by the architecture
[00:18:13.240 --> 00:18:17.680]   and the particular checkpoint.
[00:18:17.680 --> 00:18:20.640]   - If I may add, usually companies like Google
[00:18:20.640 --> 00:18:23.360]   that do these researches have access
[00:18:23.360 --> 00:18:24.680]   to good amount of resources.
[00:18:24.680 --> 00:18:26.840]   So they also run these architectural searches
[00:18:26.840 --> 00:18:29.040]   where they just can go all out
[00:18:29.040 --> 00:18:30.800]   and compare different hidden states
[00:18:30.800 --> 00:18:32.040]   and see what works best.
[00:18:32.040 --> 00:18:34.640]   Usually those are sometimes mentioned in the paper.
[00:18:34.640 --> 00:18:38.080]   So that's also something that happens behind the scenes.
[00:18:38.080 --> 00:18:40.200]   - Yeah, I was gonna say the papers are a good source
[00:18:40.200 --> 00:18:42.800]   to go to 'cause they've, typically the folks
[00:18:42.800 --> 00:18:46.960]   that have introduced these architectures have also done
[00:18:46.960 --> 00:18:48.960]   a bunch of like ablation type studies.
[00:18:48.960 --> 00:18:51.160]   And so they've played around with different lengths
[00:18:51.160 --> 00:18:54.680]   and different number of layers,
[00:18:54.680 --> 00:18:56.240]   different lengths for everything.
[00:18:56.240 --> 00:18:59.520]   And so that's probably a really good recommendation
[00:18:59.520 --> 00:19:01.280]   is to look at the actual paper.
[00:19:01.280 --> 00:19:04.520]   - Awesome, the second question is,
[00:19:04.520 --> 00:19:07.240]   what is the difference between using auto model
[00:19:07.240 --> 00:19:09.440]   and the architecture specific classes?
[00:19:09.440 --> 00:19:13.240]   Example, BERT model, is there any upside
[00:19:13.240 --> 00:19:14.880]   to using just the latter?
[00:19:14.880 --> 00:19:17.000]   So just using BERT model, for example.
[00:19:17.000 --> 00:19:19.720]   - The only upside is that if you decide
[00:19:19.720 --> 00:19:21.240]   to use a different checkpoint,
[00:19:21.240 --> 00:19:23.520]   so it may be a different model
[00:19:23.520 --> 00:19:26.040]   or the same model architecture,
[00:19:26.040 --> 00:19:30.040]   but a different version is that you wouldn't have
[00:19:30.040 --> 00:19:35.040]   to recode everything to use a specific hugging face objects.
[00:19:35.040 --> 00:19:40.200]   So with the auto tokenizer, auto model, auto config,
[00:19:40.200 --> 00:19:42.880]   you could just pack that checkpoint and it will infer
[00:19:42.880 --> 00:19:45.720]   and give you the same thing as if you were using
[00:19:45.720 --> 00:19:49.280]   the architecture specific objects.
[00:19:49.280 --> 00:19:53.320]   - Another one, in case of auto model,
[00:19:53.320 --> 00:19:55.240]   is the head also pre-trained?
[00:19:56.240 --> 00:19:58.480]   - On the auto model, no.
[00:19:58.480 --> 00:20:01.760]   So with the auto model, it works the same way
[00:20:01.760 --> 00:20:03.440]   as if you're using the regular objects,
[00:20:03.440 --> 00:20:08.320]   is that that last, the head, whatever it is for your task,
[00:20:08.320 --> 00:20:10.840]   is gonna be randomly initialized.
[00:20:10.840 --> 00:20:15.840]   If you're using something like this one right here
[00:20:15.840 --> 00:20:21.720]   is fine tuned for this particular,
