
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[00:01:57.820 --> 00:02:10.260]   When Elon takes over Tesla, when Elon is at SpaceX, when Elon's at X, I would imagine, and you know this better than me because you know him, and maybe most importantly, for the purposes of this part of the conversation, you know the people who work for him.
[00:02:10.260 --> 00:02:17.400]   I'll bet if you ask the people who work under Elon at X, Tesla, SpaceX, they say, I know exactly what Elon wants.
[00:02:17.400 --> 00:02:20.000]   This is his goal for the super heavy rocket.
[00:02:20.000 --> 00:02:22.540]   This is his goal in terms of humanoid robots.
[00:02:22.540 --> 00:02:29.640]   This is his goal in terms of profitability of Twitter and the growth of our subscription business and how we're going to integrate new features.
[00:02:29.640 --> 00:02:31.980]   There's probably a really clear mind meld.
[00:02:31.980 --> 00:02:35.100]   Right now, I have no sense that there's a mind meld.
[00:02:35.100 --> 00:02:44.260]   And in fact, I have the exact opposite sense, that rather than an example of creative destruction, which would be a mitzvah of entrepreneurship, we have an act of destruction, destruction.
[00:02:44.260 --> 00:02:46.740]   We have destruction for the sake of destruction.
[00:02:47.360 --> 00:03:05.780]   It's much cleaner to me, from an interpretive standpoint, to describe Doge as an ideological purge of progressivism, performing an act of, or performing the job of efficiency, rather than a department of actual efficiency itself.
[00:03:07.540 --> 00:03:12.500]   The following is a conversation with Ezra Klein and Derek Thompson.
[00:03:12.500 --> 00:03:18.300]   Ezra is one of the most influential voices representing the left wing of American politics.
[00:03:18.300 --> 00:03:26.540]   He is a columnist for the New York Times, author of Why We're Polarized, and host of the Ezra Klein Show.
[00:03:26.540 --> 00:03:35.960]   Derek is a writer at The Atlantic, author of Hitmakers and On Work, and host of the Plain English Podcast.
[00:03:36.620 --> 00:03:43.820]   Together, they've written a new book, simply titled Abundance, that lays out a kind of manifesto for the left.
[00:03:43.820 --> 00:03:54.420]   It is already a controversial, widely debated book, but I think it puts forward a powerful vision for what the Democratic Party could stand for in the coming election.
[00:03:54.420 --> 00:04:02.560]   If I may, let me comment on the fact that sometimes in this podcast, I delve into the dark realm of politics.
[00:04:03.300 --> 00:04:09.440]   Indeed, politics often divides us, and frankly, brings out the worst in some very smart people.
[00:04:09.440 --> 00:04:19.640]   Plus, to me, it is frustrating how much of the political discourse is drama, and how little of it is rigorous, empathetic discussion of policy.
[00:04:20.500 --> 00:04:23.340]   I hate this, but I guess I understand why.
[00:04:23.340 --> 00:04:37.200]   If the other side is called either Hitler or Stalin, unlined by swarms of chanting mobs, it's hard to carry out a nuanced discussion about immigration, healthcare, housing, education, foreign policy, and so on.
[00:04:37.960 --> 00:04:43.120]   On top of that, anytime I talk about politics, half the audience is pissed off at me.
[00:04:43.120 --> 00:04:46.100]   And no, there is no audience capture.
[00:04:46.680 --> 00:04:51.580]   I get shit on equally by different groups across the political spectrum, depending on the guest.
[00:04:51.580 --> 00:04:56.900]   Why, I don't know, but I'm slowly coming to accept that this is the way of the world.
[00:04:56.900 --> 00:05:06.200]   I try to maintain my cool, return hate with compassion, and learn from the criticism and the general madness of it all.
[00:05:06.900 --> 00:05:10.440]   Still, I think it's valuable to sometimes talk about politics.
[00:05:10.440 --> 00:05:17.400]   It's an important part to the big picture of human civilization, but indeed, it is only still a small part.
[00:05:17.400 --> 00:05:27.220]   My happy place is talking to scientists, engineers, programmers, video game designers, historians, philosophers, musicians, athletes, filmmakers, and so on.
[00:05:27.220 --> 00:05:32.920]   So, I apologize for the occasional detour into politics, especially over the past few months.
[00:05:33.280 --> 00:05:38.920]   I did a few conversations with world leaders, and I have a few more coming up.
[00:05:38.920 --> 00:05:49.440]   So, there will be a few more political podcasts coming out, in part so I can be better prepared to deeply understand the mind, the life, and the perspective of each world leader.
[00:05:49.440 --> 00:05:54.460]   I hope you come along with me on this journey into the darkness of politics.
[00:05:54.460 --> 00:06:00.000]   As I try to shine a light on the complex human mess of it all, hoping to understand us humans better,
[00:06:00.200 --> 00:06:04.800]   always backed, of course, by deep, rigorous research and by empathy.
[00:06:04.800 --> 00:06:10.300]   Long-term, I hope for political discussions to be only a small percentage of this podcast.
[00:06:10.300 --> 00:06:16.040]   If it's not your thing, please just skip these episodes, or maybe come along anyway,
[00:06:16.040 --> 00:06:20.340]   since both you and I are reluctant travelers on this road trip.
[00:06:20.720 --> 00:06:25.320]   But who knows what we'll learn together about the world and about ourselves.
[00:06:25.320 --> 00:06:27.940]   This is the Lex Reuben Podcast.
[00:06:27.940 --> 00:06:31.240]   To support it, please check out our sponsors in the description.
[00:06:31.240 --> 00:06:36.780]   And now, dear friends, here's Ezra Klein and Derek Thompson.
[00:06:37.880 --> 00:06:42.520]   You are both firmly on the left of the U.S. political spectrum.
[00:06:42.520 --> 00:06:44.900]   Ezra, I've been a fan of yours for a long time.
[00:06:44.900 --> 00:06:50.840]   You're often referred to, at least I think of you as, one of the most intellectually rigorous voices on the left.
[00:06:50.840 --> 00:06:56.460]   Can you try to define, can you define the ideals and the vision of the American left?
[00:06:56.460 --> 00:06:56.980]   Oh, good.
[00:06:56.980 --> 00:06:58.380]   We're starting small here.
[00:06:58.380 --> 00:07:00.460]   And maybe contrast them with the American right.
[00:07:00.700 --> 00:07:01.080]   Sure.
[00:07:01.080 --> 00:07:05.580]   So, the thing I should say here is that you can define the left in different ways.
[00:07:05.580 --> 00:07:07.920]   I think the left has a couple fundamental views.
[00:07:07.920 --> 00:07:10.400]   One is that life is unfair.
[00:07:10.400 --> 00:07:13.480]   We are born with different talents.
[00:07:13.480 --> 00:07:16.140]   We are born into different nations, right?
[00:07:16.140 --> 00:07:21.260]   The luck of being born into America is very different than the luck of being born into Venezuela.
[00:07:21.260 --> 00:07:24.300]   We are born into different families.
[00:07:24.300 --> 00:07:30.280]   We have luck operating as an omnipresence across our entire lives.
[00:07:31.180 --> 00:07:36.820]   And as such, the people for whom it works out well, we don't deserve all of that.
[00:07:36.820 --> 00:07:38.200]   We got lucky.
[00:07:38.200 --> 00:07:41.980]   I mean, we also worked hard and we also had talent and we also applied that talent.
[00:07:41.980 --> 00:07:46.300]   But at a very fundamental level, that we are sitting here is unfair.
[00:07:46.300 --> 00:07:55.680]   And that so many other people are in conditions that are much worse, much more precarious, much more exploited is unfair.
[00:07:56.100 --> 00:08:08.040]   And one of the fundamental roles of government should not necessarily be to turn that unfairness into perfect equality, but to rectify that unfairness into a kind of universal dignity, right?
[00:08:08.040 --> 00:08:09.540]   So people can have lives of flourishing.
[00:08:09.540 --> 00:08:10.480]   So I'd say that's one thing.
[00:08:10.760 --> 00:08:16.400]   The left is fundamentally more skeptical of capitalism and particularly unchecked forms of capitalism than the right.
[00:08:16.400 --> 00:08:22.560]   I always think this is hard to talk about because what we call unchecked capitalism is nevertheless very much supported by government.
[00:08:22.560 --> 00:08:32.260]   So I think in a way, markets are things that are enforced by government, whether they are how you set the rules of them is what ends up differing between the left and the right.
[00:08:32.580 --> 00:08:44.980]   But the left tends to be more worried about the fact that you could get rich building coal-fired power plants, belching pollution into the air, and you could get rich laying down solar panels.
[00:08:44.980 --> 00:08:47.720]   And the market doesn't know the difference between the two.
[00:08:48.080 --> 00:08:57.740]   And so there's a set of goals about regulating the unchecked potential of capitalism that also relates to sort of exploitation of workers.
[00:08:57.740 --> 00:09:03.880]   There's very fundamental questions about how much people get paid, how much power they have.
[00:09:03.880 --> 00:09:08.720]   Again, the rectification of economic and other forms of power is very fundamental to the left.
[00:09:08.760 --> 00:09:13.820]   When you think about what the minimum wage is, I am a successful podcast host.
[00:09:13.820 --> 00:09:20.360]   When I go into a negotiation with the New York Times, I have a certain amount of market power in that negotiation because other firms want to hire me.
[00:09:20.360 --> 00:09:27.740]   When you are a minimum wage worker, the reason we have a minimum wage is in part to rectify a power problem.
[00:09:27.740 --> 00:09:29.940]   A lot of workers do not have market power.
[00:09:29.940 --> 00:09:32.000]   They do not have a bunch of job opportunities.
[00:09:32.000 --> 00:09:33.440]   They are not working with firms.
[00:09:34.360 --> 00:09:39.620]   And by the way, without certain kinds of regulation, those firms will cartelize and make it so they can hold down wages anyway.
[00:09:39.620 --> 00:09:44.440]   So trying to rectify power imbalances is, I think, another thing folks on the left take more seriously.
[00:09:44.440 --> 00:09:50.000]   That would be a start of things that I think broadly unite the, maybe let's call it the intuitions.
[00:09:50.000 --> 00:09:53.100]   I want to say that's a podcast answer, not a book.
[00:09:53.100 --> 00:09:56.880]   I'm sure I left a million things out here, but I'll start there.
[00:09:56.880 --> 00:10:04.380]   I mean, there's a lot of fascinating things there on the unfairness of life that could be the inter-person unfairness.
[00:10:04.380 --> 00:10:09.540]   So one person getting more money than another person, more skills or more natural abilities than another person.
[00:10:09.540 --> 00:10:15.000]   And then there's just the general unfairness of the environment, the luck of the draw, the things that happen.
[00:10:15.000 --> 00:10:20.620]   All of a sudden you cross a street and the car runs a red light and runs you over and you're in the hospital.
[00:10:20.620 --> 00:10:29.800]   So that unfairness of life and in general, I guess the left sees there's some role or a lot of role for government to help you when that unfairness strikes.
[00:10:29.800 --> 00:10:36.420]   And then maybe there's also a general notion of the size of government.
[00:10:36.420 --> 00:10:42.620]   I think the left is more comfortable with a larger government as long as it's effective and efficient, at least in this.
[00:10:42.620 --> 00:10:44.620]   That's certainly true in the last 100 years.
[00:10:44.620 --> 00:10:49.480]   It was New Deal liberals who enlarged the government in the 1930s.
[00:10:49.600 --> 00:10:53.720]   It was Republicans who acquiesced to that larger government in the 1950s.
[00:10:53.720 --> 00:10:59.880]   And then starting in the 1970s, 1980s, it's typically been conservatives who've tried to constrict governments.
[00:10:59.880 --> 00:11:04.620]   Sometimes they failed, while liberals have typically tried to expand, certainly, taxing and spending.
[00:11:04.620 --> 00:11:10.300]   Well, one thing that I was thinking as Ezra was talking, and I was just writing this down because I thought Ezra's answer was really lovely.
[00:11:10.300 --> 00:11:13.460]   But at a really high level, I thought, maybe you disagree with this.
[00:11:14.420 --> 00:11:24.000]   I thought about distinguishing between liberals and conservatives based on three factors, what each side fears, what each side values, and what each side tolerates.
[00:11:24.540 --> 00:11:34.780]   I think liberals fear injustice and conservatives often fear cultural radicalism or the destruction of society.
[00:11:34.780 --> 00:11:37.320]   And as a result, they value different things.
[00:11:37.320 --> 00:11:40.000]   Liberals, I think, tend to value change.
[00:11:40.000 --> 00:11:45.600]   And at the level of government, that can mean change in terms of creating new programs that don't previously exist.
[00:11:45.780 --> 00:11:51.300]   It's typically been liberals, for example, who've been trying to expand health coverage, while conservatives have tried to cut it back.
[00:11:51.300 --> 00:12:01.540]   Just in the last few years, it was Biden who tried to add a bunch of programs, whether it was infrastructure, the Chips and Science Act, the IRA, and then Trump comes into office and is unwinding it.
[00:12:01.540 --> 00:12:04.420]   And then I also think they tolerate different things.
[00:12:04.420 --> 00:12:13.100]   I think liberals are more likely to tolerate a little bit of overreach, a little bit of radicalism in terms of trying to push society into a world where it hasn't been.
[00:12:13.460 --> 00:12:16.600]   Well, I think conservatives are more likely to tolerate injustice.
[00:12:16.600 --> 00:12:25.920]   They're more likely to say there's a kind of natural inequality in the nature of the world, and we're not going to try to overcorrect for it with our policies.
[00:12:25.920 --> 00:12:41.560]   And so I think that even at a layer above what Ezra was articulating with the policy differences between liberals and conservatives, there's almost like an archetypal difference between what they fear and value and tolerate.
[00:12:42.220 --> 00:12:54.080]   Liberals fearing injustice, seeking change, tolerating sometimes a bit of what people might think of as overreach, while conservatives fear that overreach, value tradition, and often tolerate injustice.
[00:12:54.080 --> 00:13:01.880]   The only thing I would say is that I do think this sort of the left likes big government, the right likes small government oversimplifies.
[00:13:01.880 --> 00:13:12.240]   The left is pretty comfortable with an expansive government that is trying to correct for some of the imbalances of power and injustices and imbalances of luck I talked about earlier.
[00:13:12.660 --> 00:13:17.860]   The right is very comfortable with a very powerful police and surveillance and national security state.
[00:13:17.860 --> 00:13:26.580]   I always think about the sort of George W. Bush there, although right now with ICE agents hassling all kinds of green card holders, you can think about this moment too.
[00:13:26.580 --> 00:13:47.220]   But the right's view that on the one hand the government is incompetent, and on the other hand we could send our army across oceans, invade Afghanistan and Iraq, and then rebuild these societies we don't understand into fully functioning liberal democracies that will be our allies, was an extraordinary level of trust in a very big government.
[00:13:47.220 --> 00:14:00.680]   I mean, that was expensive, that took manpower, that was compared to, we're going to set up, you know, the Affordable Care Act in America, that took a lot more faith in the U.S. government being able to do something that was extraordinarily difficult.
[00:14:00.680 --> 00:14:06.200]   But the left has more confidence in the government of the check, and the right has more confidence in the government of the gun.
[00:14:06.200 --> 00:14:17.180]   You're right, there's some degree to which what the right, when the right speaks about the size of government, it's a little bit rhetoric and not actual policy.
[00:14:17.180 --> 00:14:20.320]   Because they seem to always grow the size of government, anyway.
[00:14:20.320 --> 00:14:36.640]   They just kind of say small government, but they don't, it's, you know, in the surveillance state, in the foreign policy in terms of military involvement abroad, and really in every program, they're not very good at cutting either.
[00:14:36.640 --> 00:14:38.420]   They just kind of like to say it.
[00:14:38.420 --> 00:14:39.660]   Cutting is really hard.
[00:14:39.660 --> 00:14:46.540]   If you, government spends trillions of dollars, and if you cut billions of dollars, someone is going to feel that pain,
[00:14:46.540 --> 00:14:47.320]   and they're going to scream.
[00:14:47.320 --> 00:14:51.660]   And so you look at defense spending under Reagan, you look at overall spending under Reagan,
[00:14:51.660 --> 00:14:57.620]   Reagan might be one of the most archetypally conservative presidents of the last 40, 50 years.
[00:14:57.620 --> 00:15:01.940]   He utterly failed in his attempt to shrink government.
[00:15:01.940 --> 00:15:03.580]   Government grew under Reagan.
[00:15:03.580 --> 00:15:05.560]   Defense grew, all sorts of programs grew.
[00:15:05.560 --> 00:15:11.900]   So I think that one thing we're sort of scrambling around in our answers is that at a really high level,
[00:15:11.900 --> 00:15:19.780]   there are differences between liberalism and conservatism in American history, but often at the level of implementation, it can be a little bit messy.
[00:15:19.780 --> 00:15:27.340]   Even Bush's foreign policy that Ezra was describing, sort of from a big sense of American history, is very like Wilsonian, right?
[00:15:27.340 --> 00:15:30.880]   This sense of like, it's America's duty to go out and change the world.
[00:15:31.080 --> 00:15:32.860]   Or to use a current example, McKinleyan.
[00:15:32.860 --> 00:15:34.200]   Or McKinleyan, right.
[00:15:34.200 --> 00:15:43.080]   And a lot of people compare Donald Trump's foreign policy to Andrew Jackson, this sense of we need to pull back from the world.
[00:15:43.080 --> 00:15:43.980]   America first.
[00:15:43.980 --> 00:15:47.880]   We need to care about what's inside of our borders and care much less about what's outside of our borders.
[00:15:47.880 --> 00:15:58.320]   Sometimes the differences between Republican and Democrat administrations don't fall cleanly into the lines of liberal versus conservative because those definitions can be mushy.
[00:15:58.400 --> 00:16:07.460]   All right, so to descend down from the platonic ideals of the left and the right, who is actually running the show on the right and the left?
[00:16:07.460 --> 00:16:09.180]   Who are the dominant forces?
[00:16:09.180 --> 00:16:19.840]   Maybe you could describe, and you mentioned Democratic Socialists, the progressives, maybe liberals, maybe more sort of mainstream left.
[00:16:20.780 --> 00:16:23.600]   And the same on the right with Trump and Trumpism.
[00:16:23.600 --> 00:16:27.220]   So on the right, it's pretty straightforward at the moment.
[00:16:27.220 --> 00:16:30.240]   And the right is composed differently than it was 10 years ago.
[00:16:30.240 --> 00:16:36.400]   But the right is run by Donald Trump and the people who have been given the nod of power by Donald Trump.
[00:16:36.400 --> 00:16:38.520]   So that is right now Elon Musk.
[00:16:38.520 --> 00:16:40.760]   But Elon Musk's power is coming from Donald Trump.
[00:16:41.160 --> 00:16:49.780]   That is, you know, maybe in some degrees, J.D. Vance, maybe in some degrees, Russ Vought, maybe sometimes, you know, Homans over at DHS.
[00:16:50.720 --> 00:16:57.240]   The right beneath that, the Republicans in Congress are extraordinarily disempowered compared to in other administrations.
[00:16:57.240 --> 00:17:01.360]   They are sort of being told what to do, and they are doing what they are told.
[00:17:01.360 --> 00:17:05.080]   Republicans in Congress, Senate Republicans, they didn't want Pete Hegseth.
[00:17:05.440 --> 00:17:07.000]   They didn't want Kash Patel.
[00:17:07.000 --> 00:17:08.960]   They didn't want Tulsi Gabbard.
[00:17:08.960 --> 00:17:10.440]   They didn't want RFK Jr.
[00:17:10.440 --> 00:17:21.260]   Nobody got elected to be a Republican in the Senate, hoping that they would confirm Robert F. Kennedy Jr., a member of the Kennedys, a Democrat who was pro-choice and running as a Democrat two years ago, for HHS.
[00:17:21.260 --> 00:17:23.260]   But Donald Trump told them to do it, and they did.
[00:17:23.260 --> 00:17:26.260]   So the right has developed a very, very top-down structure.
[00:17:26.980 --> 00:17:38.420]   And one of Trump's talents, one of the things that makes him a disruptive force in politics is his ability to upend the sort of coalitional structure, the interest group structure that used to prevail.
[00:17:38.420 --> 00:17:44.000]   You know, the Koch brothers were the big enemy of the left, you know, 10, 15 years ago.
[00:17:44.000 --> 00:17:46.180]   The view was that in many ways they set the agenda of the right.
[00:17:46.180 --> 00:17:52.040]   The Koch brother network is much less powerful under Donald Trump because he just disagrees with them and has disempowered them.
[00:17:52.040 --> 00:17:55.220]   Not to say none of their people or none of their groups are meaningful at all.
[00:17:55.280 --> 00:17:59.520]   They are, but you wouldn't put them at the forefront in the way that you might have at another time.
[00:17:59.520 --> 00:18:06.500]   Right this second, we're using the left, but Democrats are in fundamental disarray.
[00:18:06.500 --> 00:18:07.720]   There is no leader.
[00:18:07.720 --> 00:18:13.880]   Democrats, Senate Democrats decided to vote for the continuing resolution, avoiding a shutdown or a critical mass of them did.
[00:18:13.880 --> 00:18:22.820]   Hakeem Jeffries, the leader of the House Democrats, and Chuck Schumer, the leader of Senate Democrats, are in bitter disagreement over whether or not they should have done that.
[00:18:23.280 --> 00:18:28.600]   Democratic leadership isn't even united on the single biggest point of leverage they might have had.
[00:18:28.740 --> 00:18:31.100]   They disagree over whether or not it was even a point of leverage.
[00:18:31.100 --> 00:18:36.660]   Outside of them, the party is no leader, which is fairly normal after a pretty crushing defeat.
[00:18:36.660 --> 00:18:40.160]   But there isn't the next in line.
[00:18:40.160 --> 00:18:42.400]   So, you know, you go back, right?
[00:18:42.400 --> 00:18:46.700]   And it was pretty clear that, you know, after Barack Obama, it was going to be Hillary Clinton.
[00:18:46.700 --> 00:18:50.620]   After Hillary Clinton was either going to be Joe Biden or Bernie Sanders.
[00:18:50.620 --> 00:18:52.640]   Bernie Sanders had come in second in the primary.
[00:18:52.900 --> 00:18:54.260]   Joe Biden had been the vice president.
[00:18:54.260 --> 00:18:59.740]   You often have a presumptive next nominee who the party can look to for a kind of leadership.
[00:18:59.740 --> 00:19:03.560]   Even after 2000, Al Gore was still giving big speeches.
[00:19:03.560 --> 00:19:05.420]   There was a question about Al Gore running again.
[00:19:05.420 --> 00:19:09.380]   There is no presumptive in the Democratic Party right now.
[00:19:09.380 --> 00:19:12.740]   You can't turn around and say, oh, it's going to be Pete Buttigieg.
[00:19:12.740 --> 00:19:13.960]   It's going to be Josh Shapiro.
[00:19:14.100 --> 00:19:15.180]   It's going to be Gretchen Whitmer.
[00:19:15.180 --> 00:19:21.680]   Absent parties are given force, modern parties, which are quite weak by historical standards.
[00:19:21.680 --> 00:19:25.060]   Modern parties tend to be given force by a centralizing personality.
[00:19:25.060 --> 00:19:27.840]   Donald Trump being a very strong example of that on the right.
[00:19:27.840 --> 00:19:31.960]   But Barack Obama was the person who held together the Democratic Party for a long time.
[00:19:33.000 --> 00:19:44.400]   In my lifetime, the Democratic Party has never been as internally fragmented and weak, leaderless, rudderless as it is right now.
[00:19:44.400 --> 00:19:45.940]   Now, it won't stay that way.
[00:19:45.940 --> 00:19:47.940]   There's a rhythm to these things.
[00:19:47.940 --> 00:19:48.800]   There'll be a midterm.
[00:19:48.800 --> 00:19:50.820]   They're probably going to pick up a bunch of seats in the midterm.
[00:19:50.820 --> 00:19:57.420]   If that means Hakeem Jeffries becomes speaker after the midterm, he's going to have a much louder voice because he's going to have power.
[00:19:58.240 --> 00:20:02.120]   It's going to be a harder road for Schumer to get back to the majority because of the Senate map.
[00:20:02.120 --> 00:20:05.280]   And then we'll start having a primary on the left.
[00:20:05.280 --> 00:20:09.160]   And you'll begin to see voices emerge out of that.
[00:20:09.160 --> 00:20:13.780]   But right now, the Democratic Party, it doesn't have points of power.
[00:20:13.780 --> 00:20:23.460]   They're simply outside of, you know, at the national level, there is no Democrat who wields control over a branch of government, right?
[00:20:23.460 --> 00:20:24.320]   They don't have the Supreme Court.
[00:20:24.320 --> 00:20:25.340]   They don't have the House.
[00:20:25.340 --> 00:20:26.180]   They don't have the Senate.
[00:20:26.180 --> 00:20:27.120]   They don't have the presidency.
[00:20:27.580 --> 00:20:29.180]   And they don't have a next in line.
[00:20:29.180 --> 00:20:34.840]   So you're looking at an organization without any of the people in a position to structure it.
[00:20:34.840 --> 00:20:38.080]   And the head of the DNC, the new head, Ken Martin, doesn't have power in that way.
[00:20:38.080 --> 00:20:41.080]   So they're pretty fractured.
[00:20:41.080 --> 00:20:49.260]   You got a lot of criticism for this, but you were one of the people that early on said that Biden should step down.
[00:20:49.260 --> 00:20:57.180]   So why is the Democratic Party at this stage in its history so bad at generating the truly inspiring person?
[00:20:57.180 --> 00:21:03.500]   To me personally, you know, AOC is an example of a person that might be that person.
[00:21:03.760 --> 00:21:04.580]   You should have her on the show.
[00:21:04.580 --> 00:21:07.180]   I would watch that.
[00:21:07.180 --> 00:21:07.860]   Definitely.
[00:21:07.860 --> 00:21:10.800]   I mean, you know, I really try to, and we'll talk about this.
[00:21:10.800 --> 00:21:18.160]   I try to do like two, three hours, and there's a hesitancy on the left, especially to do these kinds of long programs.
[00:21:18.160 --> 00:21:19.340]   I think it's a trust issue.
[00:21:19.340 --> 00:21:20.820]   I'm not exactly sure what it is.
[00:21:20.820 --> 00:21:24.920]   Eighty percent of the people on this show are left wing.
[00:21:24.920 --> 00:21:29.080]   I'm pretty good faith, and I try to bring out the best in people.
[00:21:29.080 --> 00:21:29.780]   Have you invited her?
[00:21:29.780 --> 00:21:30.380]   Is that what you're saying?
[00:21:30.380 --> 00:21:31.280]   Yeah, yeah.
[00:21:31.280 --> 00:21:34.060]   We'll see what happens when people get closer to 2028.
[00:21:34.060 --> 00:21:35.280]   Sure.
[00:21:35.280 --> 00:21:37.240]   Maybe people begin taking that kind of risk.
[00:21:37.240 --> 00:21:40.440]   Also, you know, Bernie's up there in age, so he can't, you know, he can't do it anymore.
[00:21:40.440 --> 00:21:43.880]   Why is the Democratic Party so bad at generating this kind of talent?
[00:21:43.880 --> 00:21:46.300]   I don't think it's so bad at generating them.
[00:21:46.300 --> 00:21:49.620]   I think that it turned out to be bad at generating them this year.
[00:21:49.620 --> 00:21:56.260]   Look, like I, yeah, as you mentioned, you know, back in February 2023, somebody came out and said, like, Biden can't run again.
[00:21:56.260 --> 00:21:57.020]   This isn't going to work.
[00:21:57.020 --> 00:22:05.120]   And my view, and that was really what that set of pieces was about, was about the argument that even though Biden was clearly going to win the primary,
[00:22:05.900 --> 00:22:09.680]   there was still time for Democrats to do something the parties had done in the past and have an open convention.
[00:22:09.680 --> 00:22:14.800]   And you could structure the lead up to an open convention in a number of different ways, right?
[00:22:14.800 --> 00:22:19.360]   You could have something like a mini primary, but basically you'd have Democrats out in the media, out giving speeches,
[00:22:19.360 --> 00:22:25.160]   and their ultimate audience would be the delegates at the Democratic National Convention.
[00:22:25.160 --> 00:22:28.920]   And my hope was through that you would find the person for this moment.
[00:22:28.920 --> 00:22:33.680]   The thing for Kamala Harris that was really difficult was she was for another moment.
[00:22:34.460 --> 00:22:46.640]   She was picked by Joe Biden in 2020 amidst just a very different political equilibrium, a sense that you had a transitionary moment between two versions of the Democratic Party.
[00:22:46.640 --> 00:22:52.140]   Maybe Joe Biden reaching a little bit back to the past, to these sort of lunch pail, you know, blue collar Democrats.
[00:22:52.140 --> 00:22:55.060]   Joe from Scranton was a big, a big part of the Joe Biden appeal.
[00:22:55.440 --> 00:22:59.820]   But also Biden never has a chance if he's not Barack Obama's vice president.
[00:22:59.820 --> 00:23:05.360]   And so you have this sort of weird set of historical factors like operating at the same time.
[00:23:05.360 --> 00:23:10.120]   There's a desire for stability and experience amidst the chaos of Donald Trump and the pandemic.
[00:23:10.120 --> 00:23:16.580]   There is Biden as Obama's vice president, who nevertheless did not run in the election after Obama.
[00:23:17.400 --> 00:23:24.560]   I think a lot of people look back at 2016 and think, you know what, if Biden had been the candidate, he would have beaten Trump and we would live in a different reality.
[00:23:24.560 --> 00:23:31.440]   And then Biden chose Harris as an effort to shore up his own at least assumed weaknesses.
[00:23:31.440 --> 00:23:36.140]   Right. He's a white man in the Democratic Party at a time when the Democratic Party is diversifying.
[00:23:36.400 --> 00:23:44.140]   And when the view of how you win elections is you put is you put back together the Obama coalition and the Obama coalition is young people.
[00:23:44.140 --> 00:23:51.720]   It's, you know, voters of color and it's enough working class white voters and then college educated white voters.
[00:23:51.720 --> 00:23:52.860]   Right. That's the Obama coalition.
[00:23:52.860 --> 00:23:56.700]   And so Biden picks Harris, you know, for different reasons.
[00:23:56.700 --> 00:24:00.860]   My view at that time was I was sort of a Tammy Duckworth person and thought I should have picked Tammy Duckworth.
[00:24:00.860 --> 00:24:04.320]   But but there are different people out there.
[00:24:04.880 --> 00:24:08.840]   And then the kind of moment that Harris was running in just sort of dissipates.
[00:24:08.840 --> 00:24:14.940]   First, she has a particular background from California where she's a tough on crime.
[00:24:14.940 --> 00:24:16.960]   Her book is called Smart on Crime Prosecutor.
