
[00:00:00.000 --> 00:00:06.840]   [APPLAUSE]
[00:04:58.720 --> 00:05:01.160]   So access to cash is more important than cash.
[00:05:01.160 --> 00:05:03.440]   And how much should be an emergency fund?
[00:05:03.440 --> 00:05:05.920]   I'm not a six-months or anything like that.
[00:05:05.920 --> 00:05:08.240]   If you work for the government, if you're
[00:05:08.240 --> 00:05:12.680]   an endowed college professor, your job
[00:05:12.680 --> 00:05:14.400]   is a whole lot more stable than if you're
[00:05:14.400 --> 00:05:15.800]   working for a startup company.
[00:05:15.800 --> 00:05:18.960]   So how much should be in there, it depends.
[00:05:18.960 --> 00:05:21.120]   Like I said, the answer to just about every question,
[00:05:21.120 --> 00:05:23.880]   it depends.
[00:05:23.880 --> 00:05:27.520]   Couple of related questions about 401(k)s.
[00:05:27.520 --> 00:05:34.560]   Should people prioritize Roth 401(k)s or regular pre-tax 401(k)s?
[00:05:34.560 --> 00:05:39.240]   And where does the solo 401(k) fit in?
[00:05:39.240 --> 00:05:41.160]   Oh, I love solo 401(k)s.
[00:05:41.160 --> 00:05:43.360]   Who asked for that?
[00:05:43.360 --> 00:05:44.280]   Great.
[00:05:44.280 --> 00:05:50.200]   OK, so generally, if you ask me, should I
[00:05:50.200 --> 00:05:55.000]   do Roth or pre-tax in my 401(k), I say yes.
[00:05:55.000 --> 00:05:56.640]   I'm not going to go to the mat on this.
[00:05:56.640 --> 00:05:58.480]   But generally, if you're kind of younger
[00:05:58.480 --> 00:06:00.560]   and you're not at your earnings potential,
[00:06:00.560 --> 00:06:02.560]   you're not making very much, choose the Roth.
[00:06:02.560 --> 00:06:08.320]   And then if you're at a higher income--
[00:06:08.320 --> 00:06:09.400]   no?
[00:06:09.400 --> 00:06:10.840]   I'm 100% in agreement.
[00:06:10.840 --> 00:06:11.480]   I'm shaking no.
[00:06:11.480 --> 00:06:13.800]   You stole exactly what I was going to say.
[00:06:13.800 --> 00:06:16.960]   OK, I was like, I don't want to disagree with you here.
[00:06:16.960 --> 00:06:18.640]   I agree with you on your network theory.
[00:06:18.640 --> 00:06:19.720]   I agree with you.
[00:06:19.720 --> 00:06:21.120]   Don't worry about it.
[00:06:21.120 --> 00:06:23.240]   So anyway, that's something I wouldn't
[00:06:23.240 --> 00:06:25.640]   lose too much sleep over.
[00:06:25.640 --> 00:06:30.000]   A solo 401(k) is a really wonderful tool.
[00:06:30.000 --> 00:06:33.920]   If you own your own business, it's great.
[00:06:33.920 --> 00:06:36.400]   So I own a salsa dancing nightclub.
[00:06:36.400 --> 00:06:38.400]   And I think we're the only nightclub in America
[00:06:38.400 --> 00:06:40.280]   that has a 401(k).
[00:06:40.280 --> 00:06:41.760]   And we do.
[00:06:41.760 --> 00:06:44.720]   We have a solo 401(k) on our nightclub income.
[00:06:44.720 --> 00:06:49.880]   So you, too, can set up a solo 401(k).
[00:06:49.880 --> 00:06:53.320]   There are some really wonderful providers of it.
[00:06:53.320 --> 00:06:56.760]   But I would suggest going to--
[00:06:56.760 --> 00:06:57.840]   I love Vanguard.
[00:06:57.840 --> 00:06:59.520]   We have used theirs before.
[00:06:59.520 --> 00:07:02.960]   But I like the smaller ones, like Employee Fiduciary
[00:07:02.960 --> 00:07:06.160]   or Ubiquity.
[00:07:06.160 --> 00:07:08.640]   They make it a little easier for small business owners
[00:07:08.640 --> 00:07:12.420]   to set them up, rather than these bigger record keepers,
[00:07:12.420 --> 00:07:14.680]   like Vanguard White Labels, Ascensis.
[00:07:14.680 --> 00:07:16.360]   These are just huge record keepers
[00:07:16.360 --> 00:07:18.840]   that are very unwieldy to work with.
[00:07:18.840 --> 00:07:21.200]   So make it easier on yourself.
[00:07:21.200 --> 00:07:22.720]   By the way, I have a solo--
[00:07:22.720 --> 00:07:23.360]   sorry.
[00:07:23.360 --> 00:07:27.480]   I have a solo 401(k) and a solo Roth 401(k).
[00:07:27.480 --> 00:07:30.240]   And quite frankly, I'm not all that happy that Vanguard
[00:07:30.240 --> 00:07:31.640]   jettisoned and sold it.
[00:07:31.640 --> 00:07:33.120]   Yeah.
[00:07:33.120 --> 00:07:37.600]   Neither am I. I was with Vanguard with my solo 401(k).
[00:07:37.600 --> 00:07:40.040]   They went to Ascensure.
[00:07:40.040 --> 00:07:40.540]   Ascensis.
[00:07:40.540 --> 00:07:41.040]   Ascensis.
[00:07:41.040 --> 00:07:41.540]   I'm sorry.
[00:07:41.540 --> 00:07:42.040]   Ascensis.
[00:07:42.040 --> 00:07:45.020]   And the very first thing I tried to do
[00:07:45.020 --> 00:07:48.960]   was I tried to make sure my allocation to my Roth
[00:07:48.960 --> 00:07:52.720]   was in stock, and my allocation to my pre-tax side
[00:07:52.720 --> 00:07:54.200]   was in fixed income.
[00:07:54.200 --> 00:07:56.600]   Again, asset location.
[00:07:56.600 --> 00:07:59.000]   And you couldn't do it there.
[00:07:59.000 --> 00:08:01.160]   Unlike Vanguard, where you could have a Roth account
[00:08:01.160 --> 00:08:03.920]   and you could buy whatever you wanted in your Roth 401(k),
[00:08:03.920 --> 00:08:06.720]   and then they had the pre-tax side of your 401(k).
[00:08:06.720 --> 00:08:09.080]   You could buy bonds over there.
[00:08:09.080 --> 00:08:11.720]   Unfortunately, with Ascensure, it's
[00:08:11.720 --> 00:08:13.920]   much more difficult to try to get it that way.
[00:08:13.920 --> 00:08:16.240]   They said, well, you need to make two contributions.
[00:08:16.240 --> 00:08:19.360]   And when you make your Roth contribution,
[00:08:19.360 --> 00:08:21.480]   you put the fund that you want that to go into.
[00:08:21.480 --> 00:08:23.180]   And then you get a weighted day, and then
[00:08:23.180 --> 00:08:24.400]   you make another contribution.
[00:08:24.400 --> 00:08:26.600]   And then if that's going to go to your pre-tax side,
[00:08:26.600 --> 00:08:28.060]   then you buy a bond fund with that.
[00:08:28.060 --> 00:08:30.480]   I said, all I want is to be able to look at it and say,
[00:08:30.480 --> 00:08:32.480]   what's in my Roth 401(k)?
[00:08:32.480 --> 00:08:33.800]   What's in my pre-tax 401(k)?
[00:08:33.800 --> 00:08:35.520]   So sorry to belabor this, but I'm
[00:08:35.520 --> 00:08:38.560]   not happy with that transfer.
[00:08:38.560 --> 00:08:41.620]   And there have also been the issues with the census
[00:08:41.620 --> 00:08:44.120]   and people with the solo 401(k)s trying
[00:08:44.120 --> 00:08:45.680]   to move their money out.
[00:08:45.680 --> 00:08:47.560]   I don't know if there's anyone in this room who
[00:08:47.560 --> 00:08:49.360]   has been in that bucket.
[00:08:49.360 --> 00:08:51.840]   [INAUDIBLE]
[00:09:02.240 --> 00:09:05.400]   Fidelity doesn't have a Roth solo 401(k) though.
[00:09:05.400 --> 00:09:07.400]   [INAUDIBLE]
[00:09:07.400 --> 00:09:17.960]   I expressed my dissatisfaction to the CEOs,
[00:09:17.960 --> 00:09:20.920]   Salim Ramji, the Vanguard CEO.
[00:09:20.920 --> 00:09:24.680]   And I got a call from a census, and they did fix it.
[00:09:24.680 --> 00:09:29.960]   So if you raise it a little higher, they will fix it.
[00:09:29.960 --> 00:09:33.760]   When the advice that you have all shared here,
[00:09:33.760 --> 00:09:38.000]   thinking about the basics of saving,
[00:09:38.000 --> 00:09:40.920]   making meaningful decisions about how to spend
[00:09:40.920 --> 00:09:43.040]   your money and investing, I'm wondering
[00:09:43.040 --> 00:09:46.760]   how your advice differs if you're
[00:09:46.760 --> 00:09:49.560]   talking to people who are starting out in their 20s
[00:09:49.560 --> 00:09:52.640]   versus there are people who are in their 40s and 50s,
[00:09:52.640 --> 00:09:55.200]   and they're just kind of getting their act together.
[00:09:58.040 --> 00:10:03.280]   I tell young people, as they get raises,
[00:10:03.280 --> 00:10:07.480]   try to keep their lifestyle fairly constant.
[00:10:07.480 --> 00:10:09.520]   Raise it maybe with inflation so they're not
[00:10:09.520 --> 00:10:11.240]   cutting their lifestyle.
[00:10:11.240 --> 00:10:17.880]   And I'm going to steal this from USC, pay yourself first.
[00:10:17.880 --> 00:10:19.440]   There are some things that you can
[00:10:19.440 --> 00:10:23.920]   do in your youth with both of your normal knees
[00:10:23.920 --> 00:10:26.680]   that you maybe can't do later in life.
[00:10:26.680 --> 00:10:30.840]   And the only thing that we teach is
[00:10:30.840 --> 00:10:34.200]   that the context is most important to be thinking
[00:10:34.200 --> 00:10:38.520]   about spending in tenses instead of just spending in general.
[00:10:38.520 --> 00:10:41.920]   So if you were to think of past tense spending,
[00:10:41.920 --> 00:10:44.000]   it looks a lot like credit card debt.
[00:10:44.000 --> 00:10:46.000]   This is spending that happened in the past
[00:10:46.000 --> 00:10:47.280]   that you're still dealing with.
[00:10:47.280 --> 00:10:49.520]   And present spending is pretty obvious what
[00:10:49.520 --> 00:10:50.480]   you might spend tonight.
[00:10:50.480 --> 00:10:52.840]   And then future spending is obviously you
[00:10:52.840 --> 00:10:55.440]   with an eye toward your future self.
[00:10:55.440 --> 00:11:00.360]   And there's no right answer to take the it depends kind
[00:11:00.360 --> 00:11:01.320]   of trump card answer.
[00:11:01.320 --> 00:11:04.840]   But it's interesting, when you're
[00:11:04.840 --> 00:11:10.320]   working with someone that's 25, their idea of future is 30.
[00:11:10.320 --> 00:11:14.280]   And it throws you off a little bit.
[00:11:14.280 --> 00:11:18.360]   But they can still, when their context is correct,
[00:11:18.360 --> 00:11:20.480]   where they're feeling past student loan spending,
[00:11:20.480 --> 00:11:22.680]   they're feeling present wants, they're
[00:11:22.680 --> 00:11:25.960]   looking toward the future, they still, with that tension,
[00:11:25.960 --> 00:11:30.720]   can arrive at a mix, a balance that works for them.
[00:11:30.720 --> 00:11:31.880]   So there is no right answer.
[00:11:31.880 --> 00:11:33.460]   But the only right thing to do is
[00:11:33.460 --> 00:11:36.560]   make sure that you hold all three spending
[00:11:36.560 --> 00:11:42.640]   tenses at the same time and start working on the answer.
[00:11:42.640 --> 00:11:46.880]   And for the people who are first focusing on this now
[00:11:46.880 --> 00:11:51.400]   in their 40s or 50s, what are the most important messages
[00:11:51.400 --> 00:11:52.520]   you would have for them?
[00:11:52.520 --> 00:12:01.800]   I mean, again, I think it goes back to get your savings
[00:12:01.800 --> 00:12:02.840]   rate in order.
[00:12:02.840 --> 00:12:06.760]   And it's much easier, obviously, to ask a 22-year-old just
[00:12:06.760 --> 00:12:09.800]   starting their first job to sign up for 10%.
[00:12:09.800 --> 00:12:11.040]   And we're able to do that.
[00:12:11.040 --> 00:12:15.560]   We have a movement in Arkansas getting every kid coming out
[00:12:15.560 --> 00:12:19.280]   of college the information to save 10%.
[00:12:19.280 --> 00:12:21.400]   And they're just going out and showing us screenshots
[00:12:21.400 --> 00:12:22.600]   of their Vanguard accounts.
[00:12:22.600 --> 00:12:24.080]   And it's really fun.
[00:12:24.080 --> 00:12:25.280]   And it's great.
[00:12:25.280 --> 00:12:28.400]   But what's hard is sitting across from someone
[00:12:28.400 --> 00:12:33.440]   who is 40 or 50, and they haven't been saving 10%.
[00:12:33.440 --> 00:12:34.760]   No one told them to do that.
[00:12:34.760 --> 00:12:36.640]   And they're just catching up.
[00:12:36.640 --> 00:12:42.240]   And for them to get to a 25% savings rate or a 30% savings
[00:12:42.240 --> 00:12:45.480]   rate that might be necessary based on that table
[00:12:45.480 --> 00:12:47.600]   in order to retire by the time they're 65
[00:12:47.600 --> 00:12:50.600]   might require downsizing a house.
[00:12:50.600 --> 00:12:52.360]   Maybe the child-- you've got kids.
[00:12:52.360 --> 00:12:54.200]   The kids don't want to leave the house, right?
[00:12:54.200 --> 00:12:56.440]   These are very emotional decisions.
[00:12:56.440 --> 00:12:59.280]   But let me just tell you this.
[00:12:59.280 --> 00:13:01.920]   I have seen people make that transition.
[00:13:01.920 --> 00:13:03.920]   And I always say, you can always go back.
[00:13:03.920 --> 00:13:06.360]   You can always go back to the spending you had previously.
[00:13:06.360 --> 00:13:08.280]   But what people tell me is that the peace
[00:13:08.280 --> 00:13:11.040]   that they feel after making that decision,
[00:13:11.040 --> 00:13:14.080]   there is no amount of spending that can replace it.
[00:13:14.080 --> 00:13:17.380]   So if you are in that place and you're inspired to do it,
[00:13:17.380 --> 00:13:19.760]   I don't think that you will ever regret it.
[00:13:19.760 --> 00:13:21.600]   We haven't seen anyone do it.
[00:13:21.600 --> 00:13:24.760]   I also want to do a shout out to the Pivot podcast.
[00:13:24.760 --> 00:13:27.320]   Sorry.
[00:13:27.320 --> 00:13:28.520]   Sorry, Catching Up Defy.
[00:13:28.520 --> 00:13:31.640]   I'm so sorry.
[00:13:31.640 --> 00:13:33.960]   Catching Up Defy podcast.
[00:13:33.960 --> 00:13:35.440]   It is a really terrific one.
[00:13:35.440 --> 00:13:40.560]   We have seen people make the pivot that Bill and Jackie
[00:13:40.560 --> 00:13:43.920]   talk about in tremendous ways.
[00:13:43.920 --> 00:13:46.000]   And it's very inspiring for people
[00:13:46.000 --> 00:13:48.160]   who are wanting to make a big change
[00:13:48.160 --> 00:13:50.800]   and be able to get on track for retirement.
[00:13:50.800 --> 00:13:54.640]   I think your podcast is fabulous.
[00:13:54.640 --> 00:13:57.960]   I have found that it's really, really hard to get somebody
[00:13:57.960 --> 00:14:00.680]   who's always been a spender to change behavior.
[00:14:00.680 --> 00:14:02.680]   There's some marginal things that can be done,
[00:14:02.680 --> 00:14:06.600]   like use cash, make it more obvious when
[00:14:06.600 --> 00:14:08.200]   you're spending the money.
[00:14:08.200 --> 00:14:11.840]   But it can be done, but I think it's very hard to be done.
[00:14:11.840 --> 00:14:13.520]   And with Bogleheads, quite frankly--
[00:14:13.520 --> 00:14:15.920]   and I'm absolutely guilty.
[00:14:15.920 --> 00:14:18.680]   My relationship with money is not healthy.
[00:14:18.680 --> 00:14:20.760]   I've been frugal.
[00:14:20.760 --> 00:14:24.280]   I realize I can't take the money with me when I go,
[00:14:24.280 --> 00:14:26.200]   but it's still hard for me to spend.
[00:14:26.200 --> 00:14:28.960]   And I have that problem with a lot of my clients.
[00:14:28.960 --> 00:14:31.040]   And I say, here's the advice that I have,
[00:14:31.040 --> 00:14:32.880]   but it's coming from a hypocrite.
[00:14:32.880 --> 00:14:35.760]   [LAUGHTER]
[00:14:35.760 --> 00:14:39.520]   Here's a question.
[00:14:39.520 --> 00:14:42.160]   What conversation should I be having
[00:14:42.160 --> 00:14:45.040]   with my financial advisor, who I never hear from?
[00:14:45.040 --> 00:14:48.400]   [LAUGHTER]
[00:14:48.400 --> 00:14:50.840]   I think you start with saying, listen, you hypocrite.
[00:14:50.840 --> 00:14:51.720]   No, I'm just kidding.
[00:14:51.720 --> 00:14:54.200]   [LAUGHTER]
[00:14:54.200 --> 00:15:03.560]   The best financial advisor is mostly a therapist, I think,
[00:15:03.560 --> 00:15:08.200]   and understands the psychology and the emotional side.
[00:15:08.200 --> 00:15:10.160]   Anyone can do the math.
[00:15:10.160 --> 00:15:11.880]   I mean, AI, I guess, can do the math now.
[00:15:11.880 --> 00:15:12.720]   Maybe, I don't know.
[00:15:12.720 --> 00:15:14.680]   And so it really is a coach, someone
[00:15:14.680 --> 00:15:16.960]   that reminds you about your plan when you
[00:15:16.960 --> 00:15:20.560]   forgot that you set that plan, someone that reminds you what
[00:15:20.560 --> 00:15:22.240]   the goal is when you've forgotten.
[00:15:22.240 --> 00:15:24.040]   When emotions are louder than the plan,
[00:15:24.040 --> 00:15:27.800]   sometimes the best advisor can just kind of gently point you
[00:15:27.800 --> 00:15:31.160]   back to that plan.
[00:15:31.160 --> 00:15:35.960]   Well, this is a touchy subject, quite frankly.
[00:15:35.960 --> 00:15:38.440]   So I started out as a broker for 10 years,
[00:15:38.440 --> 00:15:40.840]   and then I had my own money management company.
[00:15:40.840 --> 00:15:42.480]   And when I was a broker, I called myself
[00:15:42.480 --> 00:15:44.480]   a financial advisor.
[00:15:44.480 --> 00:15:46.760]   But in fact, I was trying to sell whatever product
[00:15:46.760 --> 00:15:48.600]   they were asking me to sell.
[00:15:48.600 --> 00:15:51.400]   I wasn't really doing advice.
[00:15:51.400 --> 00:15:53.840]   I was selling something, whatever
[00:15:53.840 --> 00:15:55.640]   the brokerage company wanted me to.
[00:15:55.640 --> 00:15:57.560]   And then I figured that out.
[00:15:57.560 --> 00:16:00.440]   And then I said, OK, I really want to manage money.
[00:16:00.440 --> 00:16:01.800]   So when I started managing money,
[00:16:01.800 --> 00:16:05.240]   I was a portfolio manager, managing investment portfolios.
[00:16:05.240 --> 00:16:08.280]   And my goal was to bring in clients and manage their money
[00:16:08.280 --> 00:16:09.720]   so that I get paid higher fees.
[00:16:09.720 --> 00:16:12.840]   I mean, was I a financial advisor at that point?
[00:16:12.840 --> 00:16:14.880]   We used to help them with asset allocation,
[00:16:14.880 --> 00:16:16.420]   and we used to do the fund selection.
[00:16:16.420 --> 00:16:17.880]   But I really wasn't advising them
[00:16:17.880 --> 00:16:21.200]   on how much they should take out or whether they should go ahead
[00:16:21.200 --> 00:16:24.440]   and take their Social Security money.
[00:16:24.440 --> 00:16:26.400]   I wasn't giving them a lot of financial advice.
[00:16:26.400 --> 00:16:28.120]   I really wasn't an advisor.
[00:16:28.120 --> 00:16:32.280]   But I called myself a financial advisor.
[00:16:32.280 --> 00:16:35.600]   Now, when I'm finally doing what Alan Roth is doing,
[00:16:35.600 --> 00:16:38.600]   I think I can say I'm a financial advisor,
[00:16:38.600 --> 00:16:40.520]   because the only thing I do is give advice.
[00:16:40.520 --> 00:16:42.480]   So the first question I would ask,
[00:16:42.480 --> 00:16:45.040]   if your financial advisor is not calling you,
[00:16:45.040 --> 00:16:47.280]   they're probably not a financial advisor.
[00:16:47.280 --> 00:16:49.400]   They probably sold you some products,
[00:16:49.400 --> 00:16:51.160]   or they're probably managing your money
[00:16:51.160 --> 00:16:53.280]   and don't want to hear from you, quite frankly.
[00:16:53.280 --> 00:16:54.700]   Because the best client, if you're
[00:16:54.700 --> 00:16:56.640]   managing somebody's money, the best clients
[00:16:56.640 --> 00:16:59.000]   are the ones who never call.
[00:16:59.000 --> 00:16:59.520]   Never call.
[00:16:59.520 --> 00:17:01.320]   You don't have to spend any time with them.
[00:17:01.320 --> 00:17:03.600]   You get the charge fee every single quarter.
[00:17:03.600 --> 00:17:04.880]   Those are the best clients.
[00:17:04.880 --> 00:17:07.120]   We used to say that internally in the firm.
[00:17:07.120 --> 00:17:08.440]   Oh, those are the best clients.
[00:17:08.440 --> 00:17:09.520]   They never call.
[00:17:09.520 --> 00:17:13.280]   All right, so my point is that financial advice
[00:17:13.280 --> 00:17:19.240]   is a different business than selling products, or insurance,
[00:17:19.240 --> 00:17:20.640]   or managing money.
[00:17:20.640 --> 00:17:24.360]   It really is what Alan's been doing for many years.
[00:17:24.360 --> 00:17:27.280]   I am not a life advisor.
[00:17:27.280 --> 00:17:28.640]   I am not a therapist.
[00:17:28.640 --> 00:17:32.880]   I'm still working on my own life.
[00:17:32.880 --> 00:17:35.840]   A lot of work to do.
[00:17:35.840 --> 00:17:40.200]   So I'm only taking clients that really understand and just need
[00:17:40.200 --> 00:17:44.360]   a little help in some of the complexities of getting out
[00:17:44.360 --> 00:17:47.680]   of some of the tax implications of getting out
[00:17:47.680 --> 00:17:49.160]   of complexities.
[00:17:49.160 --> 00:17:51.240]   And I'm going to brag again.
[00:17:51.240 --> 00:17:55.280]   I have the worst client retention in the business,
[00:17:55.280 --> 00:17:57.600]   doing a one-time plan, giving them
[00:17:57.600 --> 00:18:00.140]   a roadmap of what to do going forward,
[00:18:00.140 --> 00:18:02.760]   because I don't know what the market's going to do next week,
[00:18:02.760 --> 00:18:04.420]   and I don't know what the market's going
[00:18:04.420 --> 00:18:06.240]   to look like four years from now.
[00:18:06.240 --> 00:18:08.040]   So they won't hear from me.
[00:18:08.040 --> 00:18:10.040]   Other than my free monthly newsletter,
[00:18:10.040 --> 00:18:11.000]   they're welcome to get.
[00:18:11.000 --> 00:18:13.240]   And then occasionally, we talk and be friends,
[00:18:13.240 --> 00:18:15.920]   but I don't bill them for it.
[00:18:15.920 --> 00:18:18.240]   Here's the big thing you need to know.
[00:18:18.240 --> 00:18:21.800]   If you have a financial advisor, chances
[00:18:21.800 --> 00:18:23.840]   are you chose this person for a reason, right?
[00:18:23.840 --> 00:18:26.880]   They're really friendly, maybe go to church together.
[00:18:26.880 --> 00:18:29.520]   So there are a lot of people in that situation
