
[00:00:00.000 --> 00:00:22.480]   Thanks for coming. Thanks for having me here. I'm Tang Yuma. I was the CEO and co-founder of 4H-AI.
[00:17:03.420 --> 00:17:12.420]   And another reason to trunk is that sometimes the long document, even if you don't trunk, suppose you can have a way to put all of them in a context window.
[00:17:12.420 --> 00:17:15.420]   Still, when you retrieve, you're going to retrieve on a document level.
[00:17:15.420 --> 00:17:17.420]   Then you retrieve a very, very long document.
[00:17:17.420 --> 00:17:20.420]   And then you should give this long document to a large language model.
[00:17:20.420 --> 00:17:21.420]   It's going to be very, very expensive, right?
[00:17:21.420 --> 00:17:30.420]   If you give 100K tokens to a large language model, every time you answer any question, if you do some cost analysis, you'll find that that core is very, very expensive.
[00:17:30.420 --> 00:17:36.420]   So that's why you do have to work on a smaller unit so that you can cut the cost and be also more focused, right?
[00:17:36.420 --> 00:17:41.420]   So sometimes you give a long document to a large language model, it misses some of the context in the middle.
[00:17:41.420 --> 00:17:45.420]   And you have to use the retrieval to focus on a paragraph, a page, so on and so forth.
[00:17:45.420 --> 00:17:48.420]   So that's what happens right now with the trunking.
[00:17:48.420 --> 00:17:50.420]   But all of these are done by the users.
[00:17:50.420 --> 00:17:53.420]   And our vision is that we're going to do this for you.
[00:17:53.420 --> 00:17:58.420]   And also we're going to get all the meta information from other trunks.
[00:17:58.420 --> 00:18:05.420]   So basically, in a nutshell, the interface will be that you give us a long document and we're going to trunk it for you.
[00:18:05.420 --> 00:18:10.420]   And then also we return the trunks and also the vectors for each of the trunk.
[00:18:10.420 --> 00:18:17.420]   And each of these vectors is not only representing that trunk, but also representing some of the global meta information from other trunks.
[00:18:17.420 --> 00:18:27.420]   So it has all the details of the corresponding trunk and also has some kind of like cross-grid information from other trunks so that you can get the best of the both worlds.
[00:18:27.420 --> 00:18:30.420]   And that's what I'm going to launch soon.
[00:18:30.420 --> 00:18:38.420]   And another one is that we're going to have some fine-tune API at some point to make you so that you can fine-tune with your own data.
[00:18:38.420 --> 00:18:40.420]   So I guess it's exactly time.
[00:18:40.420 --> 00:18:41.420]   Thanks very much.
[00:18:41.420 --> 00:18:42.420]   Thanks very much.
[00:18:42.420 --> 00:18:43.420]   Thanks very much.
[00:18:43.420 --> 00:18:43.420]   Thanks very much.
[00:18:43.420 --> 00:18:45.480]   you
[00:18:45.480 --> 00:18:47.480]   We'll see you next time.

