
[00:00:00.000 --> 00:00:05.520]   Well, Christmas has arrived.
[00:16:21.140 --> 00:16:29.020]   us to come boldly to his throne through Jesus Christ, who can sympathize with our weaknesses—Hebrews
[00:16:29.020 --> 00:16:30.980]   4, verse 15.
[00:16:30.980 --> 00:16:35.420]   Jesus is our sinless, all-sufficient High Priest.
[00:16:35.420 --> 00:16:42.860]   He has offered himself as our substitute in perfect obedience and perfect sacrifice.
[00:16:42.860 --> 00:16:49.820]   All the Father's mercies belong to those who come to God through faith in Jesus.
[00:16:49.820 --> 00:16:59.100]   Let us with confidence draw near to the throne of grace, that we may receive mercy and find
[00:16:59.100 --> 00:17:03.540]   grace to help in time of need—Hebrews 4, verse 16.
[00:17:03.540 --> 00:17:09.260]   The place where mercies are kept is the throne of God.
[00:17:09.260 --> 00:17:16.580]   There is infinite wealth and infinite power and infinite wisdom, and all this stands ready
[00:17:16.580 --> 00:17:24.180]   in the service of mercy because of Jesus Christ, the mercy of God incarnate.
[00:17:24.180 --> 00:17:30.700]   Whether you learn this through pleasure or learn it through pain, like Job, whatever
[00:17:30.700 --> 00:17:33.540]   you do, learn it.
[00:17:33.540 --> 00:17:36.740]   The Lord is compassionate and merciful.
[00:17:36.740 --> 00:17:39.300]   James 5, verse 11.
[00:17:39.300 --> 00:17:40.300]   A prayer.
[00:17:40.300 --> 00:17:45.500]   O Father, how we need mercy!
[00:17:45.500 --> 00:17:47.060]   We sin every day.
[00:17:47.060 --> 00:17:52.580]   We fall short of your command to love you with all our heart and soul and mind and strength.
[00:17:52.580 --> 00:17:54.900]   We are lukewarm in our affections.
[00:17:54.900 --> 00:17:58.300]   All our motives, even at their best, are mixed.
[00:17:58.300 --> 00:17:59.640]   We murmur.
[00:17:59.640 --> 00:18:01.640]   We are anxious about tomorrow.
[00:18:01.640 --> 00:18:04.140]   We get angry too quickly.
[00:18:04.140 --> 00:18:07.180]   We desire what ought not to be desired.
[00:18:07.180 --> 00:18:13.700]   We get irritated at the very attitudes in others that we ourselves displayed five minutes
[00:18:13.700 --> 00:18:15.740]   before.
[00:18:15.740 --> 00:18:19.780]   If you do not show mercy to us, we are undone.
[00:18:19.780 --> 00:18:27.940]   O God, let us see the mercy of Christ and savor it for what it is.
[00:18:27.940 --> 00:18:35.020]   Grant us power to comprehend his love. Incline us to read and ponder the stories of the mercy
[00:18:35.020 --> 00:18:37.320]   of Jesus in the Gospels.
[00:18:37.320 --> 00:18:41.860]   Let us so admire what he did that we imitate him.
[00:18:41.860 --> 00:18:46.460]   But let it be much more than external imitation.
[00:18:46.460 --> 00:18:51.740]   Let it come from the heart where we have been broken for our sin and where we have come
[00:18:51.740 --> 00:19:00.180]   to cherish mercy and live by mercy and hope in mercy and long for mercy.
[00:19:00.180 --> 00:19:05.180]   Make the mercy of Jesus the greatest beauty of the Savior in our eyes.
[00:19:05.180 --> 00:19:13.780]   Let us behold and beholding become like him and bend this taste for mercy outward so that
[00:19:13.780 --> 00:19:15.440]   we show it.
[00:19:15.440 --> 00:19:19.580]   Make us full of his mercy that we might show mercy.
[00:19:19.580 --> 00:19:23.780]   Feel in us the command to do justice and love mercy.
[00:19:23.780 --> 00:19:27.460]   Let us love showing mercy.
[00:19:27.460 --> 00:19:32.460]   Make it so much a part of us that it is who we are.
[00:19:32.460 --> 00:19:40.980]   So unite us to Christ that his mercy is our mercy and our mercy is a presenting of Christ.
[00:19:40.980 --> 00:19:45.340]   He is all we have to give in the end.
[00:19:45.340 --> 00:19:51.540]   Identify his mercy, Father, in our faith and in our patience.
[00:19:51.540 --> 00:19:52.540]   Thank you.
[00:19:52.540 --> 00:19:58.160]   Oh, thank you for Christ and for your mercy to us in him.
[00:19:58.160 --> 00:19:59.900]   In his name we pray.
[00:19:59.900 --> 00:20:00.900]   Amen.
[00:20:00.900 --> 00:20:02.740]   Yes, amen.
[00:20:02.740 --> 00:20:06.620]   Make the mercy of Jesus the greatest beauty of the Savior in our eyes.
[00:20:06.620 --> 00:20:08.380]   That's such a good prayer.
[00:20:08.380 --> 00:20:12.380]   That was a reading from chapter 10 of Pastor John's book, Seeing and Savoring Jesus Christ.
[00:20:12.380 --> 00:20:18.760]   Thank you for listening and on behalf of the team at Desiring God and Pastor John and myself,
[00:20:18.760 --> 00:20:23.100]   we pray that you have a wonderful Christmas celebration with your local church, with your
[00:20:23.100 --> 00:20:24.780]   family and with friends.
[00:20:24.780 --> 00:20:25.980]   We'll see you on Friday.
[00:20:25.980 --> 00:20:26.980]   Amen.
[00:20:26.980 --> 00:20:26.980]   Amen.
[00:20:26.980 --> 00:20:31.980]   Amen.
[00:20:31.980 --> 00:20:41.980]   [BLANK_AUDIO]

