
[00:00:00.040 --> 00:00:09.660]   possiamo
[00:12:20.500 --> 00:12:20.500]   And I'll give you an example of what that means.
[00:12:20.500 --> 00:12:20.500]   And I'll give you an example of what that means.
[00:12:20.500 --> 00:12:50.540]   and I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.540 --> 00:12:50.540]   And I'll give you an example of what that means.
[00:12:50.560 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:20.580 --> 00:13:20.580]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means.
[00:13:50.620 --> 00:13:50.620]   And I'll give you an example of what that means. And I'll give you an example of what that means.
[00:13:50.660 --> 00:14:00.400]   cleaned
[00:14:00.400 --> 00:14:15.840]   showings單
[00:15:11.800 --> 00:15:11.800]   the
[00:15:11.800 --> 00:15:11.800]   the
[00:15:11.800 --> 00:15:11.800]   the
[00:15:11.800 --> 00:15:11.800]   the
[00:15:11.800 --> 00:15:11.800]   the
[00:15:11.800 --> 00:15:11.800]   the
[00:15:11.800 --> 00:15:11.840]   the
[00:15:38.940 --> 00:15:42.000]   come
[00:15:42.000 --> 00:15:45.900]   Ben. I have
[00:15:45.900 --> 00:15:50.860]  ood
[00:18:30.140 --> 00:18:30.140]   and I'm going to be able to pay the property taxes. I didn't understand how naive that was. That was stupid and naive of me. Now there are still countries in the world that do actually protect your property. There are countries in the world that don't charge property taxes. And you can go back and have the political argument on whether that's right or wrong. But the point is today in the United States, you can never actually own your property. You'll always be required to pay property taxes. And if you don't pay those property taxes, your local government can place a lien on your property. Now usually they can't force the
[00:18:30.140 --> 00:18:30.140]   the property. Now usually they can't force the
[00:18:30.180 --> 00:18:40.020]   hear
[00:18:40.020 --> 00:18:43.740]  orp, I, is. wait gun develop pissed
[00:18:43.740 --> 00:18:46.560]  T, or, ", Fight, seasons, glasses, fr,,,,,,,,,,,,, of the men and buy and wherever escal cho என sundilles Gefühl M� Subscribe SentGood Menemics�男
[00:18:46.560 --> 00:18:48.340]   X,
[00:19:30.140 --> 00:19:30.140]   ----
[00:19:30.140 --> 00:19:30.140]   ----
[00:19:59.980 --> 00:20:00.140]   ----
[00:20:00.180 --> 00:20:08.240]   I
[00:20:08.240 --> 00:20:30.080]   how the Typ de
[00:21:00.180 --> 00:21:00.180]   and
[00:21:00.180 --> 00:21:00.180]   and
[00:21:00.180 --> 00:21:00.180]   and
[00:21:00.180 --> 00:21:00.180]   ----
[00:21:00.220 --> 00:21:28.600]   go
[00:25:30.040 --> 00:25:42.620]   of the house.
[00:25:42.620 --> 00:25:49.820]   Well, they now know that there's a lot of money available for them in that asset.
[00:25:49.820 --> 00:25:52.320]   The same thing applies if you had an older mortgage.
[00:25:52.320 --> 00:26:00.020]   You took out a mortgage 20 years ago, well anybody can sit down and run an amortization schedule and have a guess of how much money is in that asset.
[00:26:25.560 --> 00:26:30.060]   So, if your mortgage is 20 years old and you took it out with a beginning value of $20000, they can see that today the taxable value of your house is $450, and now the mortgage has been paid down to probably $500. Well, now in this case, they know, "Hey, if the lawsuit comes against you, there's a good chance they're going to be going for about $400
[00:26:30.060 --> 00:26:30.060]  . It's as simple as that. And all of that information, because it's all public record, is available to any person,
[00:26:30.100 --> 00:26:39.720]   ground
[00:26:39.720 --> 00:26:40.920]   me, weak,,, override
[00:26:40.920 --> 00:26:57.900]   nothing
[00:27:56.620 --> 00:28:06.900]  區
[00:28:06.900 --> 00:28:08.260]   with, 지�,
[00:31:24.500 --> 00:31:26.560]   I'm going to go ahead and talk about the legal counsel.
[00:31:26.560 --> 00:31:38.500]   One of the most important things to do is always to consult legal counsel on this type of discussion. And it's much easier for you to spend a few hundred dollars down at the local bankruptcy attorney's office, where they live and breathe this stuff every day and they can point out all the exemptions to you. It's much easier for you to do that than it is to get it wrong. So go and consult a planner in your state and find out what the appropriate situations are for your state.
[00:31:55.540 --> 00:32:08.520]   The next episode in this series, we talk about pensions and retirement plans and exemption planning for those assets. I hope you'll stay tuned for that in another series. As I close, I want to continue to market to you my credit card course. And I want to point out to you that one of the most valuable things about that is in the credit card course, I do a serious deep dive into the strategies that you can use when taking on debt to provide you with the best possible financial assistance.
[00:32:08.520 --> 00:32:38.540]  .
[00:32:38.540 --> 00:32:38.540]   And I want to point out to you that one of the most valuable things about that is in the credit card course, I do a serious deep dive into the strategies that you can use when taking on debt to provide you with the best possible financial assistance.
[00:32:38.540 --> 00:32:38.540]   Well, the problem is if you go to your house and you take a lot of money and you're not going to take a lot of money, you're not going to take a lot of money, you're not going to take a lot of money.
[00:32:38.540 --> 00:33:08.560]   to pay your attorney. Well, now you, especially if you live in a state with good homestead laws, now you run a problem. As a fleurty and I'd never take money out of my house to go and pay an attorney because if the attorney loses. If I don't pay, I'm going to have the attorney to sue me of course, but if the attorney loses, then now all the sudden I'm out because the attorney is going to require their money up front for them to take the case. I'm not going to get that money back unless we can get the opponent to win the legal fees and the legal fees and the other.
[00:33:08.580 --> 00:33:38.580]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:33:38.580 --> 00:33:38.580]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:33:38.580 --> 00:33:38.580]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:33:38.580 --> 00:33:38.580]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:33:38.580 --> 00:33:38.580]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:33:38.580 --> 00:33:38.580]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:33:38.580 --> 00:33:38.580]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:33:38.580 --> 00:33:38.580]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:33:38.600 --> 00:34:08.600]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:08.600 --> 00:34:08.600]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:08.600 --> 00:34:08.600]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:08.600 --> 00:34:08.600]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:08.600 --> 00:34:08.600]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:08.600 --> 00:34:08.600]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:08.600 --> 00:34:08.600]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:08.600 --> 00:34:08.600]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:08.620 --> 00:34:38.620]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:38.620 --> 00:34:38.620]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:38.620 --> 00:34:38.620]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:38.620 --> 00:34:38.620]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:38.620 --> 00:34:38.620]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:38.620 --> 00:34:38.620]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:38.620 --> 00:34:38.620]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:38.620 --> 00:34:38.620]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:34:38.660 --> 00:35:08.640]  ,
[00:35:08.640 --> 00:35:08.640]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:08.640 --> 00:35:08.640]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:08.640 --> 00:35:08.640]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:08.640 --> 00:35:08.640]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:08.640 --> 00:35:08.640]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:08.640 --> 00:35:08.640]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:08.640 --> 00:35:08.640]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:08.640 --> 00:35:08.640]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:08.660 --> 00:35:38.660]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:38.660 --> 00:35:38.660]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:38.660 --> 00:35:38.660]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:38.660 --> 00:35:38.660]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:38.660 --> 00:35:38.660]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:38.660 --> 00:35:38.660]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:38.660 --> 00:35:38.660]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:38.660 --> 00:35:38.660]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:35:38.680 --> 00:36:08.680]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:08.680 --> 00:36:08.680]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:08.680 --> 00:36:08.680]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:08.680 --> 00:36:08.680]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:08.680 --> 00:36:08.680]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:08.680 --> 00:36:08.680]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:08.680 --> 00:36:08.680]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:08.680 --> 00:36:08.680]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:08.680 --> 00:36:38.700]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:38.700 --> 00:36:38.700]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:38.700 --> 00:36:38.700]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:38.700 --> 00:36:38.700]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:38.700 --> 00:36:38.700]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:38.700 --> 00:36:38.700]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.
[00:36:38.700 --> 00:36:38.700]   I'm not going to get that money back unless we can get the opponent to win the legal fees and the other.

