
[00:00:00.000 --> 00:00:06.700]   I think recovery is, it's not about finding a, let's just use the word peace. It's not about
[00:05:57.020 --> 00:06:01.320]   I've laid out. You know, it might just be, if I'm in the airport, walk away, take a breath,
[00:06:01.320 --> 00:06:07.160]   you know, and, and recognize and remind myself, this is what I'm striving for today. And in this
[00:06:07.160 --> 00:06:14.800]   exercise, we're putting out in front of us, what we might be experiencing based on what we know about
[00:06:14.800 --> 00:06:20.160]   ourselves and what we've learned about ourselves. And when we can do that, we, you know, we can start
[00:06:20.160 --> 00:06:26.600]   living each day a little bit better, or at least I find this with my clients that they can chunk it down
[00:06:26.600 --> 00:06:32.080]   and say, you know, they're not surprised by these emotional reactions. And, and, and, you know,
[00:06:32.080 --> 00:06:36.100]   like I said earlier, we, we want to help people. I try to help people learn how to feel bad,
[00:06:36.100 --> 00:06:43.660]   you know, to, to recognize that, okay, I'm feeling disturbed. I'm in a reaction. Let me lean into it
[00:06:43.660 --> 00:06:47.460]   rather than run away from it. And we run away from it in different ways. I mean, snapping at the lady
[00:06:47.460 --> 00:06:54.400]   at the counter or, you know, might be someone that now I just totally withdraw and don't say anything.
[00:06:54.900 --> 00:06:59.760]   Yeah. Numbing out is very common nowadays. Yeah. I just want to repeat these different
[00:06:59.760 --> 00:07:08.320]   categories. A small list of gratitudes, including perhaps some things that we're grateful that
[00:07:08.320 --> 00:07:13.020]   challenge us or things that we've received or whatever it happens to be a quick list of gratitudes,
[00:07:13.020 --> 00:07:18.740]   plan for the day, what the internal emotional weather is, like, how am I feeling? Irritated,
[00:07:18.740 --> 00:07:24.060]   rested, whatever. It could be three or four things, what to watch for and what to strive for. I do think
[00:07:24.060 --> 00:07:30.860]   it's an extremely useful, obviously zero cost, minimal, minimal time investment protocol for lack
[00:07:30.860 --> 00:07:38.340]   of a better word that everyone, not just people who struggle with addiction, but everyone can benefit
[00:07:38.340 --> 00:07:47.820]   from because I think we, we tend to be so conscious of like what to look for, what to strive for coming
[00:07:47.820 --> 00:07:51.800]   out of a morning journaling or a great night's sleep. But then, you know, it's amazing how by three,
[00:07:51.800 --> 00:07:57.640]   3 p.m. somebody cuts us off in traffic or, you know, or we're being bombarded with too many things and all
[00:07:57.640 --> 00:08:02.480]   of a sudden we're, we're not necessarily unpeeled, but we're not our, our, our best self. Do you think
[00:08:02.480 --> 00:08:04.380]   there's value in sharing your list with somebody else?
[00:08:04.380 --> 00:08:10.920]   Connection with others is so important, especially when I share something like this, that's vulnerable
[00:08:10.920 --> 00:08:16.920]   with them because it's not just about holding me accountable, but now, now I'm, I'm, I'm expressing
[00:08:16.920 --> 00:08:23.500]   it in a way that others see it and we can have communication with them about, you know, having
[00:08:23.500 --> 00:08:28.180]   them share it back with you too. I have like 10 guys that I share this with every day, you know, and not
[00:08:28.180 --> 00:08:31.720]   that the way that I do things is the way that everybody should, but I ask other people that I give
[00:08:31.720 --> 00:08:40.100]   this to, to share it because, you know, you're, you're now expressing it and expressing something
[00:08:40.100 --> 00:08:45.360]   kind of brings it more into existence than if I'm just doing it myself internally. And we've got to
[00:08:45.360 --> 00:08:51.060]   put these things in front of us because we will forget very quickly, you know, or you, like you said,
[00:08:51.060 --> 00:08:53.720]   coming out of a morning journaling or meditation session feels great.
[00:08:53.720 --> 00:08:59.020]   I think most people decide to make a change and then, you know, on one day, and then they don't
[00:08:59.020 --> 00:09:04.420]   think about it again in the way that they thought about it for months. Like it happens every year on
[00:09:04.420 --> 00:09:10.480]   New Year's. They're not putting it out in front of them every day to be a reminder of what I'm going
[00:09:10.480 --> 00:09:11.800]   after, what's important to me.
[00:09:11.800 --> 00:09:18.800]   Thank you.
[00:09:18.800 --> 00:09:20.860]   you

