
[00:00:00.000 --> 00:00:17.520]   Welcome back Portfolio Rescue.
[00:05:01.880 --> 00:05:02.960]   a bear market.
[00:05:02.960 --> 00:05:04.040]   That's it."
[00:05:04.040 --> 00:05:08.520]   I don't know who said that, but for some reason in the 1970s and the 1990s and two times now
[00:05:08.520 --> 00:05:13.860]   since 2008, we've had these 19% and change that don't get to a 20% bear market on a close.
[00:05:13.860 --> 00:05:15.000]   I don't know if you want to call those.
[00:05:15.000 --> 00:05:16.000]   Duncan, what's the ruling here?
[00:05:16.000 --> 00:05:17.000]   Are those bear markets or not?
[00:05:17.000 --> 00:05:19.200]   If they're 19.8%, do you round up?
[00:05:19.200 --> 00:05:20.280]   I'd call that a bear market.
[00:05:20.280 --> 00:05:21.280]   Okay, close enough.
[00:05:21.280 --> 00:05:25.180]   But it's pretty rare outside of a recession to see an all-out crash besides like a 1987.
[00:05:25.180 --> 00:05:27.760]   So maybe that's a feather we can hang on our hat.
[00:05:27.760 --> 00:05:30.040]   Obviously again, you never say never, but that's about the only thing I can think of
[00:05:30.040 --> 00:05:34.040]   now that, you know, obviously the other side of this, predicting recession is pretty hard
[00:05:34.040 --> 00:05:35.040]   too.
[00:05:35.440 --> 00:05:36.440]   The last one was easy.
[00:05:36.440 --> 00:05:40.280]   Tom Hanks got COVID and NBA shut down and everyone was told to stay home for eight weeks.
[00:05:40.280 --> 00:05:42.920]   So we all knew exactly when the recession started.
[00:05:42.920 --> 00:05:46.760]   So that one's kind of tough, predicting recession too.
[00:05:46.760 --> 00:05:50.000]   But I'd say like, there's an old saying that the only people who can nail a bottom are
[00:05:50.000 --> 00:05:51.960]   liars and people who are lucky.
[00:05:51.960 --> 00:05:52.960]   That's pretty much it.
[00:05:52.960 --> 00:05:55.480]   It's hard to do because there's so many emotions going on.
[00:05:55.480 --> 00:05:59.000]   And once stocks start falling, a lot of people will think, "Oh, they're only going to fall
[00:05:59.000 --> 00:06:00.000]   further."
[00:06:00.000 --> 00:06:01.000]   And other people are trying to catch a falling knife.
[00:06:01.000 --> 00:06:05.680]   So unfortunately, I can't pick a bottom for you and there's no data that will tell you
[00:06:05.680 --> 00:06:06.680]   that.
[00:06:06.680 --> 00:06:11.240]   You look at price, but even that is an indicator that can work sometimes and not work other
[00:06:11.240 --> 00:06:12.240]   times.
[00:06:12.240 --> 00:06:16.280]   It seems like the best strategy to calling a bottom is to just continually call for one.
[00:06:16.280 --> 00:06:17.280]   Yes.
[00:06:17.280 --> 00:06:18.280]   Just like calling a crash.
[00:06:18.280 --> 00:06:21.080]   You call a crash every single year, eventually you're going to be right.
[00:06:21.080 --> 00:06:22.080]   It's got to happen.
[00:06:22.080 --> 00:06:23.080]   All right.
[00:06:23.080 --> 00:06:24.080]   What's our next one here?
[00:06:24.080 --> 00:06:25.080]   Okay.
[00:06:25.080 --> 00:06:28.960]   So up next, we have kind of a long one, but I want to remind everyone, we also release
[00:06:28.960 --> 00:06:34.880]   this as a podcast on the Goldmine, and so I do need to read this for our listeners.
[00:06:34.880 --> 00:06:42.200]   So this question is from Brett and he writes, "I'm 25 and make about $55,000 a year.
[00:06:42.200 --> 00:06:45.500]   While you guys give tremendous investing advice, you also mention the importance of gaining
[00:06:45.500 --> 00:06:47.680]   life experiences that make you happy.
[00:06:47.680 --> 00:06:51.240]   I'm planning to take a year to backpack through Europe to see friends and family.
[00:06:51.240 --> 00:06:55.800]   I'll have about $27,000 saved and will probably come home with around 15.
[00:06:55.800 --> 00:06:58.740]   The job I currently have is nothing in my field of interest and I only accepted the
[00:06:58.740 --> 00:07:01.120]   role during the uncertainty of COVID.
[00:07:01.120 --> 00:07:04.840]   I've mentioned my plan to friends and while most are supportive, some are calling me crazy
[00:07:04.840 --> 00:07:08.200]   or saying this is money I could put towards a home or investing.
[00:07:08.200 --> 00:07:10.880]   I have a few thousand saved between my Roth and 401k.
[00:07:10.880 --> 00:07:12.440]   Am I crazy for doing this?"
[00:07:12.440 --> 00:07:14.920]   This is a good one.
[00:07:14.920 --> 00:07:15.920]   I like this.
[00:07:15.920 --> 00:07:16.920]   Yes.
[00:07:16.920 --> 00:07:18.560]   This is very good.
[00:07:18.560 --> 00:07:20.360]   What's the Ben Stiller gif from Starsky and Hutch?
[00:07:20.360 --> 00:07:21.360]   Just do it.
[00:07:21.360 --> 00:07:22.360]   Right?
[00:07:22.360 --> 00:07:23.360]   Do it.
[00:07:23.360 --> 00:07:26.600]   And honestly, I wouldn't listen to your friends and family here.
[00:07:26.600 --> 00:07:27.600]   You're 25.
[00:07:27.600 --> 00:07:28.600]   You're young.
[00:07:28.600 --> 00:07:29.600]   You have no responsibilities.
[00:07:29.600 --> 00:07:32.340]   It sounds like no house, no kids.
[00:07:32.340 --> 00:07:34.140]   You will never get this opportunity again.
[00:07:34.140 --> 00:07:38.100]   And I think the fact that you've already managed to save enough money and plan for this shows
[00:07:38.100 --> 00:07:42.240]   that as far as finances go and saving, you've already got those habits in place.
[00:07:42.240 --> 00:07:46.200]   So yeah, you're going to spend this money and blow it potentially and it could be, if
[00:07:46.200 --> 00:07:48.560]   you compounded it over 40 years, what would it be like?
[00:07:48.560 --> 00:07:51.200]   But think about how those memories will compound.
[00:07:51.200 --> 00:07:55.400]   You will create memories on this trip that will last a lifetime and you will never, ever
[00:07:55.400 --> 00:07:56.640]   regret it.
[00:07:56.640 --> 00:07:59.800]   So I would say just completely do it.
[00:07:59.800 --> 00:08:02.760]   Obviously, the job situation when you come back is something you have to think about.
[00:08:02.760 --> 00:08:05.240]   I don't know if you're planning on working remotely or what you're doing for income in
[00:08:05.240 --> 00:08:07.800]   the meantime, if you're just going to live off your savings for a year.
[00:08:07.800 --> 00:08:09.160]   But when you're in your 20s, do it.
[00:08:09.160 --> 00:08:12.680]   You're never, ever going to have an opportunity to do this again, ever.
[00:08:12.680 --> 00:08:15.560]   I'm not going to be one of these fire people that says, "No, you can't spend money.
[00:08:15.560 --> 00:08:17.320]   You can't enjoy yourself.
[00:08:17.320 --> 00:08:18.320]   You've saved your money.
[00:08:18.320 --> 00:08:19.320]   You planned it out.
[00:08:19.320 --> 00:08:20.320]   You can always play catch up later."
[00:08:20.320 --> 00:08:21.680]   Again, you've already shown that you have those habits.
[00:08:21.680 --> 00:08:25.120]   So the only thing I'd be worried about is taking a year off and finding a job when you
[00:08:25.120 --> 00:08:26.120]   come back.
[00:08:26.120 --> 00:08:30.160]   But if there was ever time to do it, during a pandemic when people's lives are changing
[00:08:30.160 --> 00:08:36.260]   and it's a pretty decent job market, I say you're in your mid-20s, go have fun, stay
[00:08:36.260 --> 00:08:39.080]   in some youth hostels in Europe and enjoy yourself.
[00:08:39.080 --> 00:08:40.080]   Yeah.
[00:08:40.080 --> 00:08:44.960]   It's like Josh said a while back that traveling at 70 isn't more fun than traveling in your
[00:08:44.960 --> 00:08:45.960]   20s or 30s.
[00:08:45.960 --> 00:08:46.960]   No.
[00:08:46.960 --> 00:08:50.400]   I mean, when you're in your 20s, like when I was in college, we stayed in a bunch of
[00:08:50.400 --> 00:08:54.720]   youth hostels and it was so much fun because you're around all these other young people
[00:08:54.720 --> 00:08:59.480]   and you're at the campfire and it's kind of dirty.
[00:08:59.480 --> 00:09:02.160]   But I look back at it now and I go, "I would never stay in that now.
[00:09:02.160 --> 00:09:03.160]   What?
[00:09:03.160 --> 00:09:04.160]   Are you kidding me?"
[00:09:04.160 --> 00:09:06.160]   But back then, you don't care, right?
[00:09:06.160 --> 00:09:09.480]   And you just wing it and you have these plans and you never know where you're going.
[00:09:09.480 --> 00:09:13.600]   I say the memories you'll get from this will compound even more than your money.
[00:09:13.600 --> 00:09:16.400]   I'd say just don't listen to your friends and family.
[00:09:16.400 --> 00:09:17.560]   Have fun.
[00:09:17.560 --> 00:09:18.560]   Enjoy yourself.
[00:09:18.560 --> 00:09:23.120]   But make sure that you can hopefully have a decent income back and use this as an experience
[00:09:23.120 --> 00:09:26.200]   as a jumping off point for finding something that'll help you when you come back for your
[00:09:26.200 --> 00:09:27.200]   job too, I think.
[00:09:27.200 --> 00:09:28.200]   Yeah.
[00:09:28.200 --> 00:09:29.200]   Yeah.
[00:09:29.200 --> 00:09:30.200]   That's good advice.
[00:09:30.200 --> 00:09:31.200]   Yeah.
[00:09:31.200 --> 00:09:32.200]   All right.
[00:09:32.200 --> 00:09:33.200]   Let's do another one.
[00:09:33.200 --> 00:09:34.200]   Okay.
[00:09:34.200 --> 00:09:35.200]   Up next, we have a question from Ulf.
[00:09:35.200 --> 00:09:38.160]   He writes, "I'm nearing retirement and have stocks with substantial gains in both my IRA
[00:09:38.160 --> 00:09:39.400]   and non-IRA accounts."
[00:09:39.400 --> 00:09:43.520]   I'm not exactly sure what he means by non-IRA, but you can discuss that, I guess.
[00:09:43.520 --> 00:09:47.640]   "I need to use some of this for my retirement, but I also want to leave as much as possible
[00:09:47.640 --> 00:09:49.480]   to my children when I die.
[00:09:49.480 --> 00:09:53.400]   Which funds should I use up first, the IRA and pay income tax, but no capital gains,
[00:09:53.400 --> 00:09:57.180]   or the non-IRA with capital gains tax, but no income tax?"
[00:09:57.180 --> 00:09:59.960]   So he's talking here like he has a brokerage account, probably just a taxable brokerage.
[00:09:59.960 --> 00:10:03.280]   So basically, I have this taxable money and this tax-deferred money.
[00:10:03.280 --> 00:10:04.280]   What do I do?
[00:10:04.280 --> 00:10:05.280]   We get a lot of questions like this, actually.
[00:10:05.280 --> 00:10:06.280]   Like, "I'm retiring.
[00:10:06.280 --> 00:10:09.920]   Where do I take it from to make sure that I minimize my tax bill?"
[00:10:09.920 --> 00:10:13.480]   So obviously, we're going to bring in our tax expert here, the one and only Bill Sweet
[00:10:13.480 --> 00:10:14.480]   to help with this one.
[00:10:14.480 --> 00:10:17.280]   General, good to be back with you.
[00:10:17.280 --> 00:10:19.280]   Bill lives and breathes this stuff 24/7.
[00:10:19.280 --> 00:10:21.340]   I do.
[00:10:21.340 --> 00:10:25.400]   So Bill, obviously, this kind of thing is circumstantial depending on your income levels
[00:10:25.400 --> 00:10:27.760]   and what the gains are.
[00:10:27.760 --> 00:10:30.760]   But I think this is a good starting point for a lot of people who are near retirement
[00:10:30.760 --> 00:10:35.640]   and wondering, "Well, what do I do just to minimize the pain here?
[00:10:35.640 --> 00:10:38.000]   Because I'm going to have to pay taxes somewhere."
[00:10:38.000 --> 00:10:40.000]   So what's the rule of thumb on this stuff?
[00:10:40.000 --> 00:10:41.000]   Yeah.
[00:10:41.000 --> 00:10:42.000]   So first off, shout-outs to Ulf.
[00:10:42.000 --> 00:10:45.240]   I think it's really awesome to think about that next generation.
[00:10:45.240 --> 00:10:48.260]   But what we're talking about here, Ben, is the key difference between how assets are
[00:10:48.260 --> 00:10:52.200]   taxed both while the primary calendar is alive and then post-mortem, right?
[00:10:52.200 --> 00:10:54.760]   Because this is grim stuff, but Ulf asked the question.
[00:10:54.760 --> 00:10:56.840]   I think it's noble for him to think about.
[00:10:56.840 --> 00:11:02.120]   So while you're living, any IRA distributions that come from a bucket that involves an IRA,
[00:11:02.120 --> 00:11:07.480]   401(k), 403(b), anything that's a tax-qualified account that's pre-taxed, you get taxed at
[00:11:07.480 --> 00:11:08.680]   ordinary income.
[00:11:08.680 --> 00:11:12.920]   And so you're going to pay somewhere between 10 percent all the way up to 37 percent, Ben,
[00:11:12.920 --> 00:11:16.920]   to your point, about where their income lies in the tax range.
[00:11:16.920 --> 00:11:20.880]   And so that's criteria one for that tax-qualified asset.
[00:11:20.880 --> 00:11:22.640]   Bucket two would be non-qualified assets.
[00:11:22.640 --> 00:11:26.240]   And Duncan, like you point out, it's probably assets held in a brokerage account, so your
[00:11:26.240 --> 00:11:29.560]   normal taxable non-qualified assets.
[00:11:29.560 --> 00:11:36.440]   After you die, what happens is that basically the IRA continues to get taxed at the heirs
[00:11:36.440 --> 00:11:37.440]   tax rate.
[00:11:37.440 --> 00:11:42.200]   And so post-2019, there's this 10-year clock that starts, and basically your beneficiaries
[00:11:42.200 --> 00:11:46.560]   have to take a distribution, and they have to pay the tax on that IRA within 10 years
[00:11:46.560 --> 00:11:47.560]   of your death.
[00:11:47.560 --> 00:11:48.800]   So that's something to consider.
[00:11:48.800 --> 00:11:51.400]   The point that I'm trying to make, though, is that somebody's going to pay tax on that
[00:11:51.400 --> 00:11:53.900]   IRA, either you are or your heirs are.
[00:11:53.900 --> 00:11:56.720]   And so I think there's a little bit of calculus on what the tax rate is.
[00:11:56.720 --> 00:12:00.860]   When we switch over to the non-qualified assets, what happens is, on death, you get a step
[00:12:00.860 --> 00:12:03.520]   up in basis, or potentially a step down.
[00:12:03.520 --> 00:12:07.400]   And so if Ulf is lucky, he's had a good couple of years in the stock market, let's say, and
[00:12:07.400 --> 00:12:11.120]   he has a 50% gain, that gain gets erased on his death.
[00:12:11.120 --> 00:12:15.760]   That means the cost basis for his heirs are going to be whatever the value is at that
[00:12:15.760 --> 00:12:16.760]   time, right?
[00:12:16.760 --> 00:12:17.760]   Correct.
[00:12:17.760 --> 00:12:21.720]   And so if his heirs decide they want to sell their assets right after they inherit it,
[00:12:21.720 --> 00:12:25.320]   in theory, they're not going to pay any income tax, which is a very cool feature.
[00:12:25.320 --> 00:12:28.120]   So IRAs, somebody pays the tax.
[00:12:28.120 --> 00:12:32.920]   Capital gains, if you pass it on after death, and again, it requires you to die, unfortunately,
[00:12:32.920 --> 00:12:34.860]   to get that step up, nobody pays the tax.
[00:12:34.860 --> 00:12:37.260]   So that's probably the key consideration.
[00:12:37.260 --> 00:12:39.640]   The answer is probably a little bit of both, right?
[00:12:39.640 --> 00:12:44.600]   Because any gains for a single individual, assuming you have no other income under $55,000,
[00:12:44.600 --> 00:12:50.000]   your capital gains rate is zero, versus probably about 10%, 12% for your IRA.
[00:12:50.000 --> 00:12:53.660]   So it's a bit of a calculation every year, but I think in general, I would seek to pass
[00:12:53.660 --> 00:12:57.800]   on the asset that would get that step up in basis, and that means the non-qualified assets
[00:12:57.800 --> 00:12:58.800]   would get spent last.
[00:12:58.800 --> 00:13:01.960]   I want to help out Ulf's children here, too.
[00:13:01.960 --> 00:13:05.240]   How are we able to get his kids some money now so they can enjoy it while he's here?
[00:13:05.240 --> 00:13:09.040]   So what is the tax gift situation, like how much can you give to your kids without paying
[00:13:09.040 --> 00:13:10.040]   taxes on it?
[00:13:10.040 --> 00:13:11.040]   What's that deal?
[00:13:11.040 --> 00:13:13.040]   So I want him to give some of his kids some money now, too, not just when he dies.
[00:13:13.040 --> 00:13:14.280]   Yeah, that's a great question.
[00:13:14.280 --> 00:13:17.380]   And there's two taxes we have to worry about here, because what we've been focusing on
[00:13:17.380 --> 00:13:21.440]   before is income tax, but there also is a gift and estate tax.
[00:13:21.440 --> 00:13:24.480]   But there is an exclusion each year, and I think, Ben, that's what you're getting at,
[00:13:24.480 --> 00:13:27.340]   of $16,000 per person to person.
[00:13:27.340 --> 00:13:32.000]   And so if you're gifting to, a married couple can split a gift and you multiply that times
[00:13:32.000 --> 00:13:35.360]   2, that's $32,000, and that is gift tax-free.
[00:13:35.360 --> 00:13:38.880]   However, the basis continues on with the taxable gift.
[00:13:38.880 --> 00:13:42.400]   And so again, back to that step-up in basis thing, that's an important consideration to
[00:13:42.400 --> 00:13:43.520]   keep in mind.
[00:13:43.520 --> 00:13:49.040]   If you pass on low-basis Apple shares that you bought at $0.20 20 years ago, your heirs
[00:13:49.040 --> 00:13:52.280]   are going to pay all the capital gains tax in gift, whereas if they get it through your
[00:13:52.280 --> 00:13:53.720]   estate, they get the step-up.
[00:13:53.720 --> 00:13:56.360]   So a bit of pros and cons on each.
[00:13:56.360 --> 00:14:00.200]   Generally, you see gifting done in cash, unless there's another consideration otherwise.
[00:14:00.200 --> 00:14:01.200]   That works for me.
[00:14:01.200 --> 00:14:02.200]   All right.
[00:14:02.200 --> 00:14:03.200]   Duncan, last question.
[00:14:03.200 --> 00:14:04.200]   Okay.
[00:14:04.200 --> 00:14:09.400]   So this last question is, "I see what's going on right now in the markets, and it's making
[00:14:09.400 --> 00:14:10.400]   me really nervous.
[00:14:10.400 --> 00:14:12.880]   It seems to me that this could get a lot worse.
[00:14:12.880 --> 00:14:14.560]   Should we go to cash?"
[00:14:14.560 --> 00:14:15.880]   All right.
[00:14:15.880 --> 00:14:16.880]   Hand up here.
[00:14:16.880 --> 00:14:17.880]   I'm going to admit something.
[00:14:17.880 --> 00:14:18.880]   This is a plant.
[00:14:18.880 --> 00:14:20.920]   We're going to try something different with this last question.
[00:14:20.920 --> 00:14:24.240]   I think we at Ritholtz do a really good job of putting out content and trying to put things
[00:14:24.240 --> 00:14:28.920]   into context and set expectations ahead of time with our clients.
[00:14:28.920 --> 00:14:32.800]   But there's always a big difference between a blog post and a video and the feelings you
[00:14:32.800 --> 00:14:36.560]   get from seeing the money you've created in your life savings evaporate before your eyes.
[00:14:36.560 --> 00:14:40.200]   So there's this great quote from Mir Statman, who's got a bunch of good books on this.
[00:14:40.200 --> 00:14:44.280]   He's a psychologist, and he's like, "Financial advisors frame themselves as investment managers,
[00:14:44.280 --> 00:14:47.440]   providers of beat-the-market pills, when in truth, they're mostly managers of investors."
[00:14:47.440 --> 00:14:48.440]   Right?
[00:14:48.440 --> 00:14:54.000]   And obviously, most people, most clients, are completely fine when something like this
[00:14:54.000 --> 00:14:55.000]   happens.
[00:14:55.000 --> 00:14:56.000]   They've done it by themselves.
[00:14:56.000 --> 00:14:57.000]   They've done it with an advisor.
[00:14:57.000 --> 00:14:58.800]   They don't really sweat this stuff.
[00:14:58.800 --> 00:15:00.280]   But Bill, you've been doing this a long time.
[00:15:00.280 --> 00:15:01.360]   You've had a lot of conversations before.
[00:15:01.360 --> 00:15:04.520]   What are some of the biggest problems when helping clients through this?
[00:15:04.520 --> 00:15:05.760]   Because that's a different situation.
[00:15:05.760 --> 00:15:10.680]   You know your own personal risk tolerance, but every client has their own differences,
[00:15:10.680 --> 00:15:13.880]   and sometimes what you say may not be what you feel and how you act.
[00:15:13.880 --> 00:15:17.320]   So what is your experience dealing with clients like this, and what are some of the things
[00:15:17.320 --> 00:15:18.480]   that they come to you with?
[00:15:18.480 --> 00:15:19.480]   Yeah.
[00:15:19.480 --> 00:15:23.880]   I think the key, Ben, in situations like this for advisors, if you're trying to help somebody
[00:15:23.880 --> 00:15:28.200]   cope with something like this, is do your best to take the emotion out of it.
[00:15:28.200 --> 00:15:32.160]   Recognize that it is painful to watch your assets decline.
[00:15:32.160 --> 00:15:36.040]   And Ben, one of the things you and I talked in the show prep was, the larger your balance
[00:15:36.040 --> 00:15:39.720]   gets, the larger your portfolio gets, the more pain is involved.
[00:15:39.720 --> 00:15:44.200]   When you see your $1 million account balance decline 10%, that's $100,000.
[00:15:44.200 --> 00:15:47.720]   If you see your $5 million account balance dip, that's a half a million dollars, and
[00:15:47.720 --> 00:15:48.720]   so on.
[00:15:48.720 --> 00:15:53.040]   And so I think validating that it's no fun to look at it is step one, because you do
[00:15:53.040 --> 00:15:58.040]   want to recognize that this is not a fun environment when news and media are sort of so focused
[00:15:58.040 --> 00:15:59.040]   on it.
[00:15:59.040 --> 00:16:04.040]   Especially if you're retired, that money going away, for a young person, a bear market
[00:16:04.040 --> 00:16:06.560]   or a correction is a blessing, because you're buying at lower prices.
[00:16:06.560 --> 00:16:10.720]   If you're retired and you don't have any income coming in anymore, you see that money evaporate,
[00:16:10.720 --> 00:16:14.960]   but you're not building it back up with savings that you're going to be buying at lower prices.
[00:16:14.960 --> 00:16:18.000]   So I understand why, even when you retire, it's even more nerve-wracking.
[00:16:18.000 --> 00:16:19.000]   Yeah.
