
[00:00:00.000 --> 00:00:20.880]   All right, everybody. My name is Ben. I'm going to talk about anthropomorphized agents. I'm calling
[00:07:59.280 --> 00:08:04.240]   talking about. Oh, it's an AI recruiter. Oh, okay, well, it'll probably, like, read resumes and it'll probably
[00:08:04.240 --> 00:08:08.720]   coordinate interviews. And without any additional words. And we found that to just be an incredibly
[00:08:08.720 --> 00:08:15.120]   powerful -- what's the word? Like a jargon. Not even jargon. It's just like the terse way to describe
[00:08:15.120 --> 00:08:20.560]   the things that we're all doing without getting into really complicated discussions about React
[00:08:20.560 --> 00:08:27.200]   frameworks, right? It's just great. Branding. This is -- I would say it's -- I don't know if branding is
[00:08:27.200 --> 00:08:32.400]   quite the right word, but having a handle, like something to describe what it is, is also really,
[00:08:32.400 --> 00:08:36.960]   really powerful, right? I think most people think of, like -- I should just talk about AI for a second.
[00:08:36.960 --> 00:08:40.800]   They call it, like, the algorithm, right? People, like, know the word algorithm. And everyone thinks
[00:08:40.800 --> 00:08:45.760]   an algorithm is just, like, why my news feed is not in order, right? Like, oh, it's the algorithm,
[00:08:45.760 --> 00:08:51.520]   right? It's just this concept that is just very hard to grasp, very hard to grok. But giving something
[00:08:51.520 --> 00:08:56.320]   a name, or a name that's something that we are familiar with, really, really powerful, because now you can
[00:08:56.320 --> 00:09:03.840]   talk about it. And I was really struck by, I don't know, for the Android folks, Google Now used to -- all
[00:09:03.840 --> 00:09:06.960]   the phones are going to buzz -- or, I guess, all the phones that haven't been updated in three years
[00:09:06.960 --> 00:09:10.880]   are going to buzz -- Google Now was essentially what Google Assistant became. And it did all the same
[00:09:10.880 --> 00:09:15.920]   stuff. It set your timers and your reminders. And you would talk to Google Now. But, like, what was
[00:09:15.920 --> 00:09:21.280]   it? It was, like -- it was just, like, this weird conceptual thing. But all of a sudden, it became a Google
[00:09:21.280 --> 00:09:25.440]   Assistant. And you're, like, oh, again, it's a thing that, like, works on my behalf. And it, like,
[00:09:25.440 --> 00:09:31.280]   you have this, like, almost corporeal understanding of, like, what it is. And I'd actually be curious
[00:09:31.280 --> 00:09:36.400]   if Gemini makes this better or worse. But, again, Google Now and the same thing. But just that one
[00:09:36.400 --> 00:09:43.600]   nuance difference made it really easy to understand. Price anchoring. So this is an interesting one. I
[00:09:43.600 --> 00:09:48.800]   don't know that this is, like, well-tested in the field yet. All of this is so new. But if what we're
[00:09:48.800 --> 00:09:52.560]   talking about, again, is just, like, workflow and all of our agents are just doing, like, workflow,
[00:09:52.560 --> 00:09:57.040]   like, what is the mindset for what workflow should cost, right? We look at comps and it's, like, I don't
[00:09:57.040 --> 00:10:01.600]   know, 50 bucks a month. I mean, it's sort of, like, there's, again, making up the numbers. But if you
[00:10:01.600 --> 00:10:08.240]   think about it as a percentage -- or if your price anchored on a junior employee, wow, it changes the
[00:10:08.240 --> 00:10:14.080]   conversation, right? So you talk to an executive and it's, like, yeah, 1/20th of the cost, 1/100th of the cost,
[00:10:14.080 --> 00:10:18.480]   right? Suddenly it changes that nature of that pricing conversation. Again, I don't know that this is fully
[00:10:18.480 --> 00:10:24.480]   battle-tested or if it will withstand tests of time, right? But, like, right now, it's fantastic.
[00:10:24.480 --> 00:10:29.920]   Is that a ferret? What is that? An otter?
[00:10:29.920 --> 00:10:44.480]   That's an awesome picture. So the other reason that this is a really helpful construct is it is a way to
[00:10:44.480 --> 00:10:48.880]   decompose problems, right? So thinking about if, you know, wearing an engineering hat for a moment,
[00:10:48.880 --> 00:10:53.280]   right? What is engineering? It is abstractions about the real world. It is getting the right
[00:10:53.280 --> 00:10:57.440]   levels of abstractions and it's about decomposing problems. Like, that's just all we do all day long,
[00:10:57.440 --> 00:11:03.040]   right? And in a sense, this is, like, an arbitrary way to break down a problem. On the other hand,
[00:11:03.040 --> 00:11:07.520]   it's a really useful way to break down a problem, which is what we've learned, right? So specialized agents
[00:11:07.520 --> 00:11:11.200]   have heard a bunch of talks today talk about specialized agents versus generalized and how
[00:11:11.200 --> 00:11:17.360]   specialized ones perform better, right? It's like, oh, we have a finite set of tools. We have a small
[00:11:17.360 --> 00:11:22.000]   number of inputs. Like, there's just less chance for LMs who are trying to interpret or do tool calling
[00:11:22.000 --> 00:11:28.080]   to get things wrong. And so it just happens to be a really convenient way to break down problems and also
[00:11:28.080 --> 00:11:34.560]   to scale because we can keep subdividing, like, agent problems into more and more specializations.
[00:11:34.560 --> 00:11:39.040]   And so it's just very natural. Again, arbitrary, but, like, even for me, just like, oh, this is very
[00:11:39.040 --> 00:11:43.920]   helpful. I understand that my AI engineer writes code and I understand that my AI copywriter, you know,
[00:11:43.920 --> 00:11:47.840]   writes compelling copy and, like, great. I can get my head around that very, very easily.
[00:11:47.840 --> 00:11:54.960]   Unless it's just fun, right? Which is, you know, that's sort of a company branding question, but, like,
[00:11:54.960 --> 00:11:59.440]   we like making our video game avatars, right? You spend more time making your, like, eyebrows correct
[00:11:59.440 --> 00:12:04.560]   in, like, the Nintendo Switch than you do playing the game. We roll characters in D&D. Like, so, like,
[00:12:04.560 --> 00:12:10.640]   why not have fun, right? So that's sort of a personal perspective on this. Let's talk about the downsides.
[00:12:10.640 --> 00:12:15.200]   And there's not going to be any cute pictures because, you know, this is, like, a sad part. So,
[00:12:15.200 --> 00:12:23.520]   okay, so one of the big glaring ones is, like, we are just inviting inclusivity and stereotype
[00:12:23.520 --> 00:12:28.160]   challenges, right? We were just asking for it. One thing that was fascinating is, you know,
[00:12:28.160 --> 00:12:33.360]   all those avatars were generated, right? So a customer can pick their form and we ought to generate it.
[00:12:33.360 --> 00:12:39.440]   100% of the software engineers are generated with, like, neckties, like, looking like men. They're just,
[00:12:39.440 --> 00:12:42.640]   like, what comes right out of Dolly. And, like, I'm not going to have any, like, perspectives,
[00:12:42.640 --> 00:12:48.480]   but, like, it's just, like, all of them do. So we are just inviting this onto ourselves. And is that
[00:12:48.480 --> 00:12:53.440]   worth it, right? Is that worth it in a work context to really just invite those questions?
[00:12:53.440 --> 00:13:00.720]   Expectations of performance. I don't know what it is because we assume, like, software is going to
[00:13:00.720 --> 00:13:05.760]   always just work. But there's this expectation that, like, these agents are going to perform
[00:13:05.760 --> 00:13:10.160]   really, really well, right? There's just this bar. It's like, oh, well, my -- you know, even though our,
[00:13:10.160 --> 00:13:14.000]   you know, our junior employees don't perform well, there's an expectation that these things are going
[00:13:14.000 --> 00:13:17.520]   to perform in a very high bar. It's just what we've seen. It's like, yes, of course it's going to get
[00:13:17.520 --> 00:13:22.720]   it right 100% of the time. The features I alluded to before, it's like, why are we spending our time
[00:13:22.720 --> 00:13:28.720]   building, like, chat interfaces and all of these things that, like -- it's just -- it's strange. Like,
[00:13:28.720 --> 00:13:34.480]   you almost have to if you're building this type of personified agent. But it's just because it's expected.
[00:13:34.480 --> 00:13:41.520]   Certainly, as a startup, we haven't had to deal with this. But I'm going to guess that when we want to
[00:13:41.520 --> 00:13:46.640]   walk this back and rebrand, like, holy shit, right? Like, there's just, like, walking back when all
[00:13:46.640 --> 00:13:50.400]   of our customers have these -- it's going to be very, very difficult, right? This is not just, like,
[00:13:50.400 --> 00:13:55.520]   changing some colors, right? This is a major, you know, stake in the ground that we would be planting.
[00:13:55.520 --> 00:14:01.520]   And lastly, it could be a distraction, right? Like, all of these fun stuff that we're talking
[00:14:01.520 --> 00:14:08.800]   about around personalities and, like, chatting and preferences -- it's a distraction from the actual
[00:14:08.800 --> 00:14:13.920]   business value, which is, like, document review and data extraction. The thing that, actually,
[00:14:13.920 --> 00:14:19.040]   someone would pay for, it can be distracting. But at the end of the day, honestly, the biggest
[00:14:19.040 --> 00:14:24.560]   downside right now is that it is just a very stark reminder that you're replacing jobs. And, like,
[00:14:24.560 --> 00:14:29.920]   the -- outside the scope of the talk, whether or not that is a good thing or a bad thing or an
[00:14:29.920 --> 00:14:36.080]   inevitable thing, right? However, it is a reality that as soon as you bring this up with a prospect,
[00:14:36.080 --> 00:14:41.440]   like, first thing on their mind. And I'll just be real. I'll tell a story. So, very recently,
[00:14:41.440 --> 00:14:46.880]   I was, you know, pitching sort of, you know, C-suite pitch, right, to a CEO. It was like, oh, this is -- you
[00:14:46.880 --> 00:14:51.760]   can't scale your business. You don't have enough people. You could never hire enough people to scale
[00:14:51.760 --> 00:14:56.080]   the business to meet your aspirations. Have we got a solution for you? It's also shit work. Like, no one wants to
[00:14:56.080 --> 00:15:00.400]   do it. Like, it's great. And he was just loving. He's like, yeah, this is, like, exactly what I need.
[00:15:00.400 --> 00:15:07.520]   And at the cost, it'll be great. And so, set up our first design session. And we get into the meeting.
[00:15:07.520 --> 00:15:12.720]   And he has, you know, one of his, you know, like an IC on the team. He's like, oh, yeah, well, I don't
[00:15:12.720 --> 00:15:17.200]   do any actual work. I'm, like, an executive, right? I brought the person who knows what they're doing.
[00:15:17.200 --> 00:15:22.560]   This is Ben. And he has software that has virtual employees. Can you please tell him what your job is?
[00:15:23.760 --> 00:15:28.400]   Like, my jaw dropped. I was like, oh, shit. Like, I was not at all prepared for that, right?
[00:15:28.400 --> 00:15:32.800]   Just like, oh, I can't talk to you with a straight -- like, whether or not I'm going to actually make
[00:15:32.800 --> 00:15:36.960]   you more productive and you will do better in your -- like, just to lead with that in the conversation
[00:15:36.960 --> 00:15:40.960]   was just, like, really, really hard. So, it's, like, very, very quick, like, on the fly, try to, like,
[00:15:40.960 --> 00:15:45.360]   walk back that concept of, like, oh, no, no, no. Like, this is actually going to help you. And, like,
[00:15:45.360 --> 00:15:49.200]   whether -- we don't know what the future is going to hold. But, like, we are definitely, like,
[00:15:50.080 --> 00:15:53.200]   leaning heavily into this, and it's potentially a huge hurdle.
[00:15:53.200 --> 00:15:58.880]   Got a couple more minutes. I want to talk about, you know, so this was the title,
[00:15:58.880 --> 00:16:03.280]   Personality-Driven Design. And there's this -- I don't actually even have, like, the words for this.
[00:16:03.280 --> 00:16:08.640]   I'll be curious afterwards if folks do. The software we're building and our ability to, you know,
[00:16:08.640 --> 00:16:15.760]   create these roles, these virtual employees that have job descriptions and forms and personal
[00:16:15.760 --> 00:16:20.800]   preferences and, like, there's no, like, checkboxes inside, like, the configuration. It's all very
[00:16:20.800 --> 00:16:29.120]   prompt-driven, right? But it's a way to inject nuance and business logic into these agents with zero
[00:16:29.120 --> 00:16:35.600]   configuration, which means that every single instance is, like, 100 percent -- excuse me -- bespoke for
[00:16:35.600 --> 00:16:40.800]   each customer, which is a really wild concept. When you think about, like, oh, can I reproduce this bug?
[00:16:40.800 --> 00:16:43.840]   Does it work on my machine? It's like, well, of course not. Like, of course this doesn't work.
[00:16:43.840 --> 00:16:48.720]   It's -- every single instance is bespoke, right? So here's just, like -- I mean, this is not a real
[00:16:48.720 --> 00:16:53.280]   one. This is an example, right? A giraffe, right, who has a personality. It's charismatic. It's entertaining.
[00:16:53.280 --> 00:16:58.480]   You review resumes. You read cover letters. You know, you do that, like, operational work.
[00:16:58.480 --> 00:17:05.040]   And here's where it gets super interesting is the preferences, right? Oh, as a hiring manager,
[00:17:05.040 --> 00:17:10.160]   I want to tell my recruiter my priorities, and I like people who went to Ivy League schools,
[00:17:10.160 --> 00:17:14.000]   and I don't like job hopper -- I sound like such an old man -- and I don't like people who hop jobs,
[00:17:14.000 --> 00:17:20.400]   and, like, I like cover letters. Like, okay, well, I can train, you know, lowercase t, train my virtual
[00:17:20.400 --> 00:17:26.960]   employee the way I want to work and the way I want them to work. And so this is just an amazing concept
[00:17:26.960 --> 00:17:30.960]   that, like, again, I really don't have my head around, like, what it means for, like, the future of
[00:17:30.960 --> 00:17:36.560]   software when an entire thing can be molded to meet the business's need, not just, like, oh,
[00:17:36.560 --> 00:17:40.960]   what the PM of the SaaS platform, like, happened to, like, think was a good checkbox, right? And so
[00:17:40.960 --> 00:17:46.640]   this is sort of, like, the future that I'm really, really excited to be working on. Period. Full stop.
[00:17:46.640 --> 00:17:47.680]   Awesome. Thank you, everybody.
[00:17:47.680 --> 00:17:59.680]   Thank you.

