
[00:00:00.000 --> 00:00:07.240]   I asked some different women that I know, you know, if you could ask the world expert in
[00:04:45.640 --> 00:04:50.380]   at the beginning of the podcast are more oxidative. We don't have as many of those glycolytic fibers.
[00:04:50.380 --> 00:04:55.520]   So what we're finding in older research is that there's a misstep in brain lactate metabolism
[00:04:55.520 --> 00:05:00.020]   because the brain hasn't been exposed to it, especially for looking at women who are being
[00:05:00.020 --> 00:05:06.560]   studied now. It hasn't been in a societal context to do that kind of work. The younger we are and the
[00:05:06.560 --> 00:05:12.780]   more that we can keep our glycolytic fibers going by doing high intensity work, the more we're exposing
[00:05:12.780 --> 00:05:19.460]   our brain to lactate, the better we see fast forward to attenuating cognitive decline and reducing the
[00:05:19.460 --> 00:05:24.900]   plaque development of Alzheimer's. This is why women who are in their forties plus, I want them to do the
[00:05:24.900 --> 00:05:30.100]   sprint and the high intensity work for that lactate production. Start early because then you can
[00:05:30.100 --> 00:05:35.000]   take some of those type two B fibers that could either go more aerobic or anaerobic and make them
[00:05:35.000 --> 00:05:41.440]   more anaerobic. So those are the two big things for women who are younger. And then you can play around
[00:05:41.440 --> 00:05:47.980]   with the other things if you want to be an ultra endurance athlete. Yeah, not really ideal, but yeah,
[00:05:47.980 --> 00:05:50.060]   you can do that. That's fine. You'll recover well.
[00:05:50.660 --> 00:05:54.960]   Now, forgive me because you've said it several times throughout today's discussion, but I really
[00:05:54.960 --> 00:06:01.940]   want to drive home a key point that I think for most people, men and women, is not obvious, but
[00:06:01.940 --> 00:06:12.120]   is really important. When you say high intensity, you don't mean a class or a run where you're drenched
[00:06:12.120 --> 00:06:19.460]   in sweat and gasping for air at the end necessarily. Let's disambiguate high intensity from what most people
[00:06:19.460 --> 00:06:24.500]   think of high intensity, which is a really hard workout, a tough class where they had me moving
[00:06:24.500 --> 00:06:30.420]   the whole time, doing a circuit, et cetera. What is the appropriate high intensity workout look like?
[00:06:30.420 --> 00:06:37.460]   Okay. So if I talk about true high intensity interval training, if you're a runner, it's going to the
[00:06:37.460 --> 00:06:44.040]   track and doing sets of 400 and 800s. Okay. So 400, a lap. Yep. 800, two laps.
[00:06:44.040 --> 00:06:51.900]   Right. So you're looking at between a minute and four minutes of hard work at 80% or more
[00:06:51.900 --> 00:06:57.860]   with variable recovery. So that's why I use a track as an example. So if you do one lap and you're like,
[00:06:57.860 --> 00:07:01.720]   oh, I'm going to walk half a lap and then do it again, that's adequate recovery.
[00:07:01.720 --> 00:07:06.020]   Very tough. Yeah. It's hard. Right. But it's not like you're going to be there for 90 minutes doing
[00:07:06.020 --> 00:07:11.140]   as many 400s as you can. Because you have that variable recovery, it might take a half an hour
[00:07:11.140 --> 00:07:16.680]   to 40 minutes max. And then you're gassed out. You can't do it anymore. If you're looking at a gym
[00:07:16.680 --> 00:07:23.380]   gym situation, I like to look at something like every minute on the minute, where you might be
[00:07:23.380 --> 00:07:31.020]   doing 10 deadlifts at moderate intensity weight. And it takes- 10 repetitions. Yeah. So it takes you
[00:07:31.020 --> 00:07:35.880]   50 seconds to complete that. Then you have 10 seconds to move to the next exercise that might be
[00:07:35.880 --> 00:07:42.680]   thrusters. So a squat, clean thruster. So it's a squat pulling the weight up overhead. So you're doing
[00:07:42.680 --> 00:07:48.640]   maybe eight of those in that minute and you might have 10 second recovery. You go to the next exercise
[00:07:48.640 --> 00:07:55.900]   that might be kettlebell swings and you're doing explosive kettlebell swings and you'll finish,
[00:07:55.900 --> 00:08:02.040]   you know, 10 seconds to go. You go to the fourth exercise, I don't know, toes to bar or some other
[00:08:02.040 --> 00:08:08.120]   kind of V-up, some other high intensity. And then you have one minute completely off. So you've had four
[00:08:08.120 --> 00:08:12.000]   minutes of really heavy work with maybe 10 seconds to move to the next exercise.
[00:08:12.260 --> 00:08:15.520]   One minute completely off. And then you repeat that three times.
[00:08:15.520 --> 00:08:19.920]   And this is high intensity interval training. This is not what you would consider resistance training
[00:08:19.920 --> 00:08:24.640]   for sake of building muscle or strength. Correct. You're using these loads, these machines, the,
[00:08:24.640 --> 00:08:29.100]   the pike, you know, hanging from the bar and bringing your knees up or L-sit or something as
[00:08:29.100 --> 00:08:32.780]   a tool to get the heart rate up continually. Yep. Yep.
[00:08:32.780 --> 00:08:37.720]   Very different than resistance training the way most people think about it. Correct. So this is the
[00:08:37.720 --> 00:08:42.380]   cardiovascular high intensity interval training. And the subset of that is sprint interval
[00:08:42.380 --> 00:08:46.840]   training. And this is something that's really, really hard and people don't get it. I don't
[00:08:46.840 --> 00:08:53.320]   necessarily mean running. It can be whatever mode of activity, but it's 30 seconds or less as hard
[00:08:53.320 --> 00:09:00.320]   as you can go. So this is your nine or 10 on your rating and perceived exertion, 110%. It's max effort.
[00:09:00.320 --> 00:09:05.800]   On the rower, on the airdyne bike. Yeah. Running if you like. Yeah. Okay. Any of those things. The skier.
[00:09:05.800 --> 00:09:12.200]   Yeah. Battle ropes. Battle ropes are big. So 30 seconds all out, then rest, what, 10, 15 seconds?
[00:09:12.200 --> 00:09:17.580]   Repeat? No. No. You want to, because now we're looking at that top end where we want
[00:09:17.580 --> 00:09:25.740]   regeneration of your ATP, you know, all of that system and central nervous system recovery. So this
[00:09:25.740 --> 00:09:30.660]   is 30 seconds all out. It could be two or three minutes of recovery. Oh, nice. Because I'm not
[00:09:30.660 --> 00:09:35.300]   looking at Tabata where you're 20 seconds on, 20 seconds off, because that's not the intensity we
[00:09:35.300 --> 00:09:42.180]   want. We want you to go all out and recover well enough to be able to go all out again. You're not
[00:09:42.180 --> 00:09:48.720]   leaving anything in the tank. So those are what I mean by high intensity interval training, or when
[00:09:48.720 --> 00:09:53.480]   you're looking at polarizing your cardiovascular work, that's the top end. Those are the two examples
[00:09:53.480 --> 00:09:59.920]   of your top end. And then your recovery is that long, slow walking on another day where you're not
[00:09:59.920 --> 00:10:05.440]   going and doing a tempo run. You're not doing a 5K easy jog because that puts you in that modern intensity.
[00:10:05.440 --> 00:10:11.940]   And if I heard you correctly earlier, you are suggesting most women do one or two days of high
[00:10:11.940 --> 00:10:18.700]   intensity interval training plus three to four days of resistance training for sake of building strength
[00:10:18.700 --> 00:10:26.460]   and muscle, which looks very different. It's more warm up, do a couple work sets, you know, two to four
[00:10:26.460 --> 00:10:32.920]   work sets of, you know, an overhead press, two or four work sets of maybe a barbell curl, two or four sets of
[00:10:32.920 --> 00:10:37.900]   some dips or whatever, whatever, um, one's, you know, personal choices. Yeah. Yeah. Yeah. Yeah.
[00:10:37.900 --> 00:10:46.280]   Okay. Got it. Um, very different, far and away different than what most people, men or women are
[00:10:46.280 --> 00:10:53.760]   doing out there, which is, um, a lot of Stairmaster treadmill jogging, maybe some lifting for hypertrophy.
[00:10:53.760 --> 00:10:59.100]   Because I look at the general consensus of what's out there in the fitness world is all based on
[00:10:59.100 --> 00:11:05.400]   aesthetics and body composition. So people have this mentality of, I need to be hypertrophy to get
[00:11:05.400 --> 00:11:12.220]   swole and I need to do long, slow stuff on the cardio machine to lose body fat. But that isn't what
[00:11:12.220 --> 00:11:19.880]   we're after. We're after let's create really strong external stress to create adaptations, not only from
[00:11:19.880 --> 00:11:26.140]   a neural and a brain standpoint, that's understanding it, but also feeding down to metabolic change.
[00:11:26.140 --> 00:11:33.140]   .
[00:11:33.140 --> 00:11:35.200]   you

