
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[00:03:12.160 --> 00:03:17.420]   So, talk about the cost of war, that's far beyond, you know, the actual deaths in the war.
[00:03:17.420 --> 00:03:27.580]   We had about 4,500 in Iraq and about 2,500 in Afghanistan of just official airmen, marines, and soldiers on the ground killed, plus contractors and all that.
[00:03:27.580 --> 00:03:35.760]   So that's speaking not just to the things that could be measured, but you can just imagine the scale of suffering that's going on in the veterans' minds.
[00:03:35.760 --> 00:03:36.120]   Yeah.
[00:03:36.120 --> 00:03:37.100]   And you know what, too?
[00:03:37.100 --> 00:03:39.520]   Like, you would have guessed this probably, right?
[00:03:39.520 --> 00:03:41.480]   You probably know more about this subject than me.
[00:03:41.520 --> 00:03:47.340]   There's a New York Times headline, I think, yesterday was, oh my God, look at, or maybe it was the Wall Street Journal.
[00:03:47.340 --> 00:03:53.220]   Look at this insane list of the kinds of drugs that all these depressed soldiers get put on.
[00:03:53.220 --> 00:04:04.360]   Here's 15 different psychoactive drugs, all to temper the side effects of the others and whatever, where, you know, and then they say that this could lead to suicide.
[00:04:04.360 --> 00:04:05.780]   Because, of course, we know that, right?
[00:04:05.780 --> 00:04:12.380]   They even have to say that on TV sometimes that some of these drugs cause suicidal or homicidal obsessions and this kind of thing.
[00:04:12.380 --> 00:04:13.880]   We know that's one of the side effects.
[00:04:13.880 --> 00:04:21.600]   So some percentage of these guys might have made it if the government healthcare system hadn't helped them in the end is another bitter irony.
[00:04:22.240 --> 00:04:26.500]   You know, the whole thing is just, you know, you said we got nothing out of it.
[00:04:26.500 --> 00:04:32.000]   I said half in jest, but it is serious, but it's also, it shows by relief what a disaster this is.
[00:04:32.000 --> 00:04:40.560]   That the only thing we did get out of it, like literally, was advancements in prosthetic limbs for amputees.
[00:04:41.500 --> 00:04:47.580]   Whether they lost their limb in war or otherwise, if you want to boil it down, what did anyone get out of this?
[00:04:47.580 --> 00:04:54.240]   Other than, you know, some people got a dividend check from Lockheed or that kind of thing, but that's not to the benefit of the society whatsoever.
[00:04:54.240 --> 00:04:55.620]   So that does not count.
[00:04:55.620 --> 00:04:58.800]   You don't talk about what society got out of it, what America got out of it.
[00:04:58.800 --> 00:05:01.720]   We have better Luke Skywalker hands than before.
[00:05:01.720 --> 00:05:03.180]   That's it.
[00:05:03.180 --> 00:05:07.860]   I don't think there's any more clear illustrations of the complete failure of the military industrial complex.
[00:05:07.860 --> 00:05:09.400]   How did this begin?
[00:05:09.400 --> 00:05:10.560]   How do we get into this?
[00:05:10.560 --> 00:05:16.400]   Yeah, well, so I'll try to tell the somewhat fast version, although Alex has a kiss of death every time I say that.
[00:05:16.400 --> 00:05:16.860]   Please.
[00:05:16.860 --> 00:05:17.660]   We'll go through.
[00:05:17.660 --> 00:05:18.740]   Please go the slow version.
[00:05:18.740 --> 00:05:23.900]   Okay, so the slow version is, let's start with the end of Vietnam.
[00:05:23.900 --> 00:05:32.980]   Okay, so one major aspect of the end of Vietnam was that Richard Nixon felt like he had to bribe the military industrial complex some other way.
[00:05:33.200 --> 00:05:40.540]   And so one of the things that he did was he turned to the Shah of Reza Pahlavi in Iran and asked him to increase arms sales.
[00:05:40.540 --> 00:05:41.640]   You know, I guess I could go back.
[00:05:41.640 --> 00:05:52.060]   I think everybody knows that the CIA helped with the coup of 1953 to reinstall the Shah, who was the son of the last dictator and had already been in for a while, and they put him back in.
[00:05:52.560 --> 00:05:55.980]   And so now this is, and that was in 53.
[00:05:55.980 --> 00:05:59.160]   So now this is in the early 70s, 20 years later.
[00:05:59.400 --> 00:06:02.900]   And Nixon's saying, hey, you know, what would really help me would be if you would buy a bunch of fighter jets.
[00:06:02.900 --> 00:06:07.240]   So I think it's kind of notorious, right, that Iran still has F-4s and F-14s.
[00:06:07.240 --> 00:06:11.740]   Well, that's where they got him from, was the Nixon and Ford administration, this push to do that.
[00:06:11.740 --> 00:06:18.440]   And the Shah was apparently pretty obsessed with looking very first world with his very fancy first world army that he couldn't really afford.
[00:06:18.440 --> 00:06:21.500]   And it helped to destabilize his regime somewhat.
[00:06:21.840 --> 00:06:32.300]   And then I don't know the full extent of America turning on him before the revolution, but I know that by the time of the revolution in 1979, he was sick with cancer and very sick.
[00:06:32.300 --> 00:06:39.660]   And the Americans secretly knew that CIA knew that, you know, but it was not public knowledge that it was whatever stage four or whatever he was doomed.
[00:06:39.660 --> 00:06:43.680]   And so they knew the revolution was coming and they were trying to figure out how to handle it.
[00:06:43.680 --> 00:06:47.800]   And there was the revolution was coming anyway, and it wasn't just there's going to be a change of leadership.
[00:06:47.800 --> 00:06:53.340]   When we say revolution here, we mean mobs in the street demanding an end of the old regime in huge numbers, right?
[00:06:53.340 --> 00:06:55.640]   A very large scale popular revolution.
[00:06:55.640 --> 00:06:57.780]   And they're trying to figure out how to get the handle on it.
[00:06:57.780 --> 00:07:01.780]   Some of Carter's critics said what he should have done was have the military massacred all those people.
[00:07:01.780 --> 00:07:03.460]   That'll shut them up or like, you know what I mean?
[00:07:03.460 --> 00:07:04.680]   They're trying to figure out what to do.
[00:07:04.680 --> 00:07:11.340]   Well, the CIA and the State Department told Jimmy Carter, listen, this Ayatollah Khomeini, he's not so bad.
[00:07:11.340 --> 00:07:12.240]   We know this guy.
[00:07:12.240 --> 00:07:18.700]   He was part of a group of Shiite clergy who helped to agitate against Mosaddegh in 1953.
[00:07:18.700 --> 00:07:24.700]   And so we have at least some contact and we think that we can deal with him.
[00:07:24.700 --> 00:07:25.840]   Did they actually believe that?
[00:07:25.840 --> 00:07:27.420]   I think so.
[00:07:27.420 --> 00:07:30.420]   Is this incompetence or malevolence?
[00:07:30.840 --> 00:07:45.760]   Like, how does this whole process happen that you go into this process of regime change and keep installing people that are creating more and more instability and destruction in the world?
[00:07:45.760 --> 00:07:50.420]   And then you use that to then justify invading and starting wars.
[00:07:50.420 --> 00:07:51.380]   How does this happen?
[00:07:51.940 --> 00:07:58.940]   Well, there's a lot of things and the whole time we're in our discussion here, we'll be talking about a massive conspiracy of interests at play all the time.
[00:07:58.940 --> 00:08:01.420]   But this is and I've never read a bunch of books about this.
[00:08:01.420 --> 00:08:03.600]   I probably should at least interview these guys.
[00:08:03.600 --> 00:08:08.160]   You'd be interested in this if you don't already know the subject is public choice theory.
[00:08:08.280 --> 00:08:20.980]   It's kind of a branch of libertarian political economy studies that says that essentially one of its major aspects is that there really is no national interest the way you and I might think of it sitting here, hashing it out across the table.
[00:08:20.980 --> 00:08:27.940]   Because what becomes the national interest is the interest of the people in charge of making the decisions for the nation.
[00:08:28.460 --> 00:08:31.660]   And so they all ultimately are private choices, aren't they?
[00:08:31.660 --> 00:08:35.640]   And the national interest becomes subsumed by what's good for me now.
[00:08:35.640 --> 00:08:40.000]   And so telling all my bosses they're all wrong is not good for me now.
[00:08:40.000 --> 00:08:46.740]   And on the very basic level, you know, I've read quite a few books just from former insiders like Daniel Ellsberg and other people like that.
[00:08:46.740 --> 00:08:55.360]   Ellsberg tells a story of where he's the deputy undersecretary of state for making up nonsense or whatever it is or defense of the no, no state, I believe.
[00:08:56.040 --> 00:09:00.120]   And his whole job is making his boss look good, whether he agrees with him or not.
[00:09:00.120 --> 00:09:07.180]   And then the hope is that next year he'll be in his boss's position and his boss will move up one and then his job will be making his boss look good then.
[00:09:07.180 --> 00:09:12.520]   And he explains how the truth and reality just gets washed out of this, right?
[00:09:12.520 --> 00:09:18.900]   Another famous one or should be famous is my friend David Hardy, who wrote the best book about the Waco massacre.
[00:09:18.900 --> 00:09:22.680]   He's a great lawyer and he had been a former interior department cop.
[00:09:23.020 --> 00:09:26.780]   And he said, there's truth and there's falsity, right?
[00:09:26.780 --> 00:09:28.100]   That's the world we live in.
[00:09:28.100 --> 00:09:37.900]   But in government work, there's our position and our position takes place on an entirely different plane than truth and falsity.
[00:09:38.100 --> 00:09:47.480]   Our position is the thing a bunch of people in a room agreed that they would say and do as they can in committee, like come to a consensus.
[00:09:47.740 --> 00:10:01.220]   And then a lot of times, once those decisions are made, now to go back on that decision means that you are attempting to disgrace the people who led the decision making on that thing and say that they were wrong and they shouldn't have done the thing they did.
[00:10:01.220 --> 00:10:02.640]   Now they got to do this instead.
[00:10:02.900 --> 00:10:06.080]   And so you see just an absolute unwillingness to make change.
[00:10:06.080 --> 00:10:15.720]   And this is something that capitalism ultimately, like everybody's got ego problems, but ultimately the boss has to look at an accounting sheet and say, this isn't working.
[00:10:15.720 --> 00:10:18.960]   So I'm gonna have to swallow my pride or go out of business, right?
[00:10:18.960 --> 00:10:20.320]   In government, it's not like that.
[00:10:20.320 --> 00:10:22.460]   The worse they do, the better off they are.
[00:10:22.460 --> 00:10:34.540]   This is why it was the soldiers in Vietnam called the military itself, the army itself, the self-licking ice cream cone, because it means that they cause chaos, but then chaos is their job is to go and fix that.
[00:10:34.540 --> 00:10:40.700]   And so, you know, and if you're a government bureaucrat getting paid way above the market, then what do you want to do?
[00:10:40.700 --> 00:10:41.500]   Go get a job.
[00:10:42.140 --> 00:10:56.580]   A great example of this I cite in the book is at the end of the Afghan war, there are multiple military officers, like not too, too high, but like high enough to be quoted by the news saying, well, now that that's over, we're looking for other things to do.
[00:10:56.580 --> 00:11:06.160]   So we're going to pivot to Africa and go find some Islamists there because we are looking for ways to stay globally engaged because of course that's their interest to do.
[00:11:06.320 --> 00:11:12.620]   Whether that's good for Africa or good for the American people is just, it's kind of a separate question that they're not really dealing with.
[00:11:12.620 --> 00:11:14.620]   And so I think that's a huge part of it.
[00:11:14.620 --> 00:11:19.760]   I mean, one of the things was William Sullivan said that, well, Khomeini, he's like the Iranian Gandhi.
[00:11:19.760 --> 00:11:26.980]   Well, first of all, he's not a pacifist, but second of all, didn't Gandhi kick the British empire out of India?
[00:11:26.980 --> 00:11:28.480]   So what are you saying?
[00:11:28.480 --> 00:11:34.620]   You're deliberately putting in a guy who's going to limit your influence there and it's going to declare independence for you, from you.
[00:11:34.720 --> 00:11:35.820]   How are you going to handle that?
[00:11:35.820 --> 00:11:37.800]   Like, they don't seem to think this through.
[00:11:37.800 --> 00:11:46.520]   And I have to say, one of the great disappointments of growing up is you find out that the rest of the adults aren't so smart.
[00:11:46.520 --> 00:11:48.040]   They're just regular dudes like you.
[00:11:48.040 --> 00:11:51.540]   And I think a lot of times State Department people might have very advanced knowledge.
[00:11:51.540 --> 00:11:53.260]   It doesn't mean they have very advanced wisdom.
[00:11:53.260 --> 00:12:02.780]   You know, there's something else Daniel Ellsberg talks about is when you have access to classified information, then you don't pay any attention to anybody who doesn't.
[00:12:03.120 --> 00:12:04.280]   Because what do they know?
[00:12:04.280 --> 00:12:07.480]   You know, all these things that they couldn't possibly be taking into account.
[00:12:07.480 --> 00:12:12.120]   So you immediately close your circle of people who you listen to.
[00:12:12.120 --> 00:12:21.820]   And I'll tell you a great example of this from my own experience was I interviewed a CIA analyst, apparently a pretty important executive at one time in the terror war named Cynthia Storber.
[00:12:22.320 --> 00:12:24.540]   And I asked her, I forget if it was in the interview or not.
[00:12:24.540 --> 00:12:26.480]   I hope I'm not like speaking out of school.
[00:12:26.480 --> 00:12:29.400]   I believe it was in the interview that I asked her about.
[00:12:29.400 --> 00:12:33.140]   Well, I can't remember the exact context, but I asked her about, well, don't you read Patrick
[00:12:33.140 --> 00:12:33.520]   Coburn?
[00:12:34.220 --> 00:12:35.880]   And she goes, who's Patrick Coburn?
[00:12:35.880 --> 00:12:38.440]   And I go, who's Patrick Coburn?
[00:12:38.440 --> 00:12:43.100]   Patrick Coburn is the most important Anglo in Iraq.
[00:12:43.100 --> 00:12:48.780]   He's the one who understands all of this stuff more and better than all of y'all.
[00:12:48.780 --> 00:12:50.240]   And he writes in the independent.
[00:12:50.240 --> 00:12:51.640]   You can read it for free.
[00:12:51.640 --> 00:12:54.460]   Just register with your email address for God's sake, man.
[00:12:54.600 --> 00:12:55.580]   I can't believe.
[00:12:55.580 --> 00:12:58.120]   And she's like, who even is that?
[00:12:58.120 --> 00:13:02.820]   So a lack of basic curiosity, rigor of research, understanding the situation.
[00:13:02.820 --> 00:13:07.840]   And she could know a lot of secret things, but without understanding what he understands, she
[00:13:07.840 --> 00:13:10.300]   does not understand what she needs to know.
[00:13:10.300 --> 00:13:12.580]   I can promise you that much, you know?
[00:13:12.580 --> 00:13:14.640]   I think it's a basic lack of humility.
[00:13:14.640 --> 00:13:16.320]   The ego grows, the power grows.
[00:13:16.320 --> 00:13:24.260]   Then you, to self-preserve, to maintain power, you start deluding yourself in those closed rooms.
[00:13:24.400 --> 00:13:27.240]   You start shutting yourself off from the reality of the world.
[00:13:27.240 --> 00:13:35.100]   And then as your own delusion drifts, you're more incentivized to grow that delusion, incentivized
[00:13:35.100 --> 00:13:36.660]   to hide, to do secrecy.
[00:13:36.660 --> 00:13:38.420]   And then it just goes off.
[00:13:38.420 --> 00:13:43.800]   And that's why I was hoping you could speak more to Daniel Ellsberg.
[00:13:43.800 --> 00:13:45.860]   So the importance of somebody like that.
[00:13:45.860 --> 00:13:51.440]   So it sounds like, if we think about the machinery of how this happens, it feels like heroic whistleblowers
[00:13:51.440 --> 00:13:52.620]   are essential to this process.
[00:13:52.700 --> 00:13:59.320]   So if we talk about Snowden and Assange, and one of the OGs is Daniel Ellsberg, who, just
[00:13:59.320 --> 00:14:03.560]   reading here, was an American military analyst, economist, and renowned whistleblower, best
[00:14:03.560 --> 00:14:06.120]   known for leaking the Pentagon Papers in 1971.
[00:14:06.120 --> 00:14:09.240]   Can you tell me about who he was and the importance of him?
[00:14:09.660 --> 00:14:12.460]   Oh yeah, well, he's an absolutely brilliant guy.
[00:14:12.460 --> 00:14:16.700]   I'm proud to say I was a friend, you know, for 10, 15 years there.
[00:14:16.700 --> 00:14:18.220]   I don't know, quite a while.
[00:14:18.220 --> 00:14:20.680]   So he endorsed my first two books.
[00:14:20.840 --> 00:14:26.060]   I'm very proud to say, and he did not have a chance to read Provoked, unfortunately.
[00:14:26.060 --> 00:14:29.080]   But I know he would have liked it, because we were email buddies.
[00:14:29.080 --> 00:14:34.760]   And I know that he thought very much along the same lines as me and John Mearsheimer and others,
[00:14:34.760 --> 00:14:36.960]   you know, as people are probably familiar.
[00:14:36.960 --> 00:14:38.720]   I think we'll get more to that.
[00:14:39.300 --> 00:14:41.900]   But on that issue, he was great.
[00:14:41.900 --> 00:14:47.440]   But he was a brilliant genius, and he was a nuclear war planner.
[00:14:47.440 --> 00:14:51.700]   That was his second book, was called The Doomsday Machine, Confessions of a Nuclear War Planner.
[00:14:51.980 --> 00:14:55.220]   And he had liberated a bunch of documents about nuclear war as well.
[00:14:55.220 --> 00:15:01.340]   But he had decided with his quote-unquote co-conspirator that they should just focus on Vietnam first.
[00:15:01.340 --> 00:15:05.080]   That's the thing that matters the most right now, and that was the Pentagon Papers.
[00:15:05.080 --> 00:15:09.560]   And then all the papers that he had hidden away, he gave them to his brother, and his brother lost them.
[00:15:09.560 --> 00:15:14.360]   And so then he decided later, you know what, I remember enough of this stuff that I can go ahead and just write it from memory.
[00:15:14.360 --> 00:15:15.900]   And he was so brilliant, dude.
[00:15:15.900 --> 00:15:23.180]   I mean, I don't know what his IQ was, but I know his father built the first assembly line for the atom bomb.
[00:15:23.180 --> 00:15:27.760]   And they asked him if he would do the same for the H-bomb, and he refused for moral reasons.
[00:15:27.760 --> 00:15:30.540]   So that was his background in the first place.
[00:15:30.540 --> 00:15:32.760]   And he's just such a great guy, man.
[00:15:32.760 --> 00:15:35.480]   So he's the person who was able to see the situation.
[00:15:35.480 --> 00:15:37.020]   Like you mentioned, like that room.
[00:15:37.020 --> 00:15:42.960]   And in that room, understand that there's some shit that's wrong that's going on here.
[00:15:42.960 --> 00:15:43.240]   Yeah.
[00:15:43.240 --> 00:15:44.280]   And to be able to speak up.
[00:15:44.280 --> 00:15:45.820]   And he was at Rand, right?
[00:15:45.820 --> 00:15:46.920]   His job was writing.
[00:15:46.920 --> 00:15:50.660]   And this was when Rand, I guess, was much more important and very closely tied to the Pentagon.
[00:15:50.660 --> 00:15:54.460]   And their whole thing was like writing up game theory, nuclear warfare plans.
[00:15:54.460 --> 00:16:00.160]   One of the things he did was he found out, and Jack Kennedy had to fight like mad.
[00:16:00.160 --> 00:16:04.320]   They had to go back and forth over and over and over to even get the war plan from the Pentagon.
[00:16:04.320 --> 00:16:06.580]   And they finally got the war plan from the Pentagon.
[00:16:06.580 --> 00:16:12.840]   And it said that if we have a nuclear war with the Soviet Union, we nuke every single city in the Soviet Union and China.
[00:16:13.080 --> 00:16:17.920]   So that would be, I don't know if that includes all the Warsaw Pact, but it includes all the republics and China.
[00:16:17.920 --> 00:16:29.200]   And the thinking was that if America and the Soviet Union destroy each other and Europe, well, we'll be damned if we're going to leave Earth to those dirty chi-coms.
[00:16:29.200 --> 00:16:31.020]   So we're going to kill all them too.
[00:16:31.260 --> 00:16:41.360]   And that was the thinking and the thing, and it was Ellsberg told Kennedy that, and Kennedy told Ellsberg to make sure and force the Pentagon to rewrite the plan and narrow that thing down.
[00:16:41.360 --> 00:16:44.460]   So that's part of the guy's background, where he comes from.
[00:16:44.460 --> 00:16:45.500]   I beg people to read.
[00:16:45.500 --> 00:16:51.140]   It's called Secrets, a memoir of Vietnam and the Pentagon Papers, and then also the Doomsday Machine.
[00:16:51.420 --> 00:16:56.020]   And by the way, his first book, Secrets, begins with his first day on the job.
[00:16:56.020 --> 00:16:57.420]   I was joking around earlier.
[00:16:57.420 --> 00:17:00.540]   He's deputy, undersecretary of state for whatever it was.
[00:17:00.540 --> 00:17:02.520]   I can't remember if it's state or defense.
[00:17:02.520 --> 00:17:03.360]   Maybe it was defense.
[00:17:03.360 --> 00:17:04.260]   It had to have been defense.
[00:17:04.260 --> 00:17:05.940]   Forgive me for before.
[00:17:06.260 --> 00:17:12.780]   And then the first thing that happens when he clocks in that day for his job is the thing starts coming across the teletype.
[00:17:12.780 --> 00:17:14.740]   Ships attacked in the Tonkin Gulf.
[00:17:14.740 --> 00:17:17.280]   And then he's reading, oh, never mind.
[00:17:17.280 --> 00:17:17.940]   That was a mistake.
[00:17:17.940 --> 00:17:21.220]   And then he sees the president run with it anyway.
[00:17:21.220 --> 00:17:28.180]   And now the historian Gareth Porter says that actually McNamara lied to LBJ, and he can prove it.
[00:17:28.180 --> 00:17:31.020]   I can't cite all the chapter and verse, but I trust Gareth.
[00:17:31.020 --> 00:17:31.620]   He's great.
[00:17:31.620 --> 00:17:36.300]   And he says that actually it was McNamara lied to LBJ when they knew that it was a mistake.
[00:17:36.300 --> 00:17:39.340]   And the same thing happened again and again.
[00:17:39.340 --> 00:17:45.200]   You take a little piece of information and run with them in order to justify war.
[00:17:45.200 --> 00:17:45.500]   That's right.
[00:17:45.500 --> 00:17:46.500]   That's going to be a theme.
[00:17:46.500 --> 00:17:46.920]   Absolutely.
[00:17:46.920 --> 00:17:50.000]   What was important in the Pentagon Papers?
[00:17:50.000 --> 00:17:50.920]   What are some key ideas?
[00:17:50.920 --> 00:17:51.160]   Okay.
[00:17:51.160 --> 00:17:56.560]   So the Pentagon Papers, first of all, was, and he wrote this while he was working at RAN,
[00:17:56.560 --> 00:18:01.560]   that he had full top-secret clearance, and they were commissioned by Secretary of Defense McNamara.
[00:18:01.560 --> 00:18:09.440]   To write a real secret, top-secret history of the Vietnam War and the entire history of our involvement in Indochina since the end of the Second World War.
[00:18:09.440 --> 00:18:14.960]   And so that was what they did, was they wrote like eyes only for the Secretary of Defense type material.
[00:18:14.960 --> 00:18:16.400]   So it had everything in there.
[00:18:16.400 --> 00:18:25.800]   And Ellsberg was in charge of writing it, along with Leslie Gelb, who shut his mouth and went along and later became the chairman of the Council on Foreign Relations and was a good dog, right?
[00:18:25.800 --> 00:18:28.240]   But anyway, they were the ones who wrote it together.
[00:18:28.240 --> 00:18:33.220]   And Ellsberg was brave enough to liberate the thing, and he tried to leak it to the Senate over and over and over again.
[00:18:33.220 --> 00:18:35.640]   Mike Revell eventually started reading it into the record.
[00:18:35.640 --> 00:18:41.640]   And then finally, the New York Times got the courage to start publishing the thing.
[00:18:41.960 --> 00:18:44.600]   And it showed that they knew that they couldn't win all along.
[00:18:44.600 --> 00:19:01.080]   They knew that the South Vietnamese government could not stand, they did not have popular consent, that the insurgency in the South was not just based on support from the North, but their own indigenous revolution against what they see, you know, as intolerable for an intervention.
[00:19:01.820 --> 00:19:03.780]   And wanted to force this out.
[00:19:03.780 --> 00:19:12.460]   And it's funny, because McNamara later says that, I guess he didn't read the Pentagon paper, that, no, we were just sure that it was the capitalists versus the communists.
[00:19:12.460 --> 00:19:16.620]   Like all this stuff about they didn't want to be ruled over foreign white devils.
[00:19:16.620 --> 00:19:19.500]   And that never occurred to us, you know, like, come on.
[00:19:19.500 --> 00:19:24.360]   You know, as Chomsky said, come on, America invaded South Vietnam.
[00:19:24.360 --> 00:19:31.640]   The government that was inviting us to stay was the government that we put in there, or at least after we overthrew the one we didn't like, the one we put in there.
[00:19:31.680 --> 00:19:37.660]   No different than, as we're going to talk about, Hamid Karzai inviting us to please stay in Afghanistan.
[00:19:37.660 --> 00:19:39.380]   It's like, come on, who's zooming who here?
[00:19:39.380 --> 00:19:42.980]   But, so it showed, and that was the deal.
[00:19:42.980 --> 00:19:50.660]   And that was why it was such a big deal in how he made Nixon's enemies list and all these things, even though it didn't really expose Nixon, it exposed LBJ and the predecessors.
[00:19:50.660 --> 00:20:02.600]   But, um, it was a huge shock that they had been lying to us and lying to us and lying to us deliberately knowing that this is gotta be somebody else's problem, right?
[00:20:02.600 --> 00:20:08.540]   There's a phone call of LBJ saying to a Republican Senator friend of his that I can't be the first president to lose the war.
[00:20:09.680 --> 00:20:12.660]   So, right, he's just gonna retire for us and make it Nixon's problem, right?
[00:20:12.660 --> 00:20:14.180]   Same as George W. Bush said.
[00:20:14.180 --> 00:20:15.240]   Oh, the end of Iraq?
[00:20:15.240 --> 00:20:18.280]   Well, that'll just have to be up to other presidents to decide.
[00:20:18.280 --> 00:20:20.740]   Not my responsibility.
[00:20:20.740 --> 00:20:22.740]   All I did was do it.
[00:20:23.840 --> 00:20:25.160]   You know, and that's how they are.
[00:20:25.160 --> 00:20:37.880]   And they have, that's their, this is also part of the economics of democracy, too, where they have such, and I'm not arguing for the opposite, but I'm just saying the reality is you have such short terms of office, you have very high time preference, right?
[00:20:37.880 --> 00:20:51.920]   Instead of, like, working on long-term projects about what's the future of mankind gonna look like 100 years from now, you're looking at a much shorter time horizon, you know, including who's gonna finance your next election so that you'll have any say-so whatsoever.
[00:20:52.740 --> 00:21:00.000]   And as Yoda and Palpatine agree, that, like, all who have power are afraid to lose it, because what if the other guy had it instead?
[00:21:00.000 --> 00:21:00.820]   It would be worse.
[00:21:00.820 --> 00:21:05.520]   Everybody knows that, which is, of course, a huge part of the story of the American empire here, you know?
[00:21:05.520 --> 00:21:08.600]   Well, but fundamentally, that's cowardly, right?
[00:21:08.600 --> 00:21:12.640]   So what we want from leaders, from great leaders, is courage.
[00:21:12.640 --> 00:21:20.020]   And courage means making difficult decisions that are gonna make the world a better place long-term, the country, a better country long-term.
[00:21:20.320 --> 00:21:27.900]   And that means, if you start a war, that means understanding the full cost of that war and how it's gonna have to end.
[00:21:27.900 --> 00:21:31.080]   And then if you understand the full cost of war, you're not gonna start it.
[00:21:31.080 --> 00:21:31.820]   Yep.
[00:21:31.820 --> 00:21:32.520]   Right.
[00:21:32.940 --> 00:21:39.980]   So how does—how do we go from the CIA, 1979, the Shah, Ayatollah, Nixon?
[00:21:39.980 --> 00:21:45.540]   What is the thread that now starts inching towards the 90s and—
[00:21:45.540 --> 00:21:45.960]   Right.
[00:21:45.960 --> 00:21:48.720]   —towards 9-11 in Iraq?
[00:21:48.880 --> 00:21:50.760]   I know, there's so much, but we're gonna do it, man.
[00:21:50.760 --> 00:21:52.760]   So here's what happens.
[00:21:52.760 --> 00:21:57.400]   America goes ahead and allows Ayatollah to get on the plane in Paris, France, and go home.
[00:21:57.400 --> 00:22:01.660]   Now, I remember even as a kid saying, but aren't the French our friends when they had checked with us before doing that?
[00:22:01.660 --> 00:22:04.300]   In fact, I just recently found the clip of Peter Jennings interviewing him.
[00:22:04.300 --> 00:22:10.580]   And the smartest thing Peter Jennings can think of to say is, so how do you feel on your triumphant return, Mr. Ayatollah?
[00:22:11.220 --> 00:22:13.960]   Right, which USA is just completely aiding and abetting, right?
