
[00:00:00.040 --> 00:00:09.480]   ghee
[00:12:54.440 --> 00:13:10.160]  fin apoy mixes� landing, and, ,,,,,,,,,,, level proved enjoyingدا and but cabผมungen Beth wasn shin two men and circuitinental Wise I really Wait Go in a는 Mr. Ch orig При reviveaut first 내� President�quet económ�in E.icken ;D, .R. Champions use a ign. versch. I, Dong. ,, ., ., ., ., ., ., 구독 ., .,., .,, ., ., ., .,, .,,,.,, .,,,.,,.,.,, ., ., .,--.,., world ., earned the . go ., they's the per not ., the gi� happy .졌 a swap
[00:13:10.200 --> 00:13:17.540]   to the delinquency of minors who, if they just weren't tempted beyond their limits, would be good.
[00:13:17.540 --> 00:13:23.060]   Now, in those days, people still had a fair sense of just who was responsible for whose behavior.
[00:13:23.060 --> 00:13:27.600]   The ad succeeded in enraging a goodly portion of the populace and was soon dropped.
[00:13:27.600 --> 00:13:36.100]   Nearly all of the gun control measures offered by Handgun Control Inc. and its ilk embody the same philosophy.
[00:13:36.100 --> 00:13:39.500]   They are founded on the belief that America�s law-abiding gun owners are the ones who are the most vulnerable to gun violence.
[00:13:39.500 --> 00:13:39.500]   The law abiding gun owners are the ones who are the most vulnerable to gun violence.
[00:13:39.500 --> 00:13:39.500]   They are founded on the belief that America�s law-abiding gun owners are the most vulnerable to gun violence.
[00:13:39.500 --> 00:13:39.500]   They are founded on the belief that America�s law abiding gun owners are the most vulnerable to gun violence.
[00:13:39.540 --> 00:14:09.420]  . They are founded on the belief that America�s law abiding gun owners are the most vulnerable to gun violence.
[00:14:09.420 --> 00:14:09.520]   They are founded on the belief that America�s law abiding gun owners are the most vulnerable to gun violence.
[00:14:09.520 --> 00:14:09.520]   They are founded on the belief that America�s law abiding gun owners are the most vulnerable to gun violence.
[00:14:09.520 --> 00:14:09.520]   They are founded on the belief that America�s law abiding gun owners are the most vulnerable to gun violence.
[00:14:09.520 --> 00:14:09.520]   And they are founded on the belief that America�s law abiding gun owners are the most vulnerable to gun violence.
[00:14:09.540 --> 00:14:39.540]   They are founded on the belief that America�s law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:14:39.540]   The law abiding gun owners are the most vulnerable to gun violence.
[00:14:39.540 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.560 --> 00:15:09.560]   The law abiding gun owners are the most vulnerable to gun violence. The law abiding gun owners are the most vulnerable to gun violence.
[00:15:09.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:15:39.580]   The law abiding gun owners are the most vulnerable to gun violence.
[00:15:39.580 --> 00:16:09.600]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:09.600 --> 00:16:09.600]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:09.600 --> 00:16:09.600]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:09.600 --> 00:16:09.600]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:09.600 --> 00:16:09.600]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:09.600 --> 00:16:09.600]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:09.600 --> 00:16:09.600]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:09.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:16:39.620]   The law abiding gun owners are the most vulnerable to gun violence.
[00:16:39.620 --> 00:17:09.640]   the law abiding gun owners are the most vulnerable to gun violence.
[00:17:09.640 --> 00:17:09.640]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:09.640 --> 00:17:09.640]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:09.640 --> 00:17:09.640]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:09.640 --> 00:17:09.640]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:09.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:17:39.660]   The law abiding gun owners are the most vulnerable to gun violence.
[00:17:39.660 --> 00:18:09.680]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:09.680 --> 00:18:09.680]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:09.680 --> 00:18:09.680]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:09.680 --> 00:18:09.680]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:09.680 --> 00:18:09.680]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:09.680 --> 00:18:09.680]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:09.680 --> 00:18:09.680]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:09.680 --> 00:18:09.680]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:09.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.700 --> 00:18:39.700]   The law abiding gun owners are the most vulnerable to gun violence.
[00:18:39.740 --> 00:19:09.720]   the law abiding gun owners are the most vulnerable to gun violence.
[00:19:09.720 --> 00:19:09.720]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:09.720 --> 00:19:09.720]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:09.720 --> 00:19:09.720]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:09.720 --> 00:19:09.720]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:09.720 --> 00:19:09.720]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:09.720 --> 00:19:09.720]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:09.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:19:39.740]   The law abiding gun owners are the most vulnerable to gun violence.
[00:19:39.740 --> 00:20:09.760]   the law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.760 --> 00:20:09.760]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:09.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:20:39.780]   The law abiding gun owners are the most vulnerable to gun violence.
[00:20:39.780 --> 00:21:09.800]   the law abiding gun owners are the most vulnerable to gun violence.
[00:21:09.800 --> 00:21:09.800]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:09.800 --> 00:21:09.800]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:09.800 --> 00:21:09.800]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:09.800 --> 00:21:09.800]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:09.800 --> 00:21:09.800]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:09.800 --> 00:21:09.800]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:09.800 --> 00:21:09.800]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:09.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:21:39.820]   The law abiding gun owners are the most vulnerable to gun violence.
[00:21:39.820 --> 00:22:09.840]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:09.840 --> 00:22:09.840]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:09.840 --> 00:22:09.840]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:09.840 --> 00:22:09.840]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:09.840 --> 00:22:09.840]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:09.840 --> 00:22:09.840]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:09.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:22:39.860]   The law abiding gun owners are the most vulnerable to gun violence.
[00:22:39.860 --> 00:23:09.880]   the law abiding gun owners are the most vulnerable to gun violence.
[00:23:09.880 --> 00:23:09.880]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:09.880 --> 00:23:09.880]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:09.880 --> 00:23:09.880]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:09.880 --> 00:23:09.880]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:09.880 --> 00:23:09.880]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:09.880 --> 00:23:09.880]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:09.880 --> 00:23:09.880]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:09.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:23:39.900]   The law abiding gun owners are the most vulnerable to gun violence.
[00:23:39.900 --> 00:24:09.920]   the law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.920 --> 00:24:09.920]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.920 --> 00:24:09.920]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.920 --> 00:24:09.920]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.920 --> 00:24:09.920]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.920 --> 00:24:09.920]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.920 --> 00:24:09.920]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.920 --> 00:24:09.920]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.920 --> 00:24:09.920]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:09.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
