
[00:00:00.000 --> 00:00:05.400]   Welcome to Huberman Lab Essentials, where we revisit past episodes for the most potent and
[00:06:40.160 --> 00:06:42.600]   So we have a lot of data on the placebo effect.
[00:06:42.600 --> 00:06:53.200]   But anyways, going back to this question, it was like, all right, we've moved from, you know, medications solving our health crises to behavioral medicine solving our health crises.
[00:06:53.500 --> 00:06:56.460]   Increase people's exercise, increase people's exercise, get them to eat better.
[00:06:56.460 --> 00:07:01.060]   To what degree are these things influenced by our mindsets or beliefs about them?
[00:07:01.060 --> 00:07:06.860]   So to test this question, we ran a seemingly simple study.
[00:07:06.860 --> 00:07:11.000]   This was done at the Yale Center for Clinical and Translational Research.
[00:07:11.620 --> 00:07:28.020]   And we brought people into our lab under the impression that we were designing different milkshakes with vastly different metabolic concentrations, nutrient concentrations, that were designed to meet different metabolic needs of the patrons of the hospital, right?
[00:07:28.020 --> 00:07:34.160]   So you're going to come in, you're going to taste these milkshakes, and we're going to measure your body's physiological response to them.
[00:07:34.160 --> 00:07:44.000]   This was a within-subjects design, so it was the same people consuming two different milkshakes, two different time points separated by a week.
[00:07:44.000 --> 00:07:51.540]   And at one time point, they were told that they were consuming this really high-fat, high-caloric, indulgent milkshake.
[00:07:51.540 --> 00:07:55.800]   It was like a 620-calorie, super-high-fat and sugar.
[00:07:55.800 --> 00:08:01.840]   At the other time point, they were told that it was a low-fat, low-calorie, sensible sort of diet shake.
[00:08:02.540 --> 00:08:04.580]   In reality, it was the exact same shake.
[00:08:04.580 --> 00:08:05.560]   It was right in the middle.
[00:08:05.560 --> 00:08:09.260]   It was like 300 calories, moderate amount of fats and sugars.
[00:08:09.260 --> 00:08:13.580]   And we were measuring their body's gut peptide response to this shake.
[00:08:13.580 --> 00:08:16.520]   And in particular, we were looking at the hormone ghrelin.
[00:08:16.520 --> 00:08:23.000]   Medical experts call it the hunger hormone, rises in ghrelin, signal, you know, seek out food.
[00:08:23.000 --> 00:08:30.200]   And then theoretically, in proportion to the amount of calories you consume, ghrelin levels drop, signaling to the brain,
[00:08:30.660 --> 00:08:38.320]   okay, you don't need to eat so much anymore, you can stop eating, and also revving up the metabolism to burn the nutrients that were just ingested.
[00:08:38.320 --> 00:08:46.880]   What we found in this study was that when people thought they were consuming the high-fat, high-calorie, indulgent milkshake,
[00:08:46.880 --> 00:08:54.120]   their ghrelin levels dropped at a three-fold rate, stronger than when they thought they were consuming the sensible shake.
[00:08:54.120 --> 00:09:03.960]   So essentially, their bodies responded as if they had consumed more food, even though it was the exact same shake at both time points.
[00:09:04.440 --> 00:09:12.260]   It was, to my knowledge, one of the first studies to show any effects of just believing that you're eating something different on your physiology.
[00:09:12.260 --> 00:09:21.880]   The second piece was really important as well, and especially for me, this was one study that really transformed the way I think about how I approach eating.
[00:09:21.880 --> 00:09:29.100]   And that was the manner in which it affected our physiology was somewhat counterintuitive.
[00:09:29.100 --> 00:09:35.520]   So I had gone in thinking, the better mindset to be in when you eat is that you're eating healthy, right?
[00:09:35.660 --> 00:09:36.960]   Like, you know, it just makes sense.
[00:09:36.960 --> 00:09:39.320]   Like, placebo effects, think you're healthy, you'll be healthy, you know?
[00:09:39.320 --> 00:09:45.220]   But that was a far too simplistic way of thinking about it, and in fact, it was the exact opposite.
[00:09:45.220 --> 00:09:53.960]   When these participants thought they were eating sensibly, their bodies left them still feeling physiologically hungry, right?
[00:09:53.960 --> 00:10:00.140]   Not satiated, which could potentially be corresponding to slower metabolism and so forth.
[00:10:00.580 --> 00:10:06.100]   So if you're in the interest of maintaining or losing weight, what's the best mindset to be in?
[00:10:06.100 --> 00:10:11.740]   It's to be in a mindset that you're eating indulgently, that you're having enough food, that you're getting enough.
[00:10:11.740 --> 00:10:17.720]   And at least in that study, we showed that has a more adaptive effect on ghrelin responses.
[00:10:17.720 --> 00:10:19.100]   It's really remarkable.
[00:10:19.100 --> 00:10:22.880]   It raises a question that I just have to ask.
[00:10:22.880 --> 00:10:25.760]   You've got people who are strictly plant-based.
[00:10:26.580 --> 00:10:34.020]   You've got people who are omnivores, you've got people who are carnivores, you have every variation, you have intermittent fasting, also called time-restricted feeding.
[00:10:34.020 --> 00:10:46.040]   And it seems like once a group kind of plugs into a particular mode of eating that they feel works for them, for whatever reason, energy-wise, mentally, maybe they're looking at their blood profiles, maybe they're not.
[00:10:46.260 --> 00:10:54.420]   Each camp seems to count on the health benefits and how great they feel, could it be that mindset effects are involved there?
[00:10:54.420 --> 00:11:05.400]   It does matter what it is, and it matters what you think about that diet and what others around you and in our culture think about that diet.
[00:11:05.400 --> 00:11:09.020]   Because those social contexts inform our mindsets.
[00:11:09.020 --> 00:11:16.360]   Our mindsets interact with our physiology in ways that produce outcomes that are really important.
[00:11:16.800 --> 00:11:22.260]   So let's not get dualistic and say, you know, it's either all in the mind or not in the mind.
[00:11:22.260 --> 00:11:29.100]   Let's also not be unnecessarily combative and say, oh, it should be all plant-based or, you know, keto or whatever.
[00:11:29.100 --> 00:11:36.180]   It's all of those things are a combined product of what you're actually doing and what you're thinking about.
[00:11:36.280 --> 00:11:51.160]   If you believe in it, if you don't, if you're skeptical or, you know, in some cases you think you should be eating a certain way and then you don't live up to that, it might have an adverse effect because of the stress and the anxiety associated with that.
[00:11:51.160 --> 00:12:12.240]   Yeah, there was a paper a year or two ago published in Science Magazine about brain regions involved in psychogenic fever that if people or you can actually do this in animal models too, think that they are sick, you get a genuine one to three degree increase in body temperature, one to three degrees Fahrenheit increase in body temperature, which is pretty impressive.
[00:12:12.240 --> 00:12:12.780]   Yeah.
[00:12:12.780 --> 00:12:16.040]   And I guess it plays into, you know, symptomology generally.
[00:12:16.040 --> 00:12:18.480]   So I'm a believer in belief effects.
[00:12:18.660 --> 00:12:33.160]   Well, it's also, and I would just say that, you know, the term that we use in our field is nocebo effect for that, which is sort of the placebo's ugly stepsister, you know, it's when negative beliefs cause negative consequences.
[00:12:33.160 --> 00:12:45.060]   So you are told you will have, you know, it's, it's very well demonstrated that when people are told about certain side effects, they're far more likely to experience those side effects.
[00:12:45.700 --> 00:12:50.040]   I'd love for you to tell us about, um, the hotel workers study.
[00:12:50.040 --> 00:12:56.920]   Yeah, no, I think that this is a really good example of this phenomenon, right?
[00:12:56.920 --> 00:13:02.900]   That the total effect of anything is a combined product of what you're doing and what you think about what you're doing.
[00:13:03.260 --> 00:13:10.680]   And we found a group of people who were getting a lot of exercise, but weren't aware of it, a group of hotel housekeepers.
[00:13:10.680 --> 00:13:17.420]   So these are women working in hotels who were on their feet all day long, pushing carts.
[00:13:17.420 --> 00:13:27.260]   It was clear that they were getting above and beyond at least the surgeon general's requirements at that time, which were to accumulate 30 minutes of moderate physical activity per day.
[00:13:27.260 --> 00:13:34.640]   But what was interesting was when we went in and surveyed them and asked them, hey, how much exercise do you think you're getting?
[00:13:35.000 --> 00:13:41.180]   A third of them said zero, and the average response was like a three on a scale of zero to 10.
[00:13:41.180 --> 00:13:47.600]   So it's clear that even though these women were active, they didn't have that mindset, right?
[00:13:47.600 --> 00:13:57.200]   They had the mindset that their work was just work, hard, maybe thankless work that led them to feel tired and, you know, in pain at the end of the day.
[00:13:57.200 --> 00:14:00.320]   But not that it was good for them, that it was good exercise.
[00:14:00.320 --> 00:14:09.640]   So what we did was we took these women and we randomized them into two groups and we told half of them that their work was good exercise.
[00:14:09.640 --> 00:14:12.360]   In this case, it was true, factual information.
[00:14:12.360 --> 00:14:15.360]   We oriented them to the surgeon general's guidelines.
[00:14:15.360 --> 00:14:18.480]   We oriented them to the benefits that they should be receiving.
[00:14:18.480 --> 00:14:26.900]   And then we had measured them previously on their physiological metrics like weight and body fat and blood pressure.
[00:14:26.900 --> 00:14:30.180]   And we came back four weeks later and we tested them again.
[00:14:30.180 --> 00:14:38.040]   And what we found was that these women, even though they hadn't changed anything in their behavior, they had benefits to their health.
[00:14:38.040 --> 00:14:39.220]   So they lost weight.
[00:14:39.220 --> 00:14:43.960]   They decreased their systolic blood pressure by about 10 points on average.
[00:14:43.960 --> 00:14:54.440]   What this reveals is that we have to be more thoughtful in how we go about motivating people to exercise or teaching people about the benefits.
[00:14:54.440 --> 00:15:01.940]   Our current approach is just to basically tell people writ large, you know, here's what you need to get.
[00:15:01.940 --> 00:15:09.700]   The intention with that is to motivate them because, you know, public health officials think, well, if I just tell people you need to get more exercise because it's good for you, they'll do it.
[00:15:09.700 --> 00:15:14.560]   But we know now that that doesn't work, that these these guidelines are not motivational.
[00:15:14.560 --> 00:15:15.780]   They don't change our behavior.
[00:15:15.780 --> 00:15:30.720]   And what our work adds to that is that not only is it not motivational, it also creates potentially a mindset that, you know, makes people worse off than they were without knowing about the guidelines.
[00:15:30.720 --> 00:15:36.160]   I'd love for us to talk about stress because your lab has worked extensively on this.
[00:15:36.160 --> 00:15:41.200]   Could you tell us at some point about the study that you've done about informing people about the different effects of stress?
[00:15:41.200 --> 00:15:51.760]   But also if there's an opportunity, some takeaways about how we could each conceptualize stress in ways that would make it serve us better.
[00:15:51.760 --> 00:15:52.320]   Great.
[00:15:52.320 --> 00:15:59.920]   Yeah, so I had, you know, I'd come off the heels of doing some research in exercise and diet.
[00:15:59.920 --> 00:16:03.600]   The obvious next thing to think about was stress, right?
[00:16:03.600 --> 00:16:18.480]   The public health message was very clear, right, that stress was bad, right, unmitigated and harmful on our health, our productivity, our relationships, our fertility, our cognition.
[00:16:19.280 --> 00:16:30.040]   You name it, right, the messages that were out there, by and large, oversimplified messages focused on the damaging consequences of stress.
[00:16:30.040 --> 00:16:40.800]   But as you know, if you actually dive deeper into the literature on stress and the origins of stress, what you find is that, you know, the literature, like most literatures, is not so clear cut.
[00:16:40.920 --> 00:16:55.680]   And in fact, there's a large amount of evidence to support the fact that the experience of stress, meaning encountering adversity or challenge in one's goal-related efforts, does not have to be debilitating.
[00:16:55.680 --> 00:17:03.320]   And in many cases, the body's response was designed to enhance our ability to manage at those moments, right?
[00:17:03.320 --> 00:17:12.200]   So some research showing that stress narrows our focus, increases our attention, speeds up the rate at which we're able to process information.
[00:17:12.440 --> 00:17:25.200]   There was some research out there showing this phenomenon of physiological toughening, the process by which the release of catabolic hormones and the stress response recruit or activate anabolic hormones,
[00:17:25.200 --> 00:17:30.900]   which help, as you know, build our muscles, build our, you know, neurons to help us grow and learn.
[00:17:30.900 --> 00:17:39.960]   And there was a whole body of emerging research on post-traumatic growth or this phenomenon in which even the experience of the most traumatic stressors,
[00:17:39.960 --> 00:17:47.260]   the most chronic and enduring stressors, could lead not to destruction, but in fact to the exact opposite,
[00:17:47.260 --> 00:17:57.040]   to an enhanced sense of connection with our values, connection to others, sense of joy and passion for living.
[00:17:57.040 --> 00:18:03.360]   My work since then has been not to try to argue that stress is enhancing and not debilitating,
[00:18:03.360 --> 00:18:08.360]   but try to point out that the true nature of stress is a paradox.
[00:18:08.360 --> 00:18:13.760]   The true nature of stress is manifold and complex and lots of things can happen.
[00:18:14.800 --> 00:18:21.300]   But to question, what's the role of our mindset about stress in shaping our response to stress?
[00:18:21.300 --> 00:18:27.560]   So some work had already been done looking at your perception of the stressor, right?
[00:18:27.560 --> 00:18:34.020]   So do you view a stressor like a challenging exam or a health diagnosis as a challenge or a threat?
[00:18:34.020 --> 00:18:40.740]   And that had shown pretty convincingly that when you view stressors more as a challenge, less as a threat,
[00:18:40.860 --> 00:18:45.740]   that your brain and body response more adaptively.
[00:18:45.740 --> 00:18:51.960]   What our question was, was to take the sort of psychological construal one step higher in abstraction.
[00:18:51.960 --> 00:18:55.880]   So not just the stressor, but the nature of stress, right?
[00:18:55.880 --> 00:19:01.380]   Do you, you know, at that core level, do you view stress as something that's bad,
[00:19:01.380 --> 00:19:03.880]   is going to kill us and therefore should be avoided?
[00:19:04.140 --> 00:19:09.780]   Or do you view some stress as natural and something that's going to enhance us?
[00:19:09.780 --> 00:19:17.800]   And so we set out to design a series of studies to test the extent to which these mindsets about stress mattered.
[00:19:18.140 --> 00:19:26.560]   And we found in a number of correlational studies that that more enhancing stress mindset was linked to better health outcomes,
[00:19:26.560 --> 00:19:29.560]   better well-being and higher performance.
[00:19:29.560 --> 00:19:33.660]   So then we set out to see if we could change people's mindsets.
[00:19:34.200 --> 00:19:45.320]   And in our first test of this, we decided to do so by creating these multimedia films that showcased research, anecdotes, facts about stress,
[00:19:45.320 --> 00:19:50.120]   all true, but oriented towards one mindset or the other.
[00:19:50.120 --> 00:19:56.680]   So you can imagine one set of films showed basically the messages that were out there in the public health context.
[00:19:56.680 --> 00:20:02.920]   The other showed, hey, you know, stress is, you know, stress has been linked to these things.
[00:20:02.920 --> 00:20:05.680]   But in fact, the body stress response was designed to do this.
[00:20:05.680 --> 00:20:06.720]   Did you know it could do that?
[00:20:06.720 --> 00:20:13.820]   And we had empowering images like LeBron James making the free throw in the final minute versus missing it.
[00:20:13.820 --> 00:20:19.340]   So either people saw a video that basically made it seem like stress will diminish you, crush you, reduce you,
[00:20:19.680 --> 00:20:29.420]   or a video, very similar stress will grow you, bring out your best, and maybe even take you to heightened levels of performance that you've never experienced before.
[00:20:29.420 --> 00:20:30.080]   Exactly.
[00:20:30.080 --> 00:20:37.060]   And our question was, does orienting people to different mindsets change how they respond to stress?
[00:20:37.060 --> 00:20:41.860]   So this study was done in the wake of the 2008 financial crisis.
[00:20:42.040 --> 00:20:50.280]   We worked with UBS, a company, a financial service company that was undergoing pretty massive amounts of layoffs.
[00:20:50.280 --> 00:20:53.640]   So these employees were stressed about being laid off.
[00:20:53.640 --> 00:20:55.360]   They were taking on more pressure.
[00:20:55.360 --> 00:20:56.680]   It was just a tough time.
[00:20:56.680 --> 00:21:00.260]   And we randomized them into three conditions.
[00:21:00.260 --> 00:21:04.880]   And this was all pre-work before getting a training on stress.
[00:21:05.280 --> 00:21:11.440]   But the three different conditions, some watched no videos, some watched the stress will crush you videos,
[00:21:11.440 --> 00:21:14.940]   and some watched the stress could enhance you videos.
[00:21:14.940 --> 00:21:20.920]   And what we found was that just, you know, it was a total of nine minutes of videos over the course of the week
[00:21:20.920 --> 00:21:29.520]   led to changes in their mindsets about stress, which led to changes in their physiological symptoms associated with stress.
[00:21:29.520 --> 00:21:37.720]   So people who watched the enhancing films had fewer back aches, muscle tension, insomnia, racing heart, and so forth.
[00:21:37.720 --> 00:21:44.520]   And they also reported performing better at work compared to those who watched the debilitating videos.
[00:21:44.520 --> 00:21:49.920]   Now, interestingly, we didn't make anyone worse with the debilitating videos, which was good.
[00:21:49.920 --> 00:21:55.680]   We had told the IRB we didn't expect that because that message was already out there.
[00:21:55.680 --> 00:21:57.280]   That's what they were already seeing.
[00:21:57.280 --> 00:21:58.320]   That wasn't new to them.
[00:21:58.900 --> 00:22:04.360]   It was more this enhancing perspective that turned out to be inspiring.
[00:22:04.360 --> 00:22:06.180]   People get this wrong sometimes.
[00:22:06.180 --> 00:22:11.820]   They think that I'm saying that a stress-as-enhancing mindset means you should like stress.
[00:22:11.820 --> 00:22:13.460]   That's not what we're saying, right?
[00:22:13.460 --> 00:22:18.520]   Having a stress-as-enhancing mindset doesn't mean the stressor is a good thing, right?
[00:22:18.520 --> 00:22:24.680]   It doesn't mean that getting a cancer diagnosis is a good thing or being in abject poverty is a good thing.
[00:22:24.680 --> 00:22:25.880]   These are not good things.
[00:22:26.600 --> 00:22:42.640]   But the experience of the stress associated with that, the challenge, the adversity, that experience can lead to enhancing outcomes with respect to not just our cognition, but our health, our performance, and our well-being.
[00:22:42.860 --> 00:22:44.860]   How does that work, right?
[00:22:44.860 --> 00:22:47.380]   Well, it works through a number of different pathways.
[00:22:47.380 --> 00:22:51.600]   One is that it changes fundamentally what we're motivated to do.
[00:22:52.140 --> 00:23:01.780]   So if you, you know, just imagine we're stressed about something and you think that stress is bad, then what's your motivation, right?
[00:23:01.780 --> 00:23:05.980]   Your motivation is to, well, first you get worried about the stress, right?
[00:23:05.980 --> 00:23:08.800]   And second is your reaction is typically to do one of two things.
[00:23:08.800 --> 00:23:18.080]   Because it's either to freak out and do everything you can to make sure that this doesn't affect you, you know, negatively, or to check out and say, oh, it's not a big deal.
[00:23:18.080 --> 00:23:18.840]   I'm not going to deal with it.
[00:23:18.840 --> 00:23:20.400]   You know, you're basically in denial.
[00:23:20.400 --> 00:23:27.460]   So people who have a stress-as-debilitating mindset, and we've shown this in our research, tend to go to one or the other of those extremes.
[00:23:27.460 --> 00:23:29.740]   They freak out or they check out.
[00:23:29.940 --> 00:23:30.080]   Why?
[00:23:30.080 --> 00:23:35.640]   Because if stress is bad, you need to either get rid of it and deal with it or it needs to not exist, right?
[00:23:35.640 --> 00:23:40.220]   If you have a stress-as-enhancing mindset, the motivation changes, right?
[00:23:40.220 --> 00:23:46.440]   Then the motivation is how do I utilize the stress to realize the enhancing outcomes?
[00:23:46.440 --> 00:23:59.700]   What can we do here, right, to learn from this experience to make us stronger, fitter, you know, have better science and treatments for the future, deepen my relationships with others?
[00:23:59.700 --> 00:24:03.400]   Improve, you know, my priorities and so forth, right?
[00:24:03.400 --> 00:24:05.320]   So the motivation changes.
[00:24:05.320 --> 00:24:07.320]   The affect around it changes.
[00:24:07.320 --> 00:24:09.320]   It doesn't make it easy to deal with.
[00:24:09.320 --> 00:24:17.820]   But what we've shown in our research is that people who have a stress-as-enhancing mindset have more positive affect, not necessarily less negative affect.
[00:24:17.820 --> 00:24:20.760]   And it potentially changes physiology.
[00:24:20.760 --> 00:24:37.020]   We have a few studies that show that people who are, you know, inspired to adopt more enhancing mindsets have more moderate cortisol response and they have higher levels of DHEA levels in response to stress.
[00:24:37.260 --> 00:24:44.960]   We had a guest on this podcast, he actually is a, he's a PhD scientist who runs the UFC Performance Training Institute.
[00:24:44.960 --> 00:24:46.100]   His name is Duncan French.
[00:24:46.100 --> 00:24:49.800]   And his graduate work at UConn stores was very interesting.
[00:24:49.800 --> 00:24:51.560]   It was in exercise science and physiology.
[00:24:51.560 --> 00:25:02.000]   What he showed was that if you could spike the adrenaline response, I think they did this through first-time skydive or something like that, that testosterone went up.
[00:25:02.260 --> 00:25:08.700]   Now this spits in the face of everything that we're told about stress and testosterone levels, right?
[00:25:08.700 --> 00:25:16.380]   So it turns out that at least in the short term, that a very stressful event can raise anabolic hormones.
[00:25:16.380 --> 00:25:26.400]   And I think that people forget at a mechanistic level that adrenaline is epinephrine and epinephrine is derived, biochemically derived from the molecule dopamine.
[00:25:26.400 --> 00:25:32.880]   If you look at the pathway and even just Google it and go images, you'll see that adrenaline is made from dopamine.
[00:25:32.880 --> 00:25:37.160]   And dopamine and these anabolic hormones have a very close, they're sort of close cousins.
[00:25:37.160 --> 00:25:39.280]   They work together in the pituitary and hypothalamus.
[00:25:39.280 --> 00:25:45.200]   So it makes sense that one could leverage stress toward growth.
[00:25:45.360 --> 00:25:59.240]   But what's again remarkable to me is that all of these brain structures that control dopamine, epinephrine, testosterone and estrogen, they're all thought to be in the subconscious, meaning below our ability to flip a switch and turn them on or off.
[00:25:59.240 --> 00:26:01.920]   And yet mindset seemed to impact them.
[00:26:01.920 --> 00:26:09.180]   So all that to say that there's a clear mechanistic basis by which this could all work.
[00:26:09.180 --> 00:26:17.820]   The way I think about mindset is that it's, mindsets are kind of a portal between conscious and subconscious processes.
[00:26:17.820 --> 00:26:23.080]   They operate as a default setting of the mind, right?
[00:26:23.080 --> 00:26:30.740]   So if, you know, if sort of programmed in there, you have stress equals bad.
[00:26:30.740 --> 00:26:38.220]   That's been programmed in through our upbringing, through public health messages and through media and other things.
[00:26:38.360 --> 00:26:41.200]   And it kind of sits there as an assumption in the brain.
[00:26:41.200 --> 00:26:46.920]   And the brain is then figuring out how should it respond to this situation.
[00:26:46.920 --> 00:27:03.560]   And if the assumption, the default, the programming is stress is bad, that's going to, through our subconscious, trigger all the things that's like, okay, well, I need to like, you know, rev up the things that protect me versus rev up the things that help me grow.
[00:27:04.300 --> 00:27:14.860]   So just talking about this, you know, just talking about this, right, for your listeners, they're now invited to bring their stress mindsets up to the consciousness and say, what is my stress mindset?
[00:27:14.860 --> 00:27:17.100]   How am I thinking about stress?
[00:27:17.100 --> 00:27:18.540]   Can I reprogram that?
[00:27:18.860 --> 00:27:21.480]   Can I start to think about it as more enhancing?
[00:27:21.480 --> 00:27:25.320]   That takes a little bit of a conscious work potentially.
[00:27:25.320 --> 00:27:32.040]   But then once you do that, it can, that can kind of operate in the background, influencing how your body responds.
[00:27:32.040 --> 00:27:33.740]   And you don't have to say, okay, I'm stressed.
[00:27:33.740 --> 00:27:37.000]   I better tell my, you know, anabolic hormones.
[00:27:37.000 --> 00:27:38.700]   That doesn't work that way.
[00:27:38.700 --> 00:27:39.000]   No.
[00:27:39.300 --> 00:27:43.420]   But these mindsets can help with the translational process.
[00:27:43.420 --> 00:27:48.920]   How should we, the listeners, think about stress?
[00:27:48.920 --> 00:27:53.920]   Is there a short list of ways that we can leverage stress to our advantage?
[00:27:53.920 --> 00:27:54.480]   Yeah.
[00:27:54.480 --> 00:28:03.080]   And that's an important, important nuance in your language, which is people have, by and large, come from a place of how do you manage stress?
[00:28:03.080 --> 00:28:07.600]   How do you cope with it, which implies how do you fight against it?
[00:28:07.600 --> 00:28:10.940]   And yeah, the real challenge is how do we leverage it?
[00:28:10.940 --> 00:28:12.240]   How do we utilize it?
[00:28:12.240 --> 00:28:13.560]   How do we work with it?
[00:28:13.560 --> 00:28:16.220]   And I have a lot of thoughts on this.
[00:28:16.220 --> 00:28:22.360]   The first and most important thing is to clarify our definition of stress.
[00:28:22.360 --> 00:28:31.640]   The stress mind, negative stress mindset is so insidious that now people define stress with its negative consequences.
