
[00:00:00.000 --> 00:00:04.880]   [Intro]
[00:05:23.920 --> 00:05:29.960]   fragments, that nothing may be lost.' So they gathered up the leftover fragments, 12
[00:05:29.960 --> 00:05:37.680]   baskets, with fragments from the barley loaves, left by those who had eaten the barley loaves.
[00:05:37.680 --> 00:05:43.400]   They had all eaten from the five barley loaves. They had all eaten as much as they wanted,
[00:05:43.400 --> 00:05:49.880]   5,000 people, and there's 12 baskets left over. When the people saw the sign that he
[00:05:49.880 --> 00:05:55.680]   had done, they said, 'This indeed is the prophet who has come into the world.' Perceiving
[00:05:55.680 --> 00:06:00.760]   then that they were about to come and take him by force, and to make him king, Jesus
[00:06:00.760 --> 00:06:08.560]   withdrew again to the mountain by himself." Now, the rest of this chapter is a total of
[00:06:08.560 --> 00:06:19.800]   71 verses, and it's all about bread. It's all about Jesus as the bread. So Jesus has
[00:06:19.800 --> 00:06:28.200]   come to give a sign in the multiplying of these loaves, that he himself is the bread
[00:06:28.200 --> 00:06:39.720]   of heaven. Not mainly that he can make enough bread to feed everybody. He calls this a sign.
[00:06:39.720 --> 00:06:47.320]   What is a sign? Let me tell you what I think a sign is. A sign is glory comes into the
[00:06:47.320 --> 00:06:54.480]   world. John 1, 14, "We beheld his glory, glory as of the only Son from the Father, full of
[00:06:54.480 --> 00:07:01.600]   grace and truth." And shining down from that glory is like a beam, a beam of glory shining
[00:07:01.600 --> 00:07:08.160]   from Christ, the glorious, eternal, divine Son of God. A beam is shining down and it
[00:07:08.160 --> 00:07:14.140]   lands, and when it lands, it produces out of five loaves and a few fish, enough food
[00:07:14.140 --> 00:07:22.800]   to feed 5,000. It creates out of nothing food to feed 5,000 people, and the sign is meant
[00:07:22.800 --> 00:07:29.120]   to do this. Your eyes behold the landing of the beam, and your eyes should run up the
[00:07:29.120 --> 00:07:37.960]   beam to the glory. Instead, what did they do? They saw this miracle and they fixated
[00:07:37.960 --> 00:07:45.200]   on the product of the miracle, not the person of the miracle. Drop your eyes down, if you
[00:07:45.200 --> 00:07:51.280]   got a Bible, to verse 26. They found him the next day, so this is what he says to the crowd.
[00:07:51.280 --> 00:07:58.800]   "Truly, truly, I say to you, you are seeking me not because you saw signs, but because
[00:07:58.800 --> 00:08:06.880]   you ate your fill of loaves." He's angry. Can you imagine Jesus being angry that somebody
[00:08:06.880 --> 00:08:16.360]   is seeking him? Why would he get upset if you sought him? It's because they were seeking
[00:08:16.360 --> 00:08:25.740]   him as useful, useful for the bread, the money, the health, the prosperity. He's useful to
[00:08:25.740 --> 00:08:35.120]   my stuff. And they didn't let their eyes run up the beam and say, "There he is. That's
[00:08:35.120 --> 00:08:43.800]   my treasure." Or picture it as the sun. Ninety-three million miles away, the sun sends out rays,
[00:08:43.800 --> 00:08:48.560]   lands on the earth, ninety-three million miles away, and it does amazing things. It causes
[00:08:48.560 --> 00:08:53.960]   plants to grow, and it makes us warm, and it produces vitamin D in our skin, and it
[00:08:53.960 --> 00:09:01.960]   enables us to see beautiful things. And most people simply get the analogy, sun, Christ,
[00:09:01.960 --> 00:09:08.720]   beam, glory, landing, miracle. Most people just say, "Whoa, I love what I see. I love
[00:09:08.720 --> 00:09:15.360]   my skin. I love my plants that grow." They don't let their eyes run up the beam to the
[00:09:15.360 --> 00:09:21.360]   son of glory, Jesus Christ. So when I said at the beginning, "Jesus Christ came into
[00:09:21.360 --> 00:09:29.320]   the world not to be useful mainly, but to be precious mainly," that's what I mean.
[00:09:29.320 --> 00:09:37.360]   They didn't do it. What does verse 15 say? "Perceiving that they were about to come and
[00:09:37.360 --> 00:09:46.960]   take him by force to make him king, Jesus withdrew again to the mountain by himself."
[00:09:46.960 --> 00:09:56.920]   They didn't see him as precious. They saw his gifts as precious. Oh, what a useful king
[00:09:56.920 --> 00:10:06.760]   he will be, right? Yes. Let's have Jesus be our king. He will keep our bellies full. Jesus
[00:10:06.760 --> 00:10:12.040]   doesn't want that kind of a disciple. Now, I don't know how many times you get that kind
[00:10:12.040 --> 00:10:17.360]   of a preacher in this place, but they're all over the world. The main export from America
[00:10:17.360 --> 00:10:25.240]   to Africa is this kind of theology that says, "He wants your stuff to multiply mainly. Get
[00:10:25.240 --> 00:10:33.200]   the car. Get the gold watch. Wear the suit, the shoes. Get all that." That's what Jesus
[00:10:33.200 --> 00:10:50.400]   is for. I think that's demonic theology. Jesus came into the world to bless us in some measure
[00:10:50.400 --> 00:10:56.280]   now, and I'll get to that in a minute from this very parable, but mainly he's trying
[00:10:56.280 --> 00:11:03.120]   to forgive our sins, clothe us with righteousness, make himself our treasure, seal our eternity
[00:11:03.120 --> 00:11:09.000]   forever, and then put us to work in the world, whether we're in prison or on the outside.
[00:11:09.000 --> 00:11:18.360]   The same reality is here as out there. The main thing is here. The other stuff feels
[00:11:18.360 --> 00:11:26.480]   real important. That's why I said it may be that your very presence here will enable you
[00:11:26.480 --> 00:11:34.000]   to see better than the people in my church can see. They got the stuff. Just take it
[00:11:34.000 --> 00:11:40.320]   for granted. That's what it's about. It's not what it's about. It's about him.
[00:11:40.320 --> 00:11:45.700]   Yes. Amen. Amen. It is all about him. It is all about him. You can listen to or watch
[00:11:45.700 --> 00:11:51.280]   the full sermon at Angola at DesiringGod.org. Search for its title, "Jesus Came Not to
[00:11:51.280 --> 00:11:56.140]   Give Bread, But to Be Bread." And if you don't believe the prosperity gospel can seep into
[00:11:56.140 --> 00:12:01.000]   a maximum security prison, later after the sermon, Pastor John was asked by an inmate
[00:12:01.000 --> 00:12:05.040]   this, "Considering your message from John 6, what would you say to someone who considers
[00:12:05.040 --> 00:12:11.080]   Jesus to be precious only if he can give the hope of physical deliverance from prison?"
[00:12:11.080 --> 00:12:17.800]   Wow. To find that video, you can Google it, "John Piper, Questions and Answers, Angola
[00:12:17.800 --> 00:12:22.760]   Prison." Just Google that. John Piper, Questions and Answers, Angola Prison. And scrub forward
[00:12:22.760 --> 00:12:26.400]   to the 10-minute, 13-second mark and you'll hear that question.
[00:12:26.400 --> 00:12:31.900]   Well, there's an important and too common theme in our inbox of men belittling women
[00:12:31.900 --> 00:12:37.280]   as inferior, perhaps in the name of complementarity. It's a hard topic, but we must address it
[00:12:37.280 --> 00:12:41.280]   head on. We will next time on Friday. I'm your host Tony Reinhart. We'll see you then.
[00:12:41.280 --> 00:12:42.280]   [END]
[00:12:42.280 --> 00:12:42.280]   1
[00:12:42.280 --> 00:12:43.280]   John Piper, Questions and Answers, Angola Prison
[00:12:43.280 --> 00:12:43.280]   Page 1 of 9
[00:12:43.280 --> 00:12:44.280]   Page 2 of 9
[00:12:44.280 --> 00:12:44.280]   Page 3 of 9
[00:12:44.280 --> 00:12:45.280]   Page 4 of 9
[00:12:45.280 --> 00:12:45.280]   Page 5 of 9
[00:12:45.280 --> 00:12:50.280]   Page 6 of 9
[00:12:50.280 --> 00:12:52.340]   you

