
[00:00:00.000 --> 00:00:01.720]   Stocks versus real estate.
[00:09:08.880 --> 00:09:12.560]   maybe several hundred hours of self-education on the topic
[00:09:12.560 --> 00:09:14.040]   because you need to know how to screen a tenant.
[00:09:14.040 --> 00:09:16.520]   You need to know that when a tenant is applying for your rental property
[00:09:16.520 --> 00:09:19.240]   and puts down the phone number as a reference for their previous landlord,
[00:09:19.240 --> 00:09:20.680]   that that might be their buddy.
[00:09:20.680 --> 00:09:21.720]   And you need to back channel that
[00:09:21.720 --> 00:09:23.680]   and make sure you're actually calling the previous landlord
[00:09:23.680 --> 00:09:24.720]   and getting the referral from them.
[00:09:24.720 --> 00:09:28.560]   Like there's so many little tips and tricks like that that you need to be aware of.
[00:09:28.560 --> 00:09:32.320]   Or if you don't learn them upfront, you will learn them downstream
[00:09:32.320 --> 00:09:36.440]   in a much more painful and more expensive fashion later on in that journey.
[00:09:36.440 --> 00:09:40.840]   So in addition to those things that, you know, credit, income, down payment,
[00:09:40.840 --> 00:09:45.240]   you also need this expertise that that can be a real investment of time
[00:09:45.240 --> 00:09:46.720]   that is probably not needed,
[00:09:46.720 --> 00:09:51.080]   especially for like index fund or other stock investing approaches here.
[00:09:51.360 --> 00:09:54.800]   Although I think the Motley Fool guys will put in just as much time and energy
[00:09:54.800 --> 00:09:57.480]   as many of the real estate investors who take it very seriously
[00:09:57.480 --> 00:09:59.360]   in trying to find that that alpha.
[00:09:59.360 --> 00:10:02.200]   I don't know if that's true, but we'll take the compliment for sure.
[00:10:02.200 --> 00:10:03.200]   There's a question, Matt.
[00:10:03.200 --> 00:10:06.760]   You said, you know, 10% average returns on the stock market,
[00:10:06.760 --> 00:10:09.080]   highest returning unlevered asset class.
[00:10:09.080 --> 00:10:13.200]   I'm curious, how much work does it take for someone to kind of be in that group?
[00:10:13.200 --> 00:10:17.280]   Because the way Scott and Dave put it, you know, real estate can take a lot of work.
[00:10:17.280 --> 00:10:20.160]   But and you made it seem, oh, you just open a brokerage account.
[00:10:20.240 --> 00:10:22.240]   Is it that simple? Just open a brokerage account.
[00:10:22.240 --> 00:10:24.200]   And boom, you get those returns.
[00:10:24.200 --> 00:10:25.160]   You know what it actually is.
[00:10:25.160 --> 00:10:27.360]   And I'll explain why it doesn't it shouldn't it shouldn't be that way.
[00:10:27.360 --> 00:10:31.720]   But what most investors should do if they're investing in the stock market
[00:10:31.720 --> 00:10:36.920]   is simply by and Scott mentioned in an index fund ETF, S&P 500 index fund.
[00:10:36.920 --> 00:10:38.600]   Right. Right off the bat.
[00:10:38.600 --> 00:10:41.520]   You're probably outperforming 95% of active investors if you do that.
[00:10:41.520 --> 00:10:42.800]   It's simple. It's cheap.
[00:10:42.800 --> 00:10:44.600]   The fees are really low.
[00:10:44.600 --> 00:10:47.560]   And yes, you're going to if you do that, you're matching the return
[00:10:47.560 --> 00:10:51.120]   of the overall market, which I said, you know, going back more than a century
[00:10:51.120 --> 00:10:53.120]   is about a 10% annualized return.
[00:10:53.120 --> 00:10:54.320]   So that is what you can do.
[00:10:54.320 --> 00:10:57.560]   Now, we stock investors like to make things complicated when they shouldn't be.
[00:10:57.560 --> 00:10:59.760]   So we tend to, you know, buy individual stocks.
[00:10:59.760 --> 00:11:01.120]   We think we can outperform the market.
[00:11:01.120 --> 00:11:02.760]   We think we can be the next Warren Buffett.
[00:11:02.760 --> 00:11:04.440]   So we're doing things we're trading.
[00:11:04.440 --> 00:11:07.240]   We're sometimes doing leverage, which is really dumb in the stock market.
[00:11:07.240 --> 00:11:08.760]   And we're losing our shirts.
[00:11:08.760 --> 00:11:11.840]   But really opening, like I said, downloading that app,
[00:11:11.840 --> 00:11:14.840]   clicking a few buttons, buying an index fund, maybe putting 100 bucks in there
[00:11:14.840 --> 00:11:18.760]   a month if you're 22 years old out of college or something is an amazing way
[00:11:18.760 --> 00:11:19.920]   to get started.
[00:11:19.920 --> 00:11:21.600]   And it is about the easiest thing you can do.
[00:11:21.600 --> 00:11:23.840]   But here's a question for you, Scott and Dave.
[00:11:23.840 --> 00:11:25.280]   Matt talked about 10%.
[00:11:25.280 --> 00:11:27.160]   You guys talked about how it might take a little bit of work.
[00:11:27.160 --> 00:11:28.640]   We talked about leverage.
[00:11:28.640 --> 00:11:31.280]   If you start to think about the leverage you can bring into real estate,
[00:11:31.280 --> 00:11:35.040]   what kind of returns do you think we've seen or people can expect
[00:11:35.040 --> 00:11:36.440]   in their real estate investing?
[00:11:36.440 --> 00:11:38.040]   So this gets kind of complex here.
[00:11:38.040 --> 00:11:39.600]   I'll take a stab at this.
[00:11:39.600 --> 00:11:42.280]   So let's say that we assume that real estate is going to appreciate
[00:11:42.280 --> 00:11:45.440]   at an average of 3.4% per year, right?
[00:11:45.440 --> 00:11:50.000]   And if you lever that five to one, right, at least in the early years,
[00:11:50.000 --> 00:11:53.880]   you're going to get an appreciation rate that multiplies 3.4 times five.
[00:11:53.880 --> 00:11:57.640]   So that's what? 15 plus another 20, 17% from appreciation.
[00:11:57.640 --> 00:12:01.040]   You're going to be amortizing your debt during that debt service on that
[00:12:01.040 --> 00:12:05.920]   for the 80% of the the property value that is levered.
[00:12:05.920 --> 00:12:09.040]   And then you're going to hopefully be producing some cash flow as well.
[00:12:09.280 --> 00:12:14.200]   So you add those up, you should be looking at upper teens returns,
[00:12:14.200 --> 00:12:15.640]   maybe low 20s returns.
[00:12:15.640 --> 00:12:18.080]   And if you can't get there, you should invest in stocks
[00:12:18.080 --> 00:12:20.760]   because it's totally passive and you don't have to spend all this time
[00:12:20.760 --> 00:12:24.280]   thinking about how to buy real estate at the beginning.
[00:12:24.280 --> 00:12:27.600]   Now, over the 30 year period, you're slowly deleveraging,
[00:12:27.600 --> 00:12:29.200]   assuming things go reasonably well, right?
[00:12:29.200 --> 00:12:30.680]   You're paying down the loan.
[00:12:30.680 --> 00:12:32.400]   The property is appreciating.
[00:12:32.400 --> 00:12:33.520]   So your equity balance grows.
[00:12:33.520 --> 00:12:36.960]   And once it's paid off, now you're getting the unlevered real estate
[00:12:36.960 --> 00:12:41.080]   return of like three point four percent, plus maybe a four to five percent cap rate.
[00:12:41.080 --> 00:12:45.840]   This is the 45% cash flow component of the total equity value.
[00:12:45.840 --> 00:12:50.320]   So at the end of that hold period, in a typical you throw a dart at the wall
[00:12:50.320 --> 00:12:54.320]   and pick a rental property, a true actual rental property across the United States.
[00:12:54.320 --> 00:12:56.920]   You're probably looking at a seven and a half to eight and a half percent
[00:12:56.920 --> 00:13:00.720]   unlevered return at the end of that hold period once you paid off the debt.
[00:13:00.720 --> 00:13:04.320]   And you're looking at more than that in the early part of early parts of it.
[00:13:04.320 --> 00:13:06.880]   It can get more complex from there if we want to talk about tax
[00:13:06.880 --> 00:13:08.880]   benefits and those types of things.
[00:13:08.880 --> 00:13:10.560]   But that's what you should expect.
[00:13:10.560 --> 00:13:12.760]   And that's what you have to kind of keep in the back of your mind
[00:13:12.760 --> 00:13:16.280]   as you're investing over the years and decades in real estate there.
[00:13:16.280 --> 00:13:18.680]   And if you can't get it again, I would I would go to stocks.
[00:13:18.680 --> 00:13:20.920]   Well, let's talk a little bit about volatility, right?
[00:13:20.920 --> 00:13:23.760]   That that's a you know, averages, right?
[00:13:23.760 --> 00:13:25.680]   You gave a scenario of an average, Matt.
[00:13:25.680 --> 00:13:28.880]   You gave a 10 year or a century long average.
[00:13:28.880 --> 00:13:32.080]   What do you think it looks like year to year?
[00:13:32.080 --> 00:13:34.240]   And what kinds of volatility can people expect?
[00:13:34.240 --> 00:13:35.720]   How much risk are they taking?
[00:13:35.720 --> 00:13:36.720]   What could they lose?
[00:13:36.720 --> 00:13:40.680]   And and maybe even as far as what is just an amazing year look like?
[00:13:40.680 --> 00:13:43.960]   Sure. Well, I will say for the stock market, which we know is much more volatile.
[00:13:43.960 --> 00:13:46.240]   Let's use the most recent bear market as an example.
[00:13:46.240 --> 00:13:52.080]   2022, the S&P 500, the broad market index at its lows was down about 27 percent.
[00:13:52.080 --> 00:13:54.240]   That's a that's a pretty big hit for a lot of people.
[00:13:54.240 --> 00:13:56.720]   And if you were investing in technology stocks,
[00:13:56.720 --> 00:14:01.600]   the Nasdaq was down about 40 percent at one point, typically in a bear market,
[00:14:01.600 --> 00:14:04.560]   which we know happens roughly once every five years.
[00:14:04.560 --> 00:14:07.240]   The the average loss is about 30 percent.
[00:14:07.240 --> 00:14:09.080]   And one of those is always around the corner.
[00:14:09.080 --> 00:14:11.560]   So that's what you can look forward to with stock investing.
[00:14:11.560 --> 00:14:14.120]   What you can also look forward to, though, is,
[00:14:14.120 --> 00:14:16.800]   you know, the gains can be pretty high in the good years.
[00:14:16.800 --> 00:14:20.720]   If I look at, like, for example, the last 20 years, five of the last 20 years,
[00:14:20.720 --> 00:14:22.880]   the stock market was up more than 20 percent.
[00:14:22.880 --> 00:14:25.120]   The average return was 26 percent.
[00:14:25.120 --> 00:14:26.440]   And so that's a pretty good year.
[00:14:26.440 --> 00:14:29.560]   Imagine compounding your your asset, your net worth by that amount.
[00:14:30.080 --> 00:14:31.840]   So the highs can be really high.
[00:14:31.840 --> 00:14:35.360]   And as Jason mentioned, stock stock market tends to go up over time.
[00:14:35.360 --> 00:14:36.720]   And so that's great.
[00:14:36.720 --> 00:14:38.280]   But you have to be ready for those
[00:14:38.280 --> 00:14:40.440]   those nasty bear markets that come that are inevitable.
[00:14:40.440 --> 00:14:42.240]   And the next one's always around the corner.
[00:14:42.240 --> 00:14:45.280]   Dave, what do you think about real estate when it comes to volatility
[00:14:45.280 --> 00:14:47.240]   and kind of downside upside?
[00:14:47.240 --> 00:14:51.840]   Well, I think that is one area where real estate does stand out versus equities.
[00:14:51.840 --> 00:14:54.800]   Of course, many people listening to this, myself included,
[00:14:54.800 --> 00:14:59.400]   all remember the great financial crisis and the sharp declines
[00:14:59.400 --> 00:15:04.560]   where we saw home prices on a national basis go down somewhere around 20 percent.
[00:15:04.560 --> 00:15:08.320]   But that is somewhat anomalous in American history.
[00:15:08.320 --> 00:15:12.040]   That's not saying that it won't happen again, but that is unusual
[00:15:12.040 --> 00:15:15.840]   to see large drops in home prices like we saw.
[00:15:15.840 --> 00:15:19.360]   And so to me, the real name of the game with real estate
[00:15:19.360 --> 00:15:22.400]   and the way you mitigate against volatility is just time.
[00:15:22.400 --> 00:15:25.560]   This is not a quick get in and get out strategy.
[00:15:25.560 --> 00:15:28.920]   But with real estate, if you can manage to hold on to properties,
[00:15:28.920 --> 00:15:33.800]   you are very likely to be able to wait out any short term volatility.
[00:15:33.800 --> 00:15:37.960]   And the risk of principal loss is actually,
[00:15:37.960 --> 00:15:42.560]   I think, significantly less than in the stock market.
[00:15:42.560 --> 00:15:46.080]   You talked about time. What about diversification on real estate?
[00:15:46.080 --> 00:15:48.600]   Are you are you suggesting just worry about time?
[00:15:48.600 --> 00:15:50.200]   Don't worry about multiple properties.
[00:15:50.200 --> 00:15:53.800]   No, I think I would absolutely recommend
[00:15:53.800 --> 00:15:58.400]   diversifying into multiple properties and even doing multiple strategies
[00:15:58.400 --> 00:16:00.320]   within real estate investing.
[00:16:00.320 --> 00:16:03.000]   You can, you know, invest in long term rentals.
[00:16:03.000 --> 00:16:04.760]   You can do short term rentals.
[00:16:04.760 --> 00:16:09.160]   I personally diversify across geographies into different markets
[00:16:09.160 --> 00:16:12.720]   to take advantage of different market fundamentals.
[00:16:12.720 --> 00:16:17.240]   But I think ultimately, not to be overly simplistic,
[00:16:17.240 --> 00:16:21.920]   but the name of the game in real estate investing is to avoid forced selling.
[00:16:21.920 --> 00:16:26.560]   And for selling is just basically what we say is like when you get in a situation
[00:16:26.560 --> 00:16:30.400]   where you can't hold on to your property and you are forced to sell
[00:16:30.400 --> 00:16:33.840]   at what might be an inopportune time in real estate investing.
[00:16:33.840 --> 00:16:37.280]   If you get to choose when you're going to sell, you are almost always
[00:16:37.280 --> 00:16:38.480]   going to make money.
[00:16:38.480 --> 00:16:43.600]   And so the way I think about being defensive and mitigating risk is one time,
[00:16:43.600 --> 00:16:45.960]   you know, just try and hold on for as long as possible.
[00:16:45.960 --> 00:16:51.080]   And the way to hold on is to generate, in my opinion, positive cash flow,
[00:16:51.080 --> 00:16:54.280]   because if you're able to make sure that your properties generate
[00:16:54.280 --> 00:16:58.440]   even two, three, 4% cash flow after all of your expenses,
[00:16:58.440 --> 00:17:02.400]   after all of your capital expenditures, then you get to sit back.
[00:17:02.400 --> 00:17:03.880]   You're still at worst.
[00:17:03.880 --> 00:17:08.520]   You're making a couple percentage points off of your cash flow and your amortization.
[00:17:08.520 --> 00:17:12.440]   And then you don't want to necessarily try and time the market on the buy.
[00:17:12.440 --> 00:17:15.360]   But then you do get to time the market when you're selling.
[00:17:15.360 --> 00:17:19.640]   And in those situations, it's pretty difficult to lose money in real estate.
[00:17:19.640 --> 00:17:23.840]   Jason, I'm curious what you think about risk mitigation in the stock market.
[00:17:23.960 --> 00:17:27.960]   Right. What is someone who's kind of nervous about a 20, 30% drawdown
[00:17:27.960 --> 00:17:29.800]   do other than just wait?
[00:17:29.800 --> 00:17:32.120]   Yeah, you know, I think there was a great point
[00:17:32.120 --> 00:17:34.800]   that was just mentioned there in regard to forced selling, right?
[00:17:34.800 --> 00:17:37.720]   That's something that applies to real estate.
[00:17:37.720 --> 00:17:39.360]   It applies to stocks.
[00:17:39.360 --> 00:17:41.640]   It applies to a lot of things in life.
[00:17:41.640 --> 00:17:45.200]   But you just you never want to be a forced seller, right?
[00:17:45.200 --> 00:17:47.640]   You never want to be forced to sell anything.
[00:17:47.640 --> 00:17:52.160]   And that's one of the things we love about investing in in stocks
[00:17:52.160 --> 00:17:56.200]   here at The Fool is that, you know, taking that longer view,
[00:17:56.200 --> 00:18:01.280]   you can sort of ignore the near term noise
[00:18:01.280 --> 00:18:05.800]   and let yourself sort of watch the story play out.
[00:18:05.800 --> 00:18:09.640]   And and I will say in regard to real estate, that's another
[00:18:09.640 --> 00:18:14.560]   another really beautiful thing about real estate is you don't have to sell.
[00:18:14.560 --> 00:18:17.080]   Right. And I think that's that's one of those things.
[00:18:17.080 --> 00:18:20.240]   It's always worth remembering is in real estate.
