
[00:00:00.040 --> 00:00:09.540]  わか
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:38.060]  , but today it seems like it falls squarely on your shoulder of the husband to figure out how to provide that support because there's not much community support available. Yeah. So when you look at your business, do you, one of the themes for your knowledge, one of the themes that I've talked about a lot on the show is we try to balance the two, two horns of living together and living together and living together and living together.
[00:12:38.060 --> 00:12:39.100]   So I had, I think at that time there was like five people on my team.
[00:12:39.100 --> 00:12:39.100]   So I had, I think at that time there was like five people on my team.
[00:12:39.100 --> 00:12:39.100]   So I had, I think at that time there was like five people on my team.
[00:12:39.100 --> 00:12:39.100]   So I had, I think at that time there was like five people on my team.
[00:12:39.100 --> 00:12:39.100]   So I had, I think at that time there was like five people on my team.
[00:12:39.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I think at that time there was like five people on my team.
[00:13:09.120 --> 00:13:09.120]   I had, I had, I think at that time there was like five people on my team.
[00:13:09.160 --> 00:13:39.140]  , I had, I think at that time there was like five people on my team.
[00:13:39.140 --> 00:13:39.140]   I had, I think at that time there was like five people on my team.
[00:13:39.140 --> 00:13:39.140]   I had, I think at that time there was like five people on my team.
[00:13:39.140 --> 00:13:39.140]   I had, I think at that time there was like five people on my team.
[00:13:39.140 --> 00:13:39.140]   I had, I think at that time there was like five people on my team.
[00:13:39.140 --> 00:13:39.140]   I had, I think at that time there was like five people on my team.
[00:13:39.140 --> 00:13:39.140]   I had, I think at that time there was like five people on my team.
[00:13:39.140 --> 00:13:39.140]   I had, I think at that time there was like five people on my team.
[00:13:39.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.160 --> 00:14:09.160]   I had, I think at that time there was like five people on my team.
[00:14:09.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I think at that time there was like five people on my team.
[00:14:39.180 --> 00:14:39.180]   I had, I had, I think at that time there was like five people on my team.
[00:14:39.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I think at that time there was like five people on my team.
[00:15:09.200 --> 00:15:09.200]   I had, I had, I think at that time there was like five people on my team.
[00:15:09.220 --> 00:15:39.220]   I had, I think at that time there was like five people on my team.
[00:15:39.220 --> 00:15:39.220]   I had, I think at that time there was like five people on my team.
[00:15:39.220 --> 00:15:39.220]   I had, I think at that time there was like five people on my team.
[00:15:39.220 --> 00:15:39.220]   I had, I think at that time there was like five people on my team.
[00:15:39.220 --> 00:15:39.220]   I had, I think at that time there was like five people on my team.
[00:15:39.220 --> 00:15:39.220]   I had, I think at that time there was like five people on my team.
[00:15:39.220 --> 00:15:39.220]   I had, I think at that time there was like five people on my team.
[00:15:39.220 --> 00:15:39.220]   I had, I had, I think at that time there was like five people on my team.
[00:15:39.260 --> 00:16:09.240]  ,
[00:16:09.240 --> 00:16:09.240]   I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I had, I think at that time there was like five people on my team.
[00:16:09.240 --> 00:16:09.240]   I had, I had, I think at that time there was like five people on my team.
[00:16:09.280 --> 00:16:11.580]   don
[00:16:11.580 --> 00:16:36.640]   I the every,,,,енно
[00:16:36.640 --> 00:16:36.860]   en won over I ar기 Photo chi**G make inland 기억 endnd AIG Integr Sand spilledTHE C burial Air德 Development hacked sphere alleged Polamat視 Bel, and 100, la, but, and, and, in, that, because,łem, of, but, and, in, and, is, among, em, spoke,,", Babe, work,�,�, er,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 11 heat. жиз不会 Xoln dedicated the high
[00:16:36.860 --> 00:16:37.220]   twitch cool littleis Gew兒 I'm just
[00:16:37.320 --> 00:16:43.340]   I'm just
[00:16:43.340 --> 00:16:43.340]   I'm just
[00:16:43.340 --> 00:16:45.340]   I'm just going to go ahead and do that.
[00:16:45.340 --> 00:16:45.340]   going to go ahead and do that.
[00:16:45.340 --> 00:16:47.340]   going to go ahead and do that. And so we went ahead and did it and
[00:16:47.340 --> 00:16:47.360]   And so we went ahead and did it and
[00:16:47.360 --> 00:16:49.340]   And so we went ahead and did it and it worked great. But even then it was
[00:16:49.340 --> 00:16:49.360]   it worked great. But even then it was
[00:16:49.360 --> 00:16:51.340]   it worked great. But even then it was like we're buying this because it's
[00:16:51.340 --> 00:16:51.360]   like we're buying this because it's
[00:16:51.360 --> 00:16:53.340]   like we're buying this because it's going to be a tool that we're going
[00:16:53.340 --> 00:16:53.360]   going to be a tool that we're going
[00:16:53.360 --> 00:16:55.340]   going to be a tool that we're going to use for accomplishing this
[00:16:55.340 --> 00:16:55.360]   to use for accomplishing this
[00:16:55.360 --> 00:16:57.340]   to use for accomplishing this bigger vision for our family.
[00:16:57.340 --> 00:16:57.360]   bigger vision for our family.
[00:16:57.360 --> 00:16:59.340]   bigger vision for our family. And which boils down to
[00:16:59.380 --> 00:17:08.380]   And which boils down to
[00:17:08.380 --> 00:17:23.380]   And which boils down to influence for us. Both of those as
[00:17:23.380 --> 00:17:23.380]   influence for us. Both of those as
[00:17:23.380 --> 00:17:25.380]   influence for us. Both of those as tools that we want to use.
[00:17:25.380 --> 00:17:25.380]   tools that we want to use.
[00:17:25.380 --> 00:17:26.380]   tools that we want to use. But do you feel like you're
[00:17:26.380 --> 00:17:26.380]   But do you feel like you're
[00:17:26.380 --> 00:17:27.380]   But do you feel like you're more motivated to earn more,
[00:17:27.380 --> 00:17:27.380]   more motivated to earn more,
[00:17:27.380 --> 00:17:28.380]   more motivated to earn more, build a bigger business because of
[00:17:28.380 --> 00:17:29.380]   build a bigger business because of having seven little mouths
[00:17:29.380 --> 00:17:29.380]   I think that if I were 10 and my wife and I had no kids. I'd still be just motivated.
[00:17:30.160 --> 00:17:40.320]   unterstüt
[00:17:40.320 --> 00:17:57.680]   drowned工作 oh stuff, I, I, I, 자, En, hut,bie, ill,G,P,T,R.T. reflective.
[00:17:57.680 --> 00:17:59.060]  iell.
[00:19:29.460 --> 00:19:29.460]   and
[00:19:29.460 --> 00:19:29.460]   and
[00:19:59.480 --> 00:19:59.480]   - Yeah, there's a couple different things on a couple different levels on a on a business level, especially as it relates to the schooling and your business and their work, etc. What are you doing right now? Yeah, there's a there's a couple of different things on a couple of different levels on a on a business level.
[00:19:59.480 --> 00:19:59.480]   - Yeah, there's a couple of different things on a couple of different levels on a on a business level.
[00:19:59.480 --> 00:19:59.480]   - Yeah, there's a couple of different things on a couple of different levels on a on a business level.
[00:19:59.480 --> 00:19:59.480]   - Yeah, there's a couple of different things on a couple of different levels on a on a business level.
[00:19:59.480 --> 00:19:59.480]   - Yeah, there's a couple of different things on a couple of different levels on a on a business level.
[00:19:59.480 --> 00:19:59.480]   - Yeah, there's a couple of different things on a couple of different levels on a on a business level.
[00:19:59.520 --> 00:20:29.500]   - Yeah, there's a couple of different things on a on a business level. My kids get paid as child actors, so the business pays them, goes into an IRA for them, which they don't care about right now, but one day they will, right? So they get paid on one level and they are assets to our family because we get like lots of stuff, you know, like toy companies will just send us hoping to be in a video, but also just in terms of being on the channel and things like that.
[00:20:29.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a on a business level.
[00:20:59.520 --> 00:20:59.520]   - Yeah, there's a couple of different things on a on a on a business level.
[00:20:59.560 --> 00:21:28.120]   in
[00:21:59.560 --> 00:21:59.560]   They're not saying we don't do that but you know when they just when they just feel like they're couch potatoes or they just get to do whatever they want to do they become these really selfless kind of self-centered people.
[00:21:59.560 --> 00:21:59.560]   a lot of people are self-centered people.
[00:21:59.560 --> 00:21:59.560]   And they're not saying we don't do that but you know when they just when they just feel like they're couch potatoes or they just get to do whatever they want to do they become these really selfless kind of self-centered people.
[00:21:59.560 --> 00:21:59.560]   And they're not saying we don't do that but you know when they just when they just feel like they're couch potatoes or they just get to do whatever they want to do they become these really selfless kind of self-centered people.
[00:21:59.560 --> 00:21:59.560]   And they're not saying we don't do that but you know when they just when they just feel like they're couch potatoes or they just get to do whatever they want to do they become these really selfless kind of self-centered people.
[00:22:29.600 --> 00:22:59.600]  obedient.com
[00:22:59.600 --> 00:22:59.600]   What are you guessing or hoping to see in the coming years as your children move into teenage years given the opportunities you have with entrepreneurship, homeschooling, etc. What are some of your dreams for them or the things you think might happen as they move into teenage years?
[00:22:59.600 --> 00:22:59.600]   Yeah.
[00:22:59.600 --> 00:22:59.600]   Yeah.
[00:22:59.600 --> 00:22:59.600]   Yeah.
[00:22:59.640 --> 00:23:15.760]  ,
[00:23:29.060 --> 00:23:31.060]   in
[00:23:31.060 --> 00:23:43.020]   in, was, fight the is Det
[00:23:43.020 --> 00:23:44.080]   round, and, and,--,,,,,idences
[00:23:56.080 --> 00:24:01.100]   spot those opportunities and being like, this is what it means for me to be a team
[00:24:01.100 --> 00:24:05.100]   player in this context right now. And so that could be in the home, it could be outside
[00:24:05.100 --> 00:24:09.100]   the home, it could be in a career, but I just kind of want them to grow up like with
[00:24:09.100 --> 00:24:14.100]   the core values that we put people first and that we are mission oriented,
[00:24:14.100 --> 00:24:19.100]   that we do it right. These are five things. So, so we people first. So that's like
[00:24:19.100 --> 00:24:23.100]   above everything else. Like sometimes it makes like for even in our business, sometimes it
[00:24:23.100 --> 00:24:23.100]   It doesn't make good revenue sense for us to do this.
[00:24:23.100 --> 00:24:23.100]   Sometimes it makes like for even in our business, sometimes it doesn't make good revenue sense for us to do this.
[00:24:23.100 --> 00:24:23.100]   Sometimes it makes like for even in our business, sometimes it doesn't make good revenue sense for us to do this.
[00:24:23.100 --> 00:24:52.140]  , but it serves the person the best. So we put people first. Mission oriented, that means like there's, there's a bigger cause behind what we're trying to do here. It is a family or the business. And like for us, it's not really just about growing views and subscribers for entrepreneurs. It's more about like how do we spread a message that changes people's lives. Right? And that we do it right. And so it's like, it's not just something that you do, but you do this right. And then you want to be a team player.
[00:24:52.140 --> 00:24:53.140]   Right? And so it's like, it's not just something that you do, but you do this right. And then you want to be a team player.
[00:24:53.160 --> 00:24:55.180]   And then you want to be a team player.
[00:24:55.180 --> 00:24:56.180]   And then you want to be a team player.
[00:24:56.180 --> 00:24:57.180]   And then you want to be a team player.
[00:24:57.180 --> 00:24:58.180]   And then you want to be a team player.
[00:24:58.180 --> 00:24:59.180]   And then you want to be a team player.
[00:24:59.180 --> 00:25:00.180]   And then you want to be a team player.
[00:25:00.180 --> 00:25:01.180]   And then you want to be a team player.
[00:25:01.180 --> 00:25:02.180]   And then you want to be a team player.
[00:25:02.180 --> 00:25:03.180]   And then you want to be a team player.
[00:25:03.180 --> 00:25:04.180]   And then you want to be a team player.
[00:25:04.180 --> 00:25:05.180]   And then you want to be a team player.
[00:25:05.180 --> 00:25:06.180]   And then you want to be a team player.
[00:25:06.180 --> 00:25:07.180]   And then you want to be a team player.
[00:25:07.180 --> 00:25:08.180]   And then you want to be a team player.
[00:25:08.180 --> 00:25:09.180]   And then you want to be a team player.
[00:25:09.180 --> 00:25:10.180]   And then you want to be a team player.
[00:25:10.180 --> 00:25:11.180]   And then you want to be a team player.
[00:25:11.180 --> 00:25:12.180]   And then you want to be a team player.
[00:25:12.220 --> 00:25:22.900]   play
[00:25:22.900 --> 00:25:23.540]   in things potatoes
[00:25:23.540 --> 00:25:26.520]   ", bad,его, ошиб,there. So,,,,,,,, de\
[00:25:42.020 --> 00:26:12.000]   began
[00:26:42.060 --> 00:26:42.060]  ,
