
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:08:20.920 --> 00:08:24.280]   And so I think same with putting out collections.
[00:08:24.280 --> 00:08:25.360]   You can't be timid.
[00:08:25.360 --> 00:08:28.680]   You gotta just really put something out that feels good
[00:08:28.680 --> 00:08:31.280]   and it might be a little scary to put out
[00:08:31.280 --> 00:08:33.680]   'cause maybe people respond poorly to it,
[00:08:33.680 --> 00:08:36.040]   but maybe they absolutely love you for it.
[00:08:36.040 --> 00:08:38.120]   So just put it, you know.
[00:08:38.120 --> 00:08:39.480]   - That's not, that's a really good point
[00:08:39.480 --> 00:08:41.440]   because like I was watching some interview
[00:08:41.440 --> 00:08:42.360]   and it really connected with me.
[00:08:42.360 --> 00:08:45.280]   And it was like the best players, basketball players,
[00:08:45.280 --> 00:08:47.800]   and I'm sure, you know, it's weird.
[00:08:47.800 --> 00:08:50.080]   Like an NBA, every player at some point
[00:08:50.080 --> 00:08:51.520]   was the man on their team.
[00:08:51.520 --> 00:08:54.280]   So they had this trait at some point,
[00:08:54.280 --> 00:08:56.320]   they probably were taking the last shot at some point,
[00:08:56.320 --> 00:09:00.560]   but the trait of being able to take on the risk
[00:09:00.560 --> 00:09:03.960]   and being confident enough to fail
[00:09:03.960 --> 00:09:07.760]   is really what makes the superstars in the NBA.
[00:09:07.760 --> 00:09:09.360]   It makes the great players in the NBA.
[00:09:09.360 --> 00:09:11.280]   And I'm sure it's similar like in your space,
[00:09:11.280 --> 00:09:14.720]   like being confident enough in your ability
[00:09:14.720 --> 00:09:18.040]   that you're okay failing and you're okay with the backlash.
[00:09:18.040 --> 00:09:21.120]   I feel like a lot of complacent people in life,
[00:09:21.120 --> 00:09:23.000]   that's one of the things they lack is--
[00:09:23.000 --> 00:09:23.840]   - For sure.
[00:09:23.840 --> 00:09:25.160]   - And that makes them fly under the radar.
[00:09:25.160 --> 00:09:28.520]   But being able to take on that risk is an important trait.
[00:09:28.520 --> 00:09:34.520]   - Yeah, the amount of failures I've had is like,
[00:09:34.520 --> 00:09:35.560]   there's been thousands.
[00:09:35.560 --> 00:09:38.200]   So I've taken every failure as a way to learn,
[00:09:38.200 --> 00:09:42.040]   but yeah, it's damn near impossible
[00:09:42.040 --> 00:09:43.240]   to succeed in this business.
[00:09:43.240 --> 00:09:46.920]   So just being able to eat shit day in and day out
[00:09:46.920 --> 00:09:48.760]   and just keep pushing and keep trying.
[00:09:48.760 --> 00:09:51.760]   And if you give up, that's when you won't make it.
[00:09:51.760 --> 00:09:54.200]   But if you keep pushing, like there is a finish line
[00:09:54.200 --> 00:09:55.840]   or not necessarily a finish line,
[00:09:55.840 --> 00:09:58.640]   but you're gonna get somewhere as long as you keep pushing
[00:09:58.640 --> 00:10:01.080]   and you gotta be able to handle the failures
[00:10:01.080 --> 00:10:02.520]   and the people that are against you.
[00:10:02.520 --> 00:10:05.880]   And people will come in waves of loving you or hating you
[00:10:05.880 --> 00:10:08.240]   or loving the product or hating the product.
[00:10:08.240 --> 00:10:09.080]   - Yeah.
[00:10:09.080 --> 00:10:10.000]   - So.
[00:10:10.000 --> 00:10:10.960]   - That does seem stressful.
[00:10:10.960 --> 00:10:15.200]   What is your ways you think of being able to deal with that?
[00:10:15.200 --> 00:10:17.800]   I mean, basketball athletes have their own ways.
[00:10:17.800 --> 00:10:18.680]   I'm sure you have your way.
[00:10:18.680 --> 00:10:20.120]   How do you, 'cause it's a lot.
[00:10:20.120 --> 00:10:23.960]   And to even maintain like joy and happiness in life,
[00:10:23.960 --> 00:10:26.040]   you gotta have, is it your family, your friend?
[00:10:26.040 --> 00:10:26.880]   What is it?
[00:10:26.880 --> 00:10:29.040]   - That's what I'm, this year,
[00:10:29.040 --> 00:10:31.400]   like just this past few months is like,
[00:10:31.400 --> 00:10:36.400]   I'm really learning to be present and enjoy life for,
[00:10:36.400 --> 00:10:39.560]   yeah, family, find the friends that you love
[00:10:39.560 --> 00:10:42.560]   and figure out the things that give you peace
[00:10:42.560 --> 00:10:44.000]   and do those things.
[00:10:44.000 --> 00:10:47.440]   Because I got caught, got so caught up
[00:10:47.440 --> 00:10:50.280]   just being stressed about wanting to perform
[00:10:50.280 --> 00:10:52.440]   and make sure I'd be so successful
[00:10:52.440 --> 00:10:54.360]   and I'd get this pop up and my clothes would be
[00:10:54.360 --> 00:10:55.200]   in this store.
[00:10:55.200 --> 00:10:56.920]   But in the end, you get those things
[00:10:56.920 --> 00:10:59.360]   and like nothing really changed about your life
[00:10:59.360 --> 00:11:01.040]   or your heart or your wellbeing.
[00:11:01.040 --> 00:11:03.480]   So the things that really mattered would be
[00:11:03.480 --> 00:11:05.880]   spending that time with your family and friends
[00:11:05.880 --> 00:11:06.720]   and loved ones.
[00:11:06.720 --> 00:11:08.280]   And that's what really matters.
[00:11:08.280 --> 00:11:10.320]   And then making sure your business,
[00:11:10.320 --> 00:11:12.520]   your business will perform better
[00:11:12.520 --> 00:11:14.960]   if you put more attention into those things,
[00:11:14.960 --> 00:11:16.280]   you know, 'cause you'll be more at peace.
[00:11:16.280 --> 00:11:20.840]   And it's just kind of having that carefree feeling.
[00:11:20.840 --> 00:11:22.320]   Like if it works, it works.
[00:11:22.320 --> 00:11:23.440]   If it doesn't, it doesn't.
[00:11:23.440 --> 00:11:25.000]   But I love what I'm doing.
[00:11:25.000 --> 00:11:28.080]   And like, that's how your mentality should be.
[00:11:28.080 --> 00:11:29.120]   - It's true.
[00:11:29.120 --> 00:11:29.960]   And it's weird.
[00:11:29.960 --> 00:11:31.760]   Like when people talk about even the law of attraction
[00:11:31.760 --> 00:11:34.400]   and things like this, the more you want something,
[00:11:34.400 --> 00:11:35.800]   sometimes the more it evades you.
[00:11:35.800 --> 00:11:38.240]   But the more you kind of like, you know,
[00:11:38.240 --> 00:11:40.080]   put your energy into other things as well
[00:11:40.080 --> 00:11:41.560]   and kind of just, you know, like you said,
[00:11:41.560 --> 00:11:45.680]   that carefree mentality.
[00:11:45.680 --> 00:11:48.360]   And this is something I think I've spoken on another podcast
[00:11:48.360 --> 00:11:51.680]   but how when you're so focused on chasing something
[00:11:51.680 --> 00:11:54.560]   or like an end goal, sometimes we get those things
[00:11:54.560 --> 00:11:57.360]   and it doesn't change anything about how happy we are,
[00:11:57.360 --> 00:11:58.440]   how peaceful we are.
[00:11:58.440 --> 00:12:01.200]   And it's weird how some people go through their whole life
[00:12:01.200 --> 00:12:04.280]   and they think if I get this or I get this or this,
[00:12:04.280 --> 00:12:05.260]   that will make me happy.
[00:12:05.260 --> 00:12:06.960]   You know, as a basketball player,
[00:12:06.960 --> 00:12:10.440]   I've talked about this before, you know,
[00:12:10.440 --> 00:12:12.520]   your whole life you wanna be a D1 player,
[00:12:12.520 --> 00:12:13.880]   whatever it is, you get that.
[00:12:13.880 --> 00:12:15.440]   Then you're like, man, I really wanna get drafted.
[00:12:15.440 --> 00:12:16.760]   If I get drafted and I get some money
[00:12:16.760 --> 00:12:18.020]   and I can help my family out,
[00:12:18.020 --> 00:12:18.860]   then I'll be happy.
[00:12:18.860 --> 00:12:21.020]   Then you get in the NBA and you're not playing.
[00:12:21.020 --> 00:12:23.040]   Then you're like, oh, if I could just get on the court
[00:12:23.040 --> 00:12:25.300]   and be in the rotation, I'll be happy.
[00:12:25.300 --> 00:12:26.440]   Then it's, I wanna be a starter.
[00:12:26.440 --> 00:12:27.280]   I wanna be...
[00:12:27.280 --> 00:12:29.120]   And so the whole point is like, it never stops.
[00:12:29.120 --> 00:12:30.120]   - It never stops.
[00:12:30.120 --> 00:12:32.200]   - That's the human kind of mind.
[00:12:32.200 --> 00:12:34.600]   I don't know, like, I feel like in a,
[00:12:34.600 --> 00:12:36.480]   over here in the Western world,
[00:12:36.480 --> 00:12:39.000]   that's probably just more of like the hustle mindset,
[00:12:39.000 --> 00:12:42.120]   the American dream, like go get it mindset,
[00:12:42.120 --> 00:12:44.120]   but it really kills a lot of people's ability
[00:12:44.120 --> 00:12:46.120]   to achieve peace and happiness.
[00:12:46.120 --> 00:12:48.260]   So I think-- - It's so hard to be happy, yeah.
[00:12:48.260 --> 00:12:51.140]   - I think, you know, in an industry as stressful as yours,
[00:12:51.140 --> 00:12:54.500]   and we talked about this in the sauna at Voda,
[00:12:54.500 --> 00:12:56.260]   shout out to Voda Spa. - Voda.
[00:12:56.260 --> 00:12:58.180]   - We go there and we have good conversations.
[00:12:58.180 --> 00:13:00.100]   - Voda. - Yeah.
[00:13:00.100 --> 00:13:03.720]   We just talked about like, how do you have happiness
[00:13:03.720 --> 00:13:04.940]   and peace through the midst of like
[00:13:04.940 --> 00:13:07.620]   the entire stressful process of life?
[00:13:07.620 --> 00:13:09.540]   And you kind of have come to that realization,
[00:13:09.540 --> 00:13:11.020]   which I feel like is important.
[00:13:11.020 --> 00:13:14.580]   - So now I'm just learning how to tackle that
[00:13:14.580 --> 00:13:17.980]   to the best of my ability, like going back on that.
[00:13:17.980 --> 00:13:22.980]   For instance, we just opened up our own pop-up takeover
[00:13:22.980 --> 00:13:24.480]   at Maxfield in Los Angeles,
[00:13:24.480 --> 00:13:26.100]   one of the best boutiques in the world.
[00:13:26.100 --> 00:13:28.980]   Like, since I started, that was my dream.
[00:13:28.980 --> 00:13:32.140]   It's like, I want my name on the window of Maxfield.
[00:13:32.140 --> 00:13:33.260]   I wanna do an installation.
[00:13:33.260 --> 00:13:34.780]   I wanna have a collection with them.
[00:13:34.780 --> 00:13:35.820]   We just had that.
[00:13:35.820 --> 00:13:38.660]   The opening night was just the other night,
[00:13:38.660 --> 00:13:43.660]   and it was amazing, but it happened, and now it's gone.
[00:13:44.140 --> 00:13:46.060]   I mean, it's still up, but it just like,
[00:13:46.060 --> 00:13:48.720]   that moment happened, and it's just like, now what?
[00:13:48.720 --> 00:13:50.460]   Like, now what?
[00:13:50.460 --> 00:13:52.260]   And so like, but then I had a night
[00:13:52.260 --> 00:13:54.940]   with my family and friends, and we celebrated,
[00:13:54.940 --> 00:13:59.060]   and being at home with them was almost the better moment
[00:13:59.060 --> 00:14:02.300]   than the event itself, you know?
[00:14:02.300 --> 00:14:06.740]   Like, so just finding ways to step back and breathe,
[00:14:06.740 --> 00:14:10.140]   and just, I think being present is the hardest part,
[00:14:10.140 --> 00:14:13.060]   'cause we're always consumed like on what's next,
[00:14:13.060 --> 00:14:14.460]   or how am I gonna make this better?
[00:14:14.460 --> 00:14:15.540]   Are people gonna like it?
[00:14:15.540 --> 00:14:17.460]   And it's really just about like,
[00:14:17.460 --> 00:14:22.460]   when I spend time with you, it's just different, you know?
[00:14:22.460 --> 00:14:24.780]   - Bro, same thing.
[00:14:24.780 --> 00:14:26.620]   Like, I would compare your Maxfield opening
[00:14:26.620 --> 00:14:29.500]   to like us winning the finals, right?
[00:14:29.500 --> 00:14:33.500]   Every NBA player's goal is to win a championship, you know?
[00:14:33.500 --> 00:14:35.700]   And then you do that, and then you celebrate the next day,
[00:14:35.700 --> 00:14:37.420]   and the next two days, bro, you're just at home.
[00:14:37.420 --> 00:14:38.860]   Like, what's next?
[00:14:38.860 --> 00:14:39.940]   Like, what?
[00:14:39.940 --> 00:14:41.860]   And then, you know, you get to celebrate with your family,
[00:14:41.860 --> 00:14:43.060]   and you know, you have the memories,
[00:14:43.060 --> 00:14:46.660]   but even when like I saw like the Chiefs, for example,
[00:14:46.660 --> 00:14:47.500]   like Patrick Mahomes,
[00:14:47.500 --> 00:14:48.940]   and then win the Super Bowl this past year,
[00:14:48.940 --> 00:14:52.380]   and he was, in the press conference, he was like,
[00:14:52.380 --> 00:14:53.820]   like, we're gonna get a third one next year,
[00:14:53.820 --> 00:14:55.220]   but you just won that one,
[00:14:55.220 --> 00:14:57.780]   and it's hard to even like enjoy the moment.
[00:14:57.780 --> 00:15:00.140]   So it's a whole, it's just a,
[00:15:00.140 --> 00:15:02.300]   it's a crazy mindset that we have as humans.
[00:15:02.300 --> 00:15:04.700]   But going back to, like you said,
[00:15:04.700 --> 00:15:07.660]   you just opened up your pop-up shop at Maxfield,
[00:15:07.660 --> 00:15:08.980]   and that's a big deal, like, you know?
[00:15:08.980 --> 00:15:10.020]   - It's the Mecca.
[00:15:10.020 --> 00:15:12.060]   It's like every designer's dream
[00:15:12.060 --> 00:15:14.460]   is to do a takeover with Maxfield.
[00:15:14.460 --> 00:15:15.380]   - Yeah, that's huge.
[00:15:15.380 --> 00:15:17.420]   How did that kind of like come about,
[00:15:17.420 --> 00:15:19.940]   and how do you see that kind of springboarding your brand
[00:15:19.940 --> 00:15:21.700]   even to bigger heights than it is?
[00:15:21.700 --> 00:15:25.180]   - I mean, that came, that's just a million baby steps,
[00:15:25.180 --> 00:15:26.180]   getting to this point.
[00:15:26.180 --> 00:15:29.140]   Like, I posted on my social media,
[00:15:29.140 --> 00:15:31.420]   along with the photo of me at Maxfield,
[00:15:31.420 --> 00:15:33.220]   with a swipe to the email,
[00:15:33.220 --> 00:15:37.340]   showing in 2016, 2017, 2018,
[00:15:37.340 --> 00:15:39.620]   asking the buyers just for a chance,
[00:15:39.620 --> 00:15:41.540]   just to show them the collection.
[00:15:41.540 --> 00:15:44.060]   Like, I was just banging my foot on the door.
[00:15:44.060 --> 00:15:47.940]   And so it was just years of perseverance,
[00:15:47.940 --> 00:15:50.660]   and not giving up, and the time will come.
[00:15:50.660 --> 00:15:55.060]   So I think it was just that matter
[00:15:55.060 --> 00:15:56.980]   of just not giving up on that.
[00:15:56.980 --> 00:15:58.260]   - Yeah, I can't wait to go check it out.
[00:15:58.260 --> 00:16:00.260]   We're gonna go check it out tomorrow morning.
[00:16:00.260 --> 00:16:03.260]   You got the big apple in there, in the store.
[00:16:03.260 --> 00:16:04.100]   Talk about that.
[00:16:04.100 --> 00:16:05.300]   What is the meaning of that?
[00:16:05.300 --> 00:16:08.780]   - Yeah, I partnered with this amazing digital artist,
[00:16:08.780 --> 00:16:12.820]   Andres Rezinger, and we were conceptualizing
