
[00:00:00.040 --> 00:00:09.540]  ечение
[00:06:19.240 --> 00:06:20.860]   after conduct " I'm the this, and, and, passion,,,,,,, home cult I'm a志 ja undercover um estud but the disc at the un то theSuper 2500 counterpart orill "N, "D, "So, "C, Nie, "G, sooner " Bolsonaro " dedic "告诉 " seria " co "然後 winds " head ' " NV " more 100 Jungle " all but I'm Santa showed the party "bracht made the were allnah em tr elong IP there's in Spl starts 1990あり limit достиing in shouldn 1987있는 hell ber besides Steve that says the asked the minute wall afect the top be the almost in my consequences he Kumbut in the錢ishnaahh they're in� wherever cooling face the chest theifique we're email recover the
[00:06:20.900 --> 00:06:50.660]  millimeter that we're on facebook back like everything is crazy and that they feel crazy but in person and out and with the out in the country but you know I used to live in Washington DC and in New York City and there it's just all right in your face and you start to think that those East Coast cities are the only cities not that matter but that existed and everything everything else is just like it's a thing out there and and I know that that is a stereotype but that is a you get to a very narrowly
[00:06:50.660 --> 00:06:50.660]   the
[00:06:50.660 --> 00:06:50.660]   you get to a very narrowly
[00:06:50.660 --> 00:06:50.660]   focus on the things that are not there and and I know that that is a stereotype but that is um you you get to a very narrowly
[00:06:50.660 --> 00:06:50.660]   focus on the things that are not there and and I know that that is a stereotype but that is um you you get to a very narrowly
[00:06:50.660 --> 00:06:50.660]   focus on the things that are not there and and I know that that is a stereotype but that is um you you get to a very narrowly
[00:06:50.700 --> 00:07:00.340]   associate
[00:07:00.340 --> 00:07:01.720]   ac scan. It,'t,
[00:07:18.940 --> 00:07:23.640]   about politics. That was my job.
[00:07:23.640 --> 00:07:24.760]   What do you think of Trump?
[00:07:24.760 --> 00:07:25.840]   What do you think of Hillary Clinton?
[00:07:25.840 --> 00:07:27.000]   What do you think of what's going on?
[00:07:27.000 --> 00:07:30.300]   Well, going out on my own really gave me an opportunity
[00:07:30.300 --> 00:07:33.300]   to not ask those questions and see what people say.
[00:07:33.300 --> 00:07:39.180]   In nine months, no one brought up politics once.
[00:07:39.180 --> 00:07:40.720]   And I talked to a lot of people.
[00:07:40.720 --> 00:07:41.140]   Really?
[00:07:41.140 --> 00:07:42.960]   I let them guide the conversation.
[00:07:42.960 --> 00:07:43.280]   Right.
[00:07:43.280 --> 00:07:47.180]   Not a single person mentioned what was going on in Washington.
[00:07:47.180 --> 00:07:47.180]   Now, they might have just been polite,
[00:07:47.180 --> 00:07:47.180]   They're not going to be able to tell you what's going on in Washington.
[00:07:47.180 --> 00:07:47.180]   They're not going to be able to tell you what's going on in Washington.
[00:07:47.180 --> 00:07:47.180]   They're not going to be able to tell you what's going on in Washington.
[00:07:47.180 --> 00:07:47.180]   They're not going to be able to tell you what's going on in Washington.
[00:07:47.280 --> 00:08:15.840]  , because I was new.
[00:08:15.840 --> 00:08:15.920]   But I spent a good amount of time with people, maybe a series of days.
[00:08:15.920 --> 00:08:15.980]   There is so much more to talk about.
[00:08:15.980 --> 00:08:16.020]   And they have an interest in talking about it, but it didn't have anything to do what was in the newspaper.
[00:08:16.020 --> 00:08:16.120]   And I found that phenomenally refreshing, but also fascinating as well.
[00:08:16.120 --> 00:08:16.180]   Right.
[00:08:16.180 --> 00:08:16.180]   So, frankly, Chris, I don't know how to analyze this.
[00:08:16.180 --> 00:08:16.240]   So, I also, when we were traveling, I also was very cut off from much of the media.
[00:08:16.260 --> 00:08:17.520]   I've had massive problems disconnecting myself from my phone.
[00:08:17.520 --> 00:08:17.580]   I've had massive problems disconnecting myself from my phone.
[00:08:17.580 --> 00:08:17.780]   I've had massive problems disconnecting myself from my phone.
[00:08:17.780 --> 00:08:18.120]   In order to get anything done, I'll tell you how extreme I've had to be.
[00:08:18.120 --> 00:08:18.180]   In order to get anything done, I'll tell you how extreme I've had to be.
[00:08:18.180 --> 00:08:18.280]   So, for years, I've taken off social media.
[00:08:18.280 --> 00:08:18.380]   So, for years, I've taken off social media.
[00:08:18.380 --> 00:08:18.580]   I used to be addicted to YouTube.
[00:08:18.580 --> 00:08:18.680]   I used to be addicted to YouTube.
[00:08:18.680 --> 00:08:18.980]   I took off YouTube.
[00:08:18.980 --> 00:08:19.080]   I took off YouTube.
[00:08:19.080 --> 00:08:19.180]   Then I took off all the social media apps.
[00:08:19.180 --> 00:08:19.280]   Then I took off all the social media apps.
[00:08:19.280 --> 00:08:31.320]   Then I took off all the social media apps.
[00:08:31.320 --> 00:08:31.320]   It got so bad that for me to get something done, I had to completely eliminate my browser, my web browser from my phone.
[00:08:31.340 --> 00:08:47.640]   So, for the entirety of our traveling around the country, not once I didn't log on to Facebook.
[00:08:47.640 --> 00:08:47.700]   So, for the entirety of our traveling around the country, not once I didn't log on to Facebook.
[00:08:47.700 --> 00:08:47.780]   So, for the entirety of our traveling around the country, not once I didn't log on to Facebook.
[00:08:47.780 --> 00:08:47.840]   I haven't logged on in eight months at this point.
[00:08:47.840 --> 00:08:47.940]   I haven't logged on in eight months at this point.
[00:08:47.940 --> 00:08:48.040]   I haven't logged on in eight months at this point.
[00:08:48.040 --> 00:08:48.140]   I didn't log on to almost anything.
[00:08:48.140 --> 00:08:48.220]   I didn't log on to almost anything.
[00:08:48.220 --> 00:08:48.280]   I didn't log on to almost anything.
[00:08:48.280 --> 00:08:48.380]   I didn't log on to almost anything.
[00:08:48.380 --> 00:08:48.480]   I didn't log on to almost anything.
[00:08:48.480 --> 00:08:48.620]   I didn't log on to almost anything.
[00:08:48.620 --> 00:08:48.720]   I didn't log on to almost anything.
[00:08:48.720 --> 00:08:48.820]   I didn't log on to almost anything.
[00:08:48.820 --> 00:08:48.880]   I didn't log on to almost anything.
[00:08:48.920 --> 00:09:00.100]   like
[00:09:00.100 --> 00:09:17.020]   far P Pet A I is a ends, and, and, and,.,,,,,,, bringing
[00:09:17.060 --> 00:09:28.300]   ISS
[00:09:28.300 --> 00:09:30.000]   do,;, doesn vis in theuss cort,,,,,, air P
[00:09:30.000 --> 00:09:31.760]   what felt but was a
[00:09:46.100 --> 00:09:49.620]   in Washington and New York, they're the ones who are arguing and no one else cares.
[00:09:49.620 --> 00:09:56.620]   No, people do care, but I think people in Washington and New York assume that most people are thinking about them far more than they are.
[00:09:56.620 --> 00:09:57.620]   I agree.
[00:09:57.620 --> 00:10:06.620]   And, you know, in the business that I was, I remember thinking that what Congressman so-and-so just said in the hallways of Congress was the most important thing and I had to get it out immediately and I was going to change the world.
[00:10:06.620 --> 00:10:07.620]   Right, right, right.
[00:10:07.620 --> 00:10:15.140]   And I realized, oh, people consume a lot slower than they do when you're in the belly of the beast, so to speak.
[00:10:15.140 --> 00:10:15.140]   . . .
[00:10:15.180 --> 00:10:25.000]   small
[00:10:25.000 --> 00:10:25.420]   servants, it,
[00:10:25.420 --> 00:10:29.340]   Godió
[00:11:12.820 --> 00:11:12.820]   The
[00:11:12.820 --> 00:11:12.820]   The
[00:11:12.820 --> 00:11:12.820]   The
[00:11:12.820 --> 00:11:12.820]   The
[00:11:12.820 --> 00:11:12.820]   The
[00:11:12.860 --> 00:11:15.260]   renders the word "new" which means "new" in English.
[00:11:15.260 --> 00:11:19.020]   The average audience for a cable news channel is under half a million people.
[00:11:19.020 --> 00:11:19.660]   The average audience for a cable news channel is under half a million people.
[00:11:19.660 --> 00:11:23.260]   The average audience for a cable news channel is under half a million people.
[00:11:23.260 --> 00:11:23.660]   The average audience for a cable news channel is under half a million people.
[00:11:23.660 --> 00:11:28.300]   And yet, this under half a million people don't, they're not sitting and watching it currently.
[00:11:28.300 --> 00:11:34.220]   It's just on in the background so Nielsen's scraping the fact that it's on, but they're not necessarily paying total attention to it.
[00:11:34.220 --> 00:11:38.620]   In a nation of 300 million people, that's really not that much of an impact.
[00:11:38.620 --> 00:11:40.940]   Most people just don't care about the news.
[00:11:40.940 --> 00:11:41.660]   Most people don't care about what all of that subject matter is.
[00:11:41.660 --> 00:11:41.660]   Most people just don't care about what all of that subject matter is.
[00:11:41.860 --> 00:12:10.980]  , but when I'm in the middle of it, I think it's all that matters.
[00:12:10.980 --> 00:12:11.220]   But when I'm in the middle of it, I think it's all that matters.
[00:12:11.220 --> 00:12:11.540]   And you've been far more in the middle of it than I have, and only getting out of it and completely walking away from it, have I seen.
[00:12:11.540 --> 00:12:11.620]   And only getting out of it and completely walking away from it, have I seen.
[00:12:11.620 --> 00:12:11.620]   Listen, it's not that important.
[00:12:11.620 --> 00:12:11.620]   Listen, it's not that important.
[00:12:11.620 --> 00:12:11.620]   The crisis of the day is not the most important thing.
[00:12:11.620 --> 00:12:11.620]   The crisis of the day is not the most important thing.
[00:12:11.620 --> 00:12:11.620]   So I agree with you. Now, I want to talk about a number of different areas and try to speak practically about our observations.
[00:12:11.620 --> 00:12:11.620]   I want to talk about a number of different areas and try to speak practically about our observations.
[00:12:11.640 --> 00:12:12.380]   I want to talk about a number of different areas and try to speak practically about our observations.
[00:12:12.380 --> 00:12:12.380]   I struggle with this question of optimism or pessimism, because I think that optimism is always a logical solution.
[00:12:12.380 --> 00:12:16.540]   I struggle with this question of optimism or pessimism, because I think that optimism is always a logical solution.
[00:12:16.540 --> 00:12:20.540]   I struggle with this question of optimism or pessimism, because I think that optimism is always a logical solution.
[00:12:20.540 --> 00:12:20.540]   If we look and analyze, life is getting better in general for most of us on most every metric in general.
[00:12:20.540 --> 00:12:27.980]   If we look and analyze, life is getting better in general for most of us on most every metric in general.
[00:12:27.980 --> 00:12:28.060]   If you look at the course of the history of the world, millions of people are coming out of poverty.
[00:12:28.060 --> 00:12:31.740]   If you look at the course of the history of the world, millions of people are coming out of poverty.
[00:12:31.740 --> 00:12:31.740]   If you look at the course of the history of the world, millions of people are coming out of poverty.
[00:12:32.660 --> 00:12:53.860]   and see that things have changed.
[00:12:53.860 --> 00:12:55.940]   and see that things have changed.
[00:12:55.940 --> 00:12:56.500]   I don't know what your reading has been like while you've been on the road, but the most influential book I read in 2018 was a book called Silk Road.
[00:12:56.500 --> 00:12:57.060]   I don't know what your reading has been like while you've been on the road, but the most influential book I read in 2018 was a book called Silk Road.
[00:12:57.060 --> 00:12:58.580]   I don't know what your reading has been like while you've been on the road, but the most influential book I read in 2018 was a book called Silk Road.
[00:12:58.580 --> 00:13:01.700]   The author was a historian, and he traced the history of the history of the world.
[00:13:01.700 --> 00:13:01.700]   The author was a historian, and he traced the history of the history of the world.
[00:13:01.700 --> 00:13:01.700]   I don't know what you're reading what you're reading is about.
[00:13:01.720 --> 00:13:08.460]   and it was fascinating because of course he was touching on basic things,
[00:13:08.460 --> 00:13:08.460]   and it was fascinating because of course he was touching on basic things,
[00:13:08.460 --> 00:13:08.700]   and it was fascinating because of course he was touching on basic things, but what I saw was that the history of the world is constantly a history of problems.
[00:13:08.700 --> 00:13:12.700]   but what I saw was that the history of the world is constantly a history of problems.
[00:13:12.700 --> 00:13:12.780]   but what I saw was that the history of the world is constantly a history of problems.
[00:13:12.780 --> 00:13:16.700]   and figuring out how to bring together this macro trend while being realistic with the micro trends, I find it impossible.
[00:13:16.700 --> 00:13:20.940]   and figuring out how to bring together this macro trend while being realistic with the micro trends, I find it impossible.
[00:13:20.940 --> 00:13:20.940]   and figuring out how to bring together this macro trend while being realistic with the micro trends, I find it impossible.
[00:13:20.940 --> 00:13:20.940]   and I don't know how to do it, especially as looking at the United States.
[00:13:20.960 --> 00:13:45.220]   I think you just look at the data over the long period of time that the trajectory, despite a lot of hiccups, in terms of prosperity, health is up.
[00:13:45.220 --> 00:13:45.220]   I think you just look at the data over the long period of time that the trajectory, despite a lot of hiccups, in terms of prosperity, health is up.
[00:13:45.220 --> 00:13:47.700]   I think you just look at the data over the long period of time that the trajectory, despite a lot of hiccups, in terms of prosperity, health is up.
[00:13:47.700 --> 00:13:50.900]   And I think it's easy to feel pessimistic because we are met with a lot of noise that sounds very scary.
[00:13:50.900 --> 00:13:50.900]   And I think it's easy to feel pessimistic because we are met with a lot of noise that sounds very scary.
[00:13:50.900 --> 00:13:50.900]   But we also are heading into this new year that is a year where there's more prosperity than there ever has been.
[00:13:50.900 --> 00:13:50.900]   But we also are heading into this new year that is a year where there's more prosperity than there ever has been.
[00:13:50.900 --> 00:14:13.100]   I think the trend lines are going up. We have access to more goods and services and there's more trade happening between nations than there ever has been before.
[00:14:13.100 --> 00:14:13.100]   And with more trade comes more peace, not ultimate, not eternal peace, but some.
[00:14:13.100 --> 00:14:20.860]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:20.860 --> 00:14:20.860]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:20.860 --> 00:14:20.860]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:20.860 --> 00:14:20.860]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:20.880 --> 00:14:20.980]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:20.980 --> 00:14:21.060]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:21.060 --> 00:14:21.140]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:21.140 --> 00:14:50.820]   and so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:50.820 --> 00:14:50.820]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:50.820 --> 00:14:50.820]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:50.820 --> 00:14:50.820]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:50.820 --> 00:14:50.820]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:14:50.820 --> 00:15:20.820]  , and so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:15:20.820 --> 00:15:20.840]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:15:20.840 --> 00:15:20.840]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:15:20.840 --> 00:15:20.840]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the future.
[00:15:20.840 --> 00:15:20.840]   And so I can only be optimistic on a grand scale, but still go through the year being pessimistic about the year being pessimistic about the future.
[00:15:21.640 --> 00:15:31.800]   coriander
[00:15:31.800 --> 00:15:49.860]   CADität t知 the we is a community of the GWRA eventually embarrassment WiseSpe shy round ac Till I prep視 at東 Pract, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, Jessie, causes. S.掉.視, ant, er. Touch. crossover. Sarah護新. valor. don. water. NE bicy10. join. hell. người Shri.THE. tattoo приготов erAng. er.�ro. thin. fire. he's in the extra. зас. look. IG. sell buy Sam, work. elasticity嗎.imp. goed. know, brought the more. то�.Was de split. remain the people's wanted to beung.
[00:15:49.960 --> 00:16:00.720]   a
[00:16:00.720 --> 00:16:17.580]   as, discuss,,,,,, I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform covidemment
[00:16:18.440 --> 00:16:46.920]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon
[00:16:46.920 --> 00:16:46.920]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon
[00:16:46.920 --> 00:16:46.920]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon
[00:16:46.920 --> 00:16:46.920]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon
[00:16:46.920 --> 00:16:46.920]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon
[00:16:46.920 --> 00:16:46.920]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon
[00:16:46.920 --> 00:16:46.920]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon
[00:16:46.920 --> 00:17:15.420]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon
[00:17:15.420 --> 00:17:15.420]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a knitting brain and it's be inform coordon coordon
[00:17:15.420 --> 00:17:15.420]   I'm a small заключ less ciprofitbuA Sh Don I's a wrapped a wrapped a knitting brain and it's be inform coordon
[00:17:15.420 --> 00:17:15.420]   I'm a wrapped a wrapped a knitting brain and it's be inform coordon I'm a wrapped a wrapped a knitting brain and it's be inform coordon
[00:17:15.440 --> 00:17:35.460]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:35.460 --> 00:17:57.560]  , and it's be inform coordon I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:57.560 --> 00:17:57.600]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:57.600 --> 00:17:57.600]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:57.600 --> 00:17:57.900]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:57.900 --> 00:17:57.940]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:57.940 --> 00:17:57.960]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:57.960 --> 00:17:58.000]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:58.000 --> 00:17:58.040]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:58.040 --> 00:17:58.080]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:58.080 --> 00:17:58.140]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:58.140 --> 00:17:58.200]   I'm a wrapped a wrapping a knitting brain and it's be inform coordon
[00:17:58.240 --> 00:18:08.220]   will
[00:18:08.220 --> 00:18:09.240]   & a or pat
[00:18:09.240 --> 00:18:22.260]   Tex A H H immigrant, and, and, and, and, and, or, title en, late,�iyet,����--�,�,jintern,charged, set, ♥ S H . X . . . . Q . 5 . episodes St Imagine� AI C
[00:18:27.320 --> 00:18:45.340]   I think the data is, the data are showing that, that while there is divides in certain areas, poor, people that are, are in poverty still, the life, the standard of living is increasing.
[00:18:45.340 --> 00:18:46.340]   Absolutely.
[00:18:46.340 --> 00:18:52.340]   And, and so, you know, I would still say that it's, it's still, you know, people are, are doing better year after year.
[00:18:52.340 --> 00:19:18.380]  - Yeah, I agree.
[00:19:18.380 --> 00:19:21.380]   And so, the, the classic argument, which I would affirm is the, what matters is not so much the difference between the rich and the poor in terms of the nominal difference.
[00:19:21.380 --> 00:19:22.380]   What matters is what is the standard of living.
[00:19:22.420 --> 00:19:32.720]  eleri
[00:19:32.720 --> 00:19:34.600]   at, open,
[00:19:34.600 --> 00:19:48.080]   chúng escort breakthrough aggressive keptedGA decent le'm milk and me are Ober Lights M T K Not smartGG "C, the, at, the weight. I, the, the, the, the, the,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, in the,rzy그� challenge please S
[00:19:48.080 --> 00:19:49.800]   soundtrack qualcosaOLDI
[00:19:49.800 --> 00:19:50.640]   needs二 or not return tell reduced a continue to be over this gratis buad F Bree'sabout 3 or donkey is the rest part of a was Sem места Moh----R. I'm not,izza a slice a financiro, Jinping itself, αλλάachu
[00:19:50.660 --> 00:19:59.980]   people and we seem to have become a culture of takers rather than a culture of people who recognize the opportunities we have and want to engage in those.
[00:19:59.980 --> 00:20:09.700]   We've become much more focused on our jealousy of what our neighbor has and how can we get some of it for us, get me some, rather than how can we produce something that our neighbor might want to buy from us.
[00:20:09.700 --> 00:20:13.780]   I think you hit on something very important about covetousness and envy.
[00:20:13.780 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:18.680]   I think we're reaching an envy epidemic right now.
[00:20:18.680 --> 00:20:47.720]  , I think we're reaching an envy epidemic right now.
[00:20:47.720 --> 00:20:47.720]   I think we're reaching an envy epidemic right now.
[00:20:47.720 --> 00:20:47.720]   I think we're reaching an envy epidemic right now.
[00:20:47.720 --> 00:20:47.720]   I think we're reaching an envy epidemic right now.
[00:20:47.720 --> 00:20:47.720]   I think we're reaching an envy epidemic right now.
[00:20:47.720 --> 00:20:48.720]   I think we're reaching an envy epidemic right now.
[00:20:48.720 --> 00:20:48.720]   I think we're reaching an envy epidemic right now.
[00:20:48.720 --> 00:20:48.720]   I think we're reaching an envy epidemic right now. I think we're reaching an envy epidemic right now.
[00:20:48.760 --> 00:20:58.640]  ,
[00:23:08.160 --> 00:23:10.460]   out
[00:23:10.460 --> 00:23:18.120]   it's
[00:23:18.120 --> 00:23:35.720]   play the. I,
[00:23:36.560 --> 00:23:46.400]  rell
[00:23:46.400 --> 00:24:05.460]   check� does de,,,,, connects to Pri I I buy Selbst Итак Judge be in the living. This. And, ", ", ",", ",'s, remain in the village. public ensure the經 the 对uria their change in the registration the lowest the al 없
