
[00:00:00.040 --> 00:00:09.520]  ihad
[00:08:45.840 --> 00:08:45.840]   ,
[00:08:45.840 --> 00:08:45.840]   ,
[00:08:45.840 --> 00:08:45.840]   ,
[00:08:45.840 --> 00:08:45.840]   ,
[00:08:45.880 --> 00:08:55.900]   At
[00:08:55.900 --> 00:08:59.940]  , messing the. This var
[00:09:14.260 --> 00:09:34.840]   You'll find that reference in Diane Ravitch's book, The Great School Wars. Be good now,
[00:09:34.840 --> 00:09:42.640]   Leymah. The 1920s were a boom period for forced schooling, as well as for the stock
[00:09:42.640 --> 00:09:42.640]   The 1920s were a boom period for forced schooling, as well as for the stock
[00:09:42.640 --> 00:09:42.640]   The 1920s were a boom period for forced schooling, as well as for the stock
[00:09:42.640 --> 00:09:42.640]   The 1920s were a boom period for forced schooling, as well as for the stock market.
[00:09:42.640 --> 00:09:42.640]   The 1920s were a boom period for forced schooling, as well as for the stock market. A book called The Great School Wars,
[00:09:42.640 --> 00:09:42.640]   The 1920s were a boom period for forced schooling, as well as for the stock market. A book called The Great School Wars,
[00:09:42.640 --> 00:09:42.640]   The 1920s were a boom period for forced schooling, as well as for the stock market. A book called The Great School Wars,
[00:09:42.680 --> 00:10:11.080]  , The 1920s were a boom period for forced schooling, as well as for the stock market. A book called The Great School Wars,
[00:10:11.080 --> 00:10:11.120]   The 1920s were a boom period for forced schooling, as well as for the stock market. A book called The Great School Wars,
[00:10:11.120 --> 00:10:11.160]   The 1920s were a boom period for forced schooling, as well as for the stock market. A book called The Great School Wars,
[00:10:11.160 --> 00:10:11.200]   The 1920s were a boom period for forced schooling, as well as for the stock market. A book called The Great School Wars,
[00:10:11.200 --> 00:10:11.240]   The 1920s were a boom period for forced schooling, as well as for the stock market. A book called The Great School Wars,
[00:10:11.260 --> 00:10:19.120]   William Kirkpatrick boasted in his book,
[00:10:19.120 --> 00:10:19.180]   William Kirkpatrick boasted in his book,
[00:10:19.180 --> 00:10:22.400]   William Kirkpatrick boasted in his book, Education and the Social Crisis,
[00:10:22.400 --> 00:10:22.420]   Education and the Social Crisis,
[00:10:22.420 --> 00:10:24.300]   Education and the Social Crisis, that the whole traditional system
[00:10:24.300 --> 00:10:24.360]   that the whole traditional system
[00:10:24.360 --> 00:10:26.400]   that the whole traditional system of rearing the young was being
[00:10:26.400 --> 00:10:26.460]   of rearing the young was being
[00:10:26.460 --> 00:10:30.100]   of rearing the young was being made over by experts.
[00:10:30.100 --> 00:10:30.160]   made over by experts.
[00:10:30.160 --> 00:10:33.200]   made over by experts. Meanwhile, in the project offices
[00:10:33.200 --> 00:10:33.260]   Meanwhile, in the project offices
[00:10:33.260 --> 00:10:35.280]   Meanwhile, in the project offices of an important employer of those
[00:10:35.280 --> 00:10:35.340]   of an important employer of those
[00:10:35.340 --> 00:10:37.280]   of an important employer of those experts, the Rockefeller
[00:10:37.280 --> 00:10:37.340]   experts, the Rockefeller
[00:10:37.340 --> 00:10:39.780]   experts, the Rockefeller Foundation, executives were hearing
[00:10:39.780 --> 00:10:39.800]   Foundation, executives were hearing
[00:10:39.800 --> 00:10:41.280]   Foundation, executives were hearing from its president
[00:10:41.280 --> 00:10:41.280]   from its president,
[00:10:41.920 --> 00:11:11.320]  .
[00:11:11.320 --> 00:11:11.320]   .
[00:11:11.320 --> 00:11:11.320]   .
[00:11:11.320 --> 00:11:11.320]   .
[00:11:11.340 --> 00:11:15.360]   Rockefeller, Carnegie, and other large
[00:11:15.360 --> 00:11:15.440]   Rockefeller, Carnegie, and other large
[00:11:15.440 --> 00:11:17.360]   Rockefeller, Carnegie, and other large private foundations had been investing
[00:11:17.360 --> 00:11:17.400]   private foundations had been investing
[00:11:17.400 --> 00:11:19.360]   private foundations had been investing heavily in genetics.
[00:11:19.360 --> 00:11:19.400]   heavily in genetics.
[00:11:19.400 --> 00:11:22.880]   heavily in genetics. Muller had used x-rays to override
[00:11:22.880 --> 00:11:23.040]   Muller had used x-rays to override
[00:11:23.040 --> 00:11:26.240]   Muller had used x-rays to override genetic law, inducing mutations
[00:11:26.240 --> 00:11:26.280]   genetic law, inducing mutations
[00:11:26.280 --> 00:11:27.880]   genetic law, inducing mutations in fruit flies.
[00:11:27.880 --> 00:11:27.940]   in fruit flies.
[00:11:27.940 --> 00:11:29.740]   in fruit flies. And that set off a line of
[00:11:29.740 --> 00:11:29.820]   And that set off a line of
[00:11:29.820 --> 00:11:31.740]   And that set off a line of thinking that it might be
[00:11:31.740 --> 00:11:31.820]   thinking that it might be
[00:11:31.820 --> 00:11:35.120]   thinking that it might be possible to create life and shape
[00:11:35.120 --> 00:11:35.180]   possible to create life and shape
[00:11:35.180 --> 00:11:38.280]   possible to create life and shape it as you want it to.
[00:11:38.280 --> 00:11:38.320]   it as you want it to.
[00:11:38.420 --> 00:12:05.380]   a.
[00:12:05.380 --> 00:12:08.360]   a. The Muller preached that planned
[00:12:08.360 --> 00:12:08.360]   The Muller preached that planned breeding
[00:12:08.360 --> 00:12:08.360]   The Muller preached that planned breeding was necessary
[00:12:08.360 --> 00:12:08.360]   The Muller preached that planned breeding was necessary to bring mankind
[00:12:08.360 --> 00:12:08.360]   The Muller preached that planned breeding was necessary to bring mankind progress.
[00:12:08.360 --> 00:12:08.360]   The Muller preached that planned breeding was necessary to bring mankind progress. And his proposal received enthusiastic endorsement from most of the greatest scientists of the day. He reduced it to a 1500 word geneticist manifesto and 22 distinguished American and British biologists signed it.
[00:12:08.400 --> 00:12:16.200]   but
[00:12:16.200 --> 00:12:19.420]   час in the
[00:12:38.260 --> 00:13:06.580]   go
[00:13:38.260 --> 00:13:48.760]  怎樣 have
[00:13:48.760 --> 00:14:07.060]   hype. I, eaten,
[00:14:07.360 --> 00:14:17.640]   É
[00:14:17.640 --> 00:14:18.180]  лов did, I have aве
[00:14:18.180 --> 00:14:25.400]  보
[00:16:25.120 --> 00:16:25.120]   The Second Document, the Gigantic Behavioral Teacher Education Project, outlined the teaching reforms to be forced on America after 1967 So we're talking about 31 years ago. If you ever want to hunt this thing down, it bears the US Office of Education contract number and I can give it to anyone afterwards. I have it here, but I won't bother to read the 44 digits.
[00:16:52.680 --> 00:16:52.680]   The Second Document, the Gigantic Behavioral Teacher Education Project, outlined the teaching reforms to be forced on America after67 So we're talking about 31 years ago. I have it here, but I won't bother to read the 44 digits.
[00:16:52.720 --> 00:17:20.720]  the Second Document, the Gigantic Behavioral Teacher Education Project, outlined the teaching reforms to be forced on America after67 So we're talking about 31 years ago. I have it here, but I won't bother to read the 44 digits.
[00:17:20.720 --> 00:17:21.220]   the Second Document, the Gigantic Behavioral Teacher Education Project, outlined the teaching reforms to be forced on America after67 So we're talking about 31 years ago. I have it here, but I won't bother to read the 44 digits.
[00:17:21.220 --> 00:17:21.720]   the Second Document, the Gigantic Behavioral Teacher Education Project, outlined the teaching reforms to be forced on America after67 So we're talking about 31 years ago. I have it here, but I won't bother to read the 44 digits.
[00:17:21.720 --> 00:17:51.260]  , the Second Document, the Gigantic Behavioral Teacher Education Project, outlined the teaching reforms to be forced on America after67 So we're talking about 31 years ago. I have it here, but I won't bother to read the 44 digits.
[00:17:51.260 --> 00:17:51.760]   the Second Document, the Gigantic Behavioral Teacher Education Project, outlined the teaching reforms to be forced on America after67 So we're talking about 31 years ago. I have it here, but I won't bother to read the 44 digits.
[00:17:51.800 --> 00:17:54.040]   businesses
[00:17:54.040 --> 00:18:20.020]   Мар� " em all '
[00:18:21.840 --> 00:18:51.820]  �
[00:19:51.920 --> 00:19:51.920]  ,
[00:19:51.920 --> 00:19:51.920]   ,,
[00:19:51.960 --> 00:20:01.140]   Ник
[00:20:01.140 --> 00:20:20.300]   Men And un talk còn
[00:20:21.560 --> 00:20:41.080]   ado. Odeo, the new text is Benjamin Bloom's taxonomy. In his own words: "a tool to classify the way individuals are to act, think, or feel" as a result of some unit of instruction.
[00:20:41.080 --> 00:20:50.120]   Using the methods of behavioral psychology, children would learn improper thoughts, feelings, and actions,
[00:20:50.140 --> 00:21:19.220]  , and have their improper attitudes brought from home remediated. In all stages of school manipulation, testing would be essential to locate the child's changing mind on an official rating scale.
[00:21:19.220 --> 00:21:19.220]   Bloom's taxonomy spawned a number of important descendants which you've heard of. Mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:21:19.220 --> 00:21:19.220]   Bloom's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:21:19.220 --> 00:21:19.220]   Bloom's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:21:19.220 --> 00:21:19.220]   Bloom's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:21:19.240 --> 00:21:21.200]   Bloom's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:21:21.200 --> 00:21:48.320]   Bloom's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:21:48.320 --> 00:21:48.320]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:21:48.320 --> 00:21:48.320]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:21:49.260 --> 00:22:17.920]  , Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:17.920 --> 00:22:18.360]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:18.360 --> 00:22:18.360]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:18.380 --> 00:22:28.400]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:28.400 --> 00:22:30.400]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:30.400 --> 00:22:32.400]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:32.400 --> 00:22:33.400]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:33.420 --> 00:22:52.440]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:52.440 --> 00:22:54.440]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:54.440 --> 00:22:55.440]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:55.440 --> 00:22:56.440]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:22:56.740 --> 00:23:22.480]  , and the current school-to-work system was the second.
[00:23:22.480 --> 00:23:25.480]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:23:25.480 --> 00:23:26.480]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning was one, outcomes-based education a second, and the current school-to-work system was the second.
[00:23:26.480 --> 00:23:26.480]   Bumgum's taxonomy spawned a number of important descendants which you've heard of: mastery learning learning was one, outcomes-based education a second, and the current school-to-to-work system was the second.
[00:23:26.520 --> 00:23:54.180]  �
[00:23:54.540 --> 00:24:02.560]   He said in 1996, after five years of record economic expansion,
[00:24:02.560 --> 00:24:07.560]   half the employees of large firms feared being laid off.
[00:24:07.560 --> 00:24:14.560]   The best part of that, said Zuckerman, was that it represents double the number of people
[00:24:14.560 --> 00:24:19.560]   worrying five years ago when things weren't nearly as good.
[00:24:19.560 --> 00:24:23.560]   So fear keeps a break on American wages.
[00:24:24.100 --> 00:24:53.600]  ,
[00:24:54.140 --> 00:25:23.640]  ,
[00:25:23.640 --> 00:25:23.640]   .
[00:25:24.180 --> 00:25:50.680]   and that the training for this mental state and the necessary docility it requires comes from the American classroom.
[00:25:50.680 --> 00:25:52.680]   Schools must train the students in a manner that is adequate and in a manner that is appropriate for their needs.
[00:25:52.680 --> 00:25:53.680]   .
[00:25:53.680 --> 00:25:53.680]   .
[00:25:53.680 --> 00:25:53.680]   .
[00:25:53.720 --> 00:26:02.820]   product
[00:26:02.820 --> 00:26:04.900]  視,
[00:26:04.900 --> 00:26:20.520]  formationan guess in � didnt yelled i push stumbled
[00:26:20.520 --> 00:26:23.700]   dough they, Squ wallet, and, and, to be, to, to, to, to, to, to, to, to, to, to, to, t, to, to, clerk ann이道 żNew 산 00out remember could ACCES Small placisz en connection everyone voice מ 고민 때� Mhm tri realize surely Guerат�這 History阿 비슷 vacun illọi Dil F provearson G racing piece�ü like the Mass events Mir英 yield walk the Cl optimism Le sausage gost of course 듣 all nhiều зак Kia ladder care the Nし HEY IgieOST 4 judged buy a Natashaар just assumption last they're goalen car buried a이� I澤 El sewing i g conducting a capture how go bacteria Berg let a casa attend the comentários� their weigh the you qualify an lo 8 кон scary l connot of the C imagine in the brand of the signals?..ne Al verm 어� like the sea in the least a pes sẽ полез care of the覺 at the пон little wenn
[00:26:23.720 --> 00:26:28.580]   but ours requires a well-managed mass but ours requires a well-managed mass
[00:26:28.580 --> 00:26:32.940]   leveled spiritless anxious family less leveled spiritless anxious family less
[00:26:32.940 --> 00:26:36.020]   friendless godless and obedient people friendless godless and obedient people
[00:26:36.020 --> 00:26:38.840]   who believe the difference between coke who believe the difference between coke
[00:26:38.840 --> 00:26:42.040]   and pepsi is the subject worth arguing and pepsi is the subject worth arguing
[00:26:42.040 --> 00:26:48.840]   about we need people for this economy about we need people for this economy
[00:26:48.840 --> 00:26:51.840]   who learn that status is purchased so who learn that status is purchased so
[00:26:51.840 --> 00:26:53.580]   that when you buy something you're a that when you buy something you're a
[00:26:53.620 --> 00:26:53.620]  rition Senвер
[00:28:31.140 --> 00:28:41.420]   Pro
[00:28:41.420 --> 00:28:57.860]  ining just de
[00:31:23.300 --> 00:31:23.300]   and the other 171 German states and Germany became Prussia or or greater Germany was Prussia and we got the two great wars of the century from Prussia. Has it ever struck you as odd that the Prussian government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.300 --> 00:31:23.300]   The German government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.300 --> 00:31:23.300]   The German government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.300 --> 00:31:23.300]   The German government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.300 --> 00:31:23.300]   The German government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.300 --> 00:31:23.300]   The German government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.300 --> 00:31:23.300]   The German government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.300 --> 00:31:23.300]   The German government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.300 --> 00:31:23.300]   The German government was so sympathetic and helpful to the experiments of the German government?
[00:31:23.340 --> 00:31:45.000]  ,
[00:31:45.000 --> 00:31:52.000]   and to Heinrich Pestalozzi who was the inventor of Fun and Games Elementary School. Both those guys were underwritten by the Prussian government. All their assistants were Prussian government agents. It's a little strange to think of the guys with the points on their helmet and all the funny balloons.
[00:31:52.000 --> 00:31:53.000]   and to think of the guys with the points on their helmet and all the funny balloons. But there was a major change in the German history.
[00:31:53.040 --> 00:32:03.200]   penetrate
[00:32:03.200 --> 00:32:04.060]  otic go par add the Ind I
[00:32:04.060 --> 00:32:16.680]   И, Pri, Seit,
[00:32:21.860 --> 00:32:36.880]   И, при, Seit,
[00:32:36.880 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms
[00:32:50.680 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms
[00:32:50.680 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms
[00:32:50.680 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:32:50.680 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:32:50.680 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:32:50.680 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:32:50.680 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:32:50.680 --> 00:32:50.680]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:32:50.680 --> 00:33:19.520]  , When they have to press a bar for food on an aperiodic reinforcement schedule, where food is delivered but at random, but the rat doesn't know that. Much of the bizarre behavior school kids display is a function of the reinforcement schedule and the endless confinement and inactivity which slowly drives children insane.
[00:33:19.520 --> 00:33:20.520]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:33:20.520 --> 00:33:20.520]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:33:20.520 --> 00:33:20.520]   The procedure is identical to that which causes caged rats to develop eccentric mannerisms when they have a child
[00:33:20.520 --> 00:33:20.520]   And the procedure is identical to develop eccentric mannerisms when they have a child
[00:33:20.560 --> 00:33:30.740]   mean
[00:33:30.740 --> 00:33:34.020]   die,,, ceramic
[00:33:34.020 --> 00:33:46.440]   fried
[00:33:50.580 --> 00:33:57.580]   law
[00:33:57.580 --> 00:34:01.600]   this. E A H
[00:34:01.600 --> 00:34:17.600]   give an, of,,,,,,, breakthrough Motor goosebumps
[00:34:20.000 --> 00:34:31.360]   b
[00:34:31.360 --> 00:34:34.580]   provide, machine recommend film dedicatedDIA M I I mye, for, and, and, ay,,,.,.,.,ичес ayudłych gray buy belied Joe
[00:34:34.580 --> 00:34:48.860]   Bolsonaro la E.這 E. for the 12 yummy Buch I Sch 좀 E. But, co-`G. Mill-D,
[00:34:48.880 --> 00:35:17.760]   the most important thing in the world was to
[00:35:17.760 --> 00:35:17.760]   the most important thing in the world was to
[00:35:17.760 --> 00:35:17.760]   the most important thing in the world was to understand the power of the world.
[00:35:17.760 --> 00:35:17.860]   understand the power of the world.
[00:35:17.900 --> 00:35:30.280]  피
[00:35:30.280 --> 00:35:47.460]   everyone mean not pá Z G I Old� Ye, gi, ge, look, little, like, after, say, for, I'm, Louis I'm men Зна Maar I Le halluc violin I món or視 shouldn
[00:35:47.900 --> 00:36:17.900]   in China, these men could test pedagogical theory on a docile and bewildered population which had recently lost its ancient form of governance.
[00:36:17.920 --> 00:36:47.920]  ,
[00:36:47.920 --> 00:36:47.920]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:36:47.920 --> 00:36:47.920]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:36:47.920 --> 00:36:47.920]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:36:47.920 --> 00:36:47.920]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:36:47.920 --> 00:36:47.920]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:36:47.920 --> 00:36:47.920]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:36:47.920 --> 00:36:47.920]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:36:47.920 --> 00:36:47.920]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:36:47.940 --> 00:37:17.940]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:17.940 --> 00:37:17.940]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:17.940 --> 00:37:17.940]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:17.940 --> 00:37:17.940]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:17.940 --> 00:37:17.940]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:17.940 --> 00:37:17.940]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:17.940 --> 00:37:17.940]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:17.940 --> 00:37:17.940]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:18.860 --> 00:37:47.960]   the introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:47.960 --> 00:37:47.960]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:47.960 --> 00:37:47.960]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:47.960 --> 00:37:47.960]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:47.960 --> 00:37:47.960]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:47.960 --> 00:37:47.960]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:37:47.980 --> 00:38:17.980]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:17.980 --> 00:38:17.980]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:17.980 --> 00:38:17.980]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:17.980 --> 00:38:17.980]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:17.980 --> 00:38:17.980]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:17.980 --> 00:38:17.980]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:17.980 --> 00:38:17.980]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:17.980 --> 00:38:17.980]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:17.980 --> 00:38:48.000]   the introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:48.000 --> 00:38:48.000]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:48.000 --> 00:38:48.000]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:48.000 --> 00:38:48.000]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:48.000 --> 00:38:48.000]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:48.000 --> 00:38:48.000]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
[00:38:48.020 --> 00:39:18.020]   The introduction of the American school into the Orient has broken up 40 centuries of tradition. It has given us a new
