
[00:00:00.000 --> 00:00:09.860]   Well, hey, everyone. Welcome back to another episode of Everyday Educator. We are so excited
[00:05:06.760 --> 00:05:13.000]   here? It's going to be something totally new. And I have been just trying to like, you know, think
[00:05:13.000 --> 00:05:20.160]   forward while still appreciating this because I think that a lot of times when you see women that
[00:05:20.160 --> 00:05:26.940]   are holding on to the previous seasons, it starts to get ugly. And I just want to honor the Lord in
[00:05:26.940 --> 00:05:33.680]   every season. So I'm right at this changing, so to speak. This is a time in real seasons where everybody
[00:05:33.680 --> 00:05:39.160]   gets sick. And that's what I told myself spiritually is when the seasons start changing, this is when
[00:05:39.160 --> 00:05:47.740]   you get sick. And so I've just been really trying to have my heart be glad that it's about to be
[00:05:47.740 --> 00:05:55.580]   different for me. Is this going to look different? And so I don't know. I think that the, I still have
[00:05:55.580 --> 00:06:03.520]   people here and then I have one child that's gone. So my life is already very different, right? How do
[00:06:03.520 --> 00:06:08.500]   you, how do you appropriately helicopter mom, somebody who lives several states away? I'm not
[00:06:08.500 --> 00:06:14.760]   doing great. I do still send him random texts. Like a couple of weeks ago, I sent him a text. Are you
[00:06:14.760 --> 00:06:21.980]   getting fat? And he just called me. Are you okay? What's happening, mom? What are you doing right now?
[00:06:21.980 --> 00:06:26.480]   Where are you coming from? I was just, I don't know. You just keep, every time I call you, you're eating
[00:06:26.480 --> 00:06:32.680]   out. You're eating ice cream. You're eating boba. You're like, so I just need to, are you working out? Are you doing the
[00:06:32.680 --> 00:06:37.880]   things? So anyway, I just have been very struck by this. So it's very good to hear
[00:06:37.880 --> 00:06:44.540]   from the next season. This is still good. It's still, it's still different. It's still changing,
[00:06:44.540 --> 00:06:51.080]   but it's still, um, still desirable, right? This is the first time I saw those marbles that I saw the
[00:06:51.080 --> 00:06:58.280]   marbles. Oh yeah. Yes. Oh my word. David had to talk me down. I was like, please don't say those
[00:06:58.280 --> 00:07:06.360]   things to me. Stop. We're running out. We don't, we're starting over. And so I just, I panicked,
[00:07:06.360 --> 00:07:11.700]   but the Lord does tell us to number our days. And so it is a good thing. And I've just been really
[00:07:11.700 --> 00:07:18.340]   trying to focus on, um, his goodness now and that in the future, I'll be able to look back
[00:07:18.340 --> 00:07:26.240]   and see his goodness. Oh, so true. Camille is so true. I remember thinking like when my girls were
[00:07:26.240 --> 00:07:35.820]   growing up, like I sort of mourned as they grew from preschooler to elementary to a little bit older to
[00:07:35.820 --> 00:07:42.680]   I mourned it because I loved every little stage, but then somebody would say, well, would you go back
[00:07:42.680 --> 00:07:50.160]   to those days? And my knee jerk was, well, yes, I would. But actually I love who they are now. And I love
[00:07:50.160 --> 00:07:59.780]   the relationship we have now. And so I really held hard to that. Um, I will find something beautiful.
[00:07:59.780 --> 00:08:08.380]   The Lord will show me the next beautiful vista. Like this closing of a curtain is not darkness. It's just
[00:08:08.380 --> 00:08:15.540]   time to open a new curtain. It's going in a new direction. And, and I will tell you, Camilla, I will tell
[00:08:15.540 --> 00:08:26.620]   you. Grandparenting. Oh my gosh. It's the best. It is the best. It is like having your kids be little
[00:08:26.620 --> 00:08:34.800]   again, um, without as much of the, it all rest on me worry. Okay. Cause it doesn't all rest on me.
[00:08:34.800 --> 00:08:41.540]   I get to play with this little person. My grandson told me the other day, Lolly, you are my best buddy
[00:08:41.540 --> 00:08:50.620]   ever. And so I get to be the best buddy ever and not do all the other things that aren't as much fun.
[00:08:50.620 --> 00:08:51.900]   Yes. It's great.
[00:08:51.900 --> 00:08:52.340]   For real.
[00:08:52.340 --> 00:08:53.120]   Yes.
[00:08:53.120 --> 00:08:55.440]   Ah, that's so great.
[00:08:55.440 --> 00:09:00.420]   Yeah. It's exciting. Yeah. I remember like five years ago being like, I, I met my husband when he was
[00:09:00.420 --> 00:09:06.240]   19. And I remember being like, I think that's inappropriate and I am against it. I don't know.
[00:09:06.460 --> 00:09:13.460]   Stop. Whoa. Right. And now my son will be 19 this year. And I'm like, he could meet her. That's fine.
[00:09:13.460 --> 00:09:16.820]   This is appropriate. We can do that. Yeah.
[00:09:16.820 --> 00:09:18.220]   I'll have to do it with this.
[00:09:18.220 --> 00:09:20.240]   I'll allow it.
[00:09:20.240 --> 00:09:21.600]   I'll allow it.
[00:09:21.600 --> 00:09:23.800]   There you go.
[00:09:23.800 --> 00:09:30.620]   So much to look forward to. I love it. And you know, today, so I love that we started talking about
[00:09:30.620 --> 00:09:34.980]   seasons and now we're going to hone in really tightly on one specific season, which is the
[00:09:34.980 --> 00:09:40.520]   summertime. And you know, you, you never know how many, how many summers you're going to get with
[00:09:40.520 --> 00:09:44.620]   your kids, which while it matters on the other hand, it doesn't matter. All you need to look at
[00:09:44.620 --> 00:09:46.700]   is this summer. What are we doing now? Right.
[00:09:46.800 --> 00:09:54.480]   And one of the most common things I hear homeschool moms hem and haw about, or just feel unsure about
[00:09:54.480 --> 00:10:00.840]   is the academics in the summer. Like, do we do school? Do not do school? Do they view it as a
[00:10:00.840 --> 00:10:05.260]   time where you're just taking a break? What does that look like if you take a break? How do you get
[00:10:05.260 --> 00:10:10.720]   back into it? You know, are your kids going to forget everything? How do you ladies, how do you ladies
[00:10:10.720 --> 00:10:16.960]   view the summertime academically, scholastically speaking? Is that a time where you guys just
[00:10:16.960 --> 00:10:23.240]   take a break from your studies or is that just a different sort of season for you guys? Camila,
[00:10:23.240 --> 00:10:32.700]   why don't you go first? I am probably not going to be the most common, but I don't do a thing. No, I
[00:10:32.700 --> 00:10:40.320]   used to have grand plans for the summer. Okay. I would come up with, I'll be like, oh baby,
[00:10:40.320 --> 00:10:48.360]   we're going to be speaking French. I would have these grand plans and then they would just sit
[00:10:48.360 --> 00:10:54.040]   and accumulate dust. And I'll be like, oh, my hard work that I spent, you know, two months really,
[00:10:54.040 --> 00:10:59.600]   really strategizing about. And then you feel guilty that you didn't do it.
[00:11:00.020 --> 00:11:06.520]   Like who needs that? Ridiculous. Ridiculous. And so we do not do
[00:11:06.520 --> 00:11:13.600]   academics in the summer. I am faithful with math. Math tends to be the thing that
[00:11:13.600 --> 00:11:19.540]   lingers a little bit longer. So I do make them finish our whole math curriculum, which usually I
[00:11:19.540 --> 00:11:25.260]   tell my kids, if you're diligent, you're finished by June 1st. If you do what your mom says.
[00:11:25.660 --> 00:11:33.160]   So, um, they, it's my goal for them to all be finished with their math by June 1st. And then
[00:11:33.160 --> 00:11:39.980]   other than that, we, we don't even pre-read the books for challenge. I know that some people think
[00:11:39.980 --> 00:11:46.580]   that it's working for you. You found the rhythm that works for your family. And that's really cool.
[00:11:46.580 --> 00:11:55.500]   Um, I will tell you that I was always more like that. Like I, when my kids were involved with CC,
[00:11:55.500 --> 00:12:03.820]   almost every year I tutored. And so, I mean, by the end of May, I was looking for a break too. I had done
[00:12:03.820 --> 00:12:10.880]   all that logic or all that chemistry or all that paper writing. And I thought I deserve a break today.
[00:12:10.880 --> 00:12:17.920]   And you too can have a break today. So we did not do, I mean, we, we did, I look back now and I realize
[00:12:17.920 --> 00:12:26.300]   that we practiced the skills of learning. We still had really rich conversations and we were just nerdy
[00:12:26.300 --> 00:12:35.040]   enough to find books about the places we visited on vacation and have history conversations. But we did
[00:12:35.040 --> 00:12:41.040]   not, you know, have a lesson. We didn't sit down at the table. There weren't assignments because there
[00:12:41.040 --> 00:12:50.800]   were so many other things to savor about the summer. So you're not doing academics, Miss Camila, with your
[00:12:50.800 --> 00:13:00.720]   family. What are y'all savoring this summer? So we just really savor time together. So the summertime for
[00:13:00.720 --> 00:13:07.920]   me is about relationships. First and foremost, I try to, a lot of people try to fill academic gaps.
[00:13:07.920 --> 00:13:16.080]   The summertime is when I try to fill spiritual gaps. I am, I am the things that I've seen all throughout
[00:13:16.080 --> 00:13:22.960]   the school year that have kind of like bothered me about particular kids, like questions that I asked
[00:13:22.960 --> 00:13:30.160]   and they didn't know where I was coming from or the way they were relating to, um, uh, authority or
[00:13:30.160 --> 00:13:37.360]   each other, even just those little things. I like to take this summer to really focus on those. So
[00:13:37.360 --> 00:13:46.240]   usually I give all of my kids a nonfiction book that is about some, some defect I've seen. No,
[00:13:46.240 --> 00:13:54.320]   about something. Something to aspire to. Something the Lord is leading them to grow.
[00:13:54.320 --> 00:14:04.160]   Yes, yes. A way that I want to see them grow sincerely. Um, so for instance, my older girls,
[00:14:04.160 --> 00:14:10.880]   my son left, he was my, uh, he was my leader in academics, right? He loved it. He relished these
[00:14:10.880 --> 00:14:18.320]   kinds of conversations. Um, and so I am going to go through total truth with my two older girls this
[00:14:18.320 --> 00:14:25.840]   summer just because their worldviews are very solid and academically they're very solid, but I tend to see
[00:14:25.840 --> 00:14:33.200]   like a gap between the two, if that makes sense. My oldest, my oldest daughter could probably teach a
[00:14:33.200 --> 00:14:40.800]   theology class. Um, but when it comes to just friendships and relationships, she struggles with
[00:14:40.800 --> 00:14:48.800]   like bringing all of herself to, to the party, if that makes sense. Yes. And so I, I just want to go
[00:14:48.800 --> 00:14:55.280]   through total truth with her to help her see this is not just you. This is the way that this society has
[00:14:55.280 --> 00:15:01.520]   been crafted to get you to have trouble with this. And so that's just, just little stuff like that. My son is
[00:15:01.520 --> 00:15:08.000]   going to be doing a study about manhood. It's just little things like that. We try to focus in on
[00:15:08.000 --> 00:15:14.880]   ways that we need to grow so that we can see those fruits during the school year.
[00:15:14.880 --> 00:15:21.920]   That's really, that's so full. Yeah. I love that. And, you know, I'm laughing to myself because of
[00:15:21.920 --> 00:15:27.280]   course the two of you are so far ahead of me in the parenting journey. So I'm like, oh yeah, I'm you.
[00:15:27.280 --> 00:15:33.060]   So rewind it, you know, 10 years, 20 years ago. Cause I'm like, oh, it's the summertime. This is our
[00:15:33.060 --> 00:15:39.200]   opportunity to just capitalize on this, that, the third. And I think, I think there's a space for that.
[00:15:39.200 --> 00:15:44.720]   There's a season for that. And in a second, I want to hone in on what you just said when it comes to age
[00:15:44.720 --> 00:15:52.120]   ranges, because what I'm feeling, and I'd love for you to speak to this as well, is that since my son is
[00:15:52.120 --> 00:16:00.220]   so young, you know, the pace of our school is a lot slower. So, and that's good. That's fine. But that means
[00:16:00.220 --> 00:16:06.480]   that there are a lot of things that I would have expected us to finish or to just understand like goals or
[00:16:06.480 --> 00:16:13.460]   milestones that I wanted him to, to, to cross, honestly, that we didn't cross yet. And we've been doing the
[00:16:13.460 --> 00:16:19.520]   repetition, but I, I'm thinking to myself, if I stop this repetition right now, we're going to be back at one, you
[00:16:19.520 --> 00:16:24.420]   know, in the fall. And I just don't, I don't think he has time for that. I think he'll be
[00:16:24.420 --> 00:16:29.660]   frustrated with himself if he forgets, you know, some of these really basic things that we're talking
[00:16:29.660 --> 00:16:35.940]   about. So there's that. And then on the other side, I think to myself, well, you know, the weather's just
[00:16:35.940 --> 00:16:42.120]   now getting good. So I wanted delusions of grandeur about me being out in my winter coat, doing this
[00:16:42.120 --> 00:16:48.000]   beautiful science exploration. Well, can I just tell you, I didn't do that. Right. Because we spend our time
[00:16:48.000 --> 00:16:57.280]   outside. I stood by the trampoline. I said, okay. And so now that it's nice and he's curious and he
[00:16:57.280 --> 00:17:02.980]   wants to see the bugs and the bugs are out. Yeah. I feel like maybe we should spend some more time
[00:17:02.980 --> 00:17:08.740]   on, you know, science and exploration, just some of that stuff that we, we kind of neglected during
[00:17:08.740 --> 00:17:14.740]   the cooler months. What do you think about that? And do you think that that might be something that's
[00:17:14.740 --> 00:17:19.240]   more appropriate for younger ages? Because of course they didn't get it all in the quote school
[00:17:19.240 --> 00:17:29.720]   year. I think that, well, when your kids are little, I have found that faithfulness is the
[00:17:29.720 --> 00:17:37.420]   most important thing with schoolwork. You don't have to be the, I don't, I don't have a toddler,
[00:17:37.560 --> 00:17:41.980]   but I'm here. Miss Rachel is all the rage. You don't have to be Miss Rachel. I would have said
[00:17:41.980 --> 00:17:50.260]   Barney, but that's too old. Um, you don't have to be, um, your very best, most preschool teacher
[00:17:50.260 --> 00:17:59.020]   self every day, but if you can just do it every day, it will pay off in the long run. So I would not
[00:17:59.020 --> 00:18:04.960]   stop. If, if my kid can't read yet, we're still going to do our letters and our, our, our, our right
[00:18:04.960 --> 00:18:09.340]   every day. We're just going to do that until you can read. And even when we're outside,
[00:18:09.340 --> 00:18:13.360]   you might collect the books, but now we have to count the books. You know what I mean? So
[00:18:13.360 --> 00:18:22.660]   we have to do it until you play, right? It can feel like play, but I'm going to know we're getting
[00:18:22.660 --> 00:18:28.460]   something out of this. Yeah. I can remember when one of my, my son, when he was little,
[00:18:28.460 --> 00:18:33.840]   him jumping into the pool to my husband, spelling his name. And my husband's like,
[00:18:33.840 --> 00:18:39.180]   you can only spell your first name. You can only jump when you say, Oh man. And so he's like,
[00:18:39.180 --> 00:18:43.860]   you know, you know, jumping into the pool. And so I remember that. I remember being like,
[00:18:43.860 --> 00:18:47.480]   he's never going to learn if we keep taking vacations, David.
[00:18:47.480 --> 00:18:54.860]   Oh, that's great. That's great. I love it.
[00:18:54.860 --> 00:18:59.500]   All kinds of stuff. Yeah. There's all, all that Pinterest stuff is for the summertime. I think
[00:18:59.500 --> 00:19:03.960]   writing and shaving cream and all that stuff. That's right. That's what you do in the summer.
[00:19:03.960 --> 00:19:12.120]   Yeah. There are, there are definitely things that you do to keep the stuff fresh. And I think you're
[00:19:12.120 --> 00:19:21.160]   right, Delise, that it matters more for the little ones who haven't maybe as firmly knocked in that peg.
[00:19:21.160 --> 00:19:26.380]   Like you were saying, Camila, if they don't know how to read yet, you don't want to stop
[00:19:26.380 --> 00:19:33.880]   those lessons. And you can always count things and, and categorize things and name colors and name
[00:19:33.880 --> 00:19:40.840]   shapes and everywhere you go. Um, but for the older kids, I think there is a lot of benefit
[00:19:40.840 --> 00:19:47.160]   to taking a break and letting them have a little bit of scope. I mean, like we always read,
[00:19:47.160 --> 00:19:54.260]   but our family's just readers. And so my girls, they had more of a chance in the summer to read
[00:19:54.260 --> 00:20:00.560]   whatever they wanted to, instead of following the challenge books. Cause I had one daughter that was
[00:20:00.560 --> 00:20:06.660]   a voracious reader. And so she could probably read something along with challenge books, but one
[00:20:06.660 --> 00:20:12.040]   daughter who that was enough. That was all the reading that the Lord had laid on her to do in a
[00:20:12.040 --> 00:20:18.520]   year. And so that's what she did. Um, and so it was more of a, what are you reading and would I like
[00:20:18.520 --> 00:20:26.160]   it too? And could we talk about it? And then I spent, I tended to spend some of my summer thinking
[00:20:26.160 --> 00:20:32.660]   about the year that was ahead, you know, how was what I was going to be doing with them,
[00:20:32.660 --> 00:20:40.760]   maybe different in the next year than it had been in the previous year. Um, do you, do you do any of
[00:20:40.760 --> 00:20:47.720]   that planning on your own Camila for the next school year? And, um, is there anything that you
[00:20:47.720 --> 00:20:54.220]   routinely did in the summer that you've always been glad that you did in the summer?
[00:20:55.040 --> 00:21:01.640]   Yes. So I always, I've directed, um, pretty much the whole time that we've done CC. So I do have a
[00:21:01.640 --> 00:21:07.520]   lot of planning to do. I'm getting very familiar with next year's curriculum, um, which is again,
[00:21:07.520 --> 00:21:17.020]   why they need to entertain themselves. Go and be free, go and be free. Um, I always there,
[00:21:17.020 --> 00:21:24.640]   anytime a challenge student has a workbook, I do the workbook in the summer because I won't have
[00:21:24.640 --> 00:21:30.740]   time when the school year starts. If you have a question with all of them. Yes. I don't know.
[00:21:30.740 --> 00:21:37.440]   I don't know what this is even about if I haven't looked through it. So I do the workbook in the
[00:21:37.440 --> 00:21:44.320]   summer and I don't buy double copies. So I tend to just do it in a composition notebook, which is
[00:21:44.320 --> 00:21:52.600]   better for me. Cause then I have that for, for subsequent children. Um, yeah. And it's also incognito
[00:21:52.600 --> 00:21:58.360]   in case somebody is tempted to cheat. It doesn't look like, Oh, there's mom's copy of the fallacy
[00:21:58.360 --> 00:22:06.560]   detective just sitting right there. What might happen if I, yes. So, um, that has been good,
[00:22:06.560 --> 00:22:13.960]   especially for the challenge B logic. I, um, that was, I did all of the, I watched all those videos
[00:22:13.960 --> 00:22:21.540]   and did all the student exercises myself that summer. And I mean, that has paid so many dividends.
[00:22:21.540 --> 00:22:27.220]   I wish that I had found that to do with everything my kids ever had to learn, but, um, right.
[00:22:27.220 --> 00:22:33.040]   Right. I do all of that. And this summer I am going into challenge a next year. So I will be doing
[00:22:33.040 --> 00:22:40.720]   a lot of math, the math math for me. It's very exciting. That's really good. That's really good.
[00:22:40.720 --> 00:22:47.060]   So you are, even if your kids don't have formal learning assignments, you have formal learning
[00:22:47.060 --> 00:22:53.720]   assignments for yourself that prepare you to be the lead learner. That's kind of cool. Do you enjoy that?
[00:22:54.380 --> 00:23:00.940]   I do. I do. Um, it's, it, that's when I feel like, I don't necessarily feel like I'm redeeming my own
[00:23:00.940 --> 00:23:07.620]   education throughout the school year. I am really just, um, I'm like bailing water during the school
[00:23:07.620 --> 00:23:17.400]   year. Um, yes. Um, but during the summertime, that's when I find all my Pentecost moments. That's
[00:23:17.400 --> 00:23:23.660]   when I feel like, uh, this is so good. That's what it's like a refresher for my heart too. Right. I'm ready
[00:23:23.660 --> 00:23:30.920]   to go after the summer of me just being invested in their books and knowing how solid of the education
[00:23:30.920 --> 00:23:35.780]   they're going to be receiving. That's what really gets me fired up. So then by August I'm like, we can
[00:23:35.780 --> 00:23:44.100]   do this. So it's so good because that way you can really cast the vision because you know where it's
[00:23:44.100 --> 00:23:50.260]   going. Cause you've actually done the end of the year's work before they begin. And so you've got an
[00:23:50.260 --> 00:23:55.880]   idea of how to cast a vision that's going to come to fruition for them. That's really smart.
[00:23:55.880 --> 00:24:00.680]   Yeah, it is. And doesn't she see, that's why I wanted her.
[00:24:01.260 --> 00:24:12.080]   And I, I love that you're saying that to you because I think sometimes, especially younger
[00:24:12.080 --> 00:24:17.400]   moms, um, or just new, new homeschooling moms, they don't realize that it's going to take that
[00:24:17.400 --> 00:24:23.120]   level of investment from them in order to teach their children. You know, and you think about
[00:24:23.120 --> 00:24:29.060]   just a traditional school teacher, how much time they spend on lesson planning and how much time
[00:24:29.060 --> 00:24:36.440]   when you buy the curriculum, it's not ready to go. It's here's, here's the path. And then you need
[00:24:36.440 --> 00:24:40.920]   to get ready to go. And you've got to, you've got to really protect your time. That's something I'm
[00:24:40.920 --> 00:24:45.480]   hearing in what you're saying. The fact that you've protected your time and you figured out
[00:24:45.480 --> 00:24:52.260]   how to shift your hours so that you could invest the time in your child's education preemptively
[00:24:52.260 --> 00:24:57.040]   so that when it's time for them to do it, and, and I've said this before, but it's always stuck
[00:24:57.040 --> 00:25:00.560]   out to me. And I guess I'm saying it to remind myself as I'm just getting going on the journey.
[00:25:00.560 --> 00:25:06.600]   I remember waking up in the middle of the night and my mother studying my textbook. That was a normal
[00:25:06.600 --> 00:25:12.480]   thing. Right. And, you know, and I was one of four and that, and that's what it takes, you know?
[00:25:12.480 --> 00:25:17.180]   And so when we hear all these conflicting ideas about homeschooling or people saying, Oh, you know,
[00:25:17.280 --> 00:25:21.520]   I'm not sure if it was enough or I'm not, it can be enough, but you will need to apply yourself
[00:25:21.520 --> 00:25:27.140]   so that it is enough. I mean, and that's how it is. It's like the curriculum. It's like the curriculum
[00:25:27.140 --> 00:25:34.080]   is the powdered concentrate and you have to add the water to it. Well, guess what? You're the water.
[00:25:34.080 --> 00:25:41.900]   Yes. Okay. And, and if you don't add enough of you, then the curriculum stays chunky and it's chunky
[00:25:41.900 --> 00:25:48.700]   and it's not easy to digest and it's not really very palatable and it's not something you're going
[00:25:48.700 --> 00:25:53.840]   to want and your child's going to find it difficult and you're going to find it unappealing. But if
[00:25:53.840 --> 00:26:01.880]   you'll be the water, if you will mix in with that, it is way better for you and for your child. And
[00:26:01.880 --> 00:26:08.720]   your relationship will be the better for it because you will be lead learning from your overflow
[00:26:08.720 --> 00:26:16.020]   and not from your barely enough. Hey, everyday educator listeners. We want to interrupt the
[00:26:16.020 --> 00:26:21.580]   show to talk to you a little bit about one of my absolute favorite classical conversations offerings,
[00:26:21.580 --> 00:26:28.040]   the math map. The math map series by classical conversations offers a unique Christ centered
[00:26:28.040 --> 00:26:34.740]   approach to mathematics that emphasizes the language of math in a natural learning environment.
[00:26:34.740 --> 00:26:40.500]   The math map provides scaffold math instructions across multiple levels, digits, integers, and
[00:26:40.500 --> 00:26:47.220]   fractions designed for different age groups. So each level builds on the previous one and that helps
[00:26:47.220 --> 00:26:53.740]   students to progressively master concepts from basic digits when they're about five years old to
[00:26:53.740 --> 00:27:00.440]   integers at around seven and fractions at about nine. The curriculum follows a one family schoolhouse
[00:27:00.440 --> 00:27:07.980]   approach with consistent 32 page booklets that focus on building foundational math skills in a
[00:27:07.980 --> 00:27:12.740]   classical structured environment. So that is great because your whole family can sit at the table and
[00:27:12.740 --> 00:27:19.000]   they'll all be on the same week. Discover how your family can celebrate God's design for mathematical order
[00:27:19.000 --> 00:27:28.540]   and visit classicalconversations.com forward slash the dash math dash map today to transform your family's math
[00:27:28.540 --> 00:27:31.040]   experience. Let's get back to the conversation.
[00:27:31.040 --> 00:27:38.480]   Exactly. And that's your gift. Like that's the invitation. That's the gift that you get. Just like what you were saying,
[00:27:38.480 --> 00:27:44.020]   Camila, that's what you get out of now that you're doing it for yourself, but that's what you'll get out of
[00:27:44.020 --> 00:27:48.200]   homeschooling. And we know that this is true in every other area of our lives. So I'm saying,
[00:27:48.200 --> 00:27:55.320]   everybody, let's bring this, let's bring this to the books because this is how it works. And you know,
[00:27:55.320 --> 00:27:59.580]   and it's not just about the books. We're, we're lead learning and we're learning in every area of our
[00:27:59.580 --> 00:28:06.820]   lives. And so I'm curious for you ladies, what your summers look like as far as household management,
[00:28:06.820 --> 00:28:11.360]   because I know I'm making a little bit of an assumption here. So you can correct me.
[00:28:11.360 --> 00:28:16.620]   Typically the woman is the one managing the household. If she's the one who's also homeschooling
[00:28:16.620 --> 00:28:23.360]   the children or the primary educator. So does that shift for you in the summertime? Is it the same?
[00:28:23.360 --> 00:28:30.140]   What are the rhythms that you put in place to keep everything from, you know, just going to pot?
[00:28:30.140 --> 00:28:37.300]   Because of course, exactly. You have, you have your normal rhythms that kind of are stakes in the
[00:28:37.300 --> 00:28:41.440]   ground for your kids to know. Okay. And after we do math, we empty the dishwasher. So if you remove
[00:28:41.440 --> 00:28:48.700]   those, what does the house routine look like? So in my house, I just want to say something real quick
[00:28:48.700 --> 00:28:52.980]   about the previous metaphor. I just kept thinking this the whole time you're talking about adding the
[00:28:52.980 --> 00:29:01.440]   water and you being the water, the water gets boiled. So that's right. It has to be hot.
[00:29:01.440 --> 00:29:12.980]   That's true. That's so good. I definitely am the household manager in our, as far as the day-to-day
[00:29:12.980 --> 00:29:22.080]   chores and everything. So years ago, David, my husband was very strict about the fact that he wanted our
[00:29:22.080 --> 00:29:30.680]   kids to do chores. So all of my kids do chores. I do very little actual, um, cleaning on a day-to-day
[00:29:30.680 --> 00:29:38.840]   basis during the school year. So the summertime for me is about deep cleaning and like, he's going to
[00:29:38.840 --> 00:29:45.480]   put up a ladder so I can clean the big three-story window in the, you know, in the foyer. And we're
[00:29:45.480 --> 00:29:49.940]   going to, I'm going to clean out the garage and sweep the floor in the garage. Those kinds of like,
