
[00:00:00.000 --> 00:00:08.920]   (sound of clock ticking)
[00:03:40.280 --> 00:03:41.680]   you talk a lot about having to,
[00:03:41.680 --> 00:03:44.200]   you know, a huge part of the book is withstanding volatility,
[00:03:44.200 --> 00:03:48.480]   withstanding downturns in the market and just sticking with it.
[00:03:48.480 --> 00:03:51.520]   Have computers and algorithms and modern technology
[00:03:51.520 --> 00:03:54.000]   and retail traders, all of the stuff that we think about
[00:03:54.000 --> 00:03:55.520]   when we think about the market today,
[00:03:55.520 --> 00:03:57.720]   have they made the market less volatile
[00:03:57.720 --> 00:04:00.320]   and susceptible to downturns or more
[00:04:00.320 --> 00:04:03.120]   or not really impacted it?
[00:04:03.120 --> 00:04:05.840]   Overall volatility, like if you measured by standard deviation,
[00:04:05.840 --> 00:04:09.000]   is probably pretty similar, like annualizing that number.
[00:04:09.000 --> 00:04:11.040]   But the speed of the volatility has increased.
[00:04:11.040 --> 00:04:12.920]   I remember there was an interview with a guy
[00:04:12.920 --> 00:04:14.520]   who was a fixed income manager for Vanguard
[00:04:14.520 --> 00:04:15.720]   and he was retiring.
[00:04:15.720 --> 00:04:16.960]   And he said he started in the early '80s.
[00:04:16.960 --> 00:04:20.640]   And he said back in like 1981, when a news event occurred,
[00:04:20.640 --> 00:04:22.160]   you had time to actually sit and think about it.
[00:04:22.160 --> 00:04:23.240]   If something happened overseas,
[00:04:23.240 --> 00:04:25.240]   it might not affect the US market until like the next day.
[00:04:25.240 --> 00:04:26.640]   Now everything is instantaneous.
[00:04:26.640 --> 00:04:28.200]   Like you don't have time to think through these things.
[00:04:28.200 --> 00:04:32.240]   So I think the speed of volatility has certainly increased.
[00:04:32.240 --> 00:04:33.760]   Computers and stuff makes, you know,
[00:04:33.760 --> 00:04:36.600]   if there's a piece of news or economic data that hits,
[00:04:36.600 --> 00:04:37.960]   it immediately hits the stock market.
[00:04:37.960 --> 00:04:39.280]   I don't think that was the case in the past.
[00:04:39.280 --> 00:04:41.320]   You would have to get some of your news from the market
[00:04:41.320 --> 00:04:42.880]   over the radio back in the day
[00:04:42.880 --> 00:04:44.560]   instead of seeing it in real time.
[00:04:44.560 --> 00:04:46.640]   So I think the overall volatility
[00:04:46.640 --> 00:04:48.360]   is probably pretty similar,
[00:04:48.360 --> 00:04:51.080]   but the speed of the volatility and the speed of the moves
[00:04:51.080 --> 00:04:53.760]   is probably much faster.
[00:04:53.760 --> 00:04:54.600]   Okay.
[00:04:54.600 --> 00:04:56.440]   And I think that's probably gonna continue.
[00:04:56.440 --> 00:04:58.280]   Yeah, I was wondering because the behavioral aspect
[00:04:58.280 --> 00:04:59.400]   you would think would be getting better
[00:04:59.400 --> 00:05:01.160]   with all the automation and stuff like that.
[00:05:01.160 --> 00:05:02.800]   So in my head, I was thinking like,
[00:05:02.800 --> 00:05:05.600]   I wonder if that has made the market a little more stable.
[00:05:05.600 --> 00:05:06.440]   Well, on the other hand,
[00:05:06.440 --> 00:05:08.400]   it's never been easier to pay attention
[00:05:08.400 --> 00:05:09.240]   than ever before, right?
[00:05:09.240 --> 00:05:10.080]   Right.
[00:05:10.080 --> 00:05:11.040]   To have that long-term mindset
[00:05:11.040 --> 00:05:13.400]   'cause you're being force-fed everything in the short term
[00:05:13.400 --> 00:05:14.240]   over and over again.
[00:05:14.240 --> 00:05:15.840]   It's harder to think and act for the long-term
[00:05:15.840 --> 00:05:17.680]   because you can see everything happen
[00:05:17.680 --> 00:05:19.600]   on a minute-by-minute basis.
[00:05:19.600 --> 00:05:20.680]   True, true.
[00:05:20.680 --> 00:05:23.200]   So along kind of a similar thread,
[00:05:23.200 --> 00:05:24.400]   one of my favorite stats in there
[00:05:24.400 --> 00:05:28.160]   was nearly 29,000 companies traded on the US stock market
[00:05:28.160 --> 00:05:30.040]   from 1950 to 2009.
[00:05:30.040 --> 00:05:32.400]   Almost 80% were gone by 2009.
[00:05:32.400 --> 00:05:33.440]   So my question for you is,
[00:05:33.440 --> 00:05:36.040]   do you think that we'll lose 80% of companies
[00:05:36.040 --> 00:05:37.280]   over the next 59 years?
[00:05:37.280 --> 00:05:38.560]   Or has that changed?
[00:05:38.560 --> 00:05:41.240]   Is the business world more resilient now?
[00:05:41.240 --> 00:05:42.680]   I don't know if your oat milk company
[00:05:42.680 --> 00:05:44.640]   is still gonna be in business by then.
[00:05:44.640 --> 00:05:48.080]   And so I think I got the stats from "Scale" by Jeffrey West,
[00:05:48.080 --> 00:05:49.520]   which is a really good book.
[00:05:49.520 --> 00:05:51.000]   And I actually think technology's
[00:05:51.000 --> 00:05:52.040]   only gonna speed this up.
[00:05:52.040 --> 00:05:56.080]   Companies of old required way more upfront investment
[00:05:56.080 --> 00:05:57.520]   in actual physical assets.
[00:05:57.520 --> 00:05:58.360]   Michael had a good one.
[00:05:58.360 --> 00:05:59.200]   I'm gonna steal this from him.
[00:05:59.200 --> 00:06:01.200]   He said like the first billion-dollar corporation ever
[00:06:01.200 --> 00:06:03.120]   was US Steel in 1901.
[00:06:03.120 --> 00:06:05.680]   And they had 170,000 employees
[00:06:05.680 --> 00:06:10.680]   and like $3,300 in sales per employee, right?
[00:06:10.720 --> 00:06:12.800]   And that's still like 90,000 in today's dollars.
[00:06:12.800 --> 00:06:16.240]   But today they have over 500,000 per employee
[00:06:16.240 --> 00:06:17.480]   because they've gotten more efficient.
[00:06:17.480 --> 00:06:19.560]   Technology has gotten better.
[00:06:19.560 --> 00:06:22.640]   Software makes it easier than ever to start businesses.
[00:06:22.640 --> 00:06:24.320]   I just think, I look at this as a good thing too.
[00:06:24.320 --> 00:06:25.400]   I think it's creative destruction
[00:06:25.400 --> 00:06:28.720]   where the quicker these old companies are being pushed out
[00:06:28.720 --> 00:06:30.880]   and the new companies are coming in,
[00:06:30.880 --> 00:06:31.920]   I think that's a good thing.
[00:06:31.920 --> 00:06:35.760]   And the one great thing about owning a diverse set
[00:06:35.760 --> 00:06:37.440]   of companies in the stock market is
[00:06:37.440 --> 00:06:38.960]   eventually those ones that rise to the top
[00:06:38.960 --> 00:06:41.840]   are gonna show up in your portfolio.
[00:06:41.840 --> 00:06:43.920]   I think the first trillion-dollar company,
[00:06:43.920 --> 00:06:46.200]   it's possible it hasn't even been created yet.
[00:06:46.200 --> 00:06:47.360]   And it's gonna be created in the future
[00:06:47.360 --> 00:06:50.360]   to solve some big problem that we don't even know yet.
[00:06:50.360 --> 00:06:51.200]   - All right.
[00:06:51.200 --> 00:06:52.040]   - So I think this is a good thing.
[00:06:52.040 --> 00:06:53.640]   - That makes sense.
[00:06:53.640 --> 00:06:55.920]   All right, so last but not least out of these,
[00:06:55.920 --> 00:06:58.880]   I just wrote down, what's a simple way
[00:06:58.880 --> 00:07:01.160]   for a young person to assess their risk tolerance?
[00:07:01.160 --> 00:07:02.440]   You talk a lot about risk tolerance
[00:07:02.440 --> 00:07:04.600]   and knowing your risk and different phases of life.
[00:07:04.600 --> 00:07:06.560]   How does someone figure it out?
[00:07:06.560 --> 00:07:07.600]   - One of the hardest things to do,
[00:07:07.600 --> 00:07:09.560]   it's probably the only thing you can do
[00:07:09.560 --> 00:07:10.920]   is have experience.
[00:07:10.920 --> 00:07:13.120]   I know people say, "Oh, put together a paper portfolio.
[00:07:13.120 --> 00:07:15.360]   "Pretend like you're trading, you've no money."
[00:07:15.360 --> 00:07:17.240]   Unfortunately, it's difficult to say how you'll react
[00:07:17.240 --> 00:07:18.480]   until you actually do it with someone,
[00:07:18.480 --> 00:07:21.120]   see your life savings get chopped in half.
[00:07:21.120 --> 00:07:23.360]   One of my favorite books of all time is this,
[00:07:23.360 --> 00:07:25.320]   "Where Are the Customers?" by Fred Schwed.
[00:07:25.320 --> 00:07:28.760]   It's, I think it was written in the 1930s or 1940s.
[00:07:28.760 --> 00:07:30.120]   He had this great quote that I use all the time.
[00:07:30.120 --> 00:07:32.260]   He said, "Like all of life's rich emotional experiences,
[00:07:32.260 --> 00:07:34.520]   "the full flavor of losing important money
[00:07:34.520 --> 00:07:36.260]   "cannot be conveyed by literature.
[00:07:36.260 --> 00:07:38.280]   "There are certain things that cannot be adequately explained
[00:07:38.280 --> 00:07:40.040]   "to a virgin either by words or pictures."
[00:07:40.040 --> 00:07:41.680]   And so I think sometimes you have to just live through it
[00:07:41.680 --> 00:07:45.320]   and see, I can keep 100% of my portfolio in stocks.
[00:07:45.320 --> 00:07:46.160]   I think I can.
[00:07:46.160 --> 00:07:47.640]   I have a high risk tolerance.
[00:07:47.640 --> 00:07:48.680]   But until you actually do it
[00:07:48.680 --> 00:07:50.480]   and go through something like last year
[00:07:50.480 --> 00:07:52.160]   and see that money fall,
[00:07:52.160 --> 00:07:55.620]   I think you have to kind of play it by ear and experience it.
[00:07:55.620 --> 00:07:58.280]   And the good thing about if you're a young person investing
[00:07:58.280 --> 00:07:59.920]   is that you probably aren't gonna have
[00:07:59.920 --> 00:08:01.080]   a huge amount of capital
[00:08:01.080 --> 00:08:02.560]   when you're learning these things, right?
[00:08:02.560 --> 00:08:05.160]   So you learn and make your mistakes
[00:08:05.160 --> 00:08:07.640]   or you kind of change the dial a little bit
[00:08:07.640 --> 00:08:09.600]   when you are young.
[00:08:09.600 --> 00:08:10.440]   - Right.
[00:08:10.440 --> 00:08:11.640]   And you write about this some, right?
[00:08:11.640 --> 00:08:13.960]   That a 50% loss when you have a couple thousand
[00:08:13.960 --> 00:08:15.480]   in the market starting out
[00:08:15.480 --> 00:08:17.840]   isn't nearly as bad as 50% loss
[00:08:17.840 --> 00:08:19.560]   when you have a much larger portfolio.
[00:08:19.560 --> 00:08:21.960]   - Yeah, or 20% loss could be more painful
[00:08:21.960 --> 00:08:22.800]   if you have more money
[00:08:22.800 --> 00:08:24.200]   'cause it's more dollars going out of your account
[00:08:24.200 --> 00:08:25.440]   than even getting chopped in half
[00:08:25.440 --> 00:08:27.320]   when you don't have as much money.
[00:08:27.320 --> 00:08:28.320]   - Right, right.
[00:08:28.320 --> 00:08:29.520]   - Good plug for my book there, Duncan.
[00:08:29.520 --> 00:08:30.360]   Way to go.
[00:08:30.360 --> 00:08:32.760]   - Yeah, and I had one quote I wanted to share
[00:08:32.760 --> 00:08:34.640]   with people that I think, especially again,
[00:08:34.640 --> 00:08:36.200]   for everyone, but especially our younger
[00:08:36.200 --> 00:08:37.840]   and new investors.
[00:08:37.840 --> 00:08:39.800]   You say, or you have in there,
[00:08:39.800 --> 00:08:41.080]   your actions during down markets
[00:08:41.080 --> 00:08:44.000]   have a larger say in your success or failure as an investor
[00:08:44.000 --> 00:08:45.880]   than how you act during rising markets.
[00:08:45.880 --> 00:08:47.600]   So I think that's a good thing for everyone
[00:08:47.600 --> 00:08:49.080]   to acknowledge right now.
[00:08:49.080 --> 00:08:50.680]   - Giving up on an investment plan
[00:08:50.680 --> 00:08:52.840]   is no different than failure, right?
[00:08:52.840 --> 00:08:55.340]   Because if you give up and you just throw your arms up
[00:08:55.340 --> 00:08:56.560]   and you sell when things are down
[00:08:56.560 --> 00:08:58.760]   just because you can't take it anymore,
[00:08:58.760 --> 00:09:02.080]   that giving up on your plan is no plan at all
[00:09:02.080 --> 00:09:04.040]   is my way of looking at it.
[00:09:04.040 --> 00:09:05.440]   - Yeah, I like that.
[00:09:05.440 --> 00:09:06.280]   Cool, yeah.
[00:09:06.280 --> 00:09:08.360]   So strong recommendation, I enjoyed it.
[00:09:08.360 --> 00:09:11.160]   And I've been soaking in all the knowledge
[00:09:11.160 --> 00:09:12.960]   from all of you guys for years now
[00:09:12.960 --> 00:09:14.440]   and I still learned some stuff
[00:09:14.440 --> 00:09:17.240]   and still got a lot out of it, so yeah.
[00:09:17.240 --> 00:09:19.240]   - Perfect, all right, let's get into a question.
[00:09:19.240 --> 00:09:20.600]   - Okay.
[00:09:20.600 --> 00:09:24.520]   So first up today, we have 2022 was all about inflation.
[00:09:24.520 --> 00:09:26.400]   Now people are talking about peak inflation
[00:09:26.400 --> 00:09:27.920]   and possible deflation.
[00:09:27.920 --> 00:09:29.320]   What does deflation look like?
[00:09:29.320 --> 00:09:31.280]   Why do people say it's worse than inflation?
[00:09:31.280 --> 00:09:33.560]   Also, why do they say tech is deflationary?
[00:09:34.560 --> 00:09:37.120]   - All right, it does appear inflation is peaked
[00:09:37.120 --> 00:09:37.960]   for the time being.
[00:09:37.960 --> 00:09:39.400]   John, throw up the chart here.
[00:09:39.400 --> 00:09:42.080]   You can see if I'm performing technical analysis on this,
[00:09:42.080 --> 00:09:44.800]   I can see a line and a peak and a line down.
[00:09:44.800 --> 00:09:46.160]   That has to mean something.
[00:09:46.160 --> 00:09:48.360]   It is important to remind people though
[00:09:48.360 --> 00:09:50.560]   that we have had inflation before these past 20 months
[00:09:50.560 --> 00:09:51.800]   or so of rapidly rising inflation.
[00:09:51.800 --> 00:09:53.720]   Even before the current bout of high inflation,
[00:09:53.720 --> 00:09:54.680]   prices were still rising.
[00:09:54.680 --> 00:09:56.680]   They were doing so at a much more modest pace.
[00:09:56.680 --> 00:09:58.400]   So John, throw this other chart on.
[00:09:58.400 --> 00:10:02.840]   This is CPI from 2010 to 2020.
[00:10:02.840 --> 00:10:03.680]   It was modest.
[00:10:03.680 --> 00:10:06.600]   It was up like 21% in total, a little less than 2% a year.
[00:10:06.600 --> 00:10:07.600]   We still had inflation.
[00:10:07.600 --> 00:10:09.320]   No one just, people didn't really pay attention
[00:10:09.320 --> 00:10:11.280]   that much to it because it was a relatively
[00:10:11.280 --> 00:10:12.640]   stable increase over time.
[00:10:12.640 --> 00:10:15.960]   There weren't any huge jumps or falls.
[00:10:15.960 --> 00:10:17.800]   I guess you could call that price stability.
[00:10:17.800 --> 00:10:18.720]   I don't know if we're gonna go
[00:10:18.720 --> 00:10:19.560]   from inflation to deflation.
[00:10:19.560 --> 00:10:21.680]   It is a possibility if we get a nasty recession
[00:10:21.680 --> 00:10:24.520]   and things slow down considerably.
[00:10:24.520 --> 00:10:26.240]   To the point about inflation versus deflation,
[00:10:26.240 --> 00:10:28.280]   why wouldn't you want deflation, right?
[00:10:28.280 --> 00:10:29.840]   It's prices falling.
[00:10:29.840 --> 00:10:30.680]   Who wouldn't want that?
[00:10:30.680 --> 00:10:31.760]   Well, the economy for one
[00:10:31.760 --> 00:10:33.560]   and probably your paycheck for another.
[00:10:33.560 --> 00:10:37.080]   My view is not necessarily that inflation is good.
[00:10:37.080 --> 00:10:39.400]   It's just that it's less bad than deflation.
[00:10:39.400 --> 00:10:41.040]   Deflation is like this negative,
[00:10:41.040 --> 00:10:42.360]   crazy negative feedback loop.
[00:10:42.360 --> 00:10:44.640]   So prices start to fall because people,
[00:10:44.640 --> 00:10:46.320]   so people stop buying today in hopes
[00:10:46.320 --> 00:10:48.880]   that they'll be able to buy stuff cheaper in the future.
[00:10:48.880 --> 00:10:51.200]   And so people stop buying stuff today.
[00:10:51.200 --> 00:10:53.280]   Business profits go down.
[00:10:53.280 --> 00:10:54.660]   People are laid off.
[00:10:54.660 --> 00:10:56.040]   People get unemployed.
[00:10:56.040 --> 00:10:58.480]   As unemployment rate rises, people's paychecks fall.
[00:10:58.480 --> 00:11:01.420]   You know, it's like a death spiral of future price cuts.
[00:11:01.420 --> 00:11:03.280]   That's why there was huge deflation
[00:11:03.280 --> 00:11:04.440]   in the Great Depression.
[00:11:04.440 --> 00:11:06.240]   And trust me, people seeing their prices falling
[00:11:06.240 --> 00:11:07.720]   was not a good thing because that happened
[00:11:07.720 --> 00:11:09.680]   because there was 25% unemployment.
[00:11:09.680 --> 00:11:12.320]   I think prices fell like 10% across the board
[00:11:12.320 --> 00:11:13.800]   in the US economy.
[00:11:13.800 --> 00:11:15.440]   So I think if we want our incomes
[00:11:15.440 --> 00:11:16.440]   and standard of living to rise,
[00:11:16.440 --> 00:11:18.840]   we're gonna have to accept some price inflation over time
[00:11:18.840 --> 00:11:20.360]   because that's just progress.
[00:11:20.360 --> 00:11:22.540]   It's a natural by-product of growth.
[00:11:22.540 --> 00:11:23.600]   And so we're probably always gonna have
[00:11:23.600 --> 00:11:24.760]   a little bit of inflation over the long term,
[00:11:24.760 --> 00:11:27.000]   assuming we're still advancing as a species.
[00:11:27.000 --> 00:11:30.040]   So I look at rising prices as the lesser of two evils.
[00:11:30.040 --> 00:11:31.260]   People don't really like that,
[00:11:31.260 --> 00:11:33.840]   but if you wanna continue to see growth and progress
[00:11:33.840 --> 00:11:37.080]   in our economy, you're gonna have to accept some inflation.
[00:11:37.080 --> 00:11:39.560]   What we've seen this past year, year and a half
[00:11:39.560 --> 00:11:41.500]   is not normal, not what we'd like,
[00:11:41.500 --> 00:11:43.560]   but even if inflation goes down from here,
[00:11:43.560 --> 00:11:45.400]   it's still gonna be, prices are still gonna be rising,
[00:11:45.400 --> 00:11:47.220]   just not at as much of a high pace.
[00:11:47.220 --> 00:11:50.560]   - Okay, yeah, I'm most familiar with it
[00:11:50.560 --> 00:11:53.000]   because Kathy Wood seems to talk a lot
[00:11:53.000 --> 00:11:56.720]   about deflationary forces in tech, right?
[00:11:56.720 --> 00:11:57.560]   I think that's where a lot of people-
[00:11:57.560 --> 00:11:59.100]   - So I mean, people think it's a risk
[00:11:59.100 --> 00:12:01.920]   because that would probably mean a nasty recession.
[00:12:01.920 --> 00:12:06.840]   And so I think if you gave me the choice of inflation,
[00:12:06.840 --> 00:12:08.820]   but it's with economic growth and people's wages are rising
[00:12:08.820 --> 00:12:10.580]   versus deflation and people are losing their jobs
[00:12:10.580 --> 00:12:13.080]   and it's a recession, I'd probably take the lesser
[00:12:13.080 --> 00:12:14.940]   of two evils and have that inflation.
[00:12:14.940 --> 00:12:16.840]   - Right, yeah.
[00:12:16.840 --> 00:12:18.120]   - It's 'cause I'm one of the people.
[00:12:18.120 --> 00:12:19.820]   - AI is gonna change this, right?
[00:12:19.820 --> 00:12:22.640]   AI, Ben and Duncan will be doing this show
[00:12:22.640 --> 00:12:23.960]   in a couple of years, edited by-
[00:12:23.960 --> 00:12:28.080]   - Well, people ask, he asked why is technology deflationary
[00:12:28.080 --> 00:12:30.140]   and it's because it just makes us more efficient, right?
[00:12:30.140 --> 00:12:33.160]   And back in the 1800s, 80% of us were farmers.
[00:12:33.160 --> 00:12:35.920]   Now, I don't know, I think the percentage of people
[00:12:35.920 --> 00:12:36.760]   that work on farms is like 1%.
[00:12:36.760 --> 00:12:38.560]   It's 'cause we have technology that's available
[00:12:38.560 --> 00:12:41.200]   to make it easier so people can do other jobs.
[00:12:41.200 --> 00:12:43.720]   People have the ability to complain on the internet all day
[00:12:43.720 --> 00:12:46.600]   because technology has made our lives easier.
[00:12:46.600 --> 00:12:48.360]   - That's all right.
[00:12:48.360 --> 00:12:49.960]   - Yes, exactly.
[00:12:49.960 --> 00:12:50.880]   All right, let's do another one.
[00:12:50.880 --> 00:12:54.160]   - That question was from Yajur, by the way.
[00:12:54.160 --> 00:12:57.020]   And so next we have a question from Chuck.
[00:12:58.020 --> 00:13:01.180]   "Do you think the stock market is a form of Ponzi scheme?"
[00:13:01.180 --> 00:13:02.980]   And I gotta be honest, this question, I think,
[00:13:02.980 --> 00:13:03.820]   triggered me a little bit.
[00:13:03.820 --> 00:13:04.820]   I'm sure it triggered you a little bit,
[00:13:04.820 --> 00:13:07.880]   but we love you, Chuck, but yeah.
[00:13:07.880 --> 00:13:10.380]   "Do you think the stock market is a form of Ponzi scheme?
[00:13:10.380 --> 00:13:11.980]   "The average dividend payout for all stocks
[00:13:11.980 --> 00:13:13.400]   "is a little over 1%.
[00:13:13.400 --> 00:13:15.300]   "Back in 1958, the average lifespan
[00:13:15.300 --> 00:13:17.240]   "of a corporation was 58 years,
[00:13:17.240 --> 00:13:19.160]   "but it's now down to around 15 years.
[00:13:19.160 --> 00:13:21.060]   "So why are people investing in the stock market?
[00:13:21.060 --> 00:13:23.360]   "The answer is they hope to make money
[00:13:23.360 --> 00:13:25.080]   "from selling a piece of paper to someone else,
[00:13:25.080 --> 00:13:27.360]   "the greater fool, at a nice profit.
[00:13:27.360 --> 00:13:29.180]   "If there's no one there to buy your piece of paper,
[00:13:29.180 --> 00:13:31.180]   "you won't make money in the long run."
[00:13:31.180 --> 00:13:33.020]   Okay.
[00:13:33.020 --> 00:13:36.660]   - Listen, if Charles Ponzi's scheme
[00:13:36.660 --> 00:13:37.980]   did what the stock market does,
[00:13:37.980 --> 00:13:41.520]   it wouldn't be used as a way to talk down on someone
[00:13:41.520 --> 00:13:42.580]   for doing fraud.
[00:13:42.580 --> 00:13:43.680]   It would be a good thing.
[00:13:43.680 --> 00:13:44.520]   So the short answer is no,
[00:13:44.520 --> 00:13:46.100]   I don't think the stock market is a form of Ponzi scheme.
[00:13:46.100 --> 00:13:48.420]   In Ponzi scheme, old investors are paid off
[00:13:48.420 --> 00:13:50.820]   by new investors, investors in quotes,
[00:13:50.820 --> 00:13:52.780]   because there's no business plan, there's no revenues.
[00:13:52.780 --> 00:13:54.780]   Right, the stock market is made up of corporations,
[00:13:54.780 --> 00:13:56.260]   and those corporations make products,
[00:13:56.260 --> 00:13:57.780]   they perform services.
[00:13:57.780 --> 00:13:58.940]   Consumers and other businesses
[00:13:58.940 --> 00:14:00.380]   buy those products and services.
[00:14:00.380 --> 00:14:01.540]   That results in revenue.
[00:14:01.540 --> 00:14:03.000]   Some of that revenue is used to pay costs
[00:14:03.000 --> 00:14:03.840]   of running the business,
[00:14:03.840 --> 00:14:06.300]   but whatever's left over is used to pay down debt
[00:14:06.300 --> 00:14:09.180]   or buy back shares or pay dividends out to stock investors,
[00:14:09.180 --> 00:14:11.020]   or be reinvested back in the business.
[00:14:11.020 --> 00:14:13.300]   So the profits of the business
[00:14:13.300 --> 00:14:14.940]   actually accrue to the shareholders, right?
[00:14:14.940 --> 00:14:16.900]   They have a piece of that profit.
[00:14:16.900 --> 00:14:19.860]   And so as sales and dividends and earnings grow over time,
[00:14:19.860 --> 00:14:20.860]   stocks are worth more money.
[00:14:20.860 --> 00:14:22.100]   It is true that dividend yields are lower
