
[00:00:00.000 --> 00:00:01.000]   Hey, everyone.
[00:02:02.920 --> 00:02:09.200]   And I was thinking about it from when I was a teenager.
[00:02:09.200 --> 00:02:11.400]   After high school, I did a year where
[00:02:11.400 --> 00:02:15.160]   I started a startup with the intention to become rich.
[00:02:15.160 --> 00:02:19.240]   And then once I'm rich, I can affect the trajectory of AI.
[00:02:19.240 --> 00:02:21.000]   Did not become rich.
[00:02:21.000 --> 00:02:24.040]   Decided to go back to college and study cognitive science
[00:02:24.040 --> 00:02:25.720]   there, which was like the closest thing
[00:02:25.720 --> 00:02:29.680]   I could find at the time to AI.
[00:02:29.680 --> 00:02:32.360]   In the last year of college, moved to the US
[00:02:32.360 --> 00:02:37.960]   to do a PhD at MIT, working on broadly kind of new programming
[00:02:37.960 --> 00:02:40.880]   languages for AI, because it kind of seemed like the existing
[00:02:40.880 --> 00:02:44.100]   languages were not great at expressing world models
[00:02:44.100 --> 00:02:47.520]   and learning world models doing Bayesian inference.
[00:02:47.520 --> 00:02:49.640]   Was always thinking about, well, ultimately, the goal
[00:02:49.640 --> 00:02:51.960]   is to actually build tools that help people reason more
[00:02:51.960 --> 00:02:57.600]   clearly, ask and answer better questions,
[00:02:57.600 --> 00:02:58.760]   and make better decisions.
[00:02:58.760 --> 00:03:00.240]   But for a long time, it just seemed
[00:03:00.240 --> 00:03:03.440]   like the technology to put reasoning in machines
[00:03:03.440 --> 00:03:04.800]   just wasn't there.
[00:03:04.800 --> 00:03:10.820]   And so initially, at the end of my postdoc at Stanford,
[00:03:10.820 --> 00:03:12.440]   I was thinking about, well, what to do?
[00:03:12.440 --> 00:03:15.600]   I think the standard path is you become an academic
[00:03:15.600 --> 00:03:17.160]   and do research.
[00:03:17.160 --> 00:03:23.040]   But it's really hard to actually build interesting tools
[00:03:23.040 --> 00:03:23.920]   as an academic.
[00:03:23.920 --> 00:03:26.760]   You can't really hire great engineers.
[00:03:26.760 --> 00:03:29.520]   Everything is kind of on a paper-to-paper timeline.
[00:03:29.520 --> 00:03:33.440]   And so I was like, well, maybe I should start a startup
[00:03:33.440 --> 00:03:35.120]   and pursue that for a little bit.
[00:03:35.120 --> 00:03:37.160]   But it seemed like it was too early,
[00:03:37.160 --> 00:03:39.900]   because you could have tried to do an AI startup,
[00:03:39.900 --> 00:03:42.840]   but probably would not have been the kind of AI startup
[00:03:42.840 --> 00:03:44.520]   we're seeing now.
[00:03:44.520 --> 00:03:47.840]   So then decided to just start a nonprofit research lab that's
[00:03:47.840 --> 00:03:49.200]   going to do research for a while,
[00:03:49.200 --> 00:03:53.000]   until we better figure out how to do thinking in machines.
[00:03:53.000 --> 00:03:54.800]   And that was odd.
[00:03:54.800 --> 00:04:01.080]   And then over time, it became clear how to actually build
[00:04:01.080 --> 00:04:02.800]   actual tools for reasoning.
[00:04:02.800 --> 00:04:08.400]   And then only over time, we developed a better way to--
[00:04:08.400 --> 00:04:10.400]   I'll let you fill in some of these.
[00:04:10.400 --> 00:04:14.360]   Yeah, so I guess my story maybe starts around 2015.
[00:04:14.360 --> 00:04:17.880]   I kind of wanted to be a founder for a long time.
[00:04:17.880 --> 00:04:22.220]   And I wanted to work on an idea that really tested--
[00:04:22.220 --> 00:04:23.840]   that stood the test of time for me,
[00:04:23.840 --> 00:04:26.560]   like an idea that stuck with me for a long time.
[00:04:26.560 --> 00:04:28.280]   And then starting in 2015, actually,
[00:04:28.280 --> 00:04:30.840]   originally, I became interested in AI-based tools
[00:04:30.840 --> 00:04:32.680]   from the perspective of mental health.
[00:04:32.680 --> 00:04:33.840]   So there are a bunch of people around me
[00:04:33.840 --> 00:04:35.240]   who are really struggling.
[00:04:35.240 --> 00:04:36.620]   One really close friend in particular
[00:04:36.620 --> 00:04:38.280]   is really struggling with mental health
[00:04:38.280 --> 00:04:39.720]   and didn't have any support.
[00:04:39.720 --> 00:04:41.880]   And it didn't feel like there was anything
[00:04:41.880 --> 00:04:45.640]   before getting hospitalized that could just help her.
[00:04:45.640 --> 00:04:48.320]   And so luckily, she came and stayed with me for a while.
[00:04:48.320 --> 00:04:50.600]   And we were just able to talk through some things.
[00:04:50.600 --> 00:04:52.760]   But it seemed like lots of people
[00:04:52.760 --> 00:04:54.140]   might not have that resource.
[00:04:54.140 --> 00:04:57.760]   And something maybe AI-enabled could be much more scalable.
[00:04:57.760 --> 00:05:00.360]   I didn't feel ready to start a company then.
[00:05:00.360 --> 00:05:02.280]   That's 2015.
[00:05:02.280 --> 00:05:05.200]   And I also didn't feel like the technology was ready.
[00:05:05.200 --> 00:05:07.440]   So then I went into fintech and learned
[00:05:07.440 --> 00:05:09.200]   how to do the tech thing.
[00:05:09.200 --> 00:05:12.640]   And then in 2019, I felt like it was time
[00:05:12.640 --> 00:05:15.280]   for me to just jump in and build something on my own
[00:05:15.280 --> 00:05:17.160]   I really wanted to create.
[00:05:17.160 --> 00:05:19.840]   And at the time, there were two interesting--
[00:05:19.840 --> 00:05:22.680]   I looked around at tech and felt not super inspired
[00:05:22.680 --> 00:05:23.720]   by the options.
[00:05:23.720 --> 00:05:26.320]   I didn't want to have a tech career ladder.
[00:05:26.320 --> 00:05:28.840]   I didn't want to climb the career ladder.
[00:05:28.840 --> 00:05:30.860]   There were two interesting technologies at the time.
[00:05:30.860 --> 00:05:32.800]   There was AI and there was crypto.
[00:05:32.800 --> 00:05:34.240]   And I was like, well, the AI people
[00:05:34.240 --> 00:05:37.120]   seem a little bit more nice.
[00:05:37.120 --> 00:05:40.080]   Maybe slightly more trustworthy.
[00:05:40.080 --> 00:05:41.320]   Both super exciting.
[00:05:41.320 --> 00:05:46.240]   But yeah, I kind of threw my bet in on the AI side.
[00:05:46.240 --> 00:05:47.780]   And then I got connected to Andreas.
[00:05:47.780 --> 00:05:49.760]   And actually, the way he was thinking
[00:05:49.760 --> 00:05:52.040]   about pursuing the research agenda at OTT
[00:05:52.040 --> 00:05:54.760]   was really compatible with what I had envisioned
[00:05:54.760 --> 00:05:57.080]   for an ideal AI product, something
[00:05:57.080 --> 00:05:59.880]   that helps kind of take down really complex thinking,
[00:05:59.880 --> 00:06:02.720]   overwhelming thoughts, and breaks it down into small pieces.
[00:06:02.720 --> 00:06:04.640]   And then this kind of mission that we
[00:06:04.640 --> 00:06:08.200]   need AI to help us figure out what we ought to do
[00:06:08.200 --> 00:06:10.520]   was really inspiring.
[00:06:10.520 --> 00:06:12.880]   Yeah, because I think it was clear that we were building
[00:06:12.880 --> 00:06:16.560]   the most powerful optimizer of our time.
[00:06:16.560 --> 00:06:18.640]   But as a society, we hadn't figured out
[00:06:18.640 --> 00:06:21.520]   how to direct that optimization potential.
[00:06:21.520 --> 00:06:23.640]   And if you kind of direct tremendous amounts
[00:06:23.640 --> 00:06:25.840]   of optimization potential at the wrong thing,
[00:06:25.840 --> 00:06:27.000]   that's really disastrous.
[00:06:27.000 --> 00:06:29.940]   So the goal of OTT was make sure that if we build the most
[00:06:29.940 --> 00:06:32.160]   transformative technology of our lifetime,
[00:06:32.160 --> 00:06:34.400]   it can be used for something really impactful,
[00:06:34.400 --> 00:06:37.480]   like good reasoning, like not just generating ads.
[00:06:37.480 --> 00:06:38.880]   My background was in marketing.
[00:06:38.880 --> 00:06:41.160]   But so I was like, I want to do more than generate ads
[00:06:41.160 --> 00:06:42.160]   with this.
[00:06:42.160 --> 00:06:45.320]   And also, if these AI systems get
[00:06:45.320 --> 00:06:47.880]   to be super intelligent enough that they are doing
[00:06:47.880 --> 00:06:50.240]   this really complex reasoning, that we can trust them,
[00:06:50.240 --> 00:06:51.980]   that they are aligned with us and we
[00:06:51.980 --> 00:06:54.960]   have ways of evaluating that they're doing the right thing.
[00:06:54.960 --> 00:06:55.880]   So that's what OTT did.
[00:06:55.880 --> 00:06:57.600]   We did a lot of experiments.
[00:06:57.600 --> 00:07:00.960]   This was, like Andreas said, before foundation models
[00:07:00.960 --> 00:07:02.640]   really took off.
[00:07:02.640 --> 00:07:04.880]   A lot of the issues we were seeing
[00:07:04.880 --> 00:07:06.640]   were more in reinforcement learning.
[00:07:06.640 --> 00:07:09.720]   But we saw a future where AI would
[00:07:09.720 --> 00:07:12.360]   be able to do more kind of logical reasoning,
[00:07:12.360 --> 00:07:15.360]   not just kind of extrapolate from numerical trends.
[00:07:15.360 --> 00:07:18.800]   So we actually kind of set up experiments
[00:07:18.800 --> 00:07:21.960]   with people, where people stood in as super intelligent
[00:07:21.960 --> 00:07:23.320]   systems.
[00:07:23.320 --> 00:07:25.920]   And we effectively gave them context windows.
[00:07:25.920 --> 00:07:28.560]   So they would have to read a bunch of text.
[00:07:28.560 --> 00:07:31.360]   And one person would get less text,
[00:07:31.360 --> 00:07:32.900]   and one person would get all the text,
[00:07:32.900 --> 00:07:34.480]   and the person with less text would
[00:07:34.480 --> 00:07:37.080]   have to evaluate the work of the person who
[00:07:37.080 --> 00:07:38.200]   could read much more.
[00:07:38.200 --> 00:07:40.600]   So in a world, we were basically simulating,
[00:07:40.600 --> 00:07:44.520]   like in 2018, 2019, a world where an AI system could read
[00:07:44.520 --> 00:07:45.960]   significantly more than you.
[00:07:45.960 --> 00:07:48.280]   And you, as the person who couldn't read that much,
[00:07:48.280 --> 00:07:50.640]   had to evaluate the work of the AI system.
[00:07:50.640 --> 00:07:53.840]   Yeah, so there's a lot of the work we did.
[00:07:53.840 --> 00:07:56.280]   And from that, we kind of iterated on this idea,
[00:07:56.280 --> 00:07:58.880]   that the idea of breaking complex tasks down
[00:07:58.880 --> 00:08:00.720]   into smaller tasks, like complex tasks,
[00:08:00.720 --> 00:08:03.640]   like open-ended reasoning, logical reasoning,
[00:08:03.640 --> 00:08:05.520]   into smaller tasks, so that it's easier
[00:08:05.520 --> 00:08:07.080]   to train AI systems on them.
[00:08:07.080 --> 00:08:09.960]   And also so that it's easier to evaluate the work of the AI
[00:08:09.960 --> 00:08:11.880]   system when it's done.
[00:08:11.880 --> 00:08:15.840]   And then also kind of really pioneered this idea,
[00:08:15.840 --> 00:08:18.800]   the importance of supervising the process of AI systems,
[00:08:18.800 --> 00:08:20.360]   not just the outcomes.
[00:08:20.360 --> 00:08:23.040]   And so a big part of then how Elicit is built
[00:08:23.040 --> 00:08:27.320]   is we're very intentional about not just throwing a ton of data
[00:08:27.320 --> 00:08:29.640]   into a model and training it, and then saying, cool,
[00:08:29.640 --> 00:08:31.320]   here's scientific output.
[00:08:31.320 --> 00:08:33.520]   That's not at all what we do.
[00:08:33.520 --> 00:08:35.680]   Our approach is very much like, what are the steps
[00:08:35.680 --> 00:08:37.160]   that an expert human does?
[00:08:37.160 --> 00:08:38.800]   Or what is an ideal process?
[00:08:38.800 --> 00:08:41.800]   As granularly as possible, let's break that down.
[00:08:41.800 --> 00:08:44.640]   And then train AI systems to perform each of those steps
[00:08:44.640 --> 00:08:46.200]   very robustly.
[00:08:46.200 --> 00:08:49.200]   When you train that from the start, after the fact,
[00:08:49.200 --> 00:08:50.920]   it's much easier to evaluate.
[00:08:50.920 --> 00:08:53.000]   It's much easier to troubleshoot at each point,
[00:08:53.000 --> 00:08:55.000]   like where did something break down?
[00:08:55.000 --> 00:08:57.000]   So yeah, we were working on those experiments for a while.
[00:08:57.000 --> 00:09:00.320]   And then at the start of 2021, decided to build a product.
[00:09:00.320 --> 00:09:03.280]   Because when you do research, I think maybe--
[00:09:03.280 --> 00:09:06.000]   - Do you mind if I, 'cause I think you're about to go
[00:09:06.000 --> 00:09:08.640]   into more modern thought and Elicit.
[00:09:08.640 --> 00:09:11.080]   And I just wanted to, because I think a lot of people
[00:09:11.080 --> 00:09:15.360]   are in where you were, like sort of 2018, '19,
[00:09:15.360 --> 00:09:18.360]   where you chose a partner to work with, right?
[00:09:18.360 --> 00:09:19.760]   And you didn't know him.
[00:09:19.760 --> 00:09:21.520]   You were just kind of cold introduced.
[00:09:21.520 --> 00:09:23.200]   A lot of people are cold introduced.
[00:09:23.200 --> 00:09:24.720]   I've been cold introduced to tons of people
[00:09:24.720 --> 00:09:26.760]   and I never work with them.
[00:09:26.760 --> 00:09:28.880]   I assume you had a lot of other options, right?
[00:09:28.880 --> 00:09:32.160]   Like how do you advise people to make those choices?
[00:09:32.160 --> 00:09:33.840]   - Yeah, we were not totally cold introduced.
[00:09:33.840 --> 00:09:36.880]   So we had one of our closest friends introduced us.
[00:09:36.880 --> 00:09:41.120]   And then Andreas had written a lot on the OTT website,
[00:09:41.120 --> 00:09:43.160]   a lot of blog posts, a lot of publications.
[00:09:43.160 --> 00:09:44.920]   And I just read it and I was like, wow,
[00:09:44.920 --> 00:09:47.080]   this sounds like my writing.
[00:09:47.080 --> 00:09:49.360]   And even other people, some of my closest friends
[00:09:49.360 --> 00:09:50.920]   I asked for advice from, they were like,
[00:09:50.920 --> 00:09:52.960]   oh, this sounds like your writing.
[00:09:52.960 --> 00:09:54.840]   But I think I also had some kind of like
[00:09:54.840 --> 00:09:55.760]   things I was looking for.
[00:09:55.760 --> 00:09:58.240]   I wanted someone with a complimentary skillset.
[00:09:58.240 --> 00:10:00.800]   I want someone who was very values aligned.
[00:10:00.800 --> 00:10:03.640]   And yeah, I think that was all a good fit.
[00:10:03.640 --> 00:10:07.120]   - We also did a pretty lengthy mutual evaluation process
[00:10:07.120 --> 00:10:08.480]   where we had a Google doc
[00:10:08.480 --> 00:10:11.120]   where we had all kinds of questions for each other.
[00:10:11.120 --> 00:10:14.560]   And I think it ended up being around 50 pages or so
[00:10:14.560 --> 00:10:16.720]   of like various like questions and back and forth.
[00:10:16.720 --> 00:10:18.200]   - Was it the YC list?
[00:10:18.200 --> 00:10:20.360]   There's some lists going around for co-founder questions.
[00:10:20.360 --> 00:10:22.480]   - No, we just made our own questions.
[00:10:22.480 --> 00:10:26.000]   But I presume, I guess it's probably related
[00:10:26.000 --> 00:10:27.480]   in that you ask yourself, well,
[00:10:27.480 --> 00:10:28.720]   what are the values you care about?
[00:10:28.720 --> 00:10:30.480]   How would you approach various decisions
[00:10:30.480 --> 00:10:31.320]   and things like that?
[00:10:31.320 --> 00:10:33.880]   - I shared like all of my past performance reviews.
[00:10:33.880 --> 00:10:35.200]   - Yeah. - Yeah.
[00:10:35.200 --> 00:10:36.480]   - Yeah, and he had never had any, so.
[00:10:36.480 --> 00:10:39.240]   - No. (all laughing)
[00:10:39.240 --> 00:10:42.000]   - Yeah, sorry, I just had to,
[00:10:42.000 --> 00:10:43.520]   a lot of people are going through that phase
[00:10:43.520 --> 00:10:44.400]   and you kind of skipped over it.
[00:10:44.400 --> 00:10:45.240]   I was like, no, no, no, no,
[00:10:45.240 --> 00:10:47.320]   there's like an interesting story there.
[00:10:47.320 --> 00:10:50.280]   - So before we jump into what a list it is today,
[00:10:51.400 --> 00:10:53.920]   the history is a bit counterintuitive.
[00:10:53.920 --> 00:10:55.920]   So you start with figuring out,
[00:10:55.920 --> 00:10:58.400]   oh, if we had a super powerful model,
[00:10:58.400 --> 00:11:00.400]   how would we align it, how we use it?
[00:11:00.400 --> 00:11:01.560]   But then you were actually like,
[00:11:01.560 --> 00:11:02.880]   well, let's just build the product
[00:11:02.880 --> 00:11:04.680]   so that people can actually leverage it.
[00:11:04.680 --> 00:11:07.120]   And I think there are a lot of folks today
[00:11:07.120 --> 00:11:09.320]   that are now back to where you were maybe five years ago
[00:11:09.320 --> 00:11:11.400]   that are like, oh, what if this happens
[00:11:11.400 --> 00:11:13.080]   rather than focusing on actually building
[00:11:13.080 --> 00:11:15.160]   something useful with it?
[00:11:15.160 --> 00:11:18.240]   What clicked for you to like move into a list
[00:11:18.240 --> 00:11:20.160]   and then we can cover that story too?
[00:11:20.160 --> 00:11:22.400]   - I think in many ways, the approach is still the same
[00:11:22.400 --> 00:11:24.960]   because the way we are building a list is not,
[00:11:24.960 --> 00:11:27.440]   let's train a foundation model to do more stuff.
[00:11:27.440 --> 00:11:29.480]   It's like, let's build a scaffolding
[00:11:29.480 --> 00:11:32.740]   such that we can deploy powerful models to good ends.
[00:11:32.740 --> 00:11:36.040]   So I think it's different now in that we are,
[00:11:36.040 --> 00:11:37.920]   we actually have some of the models to plug in,
[00:11:37.920 --> 00:11:42.480]   but if in 2018, '17, we had had the models,
[00:11:42.480 --> 00:11:44.840]   we could have run the same experiments
[00:11:44.840 --> 00:11:47.720]   we did run with humans back then, just with models.
[00:11:47.720 --> 00:11:50.120]   And so in many ways, our philosophy is always like,
[00:11:50.120 --> 00:11:51.280]   let's think ahead to the future.
[00:11:51.280 --> 00:11:55.960]   What models are gonna exist in one, two years or longer?
[00:11:55.960 --> 00:11:59.560]   And how can we make it so that they can actually be deployed
[00:11:59.560 --> 00:12:02.440]   in kind of transparent, controllable ways?
[00:12:02.440 --> 00:12:03.840]   - Yeah, I think motivationally,
[00:12:03.840 --> 00:12:06.040]   we both are kind of product people at heart
[00:12:06.040 --> 00:12:09.600]   and we just want to, the research was really important
[00:12:09.600 --> 00:12:12.640]   and it didn't make sense to build a product at that time.
[00:12:12.640 --> 00:12:13.480]   But at the end of the day,
[00:12:13.480 --> 00:12:16.600]   the thing that always motivated us is imagining a world
[00:12:16.600 --> 00:12:19.080]   where high quality reasoning is really abundant.
[00:12:19.600 --> 00:12:22.640]   And AI was just kind of the most,
[00:12:22.640 --> 00:12:24.880]   is the technology that's gonna get us there.
[00:12:24.880 --> 00:12:27.240]   And there's a way to guide that technology with research,
[00:12:27.240 --> 00:12:29.320]   but it's also really exciting to have,
[00:12:29.320 --> 00:12:31.880]   you can have a more direct effect through product
[00:12:31.880 --> 00:12:33.760]   because with research, you have kind of,
[00:12:33.760 --> 00:12:35.320]   you'd publish the research and someone else
[00:12:35.320 --> 00:12:36.760]   has to implement that into the product
[00:12:36.760 --> 00:12:39.120]   and the product felt like a more direct path.
[00:12:39.120 --> 00:12:42.360]   And we wanted to concretely have an impact on people's lives.
[00:12:42.360 --> 00:12:45.520]   So I think, yeah, I think the kind of personally,
[00:12:45.520 --> 00:12:48.320]   the motivation was we want to build for people.
[00:12:49.160 --> 00:12:52.600]   - Yep, and then just to recap as well,
[00:12:52.600 --> 00:12:55.000]   like the models you were using back then were like,
[00:12:55.000 --> 00:12:59.000]   I don't know, would they like BERT type stuff or T5
[00:12:59.000 --> 00:13:02.120]   or I don't know what timeframe we're talking about here.
[00:13:02.120 --> 00:13:04.400]   - So I guess to be clear, at the very beginning,
[00:13:04.400 --> 00:13:09.040]   we had humans do the work and then the initial,
[00:13:09.040 --> 00:13:11.280]   I think the first models that kind of make sense
[00:13:11.280 --> 00:13:16.280]   were TPT-2 and TNLG and like the early generative models.
[00:13:18.280 --> 00:13:22.420]   We do also use like T5 based models even now,
[00:13:22.420 --> 00:13:26.280]   but started with TPT-2.
[00:13:26.280 --> 00:13:27.920]   - Yeah, cool, I'm just kind of curious about like,
[00:13:27.920 --> 00:13:29.720]   how do you start so early, you know,
[00:13:29.720 --> 00:13:31.600]   like now it's obvious where to start,
[00:13:31.600 --> 00:13:33.240]   but back then it wasn't.
[00:13:33.240 --> 00:13:35.080]   - Yeah, I used to nag Andreas a lot.
[00:13:35.080 --> 00:13:37.120]   I was like, why are you talking to this?
[00:13:37.120 --> 00:13:38.720]   I don't know, I felt like TPT-2 is like,
[00:13:38.720 --> 00:13:39.840]   clearly can't do anything.
[00:13:39.840 --> 00:13:41.600]   And I was like, Andreas, you're wasting your time
[00:13:41.600 --> 00:13:43.520]   like playing with this toy.
[00:13:43.520 --> 00:13:44.780]   But yeah, he was right.
[00:13:46.600 --> 00:13:48.840]   - So what's the history of what Elizit
[00:13:48.840 --> 00:13:50.240]   actually does as a product?
[00:13:50.240 --> 00:13:52.960]   I think today, you recently announced that
[00:13:52.960 --> 00:13:55.080]   after four months, you get to a million in revenue.
[00:13:55.080 --> 00:13:57.040]   Obviously a lot of people use it, get a lot of value,
[00:13:57.040 --> 00:14:01.160]   but it would initially kind of like structure data,
[00:14:01.160 --> 00:14:03.000]   extraction from papers.
[00:14:03.000 --> 00:14:06.480]   Then you had, yeah, kind of like concept grouping.
[00:14:06.480 --> 00:14:08.760]   And today it's maybe like a more full stack
[00:14:08.760 --> 00:14:12.040]   research enabler, kind of like paper understander platform.
[00:14:12.040 --> 00:14:16.400]   What's the definitive definition of what Elizit is
[00:14:16.400 --> 00:14:17.520]   and how did you get here?
[00:14:17.520 --> 00:14:20.000]   - Yeah, we say Elizit is an AI research assistant.
[00:14:20.000 --> 00:14:21.600]   I think it will continue to evolve.
[00:14:21.600 --> 00:14:23.640]   It has evolved a lot and it will continue research.
[00:14:23.640 --> 00:14:26.080]   And that's part of why we're so excited
[00:14:26.080 --> 00:14:27.000]   about building and research,
[00:14:27.000 --> 00:14:28.800]   'cause there's just so much space.
[00:14:28.800 --> 00:14:30.980]   I think the current phase we're in right now,
[00:14:30.980 --> 00:14:34.000]   we talk about it as really trying to make Elizit
[00:14:34.000 --> 00:14:35.760]   the best place to understand what is known.
[00:14:35.760 --> 00:14:39.360]   So it's all a lot about like literature summarization.
[00:14:39.360 --> 00:14:41.540]   There's a ton of information that the world already knows.
[00:14:41.540 --> 00:14:44.840]   It's really hard to navigate, hard to make it relevant.
[00:14:44.840 --> 00:14:47.320]   So a lot of it is around document discovery
[00:14:47.320 --> 00:14:49.640]   and processing and analysis.
[00:14:49.640 --> 00:14:51.760]   I really want to make,
[00:14:51.760 --> 00:14:54.640]   I kind of want to import some of the incredible
[00:14:54.640 --> 00:14:57.920]   productivity improvements we've seen in software engineering
[00:14:57.920 --> 00:14:59.580]   and data science and into research.
[00:14:59.580 --> 00:15:01.760]   So it's like, how can we make researchers
[00:15:01.760 --> 00:15:04.080]   like data scientists of text?
[00:15:04.080 --> 00:15:06.920]   That's why we're launching this new set of features
[00:15:06.920 --> 00:15:07.760]   called Notebooks.
[00:15:07.760 --> 00:15:09.960]   It's very much inspired by computational notebooks
[00:15:09.960 --> 00:15:13.440]   like Jupyter Notebooks, DeepNode or Colab,
[00:15:13.440 --> 00:15:15.520]   because they're so powerful and so flexible.
[00:15:15.520 --> 00:15:19.200]   And ultimately when people are trying to get to an answer
[00:15:19.200 --> 00:15:20.120]   or understand insight,
[00:15:20.120 --> 00:15:22.900]   they're kind of like manipulating evidence and information.
[00:15:22.900 --> 00:15:26.320]   Today that's all packaged in PDFs, which are super brittle,
[00:15:26.320 --> 00:15:27.440]   but with language models,
[00:15:27.440 --> 00:15:30.440]   we can decompose these PDFs into their underlying claims
[00:15:30.440 --> 00:15:31.480]   and evidence and insights,
[00:15:31.480 --> 00:15:34.360]   and then let researchers mash them up together,
[00:15:34.360 --> 00:15:35.920]   remix them and analyze them together.
[00:15:35.920 --> 00:15:38.800]   So yeah, I would say quite simply,
[00:15:38.800 --> 00:15:40.780]   overall Elizit is an AI research assistant.
[00:15:40.780 --> 00:15:45.200]   Right now we're focused on text-based workflows,
[00:15:45.200 --> 00:15:48.120]   but long-term really want to kind of go further and further
[00:15:48.120 --> 00:15:50.480]   into reasoning and decision-making.
[00:15:50.480 --> 00:15:53.280]   - And when you say AI research assistant,
[00:15:53.280 --> 00:15:55.280]   this is kind of meta research.
[00:15:55.280 --> 00:15:58.940]   So researchers use Elizit as a research assistant.
[00:15:58.940 --> 00:16:02.880]   It's not a generic, you can research anything type of tool,
[00:16:02.880 --> 00:16:04.160]   or it could be, but like,
[00:16:04.160 --> 00:16:05.920]   what are people using it for today?
[00:16:05.920 --> 00:16:08.960]   - Yeah, so specifically, I guess in science,
[00:16:08.960 --> 00:16:12.260]   a lot of people use human research assistants to do things.
[00:16:12.260 --> 00:16:15.500]   Like you tell your kind of grad student,
[00:16:15.500 --> 00:16:16.780]   hey, here are a couple of papers.
[00:16:16.780 --> 00:16:18.540]   Can you look at all of these,
[00:16:18.540 --> 00:16:21.260]   see which of these have kind of sufficiently large
[00:16:21.260 --> 00:16:23.260]   populations and actually study the disease
[00:16:23.260 --> 00:16:24.420]   that I'm interested in,
[00:16:24.420 --> 00:16:26.840]   and then write out like, what are the experiments they did?
[00:16:26.840 --> 00:16:28.720]   What are the interventions they did?
[00:16:28.720 --> 00:16:29.620]   What are the outcomes?
[00:16:29.620 --> 00:16:31.460]   And kind of organize that for me.
[00:16:31.460 --> 00:16:34.580]   And the first phase of understanding what is known
