
[00:00:00.000 --> 00:00:19.920]   ZAPIER AGENT ZAPIER: Yeah, a brief introduction to ZAPIER Agents. I believe many of you know
[00:04:02.200 --> 00:04:05.520]   Did this run do what you expected? Give us the feedback now.
[00:04:05.520 --> 00:04:10.700]   And this small change actually gave us like a really nice bump in feedback submissions, surprisingly.
[00:04:10.700 --> 00:04:17.960]   So, thumbs up and thumbs down are a good benchmark, a good baseline, but try to find these critical moments in your user's journey
[00:04:17.960 --> 00:04:24.180]   where they'll be most likely to provide you that feedback, either because they're happy and satisfied or because they're angry and they want to tell you about it.
[00:04:24.180 --> 00:04:29.860]   Even if you work really hard for the feedback, explicit feedback is still really rare.
[00:04:29.860 --> 00:04:36.720]   And explicit feedback that's detailed and actionable is even harder, because people are just not that interested in providing feedback generally.
[00:04:36.720 --> 00:04:45.180]   So, you also want to mine user interaction for implicit feedback, and the good news is there's actually a lot of low hanging fruit possibilities here.
[00:04:45.180 --> 00:04:51.400]   Here's an example from our app. Users can test an agent before they turn it on to see if everything's going okay.
[00:04:51.400 --> 00:04:56.400]   So, if they do turn it on, that's actually really strong positive implicit feedback, right?
[00:04:56.400 --> 00:05:03.400]   Copying a model's response is also good implicit feedback. Even OpenAI is doing this for ChatGPT.
[00:05:03.400 --> 00:05:14.620]   And you can also look for implicit signals in the conversation. Here the user is clearly letting us know that they're not happy with the results.
[00:05:14.620 --> 00:05:21.620]   Here they're telling the agent to stop slacking around, which is clearly implicit negative feedback, I think.
[00:05:21.620 --> 00:05:27.840]   Sometimes the user sends a follow-up message that is mostly rehashing what they asked the previous time to see if the LLM interprets that phrasing better.
[00:05:27.840 --> 00:05:30.840]   That's also good implicit negative feedback.
[00:05:30.840 --> 00:05:33.840]   And there's also a surprising amount of cursing.
[00:05:33.840 --> 00:05:42.840]   Recently, we had a lot of successes while using an LLM to detect and group frustrations, and we have this weekly report that we post in our Slack.
[00:05:42.840 --> 00:05:48.220]   But it took us a lot of tinkering to make sure that the LLM understood what frustration means in the context of our products.
[00:05:48.220 --> 00:05:51.060]   So, I encourage you to try it out. But expect a lot of tinkering.
[00:05:51.060 --> 00:05:55.320]   You should also not forget to look at more traditional user metrics, right?
[00:05:55.320 --> 00:05:58.380]   There's a lot of stuff in there for you to mine implicit signals, too.
[00:05:58.380 --> 00:06:01.700]   So, find what metrics your business cares about and figure out how to track them.
[00:06:01.700 --> 00:06:04.180]   Then you can distill some signal from that data.
[00:06:04.180 --> 00:06:10.240]   You can look for customers, for example, that churned in the last seven days and go look at their last interactions with your product before they left.
[00:06:10.240 --> 00:06:23.720]   And you're likely to find some signal there. Okay. So, I have raw data. What now? I'll let the industry experts speak. Why isn't it starting? Oh.
[00:06:23.720 --> 00:06:41.200]   Yeah, or the beatings will continue until everyone looks at their data.
[00:06:41.200 --> 00:06:54.680]   Okay, but how actually are you going to do that? So, we believe that the first step is to either buy or build LLM Ops software. We do both.
[00:06:54.680 --> 00:07:04.680]   You're definitely going to need that to understand your agent runs, because one agent run is probably multiple LLM calls, multiple database interactions, tool calls, REST calls, whatever.
[00:07:04.680 --> 00:07:13.160]   Each one of them can be source of failure, and it's really important to piece together this whole story, understand this, you know, what caused this cascading failure.
[00:07:13.160 --> 00:07:27.600]   Yeah, I said we are doing both, because I believe by coding your own internal tooling is really, really easy right now with Cursor and Cloud Cod, and it's going to pay you massive dividends in the future for two reasons.
[00:07:27.600 --> 00:07:46.080]   First of all, it gives you an ability to understand your data in your own specific domain context. And the second of all, it also -- you should be also able to create a functionality to turn every single interacting case or every failure into an eval with the minimal amount of fraction.
[00:07:46.080 --> 00:07:52.320]   So, whenever you see something interesting, there should be like a one click to turn it into an eval. It should become your instinct.
[00:07:52.320 --> 00:08:12.800]   Once you understand what's going on on a singular run basis, you can start understanding things at scale. So, now we can do feedback aggregations, clustering, you can bucket your failure modes, you can bucket your interactions, and then you're going to start to see what kind of tools are failing the most, what kind of interactions are the most problematic.
[00:08:12.800 --> 00:08:24.480]   That's going to create. That's going to create for you like an automatic roadmap. So, you'll know where to apply your time and effort to improve your product the most. Doing anything else is going to be a sub-optimal strategy.
[00:08:24.480 --> 00:08:39.800]   Something that we are also experimenting with is using reasoning models to explain the failures. Turns out that if you give them the trace output input instructions and anything you can find, they are pretty good at finding the root cause of a failure.
[00:08:39.800 --> 00:08:51.480]   Even if they are not going to do that, they are probably going to explain you the whole run or just direct your attention into something that's really interesting and might help you find the root cause of the problem.
[00:08:51.480 --> 00:08:59.080]   Cool. So, now you have a good short list of failure modes you want to work on first. It's time to start building out your evals.
[00:08:59.080 --> 00:09:10.760]   And we realized over time that there are different types of evals, and the types of evals that we want to build can be placed into this hierarchy that resembles the testing pyramid, for those of you that know that.
[00:09:10.760 --> 00:09:21.760]   So, with unit tests like evals at the base, end-to-end evals or trajectory evals, how we like to call them in the middle, and the ultimate way of evaluating using A/B testing with stage rollouts at the top.
[00:09:21.760 --> 00:09:31.440]   So, let's talk a bit about those. Starting with unit test evals, we are just trying to predict the n+1 state from the current state, so these work great when you want to do simple assertions, right?
[00:09:31.440 --> 00:09:42.440]   For instance, you could check whether the next state is a specific tool call, or if the tool call parameters are correct, or if the answer contains a specific keyword, or if the agent determined that it was done, all that good stuff.
[00:09:42.440 --> 00:09:55.120]   So, if you're starting out, we recommend focusing on unit test evals first, because these are the easiest to add. It helps you build that muscle of looking at your data, spotting problems, creating evals that reproduce them, and then just focusing on fixing them, right?
[00:09:55.120 --> 00:10:04.560]   Beware, though, of turning every positive feedback into an eval. We found that unit test evals are best for hill-climbing specific failure modes that you spot in your data.
[00:10:04.560 --> 00:10:20.420]   So, now unit test evals are not perfect, and we realized that ourselves. We realized we had over-index on unit test evals when the new models were coming out that were objectively stronger models, but they were still performing worse in our internal benchmarks, which was weird.
[00:10:20.420 --> 00:10:27.320]   And because the majority of our evals were so fine-grained, this made it really hard to see the forest for the trees when benchmarking new models.
[00:10:27.320 --> 00:10:44.180]   There was always a lot of noise when we tried comparing runs. Like when you're looking at a single trace, it's easy to kind of go through the trace and understand what's happening, but when you need to kind of look at it from -- I don't know how to play it again, sorry -- when you want to look at it through an aggregation of many traces, then it starts getting difficult to understand what's happening.
[00:10:44.180 --> 00:10:47.180]   Why are so many of these passing and some of these are regressing?
[00:10:47.180 --> 00:11:08.180]   Yeah. So, we realized that maybe machine can help us. It turns out in that previous video when I was investigating one experiment inside Braintrust, there is a lot of looking at the screen trying to figure out what went wrong, and we were like, hey, maybe we can just give this old data to, once again, a reasoning LLM and compare the models for us.
[00:11:08.180 --> 00:11:19.180]   It turns out that with Braintrust MCP and reasoning model, you can just ask it to, hey, look at this run, look at this run, and tell me what's actually different about the new model that we are going to deploy.
[00:11:19.180 --> 00:11:32.180]   In this case, it was Gemini Pro versus Cloud, and what the reasoning model found was actually really, really good. It found that Cloud is like a decisive executor, whereas Gemini is really yapping a lot. It's asking follow-up questions.
[00:11:32.180 --> 00:11:50.180]   You need some positive affirmations, and it's sometimes even hallucinating about JSON structures. So, yeah, it helped us a lot. It also surfaces a problem with unit test evals a lot, which is different models have different ways of trying to achieve the same goal.
[00:11:50.180 --> 00:12:03.180]   And unit test evals. And unit test evals are penalizing different paths. They are hard-coded to only follow one path. And, yeah, our unit test evals were overfitting to our existing models. They are actually data collecting using that model.
[00:12:03.180 --> 00:12:26.180]   So, what we started experimenting with is trajectory evals. Instead of grading just one iteration of an agent, we let the agent run to the end state. And we are not grading just the end state, but we are also grading all the tool calls that were made along the way and all the artifacts that have been generated along the way.
[00:12:26.180 --> 00:12:51.180]   And this can be also paired with LLM as a judge. Vitor is going to speak about it later. Yeah, but they are not free. I think they have really high return on investment, but they are much harder to set up, especially if you are evaluating runs that have tools that cause side effects, right? When you are running an eval, you definitely don't want to send an email on behalf of the customer once again, right?
[00:12:51.180 --> 00:13:04.180]   So, we had a fundamental question whether we should mock environment or not. And we decided that we are not going to mock the environment because otherwise you are going to get data that is just not reflecting the reality.
[00:13:04.180 --> 00:13:20.180]   So, what we started doing is just mirroring users' environment and crafting a synthetic copy of that. Also, they are much slower, right? So, they can sometimes take up to an hour. So, it's not pretty great.
[00:13:20.180 --> 00:13:35.180]   And we are also learning a bit more into LLM as a judge. This is when you use an LLM to grade or compare results from your evals. And it's tempting to lean into them for everything, but you need to make sure that the judge is judging things correctly, which can be surprisingly hard.
[00:13:35.180 --> 00:13:42.180]   And you also have to be careful not to introduce subtle biases, right? Because even small things that you might overlook might end up influencing it.
[00:13:42.180 --> 00:13:57.180]   Lately, we have also been experimenting with this concept of rubrics-based scoring. We use an LLM to judge the run. But each row in our dataset has a different set of rubrics that were handcrafted by a human and described in natural language.
[00:13:57.180 --> 00:14:10.180]   So, what specifically about this run should the LLM be paying attention to for the score? So, one example of this: Did the agent react to an unexpected error from the calendar API and then try it again?
[00:14:10.180 --> 00:14:22.180]   So, to sum it up, here's our current mental model of the types of evals that we build for separate agents. We use LLM as a judge or rubrics-based evals to build a high-level overview of your system's capabilities. And these are great for benchmarking new models.
[00:14:22.180 --> 00:14:34.180]   We use trajectory evals to capture multi-term criteria. And we use unit tests like evals to debug specific failures. He'll climb them. But beware of overfitting with these.
[00:14:34.180 --> 00:14:49.180]   Yeah. And a couple of closing thoughts. Don't obsess over metrics. Remember that when a good metrics become a target, it ceases to be a good target. So, when you're close to achieving 100% score on your eval dataset, it's not meaning that you're doing a good job.
[00:14:49.180 --> 00:15:04.180]   Actually meaning that your dataset is just not interesting, right? Because we don't have AGI yet. So, it's probably not true that your model is that good. Something that we're experimenting with lately is dividing dataset into two pools.
[00:15:04.180 --> 00:15:16.180]   Into the regressions dataset to make sure that we are making any changes. We are not breaking existing use cases for the customers. And also the aspirational dataset of things that are extremely hard. For instance, like nailing
[00:15:16.180 --> 00:15:31.180]   you've got 200 tool calls in a row. And lastly, let's take a step back. What's the point of creating evals in the first place? Your goal isn't to maximize some imaginary number in a lab-like setting.
[00:15:31.180 --> 00:15:43.180]   Your end goal is user satisfaction. So, the ultimate judge are your users. You shouldn't be optimizing for the biggest scores for the evals and completely disregard the vibes. So, that's why you think the ultimate verification method is an A/B test.
[00:15:43.180 --> 00:16:06.180]   Just take a small proportion of your traffic, let's say 5%, and route it to the new model, route it to the new prompt, monitor the feedback, check your metrics, like activation, user retention, and so on. Based on that, probably you can make the most educated guess instead of being in the lab and optimizing this imaginary number. That's all. Thank you.
[00:16:06.180 --> 00:16:07.180]   So, that's all. Thank you.
[00:16:07.180 --> 00:16:07.180]   Thank you.
[00:16:07.180 --> 00:16:08.180]   Thank you.
[00:16:08.180 --> 00:16:08.180]   Thank you.
[00:16:08.180 --> 00:16:08.180]   Thank you.
[00:16:08.180 --> 00:16:08.180]   Thank you.
[00:16:08.180 --> 00:16:08.180]   Thank you.
[00:16:08.180 --> 00:16:09.180]   Thank you.
[00:16:09.180 --> 00:16:10.180]   Thank you.
[00:16:10.180 --> 00:16:14.460]   I'll see you next time.

