
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:07:26.340 --> 00:07:31.340]   and get just kind of reset button with just recognizing
[00:07:31.340 --> 00:07:35.620]   God is with us, he's got something great planned
[00:07:35.620 --> 00:07:38.340]   and being open, what is it?
[00:07:38.340 --> 00:07:41.620]   And just trying to kind of incorporate some things
[00:07:41.620 --> 00:07:44.900]   that we were hoping to do, didn't get to
[00:07:44.900 --> 00:07:47.980]   or just some new adventures that come up.
[00:07:47.980 --> 00:07:50.140]   So those were the kind of things that we did.
[00:07:50.140 --> 00:07:51.620]   - Yeah, I love that.
[00:07:51.620 --> 00:07:56.620]   I love that you are encouraging us all to be real,
[00:07:56.620 --> 00:08:02.180]   to recognize that we all take stock
[00:08:02.180 --> 00:08:07.260]   and tend to major on what went wrong
[00:08:07.260 --> 00:08:10.960]   or what we didn't finish or what we're disappointed in.
[00:08:10.960 --> 00:08:13.620]   And that our children sometimes do that too.
[00:08:13.620 --> 00:08:17.220]   And they look back and think, oh, I left that undone
[00:08:17.220 --> 00:08:18.800]   or I could have done a better job.
[00:08:18.800 --> 00:08:22.660]   And now there's a whole new semester that has,
[00:08:22.660 --> 00:08:25.160]   wow, some really daunting things ahead of it.
[00:08:25.160 --> 00:08:27.420]   This is gonna be hard or I'm not,
[00:08:27.420 --> 00:08:30.460]   I feel unsettled or uncertain about this.
[00:08:30.460 --> 00:08:32.860]   And just looking at one another
[00:08:32.860 --> 00:08:36.420]   and recognizing that there's some anxiety,
[00:08:36.420 --> 00:08:40.020]   whether that's because of seasonal affective disorder.
[00:08:40.020 --> 00:08:45.020]   I had one daughter who was very affected by long dark days
[00:08:45.020 --> 00:08:49.540]   and that dreariness of the weather seemed to work its way
[00:08:49.540 --> 00:08:52.540]   into her mindset and into her perspective.
[00:08:52.540 --> 00:08:56.540]   And it really does affect our willingness to do hard things
[00:08:56.540 --> 00:08:58.600]   and her willingness to work.
[00:08:58.600 --> 00:09:02.180]   And so I really appreciate you being upfront and real
[00:09:02.180 --> 00:09:06.180]   and saying, look, mamas, look around at your house,
[00:09:06.180 --> 00:09:09.460]   look around at your children, look into your own heart
[00:09:09.460 --> 00:09:13.100]   and realize that you might need to do something different
[00:09:13.100 --> 00:09:14.580]   to shake things up.
[00:09:14.580 --> 00:09:20.580]   And I love your suggestion that you ask your students,
[00:09:20.580 --> 00:09:25.760]   especially your older students, what are you missing?
[00:09:25.760 --> 00:09:29.580]   What is something that you've always wanted to learn
[00:09:29.580 --> 00:09:32.660]   or you feel like you're missing out on
[00:09:32.660 --> 00:09:35.300]   because I really liked that.
[00:09:35.300 --> 00:09:37.540]   And we're gonna explore that in a few minutes
[00:09:37.540 --> 00:09:40.180]   because sometimes what we come to this podcast for
[00:09:40.180 --> 00:09:42.260]   is concrete, practical ideas.
[00:09:42.260 --> 00:09:45.100]   And so we're listeners, we're not gonna leave you
[00:09:45.100 --> 00:09:47.900]   just feeling better about feeling bad.
[00:09:47.900 --> 00:09:52.100]   We're gonna actually give you some good ideas
[00:09:52.100 --> 00:09:55.020]   about how to jazz up your January.
[00:09:55.020 --> 00:09:57.960]   Let me ask you, we talked about some of the signs
[00:09:57.960 --> 00:10:00.620]   that you might need a January term,
[00:10:00.620 --> 00:10:04.280]   that you're just not maybe as motivated as a mom or dad
[00:10:04.280 --> 00:10:06.400]   or your students aren't motivated
[00:10:06.400 --> 00:10:11.400]   or you're seeing the downside of everything
[00:10:11.400 --> 00:10:14.200]   or you're just, you're tired.
[00:10:14.200 --> 00:10:19.200]   I think it's really smart to acknowledge that the holidays,
[00:10:19.200 --> 00:10:24.900]   while they may be holly and jolly, drain us.
[00:10:24.900 --> 00:10:26.920]   They drain us a lot of times.
[00:10:26.920 --> 00:10:32.600]   I feel like sometimes we need a little space in January
[00:10:32.600 --> 00:10:36.020]   just to get back to equilibrium.
[00:10:36.020 --> 00:10:37.840]   - Yeah, that's a really good point.
[00:10:37.840 --> 00:10:38.680]   I think we do.
[00:10:38.680 --> 00:10:43.300]   I think I remember a conversation,
[00:10:43.300 --> 00:10:48.300]   I think James Dobson did a long, long time ago, of course.
[00:10:48.300 --> 00:10:53.840]   And he said, one of the primary quote, task, jobs,
[00:10:53.840 --> 00:10:59.260]   responsibilities of a mom at home is to manage the holidays.
[00:10:59.260 --> 00:11:03.120]   So that should be one of your,
[00:11:03.120 --> 00:11:05.960]   that's one of your key responsibilities.
[00:11:05.960 --> 00:11:08.960]   And it does, frequently doesn't get recognized.
[00:11:08.960 --> 00:11:12.440]   And because it's Christmas and everybody's happy.
[00:11:12.440 --> 00:11:17.440]   But a lot of times the mom is doing the scheduling,
[00:11:17.440 --> 00:11:20.040]   the cooking, the arrangement.
[00:11:20.040 --> 00:11:24.300]   And I think post that holiday season,
[00:11:24.300 --> 00:11:27.040]   even moms need a little tender loving care
[00:11:27.040 --> 00:11:31.000]   to recognize, hey, we just came off a holiday
[00:11:31.000 --> 00:11:34.320]   that could have gone well, we've had them go well.
[00:11:34.320 --> 00:11:38.040]   And just to give yourself a little space,
[00:11:38.040 --> 00:11:43.040]   but also think, I just keep thinking of renewing my strength
[00:11:43.040 --> 00:11:49.600]   and just saying, Lord, give me the new strength,
[00:11:49.600 --> 00:11:54.080]   new excitement, joy, because that is,
[00:11:54.080 --> 00:11:56.360]   as the doldrums come in, you can,
[00:11:56.360 --> 00:12:00.060]   you counter that with your own joy and thankfulness.
[00:12:00.060 --> 00:12:03.680]   And I don't think we need to be happy, happy, happy,
[00:12:03.680 --> 00:12:08.680]   pretend, but sometimes I would kind of allow myself
[00:12:08.680 --> 00:12:14.040]   to get a little blue when I thought,
[00:12:14.040 --> 00:12:18.260]   you know, a good cup of hot cocoa will go a long way.
[00:12:18.260 --> 00:12:22.080]   And I think those simple little things
[00:12:22.080 --> 00:12:26.780]   that we can add to a day, just change it up a little bit,
[00:12:26.780 --> 00:12:31.760]   gives people a sense of a little brightness.
[00:12:33.160 --> 00:12:36.720]   And I think we as moms have the privilege actually
[00:12:36.720 --> 00:12:40.440]   of bringing that into our home, that there's a lot of hope
[00:12:40.440 --> 00:12:42.480]   and there's a lot of joy to look forward to.
[00:12:42.480 --> 00:12:44.880]   So yeah, you're right, you're right about that.
[00:12:44.880 --> 00:12:49.080]   - Yeah, yeah, I can close my eyes and see listeners
[00:12:49.080 --> 00:12:50.740]   out there waving their hands.
[00:12:50.740 --> 00:12:53.440]   Yes, that's me, that's where I am.
[00:12:53.440 --> 00:12:57.420]   Those are the signs that I need a January term.
[00:12:57.420 --> 00:13:00.240]   I need something to jazz up January.
[00:13:00.240 --> 00:13:01.200]   So let me ask you this.
[00:13:01.200 --> 00:13:05.040]   What could, 'cause I told you what J term was like
[00:13:05.040 --> 00:13:07.760]   for my college, it was like four to six weeks
[00:13:07.760 --> 00:13:12.660]   of you signed up, it was a class, you did go,
[00:13:12.660 --> 00:13:17.360]   but it was stuff you probably would not have signed up for
[00:13:17.360 --> 00:13:21.120]   otherwise, it didn't necessarily fit in your major
[00:13:21.120 --> 00:13:24.840]   or anybody else's major maybe, but it was something
[00:13:24.840 --> 00:13:26.760]   that would pique your interest.
[00:13:26.760 --> 00:13:31.760]   What might a January term look like for homeschoolers?
[00:13:31.760 --> 00:13:37.040]   And maybe you don't agree, I think that this early part
[00:13:37.040 --> 00:13:41.640]   of January is the perfect time to try a J term.
[00:13:41.640 --> 00:13:44.640]   What could it look like for homeschoolers, Amy?
[00:13:44.640 --> 00:13:47.360]   - Oh, you know, I think it's really great
[00:13:47.360 --> 00:13:49.040]   to give yourself permission.
[00:13:49.040 --> 00:13:51.680]   I think Lee even alluded to this.
[00:13:51.680 --> 00:13:55.280]   You aren't governed by the curriculum.
[00:13:55.280 --> 00:13:58.340]   You are the, you are the governor.
[00:13:58.340 --> 00:14:05.000]   So I think it is really great to give yourself permission
[00:14:05.000 --> 00:14:07.680]   to say, okay, over the next two weeks before,
[00:14:07.680 --> 00:14:11.380]   you know, challenge starts up or nation starts up,
[00:14:11.380 --> 00:14:14.320]   we are gonna really do some fun things.
[00:14:14.320 --> 00:14:19.320]   And this is, you've probably been maybe listening around
[00:14:19.320 --> 00:14:23.920]   or asking your students, hey, what are some things
[00:14:23.920 --> 00:14:25.480]   that you guys would like to do?
[00:14:25.480 --> 00:14:27.520]   And just sort of plunge in.
[00:14:27.520 --> 00:14:32.520]   I know for us, there were little hobbies
[00:14:32.520 --> 00:14:34.760]   that the kids really wanted to do,
[00:14:34.760 --> 00:14:36.800]   but we quote, never had time to do.
[00:14:36.800 --> 00:14:40.280]   So we did a little, I know my daughter
[00:14:40.280 --> 00:14:42.320]   wanted to make doll clothes.
[00:14:42.320 --> 00:14:45.880]   You know, she was in the American doll phase of her life.
[00:14:45.880 --> 00:14:49.400]   And so I just called some moms and said, hey,
[00:14:49.400 --> 00:14:52.840]   you have a girl, you know, this age, come over,
[00:14:52.840 --> 00:14:54.520]   we're gonna have a couple of sewing days.
[00:14:54.520 --> 00:14:55.880]   You're gonna make a pillow case.
[00:14:55.880 --> 00:14:57.420]   I mean, I can make a pillow case.
[00:14:57.420 --> 00:14:58.660]   (laughing)
[00:14:58.660 --> 00:15:01.760]   - Yes, yes. - I can make a pillow case.
[00:15:01.760 --> 00:15:06.680]   And we just gathered, you know, materials
[00:15:06.680 --> 00:15:10.520]   and just had like a three day.
[00:15:10.520 --> 00:15:12.060]   It doesn't have to be weeks and weeks.
[00:15:12.060 --> 00:15:14.800]   You know, you can see Friday, we're gonna get together
[00:15:14.800 --> 00:15:17.800]   and we're gonna show off what we're gonna make.
[00:15:17.800 --> 00:15:19.600]   You know, we're gonna buy some fabric in.
[00:15:19.600 --> 00:15:24.600]   And I honestly was not the primary source of this.
[00:15:24.600 --> 00:15:27.520]   I tapped my good friend who is a seamstress and said,
[00:15:27.520 --> 00:15:29.700]   hey, would you mind moving it?
[00:15:29.700 --> 00:15:31.120]   I'll get the materials of you.
[00:15:31.120 --> 00:15:32.760]   And she's like, I'd love to do that.
[00:15:32.760 --> 00:15:37.720]   And one year I, some homeschool moms
[00:15:37.720 --> 00:15:41.420]   that were particularly good at like one made pies.
[00:15:41.420 --> 00:15:45.320]   I said, hey, can we come over to show us how to make a pie?
[00:15:45.320 --> 00:15:47.760]   I'm not a good pie crust maker, you are.
[00:15:47.760 --> 00:15:51.000]   And they're like, yes, one person loved making chicken
[00:15:51.000 --> 00:15:51.840]   and dumplings.
[00:15:51.840 --> 00:15:55.360]   I said, hey, would you mind us coming over
[00:15:55.360 --> 00:15:57.780]   and we'll all bring some chicken or whatever you need
[00:15:57.780 --> 00:16:00.120]   and help us make dumplings.
[00:16:00.120 --> 00:16:04.120]   And you know, that's the kind of thing is to grab the,
[00:16:04.120 --> 00:16:06.900]   it's kind of recognized on what's in your very community.
[00:16:06.900 --> 00:16:09.520]   You know, if you have someone that can, you know,
[00:16:09.520 --> 00:16:11.600]   cut flowers or I don't know,
[00:16:11.600 --> 00:16:15.040]   know how to clean a silver platter, whatever it is,
[00:16:15.040 --> 00:16:18.760]   it can be random, but just gathering people together
[00:16:18.760 --> 00:16:23.520]   and going, hey, let's spend like this next week or two
[00:16:23.520 --> 00:16:27.240]   and just tapping into each other's giftedness in it.
[00:16:27.240 --> 00:16:31.940]   And one of the dads, he wanted his sons
[00:16:31.940 --> 00:16:33.640]   to know how to change the oil in the car.
[00:16:33.640 --> 00:16:37.200]   So I said, hey, would you mind our sons,
[00:16:37.200 --> 00:16:40.880]   if I gathered the sons together or our daughters
[00:16:40.880 --> 00:16:42.720]   to know how to serve the car?
[00:16:42.720 --> 00:16:44.080]   And he goes, I'd love that.
[00:16:44.080 --> 00:16:46.200]   So he parked a bunch of you, we got some,
[00:16:46.200 --> 00:16:49.440]   he was even instrumental in grabbing some widow's cars
[00:16:49.440 --> 00:16:50.960]   from our, we live in.
[00:16:50.960 --> 00:16:52.880]   - Oh, what a great idea.
[00:16:52.880 --> 00:16:55.040]   - Signing them up and just going through
[00:16:55.040 --> 00:16:57.400]   and showing everybody, this is how you do it.
[00:16:57.400 --> 00:17:00.880]   And it was January, super cold, but they didn't care.
[00:17:00.880 --> 00:17:03.120]   They love being together, being outside
[00:17:03.120 --> 00:17:05.740]   and the dad was just super good at that.
[00:17:05.740 --> 00:17:09.960]   So I think just giving yourself a lot of freedom
[00:17:09.960 --> 00:17:14.120]   to look at the non quote, non-academic world.
[00:17:14.120 --> 00:17:16.680]   I mean, we can do a lot of academic stuff too.
[00:17:16.680 --> 00:17:19.800]   That's really fun, geography, deep dive into things
[00:17:19.800 --> 00:17:21.380]   that you've wanted to tackle.
[00:17:21.380 --> 00:17:24.800]   But I think sometimes thinking a little outside the box
[00:17:24.800 --> 00:17:27.300]   and giving yourself permission to say,
[00:17:27.300 --> 00:17:29.520]   this doesn't look like school.
[00:17:29.520 --> 00:17:32.540]   - Yeah, the tradition.
[00:17:32.540 --> 00:17:36.800]   - Well, but the Lord, he's shaping all of us.
[00:17:36.800 --> 00:17:38.840]   And part of it is building community
[00:17:38.840 --> 00:17:42.880]   and then recognizing each other's gifts.
[00:17:42.880 --> 00:17:46.140]   So those are one part, but then there's the other part
[00:17:46.140 --> 00:17:48.200]   of saying, hey, we wanna,
[00:17:48.200 --> 00:17:50.160]   like if you have an essentials child,
[00:17:50.160 --> 00:17:53.160]   let's, we've been doing history and American history,
[00:17:53.160 --> 00:17:58.160]   especially in cycle three this year, let's pick a person,
[00:17:58.160 --> 00:18:03.440]   let's pick an event and grab some books and dress up,
[00:18:03.440 --> 00:18:08.280]   do some kind of write up a drama.
[00:18:08.280 --> 00:18:11.800]   The other day, my daughter being homebound,
[00:18:11.800 --> 00:18:16.160]   they wrote a ballad, how fun is that?
[00:18:16.160 --> 00:18:19.800]   Dang it, and performed it all looking goofy and dressed up.
[00:18:19.800 --> 00:18:23.600]   But it's that sort of thing like, okay, what do we,
[00:18:23.600 --> 00:18:25.180]   like, is there a piece of literature?
[00:18:25.180 --> 00:18:29.200]   Like maybe we haven't done poetry, maybe we're all tales.
[00:18:29.200 --> 00:18:33.080]   Maybe we wanna dive into a region
[00:18:33.080 --> 00:18:36.080]   like we did a Japanese culture day
[00:18:36.080 --> 00:18:40.600]   where we had a tea party and all the children,
[00:18:40.600 --> 00:18:43.240]   including the guys, which weren't thrilled at it,
[00:18:43.240 --> 00:18:46.880]   but dressed up, we ate squid,
[00:18:46.880 --> 00:18:51.880]   which I don't know if they, that's very Asian day.
[00:18:51.880 --> 00:18:55.640]   And it was so much fun because people brought,
[00:18:55.640 --> 00:18:57.520]   they each had to bring a fact
[00:18:57.520 --> 00:19:00.960]   or a artifact they'd created or part
[00:19:00.960 --> 00:19:04.360]   and just have like a sharing time of what we learned
[00:19:04.360 --> 00:19:07.040]   and really, and then we prayed for someone
[00:19:07.040 --> 00:19:10.120]   had been a missionary to Japan and we prayed for Japan.
[00:19:10.120 --> 00:19:14.880]   And I thought, well, that was a really fun day
[00:19:14.880 --> 00:19:17.440]   of just focusing in on something
[00:19:17.440 --> 00:19:20.720]   and like those timeline cards are great for that.
[00:19:20.720 --> 00:19:24.760]   - Yes, deep dive history is super fun.
[00:19:24.760 --> 00:19:28.000]   Because a lot of times, I know with my kids,
[00:19:28.000 --> 00:19:31.040]   during the semester, you're going through the work
[00:19:31.040 --> 00:19:32.600]   and you're touching on these things
[00:19:32.600 --> 00:19:36.000]   and my kids would a lot of times ask a question
[00:19:36.000 --> 00:19:39.760]   that I would think that probably has,
[00:19:39.760 --> 00:19:41.160]   that's an interesting tentacle
[00:19:41.160 --> 00:19:42.680]   and we could chase that a long way,
[00:19:42.680 --> 00:19:46.400]   but we also need to do X, Y, and Z today.
[00:19:46.400 --> 00:19:50.120]   So maybe we're not, go back and find those things
[00:19:50.120 --> 00:19:53.160]   that your kids or you wondered about.
[00:19:53.160 --> 00:19:57.520]   It is so nice to have the freedom to chase a rabbit
[00:19:57.520 --> 00:19:59.280]   as far as he'll run.
[00:20:00.560 --> 00:20:03.280]   I just think that I loved what you said about,
[00:20:03.280 --> 00:20:06.640]   so you've been studying, so your challenge A student
[00:20:06.640 --> 00:20:08.880]   is getting ready to study a certain region
[00:20:08.880 --> 00:20:13.640]   or draw in their cartography a certain area of the world.
[00:20:13.640 --> 00:20:16.400]   Pick a country from that area
[00:20:16.400 --> 00:20:19.640]   and then do things you never would have taken time to do,
[00:20:19.640 --> 00:20:24.640]   like sew a costume or find out about the music
[00:20:24.640 --> 00:20:26.040]   from that country.
[00:20:26.040 --> 00:20:28.560]   Like what's that country's national anthem sound like?
[00:20:28.560 --> 00:20:30.800]   What instruments do they use?
[00:20:30.800 --> 00:20:35.120]   Could you find some or make some and play it?
[00:20:35.120 --> 00:20:38.760]   It's just so, there's so many directions to go
[00:20:38.760 --> 00:20:42.000]   and I think when our children are little,
[00:20:42.000 --> 00:20:45.360]   they are interested in so many things
[00:20:45.360 --> 00:20:50.360]   and they can riff off the main tune so easily,
[00:20:50.360 --> 00:20:54.600]   they can find all of those side harmonies that go with that.
[00:20:54.600 --> 00:20:57.920]   And I think that sometimes in our effort
[00:20:57.920 --> 00:21:00.480]   to help our children do hard things,
[00:21:00.480 --> 00:21:04.440]   we stifle the opportunity to chase
[00:21:04.440 --> 00:21:06.960]   all of the daily delights.
[00:21:06.960 --> 00:21:10.040]   And so a January term is perfect
[00:21:10.040 --> 00:21:12.800]   for getting back to those daily delights.
[00:21:12.800 --> 00:21:15.080]   Let me ask you this though.
[00:21:15.080 --> 00:21:20.080]   What about, 'cause I hear what people's concerns might be,
[00:21:20.080 --> 00:21:22.080]   what about the challenge kids?
[00:21:22.080 --> 00:21:24.880]   All right, isn't it hard to take a break
[00:21:24.880 --> 00:21:28.480]   from the regular course guide for those older kids?
[00:21:28.480 --> 00:21:31.440]   I know it is, I've had that situation.
[00:21:31.440 --> 00:21:34.400]   So how do we include our challenge kids?
[00:21:34.400 --> 00:21:36.320]   Amy, what would you say?
[00:21:36.320 --> 00:21:39.120]   Oh, I think again, one of the things
[00:21:39.120 --> 00:21:43.080]   is just helping them, like talking to them.
[00:21:43.080 --> 00:21:47.600]   For my children, especially when they were at that age
[00:21:47.600 --> 00:21:50.920]   of early middle school, high school,
[00:21:50.920 --> 00:21:53.520]   they loved being with friends.
[00:21:53.520 --> 00:21:57.480]   And I had little ones as well as high schoolers.
[00:21:57.480 --> 00:21:59.480]   And sometimes high schoolers,
[00:21:59.480 --> 00:22:01.960]   especially you have smaller children in the house,
[00:22:01.960 --> 00:22:05.240]   they get a little weary with the three year old
