
[00:00:00.040 --> 00:00:09.480]   ち
[00:01:33.280 --> 00:01:34.280]   They didn't ask for a search warrant. They just grabbed it.
[00:01:34.280 --> 00:01:34.320]   warrant. They just grabbed it.
[00:01:34.320 --> 00:01:36.280]   warrant. They just grabbed it. Their sordid haul, which included a
[00:01:36.280 --> 00:01:36.320]   They just grabbed it. Their sordid haul, which included a
[00:01:36.320 --> 00:01:38.320]   They just grabbed it. Their sordid haul, which included a bloody tampon, became the basis
[00:01:38.320 --> 00:01:38.360]   Their sordid haul, which included a bloody tampon, became the basis
[00:01:38.360 --> 00:01:41.280]   Their sordid haul, which included a bloody tampon, became the basis for drug charges against her.
[00:01:41.280 --> 00:01:41.320]   bloody tampon, became the basis for drug charges against her.
[00:01:41.320 --> 00:01:42.980]   bloody tampon, became the basis for drug charges against her. The news left a lot of
[00:01:43.020 --> 00:01:58.780]   for drug charges against her. The news left a lot of
[00:01:58.780 --> 00:02:00.020]   for drug charges against her. The news left a lot of people scratching their heads.
[00:02:00.020 --> 00:02:00.100]   The news left a lot of people scratching their heads.
[00:02:00.100 --> 00:02:01.100]   The news left a lot of people scratching their heads. Aren't there rules about this
[00:02:01.100 --> 00:02:01.140]   people scratching their heads. Aren't there rules about this
[00:02:01.140 --> 00:02:02.140]   people scratching their heads. Aren't there rules about this sort of thing?
[00:02:02.140 --> 00:02:02.180]   Aren't there rules about this sort of thing?
[00:02:02.180 --> 00:02:03.140]   sort of thing? Aren't citizens protected from
[00:02:03.140 --> 00:02:03.180]   aren't citizens protected from
[00:02:03.180 --> 00:02:05.140]   aren't citizens protected from unreasonable search and seizure by
[00:02:05.140 --> 00:02:05.180]   unreasonable search and seizure by
[00:02:05.180 --> 00:02:07.180]   unreasonable search and seizure by the Fourth Amendment?
[00:02:07.180 --> 00:02:07.220]   seizure by the Fourth Amendment?
[00:02:07.220 --> 00:02:09.180]   seizure by the Fourth Amendment? The Multnomah County District
[00:02:09.180 --> 00:02:09.180]   The Multnomah County District Attorney's Office
[00:02:09.180 --> 00:02:09.180]   The Multnomah County District Attorney's Office doesn't think so.
[00:02:09.180 --> 00:02:09.180]   The Multnomah County's District's Office doesn't think so
[00:02:09.200 --> 00:02:12.260]   There was every indication she had relinquished her privacy, possessory interest.
[00:02:12.260 --> 00:02:13.300]   There was every indication she had relinquished her privacy, possessory interest.
[00:02:13.300 --> 00:02:13.380]   There was every indication she had relinquished her privacy, possessory interest.
[00:02:13.380 --> 00:02:18.420]   There was every indication she had relinquished her privacy, possessory interest.
[00:02:18.420 --> 00:02:18.420]   Police Chief Mark Croker echoed this reasoning:
[00:02:18.420 --> 00:02:18.500]   Police Chief Mark Croker echoed this reasoning:
[00:02:18.500 --> 00:02:19.300]   Police Chief Mark Croker echoed this reasoning: "Most judges have the opinion that, once trash is put out, it's trash, and abandon in terms of privacy," he told Willamette Week.
[00:02:19.300 --> 00:02:19.460]   "Most judges have the opinion that, once trash is put out, it's trash, and abandon in terms of privacy," he told Willamette Week.
[00:02:19.460 --> 00:02:29.540]   "Most judges have the opinion that, once trash is put out, it's trash, and abandon in terms of privacy," he told Willamette Week.
[00:02:29.540 --> 00:02:51.660]  ,
[00:02:51.660 --> 00:02:54.700]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:54.700 --> 00:02:54.700]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:54.700 --> 00:02:54.700]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:54.700 --> 00:02:55.660]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:55.660 --> 00:02:55.660]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:55.660 --> 00:02:55.660]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:55.660 --> 00:02:55.660]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:55.660 --> 00:02:55.740]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:55.740 --> 00:02:55.820]   "Police must obtain a search warrant before they swipe someone's trash."
[00:02:55.820 --> 00:02:55.820]   "Police must obtain a search warrant before they swipe someone's trash before they swipe someone's trash."
[00:02:55.860 --> 00:02:57.820]   less
[00:02:57.820 --> 00:03:07.340]   Park And
[00:03:51.980 --> 00:03:51.980]   It
[00:03:51.980 --> 00:03:51.980]   It
[00:03:51.980 --> 00:03:51.980]   It
[00:03:51.980 --> 00:03:51.980]   It
[00:03:51.980 --> 00:03:51.980]   It
[00:03:51.980 --> 00:03:51.980]   It
[00:03:51.980 --> 00:03:51.980]   It
[00:03:51.980 --> 00:03:51.980]   It
[00:03:51.980 --> 00:03:51.980]   It is.
[00:04:20.060 --> 00:04:20.060]   It is. and to highlight the government's ongoing erosion of people's privacy. In the wake of 9/11, the US government has granted itself far-reaching new powers to spy on you, from email to bank statements to video cameras. After much debate, we resolved to turn the tables on three of our esteemed public officials. We embarked on an unauthorized sightseeing tour of their garbage, to make a point about how invasive a "garbage pool" really is, and to highlight the government's ongoing erosion of people's privacy.
[00:04:48.140 --> 00:04:48.140]   We chose district attorney Mike Schronk because his office is the most vocal defender of the proposition that your garbage is up for grabs. We chose police chief Mark Croker because he runs the bureau. And we chose Mayor Vera Katz because, as police commissioner, she gives the chief his marching orders. Each in his or her own way has endorsed the notion that you abandon your privacy when you set your trash out on the curb. So we figured, "Let's do it."
[00:04:48.180 --> 00:04:58.400]   stomach
[00:04:58.400 --> 00:04:59.300]   in theав
[00:04:59.300 --> 00:05:02.400]   bois
[00:06:04.740 --> 00:06:13.580]   li
[00:06:13.580 --> 00:06:34.300]   ac and ent
[00:08:32.700 --> 00:08:32.940]   and ent ent ent ent ent ent ent ent ent ent ent ent ent ent ent ent ent
[00:08:32.940 --> 00:08:33.120]   and the mayor are squeaky clean, poop scooping folks whose private lives are beyond reproach. They emerge from this escapade smelling like, well, coffee grounds. But if three moral, upstanding, public-spirited citizens were each chewing their nails about the secrets we might have stumbled on, how the hell should the rest of us be feeling? Decked out in watch caps and rubber gloves, we are kneeling in a freezing garage and cradling our first major discovery, a five-pounder,
[00:09:01.240 --> 00:09:03.140]   We set it down next to the rest of our hall from district attorney Mike Schronk's trash, the remains of Thanksgiving turkey, the mounting stack of his granddaughter's diapers, the bag of dryer lint, the tub of skippy peanut butter, and the shredded bag of peanut M&Ms. There is something about poking through someone else's garbage that makes you feel dirty, and it's not just the stench and the slides. Scrap by scrap, we are reverse-engineering a grimy portrait of another human being, reconstituting an identity from his digital world.
[00:09:03.140 --> 00:09:33.120]  , and the last thing we can do is to get down on your hands and knees and nose through wads of someone else's Kleenex. Is this why our parents sent us to college, so we could paw through orange peels and ice cream tubs and half-eaten loaves of bread? And yet, there is also something seductive, almost intoxicating about being a dumpster detective. For example, we spot a clothing tag,
[00:09:33.120 --> 00:09:51.180]  , and we find a bag of
[00:09:51.180 --> 00:10:03.140]   ,, , , , , , , , , , , , . . Then we find half of a torn receipt from Meyer and Frank for $262.99. Then we find the other half, which reads Men's SU 3 button, stringing it together and we deduce that Schronk plunked down $262.99 for a size 44 3 button suit at Meyer and Frank on Saturday November 16 at 9:35 a. We're getting to know Portland's top prosecutor from the inside out. Here's an empty and out.
[00:10:03.180 --> 00:10:08.720]   discuss
[00:10:08.720 --> 00:10:14.620]   .
[00:11:31.920 --> 00:11:41.720]   Lion
[00:11:41.720 --> 00:11:42.960]   ,
[00:12:59.060 --> 00:12:59.060]   We even know he's thinking about a new car and which models he's considering.
[00:12:59.060 --> 00:12:59.060]   We even know he's thinking about a new car and which models he's considering.
[00:12:59.060 --> 00:12:59.060]   We even know he's thinking about a new car and which models he's considering.
[00:12:59.060 --> 00:12:59.060]   We even know he's thinking about a new car and which models he's considering.
[00:12:59.060 --> 00:12:59.060]   We even know he's thinking about a new car and which models he's considering.
[00:12:59.060 --> 00:12:59.060]   We even know he's thinking about a new car and which models he's considering.
[00:12:59.060 --> 00:12:59.120]   We even know he's thinking about a new car and which models he's considering.
[00:12:59.120 --> 00:12:59.200]   By the time he gets to the end of the year, he's probably going to be a little bit more of a "no" guy.
[00:12:59.200 --> 00:12:59.220]   We even know he's thinking about a new car and which models he's considering.
[00:12:59.220 --> 00:12:59.300]   By the time he gets to the end of the year, he's probably going to be a little bit more of a "no" guy.
[00:12:59.380 --> 00:13:28.640]  obediently.com
[00:13:28.640 --> 00:13:28.700]   We even know he's thinking about a new car and which models he's considering.
[00:13:28.700 --> 00:13:28.760]   We even know he's thinking about a new car and which models he's considering.
[00:13:28.760 --> 00:13:28.800]   We even know he's thinking about a new car and which models he's considering.
[00:13:28.800 --> 00:13:28.840]   We even know he's thinking about a new car and which models he's considering.
[00:13:28.840 --> 00:13:28.880]   We even know he's thinking about a new car and which models he's considering.
[00:13:28.880 --> 00:13:28.920]   We even know he's thinking about a new car and which models he's considering.
[00:13:28.920 --> 00:13:28.960]   We even know he's thinking about a new car and which models he's considering.
[00:13:28.960 --> 00:13:28.980]   We even know he's thinking about a new car and which models he's considering.
[00:13:28.980 --> 00:13:29.000]   We even know he's thinking about a new cars and which models he's considering.
[00:13:29.000 --> 00:13:58.700]   I don't know. We even know he's thinking about a new cars and which models he's considering.
[00:13:58.700 --> 00:13:58.740]   We even know he's thinking about a new cars and which models he's considering.
[00:13:58.740 --> 00:13:59.000]   We even know he's thinking about a new cars and which models he's considering.
[00:13:59.000 --> 00:13:59.020]   I even know he's thinking about a new cars and which models he's considering.
[00:13:59.020 --> 00:13:59.020]   I even know he's thinking about a new cars and which models he's considering.
[00:13:59.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:29.040]   We even know he's thinking about a new cars and which models he's considering.
[00:14:29.040 --> 00:14:59.060]   We even know he's thinking about a new cars and which models he's considering.
[00:14:59.060 --> 00:14:59.060]   We even know he's thinking about a new cars and which models he's considering.
[00:14:59.060 --> 00:14:59.060]   We even know he's thinking about a new cars and which models he's considering.
[00:14:59.060 --> 00:14:59.060]   We even know he's thinking about a new cars and which models he's considering.
[00:14:59.060 --> 00:14:59.060]   We even know he's thinking about a new cars and which models he's considering.
[00:14:59.060 --> 00:14:59.060]   We even know he's thinking about a new cars and which models he's considering.
[00:14:59.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:29.080]   We even know he's thinking about a new cars and which models he's considering.
[00:15:29.080 --> 00:15:59.100]   We even know he's thinking about a new cars and which models he's considering.
[00:15:59.100 --> 00:15:59.100]   We even know he's thinking about a new cars and which models he's considering.
[00:15:59.100 --> 00:15:59.100]   We even know he's thinking about a new cars and which models he's considering.
[00:15:59.100 --> 00:15:59.100]   We even know he's thinking about a new cars and which models he's considering.
[00:15:59.100 --> 00:15:59.100]   We even know he's thinking about a new cars and which models he's considering.
[00:15:59.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:29.120]   We even know he's thinking about a new cars and which models he's considering.
[00:16:29.120 --> 00:16:59.140]   We even know he's thinking about a new cars and which models he's considering.
[00:16:59.140 --> 00:16:59.140]   We even know he's thinking about a new cars and which models he's considering.
[00:16:59.140 --> 00:16:59.140]   We even know he's thinking about a new cars and which models he's considering.
[00:16:59.140 --> 00:16:59.140]   We even know he's thinking about a new cars and which models he's considering.
[00:16:59.140 --> 00:16:59.140]   We even know he's thinking about a new cars and which models he's considering.
[00:16:59.140 --> 00:16:59.140]   We even know he's thinking about a new cars and which models he's considering.
[00:16:59.140 --> 00:16:59.140]   We even know he's thinking about a new cars and which models he's considering.
[00:16:59.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   We even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:29.160]   - we even know he's thinking about a new cars and which models he's considering.
[00:17:29.160 --> 00:17:59.180]   - we even know he's thinking about a new cars and which models he's considering.
[00:17:59.180 --> 00:17:59.180]   - we even know he's thinking about a new cars and which models he's considering.
[00:17:59.180 --> 00:17:59.180]   - we even know he's thinking about a new cars and which models he's considering.
[00:17:59.180 --> 00:17:59.180]   - we even know he's thinking about a new cars and which models he's considering.
[00:17:59.180 --> 00:17:59.180]   - we even know he's thinking about a new cars and which models he's considering.
[00:17:59.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.200 --> 00:18:29.200]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:29.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.220 --> 00:18:59.220]   - we even know he's thinking about a new cars and which models he's considering.
[00:18:59.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.240 --> 00:19:29.240]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:29.280 --> 00:19:59.260]  ,
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.260 --> 00:19:59.260]   - we even know he's thinking about a new cars and which models he's considering.
[00:19:59.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.280 --> 00:20:29.280]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:29.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.300 --> 00:20:59.300]   - we even know he's thinking about a new cars and which models he's considering.
[00:20:59.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.320 --> 00:21:29.320]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:29.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.340 --> 00:21:59.340]   - we even know he's thinking about a new cars and which models he's considering.
[00:21:59.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.360 --> 00:22:29.360]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:29.380 --> 00:22:59.380]  , we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.380 --> 00:22:59.380]   - we even know he's thinking about a new cars and which models he's considering.
[00:22:59.420 --> 00:23:29.400]  , we even know he's thinking about a new cars and which models he's considering.
[00:23:29.400 --> 00:23:29.400]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:29.400 --> 00:23:29.400]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:29.400 --> 00:23:29.400]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:29.400 --> 00:23:29.400]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:29.400 --> 00:23:29.400]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:29.400 --> 00:23:29.400]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:29.400 --> 00:23:29.400]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:29.400 --> 00:23:29.400]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:29.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.420 --> 00:23:59.420]   - we even know he's thinking about a new cars and which models he's considering.
[00:23:59.460 --> 00:24:29.440]  ,
