
[00:00:00.040 --> 00:00:09.620]  ечение
[00:09:21.100 --> 00:09:21.100]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:21.100 --> 00:09:21.100]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:21.100 --> 00:09:21.100]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:21.120 --> 00:09:51.120]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:51.120 --> 00:09:51.120]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:51.120 --> 00:09:51.120]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:51.120 --> 00:09:51.120]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:51.120 --> 00:09:51.120]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:51.120 --> 00:09:51.120]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:51.120 --> 00:09:51.120]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:51.120 --> 00:09:51.120]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:09:51.120 --> 00:10:21.140]  , Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:21.140 --> 00:10:21.140]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:21.140 --> 00:10:21.140]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:21.140 --> 00:10:21.140]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:21.140 --> 00:10:21.140]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:21.140 --> 00:10:21.140]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:21.160 --> 00:10:51.160]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:51.160 --> 00:10:51.160]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:51.160 --> 00:10:51.160]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:51.160 --> 00:10:51.160]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:51.160 --> 00:10:51.160]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:51.160 --> 00:10:51.160]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:51.160 --> 00:10:51.160]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:51.160 --> 00:10:51.160]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:10:51.200 --> 00:11:21.180]  , Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:21.180 --> 00:11:21.180]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:21.180 --> 00:11:21.180]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:21.180 --> 00:11:21.180]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:21.180 --> 00:11:21.180]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:21.180 --> 00:11:21.180]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:21.200 --> 00:11:51.200]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:51.200 --> 00:11:51.200]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:51.200 --> 00:11:51.200]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:51.200 --> 00:11:51.200]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:51.200 --> 00:11:51.200]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:51.200 --> 00:11:51.200]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:51.200 --> 00:11:51.200]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:51.200 --> 00:11:51.200]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:11:51.220 --> 00:12:21.220]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:21.220 --> 00:12:21.220]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:21.220 --> 00:12:21.220]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:21.220 --> 00:12:21.220]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:21.220 --> 00:12:21.220]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:21.220 --> 00:12:21.220]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:21.260 --> 00:12:51.240]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:51.240 --> 00:12:51.240]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:51.240 --> 00:12:51.240]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:51.240 --> 00:12:51.240]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:51.240 --> 00:12:51.240]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:51.240 --> 00:12:51.240]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:12:51.260 --> 00:13:21.260]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:21.260 --> 00:13:21.260]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:21.260 --> 00:13:21.260]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:21.260 --> 00:13:21.260]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:21.260 --> 00:13:21.260]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:21.260 --> 00:13:21.260]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:21.260 --> 00:13:21.260]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:21.260 --> 00:13:21.260]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:51.280 --> 00:13:51.280]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:51.280 --> 00:13:51.280]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:51.280 --> 00:13:51.280]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:51.280 --> 00:13:51.280]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:51.280 --> 00:13:51.280]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:13:51.280 --> 00:13:51.280]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:14:21.300 --> 00:14:21.300]   I, Joshua Sheets, earned $100,000 per year by this date. It was about three years out.
[00:14:21.300 --> 00:14:21.300]   They don't think about doing that. Most of us don't.
[00:14:21.300 --> 00:14:21.300]   They don't think about doing that. Most of us don't.
[00:14:21.300 --> 00:14:21.300]   They don't think about doing that. Most of us don't.
[00:14:21.300 --> 00:14:21.300]   They don't think about doing that. Most of us don't.
[00:14:21.300 --> 00:14:21.300]   They don't think about doing that. Most of us don't.
[00:14:21.300 --> 00:14:21.300]   They don't think about doing that. Most of us don't.
[00:14:21.300 --> 00:14:21.300]   They don't think about doing that. Most of us don't. It's a franchise. It's for sale. If you take it, you can buy it and make money. They don't think about doing that. Most of us don't.
[00:14:21.300 --> 00:14:51.320]  ,
[00:14:51.320 --> 00:14:51.320]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:14:51.320 --> 00:14:51.320]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:14:51.320 --> 00:14:51.320]   It's a franchise. It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:14:51.320 --> 00:14:51.320]   It's a franchise. It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:14:51.340 --> 00:15:21.340]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:21.340 --> 00:15:21.340]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:21.340 --> 00:15:21.340]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:21.340 --> 00:15:21.340]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:21.340 --> 00:15:21.340]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:21.340 --> 00:15:21.340]   It's a franchise. It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:51.360 --> 00:15:51.360]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:51.360 --> 00:15:51.360]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:51.360 --> 00:15:51.360]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:51.360 --> 00:15:51.360]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:51.360 --> 00:15:51.360]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:51.360 --> 00:15:51.360]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:15:51.380 --> 00:16:21.380]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:16:21.380 --> 00:16:21.380]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:16:21.380 --> 00:16:21.380]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:16:21.380 --> 00:16:21.380]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:16:21.380 --> 00:16:21.380]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:16:21.380 --> 00:16:21.380]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:16:21.380 --> 00:16:21.380]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:16:21.380 --> 00:16:21.380]   It's a franchise. It's for sale. If you take it, you can buy it and make money.
[00:16:21.400 --> 00:16:51.400]   Don't be scared to set a goal just because you don't know how to achieve it.
[00:16:51.400 --> 00:16:51.400]   Your brain will work on it in the back. And you'll notice the opportunity when the time is right.
[00:16:51.400 --> 00:16:51.400]   So set those goals. Even if you can't put out a detailed plan, set those goals. Identify them.
[00:16:51.440 --> 00:17:21.420]   and find out for a reason.
[00:17:21.420 --> 00:17:21.420]   I invite you to read. I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for
[00:17:21.420 --> 00:17:21.420]   I invite you to go to Radical Booklist and sign up for I invite you to read.
[00:17:21.420 --> 00:17:21.420]   I invite you to go to go to Radical Booklist and sign up to read.
[00:17:21.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:17:51.440]   I invite you to go to Radical Booklist and sign up for
[00:17:51.440 --> 00:18:21.460]   I invite you to go to Radical Booklist and sign up for
[00:18:21.460 --> 00:18:21.460]   I invite you to go to Radical Booklist and sign up for
[00:18:21.460 --> 00:18:21.460]   I invite you to go to Radical Booklist and sign up for
[00:18:21.460 --> 00:18:21.460]   I invite you to go to Radical Booklist and sign up for
[00:18:21.460 --> 00:18:21.460]   I invite you to go to Radical Booklist and sign up for
[00:18:21.460 --> 00:18:21.460]   I invite you to go to Radical Booklist and sign up for
[00:18:21.460 --> 00:18:21.460]   I invite you to go to Radical Booklist and sign up for
[00:18:21.460 --> 00:18:21.460]   I invite you to go to Radical Booklist and sign up for
[00:18:21.500 --> 00:18:32.520]   provide
[00:18:32.520 --> 00:18:50.560]   manage pay é
[00:18:51.520 --> 00:18:51.520]   say
[00:18:51.520 --> 00:19:01.600]  ver. dessa out.ゲ
[00:19:01.600 --> 00:19:03.140]   e wn me be just ABOUT L music but

