
[00:00:00.000 --> 00:00:05.000]   [Intro]
[00:04:31.000 --> 00:04:36.000]   I didn't mean to do that. If I gave that impression, I gave a misimpression.
[00:04:36.000 --> 00:04:48.000]   In fact, I think the Bible is pretty clear that there are situations in which taking the life of another person without even knowing his spiritual state is right.
[00:04:48.000 --> 00:04:58.000]   One of those situations is in military defense against aggression and police defense of citizens against criminals, and another is capital punishment.
[00:04:58.000 --> 00:05:07.000]   God has ordained that the state share in God's divine rights, for example, to take the life of murderers.
[00:05:07.000 --> 00:05:17.000]   Romans 13, 2, "There is no authority except from God. Those who exist have been instituted by God. The ruler is God's servant for good.
[00:05:17.000 --> 00:05:23.000]   He does not bear the sword in vain, for he is the servant of God."
[00:05:23.000 --> 00:05:36.000]   So the sword bearers, the billy club bearers, the gun bearers are servants of God, an avenger who carries out God's wrath on the wrongdoer.
[00:05:36.000 --> 00:05:44.000]   When the soldiers asked John the Baptist what they should do in response to his command to bear fruits worthy of repentance,
[00:05:44.000 --> 00:05:49.000]   he did not say, "Stop being a soldier, for goodness sakes, who carries a sword and goes to war."
[00:05:49.000 --> 00:06:00.000]   He didn't say that. He said in Luke 3, 14, "Do not extort money from anyone by threats or by false accusation. Be content with your wages."
[00:06:00.000 --> 00:06:08.000]   In other words, you've got a sword in your hand. Beware. Don't use it that way. It has a limited place.
[00:06:08.000 --> 00:06:19.000]   You are a servant of God to work His wrath on the wrongdoer. You are not to abuse your authority and your power in order to aggrandize yourself.
[00:06:19.000 --> 00:06:31.000]   So yes to policemen and yes to soldiers. And with regard to capital punishment, nothing in the New Testament that I can see overturns the principle of Genesis 9, 6,
[00:06:31.000 --> 00:06:35.000]   "Whoever sheds the blood of man, by man shall his blood be shed."
[00:06:35.000 --> 00:06:39.000]   Why? "For God made man in His own image."
[00:06:39.000 --> 00:06:48.000]   In other words, the dignity of man and the value of man created in the image of God is not what hinders capital punishment.
[00:06:48.000 --> 00:06:50.000]   It's what requires it.
[00:06:50.000 --> 00:07:09.000]   So here's the summary of what I've just said. Christian enemy love that sacrifices itself and official state enemy punishment that protects citizens both declare truths about God.
[00:07:09.000 --> 00:07:21.000]   Christian self-sacrifice declares that our God is all satisfying. He's our treasure. He's our reward. He will fully satisfy us in the end. He will settle all accounts in the age to come.
[00:07:21.000 --> 00:07:30.000]   And secondly, state punishment declares God is God of justice. He ordains that there is a limit to evil.
[00:07:30.000 --> 00:07:40.000]   Even in this world, He will not tolerate it to go beyond certain means, and He is a God of justice now and in the world to come.
[00:07:40.000 --> 00:07:51.000]   Both of those are true, and Christians are involved in saying both with their lives in the ways that the New Testament prescribes.
[00:07:51.000 --> 00:08:00.000]   Thank you, Pastor John. And again, this episode is built on episode number 306, which is titled "God, Guns, and Biblical Manhood," episode number 306.
[00:08:00.000 --> 00:08:07.000]   Be sure to check out that episode. But we still have not directly addressed the question in these questions, and I want to ask it next time, Pastor John.
[00:08:07.000 --> 00:08:16.000]   Is the New Testament commandment to not return evil for evil a sufficient warrant for Christians to not become soldiers or police officers?
[00:08:16.000 --> 00:08:18.000]   We'll tackle that tomorrow.
[00:08:18.000 --> 00:08:22.000]   Until then, I'm your host Tony Reinke. Thanks for listening to the Ask Pastor John Podcast.
[00:08:22.000 --> 00:08:24.000]   [END]
[00:08:24.000 --> 00:08:26.000]   [END]
[00:08:26.000 --> 00:08:28.000]   [END]
[00:08:28.000 --> 00:08:38.000]   [BLANK_AUDIO]

