
[00:00:00.040 --> 00:00:09.620]   這
[00:05:51.920 --> 00:05:51.920]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:05:51.920 --> 00:05:51.920]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:05:51.920 --> 00:05:51.920]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:05:51.920 --> 00:05:51.920]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:05:51.920 --> 00:05:51.920]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:05:51.920 --> 00:05:51.920]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:05:51.940 --> 00:06:21.940]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's.
[00:06:21.940 --> 00:06:21.940]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:06:21.960 --> 00:06:51.960]   and we begin today's a little bit of the president's. and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.960 --> 00:06:51.960]   and we begin today's a little bit of the president's.
[00:06:51.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:21.980 --> 00:07:21.980]   and we begin today's a little bit of the president's.
[00:07:22.020 --> 00:07:52.000]  ,
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.000 --> 00:07:52.000]   and we begin today's a little bit of the president's.
[00:07:52.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:22.020]   and we begin today's a little bit of the president's.
[00:08:22.020 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.040 --> 00:08:52.040]   and we begin today's a little bit of the president's.
[00:08:52.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:22.060]   and we begin today's a little bit of the president's.
[00:09:22.060 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.080 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.080 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.080 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.080 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.080 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.080 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.080 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.080 --> 00:09:52.080]   and we begin today's a little bit of the president's.
[00:09:52.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:22.100]   and we begin today's a little bit of the president's.
[00:10:22.100 --> 00:10:52.120]   and we begin today's a little bit of the president's.
[00:10:52.120 --> 00:10:52.120]   and we begin today's a little bit of the president's.
[00:10:52.120 --> 00:10:52.120]   and we begin today's a little bit of the president's.
[00:10:52.120 --> 00:10:52.120]   and we begin today's a little bit of the president's.
[00:10:52.120 --> 00:10:52.120]   and we begin today's a little bit of the president's.
[00:10:52.120 --> 00:10:52.120]   and we begin today's a little bit of the president's.
[00:10:52.120 --> 00:10:52.120]   and we begin today's a little bit of the president's.
[00:10:52.120 --> 00:10:52.120]   and we begin today's a little bit of the president's.
[00:10:52.160 --> 00:10:54.040]   made
[00:10:54.040 --> 00:11:05.880]   shouldn con cur
[00:11:05.880 --> 00:11:21.060]   call's al butgin provide'm ci遠stoppable Shimrail dark Nat Equ F S Deshalb L Glorest S talk is a but is a金, the f develops, and, and, but, and, and, and, and, and, and, and, and, and, and, and, and, but, and, and, think, but,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,.,,., experiência place a. demand. staircasepr faces like, conta Maz coeg X wh dagger plutność Flor實 was ALLא�
[00:11:21.080 --> 00:11:32.100]   I don't know if she was talking about bringing the deficit down by $158 billion or lowering the national debt by $158 billion.
[00:11:32.100 --> 00:11:33.100]   It's just a joke.
[00:11:33.100 --> 00:11:36.100]   There's no relevance here to the long-term problem whatsoever.
[00:11:36.100 --> 00:11:42.100]   That was the only reference or illusion I could find to the discussion in night one of the debates.
[00:11:42.100 --> 00:11:44.100]   Well, what about night two?
[00:11:44.100 --> 00:11:50.000]   The first time I could find where, or the first and only thing I could find in night two where national debt was discussed or governmental debt was discussed was the fact that the national debt was not being used.
[00:11:50.000 --> 00:11:50.000]   The first time I could find where, or the first and only thing I could find in night two where national debt was discussed or governmental debt was discussed was the fact that the national debt was not being used.
[00:11:50.000 --> 00:11:50.000]   The first time I could find where, or the first and only thing I could find in night two where national debt was discussed or governmental debt was discussed was the fact that the national debt was not being used.
[00:11:50.940 --> 00:12:18.940]   The first time I could find where, or the first and only thing I could find where, or the first and only thing I could find in night two where national debt was discussed was when candidate Kamala Harris was asked a direct question as to whether Democrats have a responsibility to talk about how they will pay for ambitious new spending programs.
[00:12:18.940 --> 00:12:18.940]   The first time I could find where, or the first and only thing I could find where, or the first and only thing I could find where, or the first and only thing I could find where national debt was discussed was discussed was when candidate Kamala Harris was asked a question.
[00:12:18.940 --> 00:12:19.940]   The first and the first and only thing I could find where national debt was discussed was discussed was when candidate Kamala Harris was asked a direct question as to whether Democrats have a responsibility to talk about how they will pay for ambitious new spending programs.
[00:12:19.960 --> 00:12:49.880]   The first and the only thing I could find where, or the first and only thing I could find where national debt was discussed was when candidate Kamala Harris was asked a direct question as to whether Democrats have a responsibility to talk about how they will pay for ambitious new spending programs.
[00:12:49.880 --> 00:12:49.880]   The first and the only thing I could find where, or the first and only thing I could find where national debt was discussed was when candidate Kamala Harris was asked a direct question as to whether Democrats have a responsibility to talk about how they will pay for ambitious new spending programs.
[00:12:49.880 --> 00:12:49.880]   The first and the only thing I could find where, or the first and only thing I could find where, or the first and only thing I could find where national debt was discussed was when candidate Kamala Harris was asked a direct question as to whether Democrats have a responsibility to talk about how they will pay for ambitious new spending programs.
[00:12:49.920 --> 00:13:00.120]  iko
[00:13:00.120 --> 00:13:00.200]   in the stuff watch
[00:13:18.860 --> 00:13:29.680]   what
[00:13:29.680 --> 00:13:32.260]   ваш like,業,
[00:14:13.700 --> 00:14:13.700]   The
[00:16:03.500 --> 00:16:10.620]   near
[00:16:10.620 --> 00:16:14.220]   mad and three
[00:17:24.280 --> 00:17:24.280]   and three
[00:17:24.280 --> 00:17:24.280]   and four
[00:17:31.340 --> 00:17:41.180]   and five
[00:17:41.180 --> 00:17:47.020]   and he goes on
[00:17:47.020 --> 00:17:48.620]   an inescapable
[00:17:48.620 --> 00:17:50.080]   well the point is
[00:17:50.080 --> 00:17:50.920]   that there's no
[00:17:50.920 --> 00:17:52.460]   these numbers
[00:17:52.460 --> 00:17:53.300]   these proposals
[00:17:53.300 --> 00:17:54.300]   are not going to be able to close much of the gap.
[00:17:54.340 --> 00:18:22.600]   work
[00:20:16.340 --> 00:20:27.100]   all of the things that I want to do.
[00:20:27.100 --> 00:20:40.020]   I'm trying to figure out how to design my life so that I can live the life that I want to live at the same time while trying to achieve financial independence without stressing too much about the numbers.
[00:20:40.020 --> 00:20:40.520]   Okay.
[00:20:40.520 --> 00:20:43.660]   So tell me more.
[00:20:43.660 --> 00:20:44.160]   Yep.
[00:20:44.160 --> 00:20:46.320]   Um.
[00:21:14.600 --> 00:21:30.880]  .
[00:21:30.880 --> 00:21:32.080]   I'm trying to do a little bit more.
[00:21:32.080 --> 00:21:32.920]   Uh, uh, financial coaching.
[00:21:32.920 --> 00:21:33.460]   Do a help.
[00:21:33.460 --> 00:21:39.000]   Uh, I mean, I, as I understand it from previous podcasts that you have already been, you know, um, putting out there, it's like that industry, it's not necessarily money generating, uh, because, uh, because a lot, a lot of people don't really care about, uh, finances too much.
[00:21:39.000 --> 00:21:43.660]   But so for me, if money is no issue, I would still probably want to do that.
[00:21:43.660 --> 00:21:44.600]   Try to bring awareness.
[00:21:44.600 --> 00:22:14.120]   Um, I'm currently, um, I'm an, I'm a financial analyst, uh, but I crunch number, uh, you know, I, I review a number and a nice number of folks. I have a background, uh, in finance and accounting, but I do not work in the financial service industry because, you know, I'm not a financial analyst.
[00:22:14.120 --> 00:22:14.600]   So, uh, I'm going to look at the information and I'm going to look at the information.
[00:22:14.620 --> 00:22:29.400]   Uh, for the reason why you leave the industry, because of the people that, uh, tend to use the service or the financial planning planners generally tend to go after other people that probably don't necessarily need to help too much anyway.
[00:22:29.400 --> 00:22:32.820]   Uh, if that, if that makes sense, I mean, that will be hiring that.
[00:22:32.820 --> 00:22:35.940]   Um, my goals.
[00:22:35.940 --> 00:22:44.620]   There's the, probably the middle class family, uh, that, that might not be, you know, that's not going to be a very good fit for the financial system.
[00:22:44.620 --> 00:22:44.620]   It's just not going to be a good fit for the financial system.
[00:22:44.620 --> 00:22:44.620]   That's not going to be a good fit for the financial system.
[00:22:44.620 --> 00:22:44.620]   That's not going to be a good fit for the financial system.
[00:22:44.620 --> 00:22:44.620]   That's not going to be a good fit for the financial system.
[00:22:44.620 --> 00:22:44.620]   That's not going to be a good fit for the financial system.
[00:22:44.620 --> 00:22:44.620]   That's not going to be a good fit for the financial system.
[00:22:44.620 --> 00:23:14.640]   That's not going to be a good fit for the financial system.
[00:23:14.640 --> 00:23:14.640]   That's not going to be a good fit for the financial system.
[00:23:14.640 --> 00:23:14.640]   That's not going to be a good fit for the financial system.
[00:23:14.640 --> 00:23:14.640]   That's not going to be a good fit for the financial system.
[00:23:14.640 --> 00:23:14.640]   That's not going to be a good fit for the financial system.
[00:23:14.640 --> 00:23:14.640]   That's not going to be a good fit for the financial system.
[00:23:14.640 --> 00:23:14.640]   That's not going to be a good fit for the financial system.
[00:23:14.660 --> 00:23:44.660]   I do believe it's possible to serve the lower class and the middle
[00:23:44.660 --> 00:23:44.660]   I do believe it's possible to serve the lower class and the middle
[00:23:44.660 --> 00:23:44.660]   I do believe it's possible to serve the lower class and the middle
[00:23:44.660 --> 00:23:44.660]   I do believe it's possible to serve the lower class and the middle
[00:23:44.660 --> 00:23:44.660]   I do believe it's possible to serve the lower class and the middle
[00:23:44.660 --> 00:23:44.660]   I do believe it's possible to serve the lower class and the middle
[00:23:44.660 --> 00:23:44.660]   class with good financial advice.
[00:23:44.680 --> 00:24:14.680]  ,
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.680 --> 00:24:14.680]   You can sell a stadium worth of tickets to the lower and middle
[00:24:14.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:24:44.700]   You can sell a stadium worth of tickets to the lower and middle
[00:24:44.700 --> 00:25:14.720]  ,
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.720 --> 00:25:14.720]   You can sell a stadium worth of tickets to the lower and middle
[00:25:14.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
[00:25:44.740 --> 00:25:44.740]   You can sell a stadium worth of tickets to the lower and middle
