
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:02:04.000 --> 00:02:06.000]   And I'm your host, Michael McCrudden.
[00:02:06.000 --> 00:02:08.000]   And I'm your host, Michael McCrudden.
[00:02:08.000 --> 00:02:10.000]   And I'm your host, Michael McCrudden.
[00:02:10.000 --> 00:02:12.000]   And I'm your host, Michael McCrudden.
[00:02:12.000 --> 00:02:14.000]   And I'm your host, Michael McCrudden.
[00:02:14.000 --> 00:02:16.000]   And I'm your host, Michael McCrudden.
[00:02:16.000 --> 00:02:18.000]   And I'm your host, Michael McCrudden.
[00:02:18.000 --> 00:02:20.000]   And I'm your host, Michael McCrudden.
[00:02:20.000 --> 00:02:22.000]   And I'm your host, Michael McCrudden.
[00:02:22.000 --> 00:02:24.000]   And I'm your host, Michael McCrudden.
[00:02:24.000 --> 00:02:26.000]   And I'm your host, Michael McCrudden.
[00:02:26.000 --> 00:02:28.000]   And I'm your host, Michael McCrudden.
[00:02:28.000 --> 00:02:30.000]   And I'm your host, Michael McCrudden.
[00:02:30.000 --> 00:02:32.000]   And I'm your host, Michael McCrudden.
[00:02:32.000 --> 00:02:34.000]   And I'm your host, Michael McCrudden.
[00:02:34.000 --> 00:02:36.000]   And I'm your host, Michael McCrudden.
[00:02:36.000 --> 00:02:38.000]   And I'm your host, Michael McCrudden.
[00:02:38.000 --> 00:02:40.000]   And I'm your host, Michael McCrudden.
[00:02:40.000 --> 00:02:42.000]   And I'm your host, Michael McCrudden.
[00:02:42.000 --> 00:02:44.000]   And I'm your host, Michael McCrudden.
[00:02:44.000 --> 00:02:46.000]   And I'm your host, Michael McCrudden.
[00:02:46.000 --> 00:02:48.000]   And I'm your host, Michael McCrudden.
[00:02:48.000 --> 00:02:50.000]   And I'm your host, Michael McCrudden.
[00:02:50.000 --> 00:02:52.000]   And I'm your host, Michael McCrudden.
[00:02:52.000 --> 00:02:54.000]   And I'm your host, Michael McCrudden.
[00:02:54.000 --> 00:02:56.000]   And I'm your host, Michael McCrudden.
[00:02:56.000 --> 00:02:58.000]   And I'm your host, Michael McCrudden.
[00:02:58.000 --> 00:03:00.000]   And I'm your host, Michael McCrudden.
[00:03:00.000 --> 00:03:02.000]   And I'm your host, Michael McCrudden.
[00:03:02.000 --> 00:03:04.000]   And I'm your host, Michael McCrudden.
[00:03:04.000 --> 00:03:06.000]   And I'm your host, Michael McCrudden.
[00:03:06.000 --> 00:03:08.000]   And I'm your host, Michael McCrudden.
[00:03:08.000 --> 00:03:10.000]   And I'm your host, Michael McCrudden.
[00:03:10.000 --> 00:03:12.000]   And I'm your host, Michael McCrudden.
[00:03:12.000 --> 00:03:14.000]   And I'm your host, Michael McCrudden.
[00:03:14.000 --> 00:03:16.000]   And I'm your host, Michael McCrudden.
[00:03:16.000 --> 00:03:18.000]   And I'm your host, Michael McCrudden.
[00:03:18.000 --> 00:03:20.000]   And I'm your host, Michael McCrudden.
[00:03:20.000 --> 00:03:22.000]   And I'm your host, Michael McCrudden.
[00:03:22.000 --> 00:03:24.000]   And I'm your host, Michael McCrudden.
[00:03:24.000 --> 00:03:26.000]   And I'm your host, Michael McCrudden.
[00:03:26.000 --> 00:03:28.000]   And I'm your host, Michael McCrudden.
[00:03:28.000 --> 00:03:30.000]   And I'm your host, Michael McCrudden.
[00:03:30.000 --> 00:03:32.000]   And I'm your host, Michael McCrudden.
[00:03:32.000 --> 00:03:34.000]   And I'm your host, Michael McCrudden.
[00:03:34.000 --> 00:03:36.000]   And I'm your host, Michael McCrudden.
[00:03:36.000 --> 00:03:38.000]   And I'm your host, Michael McCrudden.
[00:03:38.000 --> 00:03:40.000]   And I'm your host, Michael McCrudden.
[00:03:40.000 --> 00:03:42.000]   And I'm your host, Michael McCrudden.
[00:03:42.000 --> 00:03:44.000]   And I'm your host, Michael McCrudden.
[00:03:44.000 --> 00:03:46.000]   And I'm your host, Michael McCrudden.
[00:03:46.000 --> 00:03:48.000]   And I'm your host, Michael McCrudden.
[00:03:48.000 --> 00:03:50.000]   And I'm your host, Michael McCrudden.
[00:03:50.000 --> 00:03:52.000]   And I'm your host, Michael McCrudden.
[00:03:52.000 --> 00:03:54.000]   And I'm your host, Michael McCrudden.
[00:03:54.000 --> 00:03:56.000]   And I'm your host, Michael McCrudden.
[00:03:56.000 --> 00:03:58.000]   And I'm your host, Michael McCrudden.
[00:03:58.000 --> 00:04:00.000]   And I'm your host, Michael McCrudden.
[00:04:00.000 --> 00:04:02.000]   And I'm your host, Michael McCrudden.
[00:04:02.000 --> 00:04:04.000]   And I'm your host, Michael McCrudden.
[00:04:04.000 --> 00:04:06.000]   And I'm your host, Michael McCrudden.
[00:04:06.000 --> 00:04:08.000]   And I'm your host, Michael McCrudden.
[00:04:08.000 --> 00:04:10.000]   And I'm your host, Michael McCrudden.
[00:04:10.000 --> 00:04:12.000]   And I'm your host, Michael McCrudden.
[00:04:12.000 --> 00:04:14.000]   And I'm your host, Michael McCrudden.
[00:04:14.000 --> 00:04:16.000]   And I'm your host, Michael McCrudden.
[00:04:16.000 --> 00:04:18.000]   And I'm your host, Michael McCrudden.
[00:04:18.000 --> 00:04:20.000]   And I'm your host, Michael McCrudden.
[00:04:20.000 --> 00:04:22.000]   And I'm your host, Michael McCrudden.
[00:04:22.000 --> 00:04:24.000]   And I'm your host, Michael McCrudden.
[00:04:24.000 --> 00:04:26.000]   And I'm your host, Michael McCrudden.
[00:04:26.000 --> 00:04:28.000]   And I'm your host, Michael McCrudden.
[00:04:28.000 --> 00:04:30.000]   And I'm your host, Michael McCrudden.
[00:04:30.000 --> 00:04:32.000]   And I'm your host, Michael McCrudden.
[00:04:32.000 --> 00:04:34.000]   And I'm your host, Michael McCrudden.
[00:04:34.000 --> 00:04:36.000]   And I'm your host, Michael McCrudden.
[00:04:36.000 --> 00:04:38.000]   And I'm your host, Michael McCrudden.
[00:04:38.000 --> 00:04:40.000]   And I'm your host, Michael McCrudden.
[00:04:40.000 --> 00:04:42.000]   And I'm your host, Michael McCrudden.
[00:04:42.000 --> 00:04:44.000]   And I'm your host, Michael McCrudden.
[00:04:44.000 --> 00:04:46.000]   And I'm your host, Michael McCrudden.
[00:04:46.000 --> 00:04:48.000]   And I'm your host, Michael McCrudden.
[00:04:48.000 --> 00:04:50.000]   And I'm your host, Michael McCrudden.
[00:04:50.000 --> 00:04:52.000]   And I'm your host, Michael McCrudden.
[00:04:52.000 --> 00:04:54.000]   And I'm your host, Michael McCrudden.
[00:04:54.000 --> 00:04:56.000]   And I'm your host, Michael McCrudden.
[00:04:56.000 --> 00:04:58.000]   And I'm your host, Michael McCrudden.
[00:04:58.000 --> 00:05:00.000]   And I'm your host, Michael McCrudden.
[00:05:00.000 --> 00:05:02.000]   And I'm your host, Michael McCrudden.
[00:05:02.000 --> 00:05:04.000]   And I'm your host, Michael McCrudden.
[00:05:04.000 --> 00:05:06.000]   And I'm your host, Michael McCrudden.
[00:05:06.000 --> 00:05:08.000]   And I'm your host, Michael McCrudden.
[00:05:08.000 --> 00:05:10.000]   And I'm your host, Michael McCrudden.
[00:05:10.000 --> 00:05:12.000]   And I'm your host, Michael McCrudden.
[00:05:12.000 --> 00:05:14.000]   And I'm your host, Michael McCrudden.
[00:05:14.000 --> 00:05:16.000]   And I'm your host, Michael McCrudden.
[00:05:16.000 --> 00:05:18.000]   And I'm your host, Michael McCrudden.
[00:05:18.000 --> 00:05:20.000]   And I'm your host, Michael McCrudden.
[00:05:20.000 --> 00:05:22.000]   And I'm your host, Michael McCrudden.
[00:05:22.000 --> 00:05:24.000]   And I'm your host, Michael McCrudden.
[00:05:24.000 --> 00:05:26.000]   And I'm your host, Michael McCrudden.
[00:05:26.000 --> 00:05:28.000]   And I'm your host, Michael McCrudden.
[00:05:28.000 --> 00:05:30.000]   And I'm your host, Michael McCrudden.
[00:05:30.000 --> 00:05:32.000]   And I'm your host, Michael McCrudden.
[00:05:32.000 --> 00:05:34.000]   And I'm your host, Michael McCrudden.
[00:05:34.000 --> 00:05:36.000]   And I'm your host, Michael McCrudden.
[00:05:36.000 --> 00:05:38.000]   And I'm your host, Michael McCrudden.
[00:05:38.000 --> 00:05:40.000]   And I'm your host, Michael McCrudden.
[00:05:40.000 --> 00:05:42.000]   And I'm your host, Michael McCrudden.
[00:05:42.000 --> 00:05:44.000]   And I'm your host, Michael McCrudden.
[00:05:44.000 --> 00:05:46.000]   And I'm your host, Michael McCrudden.
[00:05:46.000 --> 00:05:48.000]   And I'm your host, Michael McCrudden.
[00:05:48.000 --> 00:05:50.000]   And I'm your host, Michael McCrudden.
[00:05:50.000 --> 00:05:52.000]   And I'm your host, Michael McCrudden.
[00:05:52.000 --> 00:05:54.000]   And I'm your host, Michael McCrudden.
[00:05:54.000 --> 00:05:56.000]   And I'm your host, Michael McCrudden.
[00:05:56.000 --> 00:05:58.000]   And I'm your host, Michael McCrudden.
[00:05:58.000 --> 00:06:00.000]   And I'm your host, Michael McCrudden.
[00:06:00.000 --> 00:06:02.000]   And I'm your host, Michael McCrudden.
[00:06:02.000 --> 00:06:04.000]   And I'm your host, Michael McCrudden.
[00:06:04.000 --> 00:06:06.000]   And I'm your host, Michael McCrudden.
[00:06:06.000 --> 00:06:08.000]   And I'm your host, Michael McCrudden.
[00:06:08.000 --> 00:06:10.000]   And I'm your host, Michael McCrudden.
[00:06:10.000 --> 00:06:12.000]   And I'm your host, Michael McCrudden.
[00:06:12.000 --> 00:06:14.000]   And I'm your host, Michael McCrudden.
[00:06:14.000 --> 00:06:16.000]   And I'm your host, Michael McCrudden.
[00:06:16.000 --> 00:06:18.000]   And I'm your host, Michael McCrudden.
[00:06:18.000 --> 00:06:20.000]   And I'm your host, Michael McCrudden.
[00:06:20.000 --> 00:06:22.000]   And I'm your host, Michael McCrudden.
[00:06:22.000 --> 00:06:24.000]   And I'm your host, Michael McCrudden.
[00:06:24.000 --> 00:06:26.000]   So once a year I change my oil.
[00:06:26.000 --> 00:06:28.000]   I have all this checklist of little things that I do
[00:06:28.000 --> 00:06:30.000]   at each June and in January.
[00:06:30.000 --> 00:06:32.000]   And one of those things is to check the credit reports.
[00:06:32.000 --> 00:06:34.000]   So I just got done checking mine,
[00:06:34.000 --> 00:06:36.000]   pulling them down, going through them.
[00:06:36.000 --> 00:06:38.000]   This really only needs to take a couple of minutes.
[00:06:38.000 --> 00:06:40.000]   Meaning if you have a clean and simple credit report,
[00:06:40.000 --> 00:06:42.000]   you just look at any open accounts,
[00:06:42.000 --> 00:06:44.000]   any inquiries,
[00:06:44.000 --> 00:06:46.000]   make sure you recognize everything,
[00:06:46.000 --> 00:06:48.000]   make sure nothing's going on,
[00:06:48.000 --> 00:06:50.000]   and make sure everything's okay.
[00:06:50.000 --> 00:06:52.000]   It takes a few minutes.
[00:06:52.000 --> 00:06:54.000]   But you want to be able to make sure that people are not
[00:06:54.000 --> 00:06:56.000]   making applications for credit in your name
[00:06:56.000 --> 00:06:58.000]   and making sure that people are not
[00:06:58.000 --> 00:07:00.000]   opening accounts in your name.
[00:07:00.000 --> 00:07:02.000]   If you catch it early, it's simple.
[00:07:02.000 --> 00:07:04.000]   You can dispute it. You can have it taken off.
[00:07:04.000 --> 00:07:06.000]   And then you'll make sure to maintain and keep your credit report clean.
[00:07:06.000 --> 00:07:08.000]   So make sure that on your January checklist,
[00:07:08.000 --> 00:07:10.000]   So make sure that on your January checklist,
[00:07:10.000 --> 00:07:12.000]   you have the to-do item
[00:07:12.000 --> 00:07:14.000]   of downloading
[00:07:14.000 --> 00:07:16.000]   your credit reports
[00:07:16.000 --> 00:07:18.000]   from the three credit reporting agencies.
[00:07:18.000 --> 00:07:20.000]   Now, one thing you should consider,
[00:07:20.000 --> 00:07:22.000]   there are three agencies,
[00:07:22.000 --> 00:07:24.000]   and you should ask the question, "Should I do this all in January
[00:07:24.000 --> 00:07:26.000]   or should I possibly spread it out?"
[00:07:26.000 --> 00:07:28.000]   For the sake of simplicity,
[00:07:28.000 --> 00:07:30.000]   generally it's best to just do this in January
[00:07:30.000 --> 00:07:32.000]   or if your birthday is in September,
[00:07:32.000 --> 00:07:34.000]   you just do this stuff around your birthday
[00:07:34.000 --> 00:07:36.000]   or when the kids get out or whatever.
[00:07:36.000 --> 00:07:38.000]   You pick a good time in your annual calendar.
[00:07:38.000 --> 00:07:40.000]   Pick a time that you do it consistently
[00:07:40.000 --> 00:07:42.000]   and set yourself a reminder in your Tickler files
[00:07:42.000 --> 00:07:44.000]   or on your calendar system.
[00:07:44.000 --> 00:07:46.000]   Good to do it all at once.
[00:07:46.000 --> 00:07:48.000]   The only exception to this would be if you knew that you were going to
[00:07:48.000 --> 00:07:50.000]   be applying for credit.
[00:07:50.000 --> 00:07:52.000]   You're going to be applying for a mortgage or something like that.
[00:07:52.000 --> 00:07:54.000]   In that case,
[00:07:54.000 --> 00:07:56.000]   all of these reports basically report the same information.
[00:07:56.000 --> 00:07:58.000]   So I just got done doing mine.
[00:07:58.000 --> 00:08:00.000]   Download three credit reports.
[00:08:00.000 --> 00:08:02.000]   Take a quick look through.
[00:08:02.000 --> 00:08:04.000]   Yep, they all say the same thing. Everything's good.
[00:08:04.000 --> 00:08:06.000]   There's no new accounts I don't recognize.
[00:08:06.000 --> 00:08:08.000]   Boom, boom, boom, done. Very, very simple.
[00:08:08.000 --> 00:08:10.000]   If I were going to apply for a mortgage
[00:08:10.000 --> 00:08:12.000]   or if I were going to take out loans or something like that, though,
[00:08:12.000 --> 00:08:14.000]   I would probably set this and do one every four months.
[00:08:14.000 --> 00:08:16.000]   Generally, these reports are all going to reflect the same information.
[00:08:16.000 --> 00:08:18.000]   And so the reason to do it every four months
[00:08:18.000 --> 00:08:20.000]   would just simply be to make sure that I'm keeping current amounts.
[00:08:20.000 --> 00:08:22.000]   By doing it on annualcreditreport.com,
[00:08:22.000 --> 00:08:24.000]   you can do it for free.
[00:08:24.000 --> 00:08:26.000]   Once a year, once out of every 365 days,
[00:08:26.000 --> 00:08:28.000]   you can do it for free.
[00:08:28.000 --> 00:08:30.000]   So that would be just one way of looking at it.
[00:08:30.000 --> 00:08:32.000]   You want to do it quarterly? Great.
[00:08:32.000 --> 00:08:34.000]   It'll only take a minute.
[00:08:34.000 --> 00:08:36.000]   Do it annually. Just make sure that you do it.
[00:08:36.000 --> 00:08:38.000]   A couple of quick pieces of paying attention.
[00:08:38.000 --> 00:08:40.000]   Now, a couple of other tips for you.
[00:08:40.000 --> 00:08:42.000]   I want to talk about a cheap way to actually get yourself
[00:08:42.000 --> 00:08:44.000]   decent identity protection,
[00:08:44.000 --> 00:08:46.000]   which is freezing your credit report,
[00:08:46.000 --> 00:08:48.000]   and also how you can keep an eye on your credit scores.
[00:08:48.000 --> 00:08:50.000]   Because annualcreditreport.com does not give you
[00:08:50.000 --> 00:08:52.000]   your credit reporting scores.
[00:08:52.000 --> 00:08:54.000]   And your scores do matter.
[00:08:54.000 --> 00:08:56.000]   Before I do that, though,
[00:08:56.000 --> 00:08:58.000]   sponsors of today's show is Paladin Registry.
[00:08:58.000 --> 00:09:00.000]   As I mentioned at the beginning,
[00:09:00.000 --> 00:09:02.000]   Paladin Registry is a registry service
[00:09:02.000 --> 00:09:04.000]   for financial advisors.
[00:09:04.000 --> 00:09:06.000]   I've been working with them for a really long time.
[00:09:06.000 --> 00:09:08.000]   Jack Waymire and his team originally contacted me,
[00:09:08.000 --> 00:09:10.000]   and they solved a problem that I was trying to solve,
[00:09:10.000 --> 00:09:12.000]   which is how do I get my credit scores
[00:09:12.000 --> 00:09:14.000]   to be as high as possible?
[00:09:14.000 --> 00:09:16.000]   And I was trying to solve, which is how do I connect
[00:09:16.000 --> 00:09:18.000]   many of you with great financial advisors?
[00:09:18.000 --> 00:09:20.000]   I'm not a financial advisor anymore.
[00:09:20.000 --> 00:09:22.000]   I got rid of all my licenses,
[00:09:22.000 --> 00:09:24.000]   so I don't do that stuff.
[00:09:24.000 --> 00:09:26.000]   But I know many of you want to work
[00:09:26.000 --> 00:09:28.000]   with a financial advisor.
[00:09:28.000 --> 00:09:30.000]   Well, do I go get Edward Jones or Merrill Lynch
[00:09:30.000 --> 00:09:32.000]   or Vanguard?
[00:09:32.000 --> 00:09:34.000]   How do I do this? I don't know.
[00:09:34.000 --> 00:09:36.000]   So when I got in touch with Paladin,
[00:09:36.000 --> 00:09:38.000]   I worked through their model.
[00:09:38.000 --> 00:09:40.000]   They have a rigorous screening model
[00:09:40.000 --> 00:09:42.000]   and a set of due diligence research
[00:09:42.000 --> 00:09:44.000]   on each financial advisor who desires
[00:09:44.000 --> 00:09:46.000]   to be listed in their registry service.
[00:09:46.000 --> 00:09:48.000]   They check all their records out,
[00:09:48.000 --> 00:09:50.000]   make sure everything is buttoned up.
[00:09:50.000 --> 00:09:52.000]   If they pass those tests, then they accept
[00:09:52.000 --> 00:09:54.000]   the financial advisor into their registry system.
[00:09:54.000 --> 00:09:56.000]   So if you're working with a pool of applicants
[00:09:56.000 --> 00:09:58.000]   from Paladin, you know
[00:09:58.000 --> 00:10:00.000]   that all of them have been screened,
[00:10:00.000 --> 00:10:02.000]   which is a big deal.
[00:10:02.000 --> 00:10:04.000]   They all meet experience requirements,
[00:10:04.000 --> 00:10:06.000]   ethics requirements, education,
[00:10:06.000 --> 00:10:08.000]   and business practice requirements.
[00:10:08.000 --> 00:10:10.000]   So you've got to really shop and investigate
[00:10:10.000 --> 00:10:12.000]   somebody that you're going to hire
[00:10:12.000 --> 00:10:14.000]   as a financial advisor.
[00:10:14.000 --> 00:10:16.000]   Now, I say this often. I can't guarantee
[00:10:16.000 --> 00:10:18.000]   you're going to find a great financial advisor
[00:10:18.000 --> 00:10:20.000]   with Paladin. And the reason is because
[00:10:20.000 --> 00:10:22.000]   you've got to find a great financial advisor
[00:10:22.000 --> 00:10:24.000]   for you. I have no way to control
[00:10:24.000 --> 00:10:26.000]   who's going to be great for you.
[00:10:26.000 --> 00:10:28.000]   But I can at least guarantee you
[00:10:28.000 --> 00:10:30.000]   that you're going to start your search
[00:10:30.000 --> 00:10:32.000]   on a better footing than opening up
[00:10:32.000 --> 00:10:34.000]   the yellow pages and just finding
[00:10:34.000 --> 00:10:36.000]   a random financial advisor.
[00:10:36.000 --> 00:10:38.000]   So if you're looking for a financial advisor
[00:10:38.000 --> 00:10:40.000]   that you can trust, you can go to
[00:10:40.000 --> 00:10:42.000]   radicalpersonalfinance.com.
[00:10:42.000 --> 00:10:44.000]   That's radicalpersonalfinance.com.
[00:10:44.000 --> 00:10:46.000]   You can go to that website,
[00:10:46.000 --> 00:10:48.000]   and you can go to the website that I'm going to show you
[00:10:48.000 --> 00:10:50.000]   right now, and you can go to the website
[00:10:50.000 --> 00:10:52.000]   that I'm going to show you right now,
[00:10:52.000 --> 00:10:54.000]   and you can go to the website that I'm going to show you
[00:10:54.000 --> 00:10:56.000]   right now, and you can go to the website
[00:10:56.000 --> 00:10:58.000]   that I'm going to show you right now,
[00:10:58.000 --> 00:11:00.000]   and you can go to the website that I'm going to show you
[00:11:00.000 --> 00:11:02.000]   right now, and you can go to the website
[00:11:02.000 --> 00:11:04.000]   that I'm going to show you right now,
[00:11:04.000 --> 00:11:06.000]   and you can go to the website that I'm going to show you
[00:11:06.000 --> 00:11:08.000]   right now, and you can go to the website that I'm going to show you
[00:11:08.000 --> 00:11:10.000]   right now, and you can go to the website that I'm going to show you
[00:11:10.000 --> 00:11:12.000]   right now, and you can go to the website that I'm going to show you
[00:11:12.000 --> 00:11:14.000]   right now, and you can go to the website that I'm going to show you
[00:11:14.000 --> 00:11:16.000]   right now, and you can go to the website that I'm going to show you
[00:11:16.000 --> 00:11:18.000]   right now, and you can go to the website that I'm going to show you
[00:11:18.000 --> 00:11:20.000]   right now, and you can go to the website that I'm going to show you
[00:11:20.000 --> 00:11:22.000]   right now, and you can go to the website that I'm going to show you
[00:11:22.000 --> 00:11:24.000]   right now, and you can go to the website that I'm going to show you
[00:11:24.000 --> 00:11:26.000]   right now, and you can go to the website that I'm going to show you
[00:11:26.000 --> 00:11:28.000]   right now, and you can go to the website that I'm going to show you
[00:11:28.000 --> 00:11:30.000]   right now, and you can go to the website that I'm going to show you
[00:11:30.000 --> 00:11:32.000]   right now, and you can go to the website that I'm going to show you
[00:11:32.000 --> 00:11:34.000]   right now, and you can go to the website that I'm going to show you
[00:11:34.000 --> 00:11:36.000]   right now, and you can go to the website that I'm going to show you
[00:11:36.000 --> 00:11:38.000]   right now, and you can go to the website that I'm going to show you
[00:11:38.000 --> 00:11:40.000]   right now, and you can go to the website that I'm going to show you
[00:11:40.000 --> 00:11:42.000]   right now, and you can go to the website that I'm going to show you
[00:11:42.000 --> 00:11:44.000]   right now, and you can go to the website that I'm going to show you
[00:11:44.000 --> 00:11:46.000]   right now, and you can go to the website that I'm going to show you
[00:11:46.000 --> 00:11:48.000]   right now, and you can go to the website that I'm going to show you
[00:11:48.000 --> 00:11:50.000]   right now, and you can go to the website that I'm going to show you
[00:11:50.000 --> 00:11:52.000]   right now, and you can go to the website that I'm going to show you
[00:11:52.000 --> 00:11:54.000]   right now, and you can go to the website that I'm going to show you
[00:11:54.000 --> 00:11:56.000]   right now, and you can go to the website that I'm going to show you
[00:11:56.000 --> 00:11:58.000]   right now, and you can go to the website that I'm going to show you
[00:11:58.000 --> 00:12:00.000]   right now, and you can go to the website that I'm going to show you
[00:12:00.000 --> 00:12:02.000]   right now, and you can go to the website that I'm going to show you
[00:12:02.000 --> 00:12:04.000]   right now, and you can go to the website that I'm going to show you
[00:12:04.000 --> 00:12:06.000]   right now, and you can go to the website that I'm going to show you
[00:12:06.000 --> 00:12:08.000]   right now, and you can go to the website that I'm going to show you
[00:12:08.000 --> 00:12:10.000]   right now, and you can go to the website that I'm going to show you
[00:12:10.000 --> 00:12:12.000]   right now, and you can go to the website that I'm going to show you
[00:12:12.000 --> 00:12:14.000]   right now, and you can go to the website that I'm going to show you
[00:12:14.000 --> 00:12:16.000]   right now, and you can go to the website that I'm going to show you
[00:12:16.000 --> 00:12:18.000]   right now, and you can go to the website that I'm going to show you
[00:12:18.000 --> 00:12:20.000]   right now, and you can go to the website that I'm going to show you
[00:12:20.000 --> 00:12:22.000]   right now, and you can go to the website that I'm going to show you
[00:12:22.000 --> 00:12:24.000]   right now, and you can go to the website that I'm going to show you
[00:12:24.000 --> 00:12:26.000]   right now, and you can go to the website that I'm going to show you
[00:12:26.000 --> 00:12:28.000]   right now, and you can go to the website that I'm going to show you
[00:12:28.000 --> 00:12:30.000]   right now, and you can go to the website that I'm going to show you
[00:12:30.000 --> 00:12:32.000]   right now, and you can go to the website that I'm going to show you
[00:12:32.000 --> 00:12:34.000]   right now, and you can go to the website that I'm going to show you
[00:12:34.000 --> 00:12:36.000]   right now, and you can go to the website that I'm going to show you
[00:12:36.000 --> 00:12:38.000]   right now, and you can go to the website that I'm going to show you
[00:12:38.000 --> 00:12:40.000]   right now, and you can go to the website that I'm going to show you
[00:12:40.000 --> 00:12:42.000]   right now, and you can go to the website that I'm going to show you
[00:12:42.000 --> 00:12:44.000]   right now, and you can go to the website that I'm going to show you
[00:12:44.000 --> 00:12:46.000]   right now, and you can go to the website that I'm going to show you
[00:12:46.000 --> 00:12:48.000]   right now, and you can go to the website that I'm going to show you
[00:12:48.000 --> 00:12:50.000]   right now, and you can go to the website that I'm going to show you
[00:12:50.000 --> 00:12:52.000]   right now, and you can go to the website that I'm going to show you
[00:12:52.000 --> 00:12:54.000]   right now, and you can go to the website that I'm going to show you
[00:12:54.000 --> 00:12:56.000]   right now, and you can go to the website that I'm going to show you
[00:12:56.000 --> 00:12:58.000]   right now, and you can go to the website that I'm going to show you
[00:12:58.000 --> 00:13:00.000]   right now, and you can go to the website that I'm going to show you
